Cell lines	600MPE	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC38	HCC70	LY2	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	UACC812	ZR751	ZR75B
Meth__cg01667702__TRAPPC1	0.056086	0.067437	0.23535	0.12356	0.041146	0.096364	0.099384	0.076868	0.14167	0.76621	0.082978	0.26212	0.053302	0.088277	0.068763	0.10977	0.054223	0.12843	0.051052	0.075316	0.065084	0.15968	0.082492	0.070067	0.11255	0.096967	0.059343	0.098483	0.060585	0.094997	0.082504	0.063562
Meth__cg23591869__FLJ45803	0.034918	0.40856	0.021287	0.066295	0.70747	0.033591	0.97134	0.029848	0.29597	0.021779	0.16726	0.82025	0.037676	0.07197	0.5721	0.87878	0.56549	0.025468	0.53122	0.032318	0.037576	0.069064	0.028021	0.22339	0.051004	0.039287	0.74846	0.027392	0.85116	0.027208	0.04908	0.081779
Meth__cg24649641__ERBB2	0.045052	0.050015	0.055122	0.046216	0.048452	0.057063	0.049536	0.049155	0.89221	0.059506	0.11621	0.063286	0.045359	0.10517	0.038417	0.045472	0.050049	0.042033	0.094488	0.057886	0.079335	0.16817	0.074684	0.055251	0.053117	0.046522	0.051207	0.085053	0.037939	0.063969	0.048354	0.056402
Meth__cg01862366__TMEM20	0.062449	0.17533	0.33008	0.032565	0.030722	0.069522	0.08647	0.032117	0.057634	0.063391	0.07346	0.04505	0.034773	0.085757	0.035524	0.25156	0.074209	0.13572	0.072549	0.16457	0.053625	0.74092	0.072408	0.031905	0.40355	0.030052	0.1567	0.041589	0.029861	0.46072	0.043066	0.032287
Meth__cg15164958__MGC33530	0.46655	0.75354	0.079062	0.29257	0.24831	0.66924	0.69063	0.09901	0.12856	0.21682	0.27672	0.065531	0.080145	0.10252	0.27018	0.42551	0.067305	0.079918	0.25248	0.16367	0.18205	0.39827	0.069507	0.15282	0.13504	0.082655	0.40429	0.072128	0.21847	0.0773	0.53771	0.44515
Meth__cg27202708__C1orf65	0.38334	0.77252	0.03381	0.049418	0.68292	0.42561	0.33024	0.028971	0.29333	0.55738	0.77997	0.022644	0.021212	0.043772	0.23631	0.80154	0.92047	0.018265	0.25044	0.033923	0.032303	0.1296	0.038379	0.158	0.016474	0.18166	0.36721	0.022437	0.59226	0.028816	0.12375	0.16207
Meth__cg03243946__LDHB	0.81874	0.94358	0.78427	0.7515	0.083307	0.94948	0.07513	0.71975	0.06265	0.10425	0.51188	0.13069	0.049203	0.082998	0.86189	0.94008	0.082992	0.11502	0.094371	0.063979	0.58266	0.92888	0.065379	0.048668	0.036139	0.060998	0.95878	0.073364	0.18964	0.077533	0.86306	0.89466
Meth__cg18342279__ZAR1	0.95627	0.96725	0.22581	0.96768	0.96138	0.95826	0.77988	0.03245	0.95916	0.060201	0.92722	0.65607	0.027556	0.044704	0.97922	0.96405	0.95374	0.13553	0.91469	0.030548	0.083057	0.9292	0.056942	0.03477	0.043061	0.7743	0.95862	0.11297	0.97261	0.036852	0.60467	0.94851
Meth__cg14106263__RBMX2	0.082183	0.070369	0.12594	0.088734	0.039149	0.10676	0.053691	0.042631	0.10896	0.10534	0.17544	0.073061	0.47352	0.11232	0.076483	0.12418	0.062781	0.26709	0.1652	0.099639	0.047163	0.22013	0.16646	0.40045	0.07634	0.091626	0.12205	0.066457	0.065724	0.078028	0.070897	0.070185
Meth__cg15383120__DUSP22	0.50402	0.085273	0.5711	0.21271	0.57925	0.4967	0.44268	0.058644	0.59966	0.048382	0.51755	0.052111	0.53462	0.33919	0.55039	0.048964	0.039336	0.6093	0.37312	0.39037	0.13581	0.16717	0.48106	0.56095	0.55254	0.040761	0.036843	0.068191	0.50816	0.46146	0.56842	0.44921
Meth__cg06311778__TENC1	0.027226	0.039776	0.16679	0.25163	0.025369	0.059926	0.035183	0.069591	0.22778	0.32364	0.87117	0.03529	0.023674	0.049913	0.295	0.68938	0.072761	0.43855	0.058676	0.44383	0.09214	0.11971	0.50299	0.028432	0.30195	0.068666	0.92546	0.10645	0.032269	0.068109	0.036381	0.043237
Meth__cg15321211__HNRPF	0.11341	0.068235	0.093893	0.12283	0.18765	0.16719	0.06077	0.58098	0.13109	0.74696	0.20806	0.344	0.065283	0.12856	0.089875	0.47576	0.54213	0.10361	0.18355	0.10691	0.50527	0.13825	0.099764	0.085665	0.10547	0.38788	0.33866	0.11551	0.12386	0.10672	0.14123	0.13374
Meth__cg00651216__HSP90AB1	0.05165	0.9036	0.37792	0.25791	0.8788	0.45155	0.58833	0.25853	0.23263	0.90971	0.32777	0.31024	0.41064	0.42914	0.34909	0.25451	0.42919	0.16437	0.68549	0.14942	0.29603	0.15459	0.12561	0.26386	0.072957	0.10591	0.71347	0.35643	0.19423	0.049258	0.16207	0.11802
Meth__cg22637507__ALKBH3	0.049824	0.051901	0.97334	0.033821	0.03337	0.96315	0.03484	0.061856	0.96759	0.041901	0.077862	0.047963	0.040926	0.055837	0.045995	0.049704	0.045853	0.048359	0.060074	0.052309	0.055813	0.073731	0.071458	0.41642	0.042329	0.044213	0.032597	0.0497	0.43141	0.057438	0.049564	0.049703
Meth__cg09750385__GUCY1A3	0.13835	0.62676	0.058744	0.46705	0.8829	0.61242	0.2794	0.069813	0.064397	0.042508	0.14599	0.11778	0.064734	0.12972	0.26773	0.43582	0.057453	0.039751	0.81012	0.27402	0.12049	0.17388	0.17489	0.058747	0.070383	0.10062	0.093524	0.048472	0.74264	0.10202	0.312	0.12201
Meth__cg15658426__MGC39633	0.078065	0.3683	0.078228	0.12975	0.5391	0.19991	0.27148	0.083112	0.082249	0.76254	0.35263	0.12186	0.070868	0.22692	0.18656	0.26328	0.21433	0.1915	0.35432	0.079202	0.2717	0.17852	0.25695	0.12541	0.083546	0.27887	0.22438	0.13192	0.18446	0.066767	0.20568	0.17844
Meth__cg01632825__CLTCL1	0.052195	0.11934	0.059395	0.05443	0.11536	0.063969	0.27161	0.058448	0.044103	0.18738	0.16808	0.072569	0.039357	0.11596	0.080914	0.20041	0.22799	0.049431	0.47931	0.05615	0.087987	0.39546	0.054338	0.038795	0.057096	0.053294	0.081685	0.034582	0.070344	0.049573	0.055409	0.066195
Meth__cg05824432__DCI	0.019346	0.020649	0.3849	0.012316	0.01226	0.015821	0.013191	0.013955	0.015063	0.012296	0.028283	0.015266	0.015018	0.023184	0.014229	0.016869	0.018468	0.027712	0.037641	0.33763	0.02521	0.037819	0.018713	0.015807	0.016297	0.013691	0.013744	0.023528	0.014737	0.015	0.31724	0.021634
Meth__cg00177698__PNPO	0.03501	0.036108	0.039746	0.022546	0.033809	0.04817	0.032363	0.034394	0.45039	0.034225	0.064802	0.046834	0.027847	0.054469	0.030543	0.034916	0.049474	0.044166	0.05346	0.045386	0.06087	0.076942	0.10234	0.039551	0.038581	0.038219	0.046808	0.032927	0.026128	0.048663	0.04093	0.037517
Meth__cg21295911__TNFSF9	0.044519	0.059432	0.97159	0.042284	0.036009	0.042847	0.049775	0.042225	0.060709	0.036105	0.055815	0.039231	0.037386	0.13898	0.033936	0.032424	0.044682	0.048469	0.034863	0.50764	0.061495	0.93801	0.067308	0.033114	0.03528	0.031904	0.022238	0.039233	0.035154	0.5265	0.047868	0.05307
Meth__cg19570545__PKP1	0.62836	0.95786	0.03889	0.032925	0.93881	0.9171	0.024195	0.62136	0.13447	0.059089	0.90623	0.035143	0.36394	0.20327	0.45421	0.91286	0.88707	0.024221	0.8308	0.049496	0.044626	0.17898	0.57577	0.1912	0.028645	0.90313	0.18446	0.067467	0.94893	0.49617	0.55034	0.94347
Meth__cg24304712__C1orf101	0.057821	0.30185	0.052127	0.028968	0.92154	0.3786	0.11788	0.051294	0.049406	0.095665	0.18905	0.4596	0.34286	0.086091	0.034252	0.042856	0.045394	0.039035	0.42766	0.044548	0.10349	0.07298	0.082953	0.034765	0.042476	0.50709	0.04784	0.0378	0.042746	0.042889	0.28422	0.073573
Meth__cg03682712__LOXL1	0.03711	0.66632	0.96079	0.15588	0.64798	0.45174	0.37769	0.42287	0.97455	0.93219	0.96323	0.55751	0.048716	0.23543	0.97393	0.066567	0.83834	0.596	0.06389	0.76966	0.015635	0.94502	0.55574	0.73774	0.015294	0.018367	0.017339	0.090509	0.014119	0.8518	0.26296	0.73375
Meth__cg23034818__BTBD6	0.078773	0.08329	0.071657	0.094049	0.23888	0.084477	0.54748	0.13192	0.056676	0.28837	0.25082	0.53537	0.25749	0.094091	0.74038	0.15374	0.64204	0.087596	0.47902	0.12458	0.07215	0.089531	0.118	0.075679	0.07357	0.65064	0.24363	0.072575	0.10751	0.11352	0.088711	0.068235
Meth__cg16421285__SAE1	0.084534	0.52182	0.06903	0.10279	0.32228	0.087193	0.075213	0.10172	0.17172	0.2931	0.15494	0.11426	0.17789	0.19099	0.058433	0.1852	0.20616	0.075654	0.15718	0.078452	0.16117	0.13225	0.053113	0.070514	0.1804	0.39705	0.11027	0.041633	0.11959	0.080779	0.11071	0.14157
Meth__cg20925954__DUSP5	0.070591	0.13991	0.633	0.16983	0.13337	0.18065	0.091765	0.095948	0.25026	0.29051	0.1479	0.17749	0.061916	0.1178	0.58436	0.06593	0.20205	0.49531	0.15634	0.60291	0.12587	0.19316	0.20076	0.37091	0.082863	0.059622	0.66502	0.071157	0.074029	0.48048	0.067735	0.18148
Meth__cg23538854__IL7	0.067132	0.5906	0.077734	0.10714	0.81917	0.092083	0.098284	0.075262	0.14076	0.10511	0.12005	0.074879	0.1008	0.17567	0.49523	0.21583	0.16888	0.062229	0.10723	0.06833	0.13794	0.17468	0.092007	0.067196	0.052582	0.056382	0.066659	0.055414	0.65435	0.06374	0.099768	0.29677
Meth__cg07090813__PHGDH	0.067308	0.065665	0.081155	0.14414	0.28509	0.13864	0.10148	0.14791	0.079604	0.34435	0.173	0.11651	0.051884	0.1343	0.07013	0.67779	0.35547	0.070166	0.2494	0.058169	0.099721	0.11866	0.18396	0.040533	0.063431	0.071042	0.20399	0.049794	0.04182	0.048232	0.15882	0.085999
Meth__cg11794728__KLF12	0.18137	0.14853	0.098127	0.052129	0.051523	0.10397	0.068403	0.10359	0.07982	0.11266	0.097295	0.10767	0.18302	0.076899	0.44204	0.087675	0.12737	0.038805	0.23296	0.14377	0.083864	0.37698	0.083015	0.048917	0.066382	0.13672	0.091612	0.030479	0.29483	0.035202	0.44087	0.63485
Meth__cg21682382__TMEM39B	0.02831	0.077101	0.066099	0.042702	0.040926	0.084301	0.049795	0.04242	0.16856	0.082259	0.11172	0.05971	0.036096	0.050835	0.068565	0.41036	0.036642	0.087117	0.037267	0.050532	0.043422	0.058588	0.2031	0.19403	0.03862	0.037621	0.033692	0.050169	0.028341	0.055304	0.044846	0.10207
Meth__cg01357116__ATOH1	0.07053	0.46641	0.097386	0.053918	0.50735	0.07955	0.35862	0.054387	0.071953	0.097976	0.13254	0.10161	0.075577	0.10023	0.088478	0.19892	0.10306	0.050571	0.13161	0.048758	0.13848	0.11977	0.070661	0.050188	0.068281	0.085168	0.058444	0.055492	0.1588	0.077873	0.078994	0.0675
Meth__cg11469137__PLOD1	0.12971	0.68286	0.33166	0.67678	0.76998	0.085619	0.05953	0.68553	0.054132	0.14318	0.57447	0.6192	0.059616	0.20479	0.61548	0.39917	0.39393	0.17914	0.19954	0.16022	0.10553	0.097507	0.29404	0.038075	0.036421	0.052728	0.80705	0.37585	0.47205	0.08363	0.47545	0.65142
Meth__cg05705583__CAMLG	0.067051	0.9462	0.50115	0.64994	0.958	0.81607	0.15239	0.47636	0.057439	0.28253	0.91196	0.55034	0.092627	0.33675	0.64709	0.36804	0.055361	0.061825	0.25218	0.44402	0.09802	0.13901	0.2554	0.038306	0.059335	0.090554	0.50223	0.14651	0.61645	0.056018	0.64498	0.93781
Meth__cg03750606__ESRRG	0.055156	0.61505	0.06877	0.070728	0.8472	0.086443	0.59767	0.098483	0.078735	0.2525	0.085441	0.073398	0.077662	0.11205	0.097127	0.072808	0.11071	0.06268	0.80959	0.067935	0.11177	0.12296	0.089579	0.29553	0.052479	0.089292	0.83812	0.06206	0.32474	0.068634	0.073841	0.062603
Meth__cg00263760__VAX1	0.84826	0.079678	0.0481	0.048373	0.54936	0.9442	0.96217	0.83211	0.083951	0.9405	0.18554	0.18005	0.0461	0.11297	0.94569	0.56289	0.057688	0.49716	0.86845	0.62871	0.35438	0.60632	0.15439	0.047594	0.054054	0.12095	0.03238	0.051569	0.93151	0.050056	0.91741	0.90873
Meth__cg04532229__SLC9A2	0.055949	0.96153	0.046421	0.097811	0.95686	0.60376	0.92478	0.0599	0.62344	0.67027	0.90065	0.11746	0.052242	0.41312	0.033478	0.36082	0.26427	0.03997	0.92107	0.046618	0.13376	0.25639	0.10538	0.04	0.073177	0.060583	0.1712	0.11167	0.75528	0.044902	0.23378	0.62447
