Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg01930621__ZNF649	0.058421	0.062923	0.059573	0.066214	0.055661	0.063516	0.51117	0.24653	0.82403	0.059723	0.069686	0.087054	0.12901	0.16467	0.029708	0.059583	0.078435	0.069829	0.070428	0.064492	0.62752	0.37482	0.070644	0.7771	0.052398	0.2836	0.070967	0.13175	0.12698	0.1254	0.06063	0.066202	0.069982	0.052077	0.039875	0.073425	0.12653	0.056845	0.059663	0.091671
Meth__cg19220586__CREG1	0.050464	0.04129	0.065038	0.050458	0.036963	0.52486	0.051353	0.14894	0.089608	0.040086	0.055195	0.069853	0.069912	0.065387	0.023023	0.044057	0.052157	0.06568	0.13188	0.46558	0.034264	0.065688	0.06118	0.1325	0.035552	0.58325	0.05841	0.086374	0.14101	0.071048	0.056792	0.047212	0.041216	0.062185	0.040141	0.042547	0.18355	0.050488	0.058124	0.046195
Meth__cg00445824__ISYNA1	0.097191	0.42488	0.084203	0.72755	0.092059	0.68815	0.076027	0.75609	0.094179	0.090795	0.073036	0.060648	0.42156	0.32719	0.15507	0.067436	0.68889	0.13385	0.091971	0.91691	0.7722	0.44601	0.082967	0.14335	0.067532	0.95786	0.11505	0.098154	0.086121	0.099371	0.065374	0.09077	0.61628	0.29182	0.093041	0.062677	0.13515	0.126	0.094522	0.10542
Meth__cg27068170__HSD17B12	0.064938	0.045326	0.058059	0.045943	0.27191	0.2709	0.24133	0.11231	0.070194	0.048387	0.034382	0.044668	0.086992	0.063148	0.042157	0.039129	0.036259	0.075036	0.17086	0.079191	0.062306	0.058499	0.8009	0.050859	0.045856	0.065131	0.05801	0.056821	0.088093	0.051195	0.037525	0.020566	0.056149	0.049584	0.047029	0.52179	0.22214	0.042539	0.22612	0.58922
Meth__cg11668844__MCF2L	0.034627	0.076284	0.064538	0.056371	0.071603	0.88008	0.15511	0.76263	0.43522	0.047968	0.065325	0.11212	0.25772	0.20238	0.059936	0.057086	0.50223	0.92133	0.069243	0.04233	0.12972	0.16451	0.11274	0.92413	0.039789	0.072732	0.10944	0.15996	0.17173	0.056807	0.85967	0.033749	0.051275	0.05154	0.062349	0.059231	0.11185	0.070134	0.1218	0.14642
Meth__cg02611282__CREB5	0.30175	0.060912	0.21147	0.18208	0.1126	0.28222	0.1517	0.65461	0.58887	0.094218	0.099298	0.19469	0.3658	0.45172	0.04998	0.087266	0.18079	0.45498	0.087625	0.13833	0.22452	0.10819	0.20188	0.15055	0.08697	0.55852	0.15179	0.18905	0.16646	0.12054	0.26409	0.18589	0.14164	0.62849	0.082959	0.25208	0.28244	0.15096	0.10717	0.10962
Meth__cg12454725__SYT17	0.025223	0.016689	0.025061	0.019795	0.018457	0.20225	0.022182	0.035855	0.021901	0.019641	0.017985	0.020086	0.049015	0.031847	0.015316	0.020275	0.017295	0.014972	0.026551	0.050754	0.019584	0.022497	0.019904	0.02209	0.013167	0.052646	0.019183	0.034088	0.043658	0.049012	0.016865	0.01719	0.015111	0.024142	0.016748	0.01875	0.17317	0.019286	0.020451	0.022009
Meth__cg07207789__CRISPLD2	0.071852	0.0416	0.032095	0.27964	0.7222	0.85604	0.31603	0.90428	0.85904	0.41265	0.25904	0.53911	0.71975	0.3778	0.10866	0.27844	0.50834	0.91253	0.087316	0.84012	0.055578	0.18647	0.84036	0.91523	0.21688	0.81184	0.5357	0.10635	0.2125	0.085175	0.054089	0.1055	0.86498	0.86763	0.034067	0.79814	0.34204	0.35958	0.33383	0.41318
Meth__cg25924032__BMS1L	0.21991	0.016551	0.045364	0.019247	0.021278	0.49407	0.20925	0.057984	0.14906	0.01502	0.037029	0.045398	0.030783	0.070846	0.030058	0.020055	0.02357	0.024939	0.052928	0.077002	0.29267	0.40486	0.36092	0.033537	0.021332	0.51904	0.033065	0.033355	0.3391	0.026936	0.018051	0.026019	0.027445	0.15989	0.01952	0.34644	0.062771	0.050336	0.046428	0.018554
Meth__cg14974772__FBLN5	0.056653	0.04998	0.53549	0.71337	0.50912	0.54436	0.75882	0.45295	0.87269	0.034082	0.11121	0.057403	0.13949	0.73701	0.034329	0.050331	0.66586	0.057523	0.16441	0.6061	0.79503	0.81806	0.47577	0.27782	0.058126	0.3486	0.82081	0.078274	0.44702	0.10987	0.32276	0.063048	0.22185	0.81893	0.033619	0.44153	0.087413	0.34643	0.66956	0.7436
Meth__cg06252382__SLC31A2	0.1311	0.042777	0.21733	0.67747	0.52699	0.22773	0.57259	0.10628	0.12955	0.030606	0.10514	0.48634	0.093404	0.087098	0.055336	0.033518	0.098846	0.40811	0.10841	0.41779	0.73913	0.73849	0.95626	0.098875	0.11087	0.69174	0.31305	0.091714	0.85009	0.039798	0.04632	0.031828	0.051191	0.54852	0.032139	0.25864	0.12335	0.1048	0.26988	0.91159
Meth__cg10866709__GATA4	0.45871	0.043783	0.06302	0.056188	0.0752	0.35694	0.14093	0.076444	0.81664	0.21812	0.067593	0.38389	0.61877	0.62713	0.056437	0.18869	0.49169	0.3312	0.13381	0.03727	0.74907	0.61824	0.82634	0.68339	0.72309	0.4081	0.45379	0.083485	0.13652	0.080931	0.05527	0.069719	0.054588	0.18263	0.049111	0.15604	0.55136	0.68927	0.13047	0.25769
Meth__cg09419670__PSMD5	0.089707	0.060252	0.081589	0.070972	0.07881	0.7722	0.061577	0.29708	0.052425	0.059646	0.055376	0.063649	0.062187	0.09825	0.046459	0.052811	0.074865	0.066581	0.13638	0.14847	0.069717	0.067077	0.47782	0.064534	0.053691	0.10697	0.093932	0.12491	0.10898	0.1153	0.053264	0.055837	0.053215	0.064623	0.05875	0.066048	0.15612	0.074882	0.32105	0.11728
Meth__cg26672426__PTGES	0.036227	0.020718	0.026309	0.041952	0.14989	0.89268	0.38721	0.88355	0.16898	0.023096	0.030625	0.37639	0.023546	0.046269	0.016015	0.02526	0.16759	0.07625	0.070499	0.27381	0.47788	0.79558	0.74934	0.92032	0.10753	0.7406	0.91105	0.11625	0.079096	0.060157	0.50574	0.021639	0.50044	0.91087	0.025223	0.92234	0.087937	0.87535	0.11916	0.40053
Meth__cg18180155__RIBC2	0.39572	0.04953	0.072695	0.037936	0.034353	0.37333	0.10535	0.043615	0.31235	0.032711	0.079585	0.039447	0.04625	0.089948	0.027508	0.033891	0.24395	0.065789	0.051828	0.048177	0.454	0.043552	0.65138	0.34918	0.3227	0.074815	0.062309	0.058407	0.090524	0.1662	0.042181	0.27491	0.049566	0.037159	0.024538	0.024018	0.077699	0.042916	0.12727	0.47528
Meth__cg08699435__NAT5	0.044262	0.027857	0.37762	0.049407	0.024685	0.30048	0.051551	0.21892	0.060654	0.045152	0.042727	0.030235	0.25377	0.14054	0.031895	0.052429	0.041042	0.1606	0.10906	0.061391	0.077543	0.061385	0.053647	0.038143	0.020844	0.11003	0.09749	0.06437	0.071842	0.040553	0.043065	0.030175	0.059803	0.0438	0.044942	0.049274	0.10962	0.048449	0.049131	0.069127
Meth__cg00678539__MNS1	0.12761	0.089527	0.48841	0.11688	0.35089	0.4501	0.77729	0.79204	0.97338	0.26359	0.065668	0.45936	0.29405	0.60194	0.07745	0.16782	0.21975	0.1009	0.12063	0.11011	0.36392	0.34278	0.48947	0.10493	0.10944	0.56164	0.1023	0.35993	0.70979	0.1077	0.069171	0.077688	0.088718	0.16255	0.04987	0.094602	0.20243	0.073974	0.11138	0.58069
Meth__cg11044163__CPVL	0.10946	0.015737	0.56512	0.12109	0.025069	0.073626	0.16207	0.048557	0.87614	0.030765	0.11753	0.046187	0.18916	0.52967	0.022664	0.041742	0.79677	0.043919	0.070578	0.043763	0.14259	0.14957	0.87842	0.031927	0.034687	0.18569	0.53538	0.0767	0.22422	0.035185	0.031655	0.065776	0.063116	0.90433	0.029008	0.28294	0.049965	0.037371	0.15322	0.26292
Meth__cg13372488__KCNT2	0.64	0.086957	0.23632	0.81984	0.067419	0.55278	0.87844	0.27681	0.87794	0.38349	0.12963	0.12673	0.60019	0.66377	0.18288	0.32178	0.78534	0.36218	0.15088	0.27068	0.12903	0.12957	0.72267	0.25716	0.064361	0.73559	0.21779	0.091609	0.60088	0.16388	0.096765	0.49365	0.091781	0.34591	0.11215	0.17551	0.29249	0.10792	0.24321	0.54977
Meth__cg03139057__DLL3	0.023566	0.016275	0.45102	0.053216	0.023754	0.87786	0.14077	0.92702	0.92098	0.080528	0.041389	0.63066	0.59284	0.66999	0.016933	0.052819	0.79745	0.50525	0.062588	0.064459	0.16224	0.2523	0.59361	0.94119	0.027521	0.87085	0.060748	0.071511	0.072545	0.020128	0.81329	0.04417	0.058207	0.14191	0.019963	0.76187	0.045556	0.028345	0.025753	0.25695
Meth__cg24330042__GSTT1	0.037218	0.95827	0.48284	0.029857	0.039205	0.022439	0.027888	0.035535	0.96983	0.45758	0.46694	0.39405	0.40323	0.26953	0.57037	0.15594	0.029182	0.026275	0.56388	0.033413	0.028198	0.038691	0.45155	0.035934	0.037306	0.39598	0.025612	0.036082	0.040762	0.1265	0.55394	0.029622	0.039447	0.034681	0.030909	0.58437	0.28505	0.035035	0.017696	0.031233
Meth__cg23067535__FAM83A	0.048124	0.041366	0.06135	0.23531	0.72136	0.9363	0.12719	0.73654	0.94995	0.028146	0.083708	0.39822	0.61336	0.21697	0.040391	0.20228	0.73704	0.95298	0.18288	0.89482	0.74221	0.59368	0.93871	0.9298	0.38987	0.88741	0.49916	0.29484	0.094499	0.29655	0.94186	0.035759	0.89209	0.9524	0.060873	0.66055	0.12819	0.88739	0.20083	0.26025
Meth__cg23548479__CDKN1C	0.42417	0.043658	0.068091	0.14917	0.041503	0.6786	0.55551	0.28466	0.05901	0.065132	0.046651	0.51951	0.56413	0.19699	0.048208	0.069579	0.049054	0.049649	0.10759	0.35438	0.86438	0.6635	0.076381	0.058388	0.34119	0.26951	0.070897	0.12729	0.12508	0.078551	0.043645	0.049717	0.0427	0.056701	0.051618	0.043608	0.20814	0.049974	0.049163	0.051621
Meth__cg24331162__SYT8	0.045889	0.038049	0.059668	0.077081	0.064811	0.61615	0.31642	0.6325	0.064069	0.045162	0.043464	0.60283	0.031124	0.087455	0.040318	0.056105	0.044537	0.62752	0.073361	0.10327	0.090892	0.34659	0.82155	0.79067	0.04158	0.12354	0.49	0.07621	0.21668	0.062221	0.78691	0.030592	0.36943	0.044153	0.034008	0.032806	0.095152	0.05194	0.45795	0.41911
Meth__cg24448259__CPVL	0.61752	0.031732	0.84305	0.24758	0.048667	0.62953	0.46031	0.12593	0.89881	0.042811	0.40053	0.061201	0.11241	0.85695	0.087791	0.090716	0.85326	0.041842	0.069727	0.12357	0.64145	0.61469	0.91052	0.34449	0.095063	0.51258	0.82935	0.17108	0.41738	0.060273	0.57759	0.073451	0.071853	0.9024	0.039479	0.72876	0.057904	0.056028	0.41213	0.61918
Meth__cg15916628__ZNF579	0.095861	0.053042	0.52897	0.25998	0.14837	0.83925	0.11582	0.83382	0.78023	0.12223	0.06546	0.6025	0.47647	0.4974	0.050293	0.1257	0.65217	0.53378	0.20199	0.27212	0.36003	0.3678	0.39849	0.65202	0.088502	0.41145	0.32094	0.20163	0.51963	0.080961	0.058166	0.48489	0.075974	0.36066	0.068801	0.17208	0.12271	0.070472	0.074426	0.21342
Meth__cg14900471__GATA4	0.59751	0.043478	0.045923	0.04867	0.046531	0.96331	0.51893	0.32426	0.97572	0.046011	0.048386	0.66624	0.93777	0.913	0.17032	0.063614	0.56293	0.16459	0.10229	0.19708	0.97727	0.97043	0.96964	0.8262	0.97841	0.66471	0.91823	0.076553	0.13263	0.12066	0.055234	0.58156	0.30173	0.041103	0.084255	0.76386	0.90974	0.97187	0.74347	0.78676
Meth__cg15925792__MX1	0.20244	0.11755	0.075898	0.54847	0.044598	0.94985	0.39509	0.090306	0.63298	0.060162	0.057055	0.069225	0.095481	0.92546	0.035366	0.13187	0.94774	0.075935	0.097526	0.067286	0.97231	0.96384	0.61099	0.059381	0.078945	0.52474	0.9413	0.21081	0.52754	0.088316	0.09591	0.04533	0.074556	0.084864	0.057463	0.96213	0.082803	0.071599	0.53152	0.93859
Meth__cg03465847__CRSP2	0.013081	0.014172	0.020013	0.01417	0.013751	0.016923	0.01882	0.024784	0.018351	0.014684	0.012626	0.01838	0.016613	0.014419	0.0091263	0.015085	0.02357	0.016914	0.019645	0.017816	0.0098451	0.028324	0.015239	0.034383	0.0084651	0.061658	0.020124	0.021281	0.03198	0.013402	0.011656	0.011766	0.010199	0.01706	0.010962	0.018833	0.057121	0.54361	0.018466	0.01666
Meth__cg00449941__SPAG5	0.039351	0.024775	0.053508	0.036007	0.038374	0.03441	0.040696	0.084022	0.032109	0.036162	0.057065	0.031711	0.054206	0.04906	0.021917	0.036394	0.040225	0.032609	0.05172	0.038358	0.051784	0.033441	0.058775	0.044473	0.034868	0.083406	0.42143	0.092888	0.10192	0.042421	0.032836	0.030932	0.030773	0.047594	0.022764	0.031894	0.03959	0.017909	0.052302	0.043686
Meth__cg04386405__ZNF83	0.038145	0.034628	0.042101	0.24487	0.03606	0.33245	0.052093	0.16997	0.90954	0.032635	0.044585	0.042979	0.10382	0.4751	0.047502	0.040158	0.17477	0.17637	0.11346	0.092284	0.30077	0.25582	0.061273	0.04087	0.050495	0.35597	0.047313	0.051162	0.32594	0.062088	0.043633	0.091151	0.28897	0.22202	0.029713	0.03553	0.087478	0.043389	0.39389	0.22316
Meth__cg25947945__LAD1	0.22739	0.030286	0.073749	0.038028	0.23366	0.96948	0.31025	0.94661	0.40688	0.030853	0.11937	0.032152	0.031983	0.14437	0.032562	0.025891	0.54283	0.64768	0.085125	0.40016	0.16021	0.37178	0.45621	0.95712	0.13508	0.93954	0.10957	0.073698	0.44856	0.07709	0.86517	0.028813	0.95615	0.036808	0.059542	0.035017	0.09522	0.062686	0.21136	0.03996
Meth__cg00728317__MT1F	0.11482	0.48127	0.1218	0.3621	0.11283	0.65832	0.25875	0.60039	0.59386	0.095978	0.089356	0.083282	0.46402	0.15081	0.063354	0.10117	0.75039	0.1101	0.12838	0.43844	0.15773	0.23577	0.11212	0.53635	0.092353	0.8043	0.5699	0.12068	0.14442	0.16908	0.12551	0.085827	0.11138	0.28344	0.1933	0.25128	0.25127	0.13418	0.076752	0.078234
Meth__cg21922841__SLC9A3R1	0.044974	0.018208	0.20621	0.02608	0.027716	0.39734	0.06852	0.23934	0.28439	0.028047	0.037116	0.085945	0.079541	0.079498	0.027572	0.034164	0.094118	0.19259	0.042213	0.028081	0.10669	0.057086	0.49124	0.031565	0.11855	0.18491	0.069953	0.057045	0.178	0.027038	0.022754	0.03042	0.039804	0.04892	0.017868	0.037247	0.055263	0.018286	0.026066	0.026496
Meth__cg15820809__BIK	0.052375	0.040701	0.070758	0.051755	0.034797	0.9658	0.053618	0.66411	0.043484	0.032347	0.046746	0.78657	0.10642	0.055359	0.042647	0.029788	0.059956	0.040306	0.071641	0.24398	0.058426	0.059011	0.056472	0.065891	0.038482	0.35009	0.065664	0.06105	0.089945	0.063227	0.052933	0.023467	0.043933	0.033591	0.036598	0.044121	0.095405	0.060941	0.088118	0.066068
Meth__cg03067226__TPI1	0.033545	0.037145	0.05096	0.046574	0.035105	0.10126	0.049523	0.10497	0.041572	0.031754	0.033819	0.06331	0.30541	0.27108	0.034909	0.036592	0.072869	0.036888	0.059305	0.049752	0.17002	0.067049	0.13296	0.27743	0.066707	0.087237	0.11334	0.053439	0.27963	0.048425	0.030337	0.043332	0.057472	0.13052	0.043586	0.026026	0.064058	0.066741	0.084049	0.03659
