Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg06022562__FLJ13841	0.085558	0.10554	0.072057	0.059399	0.92006	0.080737	0.84274	0.8998	0.1083	0.075742	0.67222	0.2069	0.27778	0.34233	0.09894	0.84796	0.19148	0.89282	0.074745	0.075066	0.093206	0.93661	0.064456	0.85915	0.12639	0.27999	0.92071	0.097748	0.079195	0.10402	0.93451	0.49174	0.8614	0.083839	0.36575	0.15427	0.081413	0.10217	0.14365	0.27364
Meth__cg08097882__POU4F1	0.9762	0.031396	0.9787	0.97753	0.027767	0.97849	0.17717	0.038242	0.061332	0.98053	0.30202	0.061548	0.88453	0.98212	0.07075	0.030532	0.176	0.35387	0.97662	0.96029	0.97568	0.070794	0.9774	0.95721	0.96899	0.36385	0.042627	0.93363	0.03604	0.50972	0.039343	0.12096	0.075376	0.97891	0.98007	0.93953	0.98218	0.97318	0.93811	0.97418
Meth__cg15210427__CST9L	0.89454	0.22279	0.89698	0.78067	0.028283	0.39384	0.023089	0.057645	0.10265	0.68244	0.12458	0.56696	0.41427	0.029804	0.11849	0.079038	0.061728	0.030258	0.7802	0.823	0.94388	0.033912	0.93696	0.031235	0.49292	0.58551	0.053419	0.028298	0.037944	0.13013	0.04177	0.034676	0.048325	0.78658	0.14042	0.37707	0.86499	0.48963	0.051044	0.60433
Meth__cg07499072__FST	0.57022	0.51072	0.47527	0.13749	0.049124	0.7538	0.03009	0.042225	0.051983	0.39647	0.59998	0.089083	0.093037	0.10597	0.063842	0.053862	0.085899	0.073934	0.86134	0.82915	0.4524	0.049879	0.82255	0.059233	0.062082	0.075564	0.052425	0.66973	0.32059	0.38456	0.052701	0.064111	0.39906	0.17394	0.70046	0.44777	0.26777	0.10134	0.70227	0.25794
Meth__cg00243313__IRX4	0.029184	0.023705	0.027316	0.017799	0.78009	0.038015	0.08037	0.93953	0.13974	0.025441	0.026216	0.030656	0.40097	0.056494	0.1059	0.68599	0.090337	0.052295	0.026314	0.028003	0.32311	0.2733	0.022879	0.75008	0.039598	0.048514	0.039626	0.62835	0.26399	0.051565	0.029355	0.034529	0.085462	0.021158	0.25412	0.033346	0.036342	0.02772	0.69905	0.029975
Meth__cg25488206__RBM9	0.084582	0.09994	0.064376	0.78919	0.037693	0.82889	0.055631	0.035925	0.066058	0.28147	0.88381	0.066496	0.095462	0.053662	0.067146	0.055365	0.062629	0.036458	0.74371	0.58167	0.92516	0.054122	0.8935	0.083587	0.080861	0.060621	0.052391	0.93672	0.062047	0.10394	0.058769	0.043314	0.062231	0.18055	0.19939	0.12041	0.75208	0.81659	0.093183	0.66964
Meth__cg11120551__CHD1L	0.039951	0.059117	0.053246	0.05155	0.55393	0.036666	0.69037	0.4563	0.179	0.050657	0.44983	0.41311	0.23806	0.027383	0.18118	0.32312	0.23681	0.094992	0.075375	0.040437	0.094174	0.63684	0.029467	0.56994	0.064353	0.1313	0.55284	0.060335	0.15869	0.10331	0.23722	0.070744	0.35371	0.050652	0.15739	0.095276	0.052946	0.041293	0.11125	0.050127
Meth__cg14696820__LCE1A	0.78181	0.054517	0.80997	0.81211	0.070148	0.52188	0.052207	0.52887	0.48598	0.34674	0.20579	0.60197	0.56735	0.022814	0.40042	0.12982	0.073207	0.032323	0.38814	0.58376	0.17347	0.051905	0.71334	0.10847	0.63104	0.14728	0.25818	0.30099	0.044434	0.11369	0.061383	0.055471	0.047187	0.76557	0.41672	0.28441	0.71889	0.53258	0.6129	0.65508
Meth__cg08878744__LCE1B	0.87062	0.022967	0.90843	0.90159	0.035698	0.55539	0.17666	0.37713	0.25872	0.25949	0.058831	0.22714	0.22253	0.016082	0.19462	0.052291	0.072897	0.028881	0.083253	0.22645	0.053975	0.041692	0.88766	0.057072	0.45459	0.07328	0.060037	0.17638	0.029468	0.046834	0.031624	0.048288	0.039325	0.79829	0.49224	0.088053	0.7597	0.49817	0.67817	0.56527
Meth__cg04444771__C10orf10	0.049124	0.080543	0.033884	0.031894	0.58503	0.043196	0.21109	0.422	0.3801	0.040331	0.087482	0.1177	0.06305	0.033185	0.31408	0.35654	0.050441	0.042652	0.038024	0.039169	0.044165	0.84506	0.022256	0.48206	0.036273	0.083599	0.90655	0.048407	0.031762	0.031978	0.85503	0.84182	0.15447	0.021963	0.16001	0.054477	0.035515	0.035007	0.11089	0.034544
Meth__cg13098960__SOX15	0.15483	0.2279	0.50734	0.84901	0.4053	0.74553	0.19181	0.11458	0.14386	0.83808	0.87774	0.14546	0.29777	0.822	0.13963	0.058414	0.086164	0.036435	0.9087	0.87881	0.83329	0.75938	0.84144	0.26389	0.34097	0.16473	0.024716	0.84952	0.087893	0.36927	0.10871	0.035104	0.16797	0.36099	0.045918	0.67532	0.6386	0.76193	0.55438	0.64256
Meth__cg08348496__HAPLN3	0.94355	0.047727	0.95838	0.96418	0.2441	0.92347	0.16947	0.57276	0.031471	0.96594	0.49632	0.070914	0.90846	0.078794	0.047239	0.06531	0.54987	0.028731	0.9715	0.96468	0.34358	0.6252	0.53432	0.059889	0.94869	0.075652	0.32564	0.91954	0.28386	0.038635	0.067618	0.024429	0.027285	0.48028	0.77042	0.8686	0.96568	0.94271	0.82087	0.90152
Meth__cg18671950__FBN1	0.95819	0.56749	0.20773	0.56488	0.032863	0.95284	0.042697	0.50313	0.042974	0.95753	0.95632	0.22186	0.86551	0.067403	0.059906	0.059498	0.13129	0.028088	0.97385	0.97106	0.96267	0.048806	0.96295	0.073842	0.08702	0.18135	0.035172	0.92016	0.18686	0.10874	0.029025	0.05082	0.044826	0.14055	0.96606	0.90309	0.54184	0.94537	0.88401	0.93261
Meth__cg24256211__SAMD4A	0.25445	0.32127	0.76729	0.68995	0.038066	0.75559	0.048156	0.082467	0.16908	0.33409	0.22815	0.31118	0.27128	0.18784	0.12834	0.082049	0.14011	0.040153	0.54842	0.35634	0.91081	0.20628	0.83815	0.081409	0.67088	0.1095	0.046896	0.50788	0.074764	0.25002	0.05856	0.034255	0.073037	0.75977	0.03643	0.082951	0.22215	0.66461	0.33968	0.63614
Meth__cg24723331__ST8SIA1	0.75565	0.55296	0.95573	0.94976	0.89576	0.95221	0.12665	0.048658	0.092265	0.94039	0.052505	0.28361	0.11306	0.6338	0.13298	0.061203	0.11494	0.31183	0.95343	0.96503	0.49122	0.22166	0.94694	0.91924	0.82828	0.078529	0.065712	0.94862	0.033951	0.44525	0.079522	0.036936	0.29661	0.92206	0.90329	0.52341	0.38089	0.94044	0.93341	0.94838
Meth__cg00673191__DOPEY2	0.068182	0.072102	0.091344	0.086237	0.83658	0.090206	0.51088	0.86324	0.68077	0.058868	0.65159	0.2425	0.26187	0.092826	0.47178	0.65658	0.16736	0.29676	0.061847	0.090241	0.092583	0.775	0.068129	0.081341	0.12534	0.24718	0.8347	0.17652	0.34218	0.10886	0.80671	0.69971	0.41973	0.077041	0.070452	0.10426	0.086177	0.085878	0.17674	0.089568
Meth__cg07260017__CSF1R	0.096571	0.19143	0.95479	0.94218	0.64628	0.82352	0.14825	0.49686	0.036112	0.38697	0.86711	0.77301	0.20028	0.31622	0.15725	0.22238	0.20989	0.024179	0.87197	0.89342	0.94264	0.055903	0.9301	0.087459	0.92258	0.26802	0.066133	0.76223	0.064299	0.26979	0.1162	0.031667	0.093833	0.87792	0.38082	0.93213	0.75741	0.87979	0.75699	0.82266
Meth__cg02643667__TFF1	0.049689	0.57512	0.052204	0.036582	0.76102	0.042216	0.91022	0.95344	0.93152	0.055862	0.93106	0.88398	0.84968	0.060999	0.76543	0.93325	0.82079	0.061044	0.07162	0.048112	0.3084	0.88231	0.13065	0.24647	0.06176	0.16652	0.91611	0.088214	0.90776	0.52603	0.91637	0.93211	0.42609	0.04603	0.3582	0.50609	0.046928	0.1667	0.15998	0.071197
Meth__cg24642468__MGC33367	0.17444	0.056943	0.74341	0.66744	0.075289	0.082155	0.097318	0.096016	0.065761	0.22129	0.37405	0.1773	0.075897	0.095433	0.072137	0.068943	0.1303	0.076711	0.44297	0.33232	0.91326	0.09377	0.92181	0.11093	0.072848	0.10182	0.082002	0.27993	0.063595	0.11388	0.31152	0.066395	0.070419	0.32362	0.25109	0.13603	0.842	0.21095	0.10893	0.14699
Meth__cg07211259__PDCD1LG2	0.81331	0.21872	0.76218	0.80618	0.052284	0.85562	0.19203	0.46059	0.70205	0.68948	0.75117	0.068915	0.20686	0.68405	0.59066	0.2142	0.1156	0.038091	0.73487	0.70226	0.89875	0.11557	0.82545	0.08559	0.75673	0.16885	0.064974	0.81211	0.36081	0.26967	0.14104	0.0576	0.051492	0.59326	0.57979	0.20401	0.81391	0.69716	0.74349	0.66784
Meth__cg25692323__ZNF485	0.087108	0.15162	0.033591	0.031858	0.44061	0.046127	0.68032	0.78223	0.50887	0.039526	0.59286	0.43867	0.47698	0.025165	0.45543	0.39686	0.13512	0.11028	0.040486	0.035356	0.055794	0.31127	0.045569	0.63543	0.037032	0.073809	0.63146	0.089084	0.58729	0.11232	0.2858	0.65739	0.68933	0.045598	0.060431	0.079449	0.040326	0.040716	0.074546	0.033674
Meth__cg03475172__USP6NL	0.074178	0.1597	0.23973	0.0503	0.74547	0.19023	0.8472	0.88775	0.31726	0.070683	0.58999	0.64735	0.38526	0.08425	0.28568	0.84397	0.257	0.51561	0.20509	0.087166	0.21099	0.75943	0.16908	0.36386	0.21553	0.55421	0.70989	0.2692	0.14776	0.16346	0.85841	0.37261	0.19856	0.13076	0.26178	0.21812	0.081212	0.14298	0.2312	0.27074
Meth__cg10801213__SLC7A3	0.32946	0.01362	0.88977	0.48952	0.55393	0.85983	0.10015	0.92535	0.49838	0.77307	0.40021	0.10289	0.58087	0.28654	0.42226	0.25694	0.040841	0.034477	0.44551	0.83402	0.029422	0.096578	0.94387	0.088526	0.73964	0.020505	0.077724	0.21773	0.03829	0.090292	0.038684	0.022675	0.029746	0.83157	0.026809	0.12644	0.87536	0.46814	0.42599	0.85682
Meth__cg03960217__LCE2C	0.68126	0.044472	0.83229	0.77716	0.045709	0.37595	0.20953	0.40679	0.18943	0.17979	0.10549	0.32479	0.40547	0.026551	0.17622	0.12303	0.066846	0.033846	0.35229	0.31077	0.066021	0.044494	0.74369	0.062996	0.63455	0.10243	0.14335	0.27711	0.051661	0.048646	0.066288	0.070988	0.060601	0.75358	0.27269	0.1576	0.72401	0.36657	0.5924	0.52356
Meth__cg18392783__PRKCDBP	0.72279	0.05668	0.92889	0.92279	0.39119	0.92838	0.13322	0.068458	0.092324	0.9204	0.095684	0.097667	0.89594	0.040635	0.10376	0.072654	0.1539	0.050832	0.93983	0.9281	0.081283	0.10755	0.064907	0.12885	0.90392	0.11032	0.073124	0.85172	0.13035	0.13426	0.060323	0.049095	0.053102	0.91698	0.91754	0.83479	0.87116	0.61401	0.42539	0.90978
Meth__cg12108912__MGC10993	0.11655	0.095044	0.1282	0.092884	0.86415	0.12486	0.73319	0.85873	0.59936	0.10685	0.66053	0.61235	0.296	0.28599	0.45161	0.85405	0.28052	0.78285	0.078471	0.083123	0.10069	0.31159	0.15758	0.79091	0.1338	0.20445	0.89836	0.17964	0.48701	0.12073	0.41155	0.84576	0.79788	0.32434	0.11566	0.18805	0.13804	0.11306	0.14967	0.12503
Meth__cg18995088__CXCL14	0.13009	0.06522	0.87864	0.73717	0.789	0.75714	0.43414	0.13569	0.057038	0.94561	0.94576	0.082846	0.92983	0.019361	0.076088	0.037238	0.077735	0.021312	0.94705	0.96279	0.45333	0.067882	0.84093	0.54491	0.17306	0.040077	0.040484	0.70948	0.04542	0.061764	0.08888	0.040494	0.031228	0.95868	0.5601	0.70953	0.043346	0.91229	0.30979	0.95595
Meth__cg05927017__BCL2	0.038913	0.14424	0.038001	0.027964	0.70592	0.035381	0.81453	0.2235	0.052501	0.029322	0.058171	0.16514	0.17608	0.038999	0.060481	0.49038	0.14828	0.19028	0.032972	0.032799	0.035414	0.89464	0.032288	0.48174	0.037637	0.056026	0.80194	0.086837	0.16168	0.13467	0.039283	0.032025	0.14138	0.068674	0.039959	0.086834	0.045231	0.034933	0.061623	0.028387
Meth__cg13997435__S100A2	0.051686	0.15071	0.38887	0.55394	0.040764	0.6049	0.05134	0.020118	0.35763	0.63282	0.65598	0.024283	0.053787	0.61173	0.34525	0.03444	0.08549	0.0314	0.57216	0.77358	0.85043	0.049118	0.26298	0.094232	0.51519	0.15065	0.036273	0.49597	0.093033	0.27491	0.036023	0.033339	0.049017	0.27137	0.047993	0.34487	0.67144	0.55196	0.159	0.43255
Meth__cg18959478__PRKCDBP	0.80778	0.063788	0.91341	0.89836	0.49882	0.89536	0.043815	0.073632	0.15757	0.87039	0.063649	0.05427	0.87971	0.098556	0.12864	0.061776	0.099365	0.058532	0.91957	0.88515	0.13822	0.1674	0.1144	0.064625	0.86319	0.083086	0.07105	0.80485	0.24765	0.098406	0.061983	0.060949	0.05108	0.87469	0.87397	0.7166	0.89005	0.6306	0.4198	0.83564
Meth__cg27067618__CYP4F3	0.08855	0.089527	0.53711	0.37852	0.079858	0.19628	0.15012	0.17027	0.066329	0.21437	0.23001	0.17965	0.14566	0.39841	0.070621	0.19431	0.29572	0.074648	0.33822	0.53127	0.10727	0.08717	0.7788	0.14756	0.62848	0.23643	0.19766	0.47864	0.13541	0.27521	0.11335	0.070583	0.10191	0.46678	0.16484	0.54781	0.25907	0.40497	0.60135	0.19539
Meth__cg03167883__FLJ46365	0.78458	0.066197	0.77302	0.85591	0.057775	0.71062	0.20842	0.83098	0.048406	0.37563	0.78852	0.35561	0.53666	0.08947	0.065444	0.62875	0.54714	0.039449	0.75058	0.68991	0.13063	0.060925	0.84019	0.15672	0.27013	0.14494	0.049871	0.5683	0.10283	0.11122	0.05162	0.062952	0.059578	0.82152	0.76068	0.11388	0.59709	0.42627	0.54082	0.45067
Meth__cg04993257__PLAC2	0.050234	0.056214	0.071465	0.048435	0.90588	0.090424	0.8195	0.35652	0.49833	0.064161	0.38732	0.067105	0.11862	0.067768	0.41367	0.22762	0.075083	0.83776	0.061686	0.046958	0.10669	0.050662	0.049068	0.88682	0.060935	0.073114	0.06221	0.091118	0.081087	0.060272	0.45007	0.3686	0.12381	0.042119	0.65453	0.093518	0.058035	0.05034	0.09948	0.053526
Meth__cg15604467__POU4F1	0.78584	0.048593	0.94927	0.89938	0.035643	0.95129	0.069297	0.032875	0.057066	0.056491	0.054447	0.024373	0.71962	0.87486	0.047498	0.037323	0.56988	0.063737	0.9615	0.95183	0.94318	0.049797	0.93508	0.89775	0.9208	0.39275	0.038934	0.90067	0.039227	0.48903	0.040116	0.058519	0.073911	0.95811	0.90875	0.83994	0.92259	0.8356	0.90517	0.91006
Meth__cg08097973__NUMA1	0.10976	0.053274	0.058325	0.052638	0.94915	0.10459	0.875	0.2317	0.085981	0.054927	0.076555	0.3951	0.068898	0.060773	0.089345	0.25135	0.10156	0.83911	0.043424	0.060262	0.1116	0.90976	0.049792	0.88489	0.086794	0.12639	0.93388	0.094368	0.075184	0.084836	0.67872	0.9615	0.93089	0.059462	0.063393	0.12064	0.078519	0.080645	0.11674	0.049587
Meth__cg10098888__IRS1	0.020772	0.022124	0.72179	0.020586	0.95339	0.17659	0.94126	0.69546	0.9334	0.019234	0.63075	0.90594	0.91673	0.027478	0.87473	0.90383	0.63659	0.94905	0.018993	0.029943	0.023072	0.96015	0.021985	0.031584	0.031961	0.036965	0.9446	0.050281	0.88569	0.039945	0.11373	0.95957	0.95856	0.021879	0.91119	0.13336	0.036661	0.080663	0.039228	0.025599
Meth__cg03698393__HAPLN3	0.79335	0.05615	0.89057	0.91525	0.061785	0.91627	0.071245	0.51816	0.033535	0.90386	0.30202	0.19205	0.85501	0.062557	0.041688	0.093175	0.6847	0.036875	0.92575	0.90665	0.33423	0.4844	0.44196	0.060245	0.89874	0.099755	0.24952	0.9258	0.23386	0.065798	0.16299	0.034869	0.027255	0.61049	0.86925	0.49604	0.91962	0.80404	0.75183	0.85078
Meth__cg16245261__PRKCDBP	0.72705	0.05243	0.89555	0.73029	0.30544	0.52796	0.11111	0.052952	0.096729	0.68071	0.082096	0.26244	0.57302	0.059811	0.1117	0.092571	0.20845	0.09409	0.42778	0.42774	0.11599	0.089734	0.42691	0.091419	0.61039	0.088987	0.098884	0.17963	0.45085	0.12772	0.069953	0.051734	0.074111	0.085013	0.33006	0.72243	0.72104	0.61394	0.14515	0.58942
Meth__cg08214029__CCL18	0.11555	0.052268	0.30739	0.22748	0.041426	0.15926	0.1309	0.05337	0.13047	0.055745	0.1361	0.11328	0.14818	0.035361	0.095633	0.061078	0.053065	0.043599	0.30455	0.17738	0.7568	0.039356	0.66342	0.062049	0.091423	0.080929	0.055162	0.12634	0.042957	0.070199	0.048935	0.037146	0.17307	0.33439	0.042873	0.15255	0.45122	0.097164	0.11016	0.073288
Meth__cg09937039__BATF	0.052232	0.043691	0.041803	0.05822	0.35128	0.070551	0.94556	0.96718	0.82424	0.048704	0.89918	0.073694	0.081862	0.6954	0.63978	0.94482	0.054771	0.30425	0.026609	0.051861	0.95396	0.91751	0.041691	0.84057	0.11645	0.085787	0.8596	0.52979	0.062211	0.055943	0.66511	0.95144	0.74989	0.93443	0.27885	0.18147	0.044647	0.041622	0.083603	0.0977
Meth__cg25168545__GIMAP1	0.82724	0.064087	0.85064	0.73416	0.075272	0.74341	0.13093	0.13724	0.7862	0.425	0.78614	0.47147	0.56654	0.047529	0.58098	0.36022	0.16339	0.061258	0.62747	0.71089	0.88446	0.11862	0.86512	0.13711	0.22824	0.13047	0.30491	0.23892	0.079213	0.14341	0.077925	0.11216	0.098097	0.77194	0.21488	0.084213	0.83044	0.45765	0.26038	0.58005
Meth__cg19055231__STAC	0.76327	0.065162	0.92712	0.13442	0.038438	0.92847	0.034857	0.023621	0.050088	0.089373	0.90614	0.053059	0.10935	0.92654	0.051187	0.49542	0.089246	0.029941	0.35623	0.40602	0.29855	0.081727	0.92573	0.09228	0.63863	0.10303	0.33671	0.86768	0.048892	0.29445	0.068551	0.030101	0.032966	0.91124	0.6006	0.055533	0.11865	0.93164	0.52608	0.88249
Meth__cg14494812__TOB1	0.072696	0.13068	0.048242	0.071856	0.93006	0.073532	0.85048	0.96071	0.83109	0.076621	0.8906	0.8944	0.55904	0.060396	0.76846	0.9174	0.84272	0.88012	0.21016	0.12577	0.085239	0.93442	0.27606	0.89721	0.03816	0.2345	0.90058	0.11702	0.53696	0.23783	0.94165	0.89261	0.9796	0.2002	0.070151	0.047287	0.087179	0.050452	0.053163	0.035481
Meth__cg11207564__CCL3L3	0.683	0.083652	0.57937	0.5918	0.029621	0.39088	0.16137	0.15402	0.3615	0.18582	0.14155	0.14307	0.20643	0.031806	0.1758	0.10992	0.036469	0.039814	0.26222	0.32697	0.77326	0.030731	0.75045	0.071772	0.21325	0.060282	0.19905	0.23149	0.043154	0.079416	0.060593	0.031548	0.050913	0.14409	0.11219	0.071392	0.78362	0.3499	0.30818	0.22456
Meth__cg05628549__PRKCDBP	0.96622	0.16524	0.97629	0.95506	0.49809	0.95208	0.033323	0.033661	0.08577	0.95679	0.046064	0.12535	0.92706	0.19141	0.17949	0.10098	0.16353	0.035199	0.9726	0.95186	0.92398	0.10358	0.59688	0.047314	0.96435	0.18426	0.049415	0.92927	0.91566	0.18792	0.040717	0.028187	0.047584	0.5329	0.97579	0.77639	0.97006	0.93959	0.70464	0.9393
Meth__cg18464137__SEMA3E	0.13107	0.048329	0.063129	0.059142	0.41587	0.075795	0.42846	0.92134	0.93607	0.059945	0.68551	0.08511	0.20054	0.18544	0.76897	0.41663	0.095691	0.41402	0.042386	0.060107	0.89713	0.10551	0.055545	0.088533	0.084117	0.10128	0.33851	0.9103	0.088765	0.080617	0.32658	0.8323	0.11383	0.53144	0.16718	0.089109	0.080666	0.065782	0.08999	0.066252
Meth__cg01835489__KRT8	0.06704	0.15679	0.09875	0.092514	0.63088	0.16077	0.81298	0.22344	0.19476	0.24175	0.29513	0.35596	0.30668	0.050128	0.25224	0.15735	0.30785	0.78666	0.30041	0.21642	0.28519	0.79819	0.11809	0.6179	0.099801	0.23408	0.75288	0.17175	0.22642	0.12744	0.55015	0.79709	0.27538	0.10078	0.11894	0.074353	0.067795	0.087853	0.17221	0.06684
Meth__cg17484237__HAVCR2	0.63833	0.081088	0.74405	0.52954	0.11758	0.3671	0.12127	0.41091	0.55491	0.44532	0.43285	0.13247	0.18948	0.051364	0.45752	0.2191	0.12073	0.080539	0.12313	0.16878	0.6839	0.068375	0.83358	0.13044	0.10128	0.1059	0.35435	0.10566	0.061714	0.11076	0.056558	0.089201	0.12812	0.71769	0.13574	0.29381	0.67924	0.54764	0.27615	0.31167
Meth__cg15900980__GPX1	0.040667	0.94337	0.051706	0.96708	0.029646	0.18086	0.13271	0.028742	0.9451	0.45459	0.95722	0.095941	0.063996	0.091738	0.9552	0.033965	0.066721	0.1622	0.9691	0.96247	0.43895	0.90008	0.95744	0.055759	0.088757	0.056099	0.031813	0.065529	0.048904	0.92836	0.034062	0.033818	0.029214	0.9744	0.86217	0.94103	0.94246	0.94083	0.94365	0.93726
Meth__cg16750914__KIAA1212	0.39738	0.046037	0.10112	0.03189	0.017617	0.036347	0.057479	0.019496	0.019422	0.021625	0.026639	0.019527	0.03352	0.3312	0.025011	0.017661	0.041448	0.017862	0.79376	0.49534	0.020007	0.018562	0.19078	0.047387	0.026196	0.030295	0.021964	0.96394	0.021552	0.056795	0.022601	0.018982	0.01874	0.64854	0.20102	0.12275	0.72782	0.035168	0.64739	0.098987
Meth__cg25025243__GSTP1	0.16491	0.13901	0.11518	0.15738	0.85582	0.13119	0.69643	0.12573	0.166	0.13017	0.13622	0.31532	0.30233	0.11139	0.15429	0.5543	0.28177	0.62854	0.11601	0.16284	0.064457	0.57071	0.11955	0.7621	0.15389	0.25425	0.77497	0.21482	0.17539	0.24667	0.33212	0.35516	0.43811	0.12855	0.19528	0.13169	0.15115	0.094258	0.2505	0.077987
Meth__cg01599709__HBEGF	0.29577	0.61804	0.96103	0.92748	0.04194	0.78573	0.047039	0.30018	0.047499	0.91637	0.066651	0.24879	0.90121	0.052096	0.23196	0.07229	0.11704	0.040864	0.84302	0.93201	0.8416	0.17806	0.57214	0.058901	0.10289	0.096518	0.047942	0.91059	0.0747	0.50592	0.041271	0.039621	0.048337	0.87123	0.91973	0.095479	0.45584	0.63075	0.86327	0.89925
Meth__cg10305797__UNQ467	0.83815	0.081272	0.90325	0.80811	0.095983	0.77086	0.20791	0.82757	0.026652	0.74507	0.3895	0.85683	0.84607	0.023164	0.040603	0.51905	0.035297	0.02241	0.80646	0.84126	0.90815	0.16025	0.91508	0.10595	0.70273	0.10881	0.3435	0.2242	0.21936	0.25599	0.26242	0.23914	0.037441	0.74012	0.69137	0.36993	0.85738	0.4162	0.78063	0.70979
