Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G8221__CDH11__CDH11	0.79052	0.19957	1.1551	0	8.6171	1.5558	5.8768	8.8783	0.1995	0.15665	0.46098	2.9491	6.0302	4.7511	1.4071	2.1427	5.2153	0.78652	7.7193	0	0.078446	0	0.063857	7.6977	0.12672	0	0.52377	0	6.0073	0.74857	1.9015	0	0	0	0.55314	0.40122	0
RS_G7308__CAPN9__CAPN9	6.4438	3.1332	3.5347	3.5598	0	1.0939	0.31269	0.32114	6.6264	0.27084	0.18039	0	0.54781	0.42803	2.2606	0	0	0.48368	0.58627	2.7745	2.9198	2.5747	3.4162	0	6.9213	2.4802	0	2.4484	0	0	3.2866	0	2.8086	4.4383	4.2802	5.3116	6.7046
RS_G11561__PRSS12__PRSS12	1.496	0.54609	0.25057	0.080545	5.6392	0.8661	5.8391	2.788	0.085993	0.31015	10.2082	5.2016	4.7765	2.0344	0.29579	9.7569	4.8767	1.5091	5.9064	0.22633	0.48493	0.61684	3.2744	4.7183	0.48861	0.70177	5.0703	0	4.227	6.4227	1.9942	5.4288	0.17025	0	0.1576	1.3084	2.2724
RS_G4225__SPARC__SPARC	0.1343	0.14978	0.094438	0.083816	14.1217	2.1509	6.2713	9.2733	0.091823	0.11392	4.201	0.91565	6.6944	2.2353	0	11.9638	11.47	4.5495	13.0059	1.8624	0.63481	5.5294	3.5813	6.8619	0.63899	1.2224	2.1099	0	6.5885	3.3867	0	2.9029	0	0	0.40268	0.4355	0
RS_G18078__SH2D5__SH2D5	0.21811	2.3234	1.2762	2.4179	5.7967	1.1809	4.2305	4.8873	0.91539	1.4472	5.1697	7.1606	4.7174	0.25198	1.0908	3.3957	4.006	0.24591	5.9778	3.6847	1.5134	2.4549	1.9279	4.9347	1.5129	0.72962	1.0212	0	8.9352	3.609	0.23661	3.6942	0.88422	0.72472	1.7876	0.20018	0.38111
RS_G12846__TMEM22__TMEM22	0.12489	0	0.32872	0.95172	4.2412	0.87813	2.461	4.4274	0.80793	3.5709	4.2807	6.2727	4.3571	0	1.7302	0	7.038	2.6853	6.3906	0	0.5475	1.363	0.4634	7.9347	1.5709	0.51138	3.5586	0	0.28293	4.4032	1.3373	4.1658	0	0	0.88919	0	0
RS_G920__BCAS1__BCAS1	6.6372	8.9475	11.0683	7.1505	0.93032	5.61	1.127	1.64	10.7186	6.2652	0.25653	0.51932	2.3365	4.0923	7.4486	1.1356	0.70967	1.8382	0.95512	8.6848	6.957	6.1282	6.1222	0.83247	6.1234	2.181	0.54974	9.4061	0.49246	0.40769	7.3227	1.9885	4.6113	6.1188	8.185	7.2271	7.9636
RS_G3155__CEACAM5__CEACAM5	7.7277	3.0865	5.2121	4.8633	0.070684	0.77155	0.33646	0.23729	6.8653	2.8689	0.19396	1.5222	1.9951	3.6506	2.6469	0.67372	0.38368	1.983	0.44479	4.5313	5.7591	1.2814	6.2762	0.25678	6.8029	0.24994	1.5637	1.7276	0	0	5.413	0.66264	3.5968	3.7252	3.876	4.8808	6.2929
RS_G16385__ASCL2__ASCL2	1.3561	1.7678	6.3934	5.118	0	0.60927	3.6364	0	7.9802	1.7904	3.6262	1.2266	0.97424	1.6838	2.9164	0	0	0	0	6.1358	5.1486	2.6192	3.8314	0	4.9558	2.2584	3.9371	1.324	0	0	5.8229	3.1506	4.2456	3.9544	6.2684	5.2367	5.0406
RS_G13489__LRRC8C__LRRC8C	2.418	1.5417	1.7488	2.4041	6.0762	1.4049	4.2775	5.247	3.3365	3.6831	5.1997	6.6789	3.9768	4.0136	3.0991	6.0583	4.9818	5.6925	6.064	0.087916	2.0266	4.3586	2.1772	8.3452	1.0245	0.97754	5.5085	0	2.3141	2.6248	0.61749	3.3056	1.4293	1.3006	1.0774	1.2874	1.824
RS_G10056__ADAMTS1__ADAMTS1	0.40649	0.19684	2.7451	4.6542	9.1222	3.9788	5.5768	5.2846	2.2992	7.1431	5.8779	7.4379	3.0483	2.3121	3.8107	6.6168	5.8881	3.6986	9.0055	0.10674	0.26857	2.8343	3.8711	3.8867	5.6499	6.545	7.2146	0	2.307	6.9795	5.0715	2.4462	1.1737	1.1843	1.2481	4.9621	4.8179
RS_G21888__SLC44A4__SLC44A4	10.1997	2.5993	3.2179	3.4584	0.35858	1.975	0.68161	1.0928	1.3355	1.6234	1.0694	0.30153	1.3511	0.95468	8.2946	0.2895	0.70528	5.6633	0.79152	1.3571	1.618	5.8168	4.6087	0.18325	5.3455	5.4773	1.4984	5.7888	0.4787	1.0129	0.11083	2.6885	1.277	2.3329	4.2833	8.7733	7.8269
RS_G7983__GLIPR1__GLIPR1	0.55287	0.2859	0.94121	0.19873	8.8142	0.67508	3.8198	6.0225	0.83764	0.62063	3.6456	5.4165	4.5642	4.8421	0.25714	6.5035	8.1578	4.0803	7.825	0.6577	0.57361	0.73209	1.9436	6.5993	0.1263	0	4.548	1.235	1.7892	3.8954	0.71376	4.6243	0.72126	1.595	0.29975	0.35881	0.094808
RS_G1470__BPIL1__BPIL1	9.0019	2.3379	6.5411	4.0732	0.67379	1.6678	0	0	5.0973	0.35871	0.2413	0	0.21207	2.5818	3.5613	0	0	0.62709	0.42834	0.26293	0.58624	0.70384	1.2384	0	4.738	4.0067	0	2.2751	0	0	7.9807	0	10.7986	0.76241	4.7405	1.2949	0.37323
RS_G21732__AL136362.10__AL136362.10	3.6177	1.379	2.4086	2.3687	6.8619	2.9602	8.6421	5.8491	4.1982	5.6378	2.8629	7.9821	8.2796	3.0449	3.3737	4.9523	3.5242	4.687	7.4838	1.6056	2.2294	4.1893	2.5963	5.016	2.5979	2.9509	8.6236	1.0728	4.8527	7.0765	2.0186	7.1972	2.0514	2.0133	2.6182	1.9024	2.0164
RS_G13359__HAS2__HAS2	0	0	0	0	6.2901	0	0.50167	7.8174	0.34679	2.7205	0	8.4229	1.3124	0	0	0	3.943	0.54231	8.0381	0	0	0	0	3.7323	0	0	5.7447	0	0	2.9735	0	1.4913	0.35491	0	0	0	0
RS_G12839__VAMP5__VAMP5	5.7475	8.4989	5.1276	6.3466	1.0717	4.2899	3.8161	1.723	10.6318	7.4263	5.181	1.7151	4.28	5.4616	6.2318	3.5479	2.1294	5.8416	0.73065	7.4246	6.901	7.2724	7.3036	3.5044	5.257	6.3869	6.9643	6.3121	1.0478	5.9949	5.9216	5.0818	5.9869	5.1714	10.8607	7.7928	6.4989
RS_G16598__PROS1__PROS1	4.6854	0	0	0	6.3048	0.91111	3.1664	1.7086	0.9029	1.3688	2.6571	2.8994	1.0067	1.4914	0.281	4.4328	2.7055	0.13375	1.5091	0.71549	2.8721	0	0.12149	6.4587	0.13992	0	4.1969	0	4.4556	2.5764	0	0.42536	1.3477	0	0.10127	0.55269	0.21169
RS_G10899__PERLD1__PERLD1	7.7632	10.8788	10.843	8.1343	5.7015	7.023	5.4851	6.0545	11.6693	6.7597	1.9356	4.6347	4.808	11.5693	10.3273	7.3482	6.5941	7.0206	5.8111	6.5555	5.7895	6.5318	7.7669	5.3794	9.638	8.0489	7.0386	10.3657	5.6013	6.5852	14.7454	6.0695	5.4877	7.267	11.6018	7.3184	6.7812
RS_G13634__ORMDL3__ORMDL3	8.4193	9.5287	11.0886	8.4463	6.0491	7.462	5.3419	5.8181	7.7038	7.7064	6.3208	5.9623	7.5485	12.5241	7.4138	7.1501	7.5026	6.3917	6.1295	7.3732	7.1072	8.688	6.953	6.6466	7.8685	8.3	6.8689	8.3987	5.4837	5.5453	7.5625	8.0346	6.6454	8.6298	11.0982	8.409	8.0607
RS_G6523__AKAP12__AKAP12	0.48642	0.34772	0.16809	2.1495	5.5885	0.33163	6.7678	0.96527	0.96731	3.3321	2.3494	6.1267	4.1382	1.0678	0	2.8552	8.078	0	5.7452	2.4205	3.1946	0.68596	1.622	8.2417	0.16066	0.07179	1.6561	0	4.598	3.5179	0.14966	6.5708	0.9599	3.6759	1.7645	0.4458	0.6065
RS_G4436__CCL20__CCL20	1.9698	0	0	0	0.92801	0.95898	0.82603	1.8539	0.57533	0	9.1032	2.6324	1.6539	0.51556	0	6.5061	0.53131	1.0229	0.60805	0	0	0	0.45769	0.90037	0	0	7.5608	0	0	6.4299	0.17882	3.4352	0	0	0	0	0
RS_G12975__IL8__IL8	2.4162	0	0.28144	1.3546	5.0009	0.48587	5.3182	3.6831	0.14355	0	4.1919	5.2983	3.3396	5.781	0.47263	6.7404	4.9168	3.9488	7.2819	0.81189	0.25768	0.38226	0.39364	6.1665	0.83746	0	5.9932	0	0.44358	6.3091	3.7779	0.69434	0.7175	0	0	0	0
RS_G12178__SERPINB7__SERPINB7	0.9442	0	0	0	5.6432	0	4.7067	3.7483	0	0	5.5995	5.3599	5.0834	3.2114	0	4.5919	3.2161	2.0948	3.124	0	0	0.75502	3.0792	2.3119	0	0	9.9222	2.1682	0	4.6954	0.18709	3.6766	0.6301	0	0	0	0
RS_G11321__IGFBP7__IGFBP7	0.48984	0.20472	0.64677	0.22802	4.9569	0.60953	10.1072	4.3762	0	0.96387	5.4059	8.8986	8.1983	0.71009	1.6	9.7724	4.1764	5.9428	11.5239	1.4949	0.22795	0	0.6282	9.8327	0.10584	0.93944	10.3537	0	0.70873	4.6982	7.9681	9.9865	0	2.6526	3.9518	0.57635	0
RS_G1887__ARHGAP4__ARHGAP4	4.1786	3.0121	1.9665	7.2583	1.9084	2.7376	1.9753	1.4454	1.9656	6.1295	2.5424	1.2974	1.0461	1.8831	5.4233	1.9435	1.0348	1.9753	1.5813	6.2534	4.0368	2.8938	5.8286	1.1546	3.2345	4.0066	4.2606	2.8494	9.6532	5.0163	4.6067	3.4539	3.2018	6.2045	5.5849	8.5811	8.4355
RS_G8360__GRB7__GRB7	8.0056	12.1647	10.381	7.194	0.81984	5.4189	6.1071	2.0939	11.6616	5.7069	12.2019	5.2958	5.5994	12.9359	10.3673	7.5671	0.68484	7.2676	0.69935	6.6271	5.5221	6.5424	7.9202	4.3394	9.092	9.3835	7.9355	11.2459	0	5.772	14.3583	7.3719	7.0799	6.8735	11.3881	7.0867	7.2831
RS_G2087__CRISP3__CRISP3	12.2314	7.1355	1.9518	1.8899	0.23487	0	0	0	7.5024	2.8094	1.3866	0	1.6931	3.6823	4.0308	1.6394	0.1214	6.0817	0.26944	0.2365	2.9367	3.4422	4.0547	0	2.0069	0	0	8.4934	0	1.1939	2.3662	0.36223	12.7601	5.5423	0.31278	4.6837	1.6889
RS_G7220__AC009656.11__AC009656.11	2.7728	1.3543	0.21494	0.13307	4.9473	0.67267	6.6933	2.7947	0.27108	1.5657	0.47824	3.1129	2.6674	3.6353	0.13274	1.6047	4.259	2.2956	5.8737	2.3902	0.25327	2.2197	4.3194	4.3125	0.93459	1.2714	3.1148	0.17347	2.0208	6.7593	0	1.1061	0.50532	0.53125	0.44155	0.56996	1.2237
RS_G15485__TH__TH	0.21303	9.0793	2.3729	4.2067	0	0	0.41538	0	11.2101	2.4775	0.43724	0	0.82904	1.695	0	0	0	0	1.018	4.0867	2.0259	1.9588	4.3516	0.2489	5.6676	0.44832	0.51398	6.7501	0.45547	1.0089	0	3.2061	3.3023	2.331	2.1226	4.2082	1.1147
RS_G13976__AGR3__AGR3	0.96279	0	5.0594	7.9502	0	0	0	0	7.9209	0	0	0	0.80972	1.3525	0	4.4427	0	7.9863	0	0.96382	4.7527	1.5785	2.7431	0	2.8728	0	0	0	0	0	2.4631	0	5.5046	5.7254	4.8488	7.679	0.75138
RS_G1328__ADD2__ADD2	0.20263	0.2254	0.4463	0.25086	0	0.13381	6.7679	7.3903	0	4.9889	4.1361	6.0514	7.516	0.33157	0	6.6719	5.0306	0.81879	0.28117	1.5899	0.13083	1.1201	3.7528	6.9199	4.0692	0.42801	3.3359	0	4.463	6.2682	1.4621	3.5953	0.073313	0	0.089001	0.18417	0
RS_G2210__PRODH__PRODH	6.6996	8.8601	8.1502	4.8255	0.12095	8.7378	5.7577	0.77143	8.8848	5.7828	1.603	2.3836	5.1535	2.1092	6.5093	3.4667	0.7919	0.3561	1.043	4.9495	1.9741	5.4938	7.7774	0.11484	10.9405	11.3567	6.7245	8.0182	1.3588	2.1155	10.7743	4.0417	8.8787	7.139	7.072	9.1687	9.3919
RS_G13234__AC135457.2__AC135457.2	4.438	5.5184	2.9816	4.176	0	4.1144	0.57084	0.81969	8.4437	3.1298	0.76268	0	0.3818	0.91582	3.4289	0.58332	0	0	0.90435	1.9106	3.1711	4.0342	2.8411	0.1258	6.1146	7.5507	0	4.8409	0.23253	0	4.1265	0	0.80114	3.9769	3.6333	6.1201	5.5207
