Cell lines	21MT1	21NT	21PT	AU565	BT20	BT474	BT549	CAL120	CAL148	CAL851	CAMA1	EFM19	EFM192A	EFM192B	HCC1143	HCC1187	HCC1419	HCC1428	HCC1569	HCC1806	HCC2185	HCC3153	HCC38	HCC70	HS578T	JIMT1	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751
SNP__LOC553158	-0.296	-0.189	-0.362	-0.092	-0.2	-0.161	-0.154	-0.38	-0.685	0.05	0.018	-0.376	-0.418	-0.364	0.287	-0.231	-0.012	-0.391	0.092	-0.114	0.328	0.111	0.432	-4.011	0.16	-0.289	-0.404	-0.52	-3.357	-3.547	-0.223	0.027	0.314	-0.216	-0.182	-0.152	0.004	-0.056	0.51	0.075	0.009	-0.327	-2.757	-0.431
SNP__CFHL4	0.512	-0.21	0.554	0.5	0.162	0.706	0.492	-0.099	0.569	0.209	0.442	0.55	0.439	0.251	2.355	0.418	0.09	-0.838	0.434	0.253	0.176	0.221	2.628	-2.421	-0.061	0.671	0.408	0.351	0.315	0.099	2.833	0.39	0.745	0.263	-0.264	-1.268	0	0.029	0.153	0.243	0.291	0.282	1.222	0.569
SNP__LOC644125	-1.371	-1.853	-1.603	-2.113	0.128	0.929	-1.571	0.362	0.62	-1.907	-0.54	-0.02	-0.465	-0.426	-1.657	0.909	0.077	-2.166	0.968	1.128	0.364	0.146	-1.847	0.007	0.651	-1.391	-2.228	-1.774	-1.502	0.922	-1.829	1.004	-0.051	-1.901	-1.977	0.021	-2.172	-1.48	-1.792	-1.433	-0.348	-1.841	0.456	0.568
SNP__LOC643847	-2.361	-2.467	-2.891	0.113	-0.196	0.435	0.207	0.048	-0.115	0.082	-0.493	-0.019	-0.103	-0.017	-0.09	0.239	-0.981	0.285	-0.048	-0.067	0.28	0.23	-0.021	-0.225	-0.181	-0.009	0.177	0.093	-0.11	0.111	-0.222	-0.037	-0.033	0.051	-0.159	0.307	-0.016	-3.563	0.153	-0.242	0.194	0.326	0.074	-0.458
SNP__ACOT1	-1.466	-1.677	-1.502	0.339	-0.173	0.142	0.204	-0.184	-0.126	-0.356	-0.18	0.223	0.104	0.344	0.109	0.97	-0.286	-0.06	-0.426	-0.147	0.297	0.026	-0.436	-0.187	-0.081	-0.391	-1.966	-2.039	-1.651	-0.202	0.111	-0.318	0.303	0.04	0.184	-0.121	-0.014	0.027	-2.016	0.006	-0.45	0.279	-2.152	-0.052
SNP__ODF4	-0.041	-0.282	-0.028	-0.166	0.165	-0.156	0.458	-0.136	-0.099	0.214	-0.517	-3.307	0.313	0.204	0.038	-0.205	-0.138	-5.279	-0.028	0.258	-0.019	-0.08	-0.412	-4.569	-4.154	-0.34	-0.429	-0.199	0.193	0.103	-0.212	-0.317	-0.61	-0.217	-0.182	0.164	-0.556	-0.156	-0.366	-0.318	-3.845	-0.307	-0.299	-3.855
SNP__CSMD1	-0.873	-0.855	-0.942	-0.578	-0.87	-0.332	0.511	-2.482	-0.736	-1	-0.562	-1.004	-0.448	-0.374	-0.491	0.256	0.07	-0.453	-2.449	-0.152	-0.059	-0.349	-2.453	-1.129	0.005	-1.603	-0.433	-0.588	-2.03	-0.312	-0.823	-0.458	-0.438	-0.588	-0.215	-2.326	0.001	-0.354	0.694	-0.402	-0.746	-0.305	-0.305	-0.118
SNP__EB-1	-0.849	-1.848	-1.055	-0.231	-0.895	0.219	-1.335	-0.408	-0.132	-0.04	0.268	0.864	-2.232	-0.972	-0.404	-0.23	0.09	0.473	-1.84	-0.148	-2.498	-0.286	-0.029	-2.022	-0.242	-0.031	0.183	0.101	-1.554	0.134	0.719	0.221	-0.062	-0.271	0.162	-0.278	0.011	-1.876	-0.239	-0.004	0.561	0.315	-0.262	-0.046
SNP__LOC643473	0.005	-0.01	-0.018	-0.178	-0.209	-0.352	-0.07	-0.06	-0.109	0.47	0.064	-0.427	0.159	-0.027	0.078	0.129	-0.251	-0.141	0.04	-0.124	-0.29	-0.094	0.287	-0.184	-6.439	1.469	-0.006	-0.191	0.002	-0.159	-0.186	0.2	0.211	-0.383	-0.676	0.188	0.002	-0.053	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159
SNP__DLG2	0.921	1.315	0.93	0.113	0.18	-0.244	-1.16	0.266	-0.115	0.159	-0.541	-0.397	0.236	2.087	-0.094	-3.323	-0.465	-0.054	0.189	0.841	0.242	0.23	0.256	-0.225	-0.181	0.009	0.19	2.017	-0.109	0.096	-0.208	-0.433	-0.044	0.051	-0.884	-2.328	-0.016	-0.106	0.162	-0.349	-0.024	0.324	0.333	-0.258
SNP__LOC402360	-0.302	-0.251	-0.374	-0.203	-0.236	-1.03	0.094	-0.368	-0.109	0.321	0.044	-2.435	-0.517	-0.429	-0.459	0.136	-0.475	-0.048	-0.052	-0.77	-1.165	0.285	-2.607	0.797	-0.081	-0.365	-0.479	-0.244	0.066	-2.711	-0.865	-0.064	-0.627	-0.228	-0.833	-2.568	-0.025	-0.357	-0.376	-1.991	-0.167	-0.306	-0.296	-0.064
