Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G7112__STATIP1__STATIP1	7.3404	5.7894	7.9124	8.0689	7.1623	7.1651	7.2975	8.1415	6.5724	6.4872	6.779	6.3207	5.2695	6.5046	6.8907	6.956	9.3609	7.3751	6.6918	7.1384	10.5164	6.8239	6.2761	6.284	6.2343	6.1861	6.8933	5.8269	6.3592	6.3899	7.162	6.6163	8.2923	11.5181
RS_G7332__DOCK10__DOCK10	1.1769	0	0.81907	4.3261	6.4728	0.034377	3.5572	7.0449	1.688	0.096607	0	3.778	0.15905	0.59306	0	3.6414	6.408	2.3596	5.7244	0.39855	2.8215	4.7719	0.9992	0.58083	0	6.6391	0.38286	0.87349	0.2106	0	2.1623	0.047303	2.6	2.0998
RS_G10072__APCDD1__APCDD1	3.6283	0	3.4981	1.7279	5.1196	0.94106	8.1676	5.0126	4.698	4.311	0.49093	0.3134	4.4235	0.7662	0	5.3693	0.79178	4.2019	6.4553	4.2763	1.278	0.77135	4.5634	0	0	1.5594	0	3.3661	0	3.1684	0.75881	4.9168	3.3698	2.6144
RS_G4707__OLFML3__OLFML3	5.2801	0.43101	0.28131	6.1475	4.1278	7.1685	0.40889	1.2181	0.39365	3.2528	0	0.39538	1.9049	1.9945	2.0256	1.5895	9.084	0.33632	4.7223	5.3441	0.47602	2.4568	6.4233	0	0	0	0	0	2.0853	3.3348	6.7764	7.5525	4.5297	0
RS_G6440__COL5A1__COL5A1	3.8517	3.1224	0.40165	5.4151	10.1958	7.0167	4.1353	8.0257	0.059076	1.7108	0.44888	3.3905	6.243	6.8198	2.7499	5.9398	8.5532	1.3704	9.4954	4.8717	3.0794	4.163	1.235	0.099041	0.20663	2.239	5.6444	4.0102	6.5509	4.9687	3.6637	2.6721	2.6056	1.0735
RS_G11533__CAMP__CAMP	3.5155	4.8465	2.3552	5.5361	0	1.5471	1.4882	0.68855	3.706	1.3219	3.0019	0	1.4238	2.1738	3.2421	2.1103	0	1.4246	0.38086	0.61461	1.6506	0	5.1903	5.6421	4.6372	0	3.9762	5.7091	0.87957	2.9579	0	8.2504	2.8438	2.6927
SNP__LOC440300	-0.003	-0.195	-0.185	-0.095	0.12	-0.192	-0.11	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	0.068	-0.028	-0.025	-0.318	-0.054	0.275	0.093	0.064	-0.64	-0.238	-2.399	0.202	-0.404	0.016	-0.224	0	-2.542	0.085	-0.388
RS_G22179__AC104692.1__AC104692.1	0	1.0213	6.1553	5.323	4.6508	0	0	1.8859	5.2296	1.4075	5.5417	2.2715	0	4.987	1.7182	7.6104	0	4.8789	0	0	0	5.5001	0.65229	0	0	6.7274	5.1084	7.147	0	0	0	0.84432	0	0
SNP__LOC388152	-0.003	-0.195	-0.185	-0.095	0.12	-0.192	-0.11	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	0.068	-0.028	-0.025	-0.318	-0.054	0.275	0.093	0.064	-0.64	-0.238	-2.399	0.202	-0.404	0.016	-0.224	0	-2.542	0.085	-0.388
SNP__LOC161527	-0.003	-0.195	-0.185	-0.095	0.12	-0.192	-0.11	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-2.953	0.068	-0.028	-0.025	-0.318	-0.054	0.275	0.093	0.064	-0.64	-0.238	-2.399	0.202	-0.404	0.016	-0.224	0	-2.542	0.085	-0.388
RS_G3514__ACTA2__ACTA2	1.4899	0.17287	2.2023	3.075	12.7191	6.5566	1.9507	8.7055	0.81938	1.9902	4.283	3.2771	4.8169	3.5235	3.9435	12.9136	9.2125	4.7159	8.2158	8.823	4.6158	3.4109	1.6547	2.3654	0	8.7349	3.9007	5.1671	4.9748	4.4277	7.0622	4.8706	4.7747	5.8747
RS_G17782__NCCRP1__NCCRP1	1.9723	8.6754	1.5981	1.8852	0.54713	1.1785	1.3837	1.3348	2.5779	2.3662	2.0152	1.3556	6.4577	2.5357	1.3406	0	0.72975	7.6867	0.73063	1.3422	0.12719	0	1.4329	0.61219	6.3994	0.23329	0.67322	9.318	6.9508	5.0823	2.535	6.5272	6.7479	0.97934
RS_G3490__CXCL12__CXCL12	0	0	2.9622	3.9301	0.4426	5.8654	3.0639	8.8931	1.0707	2.2694	3.4802	0.50156	0.42784	0	0	0	3.9302	0	6.1614	3.4437	4.9364	0	4.2011	0	0	0.49502	0	0	0	0	2.6646	3.0752	3.6662	0
RS_G6638__PPP1R1B__PPP1R1B	9.1888	7.6126	4.4299	3.4995	0.23954	0.35988	1.8579	0.70371	8.2727	0.7143	13.4847	0.80076	4.3668	6.14	5.4565	6.6736	0.53447	6.17	0.79314	2.1675	0	0	5.8269	0	8.7928	0.59718	2.5011	7.2683	2.2995	2.5734	1.9065	6.5712	1.0367	0
RS_G12150__PLEKHF1__PLEKHF1	4.5664	7.5697	3.2743	4.3786	6.093	7.1768	6.4073	4.6835	1.364	8.3562	10.9616	8.2934	7.2064	6.3537	5.3658	4.6339	2.4264	8.5432	5.7401	5.4259	2.8211	4.6745	6.4721	7.3023	7.3531	10.6223	7.1304	7.5789	5.6561	5.6202	5.5604	6.684	5.8939	5.0086
RS_G11045__AKR7A3__AKR7A3	1.5004	9.0838	2.8319	5.5429	2.3864	5.6015	0.33305	2.1664	10.1604	6.9813	3.9476	2.5796	2.6553	2.5611	3.5058	1.6885	1.8247	3.6119	3.3894	2.2465	2.6067	2.2116	8.4881	9.7412	7.4822	2.8625	4.159	3.7916	3.0998	3.0519	5.115	7.2329	8.6879	8.2294
RS_G13924__C11orf86__C11orf86	1.453	9.9466	0	0.50858	1.1966	0	0	0	0	0	3.5889	0	0	1.786	2.1623	4.2136	0	0	0	0	0	1.6118	0	0	4.8992	0.88539	7.3083	0	3.5987	5.714	0	2.939	0	0
RS_G11747__CTSB__CTSB	9.8416	8.2842	7.3598	8.8658	10.7399	7.7915	10.2099	9.493	8.6772	9.5489	8.9823	9.516	9.74	8.7557	6.9166	10.2834	9.9357	8.3334	11.0293	8.6087	8.539	9.0618	8.77	8.7307	7.9661	14.2059	8.7494	7.516	9.1268	7.5318	8.3295	9.5108	9.6418	9.0078
RS_G16598__PROS1__PROS1	4.6854	0	0	0	6.3048	0.91111	3.1664	1.7086	0.9029	1.3688	2.6571	2.8994	1.0067	1.4914	0.281	4.4328	2.7055	0.13375	1.5091	0.71549	2.8721	6.4587	0.13992	0	0	4.4556	2.5764	0	0.42536	1.3477	0	0.10127	0.55269	0.21169
RS_G4225__SPARC__SPARC	0.1343	0.14978	0.094438	0.083816	14.1217	2.1509	6.2713	9.2733	0.091823	0.11392	4.201	0.91565	6.6944	2.2353	0	11.9638	11.47	4.5495	13.0059	1.8624	0.63481	6.8619	0.63899	1.2224	0	6.5885	3.3867	0	2.9029	0	0	0.40268	0.4355	0
RS_G13766__MUCL1__MUCL1	8.2971	9.2684	12.3825	10.0828	0	8.4661	0	0.90826	7.872	5.344	1.4703	1.545	2.4156	8.9393	4.3595	0	0	5.508	0	7.4503	7.7859	0	13.1852	9.8025	9.1199	1.9667	0.85403	14.8568	1.8097	13.9402	2.6873	12.0261	11.3802	3.1773
RS_G11774__DEFB1__DEFB1	1.993	2.346	1.9138	0	0	0	0	1.7511	0.92315	0	1.0764	2.6711	4.6884	10.3764	1.4116	8.1565	0	9.3815	0	0	0	0	1.9353	4.1392	0	0	0.89009	5.4286	4.2375	2.4838	0	1.9013	0	0
RS_G8293__SLC39A6__SLC39A6	8.8456	6.3258	9.5638	10.7022	7.7275	8.8921	7.7677	9.1522	8.336	7.6195	7.5903	7.0645	5.996	7.6826	8.0269	7.5728	9.5847	8.0305	7.5875	8.7525	12.8675	7.7396	8.3482	7.0986	7.6205	5.2143	7.2234	6.1811	6.7035	7.7701	7.9828	8.4218	10.7897	13.4745
RS_G12862__LGALS9__LGALS9	6.1513	3.8085	2.4838	4.3619	1.2065	0.16906	1.1498	2.0604	1.6809	0.81283	3.6725	3.8578	4.5519	8.239	2.1576	3.5171	1.8164	8.8117	1.1612	0.30805	0	1.098	1.1014	0	4.3563	0.74292	5.2937	7.885	4.2458	2.1547	2.1856	2.0067	1.8861	0.97357
RS_G7939__LL22NC03-75B3.6__LL22NC03-75B3.6	2.4782	0.1394	0.49211	1.2766	4.5176	0.15466	4.1286	7.2692	0.15764	0.053937	1.2511	3.8732	4.4105	0.61415	0	3.9325	6.1773	0.071757	8.1771	0.83738	0	2.2202	0.76908	0.13865	0.10411	3.9719	0	4.6122	1.4349	0.63433	0.25885	0.50332	0.21832	0.31876
RS_G7220__AC009656.11__AC009656.11	2.7728	1.3543	0.21494	0.13307	4.9473	0.67267	6.6933	2.7947	0.27108	1.5657	0.47824	3.1129	2.6674	3.6353	0.13274	1.6047	4.259	2.2956	5.8737	2.3902	0.25327	4.3125	0.93459	1.2714	0.17347	2.0208	6.7593	0	1.1061	0.50532	0.53125	0.44155	0.56996	1.2237
RS_G2407__GALNTL1__GALNTL1	2.7185	1.4373	3.4989	3.4628	4.2839	5.3036	1.4688	1.4409	1.9837	2.218	0.43896	0.71371	1.6141	0.38746	0.83294	2.6977	1.8837	3.2399	4.0921	5.064	2.5198	1.3157	3.6006	0.31102	1.5418	5.9632	0.8547	2.6105	0.50251	0	1.8633	1.7732	2.517	1.8036
RS_G16550__CSAG2__CSAG2	0	6.6849	0	0.27141	0	0	0	0	0	7.1887	1.7652	5.59	1.8358	3.9262	0	0.27825	0	3.2175	4.662	0	0	5.7519	0	0	7.4039	5.651	0	6.0503	0.72602	0	0	1.0746	0	0.91116
RS_G133__CX3CL1__CX3CL1	0.24547	6.7838	7.0627	7.822	0	0	6.7812	7.5633	1.391	8.2104	6.6072	0.25047	4.6676	7.3727	6.7783	6.6963	6.137	9.7259	0.67937	0.15441	0.30007	0.075576	2.585	0.27955	7.4488	0	0	9.7126	1.1972	0.59899	0.094372	0.69842	0	0.22386
SNP__ZNFN1A3	0.376	1.965	1.862	0.242	-0.07	0.096	-0.423	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	1.905	0.207	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
RS_G17181__CYP4X1__CYP4X1	3.2584	0.19578	3.5439	4.1191	0.40002	0.58507	2.5935	1.6836	1.8874	1.0942	0.19735	0.48011	0.59456	2.6567	1.1924	0.66645	0	7.9111	0	0	0.64786	0	1.502	0	2.2153	0	5.9057	5.3618	4.6334	8.0328	4.8838	5.4748	1.2638	0
RS_G15650__OXTR__OXTR	2.6453	2.4034	1.4046	5.5286	5.2587	3.3789	7.0907	3.0554	3.0154	3.3339	2.5851	2.3122	6.7918	1.8936	0.76449	5.7407	2.9858	0.11011	5.3866	1.6268	2.3399	0.87158	2.2215	1.958	1.8969	2.2283	0.53598	2.6827	2.7785	1.9298	0.59396	4.8693	3.8192	4.1112
RS_G33450__TMEM83__TMEM83	2.4477	0	0	3.5942	3.4236	0	1.8687	2.487	0	1.3563	0.26711	0	0.77201	8.538	0	5.3531	1.6761	0.48834	0	3.8208	8.3679	0	2.677	0	0.37576	0	4.0952	0	1.2818	1.1657	1.7312	2.107	7.5721	1.9823
RS_G12489__TTYH1__TTYH1	1.4517	4.1679	2.3853	3.6837	0.82544	2.1058	6.3974	1.0686	2.0382	3.3387	8.0912	1.2649	4.06	2.4374	4.0843	1.5351	1.2435	7.9391	1.7661	1.8495	1.3163	0.92956	1.4193	2.7172	4.3956	1.7052	1.1684	2.7498	3.0141	5.2256	5.7806	4.13	4.2378	2.2327
RS_G22312__AC135891.3__AC135891.3	0.4869	0.37864	0	0	0	0	3.4384	2.0861	0	0	0	1.6631	0.61027	2.4285	0	0.6037	0.21884	0	5.5447	0	0	4.7476	0.21443	0	0	0	0	0	3.4376	0	0	0	0	0.98678
RS_G5964__IFI6__IFI6	5.3782	8.5811	5.9672	11.3914	7.0701	4.3614	9.5009	7.3907	6.6723	7.664	12.1836	6.5744	9.3088	10.0121	9.795	4.292	5.2167	14.3723	6.944	9.5876	8.5173	6.6483	4.6766	6.3087	6.9747	6.9378	10.5253	13.8974	8.8025	8.4812	9.361	7.8955	7.5298	3.1302
RS_G12225__A2ML1__A2ML1	0.55235	3.015	2.3348	1.6963	0.051186	0.20298	5.7466	0.4159	1.5662	4.2978	0.67252	2.6485	4.0087	2.6029	0.099228	1.1693	0.099944	5.3202	0.059283	1.3786	1.1201	0.049173	1.9963	0.48814	5.0462	0	3.9701	3.2228	0.36821	4.9828	0.50916	1.8703	1.3113	0.21477
RS_G1852__OAS1__OAS1	5.873	7.3675	0.87272	8.3026	0.27817	0	2.6877	0.69174	1.2597	4.9797	8.7283	7.0169	7.0589	5.6182	6.2165	1.7419	1.3085	9.4755	0.57917	5.8054	4.6882	4.2812	3.7085	0.67147	5.5583	0.85197	5.9702	10.0225	5.7018	7.0538	5.5675	1.3235	5.011	2.773
RS_G11896__SLITRK5__SLITRK5	4.4036	3.1192	0.25167	0.55999	7.5383	0.33996	2.6478	1.5099	3.2337	0.23193	0.20843	2.0435	1.4606	1.2422	5.1145	4.0805	3.7712	0.38943	3.1632	0	0.89617	3.81	0.33673	0.21086	3.1578	2.9616	3.3742	0.06974	0.56419	0.60653	3.5177	0.49001	4.3354	5.212
RS_G10339__NRG1__NRG1	0.58693	0	0	0	7.7389	0.19465	1.7934	2.0408	0	1.7451	0.088641	8.0487	5.3378	0.13453	0	4.7885	5.8443	0.70526	6.4738	0.096448	0	6.0583	0	0	0	5.8239	1.5169	0	1.5046	0.30151	0	0	1.9553	0.64638
RS_G16369__FAM101B__FAM101B	2.9511	1.0265	1.5763	2.6268	9.3524	1.5603	6.5765	7.1081	2.1504	3.8254	6.532	4.3797	5.5651	3.7832	1.8953	4.0257	6.4778	1.8729	8.5698	3.835	2.3843	0.79962	2.1654	1.441	0.18891	6.972	2.6499	2.5583	4.7299	1.4567	2.4444	0.63941	3.7364	5.4731
RS_G18018__MAOA__MAOA	1.499	1.4209	1.6194	1.0587	0.45391	0.25499	0.84025	0.71244	2.1915	3.9341	1.285	6.3396	3.7694	3.3519	0.7258	0.82697	0.24317	3.7618	0.66434	2.4474	5.926	4.261	1.9019	0.75157	1.8171	3.1022	3.848	0.34473	6.5254	3.8521	0.40455	3.0215	1.4899	0.56698
RS_G18399__COL27A1__COL27A1	8.0644	3.0828	2.0741	2.2689	4.6199	1.0949	3.2578	2.9569	0.90782	3.614	5.2826	5.3374	4.1576	2.523	0.41767	3.6506	5.6747	0.97574	3.8578	2.98	2.2347	4.1375	4.2895	0	0.59387	3.3792	4.4903	2.0468	2.0487	0.68578	1.3211	3.9043	3.7676	2.8506
RS_G16898__AC073468.9__AC073468.9	2.771	6.104	3.2477	2.9543	0	0	2.1311	2.1588	0.48723	0	3.5396	2.6112	3.5696	3.464	4.4522	4.6909	0	4.557	0	3.053	1.4065	0	2.3478	0.5494	4.3933	0.55787	1.3527	4.7935	2.3273	7.8208	1.3018	2.9242	2.9131	0.94339
RS_G4477__IFIH1__IFIH1	5.5519	5.0104	4.6702	6.8435	0.57761	6.2807	4.7528	3.2819	4.2422	5.0304	10.0636	4.7985	6.0943	6.2488	5.7048	4.7248	3.5667	8.2669	1.4788	4.3502	3.9352	3.4482	3.4814	4.6777	5.237	3.3564	5.3174	6.8807	4.8413	5.1924	4.8213	3.2622	5.4048	4.3929
RS_G5729__MT1G__MT1G	0	2.6191	0	0	0	0	4.9557	0.62973	0	0.7331	0	5.6489	1.6687	1.2197	1.541	6.9593	2.3812	5.6695	0	0	0	0	0.53834	0	4.4929	3.7126	2.7817	5.326	2.0164	1.8496	0	3.1253	0	0
RS_G15383__ARL14__ARL14	0	0.18019	0.72953	2.3706	0	0	0.58572	0.42152	0.40015	0	0	2.6526	4.8541	3.8349	1.1272	0.93297	0.36786	3.4795	0	0	0	0	0.57875	0	0	0	1.3343	1.231	1.8454	0.98861	0	0	0	0
RS_G2913__KIAA1199__KIAA1199	7.641	2.9944	1.7452	2.2245	8.7442	1.1372	1.3566	4.1092	1.6288	1.1836	1.0036	0.63034	1.6954	1.9755	0.43909	1.4692	3.9475	1.0185	8.171	2.3433	3.1087	4.72	2.3213	0.96256	0.42582	3.094	0.79594	1.1095	0.6955	2.814	1.156	4.3478	0.37723	0.75076
RS_G9697__SACS__SACS	2.067	1.5539	2.7128	2.6618	7.5446	3.9356	3.7448	6.2877	3.522	2.4697	2.1369	4.2963	3.1799	3.5032	0.069102	3.8339	6.3153	2.2163	5.8931	1.7435	2.3215	5.6932	0.64456	0.83687	1.783	3.7786	3.1724	0.61696	2.3061	1.7719	2.088	1.7195	1.5692	3.5968
RS_G5137__PCDHB8__PCDHB8	4.1245	0	0.40791	0.19959	1.1122	0.29489	0	4.7627	1.7502	1.5596	0.8932	0	4.7931	0.92476	2.3469	0.75205	1.2825	3.5918	3.0537	5.0151	3.7676	0.57331	2.9026	0.48847	0	4.5919	0	2.5263	0.94975	0.21773	6.7331	0.99402	0.27829	1.5526
SNP__NEUROD2	0.376	1.965	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	0.201	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
RS_G2995__SLC39A14__SLC39A14	6.5459	5.6769	5.6594	5.6152	8.7657	6.1716	7.0063	7.7195	6.3535	6.2607	9.1892	7.0224	6.7042	5.8478	5.3048	7.8421	8.046	5.0282	8.6902	5.9951	5.871	7.8138	5.2543	5.461	6.3889	11.4705	6.4913	4.5856	7.4146	6.5071	6.5466	6.7714	6.9246	7.2669
SNP__LOC644144	0.37	-3.761	-0.146	0.229	-0.098	0.096	0.396	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.357	0.234	0.236	-0.253	-0.189	0.005	-0.126	0.125	-0.12	0.004	-0.576	-0.138	0.22	-0.354	0.334	-3.028	0.301	0.082	0.011	0.023
SNP__PPP1R1B	0.376	1.965	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	0.201	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
RS_G6428__OLFM1__OLFM1	6.1853	1.2059	5.2618	8.8231	5.7987	8.0377	3.4766	6.4622	0.27506	8.5601	4.7135	0.70135	0.61996	5.9175	0.25648	5.9528	6.0875	0.12153	0.68657	7.6818	6.9156	0	6.3923	0.44053	0	0.92765	1.374	2.3441	0.62473	2.8874	8.5529	8.6067	8.172	7.3426
RS_G380__AC115090.8__AC115090.8	5.5401	4.5937	8.2773	5.6462	1.8168	4.4074	1.7069	2.3845	3.3208	3.0223	3.7229	1.0776	3.1471	4.6588	6.9533	2.4415	0.71518	3.2748	1.9988	4.269	3.2441	1.7625	5.7094	6.0719	3.1752	2.8722	3.1587	5.4452	3.6614	5.309	4.1984	9.4664	4.2942	3.8001
SNP__FLJ10120	0.37	-3.761	-0.146	0.229	-0.098	0.096	0.396	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.357	0.234	0.236	-0.253	-0.189	0.005	-0.126	0.125	-0.12	0.004	-0.576	-0.138	0.22	-0.354	0.334	-3.028	0.301	0.082	0.011	0.023
SNP__STARD3	0.376	1.965	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	0.201	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__TCAP	0.376	1.965	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	0.201	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
RS_G13255__CDH2__CDH2	0.95252	0.11179	3.8179	3.037	9.5863	0.59708	7.9074	7.9637	0.065964	0	3.3876	4.6749	1.3151	0.59305	0.62312	7.3261	9.9603	0.65088	8.8508	0.061776	0.34768	0.95446	5.4598	2.9731	0	2.3343	4.6813	0	5.7937	0	0.64866	0.92462	1.9772	1.4403
RS_G1599__KCNK2__KCNK2	1.0389	0.62798	0	5.2556	5.8207	0	2.2276	6.1906	0.15029	3.4816	1.01	1.3134	2.1757	4.0574	2.5515	1.2762	2.0309	0	6.6978	0	3.5015	0.9363	4.4893	4.8645	0.74341	0	3.8843	1.4099	0.85665	0	7.8925	0.095964	5.6046	2.9884
SNP__PNMT	0.376	1.965	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	0.201	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
RS_G6413__KLHDC7B__KLHDC7B	0.44351	1.5307	0.26069	3.0774	0	0.36018	2.9582	0	0.57664	0.17453	6.5033	2.0385	8.7777	1.2454	1.3979	3.2379	0.23533	9.8389	0.27498	1.5856	0.44704	0.51994	0.11993	0.41783	0	3.5951	9.2685	6.0434	4.1718	0.85166	0.80079	1.2281	2.9772	0
RS_G6090__GNG11__GNG11	0.71502	0	0	0	7.1496	0	0	5.5049	0	0	0	2.63	1.1777	0	0.46383	4.103	4.6713	3.4475	7.7723	0.67123	0	8.221	0.46116	0	0	6.0924	3.2617	6.3484	2.8833	0	9.7098	0.34563	0.65578	0
RS_G12839__VAMP5__VAMP5	5.7475	8.4989	5.1276	6.3466	1.0717	4.2899	3.8161	1.723	10.6318	7.4263	5.181	1.7151	4.28	5.4616	6.2318	3.5479	2.1294	5.8416	0.73065	7.4246	6.901	3.5044	5.257	6.3869	6.3121	1.0478	5.9949	5.9216	5.0818	5.9869	5.1714	10.8607	7.7928	6.4989
SNP__PERLD1	0.376	1.965	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	0.201	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
RS_G10396__MX1__MX1	5.0317	2.1882	2.341	9.7474	1.2107	2.9127	0.58267	3.4654	1.7872	6.108	12.6076	7.2285	8.2993	1.5829	7.8353	0.13769	5.2771	11.1388	0.88359	4.0943	2.2	2.0846	2.1457	2.1832	1.2321	2.5812	8.0306	10.2882	4.8585	3.8153	7.6903	4.3967	2.718	0.84851
RS_G9341__ANKRD1__ANKRD1	6.4828	0	0	0.8261	4.6532	0	6.6578	0.82492	0	0.1835	1.1514	3.337	4.898	2.6463	0	5.0848	1.2721	0.23193	3.6273	3.9893	0.25672	10.4614	0.49467	0.6149	0.82193	2.257	3.3586	0.34827	1.9709	4.3821	1.2895	2.7655	1.0823	0
SNP__SHCL1	0.37	-3.776	-0.146	0.229	-0.093	0.096	0.39	-0.301	-0.461	0.284	0.058	-0.119	-4.672	-0.149	-0.357	0.234	0.241	-0.253	-0.189	0.005	-0.126	0.125	-0.12	-0.532	-0.576	-0.138	-0.114	-0.354	0.334	-0.139	0.301	0.082	0.011	0.023
RS_G2122__PALMD__PALMD	5.825	2.527	4.7899	2.6323	4.2402	2.4516	0.32521	0.11408	5.4667	1.9725	0	4.4331	3.9262	7.1876	4.0957	4.8087	3.5452	8.4288	0	0	0	0	2.7014	3.8492	5.313	0	2.6676	5.452	2.8454	2.8309	1.4025	1.72	2.6551	1.4635
