Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__LOC654346	-1.369	-0.166	-1.456	-0.156	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__ZPBP2	0.376	1.965	-0.203	1.862	-0.07	0.096	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.363	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__ERBB2	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	3.272	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	3.576	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__GRB7	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__TCAP	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__LOC147158	-1.369	-0.166	-1.456	-0.156	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__GSDML	0.376	1.965	-0.203	1.862	-0.07	0.096	-0.423	-0.199	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.363	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__LCE3B	-1.958	0.495	-2.398	-0.129	0.134	-1.961	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-0.503	-1.825	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-2.222	-1.451	0.291	-1.976	-1.915	-2.744	-2.627
SNP__PNMT	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__LOC201288	-1.369	-0.166	-1.456	-0.156	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__PERLD1	0.376	1.965	-0.203	1.862	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__LOC220594	-1.369	-0.166	-1.456	-0.156	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.583	-0.318	-0.144	0.247	0.42133	-0.431	-0.364
SNP__FAM106A	-1.369	-0.166	-1.456	-0.156	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.583	-0.318	-0.144	0.247	0.357	-0.431	-0.364
SNP__LOC252840	-1.369	-0.166	-1.456	-0.156	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.583	-0.318	-0.144	0.247	0.357	-0.431	-0.364
SNP__PTPRN2	-0.54	0.091	0.186	0.355	0.212	0.084	-0.263	-0.23	1.006	2.779	0.286	0.411	-0.76	0.007	-0.229	0.264	0.45	0.006	0.092	0.206	0.691	0.507	-0.225	0.13	-0.332	2.594	-0.039	0.258	0.53	-0.226	0.002	-0.906	0.263	-0.308	-0.319	-0.288	-0.046	0.028
SNP__CRKRS	0.376	1.965	-0.203	1.862	-0.07	0.096	-0.445	-0.199	-0.316	-0.482	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.182	-0.333	-0.013	1.946	-0.191	-0.193	0.052	2.422	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__EB-1	0	-0.231	-0.895	0.219	-1.335	0.268	-0.404	-0.23	-0.324	0.09	0.473	-1.84	-0.148	-0.221	1.403	-2.498	-0.286	-0.029	-2.022	-0.242	0.183	0.101	-1.554	0.134	0.719	0.221	-0.062	-0.271	0.162	-0.278	0.011	-0.239	-0.004	0.561	0.315	-0.262	-0.046	-0.007
SNP__FBXL20	0.376	1.965	-0.203	1.862	-0.07	0.096	-0.445	-2.35	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.362	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__ESR1	0.006	0.125	-0.209	-0.415	-0.091	-0.558	0.167	-0.231	0.04	0.076	0.336	-0.062	-0.139	-0.56	-0.084	0.532	-0.42	-4.299	-0.261	-0.076	0.251	0.236	-0.248	-0.118	0.237	0.249	-0.704	0.044	0.161	-0.195	0.027	-0.001	-0.147	0.226	-0.325	0.062	-0.454	0.015
SNP__NCOA7	0.006	0.125	-0.209	0.029	-0.095	-0.558	0.183	-0.229	0.04	0.072	-0.438	-0.062	-0.137	0.025	-0.043	0.832	0.244	0.306	-0.24	-0.049	0.201	0.071	-0.248	-0.13	0.144	0.249	0.294	0.044	0.161	-0.195	0.027	-0.001	-0.147	0.226	-0.325	0.062	-0.454	0.015
SNP__LOC440040	0.027	0.113	-0.2	-0.038	-0.995	-0.522	0.311	0.239	-0.316	-0.152	0.205	-0.048	0.224	-0.105	0.093	-2.19	0.23	0.333	-0.225	-0.31	0.181	0.238	-0.11	0.111	-0.176	0.003	-0.043	0.051	0.178	0.416	-0.006	0.149	-0.349	-1.651	0.326	0.075	-0.042	0.023
SNP__LOC402095	0.006	0.099	0.191	-0.053	-0.173	-0.161	-0.06	-0.202	-3.918	-3.632	-0.071	-3.064	-4.13	0.029	0.046	-0.061	-0.404	-0.742	0.019	-0.01	0.082	0.096	-0.16	-4.366	0.429	-0.033	-3.944	0.067	0.161	-0.168	-0.029	0.009	0.031	0.03	-3.42	-0.806	-0.066	-0.373
SNP__FLJ36492	-1.369	-0.166	-1.456	-0.156	-1.134	-1.45	-1.316	-1.487	0.101	0.844	-0.411	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.583	-0.318	-0.144	-1.31	0.357	-0.431	-0.364
SNP__PPARBP	0.376	1.965	-0.203	1.862	-0.07	0.096	-0.445	-0.199	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.362	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__SIRPB1	-0.723	-0.75	-0.607	2.227	0.315	0.09	0.894	2.387	1.953	1.354	-1.052	0.597	-0.126	-1.977	0.541	-0.38	-0.347	1.928	1.238	-0.928	-0.394	-0.577	0.127	-0.66	-0.878	1.641	2.051	0.42	-0.216	-0.546	1.408	1.423	0.043	-0.677	0.056	-0.282	-3.013	-2.989
SNP__WNK1	0.026	0.099	0.18	0.122	-2.678	-0.54	-0.122	0.189	-3.535	0.077	-0.939	0.322	0.394	0.55	0.107	0.382	0.808	-0.046	0.007	-0.115	-0.394	-0.18	-0.318	0.118	0.462	-0.447	-0.055	0.032	-0.177	0.578	0.01	0.007	0.06	0.193	0.045	-0.3	0.583	0.28
SNP__ANKRD15	-0.657	-0.203	-2.643	-1.013	0.182	-0.496	-0.451	0.095	0.341	-0.475	-1.121	-0.033	-0.739	-0.129	0.558	-1.137	-0.27	0.831	0.742	-2.347	0.383	0.366	-1.564	0.112	-0.84	-0.124	-0.627	-0.228	-0.826	-2.804	-0.073	-0.41	-0.332	-0.181	-0.306	-0.296	-0.084	-0.001
SNP__LOC644144	0.37	-3.761	-0.191	-0.146	-0.098	0.096	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	-0.133	0.125	-0.12	-0.315	0.004	-0.576	-0.138	0.22	0.06	-0.354	0.334	-3.028	0.301	0.082	0.011	0.023
SNP__C20orf133	0.013	0.478	-2.773	-3.412	-2.106	0.09	0.165	0.439	0.29	-0.718	-3.747	0.552	-0.752	-3.208	-2.113	-2.389	0.214	0.422	-3.787	0.305	0.243	-0.409	-0.69	0.143	-3.628	0.252	0.31	0.582	-0.578	0.868	0.028	-0.267	0.024	-0.782	-0.292	-3.619	-0.277	-0.375
SNP__LOC643827	-0.26	-0.178	-0.209	-0.352	-0.099	0.064	0.078	0.129	0.094	-0.251	-0.141	0.04	-0.124	-3.122	0.1	-0.29	-0.094	0.287	-4.747	-0.088	-0.006	-0.191	0.002	-0.159	-0.186	0.2	-0.24	0.047	-2.826	0.168	0.002	-0.293	-0.07	-0.142	-0.139	-0.296	-0.159	0.024
