Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G9411__PAK1__PAK1	9.7379	3.6126	5.4375	6.8348	6.7525	4.9493	5.9938	7.1121	2.1414	5.6631	7.8099	8.5733	6.5653	6.9548	1.7217	6.8913	6.8685	7.7419	6.4967	3.6134	5.5626	11.6469	4.7882	7.3965	5.7512	5.6661	6.6821	5.3053	3.3435	6.0138	6.3652	4.9205	9.5501	7.7022	5.9554	5.4982	5.2907
RS_G15925__TSEN54__TSEN54	7.2344	8.3459	6.4633	7.5892	6.3917	7.9159	7.7411	6.4839	6.8253	8.3035	7.0863	7.4429	7.0836	7.421	8.0853	7.972	6.2994	7.2044	6.6307	10.0525	8.9556	6.8742	8.4277	7.161	9.7546	9.4051	8.7804	9.1787	7.8424	7.1251	7.3376	8.4663	7.997	8.3349	8.7783	8.8604	8.5107
RS_G1949__NRCAM__NRCAM	0.31034	0.25695	7.7866	6.3877	0	4.5521	0.40396	0.95425	2.8649	4.9526	0	2.5075	0.060781	1.2375	3.817	0.93017	0.21491	0.069448	0.9522	7.1113	7.0033	8.3932	0.29043	0.20825	5.0264	0.13774	0.30485	0.65721	0	0.14959	0	5.592	2.1109	0.61954	2.2804	3.7421	1.0569
RS_G1258__GSDMB__GSDMB	4.7283	10.0772	7.4928	3.7606	2.7807	2.9772	3.6969	4.6781	3.5467	4.7565	3.2791	2.1913	5.0688	9.6147	3.0898	4.5209	5.8219	4.5338	0.96991	2.7699	2.573	5.054	1.4808	1.526	2.9419	4.2907	3.365	11.4397	2.1741	3.0874	3.2711	4.2586	4.6204	4.528	6.4607	4.3342	3.4357
RS_G22235__AC087350.3__AC087350.3	6.7584	3.3757	0	4.1748	0	2.4007	8.6826	7.0026	2.5144	5.3739	9.9573	0	6.5159	4.2809	6.6282	8.6943	4.2513	7.319	0.31621	0	5.0434	3.5025	6.3716	3.8004	0.80904	1.6475	10.5622	4.3854	4.6914	10.1015	7.7291	2.8659	3.0354	5.2584	3.9664	3.1179	0.82242
RS_G3761__TRIM2__TRIM2	6.299	5.3394	2.5021	4.8596	4.3894	0	5.2157	0.7472	5.9345	6.6038	9.3226	4.0319	5.3512	6.6069	3.2392	5.0518	5.6753	6.4392	2.976	3.4948	2.0666	3.9849	4.6512	4.5953	2.8767	1.6906	7.3357	5.532	2.6874	4.5541	6.3819	3.7754	6.1299	4.6767	2.2026	0.11351	0.11376
RS_G7654__SYTL2__SYTL2	3.1117	0.55508	6.2717	6.9293	4.6446	4.3787	1.7257	3.0294	4.8414	5.7259	3.8285	0.45561	2.6069	7.3332	1.0663	4.9358	2.1209	6.0929	1.5622	5.7605	8.5593	5.7273	1.8735	3.9775	3.016	2.7933	2.52	1.7332	1.8466	2.4806	3.8628	1.5828	3.198	3.5101	3.9795	4.6369	4.0389
RS_G7879__HERC5__HERC5	2.3699	0	1.1018	4.8412	0.14696	1.4218	4.5886	2.5298	0.90345	1.1983	8.0916	2.7091	5.6631	4.4059	1.7557	2.964	4.5001	7.8085	0.083816	0.81141	0.62941	3.1466	1.6248	5.3756	0.78169	0	4.53	0	3.9803	3.3359	4.2521	3.2928	2.1255	1.4633	1.096	0.70351	0.21229
RS_G18125__SERPINA3__SERPINA3	4.7146	3.3896	4.376	10.7059	2.3912	2.7642	6.2583	3.3543	0.66673	7.2136	10.5492	0	5.3815	10.8182	1.1588	10.6257	6.7693	12.7208	0.21085	6.7297	9.783	8.3617	7.6689	1.5613	5.0195	0.91162	12.1397	0.99928	4.6246	5.7375	9.0406	6.7507	9.884	3.6615	9.293	7.7049	5.721
RS_G2904__AP3B2__AP3B2	3.9601	0.94326	2.1616	3.7524	2.183	3.0899	3.2043	1.4364	2.4123	3.1995	6.6873	0.22078	1.7717	3.8345	0	3.8864	3.1116	0.12832	0.082787	3.69	3.581	7.7206	3.0769	0.47431	0.54854	0	6.268	0	2.7378	3.8444	1.2183	2.7695	4.0024	0.82217	6.7417	3.2767	0.6802
RS_G1735__HSD17B2__HSD17B2	1.8766	6.0188	2.0365	0.48433	0	0	1.2357	0	1.522	2.4537	0	4.7163	5.7492	1.6943	7.1172	3.2596	0	4.7601	4.3823	0	0.18232	0	6.4469	0.32372	5.396	0	3.9728	5.9517	0	0	8.5345	3.3103	8.1036	4.1073	2.4832	4.4738	0
