Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM44PE	SUM52PE	T47D	ZR751
SNP__PTPRN2	-0.54	0.091	0.355	2.806	0.212	0.084	-0.001	-0.263	-0.23	1.006	2.779	0.286	0.411	-0.76	0.007	-0.229	0.492	0.264	0.45	0.006	0.092	0.206	0.691	0.507	-0.225	0.13	-0.332	2.594	0.507	-0.039	0.258	0.53	-0.226	0.002	-0.266	0.263	0.122	-0.308	-0.319	-0.046
SNP__POU6F2	0.01	0.649	0.468	0.372	-2.998	0.082	-0.094	-0.437	0.427	0.098	0.154	0.256	-0.078	-0.094	0.092	0.559	0.657	0.197	-0.399	-0.026	0.566	0.253	0.141	-0.291	0.406	0.104	0.17	0.191	0.226	-0.085	0.578	0.431	-0.201	-0.027	0.546	-2.616	0.509	0.126	0.315	0.558
SNP__EB-1	0	-0.231	0.219	0.241	-1.335	0.268	-2.015	-0.404	-0.23	-0.324	0.09	0.473	-1.84	-0.148	-0.221	1.403	-0.99	-2.498	-0.286	-0.029	-2.022	-0.242	0.183	0.101	-1.554	0.134	0.719	0.221	-2.601	-0.062	-0.271	0.162	-0.278	0.011	-1.876	-0.004	0.174	0.561	0.315	-0.046
SNP__RNF152	0.013	-0.2	0.086	-0.162	-2.938	-0.178	-1.059	0.299	-0.247	-0.936	-0.47	-0.079	-0.426	-0.773	-1.002	-0.56	-0.318	-0.825	-0.456	0.725	-0.217	-0.028	-0.461	-0.556	-0.637	-1.075	-0.73	-0.548	-3.768	-0.031	-0.216	0.137	-0.198	-0.015	-0.16	-0.028	-0.426	-0.793	-0.615	0.239
SNP__ADAM5	0.722	-0.542	-1.888	1.636	-1.395	1.685	-0.479	-0.335	0.756	-0.295	0.052	0.27	1.495	-0.137	-1.496	1.673	0.633	-0.036	-0.376	0.852	-1.129	0.042	-0.433	-0.696	0.258	-0.275	0.8	-0.446	-0.489	0.644	-0.599	0.491	0.417	0.026	0.455	-0.349	1.24	2.017	0.319	-0.507
SNP__KRTAP9P1	-1.183	-1.304	-1.258	-1.314	-0.202	0.096	-1.572	-1.506	0.575	-1.732	-0.461	0.346	-0.646	-1.553	-0.373	-0.782	0.407	-0.04	-1.288	1.183	-1.97	-1.631	-1.416	-0.589	-0.133	-1.122	-1.452	-1.299	-1.634	-0.555	-0.938	0.468	-1.484	0.06	0.276	-0.892	-0.43	-1.419	-1.009	-1.293
SNP__RIMS1	0.009	-0.208	0.001	-0.619	-0.508	-0.563	0.064	-0.083	-0.233	1.122	0.08	-3.083	-0.036	-0.169	0.02	-0.056	-0.507	-0.125	0.423	0.686	-0.981	-0.047	-0.377	0.011	-0.046	-0.129	0.41	0.231	-0.474	0.284	-0.619	-2.669	-0.217	0.017	-2.44	-0.147	0.127	0.226	-0.315	-0.222
SNP__SIRPB1	-0.723	-0.75	2.227	0.526	0.315	0.09	-0.904	0.894	2.387	1.953	1.354	-1.052	0.597	-0.126	-1.977	0.541	-0.649	-0.38	-0.347	1.928	1.238	-0.928	-0.394	-0.577	0.127	-0.66	-0.878	1.641	-0.378	2.051	0.42	-0.216	-0.546	1.408	1.834	0.043	0.152	-0.677	0.056	-3.013
SNP__SMAD4	0.013	-0.541	0.086	-0.128	-0.147	-0.178	-1.059	-0.444	0.428	2.935	-0.47	-0.437	-0.426	-0.773	-1.002	-0.497	-0.318	-0.803	-0.454	-0.443	-0.217	-0.028	-0.461	-0.556	-0.641	-0.525	-0.405	-0.548	-0.48	-0.031	-0.56	0.211	-0.147	-0.015	-0.168	-0.367	-0.426	-0.793	-0.615	0.239
SNP__TRBV6-2	0.0098	0.453	0.355	0.322	-0.135	-0.257	-0.564	0.042	-0.1872	-0.706	-1.599	0.29	-2.535	-0.782	-0.251	-0.206	0.557	0.267	-0.3346	0.434	-2.904	-0.1446	-2.003	-0.2195	0.122	-0.0176	0.343	0.191	-0.0206	-0.0298	0.459	0.526	-0.864	0.0144	-0.0908	-0.282	-2.249	0.0294	-0.2956	-0.042
SNP__CSMD1	0.002	-0.578	-0.332	-0.507	0.511	-0.562	-0.419	-0.491	0.256	-0.284	0.07	-0.453	-2.449	-0.152	-0.538	-0.627	-0.923	-0.059	-0.349	-2.453	-1.129	0.005	-0.433	-0.588	-2.03	-0.312	-0.823	-0.458	-2.971	-0.438	-0.588	-0.215	-2.326	0.001	-0.354	-0.402	-2.754	-0.746	-0.305	-0.118
SNP__LOC653403	-0.028	-0.113	-0.163	-0.475	-0.154	0.018	0.15	0.396	-1.881	0.567	-0.012	-2.171	0.074	-2.458	-0.193	0.117	-2.246	-0.05	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-0.172	-0.151	0.06	0.027	-0.382	0.314	-0.226	-1.972	-0.148	0.004	-0.19	-0.163	-0.443	-0.323	-0.327	0.377
