Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	ZR751
Meth__cg14823162__POU3F2	0.53335	0.026407	0.96016	0.96979	0.94209	0.027698	0.95902	0.35971	0.079117	0.022397	0.044339	0.48296	0.22013	0.92939	0.96114	0.14415	0.93094	0.077376	0.12663	0.034683	0.97099	0.74856	0.47692	0.13712	0.028651	0.03626	0.95186	0.032666	0.96257	0.06099	0.20852	0.02718	0.48049	0.026985	0.026901	0.9699	0.92523	0.040059
Meth__cg06244906__ZIM2	0.90163	0.042749	0.5392	0.41479	0.91824	0.42462	0.65708	0.070479	0.32653	0.064867	0.084705	0.85888	0.62466	0.20225	0.15072	0.10871	0.80712	0.30622	0.051761	0.044238	0.12761	0.32078	0.91375	0.45238	0.88519	0.19414	0.04835	0.074639	0.27518	0.064573	0.75574	0.16317	0.17711	0.065692	0.04588	0.51542	0.095643	0.070821
Meth__cg12530021__SIGLEC12	0.28615	0.029777	0.88681	0.91459	0.78634	0.30693	0.5785	0.25604	0.34409	0.016213	0.19865	0.64525	0.75092	0.51719	0.034022	0.034003	0.32362	0.46422	0.048658	0.018095	0.89265	0.75556	0.045882	0.11529	0.90699	0.056129	0.32201	0.029329	0.23509	0.12023	0.40922	0.02584	0.12549	0.02405	0.026267	0.86122	0.15196	0.15871
Meth__cg15940569__GABRB3	0.85004	0.060566	0.12565	0.83643	0.31995	0.2224	0.45226	0.19986	0.65178	0.35239	0.11251	0.83161	0.6644	0.15618	0.083212	0.30363	0.71732	0.12087	0.12602	0.087945	0.11579	0.16034	0.8594	0.6164	0.71606	0.21775	0.14846	0.19323	0.34838	0.25565	0.095339	0.062286	0.094032	0.098427	0.071219	0.16701	0.10458	0.32489
Meth__cg01291404__COL2A1	0.081493	0.15459	0.92233	0.93204	0.30616	0.10595	0.92735	0.72215	0.79695	0.045342	0.057023	0.89028	0.18829	0.87122	0.93143	0.2674	0.90402	0.053724	0.072964	0.055054	0.88822	0.92679	0.94457	0.85096	0.60041	0.52725	0.93935	0.042038	0.89654	0.040686	0.03849	0.047091	0.092295	0.87231	0.13703	0.9164	0.90042	0.058944
Meth__cg18016365__GABRB1	0.051976	0.065391	0.83361	0.89243	0.20089	0.74826	0.46298	0.84376	0.70207	0.078495	0.89193	0.64321	0.1374	0.73407	0.055128	0.30994	0.13515	0.67254	0.36298	0.6413	0.16484	0.2489	0.17277	0.092435	0.044613	0.82701	0.33013	0.20768	0.77276	0.07714	0.054442	0.87539	0.56719	0.58638	0.32891	0.69862	0.12115	0.05488
Meth__cg25778479__ANKMY2	0.13868	0.059934	0.20861	0.17621	0.40256	0.073638	0.094149	0.54492	0.1289	0.37931	0.19328	0.08907	0.36464	0.063223	0.1571	0.39664	0.12768	0.058815	0.10553	0.080937	0.13785	0.087484	0.44547	0.16631	0.08313	0.12266	0.10698	0.13112	0.081333	0.11472	0.081179	0.079984	0.058068	0.061514	0.17023	0.050818	0.28035	0.074087
Meth__cg20444256__CKM	0.22579	0.066365	0.20653	0.69877	0.239	0.32458	0.47305	0.42902	0.88786	0.59083	0.11714	0.62306	0.74148	0.4648	0.046079	0.3283	0.50775	0.39171	0.091906	0.022029	0.38058	0.38725	0.8739	0.61916	0.75205	0.21918	0.18671	0.13038	0.17526	0.15681	0.2475	0.13165	0.033946	0.24499	0.064814	0.20606	0.15305	0.10416
Meth__cg11560645__	0.77786	0.040672	0.89257	0.94143	0.9226	0.073837	0.22099	0.042196	0.34096	0.047231	0.59153	0.34136	0.73738	0.64053	0.028447	0.035035	0.54622	0.55541	0.20264	0.031723	0.88881	0.90119	0.93551	0.63276	0.93134	0.062382	0.53505	0.058344	0.18435	0.078033	0.3239	0.054291	0.052217	0.033182	0.078747	0.35575	0.16326	0.52251
Meth__cg05722906__CYP4F12	0.041957	0.043474	0.044907	0.48165	0.52743	0.11442	0.049671	0.10929	0.096329	0.036416	0.041428	0.49294	0.020458	0.099687	0.059178	0.032805	0.4781	0.38744	0.050355	0.02963	0.38068	0.28915	0.37652	0.30481	0.18334	0.056877	0.17297	0.063229	0.27487	0.14883	0.070281	0.033177	0.042297	0.067364	0.033167	0.038664	0.1907	0.12832
Meth__cg03343942__SLC39A5	0.051534	0.029206	0.70315	0.51285	0.17126	0.65375	0.22165	0.2093	0.78413	0.28636	0.23037	0.57483	0.68571	0.52439	0.19106	0.22115	0.21653	0.59271	0.16633	0.022783	0.50372	0.36777	0.56515	0.55255	0.81309	0.26681	0.30595	0.039166	0.23621	0.06852	0.49159	0.12508	0.035387	0.1705	0.032578	0.2884	0.10522	0.23502
Meth__cg23619829__MTFR1	0.049676	0.050488	0.063966	0.041848	0.032442	0.14007	0.039931	0.077966	0.068561	0.093116	0.0427	0.048655	0.047014	0.14591	0.039057	0.080427	0.078897	0.047594	0.11188	0.036419	0.031469	0.036829	0.041045	0.035796	0.030238	0.12973	0.04502	0.63801	0.13139	0.09964	0.040953	0.037519	0.049244	0.12272	0.046867	0.060846	0.11032	0.047014
