Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G16393__AC011443.6__AC011443.6	0.78149	0	0	2.0242	0.98271	0	2.6501	0.13026	0.43563	0.15815	5.8548	2.0264	5.1701	0.82457	0	0	0	0	1.7873	3.5388	0.57774	0	0.39217	0	0	0.38765	4.7857	2.489	5.3562	0	1.979	6.2604	2.0745	0.97076
RS_G11400__ADAMTS9__ADAMTS9	0.2465	0	1.37	0.39237	0	0	4.9386	0.89744	0.15387	0.10069	4.6682	0.17282	4.183	1.6897	0	2.1726	0.46728	0.55645	0.5346	2.1523	3.539	0.57193	0.16876	0	0	1.1799	3.8561	0	2.6306	0.299	0	0.098299	0	0
RS_G3762__SLC2A9__SLC2A9	1.4954	0.57568	0.93317	0	0	0.89166	2.8768	0.14422	0.84178	0	2.7674	2.9945	4.708	2.8274	0	3.9188	0.23875	4.7518	0	0	0	0	2.0806	2.3324	0.56566	0	0.79858	5.2984	5.7181	2.0498	0	3.8285	2.6854	0.18248
RS_G16902__KRT6B__KRT6B	1.2631	0.29312	0.45573	1.0087	0	0	12.8673	8.4677	0	0.30435	3.7711	4.255	6.035	7.1664	0	6.3173	0.86115	9.8119	0.25307	0.93721	0.22481	0	0.78126	1.425	0	0.95256	9.1282	6.9081	6.0318	5.5408	0	0.1545	0	0.31691
RS_G7114__DSC3__DSC3	0.49573	0.39677	0.62504	0.63213	0.2795	0.3894	7.5985	4.3602	0.60605	0.84273	0.60086	5.608	7.081	1.5077	0.72148	0.39204	7.2272	8.0574	1.0849	0.31427	0.28104	0.35268	0.20643	0.58525	0.098493	0.32785	5.5162	1.6246	4.2751	0.20067	0.45929	0.40609	0.80168	0.44014
RS_G7939__LL22NC03-75B3.6__LL22NC03-75B3.6	2.4782	0.1394	0.49211	1.2766	4.5176	0.15466	4.1286	7.2692	0.15764	0.053937	1.2511	3.8732	4.4105	0.61415	0	3.9325	6.1773	0.071757	8.1771	0.83738	0	2.2202	0.76908	0.13865	0.10411	3.9719	0	4.6122	1.4349	0.63433	0.25885	0.50332	0.21832	0.31876
RS_G5593__PTGIS__PTGIS	3.0378	0.50905	0.24849	0.58746	0.70782	0.66543	0.79291	5.3109	1.0653	0.87824	6.5345	0.52663	5.969	0.73956	0.48911	0.88407	2.4779	3.1099	3.4734	0.78877	0.5584	0.36191	0.50222	0.45283	0	0.52522	1.4475	2.7148	0.93871	1.9172	0.38671	4.2777	1.414	0.47916
RS_G11943__C10orf10__C10orf10	6.4294	2.4145	3.8936	2.0915	3.4013	0.56101	6.3853	5.9015	2.378	1.5633	7.4403	1.1295	5.9323	4.8405	1.5111	5.9809	4.172	7.2064	3.6636	0.63589	2.0915	2.4972	2.1318	2.6079	0	6.2562	1.5369	5.9749	4.0583	1.1558	2.2516	3.1047	1.3846	2.7746
RS_G7338__SERPINE2__SERPINE2	2.3994	0.79327	3.83	2.2086	10.1196	0.18958	7.4411	11.5894	0.28363	0.46684	9.8235	6.7055	2.8475	7.0236	0	8.1647	6.4473	2.5456	9.5902	2.7962	1.3238	6.5495	4.3532	2.126	0	6.0111	6.9672	2.2537	5.6749	0	0.83906	1.3572	3.4753	1.5784
RS_G12875__MFSD7__MFSD7	5.9134	5.9466	0	5.134	0.87243	1.5542	0.39831	0.27981	2.9756	3.974	0.50965	1.6432	2.5464	0.69369	0.24852	0	1.8338	0.32742	1.3851	1.148	1.087	3.1895	1.7338	2.1995	5.7598	1.462	3.5056	0	0.37387	4.665	7.7798	7.0837	5.0269	3.5491
RS_G16371__NOG__NOG	1.0519	0	2.2697	0	2.4767	0.38977	5.9809	0.41694	0	0	5.9691	2.4824	4.4078	2.8449	0	1.7954	0.37246	0	1.2498	2.0981	0.67981	4.0505	0.28562	0	0	4.5948	2.2238	1.4442	5.7748	2.1665	0	0.68639	1.1986	0
RS_G16041__SATB1__SATB1	6.0421	2.9048	4.5156	1.7351	4.6044	4.9151	0.62464	0.44662	0	6.1525	3.5614	2.9978	1.8601	2.3152	5.7141	0	0.54059	0.17482	3.9261	0.19144	0	4.2964	2.5852	1.3192	2.5172	0	4.0193	4.1944	0.4817	3.277	8.8591	0.067936	1.4858	0.14377
SNP__TRBV6-2	0.0098	0.453	0.355	0.322	-0.135	-0.257	0.042	-0.706	-1.599	0.29	-2.535	-0.782	-0.251	-0.206	0.557	-0.3346	0.434	-2.904	-0.1446	-2.003	-0.2195	-0.0176	0.343	-0.0298	0.459	0.526	-0.864	-0.273	-0.282	0.0294	-0.2956	-0.317	-0.042	0.028
RS_G1585__FYB__FYB	0.2113	0.19141	0.061937	0	0.20909	0	0.34147	1.9912	1.9119	1.2528	0.39857	6.1426	3.5975	2.5922	0	3.3846	0.15854	9.0496	0.12508	0.10911	0	0	0	0	0	0	0.11113	0	4.1615	5.2149	0	0	0.42518	0
SNP__IGL@	-1.694	-1.159	0.248	-2.86	-0.961	-3.126	0.818	1.28	-0.012	-0.384	0.122	-0.092	-2.723	0.714	-3.047	0.611	0.439	0.55	0.535	-0.404	-0.171	-0.122	0.659	0.716	-1.059	0.226	-0.148	0.383	-0.163	-3.338	-3.43	0.69	0.757	0.514
RS_G9764__SPOCK1__SPOCK1	0.73188	1.8385	1.5447	1.885	8.7612	0.26671	2.8401	8.7292	0.11606	1.9726	0.51264	3.357	5.8754	3.6344	0.39341	2.2589	3.2299	1.9918	9.0647	2.0412	0.30801	1.0533	0.76718	0	1.6003	3.5414	1.622	0.23799	3.8591	0.52115	0	4.5238	0.29584	0
RS_G17229__CYP4F3__CYP4F3	2.8276	0.42396	0.82997	2.1145	0	0	1.9205	3.0475	0.096044	0.23782	0.76	3.2897	5.8049	5.0833	0.17316	0.17701	0	3.2122	0	0.58609	0.71066	0	0.99839	0	0	0	3.0069	2.4756	1.7387	4.6287	0	2.4083	3.1686	0.3519
RS_G1762__MMP2__MMP2	0.4728	0.51784	0.16333	0.14627	1.1858	0.21659	6.7222	10.4729	0.2313	0.53378	1.1497	4.3334	3.1849	4.7367	0.71871	0.74091	5.5154	4.458	10.0294	0.50701	0	0	0.47804	0.67254	0.71178	8.0913	6.8538	1.7789	5.4073	1.6774	0	3.3427	0.5521	0
RS_G13459__KRT9__KRT9	0.41554	1.4828	0.54886	0.32451	0	0.1191	4.4878	3.1374	4.9813	0.76367	0	3.221	6.3236	1.2658	0	4.1905	0	2.8564	3.3175	0.58252	0.58379	0	0.70049	0	2.5455	0	3.6507	3.1486	1.0384	1.7982	0	0.42014	0.97419	0.5673
RS_G22042__HLA-F__HLA-F	4.748	2.4472	0.95172	6.5911	0	4.0757	5.6306	6.511	1.1434	3.8771	9.1074	6.966	7.902	5.9406	2.5906	6.6764	6.4276	9.9102	1.1237	5.6214	3.8954	3.2625	3.8368	1.838	0.99069	6.9802	8.3968	8.494	6.9181	5.328	7.0422	7.5762	6.3212	6.1653
RS_G5394__HOXA7__HOXA7	2.1316	0	0.91753	0.40299	2.1784	0.11467	1.9831	5.33	0.89799	1.7442	0.7897	6.9085	5.3889	1.1347	0	1.2664	4.1871	4.3038	4.4576	4.0079	2.4767	0	0.24811	0	0	2.2872	1.7227	5.8073	3.9677	0.23142	1.0135	0	0.76165	1.3313
RS_G17613__DNER__DNER	2.294	0	2.4646	3.4789	3.6529	1.1389	5.8237	1.9231	1.3251	0	2.8314	3.7397	2.2167	3.9148	0	4.4929	0.54296	1.5037	6.9983	0.29029	0.8161	0.99509	5.2065	0	0	4.4448	7.0268	3.188	5.3424	5.9503	0	2.1153	2.4246	1.2397
SNP__WWOX	-2.18	-0.55	0.092	0.19	-2.109	-1.822	-0.105	0.091	-0.139	-2.381	-1.667	-0.81	0.304	0.23	-2.29	-0.412	-1.319	0.442	-2.607	0.572	0.448	-2.395	0.457	-1.648	-0.561	-0.206	-2.091	-2.344	1.107	-0.132	-2.033	0.479	-0.056	-0.372
RS_G2255__SLC5A1__SLC5A1	7.3639	0.18874	0	0	0	0	7.3973	0.4324	0.32026	0	3.7281	0.59098	3.9327	4.9666	0.1983	2.8481	0	6.8247	0	0	0	0	0.37256	0	0	0	0	6.317	1.9414	0	0.23941	0.14429	0	0.29703
RS_G6626__MAP1B__MAP1B	1.6802	0.12335	2.6488	3.0439	5.4526	0.64596	7.5131	8.3394	1.0717	2.1305	6.6239	3.8912	4.0338	2.7093	5.0187	4.8936	8.088	4.8333	9.1024	2.9921	3.5005	7.6542	1.7013	0.79208	0.17791	7.6968	2.768	5.9852	4.2327	2.5995	0.081101	1.4591	2.7946	0.59431
RS_G11321__IGFBP7__IGFBP7	0.48984	0.20472	0.64677	0.22802	4.9569	0.60953	10.1072	4.3762	0	0.96387	5.4059	8.8986	8.1983	0.71009	1.6	9.7724	4.1764	5.9428	11.5239	1.4949	0.22795	9.8327	0.10584	0.93944	0	0.70873	4.6982	7.9681	9.9865	0	2.6526	3.9518	0.57635	0
RS_G12878__KLK7__KLK7	0.43855	0	0.13593	1.9992	0.11677	0.12675	2.968	0	0.25641	2.2202	1.3488	2.5039	6.8763	5.6672	0.43133	5.4814	0	2.4911	0.14189	0.2323	0.1255	0.22201	0.12111	0.41216	0.30901	0.22455	0.24511	8.0034	11.1557	3.7048	0.50406	0.37498	2.2158	0.33096
RS_G4086__MDGA1__MDGA1	0.20459	1.4234	2.8025	5.1274	2.4437	0.5006	0.86399	2.5515	2.8983	2.6328	0.054683	3.6425	4.1003	2.3021	0	2.7875	1.4903	0.99925	3.0637	2.9232	0.0898	2.9841	3.8918	0.15742	0	2.1952	1.4983	3.3356	1.6953	0.82755	3.5697	6.7219	1.8872	0.85363
RS_G17716__IGFL1__IGFL1	0.51855	5.2215	1.994	2.7983	2.2231	3.3051	6.3222	1.5139	0.66238	0	0	4.3337	5.2263	2.9253	0	8.5702	0	3.1231	0	4.8811	0	0	0	0	2.1947	1.5873	4.1314	0	6.8497	0	0	5.5371	0.83279	2.5156
RS_G1552__TCF7__TCF7	0.61235	1.4587	0.64978	2.1217	4.4365	2.2157	4.4352	6.929	1.4072	1.8359	1.2298	4.6583	4.6643	2.1895	2.2238	5.6227	5.6906	6.4672	6.8571	2.1142	1.3186	3.0334	2.127	0	1.9959	10.0385	4.341	5.0887	4.6908	0.4835	3.2071	2.4257	3.3383	1.8283
RS_G10552__CDA__CDA	0	1.6466	0.52859	0	0	0.49703	6.438	1.2407	0.51588	1.0834	0	6.746	7.4997	3.0522	0	1.2901	0	7.0228	2.4749	1.9161	0	4.9695	1.8659	0	0	2.2379	9.57	4.4328	10.6457	4.0751	1.987	2.0333	1.9565	0
RS_G7673__TMPRSS4__TMPRSS4	2.699	7.5287	3.7492	3.3157	0	0	4.5026	0.31816	8.8153	1.9174	1.9884	4.8015	5.6948	7.7551	0.89178	4.0871	0	6.8365	0.168	5.3764	5.8953	0.26802	3.6486	0.47906	7.1336	0	0	5.449	4.4458	0.96487	0	3.3235	5.4337	1.2718
RS_G7269__HEY2__HEY2	3.6871	0	4.2335	5.6502	1.3674	1.1515	2.5575	0.48244	3.959	1.6937	2.4811	2.3717	2.5058	0.93292	0.35462	1.007	0	6.9965	3.4334	4.8089	0.82328	2.29	5.3855	0.59431	0	4.2589	0.77271	1.6052	0.28944	3.3842	0.64409	6.0077	5.5727	5.2139
RS_G18988__AKR1B10__AKR1B10	6.0862	6.4031	3.4204	4.4495	3.4368	1.0699	3.6936	13.2877	6.9807	1.5061	1.9267	6.7916	5.592	11.1161	5.4083	6.367	3.9192	8.1433	2.5406	4.3702	1.7214	1.9461	3.7713	0.52788	3.873	1.0774	4.063	8.6727	9.6947	2.5692	0.50493	2.3659	1.4491	1.9367
RS_G2649__SRPX__SRPX	2.5884	1.0314	2.6197	0.97679	2.7858	0.26305	6.6006	9.7982	0.70231	2.9338	7.0833	1.997	1.2447	5.9047	0	3.9004	4.6477	1.8195	5.4903	2.0271	1.2433	5.0677	1.48	0.77069	0	9.8027	4.4822	1.5505	2.81	0	0	1.0759	2.558	1.0927
RS_G7127__TCN1__TCN1	3.0187	0.28564	12.4902	0.57705	0	0	2.1014	0.35529	0.33689	0.22798	0.15109	3.8921	1.106	7.5608	0	0.46196	0	10.507	0.18873	0.56437	0	2.6547	9.5381	0	0	0	4.6244	1.8932	0.47354	0	0	0.98567	4.0451	0.92242
RS_G9403__SESN3__SESN3	2.3465	0.95592	1.9433	1.1053	1.9298	0	2.8601	6.7706	0.38727	1.3803	2.9138	1.2586	3.1787	5.218	0	3.7349	1.2617	5.7426	0.72009	1.0257	3.5018	3.829	1.2595	2.6745	0	2.2333	1.6506	2.2977	3.064	0	0	2.0062	3.2095	1.8699
RS_G4911__TNFAIP3__TNFAIP3	3.4229	2.5241	1.0022	2.341	3.086	2.2536	6.0137	4.7093	4.1702	1.7707	7.0341	7.7645	7.6887	3.9834	3.1691	6.975	4.977	4.4333	6.6145	3.1333	1.8825	4.8906	1.4189	0.39628	3.774	3.5072	5.7983	4.0861	3.8722	2.863	2.6747	2.037	1.5191	2.18
RS_G8168__RHCG__RHCG	0	0.76408	0	1.7502	0	0	1.4873	0.74178	0.50384	0.96672	3.6706	3.1828	3.8711	0	1.3439	2.7996	1.6309	4.9588	0.29197	3.3408	2.7627	0	1.7348	0	1.8421	5.4309	2.1324	3.9305	4.4168	0	2.9171	0	1.7677	0
RS_G10072__APCDD1__APCDD1	3.6283	0	3.4981	1.7279	5.1196	0.94106	8.1676	5.0126	4.698	4.311	0.49093	0.3134	4.4235	0.7662	0	5.3693	0.79178	4.2019	6.4553	4.2763	1.278	0.77135	4.5634	0	0	1.5594	0	3.3661	0	3.1684	0.75881	4.9168	3.3698	2.6144
RS_G6975__LOXL2__LOXL2	1.5391	2.7296	1.2016	5.6888	11.6528	0.8968	6.3164	9.3974	1.5447	2.0715	6.3622	3.9725	6.3672	6.8128	0.54448	8.6672	8.2651	5.7011	11.1125	7.6294	3.625	8.9271	1.3338	2.0015	1.078	8.2155	10.5325	5.5342	7.3102	1.0611	1.131	6.4413	3.8986	1.1635
RS_G3022__DHDH__DHDH	2.4187	2.2579	0	2.616	0.76248	0.93381	3.6498	0	0.9645	2.8425	5.3073	3.5907	4.9283	1.7072	3.3883	2.7314	0.60282	5.2884	0.84227	3.6193	2.6151	1.1133	1.3322	1.9645	0	4.6054	2.7517	4.3504	4.0578	3.0985	3.2846	4.2986	3.1819	1.8332
RS_G3465__GLIS3__GLIS3	1.0417	0	0.7201	0.39469	5.7482	0.065496	2.5089	2.5399	0.25445	0.088391	2.7287	0.32897	0.90898	4.199	0.28977	1.6833	7.1394	4.1606	5.2637	0.31311	0	3.7762	0	0.11367	0	5.3004	1.2236	1.4032	3.5116	0.2903	0.073385	0.27842	0.090949	1.0128
RS_G10667__TPPP3__TPPP3	2.2526	0	2.186	6.7959	0.41479	1.8475	2.3133	1.109	7.6865	0	4.4312	2.1008	0.83472	0	3.8775	0.90646	1.6514	5.3208	2.3318	1.3278	0.42247	0	1.9225	0	0	3.6597	4.4601	0	3.6464	0.64202	2.8537	5.2787	7.4528	1.5766
RS_G7879__HERC5__HERC5	2.3699	0	1.1018	4.8412	0.14696	1.4218	4.5886	2.5298	0.90345	1.1983	8.0916	2.7091	5.6631	4.4059	1.7557	2.964	4.5001	7.8085	0.083816	0.81141	0.62941	5.3756	0.78169	0	0	3.9803	3.3359	4.2521	3.2928	2.1255	1.4633	1.096	0.70351	0.21229
RS_G6622__BARX1__BARX1	0.22949	0	0	0.14871	0	0	0.23826	0	0.30134	0.36785	7.1091	3.5355	2.0759	0.38231	0.27778	1.3499	7.1959	0	0.31829	0.51427	0.28343	0	0	0	0	5.4178	0	2.1329	4.5806	0.55638	0.58125	2.9156	0	0
RS_G802__LAMC2__LAMC2	7.8004	1.3479	2.8528	5.2033	1.2503	0	9.9091	3.9319	2.2628	1.8877	2.4189	10.3037	10.1862	2.1806	2.5928	9.101	4.8812	8.625	4.9635	4.5273	2.5351	6.7557	4.1532	3.7465	0	1.5224	8.3867	6.5568	11.0569	0.69749	5.7706	5.35	3.5768	2.2536
SNP__GNTIVH	0	0.087	-0.287	0.024	-1.829	0.268	-0.35	-0.324	0.09	0.473	-0.406	-0.148	-0.224	-0.173	-0.316	-0.286	-0.029	-5.759	-0.242	0.183	0.043	0.167	0.747	-0.018	0.049	-0.21	-4.154	-0.014	-0.004	0.916	0.315	0.074	-0.046	-0.007
RS_G4882__NRP2__NRP2	0.9771	0.20883	0.35126	0.070484	5.1284	0	4.7753	5.4477	2.767	0	6.9605	5.4682	6.1647	1.8408	0	5.4395	6.3585	3.0381	4.719	0.93829	0.60902	4.1193	0.27601	0.53772	1.3656	9.3677	1.3344	1.1954	6.321	2.2134	0.87418	0.047311	0	0.1009
RS_G12120__LARP6__LARP6	4.2188	1.299	3.6514	2.9647	6.568	0.41765	5.2848	8.1059	3.3645	1.9411	9.7435	4.7567	5.4148	3.8387	1.199	5.773	5.0126	6.7561	5.8904	3.7507	2.9315	6.7601	4.6908	0.67497	0	8.9712	6.2283	6.3424	5.1701	5.3971	3.8833	5.3123	3.6215	3.6772
RS_G2624__MXRA5__MXRA5	5.0837	3.4195	7.5759	6.375	0.20632	0	1.6586	1.0157	0.058217	0	0.23401	2.3124	1.2112	3.8501	6.5451	0	4.6149	4.8628	3.9665	0.15856	0.66448	0	0	0.09952	1.2267	2.57	0	4.8102	3.7177	0.22955	0	4.5144	4.9451	1.5408
RS_G12539__KLK6__KLK6	4.2761	5.0602	0.45573	4.9239	0	0.54484	9.0328	0	0	1.2661	7.0963	4.1068	10.7456	12.9326	0	7.5906	0.40914	1.5357	0.17355	2.609	2.5633	0	1.8049	1.0046	1.0202	0	1.5005	7.4241	10.6741	8.8709	0	6.5776	7.003	0.72126
RS_G17302__KRT16__KRT16	5.7658	3.1764	2.3818	5.6129	0.28859	6.0805	10.7235	6.7007	1.2431	1.4693	6.9239	6.7744	12.4501	7.6521	3.4383	9.9669	2.3008	10.6566	3.9295	6.0096	1.6805	0.72684	3.0384	2.1965	1.5744	1.8388	11.3122	12.7978	9.5632	12.3241	3.8277	0.69855	3.2686	3.0416
