Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G6326__AC006273.1__AC006273.1	4.7058	0.44652	0	6.9571	4.8531	2.6603	1.0627	1.6414	0.52069	0.8433	6.875	3.8642	0.70315	0.67825	0	0.22203	5.498	0	2.1711	3.6612	3.7451	0.29709	2.1202	1.1253	0	9.396	1.41	3.9901	0	4.3873	6.578	5.6514	4.4249
RS_G27825__RP5-857K21.11__RP5-857K21.11	10.9434	6.6704	13.2896	12.1731	10.1851	12.3866	12.2165	12.1985	12.3339	11.8487	10.0205	11.1852	10.4344	10.7845	13.3398	10.3199	11.7062	10.6909	11.5127	7.1751	11.6662	10.3684	10.1889	9.1151	9.7862	8.7916	12.4549	9.1959	9.7	10.1982	9.1015	9.4473	12.2867
RS_G10662__SPON2__SPON2	2.7812	6.1264	1.323	1.9091	9.9503	1.7098	1.7203	1.2119	0.29091	0.37481	4.2431	0.42609	1.4054	0	0.26969	1.9704	1.2893	1.9114	4.3765	1.8882	1.8656	0	2.7858	0.82777	0	5.8784	7.0758	5.7229	3.9687	2.5838	6.3939	1.0492	0.68924
RS_G16247__C17orf60__C17orf60	0.49808	0.30644	0.1873	0.47501	0.16983	0	1.7779	4.3243	0.35255	0.78703	0	0.28012	3.4776	6.4583	0.83997	0.7432	0.46893	1.5377	3.4339	0	0	3.0384	0.5823	0.30115	0	0	0	1.5309	2.4997	0	0.11701	0	0.25524
RS_G14914__PGBD5__PGBD5	2.5018	2.9794	3.1999	5.547	1.9775	5.1598	6.6397	3.0331	0.22966	1.317	4.4039	1.9745	2.6064	4.145	0.14608	5.9063	4.2302	7.2011	0	5.1453	2.4298	0	5.1969	0	0.70583	0.26209	6.4248	4.7336	3.9571	2.1338	4.951	6.1655	4.287
RS_G27826__RP5-857K21.10__RP5-857K21.10	5.8107	2.5263	7.2819	6.0612	5.4616	6.7566	5.7699	6.0557	5.9109	6.3595	4.472	10.192	5.0055	6.5499	6.7342	5.4524	5.212	6.1806	4.031	1.6856	5.5395	6.185	4.0503	5.0325	6.1325	3.2194	11.8036	3.9198	4.7339	6.2921	3.4616	4.7608	5.9337
RS_G3505__UNC5B__UNC5B	1.569	4.6928	2.858	2.9021	1.2545	2.3139	2.4338	4.1346	1.5493	1.6312	3.6245	5.6769	5.2498	2.9491	2.4618	5.1625	2.3407	2.4117	4.4737	4.1222	2.8653	0.54177	6.0143	8.494	6.1432	7.6038	5.3655	6.9528	3.0871	3.181	5.8601	5.5405	5.4248
RS_G31733__RP5-857K21.8__RP5-857K21.8	5.0029	0.86394	5.9947	5.694	3.7407	4.9113	3.5112	11.4972	4.97	5.1034	4.4521	4.4169	3.9669	4.8796	5.1054	4.9172	4.4921	5.0984	3.7983	1.5704	4.4026	5.8063	2.8036	3.5856	6.3863	0.75049	5.0293	5.1652	4.3612	5.3959	1.8849	4.3343	5.1128
RS_G11349__FBLN2__FBLN2	0.39761	11.101	0.2534	6.3401	0.23155	0.89252	10.8382	3.7514	1.0239	4.0648	5.9735	4.6059	8.1195	0.93459	0.43315	1.9516	0.6412	5.0908	1.9731	0.56682	0.52712	0	6.3892	0	8.4706	3.8971	5.4564	7.0764	7.3138	0	10.8093	8.9052	7.0003
RS_G12887__ROR2__ROR2	0.99671	0	0	3.2452	0	6.8376	4.2998	2.7187	0	0.28529	1.6518	1.9581	3.8669	0.15018	0	2.2208	4.9915	0	2.6226	1.7196	0.43584	0	5.8797	6.4732	0	0.52239	7.9269	1.6918	4.8317	6.1975	5.4064	5.0886	5.4198
RS_G11780__GPR30__GPR30	0.78743	1.3949	2.9158	1.7559	0.30558	3.7144	2.5551	2.5452	3.2315	2.6799	0.62738	1.4092	3.8532	1.1675	3.2541	2.4931	4.3017	5.6098	2.3456	7.1539	6.6849	3.9508	5.808	0.53026	2.787	1.2363	2.5352	2.3624	0.73872	1.7272	1.6963	1.2609	2.1461
RS_G21976__PSORS1C2__PSORS1C2	3.4262	3.392	0	0.22306	0	0.42468	3.1842	1.3329	0	1.2556	1.3194	1.9812	1.3602	0.38672	3.262	3.807	0.57295	2.4497	0.25105	1.2149	0	1.8696	1.981	1.9018	5.3528	1.1628	3.4737	3.6252	0.44865	0	1.9444	0.56515	1.432
RS_G19397__L1CAM__L1CAM	5.0302	6.9187	1.3538	7.716	0.69507	5.9379	7.576	4.0551	1.4333	4.2916	7.5056	2.0386	4.8733	5.8085	2.8532	7.6995	6.3652	0	5.7132	9.4903	6.7579	4.142	3.0137	0.26696	6.4653	1.738	10.535	8.13	7.9265	4.4721	9.8766	5.0006	0.9737
RS_G9860__DAB2__DAB2	2.8095	2.6767	1.9608	0.84202	7.8425	1.0483	5.6917	7.6059	9.6164	8.572	3.2249	4.2838	2.5393	4.435	3.3926	5.0783	5.6126	6.3679	7.6893	0.22032	2.9612	6.6862	1.4309	0.99415	4.3122	5.9163	3.1804	1.1255	5.8937	2.6474	2.0384	2.1991	0.16587
RS_G5082__PPP1R3C__PPP1R3C	0.43694	0	6.0182	1.5948	5.9026	6.9819	0	4.9081	4.9479	3.7082	0	3.4447	3.4146	0.27421	2.6596	0	3.5154	3.8927	2.2452	5.321	7.2503	4.4461	3.825	0	0	4.3203	0.93617	2.6055	2.3988	1.0241	4.3747	0.89368	0
RS_G16452__NPW__NPW	0.92642	1.4213	0	2.4697	0.2454	0.65448	1.172	0.5077	0.26622	1.0368	5.9176	4.5334	4.1669	0	3.1399	0	0.4498	2.1341	0	2.1758	1.085	0	2.8689	1.2498	1.1663	5.1687	4.4809	6.0124	1.5207	4.5138	6.4954	4.8912	1.5426
RS_G7748__IFI44__IFI44	3.8056	0.59385	0.46246	6.1055	2.1195	0.30353	2.8333	7.1034	0.31583	4.6246	9.3298	6.5299	7.3962	6.8635	4.9226	2.6237	7.0366	10.8415	2.8004	0	1.098	6.4009	0	0	0	0.88563	5.9345	4.7341	0.59359	4.5095	0.20578	1.2093	0.41488
SNP__C20orf133	0.013	0.478	-3.412	0.535	-2.106	0.09	0.165	0.29	-0.718	-3.747	0.552	-0.752	-3.208	-2.113	-3.5	0.214	0.422	-3.787	0.305	0.243	-0.409	0.143	-3.628	0.31	0.582	-0.578	0.868	0.024	-0.782	-0.292	-3.619	-0.277	-0.375
RS_G16982__IFIT1__IFIT1	4.0272	0.24404	1.6038	8.4349	2.6931	1.5317	3.5077	4.2694	0.73486	5.2973	9.1722	6.0939	6.5673	6.0911	6.388	1.8643	3.3544	10.3925	2.1393	3.6083	3.6486	6.2823	1.4311	1.9978	0	1.8031	5.7124	3.6724	3.048	5.5259	0.1874	1.7547	0.9293
SNP__ADAM3A	0.722	-0.027	-1.888	1.636	-1.395	1.685	0.214	-0.295	0.052	0.27	1.495	-0.137	-1.496	0.71	0.633	0.196	0.852	-1.129	0.042	-0.433	0.089	-0.275	0.8	0.644	-0.001	0.491	0.417	-0.349	2.017	0.319	1.256	0.106	0.188
RS_G3462__DDX58__DDX58	4.6464	1.2425	3.6748	6.6044	3.2513	4.3522	5.5147	4.703	3.0799	3.8092	9.1085	4.3983	6.7743	4.4267	6.5675	5.7537	3.6558	8.7787	3.3188	2.216	4.2702	5.7884	3.5604	3.4966	1.0427	1.8856	4.3942	2.1718	2.8206	4.5015	1.9092	3.7722	3.2852
RS_G19176__ITGBL1__ITGBL1	0.16651	0	0	0	0.20264	0	4.0493	0.68818	0	0.28041	0	4.3601	7.3595	0.1923	0.54398	0	6.5539	0.69579	6.9503	0	0.29988	6.4769	0.052559	0	0	6.6087	4.4647	1.0651	0	1.5074	0	0	0
RS_G1039__SYT1__SYT1	1.123	2.1228	4.824	8.2377	4.8047	0.86198	1.222	0.68231	5.6408	5.3681	0	3.4414	1.3791	4.1984	3.5518	1.2674	3.4954	4.8334	2.6812	3.3681	5.8949	3.3375	2.2683	0.18611	4.36	5.568	0.54555	2.9818	4.8527	4.0193	0.88003	2.2162	0.63215
RS_G2294__HMOX1__HMOX1	5.2324	7.003	4.0314	6.9044	8.3669	7.1545	6.8174	8.6229	4.7288	5.8914	7.281	6.3735	5.5572	5.7747	6.1383	8.4909	6.3885	7.3288	7.8988	5.4815	5.1931	6.3582	7.0571	5.3533	7.157	13.0503	7.1352	7.2448	6.2813	5.8474	6.0204	9.0714	8.756
RS_G12538__KLK5__KLK5	6.1288	4.2346	0	4.9387	0.87783	0.32442	9.7741	0.50368	0	0	1.7287	9.0743	12.8418	11.5097	0.31511	10.0348	1.7585	4.9998	0.87841	1.9651	0	0	1.6783	2.1958	0	0.54237	1.3136	7.7474	10.6798	0	5.3638	4.337	0
RS_G14837__CASKIN2__CASKIN2	6.7178	7.0439	5.436	7.3426	5.7023	6.831	7.2235	5.7037	5.7827	7.7974	6.7524	5.9286	5.9362	6.0584	7.4702	6.4785	5.6453	5.5926	6.0022	9.1808	7.6481	6.0895	8.8242	8.7561	7.1349	7.4565	7.0461	7.3888	6.9692	6.3188	7.7867	7.058	7.0492
