Cell lines	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM52PE	UACC812	ZR751	ZR75B
Meth__cg25507001__NME5	0.05429	0.89183	0.034109	0.32788	0.89313	0.90876	0.39236	0.52458	0.85673	0.075799	0.43794	0.059944	0.14178	0.061062	0.55468	0.3751	0.050311	0.089427	0.68478	0.83104	0.8026	0.13633	0.032695	0.70639	0.058738	0.24708	0.21109
Meth__cg10521852__EDG4	0.81502	0.33023	0.66776	0.9288	0.6538	0.057278	0.73513	0.09355	0.10057	0.4872	0.91165	0.418	0.0582	0.55415	0.58122	0.08684	0.64664	0.19878	0.074657	0.07384	0.86358	0.65297	0.72063	0.80533	0.50325	0.18188	0.50264
Meth__cg08097755__VGF	0.045818	0.19393	0.054893	0.047634	0.62383	0.75837	0.26886	0.097217	0.56584	0.34494	0.11433	0.78402	0.27827	0.30145	0.046483	0.051988	0.058131	0.20465	0.85333	0.66002	0.49088	0.043653	0.039292	0.048334	0.071214	0.18501	0.047869
Meth__cg04785227__CHRNA7	0.032114	0.27321	0.04951	0.065836	0.34008	0.068878	0.09099	0.066357	0.87487	0.037754	0.28031	0.047152	0.039802	0.036881	0.93841	0.23411	0.070184	0.14532	0.33097	0.081907	0.2322	0.03716	0.03663	0.16262	0.053014	0.038851	0.04567
Meth__cg22472290__ZNF577	0.073126	0.2369	0.067616	0.24225	0.88331	0.8116	0.8552	0.81381	0.77333	0.90273	0.14752	0.36997	0.13903	0.41078	0.5469	0.38539	0.074612	0.17333	0.35965	0.11922	0.36611	0.099773	0.083447	0.14891	0.0668	0.53998	0.40678
Meth__cg09424308__FLJ90575	0.09565	0.27005	0.20686	0.31546	0.19441	0.27273	0.11606	0.35486	0.1851	0.51518	0.11072	0.06399	0.23249	0.071291	0.40634	0.40022	0.085879	0.22454	0.70605	0.37682	0.1285	0.19668	0.081202	0.044796	0.30832	0.10594	0.10252
RS_G1906__ICAM1__ICAM1	4.5585	0.6419	3.9904	0.75254	4.0039	3.6008	4.2381	11.2307	6.7583	4.6935	4.4833	3.4969	7.6289	2.6603	4.8286	5.0179	1.8138	6.6162	4.6042	5.1194	5.6166	4.1407	1.2766	0	4.094	4.029	1.5646
Meth__cg19734228__DAPK1	0.071775	0.33332	0.19845	0.43517	0.90288	0.03846	0.83677	0.7755	0.17315	0.42422	0.58932	0.031482	0.099833	0.58261	0.60488	0.6733	0.1075	0.068408	0.74439	0.28333	0.17	0.10997	0.031871	0.44707	0.037416	0.2504	0.048396
RS_G11780__GPR30__GPR30	1.3949	2.9158	1.7559	0.30558	3.7144	2.5551	2.6799	0.62738	1.1675	3.2541	2.4931	4.3017	5.6098	2.3456	7.1539	6.6849	3.3657	3.7092	3.9508	5.808	0.53026	2.787	1.2363	0.73872	1.6963	1.2609	2.1461
Meth__cg24838010__SLC26A11	0.043678	0.080653	0.027524	0.050659	0.061192	0.84472	0.32794	0.049852	0.31811	0.030673	0.07811	0.097455	0.72459	0.17316	0.033988	0.05	0.033958	0.046223	0.81635	0.041175	0.070986	0.038888	0.036295	0.034056	0.045784	0.033385	0.031746
Meth__cg14601560__SCLY	0.08518	0.16414	0.080434	0.084485	0.096664	0.67811	0.097187	0.11528	0.14468	0.073566	0.095025	0.09425	0.17969	0.11028	0.12511	0.09561	0.095213	0.10431	0.10764	0.098058	0.13529	0.12503	0.099448	0.088259	0.084868	0.081757	0.091196
RS_G6274__KLK10__KLK10	0.20625	1.3396	1.2238	0	0.62219	9.15	2.0282	2.7793	1.8961	0.1524	6.979	0.22273	3.3567	0.33246	2.017	0.95155	0.44609	7.4633	0.22033	1.1275	0.28013	0	0.27978	0	4.0939	1.8135	0.42331
Meth__cg00818693__TTC14	0.050201	0.69562	0.036749	0.042307	0.40868	0.12799	0.044588	0.18129	0.069172	0.7951	0.038849	0.038516	0.13669	0.042606	0.29496	0.21431	0.43952	0.041879	0.18086	0.049398	0.093109	0.061155	0.044491	0.037691	0.044973	0.036773	0.042388
Meth__cg02649608__ZBTB33	0.071208	0.057862	0.28913	0.058547	0.065039	0.25076	0.064573	0.06689	0.11753	0.047283	0.28879	0.4405	0.20192	0.047597	0.050951	0.07	0.44552	0.38727	0.11719	0.063121	0.35376	0.087695	0.46151	0.22705	0.51546	0.36331	0.066486
Meth__cg01798589__STAC	0.055888	0.73801	0.17076	0.1859	0.5078	0.18959	0.25612	0.49614	0.37017	0.76253	0.40438	0.098271	0.15934	0.19036	0.27297	0.26719	0.13715	0.91251	0.07462	0.26199	0.20794	0.090772	0.042413	0.10829	0.12448	0.77931	0.38727
Meth__cg17119387__KIAA0664	0.016508	0.21746	0.027178	0.58758	0.038233	0.046207	0.27616	0.026901	0.90608	0.84139	0.25543	0.024471	0.04352	0.091924	0.11091	0.40901	0.040294	0.46014	0.94028	0.25878	0.15461	0.030133	0.022848	0.28112	0.038299	0.028379	0.031082
RS_G4942__RARRES1__RARRES1	1.842	3.7414	0.17186	2.4435	1.546	4.0497	3.4138	6.5431	11.1435	3.1687	8.5922	2.0236	13.9745	0.3647	0	0.1718	0.17735	7.1024	1.2788	2.8091	1.7188	2.3179	0	0.63747	1.8166	0	0
Meth__cg13975625__NPY5R	0.036004	0.66024	0.047996	0.32218	0.74921	0.95291	0.92799	0.61199	0.56115	0.12882	0.79759	0.065813	0.16731	0.46816	0.18483	0.78711	0.38129	0.35775	0.6835	0.90969	0.6772	0.066851	0.052005	0.25839	0.44161	0.71868	0.67001
Meth__cg16731240__ZNF577	0.067409	0.053108	0.055285	0.040916	0.97901	0.6068	0.97583	0.94899	0.97442	0.98154	0.08351	0.048582	0.10796	0.64957	0.53692	0.40531	0.079945	0.048267	0.92334	0.069657	0.08269	0.058144	0.059488	0.089254	0.05449	0.76743	0.44583
Meth__cg15846641__HTLF	0.041806	0.4057	0.052103	0.066496	0.19341	0.055919	0.097207	0.054158	0.13573	0.035045	0.04591	0.034031	0.29239	0.50731	0.17232	0.17581	0.072444	0.074998	0.10623	0.15032	0.13164	0.077645	0.037863	0.040874	0.064373	0.059852	0.070732
Meth__cg14894216__CATSPER1	0.10667	0.76334	0.42162	0.095629	0.31169	0.47553	0.14807	0.28099	0.44097	0.092901	0.55625	0.10633	0.23094	0.11407	0.5594	0.23439	0.36617	0.80384	0.83939	0.11046	0.13832	0.15314	0.11629	0.22973	0.14059	0.09937	0.10644
Meth__cg14213992__ZNF546	0.67068	0.3861	0.11903	0.053089	0.20379	0.69415	0.19626	0.57793	0.94354	0.12844	0.1053	0.029592	0.229	0.36385	0.72909	0.61012	0.079103	0.40563	0.063368	0.43093	0.20218	0.36963	0.025049	0.067811	0.046273	0.22025	0.21561
RS_G10216__C8orf38__C8orf38	2.3135	7.2087	6.021	6.0859	6.1608	5.772	6.1035	5.9847	6.0311	6.1521	5.9104	5.835	6.3356	6.2182	4.299	6.6008	5.9155	3.8127	5.874	4.967	4.503	4.5255	4.0145	4.5804	5.2216	4.6899	5.1276
RS_G3267__ITGB8__ITGB8	0.27889	2.0303	3.4893	0.14738	0.36513	4.6975	2.3442	8.4305	5.4276	2.5057	5.2617	1.3995	6.1267	1.6822	0.35153	0.93842	0.36975	4.8645	0.53386	0.59803	0.30829	0.15176	0.8868	1.0727	2.2218	0.45843	0.59579
Meth__cg09084200__hCAP-D3	0.079648	0.26991	0.073898	0.13049	0.15884	0.28319	0.15749	0.066803	0.25623	0.046452	0.37718	0.12587	0.15009	0.426	0.19492	0.12297	0.13239	0.16594	0.1586	0.21667	0.090432	0.084903	0.10809	0.10606	0.25985	0.14467	0.13955
Meth__cg19246110__ZNF671	0.037984	0.96715	0.5773	0.10433	0.95085	0.57022	0.05058	0.96564	0.93965	0.77409	0.051801	0.61487	0.62116	0.31637	0.9655	0.59866	0.047953	0.61172	0.90538	0.045018	0.52326	0.067991	0.033814	0.44635	0.044377	0.23049	0.88628
Meth__cg26199493__LIN9	0.35998	0.16922	0.13358	0.04427	0.086643	0.04963	0.1064	0.038645	0.20723	0.026558	0.071772	0.022137	0.06938	0.03782	0.089777	0.055176	0.64844	0.16348	0.066051	0.050694	0.1042	0.17983	0.24695	0.27379	0.34636	0.31634	0.53061
Meth__cg20919799__CDKN1C	0.023225	0.14196	0.037997	0.6609	0.60686	0.037621	0.042184	0.69542	0.13176	0.049168	0.04222	0.039305	0.14228	0.13852	0.9137	0.58992	0.051878	0.25867	0.17487	0.062481	0.068128	0.048356	0.033754	0.039137	0.052828	0.053412	0.038702
Meth__cg19596204__ISYNA1	0.095906	0.70213	0.024529	0.61674	0.026715	0.038893	0.030234	0.040184	0.26154	0.10979	0.57001	0.023735	0.094387	0.7124	0.57359	0.040045	0.02569	0.029253	0.92274	0.036787	0.049322	0.077532	0.025937	0.017523	0.029931	0.022287	0.026424
Meth__cg04001842__LOC405753	0.013454	0.91468	0.30446	0.3816	0.43997	0.96646	0.61498	0.91355	0.93513	0.044058	0.39497	0.10598	0.048631	0.017523	0.816	0.86576	0.095408	0.81593	0.68735	0.90487	0.65477	0.030067	0.031375	0.75867	0.4981	0.34543	0.63526
RS_G3462__DDX58__DDX58	1.2425	3.6748	6.6044	3.2513	4.3522	5.5147	3.8092	9.1085	4.4267	6.5675	5.7537	3.6558	8.7787	3.3188	2.216	4.2702	5.2057	2.4644	5.7884	3.5604	3.4966	1.0427	1.8856	2.8206	1.9092	3.7722	3.2852
Meth__cg03000846__RAC3	0.052198	0.79613	0.167	0.8844	0.25557	0.38286	0.49661	0.028168	0.59755	0.33858	0.45242	0.63124	0.56206	0.9526	0.68227	0.61985	0.03108	0.55245	0.94933	0.93265	0.057362	0.18263	0.52379	0.01872	0.5172	0.023817	0.023589
Meth__cg14037413__ZNF143	0.019496	0.024913	0.016058	0.018004	0.023268	0.15108	0.025762	0.060538	0.027936	0.022356	0.020684	0.017405	0.05745	0.019133	0.028699	0.031796	0.11619	0.026567	0.028689	0.022955	0.036702	0.018941	0.024436	0.02304	0.021775	0.018749	0.01676
Meth__cg27015174__LCMT2	0.028062	0.042879	0.033576	0.03206	0.038188	0.074255	0.065404	0.057446	0.87862	0.051646	0.039374	0.040161	0.10661	0.034228	0.04164	0.060482	0.038492	0.041585	0.043686	0.06469	0.04192	0.073597	0.034491	0.036873	0.04611	0.037246	0.044111
Meth__cg07033083__NSUN5C	0.015998	0.055129	0.02405	0.14093	0.022408	0.24338	0.023407	0.21729	0.10433	0.13149	0.038041	0.069707	0.0935	0.19238	0.018165	0.044791	0.045916	0.1227	0.23847	0.11513	0.026985	0.022702	0.039464	0.015979	0.017454	0.055679	0.021481
Meth__cg22307908__ZNF264	0.03154	0.033727	0.034736	0.032296	0.055505	0.032747	0.042542	0.044712	0.38389	0.49821	0.044361	0.032251	0.07455	0.045038	0.26962	0.32206	0.033509	0.035181	0.076972	0.039231	0.066996	0.074032	0.031939	0.033194	0.04046	0.043775	0.04509
Meth__cg16893574__CALB2	0.12019	0.44848	0.21682	0.15398	0.45284	0.70705	0.13337	0.20214	0.82127	0.45691	0.56122	0.19315	0.27889	0.089218	0.19931	0.38721	0.14682	0.20773	0.47393	0.22849	0.27688	0.19128	0.10434	0.78191	0.11532	0.11064	0.16625
Meth__cg00053647__C7orf28B	0.034542	0.041712	0.026802	0.036205	0.040281	0.071843	0.042955	0.041159	0.099737	0.037132	0.042157	0.034973	0.12273	0.034707	0.036531	0.043907	0.037036	0.030118	0.081725	0.036623	0.13898	0.062492	0.027616	0.024632	0.036488	0.035079	0.035305
Meth__cg08508325__CARS	0.040313	0.18159	0.05794	0.086762	0.10646	0.086606	0.075187	0.052314	0.3125	0.05883	0.083397	0.041544	0.093741	0.043357	0.11673	0.066973	0.091352	0.049372	0.12145	0.16793	0.098286	0.092104	0.033726	0.039281	0.055391	0.045742	0.046815
Meth__cg01594262__YIF1B	0.058007	0.33314	0.1265	0.10272	0.24252	0.054383	0.078997	0.062032	0.32396	0.34718	0.062824	0.080199	0.13174	0.038371	0.20308	0.35212	0.08328	0.29307	0.12768	0.68042	0.13648	0.1046	0.04189	0.040301	0.064151	0.048188	0.052749
Meth__cg07654934__LXN	0.65417	0.19624	0.48811	0.90713	0.062351	0.052002	0.52379	0.89896	0.81605	0.34616	0.049567	0.11277	0.069308	0.88067	0.065195	0.057981	0.8992	0.10524	0.17951	0.081334	0.86394	0.11847	0.26883	0.90891	0.0843	0.88144	0.87017
Meth__cg08026144__PCSK5	0.062046	0.079865	0.052849	0.05981	0.54397	0.10539	0.086678	0.069419	0.23705	0.095082	0.076087	0.056458	0.13753	0.066531	0.59688	0.51864	0.074306	0.064311	0.12052	0.070415	0.13645	0.10158	0.067478	0.063326	0.077068	0.08149	0.080531
Meth__cg04853958__NAP1L4	0.055435	0.062723	0.041176	0.048332	0.069247	0.5	0.052131	0.10345	0.12825	0.038433	0.057954	0.057881	0.084157	0.059962	0.034788	0.084408	0.047093	0.067929	0.12634	0.11302	0.077491	0.060222	0.038288	0.053135	0.061046	0.059838	0.061877
RS_G3586__RAPGEFL1__RAPGEFL1	7.4913	4.0582	7.5022	4.1912	5.1146	3.3035	9.3785	5.0089	3.2089	3.7361	3.7624	5.0324	4.6098	2.8293	6.6804	4.2898	7.0599	5.3646	4.4551	4.0532	3.1024	6.7893	4.5768	5.3003	12.3481	7.8427	6.2748
Meth__cg22244122__SURF4	0.06406	0.17527	0.048006	0.52404	0.52562	0.79109	0.19505	0.043519	0.27204	0.080266	0.45473	0.12524	0.12448	0.52166	0.813	0.57548	0.26496	0.11293	0.8765	0.71405	0.048762	0.10771	0.03548	0.48419	0.060041	0.13245	0.11614
Meth__cg03513163__PCDHB1	0.10268	0.62216	0.11254	0.66389	0.80449	0.86479	0.15187	0.73308	0.5359	0.064984	0.7606	0.13226	0.17289	0.15138	0.86833	0.63286	0.10358	0.086172	0.59501	0.76329	0.3017	0.10384	0.32816	0.12822	0.11855	0.50757	0.43519
Meth__cg23614979__NAV2	0.06306	0.29357	0.11625	0.040339	0.59223	0.048904	0.87385	0.14444	0.30526	0.4261	0.041782	0.060536	0.09563	0.040008	0.81271	0.41345	0.056419	0.11366	0.067404	0.14085	0.2202	0.11451	0.040182	0.028196	0.057895	0.050558	0.053477
RS_G13794__SLFN11__SLFN11	3.9958	0.21697	4.8183	6.7477	0.052023	4.7006	0	0.17932	1.2043	0	0	7.3164	0.13555	0.11312	0.1012	0	0.053939	4.6084	1.3692	4.19	1.0505	5.0278	0.1846	6.0743	4.5582	3.2933	0
Meth__cg16869108__VHL	0.053014	0.42578	0.44551	0.080841	0.45449	0.06545	0.11731	0.063186	0.089659	0.20117	0.23331	0.059154	0.13839	0.049396	0.0829	0.079033	0.048538	0.83483	0.1351	0.43743	0.092563	0.13697	0.033348	0.033182	0.083549	0.044862	0.044704
RS_G15100__GLDC__GLDC	7.2337	0.40726	4.2944	3.4418	1.2426	4.4118	4.7534	2.0712	3.9346	1.8675	6.0442	2.116	0.61603	1.9099	2.7527	2.1304	4.7021	3.7115	0.45811	0.48042	0	7.546	3.6024	7.1951	7.464	4.8515	3.1124
Meth__cg03764161__FAM111A	0.023488	0.57836	0.05784	0.024353	0.15412	0.058123	0.030604	0.63463	0.071645	0.039107	0.66654	0.03236	0.084154	0.027831	0.052011	0.06774	0.02938	0.055832	0.11047	0.043981	0.050906	0.051433	0.045358	0.046458	0.048206	0.060556	0.058173
Meth__cg06677140__MSX1	0.070709	0.42789	0.64942	0.053606	0.83146	0.87344	0.094186	0.072578	0.85758	0.90007	0.84751	0.076985	0.11198	0.30311	0.73661	0.72921	0.041356	0.062075	0.89826	0.5848	0.86694	0.085137	0.036591	0.11774	0.047814	0.51565	0.32457
Meth__cg25869832__RPS4X	0.020693	0.05702	0.028854	0.029713	0.061454	0.026087	0.03071	0.040775	0.061247	0.043855	0.05223	0.026412	0.079146	0.072088	0.06314	0.060136	0.041177	0.029171	0.067174	0.059403	0.064393	0.037653	0.059243	0.024993	0.039259	0.042018	0.042579
Meth__cg06495347__SUOX	0.080085	0.1098	0.072447	0.085975	0.19292	0.52729	0.099373	0.11631	0.14849	0.067846	0.11606	0.090799	0.15244	0.060927	0.091163	0.082641	0.079781	0.08017	0.25202	0.10514	0.10742	0.1287	0.077088	0.07045	0.079512	0.079777	0.085659
Meth__cg15056412__APBA2BP	0.12145	0.26992	0.12182	0.02161	0.086879	0.26364	0.23118	0.02532	0.55477	0.17219	0.2259	0.013313	0.11946	0.021026	0.31791	0.22512	0.11342	0.25709	0.12112	0.19671	0.090095	0.18077	0.015501	0.032724	0.020569	0.24169	0.1167
