Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G3761__TRIM2__TRIM2	6.299	5.3394	2.5021	4.8596	4.3894	0	5.2157	0.7472	5.9345	6.6038	9.3226	4.0319	5.3512	5.0518	5.6753	6.4392	2.976	3.4948	2.0666	3.9849	4.6512	4.5953	2.8767	1.6906	7.3357	5.532	2.6874	4.5541	6.3819	3.7754	6.1299	4.6767	2.2026	0.11351	0.11376
RS_G45__SLC7A2__SLC7A2	2.2979	5.257	6.0287	7.8315	0.033499	8.2847	0.21791	3.4194	4.3532	8.2226	3.5612	3.5354	0.61206	0.37847	1.1688	0.031074	6.2103	6.5939	10.1412	1.0726	2.6761	5.3274	3.6823	0	3.9993	0	1.1459	2.7482	0.33549	0.46914	1.0828	0	4.9194	8.416	7.9142
RS_G609__BARX2__BARX2	5.0349	7.3684	5.1489	5.4751	0.70544	5.8141	7.3613	1.2344	5.8071	5.343	2.203	5.1431	7.7695	7.5727	0	7.9528	0	4.5016	4.5141	4.0998	7.3755	0	1.4529	0.4811	4.9457	6.8409	3.9518	1.2148	3.3395	4.7594	5.3453	6.1608	5.1628	4.6412	4.3941
RS_G3172__GRIN2D__GRIN2D	1.2815	7.681	0.11453	0.68008	6.2801	0.3443	5.0838	1.1036	1.736	0.83669	0.90964	7.0748	2.9299	4.2991	1.361	3.6096	2.9072	3.4213	3.0676	2.3793	3.8963	1.1365	0.84688	0.18568	6.2513	7.0486	4.253	3.6892	1.2689	8.309	7.4344	1.1701	0.90614	2.5652	2.0206
RS_G2077__IL11__IL11	3.4847	0.65823	0.84332	2.3378	1.8507	1.5802	1.6045	1.9073	1.491	2.5485	1.9424	2.9882	2.5019	0.99259	8.3724	1.1164	7.9127	3.2063	1.2969	3.355	1.8068	7.0334	1.8519	1.8727	2.2327	2.0687	1.0365	3.2079	0	4.6154	1.221	0.34981	1.0126	1.2655	1.2031
RS_G3436__AMBP__AMBP	5.5216	4.1249	2.8804	5.6693	0	4.4106	0.30004	0.55576	3.6561	3.1994	0.31932	0.72738	0	0	0.34272	0	1.0688	2.9627	1.5467	6.1453	3.7678	0	9.687	5.2492	1.5675	0	0	0	3.1016	0	3.3531	0	9.4107	3.6158	2.5328
RS_G17302__KRT16__KRT16	5.7658	3.1764	2.3818	5.6129	0.28859	6.0805	10.7235	6.7007	1.2431	1.4693	6.9239	6.7744	12.4501	9.9669	2.3008	10.6566	3.9295	6.0096	1.6805	3.2104	10.8382	0.72684	3.0384	2.1965	7.2352	1.5744	1.8388	11.3122	12.7978	9.5632	12.3241	3.8277	0.69855	3.2686	3.0416
RS_G7638__FGFBP1__FGFBP1	3.164	0.32048	0	0.64706	0	0	7.6669	1.0801	0	0	1.0119	9.4925	9.0146	8.2218	0.34645	8.4893	0.71108	1.9018	0	0.37027	6.1485	0.84613	1.2575	2.2024	5.5301	0	0.60805	9.1328	8.0219	6.5232	4.3913	4.5377	0.45881	0	0
RS_G22683__RP13-238F13.2__RP13-238F13.2	0.41194	0	0	0.26619	0	0	5.0298	0	0	0	3.4183	4.0214	4.4978	4.8181	0	1.9117	0	0	0	0	3.6513	0	0.25739	0	4.8722	2.1859	0	0	2.9233	3.198	0.54298	2.9385	0	0	0
RS_G12319__C15orf48__C15orf48	2.1146	1.6974	0	3.7823	2.2301	0.70837	5.6117	0	3.5244	1.1154	7.4558	0.74656	4.7277	7.2539	2.7038	6.9069	0	1.7123	1.816	3.8954	1.6049	0	0.25971	0	8.8399	2.9274	4.4591	4.7801	0	4.7663	0	3.5026	4.6825	3.9788	3.1076
RS_G4968__GDA__GDA	0.10563	0.60521	0	0.089202	0.08965	0.04757	6.0545	0.10286	0.047751	0.23587	0	5.0147	3.2095	5.0122	0	2.4387	3.1359	0	0	0.048047	2.3507	0.38708	0.044528	0	2.2833	0	0.084976	5.2678	0.79784	2.3435	0.050969	0	0.091997	0.066214	0
RS_G12262__NNMT__NNMT	8.5516	2.0132	0.48442	0	9.4448	0	1.147	7.6778	0	0	1.6205	1.4637	5.9883	5.9076	6.1323	8.4278	6.7404	1.7656	0	0.46256	3.0779	0.7415	0.55533	0.52928	6.6938	0	9.0646	10.6571	6.6568	6.8006	9.2782	0	1.7073	0.22668	0
RS_G12225__A2ML1__A2ML1	0.55235	3.015	2.3348	1.6963	0.051186	0.20298	5.7466	0.4159	1.5662	4.2978	0.67252	2.6485	4.0087	1.1693	0.099944	5.3202	0.059283	1.3786	1.1201	0.84535	0.083725	0.049173	1.9963	0.48814	5.6281	5.0462	0	3.9701	3.2228	0.36821	4.9828	0.50916	1.8703	1.3113	0.21477
RS_G17301__KRT17__KRT17	5.3276	2.3353	2.1138	5.2677	2.8894	1.9821	13.2654	2.0369	0.62214	1.7849	4.7247	11.1935	13.0163	13.8349	0	9.2183	4.3464	7.482	1.5306	0.60515	13.2263	1.9	4.2829	5.4408	11.7876	0.99742	3.7136	13.3069	9.6792	13.2998	0.35345	3.8105	3.5577	2.8037	1.9077
RS_G28763__AC004510.1__AC004510.1	4.18	3.003	2.4121	1.6074	0	0.35542	3.6551	0.20787	4.8439	0.65083	1.3738	8.3064	10.732	2.8922	0.17524	8.3564	0.54728	1.6529	0.49128	1.3465	7.7787	3.2587	3.0726	0.58147	2.5961	1.8833	0.59034	8.2401	1.6626	9.2063	1.1354	2.6933	4.6852	0	0.48286
RS_G1549__CXCL2__CXCL2	1.752	0.18961	0	0	4.0403	0	5.83	1.9456	0	0	4.4953	4.3472	4.7998	3.6235	6.7278	6.0653	3.0576	0.81868	0	0	0.32441	4.3547	0.28933	0	7.8132	0	7.1501	8.0091	2.5623	2.3165	0	0.92949	0	0	0
RS_G12350__NKX3-1__NKX3-1	4.0111	3.0421	4.5967	3.2193	5.9168	0.20679	3.4163	2.8754	8.2383	2.2197	2.5014	4.5082	5.0436	2.108	3.6481	2.9619	4.6247	2.6249	2.2666	4.0113	4.4838	5.0431	1.9725	0.74777	5.608	3.6696	4.5496	2.7666	2.43	4.7663	3.8792	4.0238	4.3938	2.1251	2.5927
RS_G7392__SCEL__SCEL	7.4589	0.19101	0.23274	0.90402	0	0	1.0418	0.11996	0.22106	0	0	2.4506	4.643	4.4201	0	2.1167	0	0	0	0.21956	0.52832	3.143	0.15304	0.65658	0.74379	1.2372	0	2.3295	5.9209	4.6049	0.43201	0.24223	1.9148	0	0
RS_G10718__TFF3__TFF3	9.803	7.179	11.1887	12.8489	0	6.3298	0.97441	0.986	13.1896	11.0513	1.8337	0	0.53575	2.2698	0	0	1.8517	9.9781	8.776	7.7139	12.8413	5.8853	12.3423	6.3096	0	5.0467	0	0	6.5283	0	0.69196	8.9041	15.7551	12.4151	11.5272
RS_G16902__KRT6B__KRT6B	1.2631	0.29312	0.45573	1.0087	0	0	12.8673	8.4677	0	0.30435	3.7711	4.255	6.035	6.3173	0.86115	9.8119	0.25307	0.93721	0.22481	0	10.8721	0	0.78126	1.425	9.9481	0	0.95256	9.1282	6.9081	6.0318	5.5408	0	0.1545	0	0.31691
RS_G1562__PKP1__PKP1	0.15156	0.83599	6.0682	6.0765	0.18638	0.40659	9.1236	0.52118	0.42248	0.19294	6.8236	8.7046	7.6667	1.0626	1.1375	8.3043	0	7.5597	4.8379	0	4.5401	0.41271	5.5674	1.1903	7.4545	3.8358	1.2462	8.7949	6.8734	1.8114	0.9191	0.68334	5.1307	0.77356	0
RS_G11434__CXCL1__CXCL1	1.0875	1.8352	0	0	5.3309	0	8.0658	0.61499	0	0	4.5999	5.3273	7.1028	0	6.9455	7.0971	0.62898	1.7424	0	0	1.549	4.7342	0	2.9947	11.9816	0	7.5646	12.5421	1.0586	4.2032	0	0.63488	0	0	0
RS_G17087__KRT5__KRT5	0	2.3682	3.2544	0.87342	2.2491	1.3894	13.5262	9.5837	1.8734	1.1887	4.0154	14.3688	13.5652	10.3691	4.1397	12.707	1.2187	4.3174	1.3229	0.60193	13.9607	0.83413	2.4598	5.6981	5.6289	3.0627	2.8132	13.5919	11.225	14.182	8.7706	0.4696	1.6355	0.16138	1.5571
RS_G7879__HERC5__HERC5	2.3699	0	1.1018	4.8412	0.14696	1.4218	4.5886	2.5298	0.90345	1.1983	8.0916	2.7091	5.6631	2.964	4.5001	7.8085	0.083816	0.81141	0.62941	3.1466	1.6248	5.3756	0.78169	0	4.53	0	3.9803	3.3359	4.2521	3.2928	2.1255	1.4633	1.096	0.70351	0.21229
RS_G3919__LIN7A__LIN7A	3.7677	0.35537	7.4724	5.0956	3.1116	2.128	0	0	3.2538	8.0213	0	1.175	0	0	2.764	0	0.77667	5.0665	7.3978	6.8717	1.8961	2.4763	5.1648	5.2908	5.8529	0	2.3303	0	0	0.58074	0	0	5.0376	5.7957	0.54285
RS_G7696__CASP1__CASP1	4.6632	1.1639	0	0	0.62808	0	0.76601	2.0008	0	0	4.2846	7.1678	5.4234	5.507	4.2762	9.1677	3.4113	0	0.35455	0.18699	0	2.6086	0	0.59149	4.4984	3.2346	0	4.6947	5.266	4.4669	3.8963	4.3306	0	0	0
RS_G3823__CCND1__CCND1	11.467	10.2873	9.7956	11.0955	7.5774	10.8624	12.4704	7.9377	9.8988	10.1898	6.9323	10.1513	11.3166	7.8671	9.0157	9.3554	10.1335	11.149	10.4301	15.2047	9.4841	10.5959	11.1601	10.8596	5.726	8.7887	8.7105	7.5246	10.0655	9.6036	9.6678	8.5391	10.1398	11.3211	11.0084
RS_G922__CHI3L2__CHI3L2	3.2198	0.51024	0	0.56368	5.798	0.56836	0.66931	5.9387	0.46306	1.1011	8.7973	0	4.899	5.7246	5.4771	8.3731	1.2346	0	0	0.16809	3.2906	0	0.15241	0	9.8113	1.528	1.3437	1.671	4.1672	1.328	3.3623	0.96833	1.5601	0	0
RS_G6735__POPDC3__POPDC3	0.57665	0.54819	0	1.155	5.5701	0	5.6997	0	1.7365	1.6638	9.4619	5.2097	3.2583	5.0981	5.9485	5.433	2.9252	0	1.0232	0.71731	3.294	5.9295	0.20004	0	4.2033	2.4234	4.7089	4.6043	3.7261	3.2768	6.8346	0.44169	0.34616	0	1.6355
RS_G17716__IGFL1__IGFL1	0.51855	5.2215	1.994	2.7983	2.2231	3.3051	6.3222	1.5139	0.66238	0	0	4.3337	5.2263	8.5702	0	3.1231	0	4.8811	0	0	9.7328	0	0	0	7.358	2.1947	1.5873	4.1314	0	6.8497	0	0	5.5371	0.83279	2.5156
RS_G22653__SERPINB5__SERPINB5	5.5773	0.48724	1.0519	0.8082	0.37229	0.20657	9.0874	5.7456	0.71494	0.39411	6.5654	9.9021	7.8999	8.4593	3.95	8.3206	0	0.66939	0.37159	3.6119	2.6496	0.27736	1.948	1.6061	9.2741	0	0	7.6307	5.8722	8.0227	7.3521	1.3471	0.13854	1.1275	1.3386
RS_G13229__KRT6C__KRT6C	0.2586	0	0.24559	0	0	0.42636	8.32	4.2096	0.23185	0	0.54005	2.5804	5.8341	1.0175	0	0.74665	0	0.2218	0	0.23174	4.0766	0	1.2634	0.68429	6.1073	0	0	5.1643	4.719	9.633	9.2454	0	0	0	0
RS_G18988__AKR1B10__AKR1B10	6.0862	6.4031	3.4204	4.4495	3.4368	1.0699	3.6936	13.2877	6.9807	1.5061	1.9267	6.7916	5.592	6.367	3.9192	8.1433	2.5406	4.3702	1.7214	2.4865	6.1488	1.9461	3.7713	0.52788	4.5675	3.873	1.0774	4.063	8.6727	9.6947	2.5692	0.50493	2.3659	1.4491	1.9367
RS_G5811__C3__C3	7.1207	1.6685	0.69203	2.2919	1.3461	1.109	9.5755	2.9582	0.52857	1.3027	11.5641	5.0096	9.6169	8.5745	3.1161	10.7546	3.071	1.0739	0.71163	3.2606	5.4593	1.766	0.54314	1.4735	11.9762	0.3753	3.3306	13.2011	3.4851	7.8954	3.5917	3.7685	3.7365	3.2756	2.3797
RS_G3568__KRT23__KRT23	9.9798	4.0091	1.9457	8.0301	0.60861	1.1911	6.0621	0.49245	1.7194	2.2382	9.2509	1.7172	8.506	8.0106	1.2587	8.7022	0.26738	1.4502	0.77332	3.261	9.1077	0.74167	4.1622	3.8232	10.2533	5.989	0	4.1409	6.7984	8.2329	7.9631	10.5322	5.2594	5.121	0.93588
RS_G22179__AC104692.1__AC104692.1	0	1.0213	6.1553	5.323	4.6508	0	0	1.8859	5.2296	1.4075	5.5417	2.2715	0	7.6104	0	4.8789	0	0	0	0	7.8349	5.5001	0.65229	0	6.8873	0	6.7274	5.1084	7.147	0	0	0	0.84432	0	0
RS_G16526__ALDH1A3__ALDH1A3	6.9869	6.6244	3.4412	2.4634	1.2073	2.8938	11.2405	5.3582	10.9346	1.4376	5.1885	8.2874	10.8421	10.846	3.2546	8.3779	5.4292	5.6338	1.6124	1.2527	9.3386	4.3207	2.1737	1.7792	7.1079	7.9504	1.5677	6.6021	7.6667	9.1305	3.6909	6.7618	5.3565	5.1568	3.5552
RS_G12878__KLK7__KLK7	0.43855	0	0.13593	1.9992	0.11677	0.12675	2.968	0	0.25641	2.2202	1.3488	2.5039	6.8763	5.4814	0	2.4911	0.14189	0.2323	0.1255	0	5.034	0.22201	0.12111	0.41216	1.7347	0.30901	0.22455	0.24511	8.0034	11.1557	3.7048	0.50406	0.37498	2.2158	0.33096
RS_G12982__SPRR1B__SPRR1B	2.2988	0.63608	0	3.8097	1.4994	0	7.092	1.2683	0	0	0.64046	4.8334	7.6626	0	0	4.001	0	0.69033	0	0	5.8907	0	1.214	1.092	5.9655	2.0942	1.1062	1.5367	5.0083	7.3536	0	2.1888	3.3389	0	1.2275
RS_G16898__AC073468.9__AC073468.9	2.771	6.104	3.2477	2.9543	0	0	2.1311	2.1588	0.48723	0	3.5396	2.6112	3.5696	4.6909	0	4.557	0	3.053	1.4065	1.2126	4.682	0	2.3478	0.5494	3.0729	4.3933	0.55787	1.3527	4.7935	2.3273	7.8208	1.3018	2.9242	2.9131	0.94339
RS_G7555__CTSL2__CTSL2	6.6635	6.2586	5.6688	5.1485	6.7847	5.8017	11.2857	5.654	7.0295	4.9705	6.5726	7.1559	7.1125	7.9326	7.0231	7.0512	0.64634	5.9428	6.6346	6.2477	5.3029	3.8935	4.8953	3.6966	6.2073	5.8886	3.3803	4.4155	6.5763	7.4402	5.8106	7.3226	5.8826	7.0084	6.0221
RS_G7676__MMP7__MMP7	0.47687	0.94026	0	0.42652	0.74274	0	11.7365	5.5087	0.45203	0	4.8989	1.9117	1.6535	7.6055	7.0237	11.0385	0	0.22602	0.2289	0.4265	6.6786	0	0	0	11.8133	0	0	7.3366	0	2.6851	0	2.303	4.0563	0	0
RS_G3267__ITGB8__ITGB8	5.1564	0.27889	2.0303	3.4893	0.14738	0.36513	4.6975	2.6815	3.0352	2.3442	8.4305	4.611	4.1636	5.2617	1.3995	6.1267	1.6822	0.35153	0.93842	0.36975	4.8645	0.53386	0.59803	0.30829	5.5021	0.15176	0.8868	5.8392	3.6533	5.3211	1.0727	1.298	2.2218	0.45843	0.59579
RS_G5561__PI3__PI3	3.0706	3.6429	3.0152	0	2.5138	0.73253	5.0806	3.2166	0.42835	0.53604	11.0888	3.8493	12.335	5.0919	5.1559	10.2125	0.7907	1.1857	0	0	10.7066	0	0.39099	0	7.2484	7.5841	0.66256	11.976	8.1079	9.9971	2.5749	0	1.8475	0	0
RS_G8168__RHCG__RHCG	0	0.76408	0	1.7502	0	0	1.4873	0.74178	0.50384	0.96672	3.6706	3.1828	3.8711	2.7996	1.6309	4.9588	0.29197	3.3408	2.7627	1.0135	2.2705	0	1.7348	0	3.5912	1.8421	5.4309	2.1324	3.9305	4.4168	0	2.9171	0	1.7677	0
RS_G4942__RARRES1__RARRES1	2.0377	1.842	3.7414	0.17186	2.4435	1.546	4.0497	3.1042	0.9588	3.4138	6.5431	0.26784	9.1775	8.5922	2.0236	13.9745	0.3647	0	0.1718	0.17735	7.1024	1.2788	2.8091	1.7188	6.9558	2.3179	0	8.5285	4.3853	2.5811	0.63747	1.368	1.8166	0	0
RS_G14203__IL20RB__IL20RB	2.3285	2.3977	1.9633	2.6694	2.9313	3.6584	3.7298	3.6464	2.6596	2.0501	4.4568	7.3998	6.0774	3.8537	4.2693	3.4924	3.1903	2.3034	3.4285	1.2384	2.9665	2.316	2.3458	2.0891	2.8672	1.235	3.8664	6.4871	3.0164	8.9032	4.6157	2.8394	2.9918	2.5497	2.8662
RS_G6482__C1orf38__C1orf38	3.3974	4.2439	0.54942	4.0843	2.7127	1.5549	3.9616	3.7584	0.4539	1.7862	8.1282	2.2046	2.9444	3.0815	3.6422	7.8373	2.5597	3.6222	1.6665	3.1808	0.97908	3.1583	0.26791	1.2635	7.0556	2.3138	5.525	5.0194	4.5227	5.1718	0.38634	0.78702	3.7809	0	0.26986
RS_G13234__AC135457.2__AC135457.2	4.438	5.5184	2.9816	4.176	0	4.1144	0.57084	0.81969	8.4437	3.1298	0.76268	0	0.3818	0.58332	0	0	0.90435	1.9106	3.1711	4.0342	2.8411	0.1258	6.1146	7.5507	0	4.8409	0.23253	0	4.1265	0	0.80114	3.9769	3.6333	6.1201	5.5207
