Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__MGC48595	-0.006	0.339	-0.173	0.142	-0.418	0.204	-0.18	0.109	0.97	-0.302	-0.286	-0.06	-0.426	-3.549	-0.064	0.097	0.297	0.026	-0.436	-0.187	-0.081	-1.966	-2.039	-1.651	-0.202	0.111	-0.318	0.303	0.04	0.184	-0.121	-0.014	0.027	-2.016	0.006	-2.601	0.279	-2.152	-0.052	-0.394
SNP__LOC644125	-1.687	-2.113	0.128	0.929	0.894	-1.571	-0.54	-1.657	0.909	-2.359	0.077	-2.166	0.968	1.128	-1.62	-0.648	0.364	0.146	-1.847	0.007	0.651	-2.228	-1.774	-1.502	0.922	-1.829	1.004	-0.051	-1.901	-1.977	0.021	-2.172	-1.48	-1.792	-1.433	-0.348	-1.841	0.456	0.568	0.28
SNP__ADCY8	0.03	-0.538	0.187	0.462	0.746	0.56	0.675	0.657	0.154	-4.101	-0.212	0.924	0.583	0.726	0.809	1.565	-3.152	0.981	0.755	0.486	0.681	0.212	0.457	0.595	0.171	0.433	0.26	0.397	-0.599	0.633	0.206	0.038	0.142	0.75	-0.4	0.69	0.319	-2.892	0.234	0.326
SNP__ODF4	-0.021	-0.166	0.165	-0.156	-0.362	0.458	-0.517	0.038	-0.205	0.101	-0.138	-5.279	-0.028	0.258	-0.128	-0.227	-0.019	-0.08	-0.412	-4.569	-4.154	-0.429	-0.199	0.193	0.103	-0.212	-0.317	-0.61	-0.217	-0.182	0.164	-0.556	-0.156	-0.366	-0.318	-3.845	-0.307	-0.299	-3.855	-4.116
SNP__TCAP	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__LOC653723	0.003	-0.12	-2.97	0.093	0.166	0.219	0.475	0.152	0.408	-0.301	0.1	-3.66	-2.52	0.255	0.478	-2.716	0.584	-3.227	0.016	0.14	0.287	-0.019	-0.177	-0.637	0.119	0.029	0.182	-0.021	0.052	-0.159	-0.223	0.002	0.745	0.286	0.55	-0.388	-0.286	0.088	0.066	0.001
SNP__GALNTL2	0.008	-0.153	0.157	-0.037	-0.153	0.023	0.075	-3.222	-2.791	0.09	0.098	-0.031	0.19	-0.145	0.058	-0.028	0.328	0.178	0.002	0.741	-3.463	0.551	0.212	-0.165	0.123	-0.208	-0.457	-0.058	-0.248	-0.132	-0.101	0.017	-0.064	-0.361	-0.361	0.216	0.05	0.062	0.009	0.298
SNP__ERBB2	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	3.272	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	3.576	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__ZNFN1A3	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.423	-0.199	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__PNMT	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__FBXL20	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-2.35	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	-0.362	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__RIMS1	0.009	-0.208	-0.243	0.001	-0.619	-0.508	-0.563	-0.083	-0.233	1.122	0.08	-3.083	-0.036	-0.169	0.02	-0.056	-0.125	0.423	0.686	-0.981	-0.047	-0.377	0.011	-0.046	-0.129	0.41	0.231	0.284	-0.619	-2.669	-0.217	0.017	-2.44	0.01	-0.147	0.226	-0.315	0.062	-0.222	-0.379
SNP__C17orf37	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__PERLD1	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__GRB7	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	-0.04	0.755	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.455	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__NEUROD2	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__CES4	-0.627	-2.149	0.18	-0.004	0.161	0.179	0.089	-0.05	-0.2	0.091	2.452	0.254	0.626	0.919	0.504	-1.56	-0.113	0.877	0.916	0.442	-0.133	-0.436	2.724	-0.074	0.245	-0.22	1.808	0.158	-1.816	1.372	1.53	0.026	-0.24	0.86	0.185	-0.145	-2.051	2.179	2.961	1.452
SNP__LOC252968	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
SNP__LOC646227	0.007	-2.69	0.202	0.102	0.164	0.226	-0.061	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-1.661	-1.859	0.7	-0.195	0.037	-2.05	0.25	0.135	0.217	0.053	0.104	-0.013	0.319
SNP__CSMD1	0.002	-0.578	-0.87	-0.332	-0.507	0.511	-0.562	-0.491	0.256	-0.284	0.07	-0.453	-2.449	-0.152	-0.538	-0.627	-0.059	-0.349	-2.453	-1.129	0.005	-0.433	-0.588	-2.03	-0.312	-0.823	-0.458	-0.438	-0.588	-0.215	-2.326	0.001	-0.354	0.694	-0.402	-0.746	-0.305	-0.305	-0.118	-0.018
SNP__PPARBP	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	-0.445	-0.199	-0.316	-0.482	-0.411	-0.028	-0.144	-0.141	-0.106	-0.04	0.201	0.22	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	0.77	-0.333	-0.013	1.946	-0.191	-0.193	0.052	-0.32	-0.362	0.282	-0.144	0.294	1.743	-0.034	0.021
SNP__PPP1R1B	0.376	1.965	-0.203	1.862	0.242	-0.07	0.096	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	-0.133	0.11	1.523	-0.333	0.769	1.946	-0.191	-0.193	0.052	-0.32	2.422	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__BTNL3	0.007	-2.69	0.202	0.102	0.164	0.226	-0.061	-2.097	-1.775	0.118	-0.189	-1.061	0.016	-0.155	-1.532	1.382	-0.318	-2.287	-0.019	-0.26	0.33	0.264	0.317	0.414	0.366	-0.158	0.3	-1.661	-1.859	0.7	-0.195	0.037	-2.05	0.25	0.135	0.217	0.053	0.104	-0.013	0.319
SNP__LOC654346	-1.369	-0.166	-1.456	-0.156	-1.636	-1.134	-1.45	-1.316	-1.487	0.101	0.844	0.22	-0.028	0.258	-1.046	0.725	-0.023	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.193	0.11	-0.212	-1.742	0.549	-0.217	-1.546	-0.193	-0.556	-1.14	-1.583	-0.318	-0.144	0.247	0.834	-0.431	-0.364
