Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G12350__NKX3-1__NKX3-1	4.0111	3.0421	4.5967	3.2193	5.9168	0.20679	3.4163	2.8754	8.2383	2.2197	2.5014	4.5082	5.0436	4.5614	2.108	3.6481	2.9619	4.6247	2.6249	2.2666	4.0113	4.4838	5.0431	1.9725	0.74777	5.608	3.6696	4.5496	2.7666	2.43	4.7663	3.8792	4.0238	4.3938	2.1251	2.5927
RS_G11127__OLFML2B__OLFML2B	0.42875	0.13423	0.23792	0.40981	5.7677	4.4756	3.339	9.4493	0.30186	0	1.2164	0.33768	1.2905	0.97504	1.9934	7.0512	2.5686	5.708	0.40258	0.28477	6.7681	1.3501	2.3956	0.30446	0.37271	2.8528	0	5.2065	0.9963	0	0.51857	7.5456	0	0.44843	0.70319	0.30943
RS_G3267__ITGB8__ITGB8	5.1564	0.27889	2.0303	3.4893	0.14738	0.36513	4.6975	2.6815	3.0352	2.3442	8.4305	4.611	4.1636	5.4276	5.2617	1.3995	6.1267	1.6822	0.35153	0.93842	0.36975	4.8645	0.53386	0.59803	0.30829	5.5021	0.15176	0.8868	5.8392	3.6533	5.3211	1.0727	1.298	2.2218	0.45843	0.59579
RS_G21897__C6orf27__C6orf27	4.0436	2.3377	0	1.4627	1.5076	1.1811	2.3572	1.6498	0.50386	0.99374	1.43	2.4612	1.6903	2.4383	3.7011	2.2579	3.9854	1.6557	1.3428	3.4435	3.126	3.3976	2.3866	2.0866	1.8419	1.407	2.6372	3.4925	7.0749	3.599	4.4907	2.9356	2.4758	4.1119	3.6532	2.0079
RS_G7046__SAA2__SAA2	2.9556	0.70957	0	0	0.74843	0	3.3906	0	0	0	4.3264	1.932	4.8681	1.4123	6.5567	0.42948	6.1314	0	0.76858	0	0.45298	1.4505	0	0	0	13.2559	3.0788	0.73192	6.3223	0	8.5787	0	0	0	2.1893	0
RS_G1436__FAP__FAP	0	0	0	0.18706	0.18332	0.19117	0.94484	3.9543	0	0	0	0.83298	0.5157	4.0178	5.4188	3.9292	0.45519	5.6902	0	0	0.72062	2.496	0	0	0	0	0	3.5532	5.4313	0	4.7177	0.20414	0	0	0	0
RS_G17181__CYP4X1__CYP4X1	3.2584	0.19578	3.5439	4.1191	0.40002	0.58507	2.5935	1.6836	1.8874	1.0942	0.19735	0.48011	0.59456	2.6567	0.66645	0	7.9111	0	0	0.64786	1.6739	4.6775	0	1.502	0	2.3717	2.2153	0	5.9057	5.3618	4.6334	8.0328	4.8838	5.4748	1.2638	0
RS_G835__GNA15__GNA15	1.2334	0.21489	0.37624	0	0.43131	0	2.4189	0.77872	0.6554	0.32327	0.21659	8.3867	5.6862	2.9916	0.54819	0.52322	5.7739	0.77707	1.0429	0	1.56	6.699	7.4091	1.7814	0.4093	4.7529	0	0.58613	6.8932	0	7.4618	0	0.69439	0.16463	0	0.4793
RS_G16217__CHST6__CHST6	2.6012	1.5144	1.6411	2.0451	2.1819	2.3057	2.1331	4	2.2808	3.0885	4.9838	2.5888	3.5074	1.7426	2.7571	3.4023	5.4139	2.6436	1.4215	1.7423	2.733	3.5441	1.385	1.5255	1.7846	3.6569	2.1644	4.2671	2.72	3.6417	1.9896	2.4523	1.8302	2.3171	2.3691	1.8537
RS_G12862__LGALS9__LGALS9	6.1513	3.8085	2.4838	4.3619	1.2065	0.16906	1.1498	2.0604	1.6809	0.81283	3.6725	3.8578	4.5519	8.239	3.5171	1.8164	8.8117	1.1612	0.30805	0	2.0891	3.6262	1.098	1.1014	0	4.8931	4.3563	0.74292	5.2937	7.885	4.2458	2.1547	2.1856	2.0067	1.8861	0.97357
RS_G17779__SERPINA5__SERPINA5	2.8363	0.88334	1.7537	7.4424	0	0.23529	0	0.36698	0.35356	1.8683	0.82706	0	1.0527	4.4296	2.936	0.50421	1.9214	2.4654	1.8548	7.4494	7.6962	1.0774	1.7123	4.375	0	3.386	0	0	3.2862	3.8223	4.998	8.8759	1.1276	7.6693	3.3835	0
RS_G7372__VILL__VILL	2.562	2.2957	2.2888	1.8653	0.32593	0.17844	1.5552	0.96491	1.0271	1.2282	3.3087	2.2443	4.591	0.16328	0.61407	0	5.7369	3.0072	2.9738	0.71556	3.5853	4.3308	0.085197	5.0022	5.8856	4.8215	0.42244	2.4711	3.7185	0	6.8993	0	2.8078	2.741	2.9999	0
RS_G10048__NCAM2__NCAM2	0.90591	0.059094	5.8956	5.5119	4.3315	7.6151	0.16098	0.37026	4.9363	5.8073	0.17185	2.3537	0.24293	0.091683	0.80572	0	0.22422	0.99046	4.4702	5.91	4.3296	0.62114	0.23448	3.8161	5.5146	0	0.48347	0	0.25252	0.18146	0.1996	0	7.7429	2.5721	3.7889	2.5183
RS_G13459__KRT9__KRT9	0.41554	1.4828	0.54886	0.32451	0	0.1191	4.4878	3.1374	4.9813	0.76367	0	3.221	6.3236	1.2658	4.1905	0	2.8564	3.3175	0.58252	0.58379	0.90253	4.5933	0	0.70049	0	5.2496	2.5455	0	3.6507	3.1486	1.0384	1.7982	0	0.42014	0.97419	0.5673
RS_G10099__PTPRN2__PTPRN2	6.9326	0.095017	7.022	5.2637	0.60536	3.1299	0	0.47464	8.0282	0.61173	0.30912	0	1.3147	0.31892	0.75979	0	0.048546	4.3741	1.4962	3.1622	8.3841	6.4687	0.89397	1.715	0	0.34725	0	3.4536	0.88861	2.5356	1.2191	5.1409	0.22943	8.2309	2.5798	2.1644
RS_G11441__TM4SF18__TM4SF18	0.063627	0.33303	5.7812	5.1303	2.4429	4.9049	7.7835	1.6684	4.4129	6.1745	0.21054	0	6.7182	3.4103	3.3713	5.3957	3.9681	0.17964	1.3098	2.3027	1.2533	0.55321	8.1172	2.2255	2.2631	2.2897	0	1.5581	0	4.1609	0.24403	0.76783	2.6463	0.97751	1.224	0.11762
