Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
RS_G1696__AKR1B1__AKR1B1	1.6658	3.0827	2.2074	1.2461	8.3908	0	0.9276	12.6493	0.66845	7.6641	9.1769	9.7921	10.7386	3.4039	4.8033	10.1457	10.6783	12.3341	10.3571	3.372	0	1.8295	10.5974	10.1671	2.5479	1.3236	11.957	1.821	9.0595	11.5065	3.0981	11.4649	3.3056	0	4.7219	5.5162
RS_G14301__CHST2__CHST2	1.0835	0.13336	0.23835	2.7032	4.1777	0	3.102	3.8426	0.1568	0	2.6096	1.3665	1.1804	0.13922	0	1.2898	4.074	0	6.1227	0.14698	0	0.15375	1.5489	4.6798	0	0.26037	6.8572	0	5.0333	4.8977	1.8192	2.0316	2.7945	0	0.62457	1.5682
RS_G3465__GLIS3__GLIS3	1.0417	0	0.7201	0.39469	5.7482	0.065496	2.5089	2.5399	0.25445	0.088391	2.7287	0.32897	0.90898	4.199	0.28977	1.6833	7.1394	4.1606	5.2637	0.31311	0	0.24739	0.86881	3.7762	0	0.11367	3.442	0	5.3004	1.2236	1.4032	3.5116	0.2903	0.073385	0.090949	1.0128
RS_G12622__ENTPD3__ENTPD3	4.2057	1.6276	2.4329	2.2836	0.094504	1.3137	2.4286	0.70161	2.6439	0.25413	0.3192	4.9483	0.97482	2.9286	4.3004	0.36104	0	5.8247	0	3.3313	1.5158	0.18811	0.28822	1.9706	0.86462	0.46191	0.47913	1.6258	0.17393	0.98866	4.5946	0.52321	0.10292	2.4856	0	0
RS_G13039__MT1E__MT1E	0.46681	1.1873	0	0	0.55979	0	3.0392	0.6051	2.5016	8.2657	8.7515	8.4328	4.4369	0	0	9.6024	9.0759	1.332	9.3513	5.1038	0.30908	6.225	3.6842	10.5635	1.0982	2.431	0	0	11.4032	10.0631	0.97053	11.2761	11.6174	0	4.0503	0.77012
RS_G7673__TMPRSS4__TMPRSS4	2.699	7.5287	3.7492	3.3157	0	0	4.5026	0.31816	8.8153	1.9174	1.9884	4.8015	5.6948	7.7551	0.89178	4.0871	0	6.8365	0.168	5.3764	5.8953	4.31	6.1115	0.26802	3.6486	0.47906	1.2545	7.1336	0	0	5.449	4.4458	0.96487	0	5.4337	1.2718
RS_G5632__POF1B__POF1B	3.5829	2.9715	6.5667	4.6059	0	3.611	1.8493	0	5.1177	8.4924	0.11745	1.93	0.5287	1.2403	3.8408	0.74799	0.9373	5.002	0	2.5362	5.5091	2.4432	0.41607	0	4.135	0.95867	0.55468	2.3599	0	0	4.4269	1.5172	1.4106	1.9519	5.3682	2.3153
RS_G6090__GNG11__GNG11	0.71502	0	0	0	7.1496	0	0	5.5049	0	0	0	2.63	1.1777	0	0.46383	4.103	4.6713	3.4475	7.7723	0.67123	0	0	1.3968	8.221	0.46116	0	0	0	6.0924	3.2617	6.3484	2.8833	0	9.7098	0.65578	0
RS_G406__GPR124__GPR124	1.8829	1.7232	0.053107	4.3719	5.7625	0.78853	2.0625	4.8648	1.0604	1.6615	8.1524	1.1026	2.1843	1.0762	1.0557	3.9021	3.3607	3.4824	6.1456	1.9608	1.1512	3.6587	3.8246	1.8291	1.3221	0.94288	5.0637	0.60658	4.189	0.5674	3.2144	1.2619	2.3916	2.0141	2.0064	1.8159
RS_G7251__FAIM2__FAIM2	6.0556	4.3136	4.2489	0.7586	0	2.0251	0.18414	0.63439	3.7351	0.88827	0	0	1.2995	0.5793	6.5539	1.1739	0.39826	0	0.18832	1.3394	0.78926	0.81544	4.6931	0	3.6619	1.7217	2.2367	4.3394	0	0.1154	3.5455	0	5.2322	0.12884	2.5916	1.3772
RS_G15925__TSEN54__TSEN54	7.2344	8.3459	6.4633	7.5892	6.3917	7.9159	7.7411	6.4839	6.8253	8.3035	7.0863	7.4429	7.0836	7.421	8.0853	7.972	6.2994	7.2044	6.6307	10.0525	8.9556	6.8742	8.4277	7.161	9.7546	9.4051	8.7804	9.1787	7.8424	7.1251	7.3376	8.4663	7.997	8.3349	8.8604	8.5107
RS_G11890__AQP3__AQP3	8.0116	10.6287	2.1647	1.9014	0	4.2468	5.9918	1.0506	0.53786	0.1979	0.81239	8.8606	9.6576	5.2418	7.5979	8.1506	0.68742	6.8679	2.5285	9.4709	8.5654	0.81789	6.6899	6.2827	8.6321	6.4726	3.8282	10.8643	1.743	5.1633	8.3696	10.0805	1.1812	5.8895	7.5892	3.3056
RS_G8938__IQGAP2__IQGAP2	4.9364	3.2259	5.623	2.3392	0.13382	6.2903	2.0729	0.53615	0.58039	1.0363	0	0.40008	1.1611	4.0429	4.9545	0.62697	0.53648	3.826	0	0.091238	1.0825	2.2397	0	0	2.1637	4.2405	0.12995	4.3124	0	0.85454	1.4654	0	0	0	4.3239	2.9035
RS_G29779__HMX1__HMX1	0	0.12473	3.8952	5.4103	0	0	0	0	0	0.63916	6.1664	3.6621	2.6571	2.9916	0	1.7597	0.2596	0	0.29934	0	0	4.6009	3.798	0	0	0	0.19458	0	1.3222	0	4.5457	0	2.5287	4.5008	0.6615	4.6114
RS_G17030__AL391099.12__AL391099.12	0.79472	0	0.34856	3.2495	7.0864	0.12082	0.50749	2.7995	0.34788	1.7984	0.38468	6.4598	0.47817	0.21289	0.22544	3.135	7.1336	0.29773	4.0806	0	0.59638	0.61194	0	5.5472	0.11398	0.92648	6.6016	0	5.2696	1.9796	0	2.6767	0	3.4413	0.16657	3.3942
RS_G15547__GAS1__GAS1	0	0	0.20138	0.62347	6.8017	0.35442	3.9425	6.4901	0	0	4.9514	0	3.5582	1.1793	0	5.7523	4.7642	3.202	3.9524	0	0.34607	0.64055	3.8028	0	1.0246	0.98655	6.4512	0	4.0824	5.0688	0.10817	3.4259	0.80311	0.55514	0.66117	0
RS_G10920__ITGA5__ITGA5	4.1991	5.5787	1.8799	6.3514	6.6272	0.30001	4.6947	7.953	5.2777	2.5252	7.8276	7.3246	5.4091	6.3575	2.6269	6.6635	8.0876	7.691	10.758	5.5302	4.2158	4.198	5.6305	6.9234	5.1389	2.9675	7.4337	4.6841	7.707	6.7365	6.0906	9.7669	6.3055	5.2446	5.4798	6.7465
RS_G15082__CALML5__CALML5	11.7504	5.995	7.7426	8.9148	0	1.712	8.0382	0.59303	6.3786	3.1741	1.3594	9.9227	7.5464	1.881	12.2335	4.7952	0	8.3003	0	8.8111	7.1102	0	8.2905	0	12.1395	12.0061	11.2517	2.3509	1.4107	5.5412	12.4513	4.9212	4.2737	1.4794	5.0572	5.5081
RS_G3621__RASD1__RASD1	5.969	3.1449	0.68218	4.3604	1.2555	2.573	2.5312	1.9517	9.8031	1.1515	3.5046	3.8191	1.2438	1.4534	3.8761	1.8056	1.9539	1.1264	2.8615	6.7543	8.3099	4.2693	6.4316	5.2432	4.799	2.2009	9.7029	1.6598	1.155	3.3133	8.5541	3.1136	2.7128	0.32639	2.5211	1.6951
RS_G603__CAPG__CAPG	3.7713	5.9911	3.4112	7.7789	8.6184	2.8678	8.2542	5.4622	4.0234	6.6446	7.9811	7.0527	9.8609	3.8659	4.4783	5.1309	8.2148	10.7234	9.696	7.8073	6.0209	4.1655	9.4262	9.9647	7.9837	8.4837	10.5884	4.4083	13.2979	9.9313	9.0221	10.0039	2.4128	8.5828	6.1577	6.0891
RS_G13907__ADCY5__ADCY5	4.7972	9.5091	1.3853	2.137	3.3713	0.73212	1.1076	0.25153	7.8828	0.56612	0.10578	0.27387	0.74037	2.3353	0.22806	0	2.0944	0	1.1236	6.8663	8.0975	4.6028	7.1349	0.71745	0.38401	0.38978	1.3778	7.1157	2.8061	0.43515	0.19881	0.18466	0.60349	0	0.69567	0.088049
RS_G3155__CEACAM5__CEACAM5	7.7277	3.0865	5.2121	4.8633	0.070684	0.77155	0.33646	0.23729	6.8653	2.8689	0.19396	1.5222	1.9951	3.6506	2.6469	0.67372	0.38368	1.983	0.44479	4.5313	5.7591	1.2814	6.2762	0.25678	6.8029	0.24994	1.5637	1.7276	0	0	5.413	0.66264	3.5968	3.7252	4.8808	6.2929
RS_G463__VIM__VIM	2.9652	2.2052	5.3309	4.7875	13.722	3.764	13.663	13.843	4.156	0	10.3261	6.4127	8.4787	10.5793	0.47968	11.7234	13.9024	10.1043	15.089	6.8882	3.1521	9.4838	11.1994	13.7198	1.8929	3.5908	12.9747	2.3972	16.3769	9.8039	3.625	11.237	3.9594	5.7587	3.9298	0.37376
RS_G3929__WNT5B__WNT5B	0.17786	0.10307	1.1297	1.7302	8.87	0.74258	6.8221	4.4856	4.0543	1.1046	0	1.3045	5.6642	0	0.72298	6.0588	4.6812	7.2372	8.6155	3.7836	1.3629	1.0212	4.5464	6.5414	0.86647	0.68258	1.2746	0	7.6602	1.0118	6.464	2.4135	0	0.36393	0.77869	0.87589
RS_G8410__EMP3__EMP3	2.911	2.2536	0	5.4885	10.665	3.4648	8.5826	10.5314	2.4683	3.5154	2.9505	6.6359	7.2148	2.5904	2.7206	3.8705	10.036	5.246	12.2115	4.767	4.5667	2.7647	3.9866	11.253	3.255	3.7386	5.7953	1.1597	11.5916	9.0071	4.185	8.949	4.0601	3.8818	3.7137	1.0148
RS_G2770__GDPD3__GDPD3	5.7813	10.6318	4.8723	6.1391	3.3539	6.6958	2.9664	3.776	7.5407	4.0359	3.3238	4.3605	5.7742	4.4425	4.0949	4.6084	4.1315	4.2824	2.2524	7.0924	7.5877	3.4442	5.5215	2.1837	5.1432	5.1427	2.4247	9.0082	5.0971	6.6166	2.9836	4.791	8.2566	4.4144	5.7162	3.5616
RS_G16329__AC005332.1__AC005332.1	1.4126	6.8891	0.52114	0.61053	0.59991	4.3973	2.5319	0	3.8846	3.0082	0.29172	0	4.0142	0.87419	1.029	1.9266	0	0.30182	0.9157	3.5412	1.9513	1.7228	4.6396	0.58014	2.4085	1.8568	0.95239	3.5274	1.8698	1.0444	0.73792	0.87371	0.51986	4.1958	1.2154	1.6357
RS_G11256__SPRR3__SPRR3	1.7298	0.23122	0	5.638	0	0	0.98659	0	0	0	0	2.728	4.5123	3.2536	0	0	0	0	0	1.1027	0.83238	0	6.4478	0	0.45042	0	0.63772	0	0	0	0	0	1.7475	0	2.7222	0.6426
RS_G4297__DPYSL3__DPYSL3	4.2682	0.83739	3.5608	4.3315	0.35313	0.36739	0.99867	6.742	0.05365	0.13571	4.9268	2.2627	1.653	0.09219	0.18951	1.0895	7.5919	1.2393	9.5025	2.118	0.35981	1.9442	0.92822	2.376	1.1786	0.17482	5.85	0	3.4451	0.51889	1.7287	1.6933	7.2656	3.9465	2.248	4.8161
RS_G16696__PRR16__PRR16	0.41506	0.24797	2.8974	0	8.729	0.51715	5.5895	5.757	0.29138	2.5036	5.5104	2.0171	2.0923	0.25845	0.70136	5.8394	6.3792	1.3786	7.437	0	0.88141	0.1435	0	6.9914	0.32306	0.65491	4.8509	0	7.3612	3.379	1.175	1.7352	0	0	0.80822	0.6793
RS_G21817__COL5A2__COL5A2	2.0325	2.4879	4.2716	1.7192	11.4161	1.8125	2.7886	3.2901	2.1766	2.6395	1.0823	4.7681	2.9836	1.2547	1.4858	2.2847	10.9635	3.0288	8.2933	2.2846	2.8326	2.1198	3.2509	2.519	1.951	2.3008	1.2735	2.4832	10.0055	1.6485	5.2249	1.7676	2.5043	3.9287	2.0477	2.0215
RS_G13235__KRT4__KRT4	9.3812	11.4788	3.7138	6.6081	0.19191	1.292	4.5089	0.67209	6.6696	4.7751	0.6186	9.2252	10.5856	8.4049	7.4345	5.9863	0.10105	10.3706	1.7151	4.2725	1.7253	0	6.4769	0.82122	4.2504	1.1517	0	10.7577	0	1.1482	6.9112	3.9312	8.1608	5.2153	4.5519	0.62627
RS_G6171__FLNC__FLNC	0.72108	1.443	0.40371	2.333	2.8047	0.14743	0.23239	5.9802	0	0.23061	5.3657	5.9628	3.5925	0.15895	1.296	0.73725	7.1029	0.20172	10.6715	3.68	0.059404	1.3811	0.65678	8.2159	0.53496	0.46659	1.0511	0.91112	8.2838	0.88729	1.6241	3.7539	0	3.0293	1.0376	1.1445
RS_G12795__NPNT__NPNT	7.6213	2.5915	4.7165	6.7604	0	9.7292	6.8894	0.69471	5.5643	11.2166	9.5247	2.0807	6.5407	4.0569	8.8576	6.2473	0.95379	7.1449	0.13153	7.0112	6.9973	6.7223	3.7574	0.55913	6.476	7.469	4.2307	2.3733	0.20857	2.0193	2.2592	2.6366	2.0589	3.9583	7.4204	3.5592
RS_G8859__UCN2__UCN2	1.2845	0.29972	1.361	0	0	0.61433	0	1.8619	1.077	1.9504	1.1088	3.1138	1.5959	2.007	0	1.9642	2.2167	0	7.4621	0.92346	0.33255	0.7386	2.0482	4.0658	2.3384	2.7354	0.79777	0	3.5893	4.6056	0	7.5876	2.913	2.3249	0	0
RS_G1436__FAP__FAP	0	0	0	0.18706	0.18332	0.19117	0.94484	3.9543	0	0	0	0.83298	0.5157	4.0178	0	5.4188	3.9292	0.45519	5.6902	0	0	0.72062	2.496	0	0	0	0	0	3.5532	5.4313	0	4.7177	0.20414	0	0	0
RS_G17577__P2RX2__P2RX2	1.3699	5.6587	1.7281	7.6192	0.25976	0.69501	1.6549	0.15633	5.106	3.9282	4.3574	2.5458	0.38581	0.63772	6.1438	0.69729	0.25811	0	0.54424	6.4267	5.6475	0.38942	5.1452	0.63987	2.6185	1.1863	0	4.2646	0.45772	0	1.0983	0.71099	0	8.5345	4.7114	5.3932
RS_G170__PROM1__PROM1	6.3993	3.9981	0.79538	1.1372	0	0.49645	4.3908	0.20402	1.6844	0	1.9471	1.2635	0.70091	2.4703	5.2802	6.4962	1.5902	9.078	0	0.17876	0	0.27198	7.017	0.46159	0.39789	0.31413	9.1413	4.5082	0	0.34762	0.15302	0.27662	0.66674	0.74765	3.6763	1.9301
RS_G5567__PREX1__PREX1	7.2462	9.4167	8.806	10.4089	0.22186	6.8101	4.4805	5.6559	6.6114	8.4126	5.8229	5.9925	4.7198	2.9075	3.8884	1.4154	4.0377	0.14017	6.4915	12.0764	9.6008	7.9408	6.7415	0.4589	8.6745	4.204	5.4145	9.5072	1.276	2.3445	4.4718	5.1828	7.4045	10.2263	10.6767	6.5261
RS_G16217__CHST6__CHST6	2.6012	1.5144	1.6411	2.0451	2.1819	2.3057	2.1331	4	2.2808	3.0885	4.9838	2.5888	3.5074	1.7426	2.2932	2.7571	3.4023	5.4139	2.6436	1.4215	1.7423	2.733	3.5441	1.385	1.5255	1.7846	3.6569	2.1644	4.2671	2.72	3.6417	1.9896	2.4523	1.8302	2.3691	1.8537
RS_G16925__AHNAK2__AHNAK2	2.7225	0.32426	0.85377	2.7863	5.6329	5.2479	8.636	6.0167	1.9327	4.4501	1.9293	5.065	4.1081	4.5002	0.58031	5.196	4.1838	4.2729	5.531	2.8578	2.6507	4.2443	6.7325	4.6099	0.72887	0.4055	3.6185	0	9.8171	6.7573	4.612	6.1168	1.6537	2.9451	2.6246	3.0882
RS_G13255__CDH2__CDH2	0.95252	0.11179	3.8179	3.037	9.5863	0.59708	7.9074	7.9637	0.065964	0	3.3876	4.6749	1.3151	0.59305	0.62312	7.3261	9.9603	0.65088	8.8508	0.061776	0.34768	6.7543	1.1428	0.95446	5.4598	2.9731	3.3556	0	2.3343	4.6813	0	5.7937	0	0.64866	1.9772	1.4403
RS_G31439__RP11-142G7.1__RP11-142G7.1	0.31651	0.64623	1.9172	0.70896	2.3291	1.387	1.6351	1.7911	1.0099	0.52206	0	1.0023	3.1451	1.1155	0.70381	0.72441	0.94503	1.0951	4.4442	0	0	2.0935	6.5583	0.67472	6.1762	6.0604	0	0	3.9672	2.4524	5.3693	1.5716	0	0	0	0
RS_G16181__NKX2-5__NKX2-5	0	0.14799	0	2.2776	0.30376	0	0	4.2666	0.17603	0	5.648	0	7.2823	0	0	7.3849	5.2771	0	7.6837	0	0	5.3599	6.5462	6.4732	5.7523	0.52732	8.076	0	0.74346	0	0	0.82108	4.6758	0	3.6568	0
RS_G1423__FGFR1__FGFR1	2.6223	0.54709	6.777	7.0974	8.0925	6.9204	4.5239	7.3206	6.1057	6.3256	6.6419	3.1821	5.3519	4.853	3.7117	5.5053	9.0117	5.0448	7.8731	6.4148	5.8034	12.806	7.7839	7.0505	8.0027	5.9527	8.4868	3.107	8.9611	3.8054	6.8247	4.3479	7.1144	5.0337	8.1537	7.5687
RS_G6975__LOXL2__LOXL2	1.5391	2.7296	1.2016	5.6888	11.6528	0.8968	6.3164	9.3974	1.5447	2.0715	6.3622	3.9725	6.3672	6.8128	0.54448	8.6672	8.2651	5.7011	11.1125	7.6294	3.625	0.83296	9.4404	8.9271	1.3338	2.0015	8.8622	1.078	8.2155	10.5325	5.5342	7.3102	1.0611	1.131	3.8986	1.1635
RS_G10801__S100A1__S100A1	12.2539	5.1734	4.3125	8.846	2.2497	10.0502	6.8321	2.8645	9.8429	7.3739	5.4273	1.8777	3.0618	1.939	10.6979	5.2693	4.0757	5.6141	3.2969	6.1014	4.2464	4.4537	9.6898	2.9113	5.8621	4.0999	11.4276	5.1531	5.5304	2.123	2.0455	4.343	5.0315	5.96	3.8626	2.5385
RS_G22491__AC008734.7__AC008734.7	2.8709	6.4765	0.59515	2.5045	0	0	6.2257	0.13237	0.12501	0.078348	0.813	3.8512	5.8028	0.55869	3.9361	3.0198	0	3.8887	0	0.17013	1.8018	0.11947	5.4715	0	0.13791	0.54559	8.5616	6.0522	0	3.4623	2.5347	4.1309	0	0	1.6888	0.84556
RS_G1949__NRCAM__NRCAM	0.31034	0.25695	7.7866	6.3877	0	4.5521	0.40396	0.95425	2.8649	4.9526	0	2.5075	0.060781	1.2375	3.817	0.93017	0.21491	0.069448	0.9522	7.1113	7.0033	8.3932	0.29043	0.20825	5.0264	0.13774	0.30485	0.65721	0	0.14959	0	5.592	2.1109	0.61954	3.7421	1.0569
RS_G692__DKK3__DKK3	0.44322	0	0	0.54068	8.236	0.18041	2.3601	6.9924	0	0.99415	0	5.0446	1.443	0.084903	0.33102	3.855	7.9864	1.2245	6.1166	0.81839	0	5.6363	1.0711	3.1985	0	0.7714	6.85	0	6.645	0.60379	0	5.2981	0	0	0	0
RS_G9625__THRSP__THRSP	2.1278	4.3884	0.78214	4.4766	0	7.3255	0.86725	0.45662	3.8694	9.4885	0.66446	1.0359	0.82234	1.964	3.2841	0	0.56364	0	0	1.631	1.0951	8.4908	1.3706	0	0.55945	1.7591	0	2.4593	0	1.0012	5.8862	0	4.518	0	6.3295	1.2806
RS_G920__BCAS1__BCAS1	6.6372	8.9475	11.0683	7.1505	0.93032	5.61	1.127	1.64	10.7186	6.2652	0.25653	0.51932	2.3365	4.0923	7.4486	1.1356	0.70967	1.8382	0.95512	8.6848	6.957	6.1282	6.1222	0.83247	6.1234	2.181	0.54974	9.4061	0.49246	0.40769	7.3227	1.9885	4.6113	6.1188	7.2271	7.9636
RS_G13234__AC135457.2__AC135457.2	4.438	5.5184	2.9816	4.176	0	4.1144	0.57084	0.81969	8.4437	3.1298	0.76268	0	0.3818	0.91582	3.4289	0.58332	0	0	0.90435	1.9106	3.1711	4.0342	2.8411	0.1258	6.1146	7.5507	0	4.8409	0.23253	0	4.1265	0	0.80114	3.9769	6.1201	5.5207
RS_G4225__SPARC__SPARC	0.1343	0.14978	0.094438	0.083816	14.1217	2.1509	6.2713	9.2733	0.091823	0.11392	4.201	0.91565	6.6944	2.2353	0	11.9638	11.47	4.5495	13.0059	1.8624	0.63481	5.5294	3.5813	6.8619	0.63899	1.2224	2.1099	0	6.5885	3.3867	0	2.9029	0	0	0.4355	0
RS_G1552__TCF7__TCF7	0.61235	1.4587	0.64978	2.1217	4.4365	2.2157	4.4352	6.929	1.4072	1.8359	1.2298	4.6583	4.6643	2.1895	2.2238	5.6227	5.6906	6.4672	6.8571	2.1142	1.3186	4.4461	5.9443	3.0334	2.127	0	3.1249	1.9959	10.0385	4.341	5.0887	4.6908	0.4835	3.2071	3.3383	1.8283
RS_G5077__IFIT3__IFIT3	3.5073	0.42614	0.71146	5.6835	4.0217	0.75143	2.7317	3.1272	0.27072	3.3751	11.1729	5.7703	7.0085	6.9943	4.9036	1.7564	4.5726	10.4635	5.107	2.2909	2.3899	3.8418	1.6975	7.6113	0.82931	0.76318	4.8002	0.59164	2.3992	5.1299	7.4807	4.7129	1.908	4.7428	0.87193	1.4226
RS_G13477__EGFL9__EGFL9	0.35305	1.0213	0.17399	0.30014	7.0141	1.1287	6.5699	1.9639	1.6324	3.5774	4.4184	6.5339	5.819	1.846	0	4.6749	3.1119	2.0049	4.3364	3.4908	1.4514	1.356	2.8469	4.4761	2.3108	2.1277	3.36	0	7.3809	3.9582	1.752	9.0993	6.445	4.0929	1.9344	0
RS_G2444__DHRS2__DHRS2	0.2359	14.6844	11.7493	6.6887	2.5316	1.6777	4.4145	3.6813	10.1054	8.4176	4.5722	5.0834	7.268	6.2349	5.7465	5.3332	2.5801	0.5953	10.362	9.7883	10.7059	3.5939	8.7318	4.1857	10.3872	3.392	4.9232	13.7868	2.0603	2.9433	5.4667	2.7155	2.9541	2.138	9.3579	5.334
RS_G7939__LL22NC03-75B3.6__LL22NC03-75B3.6	2.4782	0.1394	0.49211	1.2766	4.5176	0.15466	4.1286	7.2692	0.15764	0.053937	1.2511	3.8732	4.4105	0.61415	0	3.9325	6.1773	0.071757	8.1771	0.83738	0	1.5554	1.6898	2.2202	0.76908	0.13865	1.1217	0.10411	3.9719	0	4.6122	1.4349	0.63433	0.25885	0.21832	0.31876
RS_G12839__VAMP5__VAMP5	5.7475	8.4989	5.1276	6.3466	1.0717	4.2899	3.8161	1.723	10.6318	7.4263	5.181	1.7151	4.28	5.4616	6.2318	3.5479	2.1294	5.8416	0.73065	7.4246	6.901	7.2724	7.3036	3.5044	5.257	6.3869	6.9643	6.3121	1.0478	5.9949	5.9216	5.0818	5.9869	5.1714	7.7928	6.4989
RS_G11943__C10orf10__C10orf10	6.4294	2.4145	3.8936	2.0915	3.4013	0.56101	6.3853	5.9015	2.378	1.5633	7.4403	1.1295	5.9323	4.8405	1.5111	5.9809	4.172	7.2064	3.6636	0.63589	2.0915	3.3694	6.6362	2.4972	2.1318	2.6079	8.6536	0	6.2562	1.5369	5.9749	4.0583	1.1558	2.2516	1.3846	2.7746
RS_G386__CNTN1__CNTN1	5.1297	4.4821	4.0003	1.6827	0.2822	2.6966	1.4143	0.16983	5.5541	0.38665	0	5.2014	7.4095	5.7192	4.6712	3.524	0.40369	0	0	0	0	2.5186	0.56659	1.6466	1.0276	0	0.55872	1.9387	0	4.7842	2.2935	2.9306	3.7199	0.17292	4.0685	1.9316
RS_G12846__TMEM22__TMEM22	0.12489	0	0.32872	0.95172	4.2412	0.87813	2.461	4.4274	0.80793	3.5709	4.2807	6.2727	4.3571	0	1.7302	0	7.038	2.6853	6.3906	0	0.5475	1.363	0.4634	7.9347	1.5709	0.51138	3.5586	0	0.28293	4.4032	1.3373	4.1658	0	0	0	0
RS_G18754__CYP2B7P1__CYP2B7P1	7.8731	0.71843	4.2739	6.4891	0.97565	1.959	0.71636	1.7225	3.0186	5.0364	0.23268	4.7275	1.0877	1.8112	0.71491	0.094855	0.75563	0.43847	0.86152	2.1059	1.3998	2.6524	1.6952	1.0342	8.1502	0.77303	0.95711	2.1599	0.44639	0.84597	0.49865	0.49534	0.64224	1.8966	10.3949	8.5954
