Cell lines	AU565	BT474	BT483	BT549	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	UACC893	ZR751	ZR75B
RS_G7049__FST__FST	1.2178	0	0.32105	8.0293	7.5365	0.99188	0	0.42735	1.6952	9.288	7.5214	6.4096	0.98646	5.0857	2.5122	0.29056	8.3569	3.785	0	0.71744	1.5923	8.5197	1.1726	0.93095	1.1072	1.0014	6.3474	1.9509	1.3765	0.77804	6.4408
RS_G1747__HSD17B14__HSD17B14	2.6145	2.0302	0.39194	3.0802	5.2018	3.9632	6.251	3.7079	4.6267	0	0.98208	0.52223	1.3323	3.6258	0.6824	1.8059	1.8705	3.493	5.0835	3.7048	0.90925	2.8906	3.6222	0.64863	8.6585	0.96313	0.79893	1.0138	4.31	2.4532	1.8878
RS_G18751__COL4A6__COL4A6	0.13292	0.082024	0	2.7738	0.39431	0.12632	0.04069	0.15342	0.06856	5.2708	4.3231	2.4073	0.27736	0.8942	3.3987	0.59125	2.8252	0.45164	0.87533	1.2266	1.004	0.68802	3.537	2.2581	0.63428	4.2757	5.7836	3.0149	0.41123	0.38657	0.43794
RS_G11273__ALPP__ALPP	3.528	0.28662	0.61007	0.47579	6.0634	0.75014	0.094933	0.23971	0.30143	4.7477	9.1099	4.7778	0	7.3442	0.717	2.647	1.7801	2.5073	0.2582	0.63282	11.8961	6.8379	1.0915	0.79138	0.45731	9.2234	10.3246	7.6574	7.2725	0.74304	0.13455
RS_G3361__SERPINE1__SERPINE1	3.0676	0.59751	2.4332	5.0316	6.6992	3.2308	0.83167	1.6028	2.0024	7.2689	6.7282	7.1883	3.1795	6.7085	6.8413	0.30685	12.9763	5.4003	1.4898	1.9126	6.056	9.7718	2.0705	3.8827	7.2491	0.86367	11.3681	8.7657	1.7782	1.8838	0.90015
RS_G35570__AC010332.7__AC010332.7	0	4.3616	5.7931	2.1086	0	5.1107	5.786	1.9838	0	1.8953	5.1975	0	7.3878	2.5185	6.1011	1.7137	1.7709	0	2.2637	5.1686	1.6145	0	1.9956	0	0.83698	1.8455	0.74043	4.3593	3.4448	0	0
RS_G18405__S100A2__S100A2	3.6935	3.4186	3.8443	8.6925	13.4485	7.4326	2.2239	2.1404	3.8567	13.4345	10.1256	11.0365	3.6585	11.2875	8.0382	9.5068	5.9126	5.1554	2.1463	1.2281	11.1424	4.8228	3.2845	5.5373	8.571	10.041	13.4869	5.0461	3.9957	3.0922	4.4221
RS_G133__CX3CL1__CX3CL1	6.7838	7.0627	7.822	0	6.7812	7.5633	1.391	8.2104	6.6072	0.25047	4.6676	7.3727	6.7783	6.6963	6.137	9.7259	0.67937	0.15441	0.30007	5.6642	7.8818	0.075576	2.585	0.27955	0	0	1.1972	0.59899	1.8734	0	0.22386
RS_G12798__FAM178B__FAM178B	6.1251	3.3804	4.5129	0	1.2255	1.5866	3.0813	7.686	5.4392	4.6694	0.87177	0.22072	1.9869	2.1263	0	4.9947	1.438	3.2679	3.3825	4.1545	3.0771	0	4.1486	0	1.399	3.5345	0.3566	2.3155	5.3408	4.0431	0.92306
RS_G35581__APOBEC3C__APOBEC3C	1.8556	0	1.6981	0	4.6314	6.3901	0	0	0.69901	7.656	7.9072	4.2884	0	6.6221	7.1835	5.6152	7.1315	2.1893	0	0.77854	7.2322	7.4238	6.7343	2.0552	1.5503	7.4712	7.3631	2.0175	0.76727	0	0.59024
RS_G7148__SLC37A2__SLC37A2	1.743	0.59126	1.1246	1.9372	3.9621	0.86478	3.136	1.0031	2.343	7.2757	5.6297	4.464	1.1997	0.2671	0.77	0.95618	5.1438	0.83168	2.4463	1.356	1.9021	3.5066	2.4775	2.7523	2.0145	1.4549	8.4733	3.5984	1.5022	2.4425	3.4503
RS_G11434__CXCL1__CXCL1	1.8352	0	0	5.3309	8.0658	0.61499	0	0	4.5999	5.3273	7.1028	0	0	0	6.9455	7.0971	0.62898	1.7424	0	0	1.549	4.7342	0	2.9947	7.5646	12.5421	4.2032	0	0	0	0
RS_G27825__RP5-857K21.11__RP5-857K21.11	6.6704	13.2896	12.1731	10.1851	12.2165	12.1985	12.3339	11.8487	10.0205	11.1852	10.4344	10.7845	13.3398	10.3199	11.7062	10.6909	11.5127	7.1751	11.6662	11.723	9.4247	10.3684	10.1889	9.1151	8.7916	12.4549	9.1959	9.7	9.5745	9.4473	12.2867
RS_G3584__PSMD3__PSMD3	13.2512	13.2945	10.1974	9.4771	9.5923	8.9473	9.9654	9.501	9.3141	10.6592	10.4176	10.2489	8.9759	10.0743	10.7517	9.4688	9.7871	10.3671	9.3173	9.8704	10.6303	10.2483	11.1783	11.1809	10.3903	9.3166	11.3511	10.1746	15.4823	9.9363	10.7353
RS_G12538__KLK5__KLK5	4.2346	0	4.9387	0.87783	9.7741	0.50368	0	0	1.7287	9.0743	12.8418	11.5097	0.31511	10.0348	1.7585	4.9998	0.87841	1.9651	0	1.4592	12.0662	0	1.6783	2.1958	0.54237	1.3136	7.7474	10.6798	5.4051	4.337	0
RS_G10910__CCL5__CCL5	1.9053	2.6625	4.9081	3.0073	3.4087	4.5538	3.411	4.4292	11.2916	2.7366	8.0883	4.4286	4.7918	6.4101	4.0382	7.181	3.9801	4.6098	3.2963	4.5923	2.2637	2.3663	3.9704	3.0851	2.8119	4.4957	4.2972	3.0975	3.0761	1.8219	3.0076
RS_G603__CAPG__CAPG	5.9911	3.4112	7.7789	8.6184	8.2542	5.4622	4.0234	6.6446	7.9811	7.0527	9.8609	3.8659	4.4783	5.1309	8.2148	10.7234	9.696	7.8073	6.0209	4.1655	9.4262	9.9647	7.9837	8.4837	13.2979	9.9313	10.0039	2.4128	3.7634	6.1577	6.0891
RS_G12908__CPT1C__CPT1C	3.5784	0	2.7437	7.4381	4.8268	0.20732	1.2967	2.5356	0	0.98468	0.79667	0.81333	1.3836	1.0342	0.67375	0.88718	3.7559	1.5574	2.7702	1.3798	4.9879	5.9182	0.24982	0.58011	7.1905	2.3159	6.9607	3.0118	2.2708	6.2814	7.1736
RS_G17651__RAB42__RAB42	1.7656	2.9216	3.4162	2.642	2.7951	4.0546	3.3722	3.8698	4.7778	2.9868	4.3234	2.3992	3.6447	2.7081	3.7617	4.3767	3.3539	2.713	2.8852	3.647	2.2411	1.9088	2.7932	3.1032	2.8262	7.8286	4.0306	2.1449	2.5918	2.5914	2.6712
RS_G22410__KRT6A__KRT6A	2.5889	2.9468	0.55164	2.2719	10.8969	3.7479	0.58643	0.5174	4.0519	13.3732	10.576	4.7344	0	5.5642	0.38198	5.0609	0.61854	3.3575	0.83309	0	9.6891	0.66193	2.9479	4.5726	1.5973	12.9285	14.7791	14.0538	1.4046	1.3633	1.0956
RS_G2174__SCARF2__SCARF2	1.4054	2.0403	4.0099	8.0048	4.052	0.51672	1.9477	2.1618	7.3407	5.5777	2.7189	3.7544	2.5177	3.7682	5.4166	2.3726	7.7584	3.9993	1.8754	0.69889	2.52	2.3524	4.2897	4.5508	7.0169	3.4351	2.2091	2.4421	2.3432	4.064	4.2022
RS_G31733__RP5-857K21.8__RP5-857K21.8	0.86394	5.9947	5.694	3.7407	3.5112	11.4972	4.97	5.1034	4.4521	4.4169	3.9669	4.8796	5.1054	4.9172	4.4921	5.0984	3.7983	1.5704	4.4026	10.5417	1.8076	5.8063	2.8036	3.5856	0.75049	5.0293	5.1652	4.3612	2.1435	4.3343	5.1128
RS_G8456__PADI1__PADI1	1.9592	0.46792	0.5346	1.4893	3.4138	1.3688	0.88796	1.0665	0	4.9116	4.4929	5.298	1.2542	1.483	1.8703	1.7684	0.97468	3.0182	0.19986	0.78537	4.9634	2.2033	1.636	0	0.63742	2.3076	1.8151	2.3204	3.2952	0.58662	0.19609
RS_G6437__TNNI2__TNNI2	4.0471	0	0.54654	0	2.8379	0	0.78747	4.3348	0.49938	1.2993	3.7959	7.8367	0	7.3623	0	0	0	1.4925	0.54639	0	5.6993	1.05	1.3885	0	0	3.9936	7.2947	5.1908	1.6855	7.5799	2.5807
