Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__SIRPB1	-0.723	-0.75	-0.607	2.227	0.526	0.315	0.09	0.894	2.387	1.953	1.354	-1.052	0.597	-0.126	-1.977	0.541	-0.38	-0.347	1.928	1.238	-0.928	-0.394	-0.577	0.127	-0.66	-0.878	1.641	2.051	0.42	-0.216	-0.546	1.408	1.834	1.423	0.043	-0.677	0.056	-0.282	-3.013	-2.989
SNP__LOC388152	-0.003	-0.195	0.157	-0.185	-0.095	0.12	-0.192	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.64	-0.238	-2.399	0.202	-0.039	-0.188	-0.404	0.016	-0.224	0	-2.542	0.085	-0.388
SNP__SLC25A24	0.014	0.102	0.444	-0.243	-0.156	0.224	0.456	-0.06	-0.518	-0.31	-4.153	0.005	-0.041	-0.132	0.296	-0.216	-3.632	0.224	0.636	0.251	0.226	0.538	1.121	-0.126	0.534	-0.172	-0.032	-0.063	0.268	0.164	0.188	-4.56	-3.419	0.083	-0.27	0.043	-4.56	-0.303	-0.389	-0.36
SNP__LOC161527	-0.003	-0.195	0.157	-0.185	-0.095	0.12	-0.192	-0.11	-2.785	0.21	-0.17	-3.663	0.171	-0.536	-1.014	-0.1	-0.332	0.068	-0.028	-0.025	-0.318	-0.054	0.275	-0.167	0.093	0.064	0.16	-0.64	-0.238	-2.399	0.202	-0.039	-0.188	-0.404	0.016	-0.224	0	-2.542	0.085	-0.388
SNP__GALNTL2	0.008	-0.153	0.157	-0.037	-0.153	0.023	0.075	-3.222	-2.791	0.09	0.098	-0.031	0.19	-0.145	0.058	-0.028	0.328	0.178	0.002	0.741	-3.463	0.551	0.212	-0.165	0.123	-0.208	-0.457	-0.058	-0.248	-0.132	-0.101	0.017	-0.064	-0.361	-0.361	0.216	0.05	0.062	0.009	0.298
SNP__IGHV3-9	0.717	-1.798	0.585	0.673	2.341	-0.959	0.618	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	-1.775	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	1.993	0.777	1.049	1.114	-0.949	1.818	0.688
SNP__TRBV6-2	0.0098	0.453	0.186	0.355	0.322	-0.135	-0.257	0.042	-0.1872	-0.706	-1.599	0.29	-2.535	-0.782	-0.251	-0.206	0.267	-0.3346	0.434	-2.904	-0.1446	-2.003	-0.2195	0.122	-0.0176	0.343	0.191	-0.0298	0.459	0.526	-0.864	0.0144	-0.0908	-0.273	-0.282	0.0294	-0.2956	-0.317	-0.042	0.028
SNP__ANKRD15	-0.657	-0.203	-2.643	-1.013	-3.018	0.182	-0.496	-0.451	0.095	0.341	-0.475	-1.121	-0.033	-0.739	-0.129	0.558	-1.137	-0.27	0.831	0.742	-2.347	0.383	0.366	-1.564	0.112	-0.84	-0.124	-0.627	-0.228	-0.826	-2.804	-0.073	-0.722	-0.41	-0.332	-0.181	-0.306	-0.296	-0.084	-0.001
SNP__IGHV2-10	0.717	-1.798	0.585	0.673	2.341	-0.959	0.618	-1.653	1.309	0.868	0.488	1.422	0.404	0.7	-0.694	0.82	1.632	0.746	1.075	0.515	0.629	1.192	0.898	1.251	-1.775	1.666	0.846	1.032	-1.306	2.483	1.498	0.717	-1.884	1.993	0.777	1.049	1.114	-0.949	1.818	0.688
SNP__ODF4	-0.021	-0.166	0.165	-0.156	-0.362	0.458	-0.517	0.038	-0.205	0.101	-0.138	-5.279	-0.028	0.258	-0.128	-0.227	-0.019	-0.08	-0.412	-4.569	-4.154	-0.429	-0.199	0.193	0.103	-0.212	-0.317	-0.61	-0.217	-0.182	0.164	-0.556	-0.156	-0.366	-0.318	-3.845	-0.307	-0.299	-3.855	-4.116
