Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G2467__MMP9__MMP9	0.3352	4.7331	0	1.8897	7.2801	1.3299	2.8432	7.1538	0.43548	1.2458	3.165	1.5059	6.2936	0.93467	3.1581	0.63889	0.45168	0.35709	3.8095	3.1157	2.482	1.5826	0	1.3653	0	3.4679	2.3144	0.54164	4.3212	0	5.3232	3.8646	1.7067	1.7646	2.9642	1.4825
RS_G628__MAGEC2__MAGEC2	0	5.4645	0	0	0.46229	0	0	0.52433	0	0	0	8.2608	0.38012	0	3.0872	0	5.0759	5.5432	0	0	0	0.20818	0	0	0	0	3.3543	0	0.47823	5.1877	0	0.27723	4.9092	0.17544	5.6209	0
RS_G5405__GLIPR2__GLIPR2	1.6539	7.0819	0.90362	2.8754	5.1543	2.2968	4.6416	4.6861	1.7021	0.87288	5.9912	1.4785	4.9724	4.2248	6.7986	6.3415	6.008	5.354	5.1586	3.0034	5.421	4.1668	3.8964	3.8901	0.45074	8.0723	4.0647	4.7593	4.2732	2.4767	2.3158	2.7256	3.5392	3.6892	1.1076	2.0736
RS_G11400__ADAMTS9__ADAMTS9	0.2465	0	1.37	0.39237	0	0	4.9386	0.89744	0.15387	0.10069	4.6682	0.17282	4.183	1.6897	2.1726	0.46728	0.55645	0.5346	2.1523	3.539	0.11316	0.060178	0.57193	0.16876	0	7.1859	0	1.1799	3.8561	0	2.6306	0.299	0	0.098299	0	0
RS_G14365__CST6__CST6	1.1735	4.8219	0	2.2528	1.1623	0.40458	2.5251	0	0	4.0306	1.7102	5.9733	9.605	6.3431	5.5347	1.3362	3.3225	1.0523	3.7167	0.69586	0.98624	8.1369	3.2657	1.6994	1.1045	1.8882	3.1421	2.7763	7.589	6.5634	10.9573	2.5445	5.0406	8.5443	4.4201	0
RS_G13933__SNCG__SNCG	10.7928	7.9446	1.5171	9.3345	0.56038	7.4267	0.49198	0.6228	8.4757	3.676	0.52156	7.4115	0	8.29	5.7251	1.1233	6.6394	2.0984	6.6334	1.9549	5.39	10.4681	6.7702	9.2171	0	2.0381	6.2318	0	5.2603	8.2079	9.4602	9.511	6.7271	12.5266	7.6609	11.4412
RS_G2624__MXRA5__MXRA5	5.0837	3.4195	7.5759	6.375	0.20632	0	1.6586	1.0157	0.058217	0	0.23401	2.3124	1.2112	3.8501	0	4.6149	4.8628	3.9665	0.15856	0.66448	0	0.088941	0	0	0.09952	1.2934	1.2267	2.57	0	4.8102	3.7177	0.22955	0	4.5144	4.9451	1.5408
RS_G19250__ABCA4__ABCA4	2.5925	1.8337	3.9603	5.4901	0.26948	0.28068	0.23368	4.4163	1.9681	6.1509	2.5443	0.3723	2.4337	1.3841	1.9661	0.29762	0.88168	1.2798	2.2154	0.99615	0.14858	3.3904	1.4951	0.99526	0.25117	3.7702	3.5587	1.6032	3.7364	1.1507	1.4958	1.6978	2.6309	6.0141	4.9307	0.65076
RS_G5897__C20orf114__C20orf114	7.2811	4.1593	6.4009	4.4106	0	0.79278	0.42508	0.85199	5.3667	1.576	0.63302	0	6.651	7.7517	0	0.2615	6.3258	0.30149	2.4042	2.3954	6.6345	11.8817	0	6.9239	0.24599	0	6.1223	0	0.87411	2.0639	0	3.1221	4.9933	9.8768	8.9966	6.0651
RS_G12106__FBN1__FBN1	1.2014	1.8895	2.1102	0.65511	7.5586	2.1463	1.108	8.4746	0.6436	0.18388	0.66708	3.0923	4.1752	1.0146	4.3982	6.9848	4.5742	9.8221	0.29333	1.5016	1.6413	0.80989	5.7106	1.3307	3.0962	2.8548	1.224	5.4877	1.9859	0.49329	2.2667	1.2437	0.29429	1.1637	1.0261	0.5397
RS_G13229__KRT6C__KRT6C	0.2586	0	0.24559	0	0	0.42636	8.32	4.2096	0.23185	0	0.54005	2.5804	5.8341	0	1.0175	0	0.74665	0	0.2218	0	0.23174	4.0766	0	1.2634	0.68429	6.1073	0	0	5.1643	4.719	9.633	9.2454	0	0	0	0
RS_G6331__SYT5__SYT5	4.0132	1.9982	0	3.7529	2.1684	1.3292	2.751	0.67081	3.6205	6.3433	0	4.089	0.97998	1.0482	0.72222	0.2672	1.0837	2.4688	2.6877	0.96197	7.5711	2.9951	0	0.38058	0.46803	4.0112	0	5.6054	1.1831	1.9308	6.7945	8.1888	2.8824	5.0171	4.9334	3.0571
RS_G10899__PERLD1__PERLD1	7.7632	10.8788	10.843	8.1343	5.7015	7.023	5.4851	6.0545	11.6693	6.7597	1.9356	4.6347	4.808	11.5693	7.3482	6.5941	7.0206	5.8111	6.5555	5.7895	6.5318	7.7669	5.3794	9.638	8.0489	7.0386	10.3657	5.6013	6.5852	14.7454	6.0695	5.4877	7.267	11.6018	7.3184	6.7812
RS_G12786__IL7R__IL7R	0	0.251	0	0.50142	6.5911	0.28503	6.1027	3.2925	0	0	0.65531	4.9125	6.2297	5.4595	4.9738	6.5351	0.25223	5.1619	0	0	0	1.8082	5.4855	0.070492	0.82882	0.68499	0	0	3.6661	0	2.0069	0	0	0	0	0
RS_G8803__AC092042.2__AC092042.2	2.9259	4.6984	1.6913	0.92682	0.19927	0.93976	1.0901	0.51281	0.11158	0.60724	1.935	4.1974	2.6195	2.2947	1.21	0.36989	3.1885	2.7063	1.5486	0.53398	6.8034	4.2071	0	1.3681	0.3487	5.725	3.0623	0	0.93099	4.4882	0	1.5699	4.9666	5.8477	0.62196	0.89976
RS_G15547__GAS1__GAS1	0	0	0.20138	0.62347	6.8017	0.35442	3.9425	6.4901	0	0	4.9514	0	3.5582	1.1793	5.7523	4.7642	3.202	3.9524	0	0.34607	0.64055	3.8028	0	1.0246	0.98655	6.4512	0	4.0824	5.0688	0.10817	3.4259	0.80311	0.55514	0.12587	0.66117	0
RS_G12138__AP000926.6__AP000926.6	0.93522	1.4863	0.84409	1.9858	6.1205	0.2896	0.16521	7.2957	0	1.6327	2.942	5.6383	6.523	0.85542	1.2249	6.2727	2.4321	7.6418	0.58207	0.72117	0.37787	3.864	2.4918	1.2955	0.72971	2.439	0	6.6793	5.9479	2.5442	4.3758	0	1.5434	3.8113	3.3381	0.95756
RS_G7398__LCP1__LCP1	4.1166	6.0434	5.0433	4.8794	1.8294	4.588	4.3062	8.2685	5.8426	6.1982	4.4913	10.2591	9.7329	4.2566	11.0525	5.4528	6.3488	2.2274	5.5781	6.4225	5.5158	4.7877	7.1754	4.6101	4.4502	10.3224	6.626	3.7703	2.6067	3.8581	1.0508	2.4076	3.8342	3.5894	4.7125	4.9519
RS_G7852__SLC40A1__SLC40A1	8.1261	6.0053	7.765	8.1177	0	7.1984	1.8182	1.1013	7.0717	9.5596	4.9572	4.0017	0.11962	2.6831	2.3757	3.5437	5.1833	0	0	0.15331	0.15829	5.071	2.5055	7.5995	9.0335	0	6.8656	0.27233	0.42348	6.3631	0.91534	4.6019	10.0753	3.8126	7.1722	6.288
RS_G12875__MFSD7__MFSD7	5.9134	5.9466	0	5.134	0.87243	1.5542	0.39831	0.27981	2.9756	3.974	0.50965	1.6432	2.5464	0.69369	0	1.8338	0.32742	1.3851	1.148	1.087	1.8221	2.8234	3.1895	1.7338	2.1995	1.233	5.7598	1.462	3.5056	0	0.37387	4.665	7.7798	7.0837	5.0269	3.5491
