Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G7225__ELF5__ELF5	0.37677	4.5885	6.4031	6.512	0	1.9674	2.4337	0.32507	5.4417	7.078	1.1045	0	4.7027	0	5.789	4.5554	0	0.48747	0.22762	4.5813	5.0972	0	4.3672	0	5.8143	0.35445	0	0	3.5985	7.932	5.3364	0.5172	4.9835
RS_G12188__CRABP1__CRABP1	1.3741	1.4861	2.0796	8.0743	0.52734	11.7665	0.46236	0.32883	2.4799	0	8.2077	1.663	7.1373	0.275	0	4.5932	1.2108	4.8055	0.59695	0	8.5864	0.88537	8.0075	0	2.0754	1.972	0	0	0	3.1309	11.0915	7.1185	5.1386
RS_G5567__PREX1__PREX1	7.2462	9.4167	8.806	10.4089	0.22186	6.8101	4.4805	5.6559	6.6114	8.4126	5.8229	5.9925	4.7198	2.9075	3.8884	1.4154	4.0377	0.14017	6.4915	12.0764	9.6008	0.4589	8.6745	4.204	9.5072	1.276	2.3445	5.1828	7.4045	10.2263	10.0828	10.6767	6.5261
RS_G14942__PVRL3__PVRL3	3.0342	0	3.0716	0.94041	7.9748	0	3.0315	5.3155	4.3643	0	0.24295	5.4957	0.84611	3.2823	2.9367	5.4663	6.1654	4.3798	6.1795	0	1.504	7.1246	2.1541	1.4176	0	3.159	4.2008	3.0716	0	0.55555	0.18395	1.0069	0.80047
RS_G6379__KIF1A__KIF1A	0	0.43724	9.0209	8.2331	0	1.6392	9.2069	0.30393	0.79708	3.8381	0.51882	4.1596	0.88601	0.59017	2.9194	1.5711	0.47052	0	0.16233	4.6844	5.0402	0.054638	7.4877	0	0.21917	6.9635	0	0.17942	0.32477	0.44344	2.938	7.02	7.602
RS_G13241__LONRF2__LONRF2	3.7903	0.13384	4.3477	6.6943	2.2956	4.2931	1.4733	0.35575	5.1387	7.8064	0.33337	0.31323	0.59924	0.20636	0.11329	0.35946	0.8376	0.035217	0.26581	4.131	5.2239	0.66303	4.3186	0.070664	0.30533	1.1188	0.15278	0.089869	4.0044	3.3933	4.6452	3.8043	3.1669
RS_G835__GNA15__GNA15	1.2334	0.21489	0.37624	0	0.43131	0	2.4189	0.77872	0.6554	0.32327	0.21659	8.3867	5.6862	2.9916	0.43841	0.54819	0.52322	5.7739	0.77707	1.0429	0	7.4091	1.7814	0.4093	0	0.58613	6.8932	7.4618	0	0.69439	0.16463	0	0.4793
RS_G8859__UCN2__UCN2	1.2845	0.29972	1.361	0	0	0.61433	0	1.8619	1.077	1.9504	1.1088	3.1138	1.5959	2.007	0	1.9642	2.2167	0	7.4621	0.92346	0.33255	4.0658	2.3384	2.7354	0	3.5893	4.6056	7.5876	2.913	2.3249	1.7045	0	0
RS_G12940__ADRB2__ADRB2	2.1259	2.2301	0.49965	0.24995	2.5126	1.4958	4.5683	2.1427	0	0	0	6.4949	0.37353	0.68584	2.1863	4.184	0	0.74044	3.0343	0.94883	0	8.309	0	1.0245	0.80363	3.1202	2.9832	5.7045	5.1544	2.4675	1.2577	0	0.35107
RS_G15100__GLDC__GLDC	0.26029	7.2337	0.40726	4.2944	3.4418	1.2426	4.4118	2.22	0.14607	4.7534	2.0712	1.7273	4.4029	3.9346	1.8675	6.0442	2.116	0.61603	1.9099	2.7527	2.1304	0.45811	0.48042	0	7.546	3.6024	1.4389	0.89962	7.1951	4.7089	7.464	4.8515	3.1124
RS_G6542__C1QL1__C1QL1	3.763	4.6965	0.75664	6.0783	6.7676	3.3057	7.5882	5.6589	1.999	4.6891	4.5608	2.6627	4.9491	2.2673	0	5.8265	4.975	2.0219	4.1685	5.4241	5.4863	3.1588	3.6742	0.55244	4.3193	4.3657	9.8207	4.538	3.6612	6.0295	4.0256	6.7244	5.8191
RS_G11693__AC010990.3__AC010990.3	1.7961	0.68784	0	0	0	0	1.0911	1.222	2.59	0	2.9069	1.745	3.1818	6.7489	0	0.13845	2.4197	7.4569	3.2872	2.5149	0.36743	0.63123	0	0	0	2.4176	2.4682	3.7252	0.27953	0	0	0	0
SNP__CFHL4	0.651	0.5	0.706	0.482	0.492	0.442	2.355	-2.181	0.09	-0.838	0.434	0.253	0.026	0.136	-1.672	0.221	2.628	-2.421	-0.061	0.408	0.351	0.099	2.833	0.745	0.263	-0.264	-1.268	0.243	0.291	0.282	1.222	0.569	-2.009
RS_G16005__AC132938.1__AC132938.1	3.3968	7.0684	3.238	3.177	1.1178	3.9758	3.6169	3.755	2.6302	3.0794	0.23316	1.5437	0.9469	1.9486	2.0463	2.4857	1.3451	0	0.74679	4.6038	4.1822	0.95226	4.3185	3.5446	4.409	2.2798	1.0105	1.6071	1.2745	4.283	2.2745	9.0349	10.1017
RS_G11080__DNAJB4__DNAJB4	5.2481	2.6683	2.103	2.8453	9.2845	3.4604	3.6926	7.1968	4.45	2.7546	4.4632	4.5992	3.4336	4.2361	2.4822	5.9018	6.3162	5.4822	6.7432	1.3773	2.6579	5.9448	1.8261	2.2012	3.7086	3.9964	3.852	4.099	3.7067	1.7083	0.85314	3.1523	0.8945
RS_G17577__P2RX2__P2RX2	1.3699	5.6587	1.7281	7.6192	0.25976	0.69501	1.6549	0.15633	5.106	3.9282	4.3574	2.5458	0.38581	0.63772	6.1438	0.69729	0.25811	0	0.54424	6.4267	5.6475	0.63987	2.6185	1.1863	4.2646	0.45772	0	0.71099	0	8.5345	6.106	4.7114	5.3932
RS_G5188__TGFBI__TGFBI	5.034	7.8938	4.4353	2.9263	3.9121	0.64517	3.9922	12.5626	5.0232	2.457	1.7131	9.6873	8.6593	10.3838	2.5591	5.9284	12.1863	10.1886	13.0785	6.3418	5.2622	8.6722	3.0034	3.5245	6.2873	11.1203	9.0184	11.8996	1.0937	2.4821	4.288	2.7243	0.84147
RS_G3586__RAPGEFL1__RAPGEFL1	5.9537	7.4913	4.0582	7.5022	4.1912	5.1146	3.3035	3.1857	2.9684	9.3785	5.0089	3.3274	6.6928	3.2089	3.7361	3.7624	5.0324	4.6098	2.8293	6.6804	4.2898	4.4551	4.0532	3.1024	6.7893	4.5768	5.97	7.7749	5.3003	7.3069	12.3481	7.8427	6.2748
RS_G15626__MAP6D1__MAP6D1	2.2504	0.85483	5.8526	7.2206	5.4591	5.8612	3.9654	3.1315	4.4177	8.4145	3.7921	6.3579	5.3975	4.4178	3.0982	5.4406	4.2591	2.9896	2.1446	6.133	5.0368	3.9445	5.6564	3.9162	3.151	3.4771	3.7012	3.6466	3.883	9.7553	7.2833	3.7728	3.0512
RS_G10280__RAB11FIP1__RAB11FIP1	7.6887	6.2778	7.0128	12.2859	4.5822	8.1106	7.2796	4.0893	8.438	8.7856	8.1977	5.5418	6.2577	5.6096	7.1473	5.7509	6.7727	5.928	3.3836	5.4681	6.386	5.9329	7.033	5.945	6.155	2.8408	4.7669	4.8767	7.8875	7.9949	6.493	9.2453	8.7531
RS_G19421__ANKRD43__ANKRD43	0.68894	0.2593	3.6807	5.9951	0.14915	8.0828	0.2467	0.39425	4.0266	5.3162	2.7259	0.3412	1.4485	1.9012	0	1.8589	0.34528	2.0114	0.32538	1.9544	1.3813	0.073516	2.734	0.68446	0	0	1.9312	0	0.7374	6.731	7.7023	2.4612	3.3888
RS_G21732__AL136362.10__AL136362.10	3.6177	1.379	2.4086	2.3687	6.8619	2.9602	8.6421	5.8491	4.1982	5.6378	2.8629	7.9821	8.2796	3.0449	3.3737	4.9523	3.5242	4.687	7.4838	1.6056	2.2294	5.016	2.5979	2.9509	1.0728	4.8527	7.0765	7.1972	2.0514	2.0133	2.6182	1.9024	2.0164
RS_G16319__SERHL2__SERHL2	5.5576	9.6885	4.2228	5.1276	3.5316	4.1391	4.4021	2.9824	9.3149	3.0556	6.0929	4.8312	4.2306	3.487	4.2993	5.1006	5.2126	4.4447	4.1099	5.1008	8.2175	3.8247	5.6157	3.797	11.2439	4.1716	4.2778	4.8636	3.1849	6.6946	6.6957	10.0126	9.7217
RS_G4095__RBM24__RBM24	0	0.18099	2.7361	6.8059	5.2114	5.5365	3.1305	0.67503	2.4326	6.8352	1.4929	1.5526	2.9359	0.57117	0.20004	4.7801	6.5447	0.48409	3.744	3.949	2.8777	7.44	4.9553	0	0	4.2684	0.54062	0.30704	0	5.4843	2.1862	3.1769	2.4745
RS_G4351__COL7A1__COL7A1	4.9884	2.3752	2.4012	0.98581	0.77562	1.255	0.93156	2.5782	1.5435	3.2919	1.7096	5.7269	4.2544	2.9007	2.5551	2.0228	2.8981	0.94048	9.3014	1.6966	1.4589	2.1883	4.099	5.5402	1.9774	3.883	6.541	9.9568	3.5282	4.0318	2.8372	3.1168	0.65322
RS_G5715__EREG__EREG	0.90798	0.3735	0.24246	1.7835	0	0.22456	0.63031	0.35404	1.2446	0.48662	0	6.0947	3.8145	1.813	0.79093	0.55554	0.81807	2.0283	0.45721	0.16657	0.21904	6.6798	0.47157	0.37437	0.21342	0.20656	5.8413	6.5644	0.39455	0.30539	1.3575	0.67428	0.16071
SNP__BCAS1	0.013	1.068	2.02	0.565	0.515	0.076	0.13	-0.562	1.117	1.015	0.237	0.233	0.336	0.288	0.274	0.268	0.169	0.238	0.305	2.058	2.247	0.143	0.83	0.166	1.244	-0.184	0.683	0.855	-0.137	0.32	0.853	0.395	0.305
RS_G7562__NOV__NOV	6.3991	0.7816	3.3497	1.5592	0.39352	0.80455	6.7812	3.3477	0	0.15448	0	2.2916	5.127	2.5802	0.97304	2.5852	1.0721	3.7115	8.1961	0.56584	0.57226	6.3971	2.8916	1.217	0	8.2172	4.5959	4.8195	0.69733	0.95114	1.2699	0.76414	0
RS_G16786__FLRT2__FLRT2	1.0968	0.067234	0	0	6.8695	0	5.9944	6.4562	0.0804	0.1038	0	4.3235	1.0275	0	0	4.8096	0	0.89689	3.9788	0	0	5.2419	0.10757	0.13413	0.54347	8.0176	0.94572	4.5865	0.43488	0	0.32293	0	0
RS_G5853__FLRT3__FLRT3	3.2707	0	2.8131	2.7462	0	0.58081	0.5726	5.0899	3.748	0.95895	0.12063	4.6645	1.5691	6.4099	0.82049	2.118	3.1234	3.602	2.089	1.3647	2.6504	0.34908	2.9609	0.61228	0	0.44339	5.5018	3.7028	3.6738	1.3515	0.29311	2.621	1.5398
RS_G16329__AC005332.1__AC005332.1	1.4126	6.8891	0.52114	0.61053	0.59991	4.3973	2.5319	0	3.8846	3.0082	0.29172	0	4.0142	0.87419	1.029	1.9266	0	0.30182	0.9157	3.5412	1.9513	0.58014	2.4085	1.8568	3.5274	1.8698	1.0444	0.87371	0.51986	4.1958	3.3993	1.2154	1.6357
RS_G2964__PLAT__PLAT	1.1028	2.7083	2.1355	4.2283	2.9261	1.5385	6.4029	1.7049	1.4885	1.4698	1.4792	6.6718	3.9628	6.7745	5.154	4.6465	5.7778	3.7345	9.0078	0.7689	0.50948	6.7671	1.2668	2.4605	0	4.8623	7.5581	6.1301	0.61507	0.97942	4.5877	0.76072	0.76698
RS_G10013__PGM5__PGM5	0.98175	5.7702	1.2732	4.3229	0	0.27613	0	0.90894	0.52699	4.3002	0.12769	0	3.701	0.13224	0	1.7349	0	0	2.2619	2.9296	3.596	0.13333	1.23	0	6.2945	1.102	0	0	2.625	0	4.6748	4.1586	0.29176
RS_G12262__NNMT__NNMT	8.5516	2.0132	0.48442	0	9.4448	0	1.147	7.6778	0	0	1.6205	1.4637	5.9883	7.7288	0	5.9076	6.1323	8.4278	6.7404	1.7656	0	0.7415	0.55533	0.52928	0	9.0646	10.6571	6.8006	9.2782	0	1.7073	0.22668	0
SNP__FLJ36492	-1.369	-0.166	-0.156	-1.636	-1.134	-1.45	-1.316	0.101	0.844	-0.411	-0.028	0.258	-1.046	0.725	-0.294	-0.08	-1.531	0.477	0.248	-0.429	-0.153	0.11	-0.212	0.549	-0.217	-1.546	-0.193	-0.318	-0.144	-1.31	0.357	-0.431	-0.364
RS_G10476__CLSTN2__CLSTN2	5.8455	0.55251	6.1216	6.7817	1.1877	8.6981	5.6714	2.6739	4.8612	6.8926	0	0	2.5088	1.3812	0	5.16	5.5442	0	2.1758	1.5753	6.5852	0	4.6367	6.445	0.59842	0.72	0.84752	0	1.6132	4.7589	7.2315	4.8856	0.39654
RS_G1266__PTGS2__PTGS2	4.9768	0	0	0.1192	0	0	2.1508	0.52235	0	0	2.0328	6.9215	5.1045	0.64111	0	3.1963	2.374	6.6243	2.758	0	0	3.1961	0	0	0.74749	2.9427	3.9296	4.3372	0	0	0	0	0
RS_G16187__BEGAIN__BEGAIN	1.5527	3.6808	0.77715	4.4646	4.2433	1.7438	3.3344	1.032	0	3.3095	3.7931	1.2583	2.6657	1.2259	0.77226	4.2185	1.838	0.71485	2.033	4.4953	2.4041	0.49161	1.4905	1.4344	1.7416	5.0066	7.3112	2.3465	2.027	1.75	3.1416	2.1009	3.6259
RS_G16247__C17orf60__C17orf60	0.49808	0.30644	0.1873	0.47501	0.16983	0	1.7779	4.3243	0.35255	0.78703	0	0.28012	3.4776	6.4583	0.83997	0.7432	0.46893	1.5377	3.4339	0	0	3.0384	0.5823	0.30115	0	0	0	1.5309	2.4997	0	0.11701	0	0.25524
RS_G761__KCNH2__KCNH2	4.3974	7.7662	1.4548	5.3576	0.71042	1.2467	1.9196	0.35086	0.38368	3.1721	6.314	1.4979	1.0985	0.37606	0.31183	0.77169	0.11002	0	0.87414	5.3995	4.2125	0.65077	3.5139	0.86035	3.6229	0.98382	0.73108	3.7015	4.5043	0.55219	5.3417	4.1343	3.3441
RS_G28095__AC084880.12__AC084880.12	2.6458	0.39162	1.7242	6.5075	2.0128	4.2328	0	0.47769	0.8068	5.5432	0	1.422	2.6796	0.4027	0	0	0	0	1.578	5.5496	2.9325	0	3.729	0	0	0	0	0	4.0225	0.48828	6.5179	3.7538	1.8171
RS_G7696__CASP1__CASP1	4.6632	1.1639	0	0	0.62808	0	0.76601	2.0008	0	0	4.2846	7.1678	5.4234	7.0633	2.6371	5.507	4.2762	9.1677	3.4113	0	0.35455	2.6086	0	0.59149	3.2346	0	4.6947	4.4669	3.8963	4.3306	0	0	0
RS_G18160__AC110754.4__AC110754.4	3.9514	0.83267	6.4627	8.8805	0.22701	6.9764	1.6741	1.5048	2.9835	9.6862	2.0801	1.2005	1.0817	1.1314	1.2745	1.6006	1.8395	0.67116	1.6999	9.1222	7.6365	1.7317	8.7503	0.67996	0.52524	1.0029	1.9295	2.3357	2.9101	7.4037	8.649	8.6863	4.9591
RS_G1762__MMP2__MMP2	0.4728	0.51784	0.16333	0.14627	1.1858	0.21659	6.7222	10.4729	0.2313	0.53378	1.1497	4.3334	3.1849	4.7367	0.71871	0.74091	5.5154	4.458	10.0294	0.50701	0	0	0.47804	0.67254	0.71178	8.0913	6.8538	5.4073	1.6774	0	3.3427	0.5521	0
RS_G6637__RARA__RARA	7.4958	9.1151	6.2662	9.3666	5.5867	8.6755	5.3	5.5698	6.1388	8.1484	6.2953	6.0039	5.8682	7.1367	6.3018	6.4304	5.9595	5.8703	6.0758	9.2031	7.118	5.7313	7.2389	5.8846	8.386	6.6856	6.8134	7.9308	6.8151	8.3269	12.7129	8.5605	8.8544
RS_G18405__S100A2__S100A2	5.2484	3.6935	3.4186	3.8443	8.6925	2.6605	13.4485	7.4326	2.2239	2.1404	3.8567	13.4345	10.1256	11.0365	3.6585	11.2875	8.0382	9.5068	5.9126	5.1554	2.1463	4.8228	3.2845	5.5373	1.1917	8.571	10.041	13.4869	5.0461	4.175	3.2161	3.0922	4.4221
RS_G9825__PRDM8__PRDM8	0	0.22311	0.14198	0	1.2978	0	1.8698	2.636	0.53811	0	0.059588	3.1775	0.72884	1.1762	0	0	3.6636	2.422	4.8363	0	0	6.586	0.45871	0	0	8.9585	1.6272	2.1404	0	0	0.39293	0	1.5376
RS_G10718__TFF3__TFF3	9.803	7.179	11.1887	12.8489	0	6.3298	0.97441	0.986	13.1896	11.0513	1.8337	0	0.53575	1.7682	9.6535	2.2698	0	0	1.8517	9.9781	8.776	5.8853	12.3423	6.3096	5.0467	0	0	0	0.69196	8.9041	15.7551	12.4151	11.5272
RS_G12720__CMAH__CMAH	0.48171	5.6554	5.1662	4.0198	2.0013	5.0915	2.5327	4.4091	1.3797	0	0.089889	0	4.3521	0.4123	1.4282	5.4981	2.3863	1.1419	2.4096	0.19054	2.3585	0.41732	1.4534	0	6.3681	0.33939	3.9595	0	0.63247	0	0.8565	2.4873	4.7647
RS_G997__FGFR2__FGFR2	6.7022	5.8744	1.611	5.6493	2.4737	2.1401	6.0406	5.3776	1.1747	6.4531	5.7394	5.0247	6.4254	1.9971	0.7339	6.1453	2.2668	4.4544	0.65248	4.0018	5.3212	0.28704	4.3772	2.1355	6.3649	1.6784	3.8017	4.0687	12.3848	7.904	5.3506	5.7165	5.4987
RS_G15650__OXTR__OXTR	2.6453	2.4034	1.4046	5.5286	5.2587	3.3789	7.0907	3.0554	3.0154	3.3339	2.5851	2.3122	6.7918	1.8936	0.76449	5.7407	2.9858	0.11011	5.3866	1.6268	2.3399	0.87158	2.2215	1.958	1.8969	2.2283	0.53598	2.7785	1.9298	0.59396	4.8693	3.8192	4.1112
RS_G11659__FOXQ1__FOXQ1	1.3317	0	0	0.32199	0	0	4.9799	0.24861	0	0	1.0826	8.1771	6.1798	2.8295	0	0	0.11238	5.7483	4.8724	0.21695	0	4.4486	0.59161	0	0	0	4.3107	6.8165	3.8679	0	0.47536	0	0
RS_G23634__hsa-mir-205__hsa-mir-205	4.7533	1.3542	0	0	0	0	0	0	0	0	0	4.5349	4.3277	4.3498	0	0	0	3.377	0	0	0	0	1.395	0	0	0	2.9965	2.7057	2.7566	0	0	0	0
RS_G10350__MMP14__MMP14	0.71728	1.4795	0.44191	0.89739	9.639	0.34999	7.3688	9.383	2.0141	1.802	2.0248	8.6885	7.6792	3.3228	0.61768	1.116	8.0798	8.3525	9.2776	3.4012	1.7563	8.3464	1.852	2.8725	1.1442	13.1123	6.8229	8.7879	1.6794	4.0109	0.92248	1.1125	1.5268
RS_G14859__SAMD9L__SAMD9L	3.4575	0.067225	0	2.1607	0.21202	0.077493	0.12401	3.0939	0	2.5986	4.7979	3.7721	2.6339	3.1608	1.4916	1.4255	2.658	6.9834	3.9452	0	0	3.4066	0	0	0	0	0.41083	2.4155	3.3204	1.6339	0	0.10744	0.10906
RS_G6452__GATA5__GATA5	0	4.94	1.3896	5.8865	0	0.8752	0	0	0.38815	6.1074	0	3.0853	1.4507	0.092615	0	0	1.0026	0	0	0.36992	0.28951	0	3.0839	0.85482	0	0	0	0.66483	4.124	4.5765	6.5887	2.8352	0.27519
RS_G8573__ECM1__ECM1	4.8617	4.7393	5.8238	4.9641	2.9491	2.9311	7.9628	6.8961	11.2304	3.4946	2.8586	6.3894	4.9619	3.4121	2.5694	4.2049	5.5615	4.459	8.7029	2.4417	2.5781	8.4389	4.5503	3.36	2.5147	7.9556	5.7183	4.52	2.2735	2.4162	4.0931	1.8392	1.202
RS_G16628__PDE4B__PDE4B	6.4704	3.5464	1.9844	0.20129	3.3063	5.4525	0.24878	4.9161	5.5966	2.0004	5.192	1.4264	1.4849	3.9286	6.041	3.8978	4.5046	6.4591	2.2321	0.28862	2.0051	3.4134	5.681	4.6651	3.4552	4.956	8.0863	0.082897	4.8358	0.68044	3.1212	4.0708	0.94457
RS_G13364__S1PR1__S1PR1	0.14476	0	0	0	7.8764	0	3.4984	0.98351	0	0	0.43828	5.8564	3.4223	0.45575	0	0	5.1403	5.0119	0.46235	0.089312	0	2.0861	0	0.31238	0	2.4689	2.4788	1.6305	0	0	0	0	0
RS_G9860__DAB2__DAB2	2.8095	2.6767	1.9608	0.84202	7.8425	1.0483	5.6917	7.6059	9.6164	8.572	3.2249	4.2838	2.5393	4.435	3.3926	5.0783	5.6126	6.3679	7.6893	0.22032	2.9612	6.6862	1.4309	0.99415	4.3122	5.9163	3.1804	1.1255	5.8937	2.6474	2.0384	2.1991	0.16587
