Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg10163825__C16orf25	0.046491	0.082308	0.92063	0.084318	0.037719	0.97072	0.072378	0.91759	0.12447	0.090737	0.91888	0.96899	0.6019	0.12425	0.79994	0.49011	0.30667	0.94158	0.57551	0.070051	0.94714	0.80063	0.3139	0.06418	0.10541	0.1375	0.26326	0.19038	0.45243	0.24411	0.81978	0.086415	0.047196	0.33991	0.052637
Meth__cg14686321__FLJ31951	0.10996	0.061095	0.03906	0.81033	0.79157	0.039047	0.66688	0.071703	0.039719	0.3677	0.042155	0.039587	0.090916	0.12412	0.047426	0.038231	0.067608	0.037499	0.27686	0.50943	0.039272	0.098761	0.81148	0.10066	0.76983	0.08182	0.034303	0.045957	0.15162	0.39659	0.038448	0.14528	0.52683	0.49196	0.77008
Meth__cg17602451__BCL2	0.063162	0.035492	0.95173	0.055695	0.10524	0.95404	0.070302	0.14865	0.21232	0.038886	0.93365	0.79234	0.74046	0.21557	0.63814	0.27776	0.755	0.4052	0.034002	0.046118	0.94636	0.90867	0.054939	0.094513	0.93449	0.1315	0.40849	0.21134	0.57873	0.69178	0.94823	0.16002	0.61579	0.047757	0.042401
Meth__cg22780475__CBLC	0.058057	0.10715	0.093357	0.88682	0.12563	0.88433	0.0671	0.041174	0.29333	0.89703	0.23072	0.24218	0.75189	0.50767	0.62618	0.91973	0.34914	0.8349	0.91724	0.9219	0.90373	0.90187	0.90971	0.12919	0.12073	0.14115	0.38874	0.052673	0.8894	0.87901	0.67001	0.096273	0.064303	0.063387	0.057302
Meth__cg07218880__UPF3A	0.079695	0.79918	0.10096	0.25296	0.2802	0.1403	0.38834	0.12885	0.12719	0.87239	0.091535	0.21713	0.56121	0.13585	0.12367	0.084474	0.11508	0.15698	0.41085	0.26693	0.094577	0.24827	0.44232	0.29566	0.86236	0.37327	0.10793	0.070832	0.67871	0.092414	0.20633	0.30431	0.16988	0.53173	0.85524
SNP__RNF152	0.013	-0.2	-0.881	0.086	-0.162	-2.938	-0.178	0.299	-0.247	-0.079	-0.426	-1.002	-0.56	-0.825	-0.456	0.725	-0.217	-0.028	-0.461	-0.556	-0.637	-1.075	-0.73	-0.548	-0.031	-0.216	0.137	-0.198	-0.015	-3.815	-0.793	-0.615	-0.284	0.239	0.234
Meth__cg20811389__CDC14B	0.35018	0.36303	0.0906	0.2525	0.91624	0.19425	0.24061	0.070871	0.073434	0.84402	0.085104	0.054488	0.095982	0.070653	0.19132	0.05934	0.10277	0.049744	0.92505	0.92534	0.064633	0.0593	0.068317	0.082738	0.90233	0.13263	0.043663	0.044333	0.20679	0.042784	0.038697	0.76635	0.074732	0.12019	0.64145
Meth__cg15853125__TIAM1	0.051712	0.053989	0.21156	0.36248	0.079582	0.94339	0.34799	0.040397	0.094911	0.098549	0.04384	0.79415	0.072272	0.099794	0.24934	0.61031	0.079896	0.16646	0.28745	0.35604	0.88871	0.85046	0.13557	0.10424	0.087928	0.046448	0.28538	0.074151	0.19313	0.032794	0.35937	0.34163	0.04285	0.060667	0.065067
Meth__cg12991365__CHDH	0.076562	0.15675	0.56629	0.10798	0.21344	0.8262	0.072421	0.057978	0.22678	0.067687	0.11549	0.41134	0.80163	0.20974	0.52277	0.081135	0.2131	0.12368	0.10982	0.16549	0.81303	0.64773	0.070088	0.060458	0.073546	0.19989	0.071846	0.078347	0.089642	0.063894	0.86297	0.16658	0.11028	0.09832	0.076314
Meth__cg09967877__SYT12	0.025161	0.024028	0.046988	0.031161	0.042502	0.42293	0.042959	0.96831	0.031525	0.031037	0.17665	0.40282	0.077616	0.038019	0.83445	0.035141	0.12787	0.055234	0.018193	0.030394	0.91797	0.32507	0.5612	0.026786	0.0358	0.47117	0.14314	0.016036	0.1659	0.013449	0.66579	0.086122	0.035828	0.027042	0.028901
Meth__cg20263942__GOLPH2	0.17298	0.82379	0.18843	0.91158	0.96369	0.05548	0.91388	0.92801	0.098964	0.94152	0.093004	0.24312	0.57451	0.14754	0.49864	0.053325	0.13725	0.14807	0.94318	0.82786	0.24898	0.11799	0.52055	0.19375	0.88356	0.85451	0.07463	0.055348	0.19986	0.12041	0.63096	0.2149	0.12709	0.67723	0.91808
Meth__cg09412715__HELB	0.057254	0.031086	0.075177	0.045592	0.020551	0.039946	0.039494	0.010105	0.051101	0.029173	0.079448	0.1561	0.11624	0.046147	0.034138	0.02877	0.053476	0.35804	0.022686	0.038036	0.043504	0.069065	0.04711	0.038693	0.060471	0.056252	0.047234	0.034868	0.043279	0.03402	0.11762	0.08663	0.037018	0.04519	0.034057
Meth__cg08911391__DDOST	0.11018	0.092316	0.43046	0.42255	0.15068	0.36973	0.1002	0.066552	0.17958	0.10348	0.49392	0.15663	0.18733	0.098621	0.082278	0.11021	0.15873	0.18612	0.28227	0.24471	0.37657	0.43433	0.32176	0.076508	0.057098	0.17556	0.059566	0.042245	0.077075	0.06125	0.27018	0.10466	0.52645	0.078731	0.062798
Meth__cg11879514__SLC16A6	0.064351	0.071244	0.12678	0.097892	0.10182	0.1377	0.075519	0.038267	0.099266	0.076362	0.10921	0.47283	0.55456	0.12638	0.72931	0.080723	0.15104	0.11491	0.042772	0.057016	0.77128	0.82357	0.064658	0.15651	0.083727	0.1153	0.097356	0.077519	0.10085	0.071481	0.098211	0.11185	0.085747	0.074879	0.051785
Meth__cg02633817__FXYD3	0.10541	0.075244	0.11574	0.090704	0.077682	0.19723	0.092865	0.057599	0.5028	0.066457	0.87835	0.09057	0.078194	0.50062	0.15298	0.81893	0.076626	0.071565	0.059768	0.10185	0.93413	0.55273	0.087961	0.09061	0.12634	0.15708	0.56874	0.061429	0.90469	0.066773	0.098254	0.1141	0.098319	0.081073	0.092869
Meth__cg09983885__TRIM21	0.15123	0.036555	0.29603	0.1092	0.076051	0.6223	0.17025	0.086794	0.42737	0.054929	0.27535	0.22903	0.19295	0.2912	0.13859	0.042925	0.14223	0.32938	0.032013	0.092058	0.084175	0.54864	0.13436	0.098564	0.25444	0.077613	0.027495	0.060072	0.046777	0.13191	0.63641	0.19009	0.063486	0.11292	0.067653
Meth__cg06800962__TM4SF1	0.10009	0.078313	0.27907	0.091478	0.075285	0.16879	0.10368	0.066951	0.15292	0.053961	0.097168	0.18063	0.15181	0.11637	0.13165	0.30188	0.09103	0.27086	0.13012	0.15477	0.51565	0.13005	0.25901	0.12445	0.14823	0.17442	0.08307	0.066552	0.19496	0.073733	0.13479	0.17179	0.12656	0.094084	0.11006
Meth__cg00733682__ZNF44	0.034708	0.041142	0.037476	0.025293	0.034012	0.025165	0.031101	0.033738	0.027812	0.04879	0.034925	0.021204	0.069255	0.030585	0.029239	0.020923	0.050497	0.024689	0.028363	0.026017	0.035959	0.51604	0.027715	0.053438	0.058285	0.05597	0.023891	0.16658	0.03019	0.023933	0.020787	0.083531	0.044569	0.038002	0.044645
Meth__cg25374813__SLC23A1	0.066578	0.042765	0.090122	0.07166	0.037853	0.79219	0.02368	0.061996	0.05739	0.034997	0.20773	0.069813	0.15114	0.071187	0.29458	0.43308	0.14265	0.096554	0.12285	0.15215	0.7913	0.20202	0.035584	0.155	0.13225	0.05433	0.83308	0.036508	0.068985	0.063148	0.036205	0.080586	0.02446	0.062926	0.028706
Meth__cg06833562__C1orf181	0.055584	0.054284	0.048329	0.054805	0.044219	0.034535	0.07272	0.032579	0.055927	0.060742	0.062	0.059101	0.14858	0.039975	0.039233	0.024436	0.078721	0.043043	0.064987	0.054907	0.048921	0.03706	0.05171	0.12315	0.059733	0.052241	0.032167	0.046226	0.060079	0.036558	0.044113	0.30003	0.063351	0.069517	0.057856
Meth__cg25173010__TXNIP	0.064127	0.052564	0.17281	0.15058	0.043748	0.10269	0.064021	0.065867	0.76835	0.082891	0.089496	0.16712	0.094139	0.61957	0.074769	0.080199	0.17526	0.05574	0.035088	0.070078	0.10492	0.11551	0.11619	0.15152	0.14449	0.088625	0.07335	0.10159	0.075615	0.054608	0.053487	0.10545	0.040039	0.038146	0.055058
Meth__cg23706211__CELSR2	0.066642	0.084048	0.56494	0.28676	0.039293	0.72559	0.41593	0.44019	0.10187	0.049425	0.88545	0.47567	0.17902	0.10198	0.41362	0.25575	0.055823	0.14088	0.053288	0.10859	0.87533	0.7673	0.2634	0.15691	0.45314	0.1834	0.50101	0.071149	0.27864	0.095748	0.43932	0.18096	0.11298	0.090696	0.058996
Meth__cg27158867__LRRC56	0.047228	0.048805	0.50374	0.10377	0.036558	0.94071	0.05533	0.052334	0.036589	0.038517	0.068693	0.2363	0.36504	0.038971	0.92635	0.95764	0.39286	0.88907	0.03508	0.065666	0.94715	0.90834	0.1065	0.068941	0.079418	0.085114	0.13804	0.038544	0.19846	0.037956	0.037749	0.053788	0.037748	0.056607	0.041227
Meth__cg11618577__KRTCAP3	0.018845	0.56951	0.96911	0.97246	0.84277	0.97121	0.015931	0.027563	0.62178	0.32949	0.020156	0.46041	0.95464	0.692	0.018964	0.97336	0.056379	0.97335	0.31636	0.22678	0.9675	0.94986	0.34096	0.024756	0.039089	0.60624	0.87465	0.019757	0.96868	0.96901	0.97928	0.8934	0.97338	0.45358	0.016067
Meth__cg02859934__NAGPA	0.046641	0.034217	0.56697	0.21977	0.066158	0.42201	0.069501	0.032969	0.88653	0.078438	0.87362	0.92501	0.36766	0.67132	0.57115	0.16559	0.086049	0.85548	0.068313	0.049122	0.56242	0.81843	0.051573	0.098752	0.16437	0.091154	0.045426	0.37624	0.40376	0.050586	0.79911	0.09817	0.29614	0.051219	0.067586
Meth__cg11120551__CHD1L	0.039951	0.059117	0.065292	0.053246	0.05155	0.55393	0.036666	0.4563	0.179	0.050657	0.44983	0.41311	0.23806	0.18118	0.32312	0.22957	0.23681	0.094992	0.075375	0.040437	0.63684	0.56994	0.064353	0.1313	0.060335	0.10331	0.23722	0.070744	0.35371	0.05289	0.15739	0.095276	0.052946	0.041293	0.050127
Meth__cg25568243__C1orf176	0.028795	0.038664	0.026505	0.028266	0.027822	0.024973	0.036851	0.18016	0.024348	0.028134	0.02678	0.032113	0.50241	0.033379	0.029329	0.027012	0.07641	0.064941	0.036784	0.032415	0.035924	0.089014	0.040607	0.107	0.099011	0.047726	0.025987	0.027233	0.054883	0.020985	0.024166	0.046504	0.033781	0.13141	0.13325
SNP__GBP3	0.014	0.102	-0.219	-0.252	-0.189	0.15	-0.545	-0.062	-0.05	-0.463	-0.029	0.296	-0.172	-0.263	0.218	-0.037	0.3	0.226	-0.47	-0.55	-0.126	0.708	-0.172	-0.032	-0.063	0.266	0.462	0.202	-4.112	0.134	0.043	-0.3	-3.392	-0.366	-0.36
Meth__cg26799802__PHLDA2	0.023484	0.024867	0.034802	0.044648	0.02966	0.33547	0.027098	0.023858	0.051808	0.02731	0.37504	0.062222	0.046703	0.038605	0.036187	0.024913	0.046877	0.024703	0.027586	0.035426	0.030201	0.034512	0.032773	0.031426	0.046738	0.043085	0.050592	0.028535	0.021634	0.026925	0.017055	0.048301	0.036128	0.026866	0.025178
SNP__DMBT1	0.014	-0.15	-0.868	-3.561	-0.116	-0.159	-0.167	-0.078	-0.204	-0.008	-0.386	0.4	-0.208	-0.264	-0.305	-0.408	-0.268	-0.603	0.022	0.108	-0.167	-0.224	0.032	0.319	-0.043	-0.202	0.142	-0.198	0.033	-4.07	-0.254	-0.304	0.08	0.118	-0.366
Meth__cg00651216__HSP90AB1	0.05165	0.063254	0.9036	0.37792	0.25791	0.8788	0.45155	0.58833	0.34771	0.25853	0.23263	0.90971	0.32777	0.31024	0.26017	0.41064	0.42914	0.49139	0.34909	0.25878	0.42919	0.68549	0.14942	0.29603	0.15459	0.12561	0.26386	0.072957	0.10591	0.35643	0.19423	0.089229	0.049258	0.16207	0.11802
Meth__cg01646665__TMEM79	0.03049	0.039012	0.1084	0.15621	0.032032	0.7164	0.075569	0.52293	0.07336	0.035257	0.02801	0.75763	0.14043	0.085961	0.056613	0.084144	0.093932	0.042791	0.054557	0.041235	0.77509	0.36229	0.21729	0.067576	0.033162	0.04515	0.20351	0.062817	0.034564	0.076642	0.13033	0.030468	0.077972	0.033553	0.029956
Meth__cg03940103__CYP2S1	0.056395	0.05523	0.081061	0.064649	0.045254	0.80052	0.059796	0.06363	0.081701	0.063783	0.53828	0.055327	0.15819	0.085781	0.30153	0.081902	0.085589	0.099757	0.050334	0.061644	0.75111	0.11406	0.065175	0.10055	0.12904	0.094064	0.085861	0.063532	0.078855	0.053802	0.40804	0.13072	0.060995	0.080597	0.076005
Meth__cg19389852__TXNIP	0.13231	0.10742	0.13644	0.16075	0.090387	0.24217	0.12279	0.094132	0.8084	0.12219	0.17072	0.31131	0.21815	0.68849	0.18534	0.2861	0.20385	0.14739	0.090392	0.08394	0.21517	0.18007	0.18245	0.16292	0.28249	0.14786	0.2072	0.21648	0.16245	0.094552	0.13918	0.3132	0.092723	0.096135	0.099944
Meth__cg24371157__PDCD4	0.037293	0.036518	0.70389	0.043776	0.034335	0.048147	0.046362	0.036602	0.057385	0.062081	0.049714	0.054293	0.4906	0.07121	0.048697	0.15137	0.06501	0.035686	0.039228	0.045381	0.039812	0.068499	0.04663	0.04699	0.051958	0.078257	0.025666	0.028157	0.043668	0.13097	0.040118	0.051364	0.033665	0.032428	0.035241
Meth__cg15433631__IRX2	0.034033	0.025557	0.025097	0.035025	0.028499	0.97668	0.038359	0.018028	0.71319	0.026204	0.66898	0.048243	0.04517	0.68396	0.032383	0.54717	0.083174	0.52734	0.028307	0.028332	0.029109	0.91296	0.035833	0.088623	0.047535	0.067641	0.97356	0.034785	0.024954	0.02927	0.029128	0.121	0.03921	0.03867	0.031757
Meth__cg23851011__S100A16	0.10284	0.043774	0.13827	0.11181	0.81089	0.90687	0.058333	0.090119	0.24686	0.325	0.86289	0.10082	0.13793	0.26777	0.22441	0.71631	0.14131	0.21463	0.1266	0.37685	0.84095	0.53559	0.12775	0.16603	0.13271	0.14771	0.66489	0.12161	0.16343	0.064121	0.095325	0.18673	0.069763	0.063585	0.086039
Meth__cg15247144__PYCARD	0.045788	0.8494	0.94463	0.473	0.46517	0.94772	0.38721	0.5283	0.6656	0.056577	0.85047	0.076712	0.9023	0.56351	0.9403	0.030097	0.4034	0.55932	0.044847	0.042971	0.93394	0.89516	0.089545	0.045758	0.2289	0.68181	0.60547	0.024029	0.188	0.56146	0.59054	0.66795	0.044565	0.38681	0.47424
Meth__cg02718725__CNN3	0.095922	0.76956	0.65455	0.46418	0.685	0.066589	0.078282	0.1107	0.084016	0.15205	0.079197	0.086041	0.55908	0.098818	0.092466	0.068525	0.12611	0.063976	0.87256	0.84551	0.094955	0.17061	0.097633	0.1625	0.14765	0.35906	0.062677	0.086289	0.51229	0.067492	0.080878	0.15493	0.1228	0.38835	0.78004
Meth__cg03003745__UNQ473	0.023829	0.021727	0.24205	0.03205	0.024317	0.76967	0.032516	0.94579	0.87651	0.028213	0.33372	0.36855	0.11754	0.62171	0.24389	0.92538	0.28638	0.020053	0.022614	0.023669	0.83669	0.10883	0.025744	0.030464	0.069658	0.10154	0.58374	0.10797	0.067347	0.018647	0.049721	0.12986	0.020689	0.024956	0.018402
Meth__cg23214764__PRSS23	0.071324	0.81117	0.11693	0.12492	0.95764	0.062625	0.81121	0.055836	0.32516	0.87849	0.60011	0.18624	0.60655	0.23597	0.050302	0.045104	0.16567	0.033861	0.46026	0.1274	0.092856	0.077997	0.099317	0.099866	0.09123	0.69641	0.034932	0.52503	0.90554	0.3845	0.057084	0.088005	0.07065	0.87845	0.9223
Meth__cg22646528__DTNA	0.045559	0.039171	0.65757	0.027792	0.02191	0.17431	0.031678	0.014819	0.031174	0.042326	0.075074	0.12532	0.085997	0.032968	0.047898	0.038246	0.059582	0.045315	0.034192	0.04314	0.077705	0.046664	0.061854	0.099845	0.067619	0.084514	0.054112	0.025322	0.032593	0.040356	0.066968	0.11367	0.037351	0.024918	0.028962
Meth__cg06778853__PHF13	0.027601	0.037173	0.39143	0.072523	0.032744	0.74723	0.045369	0.075857	0.21965	0.065378	0.037821	0.35922	0.20064	0.20087	0.48976	0.11846	0.063346	0.49418	0.058379	0.061301	0.14834	0.77148	0.046739	0.10932	0.073	0.1318	0.28619	0.032478	0.94118	0.047873	0.46589	0.070447	0.046746	0.037272	0.32282
Meth__cg10240853__MOSPD3	0.029142	0.12589	0.40098	0.26804	0.053334	0.28186	0.089234	0.10632	0.40957	0.057163	0.090815	0.31399	0.24965	0.39113	0.11727	0.087286	0.062421	0.026019	0.17144	0.40461	0.1309	0.92973	0.48516	0.063643	0.051223	0.13104	0.039272	0.1395	0.039755	0.027801	0.51678	0.07106	0.039718	0.02811	0.034477
Meth__cg27126442__FLJ20184	0.081941	0.066341	0.17098	0.084869	0.053488	0.80101	0.073547	0.095299	0.13611	0.062922	0.57705	0.081641	0.12647	0.13255	0.089744	0.85559	0.12773	0.39584	0.067985	0.086515	0.80539	0.74841	0.058101	0.21432	0.10521	0.084814	0.76319	0.10908	0.56547	0.066278	0.086997	0.23375	0.081263	0.072746	0.077057
