Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G14073__MARCH3__MARCH3	2.7745	3.2569	2.3112	3.8079	7.2639	3.9127	3.3371	3.5078	4.7162	3.7624	3.8529	2.2062	4.095	4.8337	3.733	3.2795	3.1876	5.5727	4.1582	4.2518	5.4319	4.115	5.8431	2.9157	3.9047	8.6586	3.2788	3.641	1.93	5.5269	5.393	3.9215	5.5492	4.9057	4.0362	3.6738
RS_G17185__KRT10__KRT10	5.9492	5.2209	5.8283	7.371	5.8476	5.9456	4.4498	5.5632	5.1588	3.8022	5.252	5.0225	4.9118	5.9015	6.2218	6.2536	5.6795	5.1414	4.6376	5.4135	5.0366	11.1479	6.0369	3.6436	3.5636	5.0658	7.0161	4.5832	5.4914	6.0834	6.391	6.5887	6.7935	4.6743	5.3914	4.6275
RS_G29729__AP005482.1__AP005482.1	2.0156	0	0	2.4431	1.1703	1.2065	2.0745	1.2933	0.75134	0.90003	4.1387	1.6137	0	0	1.8585	2.0315	3.0763	2.4112	5.0255	2.7345	1.8579	0	4.1441	1.8898	1.7327	0	0	7.4059	4.7461	2.2104	2.8134	0	1.967	4.4917	3.877	1.9226
RS_G14072__C1QTNF1__C1QTNF1	1.9438	1.9267	0.35292	1.4322	0.31863	0.33165	4.9839	3.869	2.058	1.4527	2.1146	0.92407	5.6534	3.4904	7.0619	4.1833	2.7546	1.8083	0.32078	0	1.0256	3.8759	0	0	0.54519	8.8061	3.8627	0	7.7482	0	0.92424	0	0.65712	2.3565	0	1.5423
RS_G7727__DUOX1__DUOX1	1.4964	0.31093	0.28904	2.2162	0.41212	1.2062	4.1596	0.88339	0.32501	0.12922	0.62883	4.2651	4.978	0.98382	0.63747	1.434	2.8116	0.46676	0.18092	0.6225	1.7968	0.52095	0.53163	0.71698	1.3439	1.7641	0	0.70113	2.5207	2.265	4.6581	0.56659	1.1404	0.87157	1.2028	0.87454
RS_G8454__PADI3__PADI3	0.46584	6.8211	0.54552	2.2372	0.43485	0.3183	0	1.8696	4.2999	1.9093	0	5.754	5.4543	9.8003	2.9407	1.0326	0.40476	0.42128	6.6389	2.5696	1.7243	6.681	0.35983	0.59354	0.41031	0	4.097	0.41693	0.315	0	4.6738	6.8956	7.7006	4.0201	2.2637	0.52515
RS_G10060__WNT7A__WNT7A	0	0.25843	0	0.29061	0	0	5.6309	0.17319	0	0	0.78406	7.7833	5.9134	0.27412	3.6197	0	0	1.9243	0	0	0	2.5582	0	0	0.86159	0.71338	0	1.2965	0	1.2984	4.7626	0.79903	0	0.80956	0	1.6436
RS_G12720__CMAH__CMAH	0.48171	5.6554	5.1662	4.0198	2.0013	5.0915	2.5327	4.4091	1.3797	0	0.089889	0	4.3521	0.4123	5.4981	2.3863	1.1419	2.4096	0.19054	2.3585	1.4728	6.2953	0.41732	1.4534	0	7.6795	6.3681	0.33939	3.9595	2.7635	0	0.63247	0	0.8565	2.4873	4.7647
RS_G2058__PTGS1__PTGS1	1.2823	5.5913	0.41366	0.89833	0.19889	0.15627	0.3255	0.42546	1.1935	0.50646	0	3.0479	5.1685	2.3629	0	0.59629	4.5669	2.8314	3.7334	1.0897	1.5971	1.4029	0	0.14514	0.49771	0.40252	5.6939	0	6.3472	1.0494	7.7469	0.65876	0.72306	0	0.28281	0.28682
RS_G13151__CHRNB1__CHRNB1	4.1266	5.62	3.3505	3.996	4.6512	4.5831	3.8844	4.1756	3.4636	4.0981	4.9716	5.7781	4.9033	3.0916	4.7566	3.5569	4.1822	5.1481	3.6408	4.0099	4.2154	4.1532	8.963	3.8903	4.0984	5.7327	4.5907	3.9315	5.1261	4.9361	4.862	5.0347	5.0461	4.8739	3.9599	3.1297
RS_G15547__GAS1__GAS1	0	0	0.20138	0.62347	6.8017	0.35442	3.9425	6.4901	0	0	4.9514	0	3.5582	1.1793	5.7523	4.7642	3.202	3.9524	0	0.34607	0.64055	3.8028	0	1.0246	0.98655	6.4512	0	4.0824	5.0688	0.10817	3.4259	0.80311	0.55514	0.12587	0.66117	0
RS_G13287__HOXB9__HOXB9	0.35693	0	3.9845	0.71643	0.35586	0	0.30977	0.40438	2.9167	0.26024	3.9151	4.3474	3.9374	3.1658	1.121	4.0206	1.9987	1.8404	0.98759	0.58499	0	0.30031	5.7397	2.2944	0	0.38427	0	0.48243	0	0	5.3807	1.8711	3.8828	4.1487	0	3.3937
RS_G5403__TWIST1__TWIST1	1.1861	0.26983	4.0614	2.5713	7.0209	4.5511	4.8892	6.1671	5.4578	0	2.0334	3.7229	0.6241	2.8708	3.3893	5.7755	0.27115	6.474	0.1556	3.8512	4.3436	4.386	0	2.9119	0	3.4374	0	9.2954	6.6104	1.3277	5.6725	0.46509	3.096	0.62456	5.3279	4.0443
RS_G1450__HOXA9__HOXA9	0.17011	0	0	0	0	0	4.2747	6.0684	0.42162	1.0745	0.51342	2.9381	3.8685	6.2627	0	2.0643	3.0713	5.5064	0	0.1108	0	1.3105	0	0.20088	0	7.564	0	0	4.3002	0.78151	3.8141	2.6181	0	0.14669	0.54402	0
RS_G12178__SERPINB7__SERPINB7	0.9442	0	0	0	5.6432	0	4.7067	3.7483	0	0	5.5995	5.3599	5.0834	3.2114	4.5919	3.2161	2.0948	3.124	0	0	0.75502	3.0792	2.3119	0	0	9.9222	2.1682	0	4.6954	0.18709	3.6766	0.6301	0	0	0	0
RS_G16526__ALDH1A3__ALDH1A3	6.9869	6.6244	3.4412	2.4634	1.2073	2.8938	11.2405	5.3582	10.9346	1.4376	5.1885	8.2874	10.8421	12.6084	10.846	3.2546	8.3779	5.4292	5.6338	1.6124	1.2527	9.3386	4.3207	2.1737	1.7792	7.1079	7.9504	1.5677	6.6021	7.6667	9.1305	3.6909	6.7618	5.3565	5.1568	3.5552
RS_G14203__IL20RB__IL20RB	2.3285	2.3977	1.9633	2.6694	2.9313	3.6584	3.7298	3.6464	2.6596	2.0501	4.4568	7.3998	6.0774	2.1694	3.8537	4.2693	3.4924	3.1903	2.3034	3.4285	1.2384	2.9665	2.316	2.3458	2.0891	2.8672	1.235	3.8664	6.4871	3.0164	8.9032	4.6157	2.8394	2.9918	2.5497	2.8662
RS_G7555__CTSL2__CTSL2	6.6635	6.2586	5.6688	5.1485	6.7847	5.8017	11.2857	5.654	7.0295	4.9705	6.5726	7.1559	7.1125	7.6576	7.9326	7.0231	7.0512	0.64634	5.9428	6.6346	6.2477	5.3029	3.8935	4.8953	3.6966	6.2073	5.8886	3.3803	4.4155	6.5763	7.4402	5.8106	7.3226	5.8826	7.0084	6.0221
RS_G9666__DPYSL4__DPYSL4	2.1402	2.0732	0.10834	2.7477	6.5065	0.36733	0.66651	6.9015	0.20354	0.57452	5.8937	5.5149	3.6203	0	0.89312	7.2924	0	8.4033	5.9845	5.4214	7.126	3.1706	0.18027	2.5149	2.3566	4.7578	1.5021	3.1696	0.35504	3.2394	0	5.5632	1.3874	7.3126	1.3908	0
RS_G45__SLC7A2__SLC7A2	2.2979	5.257	6.0287	7.8315	0.033499	8.2847	0.21791	3.4194	4.3532	8.2226	3.5612	3.5354	0.61206	0.31931	0.37847	1.1688	0.031074	6.2103	6.5939	10.1412	1.0726	2.6761	5.3274	3.6823	0	3.9993	0	1.1459	2.7482	0.33549	0.46914	1.0828	0	4.9194	8.416	7.9142
RS_G5137__PCDHB8__PCDHB8	4.1245	0	0.40791	0.19959	1.1122	0.29489	0	4.7627	1.7502	1.5596	0.8932	0	4.7931	0.92476	0.75205	1.2825	3.5918	3.0537	5.0151	3.7676	2.0712	4.0203	0.57331	2.9026	0.48847	1.3015	0	4.5919	0	2.5263	0.94975	0.21773	6.7331	0.99402	0.27829	1.5526
RS_G11040__RBP7__RBP7	2.5571	1.1604	2.4051	2.7369	1.2423	2.0812	5.8017	2.4859	4.0832	6.599	0.70929	6.9348	5.6841	1.4072	1.491	3.2908	1.3599	1.9102	1.3471	3.4292	2.3221	2.4849	0.5881	2.2494	1.3534	1.5946	0	1.8559	2.5046	1.9795	2.9517	1.5544	6.9952	4.2168	2.0234	1.3543
RS_G17307__KRT14__KRT14	0.24717	1.1678	1.781	1.2666	2.595	1.5424	12.9384	11.6802	1.0895	3.3626	2.6226	13.5674	10.8786	2.5079	9.1398	0	7.7913	12.0549	2.3875	0.29759	0.44893	10.8776	0.91201	0.29051	5.7017	12.4619	0.54968	0	7.0103	6.5301	4.5846	0.71452	0.85755	1.1256	0.41714	0.5899
RS_G18160__AC110754.4__AC110754.4	3.9514	0.83267	6.4627	8.8805	0.22701	6.9764	1.6741	1.5048	2.9835	9.6862	2.0801	1.2005	1.0817	1.1314	1.6006	1.8395	0.67116	1.6999	9.1222	7.6365	6.6115	1.3	1.7317	8.7503	0.67996	0.23067	0.52524	1.0029	1.9295	1.1951	2.3357	2.9101	7.4037	8.649	8.6863	4.9591
RS_G386__CNTN1__CNTN1	5.1297	4.4821	4.0003	1.6827	0.2822	2.6966	1.4143	0.16983	5.5541	0.38665	0	5.2014	7.4095	5.7192	3.524	0.40369	0	0	0	0	2.5186	0.56659	1.6466	1.0276	0	0.55872	1.9387	0	4.7842	2.2935	2.9306	3.7199	0.17292	1.5049	4.0685	1.9316
RS_G7654__SYTL2__SYTL2	3.1117	0.55508	6.2717	6.9293	4.6446	4.3787	1.7257	3.0294	4.8414	5.7259	3.8285	0.45561	2.6069	7.3332	4.9358	2.1209	6.0929	1.5622	5.7605	8.5593	5.7273	1.8735	3.9775	3.016	2.7933	2.52	1.7332	1.8466	2.4806	3.8628	1.5828	3.198	3.5101	3.9795	4.6369	4.0389
RS_G2407__GALNTL1__GALNTL1	2.7185	1.4373	3.4989	3.4628	4.2839	5.3036	1.4688	1.4409	1.9837	2.218	0.43896	0.71371	1.6141	0.38746	2.6977	1.8837	3.2399	4.0921	5.064	2.5198	7.2783	1.3518	1.3157	3.6006	0.31102	1.207	1.5418	5.9632	0.8547	2.6105	0.50251	0	1.8633	1.7732	2.517	1.8036
RS_G13457__KRT13__KRT13	4.7028	5.6353	0	10.5246	0	0	3.7695	0.17168	0.96284	8.3302	0	10.7883	10.8032	4.6532	0	0.28252	0.37577	0.17184	3.975	0.28982	0.94145	5.2467	0	0.39019	0	1.1797	5.3517	0	0.53341	0.75767	8.4012	4.1338	6.7909	6.459	4.6193	0.40504
RS_G10720__TFF1__TFF1	9.5716	6.8461	12.1442	15.3072	0	8.1211	1.5719	0	12.8985	14.5477	1.9333	1.5228	4.0155	4.0294	0	0	0	3.3081	14.9851	14.3712	8.4157	10.5333	4.5944	14.5594	6.0558	0	3.1878	1.9663	2.5271	2.6641	2.5734	1.4334	3.9827	16.1221	11.9576	13.9006
RS_G2016__COL9A3__COL9A3	1.4993	4.0111	0.88215	3.5012	1.2322	0.70713	6.8804	0.60545	2.0714	1.1249	5.9643	2.9465	2.6759	0	0.21295	2.7092	0.925	0.61144	3.7968	1.6879	3.6563	4.4015	0.36722	3.2525	4.299	9.0893	0.38251	0.35941	9.2432	5.9379	4.908	2.9855	4.585	7.0235	1.077	0.53092
