Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg08896053__SNTG1	0.64157	0.038702	0.81728	0.18316	0.42803	0.86221	0.20993	0.67814	0.15686	0.27086	0.85722	0.5118	0.43229	0.43253	0.15054	0.63152	0.49782	0.10593	0.039733	0.80704	0.65655	0.090134	0.55273	0.49023	0.056556	0.086574	0.1447	0.053016	0.053245	0.06062	0.082041	0.076758	0.77046	0.66211	0.11173	0.073924	0.13104	0.61557	0.15588
Meth__cg03922337__RRAS2	0.34336	0.064436	0.43942	0.6309	0.071619	0.53337	0.049967	0.79527	0.060353	0.69102	0.09781	0.068058	0.18893	0.36122	0.072051	0.10142	0.054537	0.1281	0.041866	0.46357	0.94851	0.051511	0.73957	0.094221	0.10195	0.4358	0.080094	0.088422	0.31526	0.068137	0.053879	0.32831	0.23189	0.14639	0.055029	0.050125	0.20552	0.59212	0.096798
Meth__cg25421647__UBE2L3	0.95923	0.75787	0.81081	0.85038	0.35562	0.94125	0.30727	0.52885	0.044004	0.94167	0.77196	0.37077	0.46985	0.74088	0.052819	0.087789	0.054707	0.092235	0.49996	0.9061	0.58185	0.038977	0.73624	0.56619	0.12315	0.22728	0.079079	0.60317	0.53989	0.031005	0.027114	0.058922	0.14737	0.04905	0.078067	0.11481	0.54005	0.15117	0.46352
Meth__cg11161417__SPACA3	0.43819	0.050059	0.74198	0.7493	0.066199	0.15774	0.060436	0.10031	0.27516	0.078735	0.4521	0.22549	0.37659	0.02725	0.18119	0.13956	0.082687	0.075898	0.040048	0.51375	0.89417	0.056901	0.91535	0.10209	0.12348	0.065276	0.20079	0.058169	0.087799	0.037772	0.05	0.029491	0.64354	0.083333	0.03902	0.58537	0.10791	0.078228	0.14323
Meth__cg10530733__GPR173	0.37395	0.016204	0.37138	0.1511	0.061402	0.07803	0.09552	0.073673	0.10949	0.28679	0.44534	0.72474	0.17302	0.022888	0.078097	0.22199	0.031623	0.03888	0.023633	0.13418	0.28393	0.043981	0.7125	0.26934	0.17103	0.030452	0.026746	0.035521	0.055244	0.037207	0.018375	0.025166	0.062689	0.21285	0.041553	0.19587	0.030858	0.13603	0.030772
Meth__cg21640749__CD300LF	0.94516	0.048486	0.94673	0.89399	0.19989	0.88227	0.8872	0.90961	0.035293	0.88999	0.61518	0.93071	0.88705	0.011956	0.095293	0.51567	0.92805	0.070262	0.022393	0.85735	0.89567	0.11656	0.95418	0.25516	0.72656	0.028655	0.23132	0.029283	0.063378	0.40347	0.034431	0.026566	0.91684	0.59803	0.088723	0.94524	0.51141	0.096181	0.6043
Meth__cg06226384__CACNG5	0.082869	0.025691	0.36747	0.09534	0.056227	0.11916	0.05625	0.25292	0.049696	0.033985	0.097543	0.080853	0.092099	0.021404	0.052564	0.040031	0.029412	0.083991	0.043695	0.10897	0.085191	0.033359	0.65839	0.078658	0.024166	0.071096	0.050638	0.050896	0.047782	0.018715	0.049072	0.03811	0.094811	0.048468	0.055541	0.05024	0.038335	0.073298	0.03692
Meth__cg21271753__TMPRSS6	0.86671	0.49855	0.92521	0.89766	0.078594	0.65993	0.78163	0.70067	0.03768	0.86466	0.33681	0.76466	0.85426	0.034332	0.033462	0.268	0.44706	0.041503	0.023826	0.92671	0.94495	0.83386	0.96446	0.43117	0.82939	0.050457	0.89106	0.26341	0.32965	0.028834	0.046778	0.095556	0.88811	0.23005	0.12993	0.93928	0.66753	0.20721	0.64867
Meth__cg09867835__GLP1R	0.15352	0.10312	0.86711	0.63697	0.13408	0.65337	0.054279	0.19233	0.11382	0.82283	0.72702	0.35199	0.60813	0.098182	0.13977	0.40053	0.09669	0.12185	0.085549	0.36926	0.67857	0.1114	0.4987	0.21352	0.45995	0.14169	0.13739	0.36847	0.095833	0.10138	0.10992	0.090277	0.72046	0.46237	0.171	0.44269	0.12394	0.63834	0.2224
Meth__cg24642468__MGC33367	0.17444	0.056943	0.74341	0.66744	0.075289	0.082155	0.097318	0.096016	0.065761	0.22129	0.37405	0.1773	0.075897	0.095433	0.072137	0.068943	0.48779	0.1303	0.076711	0.33232	0.91326	0.09377	0.92181	0.11093	0.072848	0.10182	0.082002	0.063595	0.11388	0.31152	0.066395	0.070419	0.32362	0.25109	0.13603	0.842	0.21095	0.10893	0.14699
Meth__cg14894216__CATSPER1	0.22781	0.10667	0.76334	0.42162	0.095629	0.31169	0.16354	0.47553	0.12248	0.14807	0.28099	0.53892	0.44097	0.092901	0.1176	0.55625	0.10633	0.23094	0.11407	0.23439	0.36617	0.14918	0.80384	0.83939	0.11046	0.10566	0.079673	0.20462	0.15314	0.11629	0.054128	0.11648	0.16649	0.22973	0.13015	0.14059	0.09937	0.16053	0.10644
Meth__cg24891133__FLJ14834	0.074616	0.020355	0.25908	0.72085	0.61114	0.65806	0.58378	0.91216	0.023928	0.91239	0.95223	0.023076	0.37489	0.020067	0.020014	0.61629	0.4037	0.061959	0.024246	0.7095	0.95563	0.050173	0.53177	0.49897	0.86351	0.033887	0.021401	0.19028	0.034795	0.01863	0.018953	0.055841	0.60859	0.47313	0.050931	0.025819	0.17143	0.64535	0.17611
Meth__cg02998425__ADAM21	0.91957	0.022214	0.87992	0.61775	0.060832	0.59729	0.097906	0.96052	0.88027	0.34254	0.65188	0.48407	0.28164	0.037316	0.54179	0.43903	0.74457	0.072522	0.041828	0.33397	0.92567	0.03813	0.94117	0.0625	0.22864	0.034629	0.12901	0.061863	0.058077	0.14016	0.24169	0.031694	0.77112	0.36878	0.023889	0.51482	0.55082	0.61029	0.31261
Meth__cg17738194__GK2	0.2854	0.0403	0.67279	0.65898	0.051928	0.30027	0.17727	0.67077	0.2708	0.088837	0.31965	0.14481	0.10723	0.36774	0.18938	0.054696	0.049814	0.12751	0.057124	0.25561	0.59408	0.067202	0.82423	0.24394	0.30908	0.083183	0.055898	0.072635	0.10443	0.089106	0.26769	0.084203	0.35298	0.3278	0.10937	0.17244	0.13877	0.60246	0.10243
Meth__cg04435420__SGCD	0.94967	0.011841	0.95624	0.42174	0.5429	0.93195	0.39182	0.3897	0.017511	0.3225	0.4962	0.24807	0.25358	0.038939	0.031931	0.044707	0.073266	0.046859	0.015378	0.20578	0.95163	0.040003	0.9686	0.5343	0.091122	0.04212	0.02408	0.13328	0.023639	0.79482	0.086961	0.117	0.94636	0.65412	0.040439	0.11009	0.79907	0.58377	0.90992
Meth__cg00848728__DAB1	0.94101	0.017176	0.96362	0.34531	0.56175	0.95829	0.10491	0.71998	0.0096605	0.026253	0.90055	0.67059	0.87854	0.067928	0.014218	0.018025	0.031821	0.024429	0.015436	0.95484	0.72237	0.055309	0.92636	0.75462	0.027965	0.020141	0.26553	0.26453	0.01169	0.1171	0.019876	0.024348	0.95724	0.49843	0.054146	0.89796	0.027976	0.87281	0.44588
Meth__cg04172348__SYN2	0.80988	0.063827	0.94073	0.86205	0.8493	0.91053	0.18852	0.94075	0.058421	0.92387	0.05796	0.088019	0.90513	0.47815	0.069229	0.053123	0.084716	0.18587	0.10869	0.82197	0.88635	0.044455	0.92515	0.88641	0.71732	0.17303	0.042859	0.24606	0.09482	0.043517	0.045506	0.61027	0.94575	0.41927	0.13652	0.89902	0.61256	0.41789	0.71698
Meth__cg26366091__CHI3L2	0.11997	0.1181	0.82538	0.85301	0.58066	0.6766	0.64912	0.66206	0.15017	0.78447	0.15538	0.092481	0.21476	0.23633	0.13057	0.10375	0.029111	0.10985	0.15361	0.87699	0.8948	0.32774	0.69396	0.8636	0.48284	0.6345	0.10907	0.095689	0.15469	0.1068	0.1046	0.11267	0.82439	0.31266	0.21918	0.73033	0.71054	0.40125	0.74038
Meth__cg21672276__ZNF502	0.84258	0.070268	0.86361	0.3332	0.29973	0.86559	0.3928	0.91511	0.078292	0.41133	0.86314	0.092186	0.71265	0.73769	0.070399	0.06408	0.28875	0.14175	0.069482	0.64194	0.51702	0.21546	0.41774	0.46644	0.081678	0.13783	0.065563	0.074343	0.18066	0.061979	0.099225	0.098069	0.33501	0.61561	0.17693	0.34355	0.40936	0.78131	0.31193
Meth__cg00750606__CDA	0.10318	0.045827	0.57017	0.31393	0.035957	0.096597	0.12949	0.95213	0.031201	0.078636	0.05147	0.32083	0.85234	0.022681	0.034536	0.13324	0.071177	0.038971	0.019841	0.34309	0.83927	0.054719	0.91477	0.12377	0.049706	0.051556	0.071096	0.079212	0.030739	0.040583	0.036845	0.07249	0.51072	0.41501	0.063942	0.36087	0.047589	0.061442	0.05244
Meth__cg17833578__LRRC21	0.48064	0.15812	0.80821	0.63318	0.041656	0.30853	0.15052	0.61712	0.3676	0.15505	0.8649	0.15877	0.15928	0.039903	0.25862	0.22835	0.47329	0.10281	0.058194	0.4093	0.38024	0.10246	0.8766	0.077341	0.2419	0.040465	0.087474	0.074189	0.18328	0.067787	0.07058	0.060477	0.25087	0.090394	0.12187	0.76455	0.12924	0.15163	0.13291
Meth__cg17484237__HAVCR2	0.63833	0.081088	0.74405	0.52954	0.11758	0.3671	0.12127	0.41091	0.55491	0.44532	0.43285	0.13247	0.18948	0.051364	0.45752	0.2191	0.57787	0.12073	0.080539	0.16878	0.6839	0.068375	0.83358	0.13044	0.10128	0.1059	0.35435	0.061714	0.11076	0.056558	0.089201	0.12812	0.71769	0.13574	0.29381	0.67924	0.54764	0.27615	0.31167
Meth__cg08527127__C1orf94	0.55969	0.085176	0.90077	0.54252	0.15005	0.11772	0.66519	0.78273	0.048963	0.84332	0.25755	0.89986	0.74375	0.042105	0.052638	0.13585	0.076334	0.09418	0.047802	0.37123	0.91434	0.11506	0.91956	0.26383	0.41057	0.23115	0.13608	0.056109	0.18044	0.043352	0.13291	0.088038	0.68565	0.82339	0.11187	0.88869	0.5842	0.88446	0.11892
Meth__cg24691461__C20orf160	0.8394	0.079832	0.89205	0.81992	0.17804	0.66995	0.1189	0.77355	0.2566	0.40556	0.40246	0.73844	0.51108	0.033412	0.22119	0.51839	0.25019	0.058893	0.026793	0.64773	0.95364	0.23462	0.89795	0.07731	0.67668	0.050079	0.3666	0.20731	0.085586	0.048499	0.043172	0.039859	0.72586	0.30904	0.078389	0.81796	0.48052	0.091642	0.41438
Meth__cg10994126__PAPPA2	0.32681	0.047501	0.68813	0.40435	0.068571	0.22875	0.075578	0.21916	0.2929	0.057334	0.34384	0.077001	0.16041	0.046606	0.24462	0.1044	0.07025	0.12021	0.075551	0.15303	0.60923	0.07763	0.90604	0.16687	0.18354	0.11855	0.073768	0.051315	0.067987	0.070307	0.099684	0.2003	0.83404	0.060505	0.05618	0.27852	0.14631	0.062216	0.15285
Meth__cg07102705__HTR4	0.43928	0.015076	0.69156	0.66315	0.54811	0.71804	0.27792	0.97699	0.018113	0.76283	0.63935	0.93674	0.53858	0.21897	0.13335	0.039791	0.31391	0.030165	0.024775	0.51853	0.3596	0.33336	0.56007	0.77642	0.26399	0.020838	0.12915	0.15511	0.052542	0.71436	0.037525	0.04354	0.94685	0.68262	0.25524	0.021938	0.52498	0.89257	0.19737
Meth__cg17827767__LRRC21	0.62183	0.17726	0.94227	0.8664	0.077655	0.63996	0.091385	0.83861	0.58386	0.17983	0.91993	0.31077	0.12921	0.027831	0.4265	0.52902	0.9078	0.082295	0.03775	0.75731	0.504	0.061509	0.94794	0.064497	0.32436	0.047016	0.15903	0.045841	0.094905	0.32277	0.05735	0.042791	0.52179	0.13488	0.044926	0.77008	0.33146	0.048624	0.42426
Meth__cg01851399__PKP2	0.054199	0.037204	0.050078	0.030731	0.85238	0.044428	0.06203	0.032354	0.063067	0.06194	0.047875	0.11162	0.15477	0.041352	0.065593	0.047652	0.26211	0.10894	0.56663	0.043366	0.040078	0.18541	0.040408	0.064107	0.052345	0.070875	0.31035	0.053376	0.092886	0.068659	0.034593	0.26088	0.036256	0.076885	0.06226	0.06128	0.049752	0.1691	0.048616
Meth__cg07711097__GML	0.10916	0.044799	0.9413	0.90593	0.21173	0.39699	0.84668	0.91371	0.15597	0.69177	0.85139	0.7763	0.74063	0.020881	0.19562	0.56019	0.81812	0.071994	0.016556	0.79967	0.7901	0.94323	0.97011	0.34313	0.80075	0.047148	0.24739	0.55998	0.049251	0.042108	0.049564	0.042415	0.82483	0.81052	0.089895	0.28551	0.075805	0.66189	0.074219
Meth__cg10743104__PDPN	0.35382	0.045283	0.92012	0.87458	0.54595	0.88752	0.039146	0.51603	0.039558	0.83144	0.89911	0.47323	0.50574	0.028819	0.056811	0.58801	0.0677	0.098741	0.037047	0.73309	0.93576	0.1697	0.26175	0.47707	0.71399	0.12389	0.052762	0.093706	0.052584	0.064577	0.057854	0.1567	0.93546	0.70774	0.27261	0.68396	0.81189	0.90123	0.67671
Meth__cg01429391__MYH7	0.90615	0.042018	0.92595	0.82942	0.098121	0.71005	0.40801	0.96181	0.8513	0.34268	0.54614	0.49982	0.67129	0.084423	0.48602	0.4831	0.90027	0.086409	0.043077	0.79407	0.65941	0.10386	0.90933	0.095178	0.28337	0.049523	0.31416	0.22754	0.045524	0.051614	0.051043	0.046768	0.83969	0.16497	0.18444	0.88966	0.36538	0.29036	0.52142
Meth__cg09076077__FLJ33860	0.9135	0.095383	0.88458	0.64237	0.20871	0.74994	0.46154	0.9471	0.071361	0.6525	0.89522	0.80475	0.78764	0.11208	0.1722	0.58229	0.62779	0.19752	0.044325	0.67228	0.89346	0.086079	0.94333	0.17611	0.71059	0.14736	0.38014	0.075764	0.092322	0.049679	0.040029	0.10275	0.20186	0.84222	0.073372	0.93637	0.086513	0.8404	0.0558
Meth__cg18995088__CXCL14	0.13009	0.06522	0.87864	0.73717	0.789	0.75714	0.43414	0.13569	0.057038	0.94561	0.94576	0.082846	0.92983	0.019361	0.076088	0.037238	0.14212	0.077735	0.021312	0.96279	0.45333	0.067882	0.84093	0.54491	0.17306	0.040077	0.040484	0.04542	0.061764	0.08888	0.040494	0.031228	0.95868	0.5601	0.70953	0.043346	0.91229	0.30979	0.95595
Meth__cg20030243__F2R	0.56872	0.042234	0.066928	0.072574	0.66316	0.076914	0.062801	0.072615	0.040184	0.058848	0.071318	0.062541	0.14267	0.02526	0.044075	0.051471	0.049737	0.055025	0.037081	0.090186	0.24898	0.061502	0.065067	0.71581	0.060732	0.061875	0.043407	0.05693	0.047979	0.040239	0.03439	0.058785	0.21993	0.21115	0.053096	0.095996	0.051347	0.087679	0.043503
Meth__cg20305726__DEFB126	0.84553	0.067179	0.39896	0.53729	0.12902	0.13963	0.14493	0.70556	0.86661	0.2429	0.1684	0.222	0.34411	0.10959	0.64192	0.18573	0.34381	0.12055	0.11242	0.17747	0.81303	0.082529	0.66084	0.1618	0.19259	0.17525	0.077722	0.087969	0.095123	0.13698	0.16958	0.12035	0.85177	0.19027	0.11168	0.20602	0.20741	0.11576	0.19035
Meth__cg21008828__TNK2	0.043356	0.047011	0.028024	0.052446	0.86446	0.036544	0.74698	0.027314	0.04717	0.030056	0.09977	0.31954	0.43672	0.042775	0.057457	0.20027	0.040599	0.11402	0.88348	0.041382	0.036777	0.91253	0.029495	0.081193	0.053028	0.084981	0.8072	0.22251	0.089224	0.9014	0.17314	0.61866	0.042944	0.028645	0.040547	0.046707	0.10201	0.058739	0.13607
Meth__cg23110514__LCE3E	0.34905	0.082072	0.57597	0.22851	0.12524	0.13915	0.25	0.32659	0.22142	0.17597	0.13352	0.33811	0.27781	0.062583	0.19853	0.11407	0.11807	0.15749	0.12018	0.13498	0.13716	0.14174	0.8463	0.1989	0.15125	0.12712	0.077676	0.12965	0.12186	0.10664	0.14818	0.12342	0.70117	0.14042	0.1284	0.078664	0.098409	0.069253	0.15376
Meth__cg27104271__SLCO2B1	0.20386	0.076145	0.77247	0.45474	0.050422	0.21907	0.39771	0.51522	0.077883	0.13397	0.16116	0.51634	0.26347	0.05733	0.076741	0.20016	0.3351	0.10292	0.06229	0.29975	0.76462	0.064062	0.55458	0.13106	0.17712	0.14824	0.19136	0.15828	0.10051	0.07606	0.064228	0.11198	0.34446	0.079155	0.11944	0.29328	0.18993	0.10005	0.17414
Meth__cg05512756__UGT3A1	0.50939	0.16207	0.84839	0.81495	0.061982	0.58542	0.056781	0.40288	0.42832	0.39305	0.32724	0.07168	0.18351	0.24759	0.28756	0.24918	0.22694	0.034235	0.027963	0.54255	0.89507	0.333	0.79291	0.073624	0.57414	0.059359	0.095598	0.15986	0.066896	0.097421	0.50352	0.029906	0.62772	0.10186	0.050439	0.81006	0.40941	0.7057	0.28747
Meth__cg06793062__CNTNAP4	0.85177	0.087703	0.88208	0.83149	0.084605	0.81059	0.065304	0.27456	0.040622	0.41517	0.86697	0.22813	0.11681	0.17806	0.03515	0.22075	0.21319	0.044883	0.031768	0.36119	0.9084	0.034443	0.84856	0.044343	0.50738	0.062114	0.3058	0.032183	0.069705	0.23254	0.60134	0.92679	0.87488	0.26958	0.028479	0.041662	0.70416	0.39476	0.62346
U133A__CST3	7.8659	6.7192	9.7824	10.026	8.2635	7.8759	8.359	7.946	5.0466	9.2058	9.3159	4.7632	4.5048	4.4327	8.171	5.8202	8.888	5.6844	9.0656	8.6406	9.918	8.8921	10.9584	8.5309	9.7941	8.7841	7.7873	3.9799	6.6027	7.7348	9.7141	8.1298	10.963	8.4317	8.6142	9.3117	6.7087	8.9741	7.6018
Meth__cg10098888__IRS1	0.020772	0.022124	0.72179	0.020586	0.95339	0.17659	0.94126	0.69546	0.9334	0.019234	0.63075	0.90594	0.91673	0.027478	0.87473	0.90383	0.37943	0.63659	0.94905	0.029943	0.023072	0.96015	0.021985	0.031584	0.031961	0.036965	0.9446	0.88569	0.039945	0.11373	0.95957	0.95856	0.021879	0.91119	0.13336	0.036661	0.080663	0.039228	0.025599
Meth__cg10331038__TNR	0.72192	0.10113	0.71691	0.65478	0.10661	0.31627	0.14802	0.55569	0.73842	0.30075	0.64481	0.70742	0.58222	0.062142	0.5837	0.40734	0.80283	0.15589	0.10515	0.18641	0.77713	0.090919	0.77064	0.17413	0.22302	0.18552	0.12184	0.10089	0.10235	0.10366	0.13604	0.10064	0.725	0.27883	0.084169	0.60593	0.16747	0.25234	0.19026
Meth__cg25681177__GAPDHS	0.86922	0.035781	0.7624	0.67321	0.073626	0.66002	0.19562	0.54981	0.022437	0.75298	0.25316	0.59743	0.50738	0.55088	0.026871	0.46011	0.39201	0.055809	0.020322	0.36131	0.93176	0.56633	0.45383	0.44287	0.67222	0.041747	0.34317	0.69803	0.052058	0.045291	0.088317	0.050538	0.69349	0.3732	0.092973	0.080932	0.38612	0.37392	0.34061
Meth__cg06252382__SLC31A2	0.1311	0.042777	0.67747	0.52699	0.22773	0.57259	0.10628	0.12955	0.030606	0.10514	0.48634	0.093404	0.087098	0.055336	0.033518	0.098846	0.40811	0.10841	0.41779	0.73849	0.95626	0.098875	0.11087	0.69174	0.31305	0.091714	0.037045	0.054254	0.039798	0.04632	0.031828	0.051191	0.54852	0.25864	0.12335	0.1048	0.26988	0.53513	0.91159
Meth__cg00840403__CHST4	0.68798	0.13743	0.59808	0.72164	0.17181	0.29794	0.14911	0.3626	0.13456	0.39528	0.29915	0.15736	0.72158	0.080954	0.15335	0.2376	0.089323	0.11359	0.1217	0.3702	0.77542	0.10685	0.72535	0.12549	0.42741	0.14759	0.11429	0.13671	0.24417	0.10142	0.10629	0.12731	0.81555	0.37496	0.2194	0.7805	0.36761	0.71773	0.39253
Meth__cg26643856__HLA-DOA	0.48349	0.026974	0.77737	0.66865	0.11739	0.48719	0.14452	0.78748	0.50781	0.39578	0.31022	0.54815	0.36664	0.021483	0.38165	0.1627	0.68436	0.064687	0.017583	0.24603	0.82099	0.089259	0.62537	0.11266	0.057215	0.035985	0.12057	0.075523	0.037677	0.14938	0.054486	0.024564	0.71925	0.22557	0.10966	0.70781	0.39178	0.42606	0.44354
Meth__cg14920334__GALNT8	0.86622	0.031051	0.89645	0.86855	0.048443	0.4768	0.1439	0.62693	0.033079	0.41421	0.56163	0.54566	0.37789	0.035953	0.15889	0.3405	0.60134	0.090739	0.047725	0.36942	0.92175	0.048727	0.82671	0.078784	0.8439	0.56727	0.44509	0.065001	0.057886	0.14025	0.31975	0.028127	0.89818	0.65404	0.13491	0.87436	0.27696	0.72561	0.23724
Meth__cg24949488__DNTT	0.42372	0.096279	0.84817	0.75592	0.08372	0.35639	0.11837	0.83895	0.67981	0.66379	0.2809	0.17602	0.35968	0.097555	0.39049	0.096892	0.71303	0.16543	0.053589	0.4392	0.92606	0.060641	0.91575	0.085451	0.32687	0.074141	0.065613	0.10979	0.20579	0.033616	0.10259	0.032597	0.34705	0.2166	0.048182	0.83443	0.3763	0.84104	0.22312
Meth__cg10305797__UNQ467	0.83815	0.081272	0.90325	0.80811	0.095983	0.77086	0.20791	0.82757	0.026652	0.74507	0.3895	0.85683	0.84607	0.023164	0.040603	0.51905	0.46435	0.035297	0.02241	0.84126	0.90815	0.16025	0.91508	0.10595	0.70273	0.10881	0.3435	0.21936	0.25599	0.26242	0.23914	0.037441	0.74012	0.69137	0.36993	0.85738	0.4162	0.78063	0.70979
Meth__cg19021732__C15orf29	0.086795	0.055691	0.15253	0.065406	0.071838	0.064341	0.13181	0.36019	0.06482	0.11144	0.078116	0.047544	0.073526	0.055051	0.076691	0.061652	0.058811	0.092566	0.04873	0.08251	0.14005	0.078753	0.060536	0.13514	0.084374	0.10558	0.054756	0.093478	0.059587	0.053395	0.057102	0.051362	0.11425	0.11312	0.041396	0.076883	0.055118	0.082559	0.0583
Meth__cg08397758__C10orf33	0.047195	0.060419	0.046762	0.039605	0.88177	0.074009	0.056765	0.04076	0.053378	0.051551	0.037272	0.12041	0.11133	0.04926	0.061005	0.050358	0.12013	0.071095	0.042098	0.045577	0.054977	0.063093	0.0406	0.053249	0.057831	0.054392	0.054714	0.05344	0.10227	0.8114	0.037196	0.043277	0.04183	0.043253	0.059265	0.049966	0.050382	0.077443	0.04376
Meth__cg05358291__CYP4F2	0.57188	0.13722	0.64031	0.46048	0.081393	0.12984	0.22739	0.33154	0.050121	0.2441	0.40592	0.77455	0.69082	0.10014	0.074021	0.28057	0.2285	0.20082	0.09047	0.56098	0.79837	0.22862	0.6646	0.081698	0.34512	0.16457	0.35984	0.14104	0.17988	0.064066	0.065684	0.096183	0.63916	0.53585	0.17106	0.42674	0.2318	0.14172	0.21704
U133A__ID3	6.5887	8.2017	6.292	4.9436	9.0818	8.7673	6.8911	6.2882	8.7247	5.5829	4.654	9.1626	5.6262	9.7219	9.16	7.4433	9.2935	8.3717	8.8993	7.6832	8.4068	8.3992	7.0932	8.1135	7.6525	8.5874	4.423	7.0461	8.3927	8.1339	8.6072	8.571	6.0519	8.38	7.5964	7.2625	7.3309	7.6576	7.1219
