Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
RS_G380__AC115090.8__AC115090.8	5.5401	4.5937	8.2773	5.6462	1.8168	4.4074	1.7069	2.3845	3.3208	3.0223	3.7229	1.0776	3.1471	4.6588	6.9533	2.4415	0.71518	3.2748	1.9988	4.269	3.2441	5.2386	4.9617	1.7625	5.7094	6.0719	3.1752	2.8722	3.1587	3.6614	5.309	4.1984	9.4664	4.9028	4.2942	7.7608	3.8001
RS_G16696__PRR16__PRR16	0.41506	0.24797	2.8974	0	8.729	0.51715	5.5895	5.757	0.29138	2.5036	5.5104	2.0171	2.0923	0.25845	0.70136	5.8394	6.3792	1.3786	7.437	0	0.88141	0.1435	0	6.9914	0.32306	0.65491	0	7.3612	3.379	1.7352	0	0	1.625	0	0.80822	0	0.6793
RS_G7338__SERPINE2__SERPINE2	2.3994	0.79327	3.83	2.2086	10.1196	0.18958	7.4411	11.5894	0.28363	0.46684	9.8235	6.7055	2.8475	7.0236	0	8.1647	6.4473	2.5456	9.5902	2.7962	1.3238	1.0935	5.4003	6.5495	4.3532	2.126	0	6.0111	6.9672	5.6749	0	0.83906	1.3572	0	3.4753	0.39899	1.5784
RS_G1328__ADD2__ADD2	0.20263	0.2254	0.4463	0.25086	0	0.13381	6.7679	7.3903	0	4.9889	4.1361	6.0514	7.516	0.33157	0	6.6719	5.0306	0.81879	0.28117	1.5899	0.13083	1.1201	3.7528	6.9199	4.0692	0.42801	0	4.463	6.2682	3.5953	0.073313	0	0.089001	0	0.18417	0	0
RS_G228__IL32__IL32	5.6181	1.7467	0	4.5202	3.1875	3.1313	4.4773	3.7172	1.0388	1.9051	9.5237	4.2661	7.5667	3.3088	4.516	9.905	3.9209	4.1936	5.3523	3.0265	1.7987	2.0232	2.6639	6.2951	1.4724	0	0	3.5915	10.3044	4.842	0	3.2789	2.4651	2.0844	3.6558	0	0.78332
RS_G2649__SRPX__SRPX	2.5884	1.0314	2.6197	0.97679	2.7858	0.26305	6.6006	9.7982	0.70231	2.9338	7.0833	1.997	1.2447	5.9047	0	3.9004	4.6477	1.8195	5.4903	2.0271	1.2433	2.542	2.1877	5.0677	1.48	0.77069	0	9.8027	4.4822	2.81	0	0	1.0759	0.18297	2.558	0	1.0927
RS_G8395__COL6A1__COL6A1	5.4602	5.1508	3.3975	4.7457	7.3394	3.4729	9.921	10.6743	1.6458	3.4276	8.8942	7.4773	8.2099	3.563	4.9196	4.938	10.6909	0.88895	13.8151	5.0202	3.678	1.0221	5.5817	7.6313	5.1513	0.86484	2.4509	9.1319	9.7023	9.4911	5.3568	5.7383	6.3313	0.58636	5.3044	0	5.3749
RS_G13254__IRX1__IRX1	0	0	0	0	0	0	9.066	6.4132	0	0	0.24446	2.8355	0.71958	0.25437	0	3.6235	3.7902	0	0.86673	0	0.14025	0	0	0	0	0	0	0	3.8275	0	0	0	0	0	0	0	0
RS_G13766__MUCL1__MUCL1	8.2971	9.2684	12.3825	10.0828	0	8.4661	0	0.90826	7.872	5.344	1.4703	1.545	2.4156	8.9393	4.3595	0	0	5.508	0	7.4503	7.7859	7.1029	9.5099	0	13.1852	9.8025	9.1199	1.9667	0.85403	1.8097	13.9402	2.6873	12.0261	12.0262	11.3802	4.4369	3.1773
RS_G6523__AKAP12__AKAP12	0.48642	0.34772	0.16809	2.1495	5.5885	0.33163	6.7678	0.96527	0.96731	3.3321	2.3494	6.1267	4.1382	1.0678	0	2.8552	8.078	0	5.7452	2.4205	3.1946	0.68596	1.622	8.2417	0.16066	0.07179	0	4.598	3.5179	6.5708	0.9599	3.6759	1.7645	0	0.4458	0.17669	0.6065
RS_G11747__CTSB__CTSB	9.8416	8.2842	7.3598	8.8658	10.7399	7.7915	10.2099	9.493	8.6772	9.5489	8.9823	9.516	9.74	8.7557	6.9166	10.2834	9.9357	8.3334	11.0293	8.6087	8.539	8.406	9.6896	9.0618	8.77	8.7307	7.9661	14.2059	8.7494	9.1268	7.5318	8.3295	9.5108	8.2755	9.6418	7.7713	9.0078
RS_G11321__IGFBP7__IGFBP7	0.48984	0.20472	0.64677	0.22802	4.9569	0.60953	10.1072	4.3762	0	0.96387	5.4059	8.8986	8.1983	0.71009	1.6	9.7724	4.1764	5.9428	11.5239	1.4949	0.22795	0	0.6282	9.8327	0.10584	0.93944	0	0.70873	4.6982	9.9865	0	2.6526	3.9518	0	0.57635	3.6665	0
RS_G8360__GRB7__GRB7	8.0056	12.1647	10.381	7.194	0.81984	5.4189	6.1071	2.0939	11.6616	5.7069	12.2019	5.2958	5.5994	12.9359	10.3673	7.5671	0.68484	7.2676	0.69935	6.6271	5.5221	6.5424	7.9202	4.3394	9.092	9.3835	11.2459	0	5.772	7.3719	7.0799	6.8735	11.3881	12.4499	7.0867	10.7332	7.2831
RS_G16369__FAM101B__FAM101B	2.9511	1.0265	1.5763	2.6268	9.3524	1.5603	6.5765	7.1081	2.1504	3.8254	6.532	4.3797	5.5651	3.7832	1.8953	4.0257	6.4778	1.8729	8.5698	3.835	2.3843	1.8116	3.9783	0.79962	2.1654	1.441	0.18891	6.972	2.6499	4.7299	1.4567	2.4444	0.63941	0.87185	3.7364	1.6195	5.4731
RS_G424__FHL1__FHL1	2.0586	0.14817	0	0.62912	8.4195	0	7.8581	7.6811	0	0.22544	5.2396	7.0935	5.4999	1.6533	0	8.1859	4.294	0.90187	10.0365	3.4656	2.4039	0.32044	3.163	4.1986	1.521	0.52788	0.9089	7.0593	5.007	2.9989	7.6498	0	4.6859	0	0.6065	0	1.4646
RS_G12975__IL8__IL8	2.4162	0	0.28144	1.3546	5.0009	0.48587	5.3182	3.6831	0.14355	0	4.1919	5.2983	3.3396	5.781	0.47263	6.7404	4.9168	3.9488	7.2819	0.81189	0.25768	0.38226	0.39364	6.1665	0.83746	0	0	0.44358	6.3091	0.69434	0.7175	0	0	0.18315	0	0.84389	0
RS_G12846__TMEM22__TMEM22	0.12489	0	0.32872	0.95172	4.2412	0.87813	2.461	4.4274	0.80793	3.5709	4.2807	6.2727	4.3571	0	1.7302	0	7.038	2.6853	6.3906	0	0.5475	1.363	0.4634	7.9347	1.5709	0.51138	0	0.28293	4.4032	4.1658	0	0	0.88919	0	0	0.62591	0
RS_G8410__EMP3__EMP3	2.911	2.2536	0	5.4885	10.665	3.4648	8.5826	10.5314	2.4683	3.5154	2.9505	6.6359	7.2148	2.5904	2.7206	3.8705	10.036	5.246	12.2115	4.767	4.5667	2.7647	3.9866	11.253	3.255	3.7386	1.1597	11.5916	9.0071	8.949	4.0601	3.8818	2.6646	3.4737	3.7137	2.9148	1.0148
RS_G920__BCAS1__BCAS1	6.6372	8.9475	11.0683	7.1505	0.93032	5.61	1.127	1.64	10.7186	6.2652	0.25653	0.51932	2.3365	4.0923	7.4486	1.1356	0.70967	1.8382	0.95512	8.6848	6.957	6.1282	6.1222	0.83247	6.1234	2.181	9.4061	0.49246	0.40769	1.9885	4.6113	6.1188	8.185	7.9615	7.2271	10.7575	7.9636
RS_G7892__FGF2__FGF2	0.3704	0	0	0.15516	7.5818	0	5.2899	3.8378	0.38255	0.26018	7.8975	2.3116	5.2507	0.14505	0	6.8459	6.6202	2.6134	4.9625	0.11633	0.15511	0.26957	2.1954	0	0.019091	0.20773	0	4.444	2.0561	2.5446	0	0	0.053869	0	0.72312	0	0.11461
RS_G11429__CXCL3__CXCL3	0.33948	0	0	0	3.4106	0	2.5204	3.2775	0	0	4.4838	3.1649	1.7437	1.4393	0	4.6319	3.5497	3.3576	4.5588	0.22001	0	0	0.6239	2.2938	0	0	0	6.9196	8.1321	2.8659	0	0	0	0	0	0	0
RS_G4225__SPARC__SPARC	0.1343	0.14978	0.094438	0.083816	14.1217	2.1509	6.2713	9.2733	0.091823	0.11392	4.201	0.91565	6.6944	2.2353	0	11.9638	11.47	4.5495	13.0059	1.8624	0.63481	5.5294	3.5813	6.8619	0.63899	1.2224	0	6.5885	3.3867	2.9029	0	0	0.40268	4.365	0.4355	0	0
RS_G12178__SERPINB7__SERPINB7	0.9442	0	0	0	5.6432	0	4.7067	3.7483	0	0	5.5995	5.3599	5.0834	3.2114	0	4.5919	3.2161	2.0948	3.124	0	0	0.75502	3.0792	2.3119	0	0	2.1682	0	4.6954	3.6766	0.6301	0	0	0	0	0	0
RS_G18399__COL27A1__COL27A1	8.0644	3.0828	2.0741	2.2689	4.6199	1.0949	3.2578	2.9569	0.90782	3.614	5.2826	5.3374	4.1576	2.523	0.41767	3.6506	5.6747	0.97574	3.8578	2.98	2.2347	3.7904	2.5515	4.1375	4.2895	0	0.59387	3.3792	4.4903	2.0487	0.68578	1.3211	3.9043	4.7673	3.7676	3.6805	2.8506
RS_G18078__SH2D5__SH2D5	0.21811	2.3234	1.2762	2.4179	5.7967	1.1809	4.2305	4.8873	0.91539	1.4472	5.1697	7.1606	4.7174	0.25198	1.0908	3.3957	4.006	0.24591	5.9778	3.6847	1.5134	2.4549	1.9279	4.9347	1.5129	0.72962	0	8.9352	3.609	3.6942	0.88422	0.72472	1.7876	0.9445	0.20018	0.16314	0.38111
RS_G7026__NGF__NGF	0	0	0	0.44039	8.2263	0	1.5055	5.462	0	0	0	5.0698	3.456	0.41902	0	7.7309	6.0518	0	7.9757	1.5749	0	0	0.80236	4.6169	0	0	0	4.7581	0.80466	3.6174	0	0	0	0	0	0	0
RS_G6440__COL5A1__COL5A1	3.8517	3.1224	0.40165	5.4151	10.1958	7.0167	4.1353	8.0257	0.059076	1.7108	0.44888	3.3905	6.243	6.8198	2.7499	5.9398	8.5532	1.3704	9.4954	4.8717	3.0794	0.85124	2.9642	4.163	1.235	0.099041	0.20663	2.239	5.6444	6.5509	4.9687	3.6637	2.6721	3.7828	2.6056	0.60344	1.0735
RS_G12786__IL7R__IL7R	0	0.251	0	0.50142	6.5911	0.28503	6.1027	3.2925	0	0	0.65531	4.9125	6.2297	5.4595	0	4.9738	6.5351	0.25223	5.1619	0	0	0	1.8082	5.4855	0.070492	0.82882	0	0	3.6661	2.0069	0	0	0	0	0	0	0
RS_G13634__ORMDL3__ORMDL3	8.4193	9.5287	11.0886	8.4463	6.0491	7.462	5.3419	5.8181	7.7038	7.7064	6.3208	5.9623	7.5485	12.5241	7.4138	7.1501	7.5026	6.3917	6.1295	7.3732	7.1072	8.688	6.953	6.6466	7.8685	8.3	8.3987	5.4837	5.5453	8.0346	6.6454	8.6298	11.0982	13.196	8.409	7.9766	8.0607
RS_G14674__FOXC2__FOXC2	0	0	0	0	0	0	5.0339	5.3056	0.44201	0.21381	3.25	5.8163	4.8008	0	0	2.4171	1.153	0	8.6324	0.64546	0	0	0	0	0	0	0	5.6112	3.0385	3.8454	0.5871	0	0	0	0	0	0
RS_G900__NGFR__NGFR	1.1441	0.38067	1.2778	0.88604	3.7143	1.2219	4.0738	5.5255	2.9879	7.1268	2.5018	2.9437	5.9425	1.2113	0.83527	6.9239	2.2422	0	0.47037	3.4035	1.7957	2.4715	2.6645	0	1.6963	0.27023	0.52661	2.0089	3.646	4.6135	2.3282	2.8422	2.3659	1.178	3.1049	0.090709	0.21761
RS_G2077__IL11__IL11	3.4847	0.65823	0.84332	2.3378	1.8507	1.5802	1.6045	1.9073	1.491	2.5485	1.9424	2.9882	2.5019	2.4814	2.6961	0.99259	8.3724	1.1164	7.9127	3.2063	1.2969	3.355	1.8068	7.0334	1.8519	1.8727	2.0687	1.0365	3.2079	4.6154	1.221	0.34981	1.0126	0.41818	1.2655	1.5182	1.2031
RS_G14071__HOXB2__HOXB2	0	1.4939	0.61128	3.8831	6.8712	2.1445	0	0.49328	8.0832	0.41649	0.51773	5.0166	1.9303	6.6224	6.3175	0	4.6361	7.1941	3.1744	0.43886	1.9508	0.16898	5.5597	0	5.126	7.0143	0	1.9493	0	5.4183	7.3697	8.5803	7.6631	6.7425	1.4454	11.1377	1.5406
RS_G7932__FBN2__FBN2	0.019862	0.045061	0.57831	1.1596	1.946	1.6834	5.1368	4.5745	0.054308	0.22874	1.2318	3.0649	0.29171	1.1022	1.0422	5.0247	7.6781	0.089204	5.8631	0.18858	0.47837	2.2476	0.32467	0.45439	2.9296	1.8496	0	0.99648	1.3781	3.0375	0	0.11434	0.25183	0.10081	0.49504	0.39176	0.20828
RS_G16371__NOG__NOG	1.0519	0	2.2697	0	2.4767	0.38977	5.9809	0.41694	0	0	5.9691	2.4824	4.4078	2.8449	0	1.7954	0.37246	0	1.2498	2.0981	0.67981	0.39325	1.9775	4.0505	0.28562	0	0	4.5948	2.2238	5.7748	2.1665	0	0.68639	0	1.1986	0	0
RS_G13364__S1PR1__S1PR1	0.14476	0	0	0	7.8764	0	3.4984	0.98351	0	0	0.43828	5.8564	3.4223	0.45575	0	0	5.1403	5.0119	0.46235	0.089312	0	0	0	2.0861	0	0.31238	0	2.4689	2.4788	1.6305	0	0	0	0	0	0	0
RS_G2087__CRISP3__CRISP3	12.2314	7.1355	1.9518	1.8899	0.23487	0	0	0	7.5024	2.8094	1.3866	0	1.6931	3.6823	4.0308	1.6394	0.1214	6.0817	0.26944	0.2365	2.9367	3.4422	4.0547	0	2.0069	0	8.4934	0	1.1939	0.36223	12.7601	5.5423	0.31278	3.7617	4.6837	8.2811	1.6889
RS_G9341__ANKRD1__ANKRD1	6.4828	0	0	0.8261	4.6532	0	6.6578	0.82492	0	0.1835	1.1514	3.337	4.898	2.6463	0	5.0848	1.2721	0.23193	3.6273	3.9893	0.25672	0	1.1723	10.4614	0.49467	0.6149	0.82193	2.257	3.3586	1.9709	4.3821	1.2895	2.7655	0	1.0823	0.28892	0
RS_G21732__AL136362.10__AL136362.10	3.6177	1.379	2.4086	2.3687	6.8619	2.9602	8.6421	5.8491	4.1982	5.6378	2.8629	7.9821	8.2796	3.0449	3.3737	4.9523	3.5242	4.687	7.4838	1.6056	2.2294	4.1893	2.5963	5.016	2.5979	2.9509	1.0728	4.8527	7.0765	7.1972	2.0514	2.0133	2.6182	2.1096	1.9024	4.1572	2.0164
RS_G8362__PNMT__PNMT	0.44623	4.8999	7.3726	5.2727	0	1.4466	0.33162	0.4332	11.4553	1.7285	1.4818	0.57924	0	3.0748	8.8248	0	2.0961	0.97013	0.42865	1.4931	0.68934	7.0506	4.7939	0	6.2953	2.8879	4.8305	0	1.6774	2.6683	0	2.3264	10.3755	10.719	2.1811	1.3782	0
RS_G13359__HAS2__HAS2	0	0	0	0	6.2901	0	0.50167	7.8174	0.34679	2.7205	0	8.4229	1.3124	0	0	0	3.943	0.54231	8.0381	0	0	0	0	3.7323	0	0	0	0	2.9735	1.4913	0.35491	0	0	0	0	0.19476	0
RS_G2995__SLC39A14__SLC39A14	6.5459	5.6769	5.6594	5.6152	8.7657	6.1716	7.0063	7.7195	6.3535	6.2607	9.1892	7.0224	6.7042	5.8478	5.3048	7.8421	8.046	5.0282	8.6902	5.9951	5.871	5.7726	6.4523	7.8138	5.2543	5.461	6.3889	11.4705	6.4913	7.4146	6.5071	6.5466	6.7714	5.9769	6.9246	5.5903	7.2669
RS_G5788__IL1B__IL1B	0.14002	0.15613	0.3529	0	0	0	0.51627	0.66274	0	0.44092	0.75842	6.6753	5.5354	1.8106	0	3.1962	2.2418	2.2872	1.4549	0.80447	0.16985	0.17979	0	2.9735	0	1.1158	0	0	3.2621	3.3672	0	0	0	0	0	0.20042	0
RS_G4624__GPX7__GPX7	0.58278	0	0	0	0	0	0	0.61279	0	0	3.9738	3.8643	4.113	0	0	0	5.5601	2.5917	4.9712	0	0	0	0	0	0.19675	0	0	2.9878	4.7546	4.2696	0	0	0.50597	0	2.0518	0	0
RS_G6664__C19orf12__C19orf12	5.2901	4.6834	4.1568	4.1753	5.9429	5.4421	5.5059	5.1282	3.2762	5.9192	10.2306	7.0074	4.5613	4.4557	4.5763	5.8258	5.5023	6.0136	6.1122	5.0795	4.739	4.7274	5.7909	5.5532	5.1078	5.4239	5.2103	6.8142	5.6709	5.1	4.5139	4.2824	4.5861	5.1794	5.2328	5.2387	4.7001
RS_G15166__FAM132B__FAM132B	3.6329	1.5782	0.57287	2.2309	5.0949	1.8967	4.6932	4.968	1.5716	1.833	8.137	2.1946	1.3189	4.7947	0.32541	3.4335	5.8446	5.0424	4.4631	2.6238	2.7471	1.6025	3.3489	5.3574	3.3649	2.0017	1.0046	5.1436	2.6266	4.5079	0	0	0.84686	2.9084	3.7901	1.3949	4.2921
RS_G8194__TGFB1I1__TGFB1I1	4.2726	2.3439	1.5566	3.0164	9.8909	0.51218	4.6719	3.9998	1.9533	0	6.8274	5.2331	4.7585	0.25652	3.2342	0.71603	6.9022	4.8033	9.6163	5.4314	2.0027	4.1516	2.6547	8.2845	0.19792	0	1.3892	0.97629	7.6316	6.9564	2.8172	1.8548	4.6982	0.10067	3.2699	0	2.7503
RS_G12839__VAMP5__VAMP5	5.7475	8.4989	5.1276	6.3466	1.0717	4.2899	3.8161	1.723	10.6318	7.4263	5.181	1.7151	4.28	5.4616	6.2318	3.5479	2.1294	5.8416	0.73065	7.4246	6.901	7.2724	7.3036	3.5044	5.257	6.3869	6.3121	1.0478	5.9949	5.0818	5.9869	5.1714	10.8607	9.1226	7.7928	5.751	6.4989
RS_G1983__CCDC80__CCDC80	3.047	4.5842	0.24634	0.95276	10.2098	0.12049	5.2177	5.0089	0	1.3406	1.1731	5.231	6.9418	3.9554	0.11679	7.2517	8.6794	7.4749	9.7159	2.3768	1.9402	0.12167	4.6807	6.4667	0.23618	0.2076	1.7652	4.6926	6.5604	6.081	5.2147	2.8761	0.70055	0	0.45007	0.42848	0.086745
