Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
RS_G10477__COLEC12__COLEC12	0	0.63558	8.1128	0.80205	0	4.195	1.1604	4.2167	5.2352	0	0.22341	0	0.47351	0	4.9758	2.7664	2.5115	3.3369	6.0277	0	0	0.68978	2.5487	1.441	0	0	1.1812	0	0.34827	0	0.43999	1.7849
RS_G2983__SNX16__SNX16	4.0779	1.6934	4.2149	4.1823	4.5164	4.3061	3.3166	3.6461	8.2469	3.5318	5.1328	2.4131	1.3807	3.4426	3.6058	5.2872	5.6931	4.6284	4.0156	4.3623	4.6342	2.7031	3.0069	2.1	2.7695	2.2722	2.668	2.6571	2.908	3.3002	4.4856	2.4767
RS_G28377__AL450306.14__AL450306.14	3.5215	4.8024	0.74196	2.0401	1.496	2.6412	2.3114	1.9374	1.9689	3.5546	1.9543	3.28	2.8507	2.0548	3.1078	2.2624	1.7205	2.1189	1.5042	3.2992	2.1669	2.5187	2.2729	3.5767	2.7609	5.8757	2.1186	2.6059	4.5232	2.9519	2.4941	7.538
RS_G12798__FAM178B__FAM178B	0.98678	6.1251	3.3804	4.5129	0	1.8948	1.2255	1.5866	3.0813	7.686	5.4392	4.6694	0.87177	0.22072	1.9869	2.1263	0	4.9947	1.438	3.3825	0	4.1486	0	4.8261	1.399	3.5345	6.4377	0.3566	2.3155	0	4.0431	0.92306
RS_G19397__L1CAM__L1CAM	5.0302	6.9187	1.3538	7.716	0.69507	5.9379	7.576	4.0551	1.4333	4.2916	7.5056	2.0386	4.8733	5.8085	2.8532	7.6995	6.3652	0	5.7132	6.7579	4.142	3.0137	0.26696	6.4653	1.738	10.535	5.6684	8.13	7.9265	4.4721	5.0006	0.9737
RS_G7254__AC021066.37__AC021066.37	8.1194	8.0151	1.9938	1.7593	0	1.8586	2.6817	0.47574	1.6761	3.8582	8.4794	1.4097	5.2308	5.7233	4.4262	7.9259	1.4142	2.5484	0.25763	1.7531	0.40172	4.3953	1.5203	6.4764	0	10.2525	9.2565	3.039	7.9921	3.4039	1.157	2.2421
RS_G2004__TGM1__TGM1	5.3721	9.4474	2.3286	3.8808	1.7513	2.7163	4.4828	2.8924	2.0639	4.04	2.0162	2.9572	6.9913	2.9415	4.3939	4.9255	3.0329	2.556	1.8108	3.719	3.1641	2.8856	2.5922	7.4251	2.4886	6.8145	5.2442	4.2484	3.6189	4.1613	4.3151	2.8052
SNP__IGL@	-1.694	-1.159	0.248	-2.86	-0.961	-3.126	0.818	1.28	-0.012	-0.384	0.122	-0.092	-2.723	0.714	-3.047	0.611	0.439	0.55	0.535	-0.171	-0.122	0.659	0.716	-1.059	0.226	-0.148	0.383	-0.163	-3.338	-3.43	0.757	0.514
RS_G12539__KLK6__KLK6	4.2761	5.0602	0.45573	4.9239	0	0.54484	9.0328	0	0	1.2661	7.0963	4.1068	10.7456	12.9326	0	7.5906	0.40914	1.5357	0.17355	2.5633	0	1.8049	1.0046	1.0202	0	1.5005	7.4241	10.6741	8.8709	0	7.003	0.72126
RS_G10396__MX1__MX1	5.0317	2.1882	2.341	9.7474	1.2107	2.9127	0.58267	3.4654	1.7872	6.108	12.6076	7.2285	8.2993	1.5829	7.8353	0.13769	5.2771	11.1388	0.88359	2.2	2.0846	2.1457	2.1832	1.2321	2.5812	8.0306	10.2882	4.8585	3.8153	7.6903	2.718	0.84851
RS_G18018__MAOA__MAOA	1.499	1.4209	1.6194	1.0587	0.45391	0.25499	0.84025	0.71244	2.1915	3.9341	1.285	6.3396	3.7694	3.3519	0.7258	0.82697	0.24317	3.7618	0.66434	5.926	4.261	1.9019	0.75157	1.8171	3.1022	3.848	0.34473	6.5254	3.8521	0.40455	1.4899	0.56698
RS_G11349__FBLN2__FBLN2	0.39761	11.101	0.2534	6.3401	0.23155	0.89252	10.8382	3.7514	1.0239	4.0648	5.9735	4.6059	8.1195	0.93459	0.43315	1.9516	0.6412	5.0908	1.9731	0.52712	0	6.3892	0	8.4706	3.8971	5.4564	7.4762	7.0764	7.3138	0	8.9052	7.0003
RS_G2877__XYLT1__XYLT1	2.0844	5.3814	2.4407	4.4724	0	0	0	4.3641	0.50241	0.97748	5.7699	1.0611	4.0689	2.9429	0.11321	0	0.084142	2.9742	6.5261	3.3908	0	2.621	0.37812	5.1266	7.6523	3.9492	2.7842	1.0292	1.651	2.5806	2.3564	1.7844
RS_G997__FGFR2__FGFR2	6.7022	5.8744	1.611	5.6493	2.4737	2.1401	6.0406	5.3776	1.1747	6.4531	5.7394	5.0247	6.4254	1.9971	0.7339	6.1453	2.2668	4.4544	0.65248	5.3212	0.28704	4.3772	2.1355	6.3649	1.6784	3.8017	2.724	4.0687	12.3848	7.904	5.7165	5.4987
RS_G12507__LY6D__LY6D	0	7.9331	1.51	0.56206	0	0	6.0624	0	0	0	0.89626	3.238	9.526	4.072	0	3.4716	0	1.1886	0	1.421	0	3.1397	0	5.8242	0	4.0858	6.2628	10.4361	3.3461	0	1.2481	0.42717
RS_G16187__BEGAIN__BEGAIN	1.5527	3.6808	0.77715	4.4646	4.2433	1.7438	3.3344	1.032	0	3.3095	3.7931	1.2583	2.6657	1.2259	0.77226	4.2185	1.838	0.71485	2.033	2.4041	0.49161	1.4905	1.4344	1.7416	5.0066	7.3112	1.8843	2.3465	2.027	1.75	2.1009	3.6259
RS_G6138__BAIAP2L2__BAIAP2L2	1.8619	4.4149	0.13304	1.6299	6.1142	1.2764	0.91234	0.473	1.6039	1.7708	8.4277	5.8264	4.8764	0.79441	1.5262	0.62381	0.59391	3.215	2.7982	0.90306	0	2.8525	3.8127	4.9919	2.553	4.3806	4.3333	1.6165	2.5815	3.6222	2.9765	0.92168
RS_G5550__INHA__INHA	2.803	4.8975	2.2334	4.1783	3.3355	2.7597	0.72731	1.7803	2.3328	2.9138	4.8991	0.72573	2.4269	4.5893	3.0781	4.3798	0.93674	3.1222	0.68198	5.2467	0	5.8881	4.6199	5.7173	4.7246	9.0315	3.2059	5.2734	8.0172	4.0025	4.4776	1.5657
RS_G3022__DHDH__DHDH	2.4187	2.2579	0	2.616	0.76248	0.93381	3.6498	0	0.9645	2.8425	5.3073	3.5907	4.9283	1.7072	3.3883	2.7314	0.60282	5.2884	0.84227	2.6151	1.1133	1.3322	1.9645	0	4.6054	2.7517	4.3504	4.0578	3.0985	3.2846	3.1819	1.8332
RS_G2058__PTGS1__PTGS1	1.2823	5.5913	0.41366	0.89833	0.19889	0.15627	0.3255	0.42546	1.1935	0.50646	0	3.0479	5.1685	2.3629	0.91684	0	0.59629	4.5669	2.8314	1.0897	0	0.14514	0.49771	5.6939	0	6.3472	1.0494	7.7469	0.65876	0.72306	0.28281	0.28682
RS_G8293__SLC39A6__SLC39A6	8.8456	6.3258	9.5638	10.7022	7.7275	8.8921	7.7677	9.1522	8.336	7.6195	7.5903	7.0645	5.996	7.6826	8.0269	7.5728	9.5847	8.0305	7.5875	12.8675	7.7396	8.3482	7.0986	7.6205	5.2143	7.2234	6.1811	6.7035	7.7701	7.9828	10.7897	13.4745
RS_G14942__PVRL3__PVRL3	3.0342	0	3.0716	0.94041	7.9748	0	3.0315	5.3155	4.3643	0	0.24295	5.4957	0.84611	3.2823	2.9367	5.4663	6.1654	4.3798	6.1795	1.504	7.1246	2.1541	1.4176	0	3.159	4.2008	0.6055	3.0716	0	0.55555	1.0069	0.80047
RS_G2581__WFDC2__WFDC2	5.881	0.54379	1.0823	3.5558	0	1.0374	7.1896	0	0.63224	2.3983	10.9307	5.6399	7.8153	0	0	0.61203	2.5221	10.1559	1.2948	5.317	1.7721	5.5543	1.9279	2.6788	1.7574	13.4728	5.7118	10.0536	0.64571	0.90703	7.0559	1.9893
RS_G8168__RHCG__RHCG	0	0.76408	0	1.7502	0	0	1.4873	0.74178	0.50384	0.96672	3.6706	3.1828	3.8711	0	1.3439	2.7996	1.6309	4.9588	0.29197	2.7627	0	1.7348	0	1.8421	5.4309	2.1324	3.9305	4.4168	0	2.9171	1.7677	0
RS_G7112__STATIP1__STATIP1	7.3404	5.7894	7.9124	8.0689	7.1623	7.1651	7.2975	8.1415	6.5724	6.4872	6.779	6.3207	5.2695	6.5046	6.8907	6.956	9.3609	7.3751	6.6918	10.5164	6.8239	6.2761	6.284	6.2343	6.1861	6.8933	5.8269	6.3592	6.3899	7.162	8.2923	11.5181
RS_G4541__WNT6__WNT6	3.0042	3.7368	0.32073	0.73284	0	4.6301	5.7575	0.46473	0	1.5932	5.9361	0.62937	3.7627	0.70526	1.2218	6.7506	0.62494	3.7408	0	0	0	1.7939	0	4.0941	0.50468	7.5806	5.7158	3.3084	0.80164	0	1.2905	0
RS_G17866__FZD9__FZD9	0	4.6771	0.4403	2.9437	3.445	2.5305	3.3357	2.1183	0.12145	0.93021	5.7118	3.3851	3.5463	2.3341	1.4657	3.7746	0	2.9777	2.2666	1.9509	0	0.16042	0	4.2909	4.2862	1.9381	2.3712	4.1039	2.547	3.9233	0	0
RS_G11355__NFASC__NFASC	1.5238	2.6199	3.8705	3.5415	0	0.46207	1.1935	0.66933	0.12432	1.2733	5.5101	3.0635	2.2495	0.46045	0.04732	5.5934	4.7633	1.7588	0.053461	0.91564	0.89043	0.83418	0.24318	0.67438	3.7217	1.9647	0.53225	1.3598	2.2215	0.54778	0.82443	1.5125
RS_G21704__CXorf61__CXorf61	0	0	0	0	0	0	6.7283	6.8917	0	0	0	5.3053	5.6279	8.1888	0	7.9773	6.7528	7.9893	4.7743	0	6.4157	0.23646	0	0	0	0	0	0	0	0	0	0
RS_G13924__C11orf86__C11orf86	1.453	9.9466	0	0.50858	1.1966	0	0	0	0	0	3.5889	0	0	1.786	2.1623	4.2136	0	0	0	0	1.6118	0	0	4.8992	0.88539	7.3083	0	3.5987	5.714	0	0	0
RS_G16550__CSAG2__CSAG2	0	6.6849	0	0.27141	0	0	0	0	0	7.1887	1.7652	5.59	1.8358	3.9262	0	0.27825	0	3.2175	4.662	0	5.7519	0	0	7.4039	5.651	0	6.0503	0.72602	0	0	0	0.91116
RS_G2274__TIMP3__TIMP3	7.1676	1.4484	0.20404	4.3628	0	0.54618	0.15932	7.2281	0.73369	0.19599	11.9588	8.3461	9.2857	0.17607	0.096304	7.7407	0.49099	0.92898	10.0072	9.644	5.7329	2.0761	1.5956	1.9357	0.46861	4.2941	4.6453	7.3446	4.9621	4.2155	2.5201	0.72845
RS_G6363__APOE__APOE	4.2881	4.7187	0	2.382	5.2995	1.3208	2.9543	2.0475	0.42935	4.4855	2.5012	5.566	3.0563	1.0451	3.614	1.0041	2.1619	3.6414	4.6007	5.158	2.0232	0.83225	1.4749	4.0786	4.4021	3.4789	2.8382	8.3738	2.2518	10.4583	5.8134	0.56077
RS_G3962__OAS2__OAS2	4.3877	1.8619	0.23744	7.0052	0.056976	0.1167	0	2.5129	0.6103	3.2922	9.1157	5.693	5.8469	5.639	6.1434	0.22552	2.2623	9.5512	0.30327	1.4216	0.76221	0.49092	0	0.28245	0.20349	2.0593	8.8459	3.6212	4.2907	6.5074	1.9355	0.55898
RS_G3586__RAPGEFL1__RAPGEFL1	5.9537	7.4913	4.0582	7.5022	4.1912	5.1146	3.3035	3.1857	2.9684	9.3785	5.0089	3.3274	6.6928	3.2089	3.7361	3.7624	5.0324	4.6098	2.8293	4.2898	4.4551	4.0532	3.1024	6.7893	4.5768	5.97	2.4325	7.7749	5.3003	7.3069	7.8427	6.2748
RS_G3163__ATP1A3__ATP1A3	4.3274	10.0114	1.9462	7.3666	4.4612	5.383	4.7758	2.7679	2.0801	5.4381	6.8753	4.7827	5.96	4.1124	0.802	4.0167	5.5134	0.82382	2.2676	4.8029	5.3107	3.0664	0.25964	7.4159	5.8738	1.5203	5.3463	3.7056	5.114	5.5049	6.2309	6.8914
RS_G1700__WNT11__WNT11	0.95554	0.84773	1.4629	4.0612	2.4978	0.26815	2.2228	0.15487	0	2.7953	7.6623	1.9448	1.5183	0.12823	0	1.0841	1.9585	4.9662	1.6509	2.6715	0.64391	1.6128	0	0	0.94427	8.51	4.5096	3.1453	1.8569	2.1116	0.65293	0.19576
SNP__LOC391322	-0.028	-0.113	-0.163	-0.475	-0.154	0.018	0.396	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-2.246	0.204	0.225	-2.156	-0.38	-0.171	-2.299	0.06	0.314	-0.226	-1.972	-0.148	0.187	-0.163	-2.165	-1.872	0.377	0.08
RS_G5020__PGF__PGF	0.19294	3.811	0	0.23905	0	0	3.0438	1.7839	0	0	4.332	4.2791	2.3044	0.87483	0	2.3457	2.0848	1.7793	6.819	2.1754	7.173	0	0	2.5559	0.22406	4.0669	4.2315	3.9857	1.1334	1.9228	0	0
SNP__GSTT1	-0.028	-0.113	-0.163	-0.475	-0.154	0.018	0.396	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-2.246	0.204	0.225	-2.156	-0.38	-0.171	-2.299	0.06	0.314	-0.226	-1.972	-0.148	0.187	-0.163	-2.165	-1.872	0.377	0.08
SNP__LOC653399	-0.028	-0.113	-0.163	-0.475	-0.154	0.018	0.396	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	-2.246	0.204	0.225	-2.156	-0.38	-0.171	-2.299	0.06	0.314	-0.226	-1.972	-0.148	0.187	-0.163	-2.165	-1.872	0.377	0.08
RS_G8516__GJA5__GJA5	5.1528	7.3724	0.25609	0.30595	0.75881	0	2.1537	1.8724	0	1.103	0.51023	0.46303	6.1047	3.0129	1.568	9.1154	0	1.4256	0.41661	0	0	0	0	7.402	0	4.5966	2.5251	1.2018	6.2637	2.113	0.3266	0
RS_G12055__IFI27__IFI27	4.0922	4.7513	0.72205	6.7926	1.0972	0	3.8876	3.2258	0.38186	2.8312	8.1137	6.5826	10.0905	12.0844	8.451	3.6058	0.89527	13.3216	2.2262	2.6569	0.62258	1.4227	1.8776	0	3.5761	10.5207	14.2497	10.7408	1.7041	6.718	1.8182	1.1944
RS_G22491__AC008734.7__AC008734.7	2.8709	6.4765	0.59515	2.5045	0	0	6.2257	0.13237	0.12501	0.078348	0.813	3.8512	5.8028	0.55869	3.9361	3.0198	0	3.8887	0	1.8018	0	0.13791	0.54559	6.0522	0	3.4623	2.5347	4.1309	0	0	1.6888	0.84556
RS_G1180__TRIP13__TRIP13	7.5721	7.4435	7.9846	7.1647	9.1263	8.0353	8.804	9.0066	7.5718	7.523	7.8106	9.3162	9.2501	12.9158	8.25	9.1767	9.4439	9.3182	8.6357	7.2772	8.7378	7.7527	7.2485	8.6847	6.8113	6.8324	5.5775	8.2887	8.6085	8.8612	7.5677	7.2672
RS_G2195__SUSD2__SUSD2	9.5721	12.9805	4.5994	6.4995	0.77228	6.1627	4.8384	0.6937	7.5174	10.8044	1.7112	4.6173	6.3905	5.5285	10.1244	8.6238	3.3648	2.2529	5.9218	5.1737	5.7008	10.4084	9.9673	12.6232	1.6938	8.6608	11.9002	6.8074	10.2734	4.6774	3.7359	2.6465
RS_G4477__IFIH1__IFIH1	5.5519	5.0104	4.6702	6.8435	0.57761	6.2807	4.7528	3.2819	4.2422	5.0304	10.0636	4.7985	6.0943	6.2488	5.7048	4.7248	3.5667	8.2669	1.4788	3.9352	3.4482	3.4814	4.6777	5.237	3.3564	5.3174	6.8807	4.8413	5.1924	4.8213	5.4048	4.3929
RS_G1562__PKP1__PKP1	0.15156	0.83599	6.0682	6.0765	0.18638	0.40659	9.1236	0.52118	0.42248	0.19294	6.8236	8.7046	7.6667	0	0.097656	1.0626	1.1375	8.3043	0	4.8379	0.41271	5.5674	1.1903	3.8358	1.2462	8.7949	6.8734	1.8114	0.9191	0.68334	0.77356	0
RS_G12225__A2ML1__A2ML1	0.55235	3.015	2.3348	1.6963	0.051186	0.20298	5.7466	0.4159	1.5662	4.2978	0.67252	2.6485	4.0087	2.6029	0.099228	1.1693	0.099944	5.3202	0.059283	1.1201	0.049173	1.9963	0.48814	5.0462	0	3.9701	3.2228	0.36821	4.9828	0.50916	1.3113	0.21477
RS_G14365__CST6__CST6	1.1735	4.8219	0	2.2528	1.1623	0.40458	2.5251	0	0	4.0306	1.7102	5.9733	9.605	6.3431	7.796	5.5347	1.3362	3.3225	1.0523	0.69586	3.2657	1.6994	1.1045	3.1421	2.7763	7.589	6.5634	10.9573	2.5445	5.0406	4.4201	0
RS_G3314__CPVL__CPVL	2.9507	6.6103	3.8799	3.6083	0	0.57412	0	3.8694	0	2.277	8.656	3.351	7.146	2.9736	1.678	3.2959	7.101	0.77609	0.23995	0.7097	5.9007	0.38588	0.36679	7.2629	0	6.5484	1.5564	3.7745	5.2759	5.3372	1.9393	0
RS_G6413__KLHDC7B__KLHDC7B	0.44351	1.5307	0.26069	3.0774	0	0.36018	2.9582	0	0.57664	0.17453	6.5033	2.0385	8.7777	1.2454	1.3979	3.2379	0.23533	9.8389	0.27498	0.44704	0.51994	0.11993	0.41783	0	3.5951	9.2685	6.0434	4.1718	0.85166	0.80079	2.9772	0
RS_G10013__PGM5__PGM5	0.98175	5.7702	1.2732	4.3229	0	0.27613	0	0.90894	0.52699	4.3002	0.12769	0	3.701	0.13224	0	1.7349	0	0	2.2619	3.596	0.13333	1.23	0	6.2945	1.102	0	0.7631	0	2.625	0	4.1586	0.29176
RS_G14500__LRRN1__LRRN1	3.9334	0	7.2765	4.8669	8.4806	6.9925	0.41799	0.84531	0.76506	5.0522	0.23961	0	2.8126	1.741	6.5901	0	0.31549	0.89135	0.2284	1.1056	0.64811	2.9294	5.0914	0	0	0	1.1915	0.21281	0	1.3224	2.4091	1.6057
RS_G9301__LCN2__LCN2	7.9862	7.5065	0.2591	2.5214	1.0548	0	8.9465	1.2914	0.25542	3.2659	14.4056	5.866	10.9978	11.4171	4.9017	8.3978	0	12.1109	0	0.24297	0.75668	1.4008	2.8619	10.1865	2.3419	9.8541	9.6157	9.1873	0.26478	4.6674	6.7469	2.4633
RS_G16049__EPGN__EPGN	0.62908	1.2748	0.81396	1.382	0	0	2.3756	0	0.79607	0.96975	0.49786	3.9373	1.4815	5.3723	1.695	2.3909	0	3.8394	0	0	0	1.4689	0	1.4898	0.88324	4.5126	5.4435	2.7586	6.7991	2.2266	0	0
RS_G11441__TM4SF18__TM4SF18	0.063627	0.33303	5.7812	5.1303	2.4429	4.9049	7.7835	1.6684	4.4129	6.1745	0.21054	0	6.7182	3.4103	6.1319	3.3713	5.3957	3.9681	0.17964	2.3027	8.1172	2.2255	2.2631	0	1.5581	0	4.1609	0.24403	0.76783	2.6463	1.224	0.11762
RS_G13255__CDH2__CDH2	0.95252	0.11179	3.8179	3.037	9.5863	0.59708	7.9074	7.9637	0.065964	0	3.3876	4.6749	1.3151	0.59305	0.62312	7.3261	9.9603	0.65088	8.8508	0.34768	0.95446	5.4598	2.9731	0	2.3343	4.6813	0	5.7937	0	0.64866	1.9772	1.4403
RS_G7446__CHAD__CHAD	9.356	3.8247	3.9607	2.898	0	1.7746	2.929	2.0717	2.1301	4.5495	2.0501	1.1792	2.6454	1.5826	4.4551	2.2674	2.6437	2.0821	2.1187	2.7951	0.5126	4.7572	3.6697	2.3716	2.1866	3.6972	2.9093	4.911	3.6098	1.5545	1.7094	1.6429
RS_G13151__CHRNB1__CHRNB1	4.1266	5.62	3.3505	3.996	4.6512	4.5831	3.8844	4.1756	3.4636	4.0981	4.9716	5.7781	4.9033	3.0916	4.5661	4.7566	3.5569	4.1822	5.1481	4.0099	8.963	3.8903	4.0984	4.5907	3.9315	5.1261	4.9361	4.862	5.0347	5.0461	3.9599	3.1297
SNP__LOC653403	-0.028	-0.113	-0.163	-0.475	-0.154	0.018	0.396	0.567	-0.012	-2.171	0.074	-2.458	-0.193	0.117	-2.246	0.204	0.225	-2.156	-0.38	-0.171	-0.151	0.06	0.314	-0.226	-1.972	-0.148	0.187	-0.163	-0.323	-0.327	0.377	0.08
RS_G16898__AC073468.9__AC073468.9	2.771	6.104	3.2477	2.9543	0	0	2.1311	2.1588	0.48723	0	3.5396	2.6112	3.5696	3.464	4.4522	4.6909	0	4.557	0	1.4065	0	2.3478	0.5494	4.3933	0.55787	1.3527	4.7935	2.3273	7.8208	1.3018	2.9131	0.94339
RS_G3761__TRIM2__TRIM2	6.299	5.3394	2.5021	4.8596	4.3894	0	5.2157	0.7472	5.9345	6.6038	9.3226	4.0319	5.3512	6.6069	3.2392	5.0518	5.6753	6.4392	2.976	2.0666	4.5953	2.8767	1.6906	5.532	2.6874	4.5541	6.3819	3.7754	6.1299	4.6767	0.11351	0.11376
RS_G11694__RAET1E__RAET1E	4.2345	3.9647	0.51886	1.4753	0	0.26601	2.2136	1.0863	1.4202	2.7576	0.77451	2.1729	3.8641	3.1837	0.83932	1.5906	0.82097	0.91492	2.397	0	5.5974	0.12807	0.44336	4.5102	1.6644	4.124	0	4.9021	4.8095	4.1892	0	0.65648
RS_G2763__MSLN__MSLN	1.9172	1.1072	0.26865	1.2587	0	0.65029	3.3609	0.69047	0.922	0.46614	3.6581	8.9361	4.948	1.1454	0	3.8141	0	4.6543	1.4248	0.55045	1.9546	0.64745	0.59172	1.0695	1.0139	12.2802	3.7565	2.7117	1.1483	1.5429	1.4456	0.34563
RS_G21773__GPRIN2__GPRIN2	4.0001	8.3744	0	1.3437	0	0	5.3082	0	0	0	0.23152	4.3886	5.4473	3.7981	0	5.982	5.0614	3.6002	0.40095	0	0	0.065818	0	7.0097	0	6.2273	3.7935	4.7073	0.27671	4.0222	0	0.18814
RS_G8562__RGS16__RGS16	3.6383	7.9152	3.1434	4.2812	0	2.3833	0.82754	4.8652	7.453	2.0693	4.5062	4.3101	2.672	4.8678	2.4771	1.5237	0.53533	2.5687	0.83849	7.078	2.0042	4.5416	3.1614	6.6121	8.0521	3.1614	5.7208	4.6667	4.6968	5.3382	6.9381	6.5567
RS_G4435__IL1A__IL1A	0.69823	0	0.28336	0.54584	0	0	0.15257	0.20064	0.35738	0.23797	1.0015	6.1503	3.2881	0	0	3.1838	0.76755	0.77038	0.20083	0.17804	0.4537	0.044939	0	0	0	2.6039	0.33376	1.5682	0.36359	0	0	0
RS_G2770__GDPD3__GDPD3	5.7813	10.6318	4.8723	6.1391	3.3539	6.6958	2.9664	3.776	7.5407	4.0359	3.3238	4.3605	5.7742	4.4425	4.0949	4.6084	4.1315	4.2824	2.2524	7.5877	2.1837	5.1432	5.1427	9.0082	5.0971	6.6166	2.9836	4.791	8.2566	4.4144	5.7162	3.5616
RS_G1423__FGFR1__FGFR1	2.6223	0.54709	6.777	7.0974	8.0925	6.9204	4.5239	7.3206	6.1057	6.3256	6.6419	3.1821	5.3519	4.853	3.7117	5.5053	9.0117	5.0448	7.8731	5.8034	7.0505	8.0027	5.9527	3.107	8.9611	3.8054	6.8247	4.3479	7.1144	5.0337	8.1537	7.5687
RS_G5964__IFI6__IFI6	5.3782	8.5811	5.9672	11.3914	7.0701	4.3614	9.5009	7.3907	6.6723	7.664	12.1836	6.5744	9.3088	10.0121	9.795	4.292	5.2167	14.3723	6.944	8.5173	6.6483	4.6766	6.3087	6.9747	6.9378	10.5253	13.8974	8.8025	8.4812	9.361	7.5298	3.1302
RS_G7332__DOCK10__DOCK10	1.1769	0	0.81907	4.3261	6.4728	0.034377	3.5572	7.0449	1.688	0.096607	0	3.778	0.15905	0.59306	0	3.6414	6.408	2.3596	5.7244	2.8215	4.7719	0.9992	0.58083	0	6.6391	0.38286	0.87349	0.2106	0	2.1623	2.6	2.0998
