Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G8168__RHCG__RHCG	0	0.76408	0	1.7502	0	0	1.4873	0.74178	0.50384	0.96672	3.6706	3.1828	3.8711	0	1.3439	2.7996	1.6309	4.9588	0.29197	3.3408	2.7627	1.0135	2.2705	0	1.7348	0	3.5912	1.8421	5.4309	2.1324	3.9305	4.4168	0	2.9171	0	1.7677	0
RS_G12830__ATOH8__ATOH8	7.7862	1.7824	1.7667	0.27703	4.4009	0.19465	0.5588	2.2938	0.74704	0	0.17001	0	4.2842	0.17819	2.5507	2.4652	3.9632	0.90834	5.5191	4.3355	0.76855	0.28556	4.0234	3.9999	3.1334	2.6418	2.8882	3.1621	2.2177	5.0986	4.2677	5.8057	0.76237	0	2.4473	0.25948	0.3877
RS_G7469__GATA4__GATA4	0	0.071455	5.0461	5.7202	0	0.15928	0	0.25613	0.24147	7.6513	4.2841	4.4421	0	0	0	0	0	0	0.17587	4.1894	0.48135	5.5359	2.3787	0.28015	2.9878	3.9039	0	0	1.7774	0	1.5872	2.7153	0	1.8259	4.0538	0.86042	0
RS_G16550__CSAG2__CSAG2	0	6.6849	0	0.27141	0	0	0	0	0	7.1887	1.7652	5.59	1.8358	3.9262	0	0.27825	0	3.2175	4.662	0	0	0	6.6123	5.7519	0	0	0	7.4039	5.651	0	6.0503	0.72602	0	0	1.0746	0	0.91116
RS_G16628__PDE4B__PDE4B	6.4704	3.5464	1.9844	0.20129	3.3063	5.4525	0.24878	4.9161	5.5966	2.0004	5.192	1.4264	1.4849	3.9286	6.041	3.8978	4.5046	6.4591	2.2321	0.28862	2.0051	4.6156	3.399	3.4134	5.681	4.6651	8.64	3.4552	4.956	8.0863	3.1246	0.082897	4.8358	0.68044	3.1212	4.0708	0.94457
RS_G17492__ISG15__ISG15	6.4321	6.9046	2.9269	10.0182	6.764	6.0566	9.1661	6.4525	4.276	6.7748	13.2442	8.6945	9.4258	8.5081	9.9575	5.4459	6.6266	12.9362	7.4773	9.9405	9.4628	7.6384	6.1199	8.7902	9.0957	8.6562	10.5623	5.7117	9.647	11.3793	11.8597	10.9453	4.6944	7.2104	7.2107	6.6969	5.3683
RS_G2254__SEPT3__SEPT3	6.0681	2.128	4.9259	6.2715	4.0342	7.0323	5.5395	6.587	2.8368	6.2334	9.9177	2.4132	3.8373	5.0382	6.7193	6.0119	6.3541	7.4978	1.0676	3.8242	4.4659	7.7589	3.6069	2.331	4.6968	5.3424	7.9558	1.0761	2.2186	3.1444	4.9445	2.392	1.7564	4.2999	3.5537	6.3302	6.7753
RS_G16619__SLITRK6__SLITRK6	5.6921	0	5.1781	2.1211	3.7194	4.5245	4.5316	4.1927	7.8925	0.92272	0.41187	5.1835	2.3251	5.4726	0.93462	3.9073	3.1682	3.1583	0.39362	2.9345	1.5436	4.3069	2.3864	0.83012	4.428	1.1176	0.17754	0	0	2.1558	0.96991	0.90457	2.6655	0	2.3754	2.9342	1.3351
RS_G10013__PGM5__PGM5	0.98175	5.7702	1.2732	4.3229	0	0.27613	0	0.90894	0.52699	4.3002	0.12769	0	3.701	0.13224	0	1.7349	0	0	2.2619	2.9296	3.596	0	0	0.13333	1.23	0	2.173	6.2945	1.102	0	0.7631	0	2.625	0	4.6748	4.1586	0.29176
RS_G15160__THBD__THBD	2.1121	3.0337	1.9883	4.929	0	3.8626	0	1.4846	0.37671	2.3226	0.27449	6.4554	0	0	0	0	0.1815	0.17079	1.0032	5.1053	4.1804	6.4552	2.5167	4.9336	6.3586	6.7423	3.077	1.4443	7.6701	3.2897	3.8937	6.9106	0.26966	0.40369	3.3066	3.7341	0
RS_G961__COL17A1__COL17A1	0.78057	1.2182	3.5799	0.57122	0.52555	0.13654	5.7701	0.37132	1.2112	0.4913	1.2963	10.0366	7.6715	3.2624	0.17465	7.6051	0	0.081001	3.6348	1.1037	0.13294	0.92789	2.5304	3.5943	3.3934	2.6571	3.9783	1.3123	0.97317	5.6195	4.52	6.5876	5.2315	0	2.4278	1.6642	0.77239
RS_G5529__G0S2__G0S2	1.0387	0.48117	0	0	0	0	0	0	0	1.1623	5.0443	8.9996	2.0382	0	0	0	2.0825	2.064	7.3596	2.6929	0	0	0.44356	8.7926	1.026	0	0	0	0	10.221	2.8424	3.4734	0	1.347	0.37622	0	0
RS_G10186__RAB39B__RAB39B	0.38428	0.62376	0	3.5463	3.185	0.29144	1.5096	0.46077	2.1624	3.4233	0.2595	0.43834	0	0.14128	3.7832	1.1671	0.80855	0	0.24693	3.8003	4.4548	5.2678	0.23737	0.13887	0.7854	0.37994	5.0947	0	7.1328	0.53598	0	0	0	1.1418	4.4134	4.9092	2.3891
RS_G1101__MAOB__MAOB	2.4035	0	0	0.19959	0	0.4643	0	1.0031	0.21252	3.3883	0.94929	0.7726	1.4445	0	0	3.8325	3.5977	4.021	0	0.3703	4.2996	3.4924	4.768	0	0.09587	0	1.981	0	0	2.7187	0	4.7326	0	0	4.3613	6.8913	3.6825
RS_G13657__SNTB1__SNTB1	5.3832	8.4768	2.0145	4.4193	0.46368	0	4.8195	3.6208	0.92349	3.4038	1.0708	0	3.8555	1.6321	0.59612	3.1292	1.0472	4.6096	7.4302	0.58832	1.0654	0.79422	6.1443	4.9661	0.91013	0	1.2486	6.4231	4.5946	3.3807	8.5304	1.4481	0.43164	3.1699	0.94195	3.7784	3.5099
RS_G7112__STATIP1__STATIP1	7.3404	5.7894	7.9124	8.0689	7.1623	7.1651	7.2975	8.1415	6.5724	6.4872	6.779	6.3207	5.2695	6.5046	6.8907	6.956	9.3609	7.3751	6.6918	7.1384	10.5164	7.6728	5.2929	6.8239	6.2761	6.284	7.3674	6.2343	6.1861	6.8933	5.8269	6.3592	6.3899	7.162	6.6163	8.2923	11.5181
RS_G16371__NOG__NOG	1.0519	0	2.2697	0	2.4767	0.38977	5.9809	0.41694	0	0	5.9691	2.4824	4.4078	2.8449	0	1.7954	0.37246	0	1.2498	2.0981	0.67981	0.39325	1.9775	4.0505	0.28562	0	2.5744	0	4.5948	2.2238	1.4442	5.7748	2.1665	0	0.68639	1.1986	0
RS_G3858__SLC15A3__SLC15A3	0.89932	5.5094	2.8801	2.931	0	0.79011	0.38408	0.49219	2.0004	1.8214	7.3716	2.0224	5.7384	1.474	3.0271	0.94978	4.2055	4.9413	2.0345	1.8448	1.3939	1.5233	5.5805	1.4814	2.9525	1.4075	3.0637	4.8346	0	1.9831	7.2615	3.555	1.3756	6.484	4.3499	2.4676	1.1282
RS_G27826__RP5-857K21.10__RP5-857K21.10	5.8107	2.5263	7.2819	6.0612	5.4616	6.7566	5.7699	6.0557	5.9109	6.3595	4.472	10.192	5.0055	6.5499	6.7342	5.4524	5.212	6.1806	4.031	1.6856	5.5395	5.1118	3.5761	6.185	4.0503	5.0325	5.359	6.1325	3.2194	11.8036	3.2593	3.9198	4.7339	6.2921	3.4616	4.7608	5.9337
RS_G663__RSF1__RSF1	8.1363	5.4289	6.1763	6.8727	6.4504	6.052	6.5173	6.1058	5.822	6.5063	6.8923	7.1095	6.3098	6.3111	6.1479	6.0201	6.6896	6.0028	5.5633	5.8166	7.0255	10.9701	6.3038	6.2483	6.0367	7.033	6.1716	5.0067	5.3046	6.2564	5.9217	5.2559	8.0708	5.3748	5.8319	5.3245	5.4744
RS_G7939__LL22NC03-75B3.6__LL22NC03-75B3.6	2.4782	0.1394	0.49211	1.2766	4.5176	0.15466	4.1286	7.2692	0.15764	0.053937	1.2511	3.8732	4.4105	0.61415	0	3.9325	6.1773	0.071757	8.1771	0.83738	0	1.5554	1.6898	2.2202	0.76908	0.13865	1.1217	0.10411	3.9719	0	4.6122	1.4349	0.63433	0.25885	0.50332	0.21832	0.31876
RS_G2444__DHRS2__DHRS2	0.2359	14.6844	11.7493	6.6887	2.5316	1.6777	4.4145	3.6813	10.1054	8.4176	4.5722	5.0834	7.268	6.2349	5.7465	5.3332	2.5801	0.5953	10.362	9.7883	10.7059	3.5939	8.7318	4.1857	10.3872	3.392	4.9232	13.7868	2.0603	2.9433	5.4667	2.7155	2.9541	2.138	5.2805	9.3579	5.334
RS_G1562__PKP1__PKP1	0.15156	0.83599	6.0682	6.0765	0.18638	0.40659	9.1236	0.52118	0.42248	0.19294	6.8236	8.7046	7.6667	0	0.097656	1.0626	1.1375	8.3043	0	7.5597	4.8379	0	4.5401	0.41271	5.5674	1.1903	7.4545	3.8358	1.2462	8.7949	6.8734	1.8114	0.9191	0.68334	5.1307	0.77356	0
RS_G10491__RIBC1__RIBC1	3.9264	3.101	2.5422	4.4233	1.5303	4.0011	0.7201	1.3014	3.7302	4.2275	2.634	2.1808	2.2063	3.2129	8.1277	4.1118	2.0924	1.1848	1.4566	3.7258	3.6101	3.7148	3.6913	0.68483	4.1442	4.9097	4.0846	2.4338	2.1117	3.0577	3.7109	1.5979	4.4471	5.9036	5.6378	4.2151	3.6118
RS_G7555__CTSL2__CTSL2	6.6635	6.2586	5.6688	5.1485	6.7847	5.8017	11.2857	5.654	7.0295	4.9705	6.5726	7.1559	7.1125	7.6576	5.947	7.9326	7.0231	7.0512	0.64634	5.9428	6.6346	6.2477	5.3029	3.8935	4.8953	3.6966	6.2073	5.8886	3.3803	4.4155	6.5763	7.4402	5.8106	7.3226	5.8826	7.0084	6.0221
RS_G1585__FYB__FYB	0.2113	0.19141	0.061937	0	0.20909	0	0.34147	1.9912	1.9119	1.2528	0.39857	6.1426	3.5975	2.5922	0	3.3846	0.15854	9.0496	0.12508	0.10911	0	0.45377	2.2729	0	0	0	0.53975	0	0	0.11113	0	4.1615	5.2149	0	0	0.42518	0
RS_G12874__UQCRFS1__UQCRFS1	9.2562	8.9636	9.4392	9.4359	10.4656	9.7133	10.0995	10.1178	9.793	10.3673	14.2713	10.3168	9.9233	11.0279	8.688	10.4741	9.7953	10.8393	9.1658	9.1071	9.9577	9.2917	10.0729	10.2078	8.6633	9.7125	9.6309	10.489	8.0425	9.593	8.5155	8.8635	9.4899	9.9183	9.2637	9.5214	10.0526
RS_G8399__COL6A2__COL6A2	0.09725	1.2175	2.8781	5.7926	7.9295	1.5704	9.9917	10.7921	0.12627	1.3977	8.5995	6.9876	7.7184	3.3578	0	4.7661	10.2763	0.66729	13.2127	4.7809	5.0646	0.064059	0.64549	6.3192	4.4906	0.84685	10.9299	0.54742	9.0792	8.6458	5.6524	9.1203	0.74141	3.3194	4.0451	2.3452	6.8501
RS_G18796__ZNF323__ZNF323	4.0592	4.7404	4.0046	3.0955	0.64925	4.6182	4.4034	5.7516	3.7182	1.871	1.786	3.694	2.5334	3.3804	8.9602	4.7592	3.1953	5.4161	2.505	2.6108	3.7035	3.4829	4.5911	2.41	4.2997	3.2401	2.8491	4.3569	1.7508	4.3278	7.3598	2.2784	3.8048	3.1218	2.3392	2.4992	3.5796
RS_G2495__BMP7__BMP7	0.16836	6.9255	10.0501	6.3611	0	2.0604	5.351	3.0984	8.6894	4.3807	4.587	3.1715	7.535	3.4675	0	6.6048	4.2437	0	0.6962	11.1485	8.2041	2.153	8.3532	0.37066	5.0916	0	3.016	7.9847	3.247	0.39782	8.1684	1.2355	4.2213	2.7631	7.1515	5.1115	4.2664
RS_G12839__VAMP5__VAMP5	5.7475	8.4989	5.1276	6.3466	1.0717	4.2899	3.8161	1.723	10.6318	7.4263	5.181	1.7151	4.28	5.4616	6.2318	3.5479	2.1294	5.8416	0.73065	7.4246	6.901	7.2724	7.3036	3.5044	5.257	6.3869	6.9643	6.3121	1.0478	5.9949	5.9216	5.0818	5.9869	5.1714	10.8607	7.7928	6.4989
