Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM52PE	UACC812	ZR751	ZR75B
Meth__cg03641225__DIRAS3	0.1618	0.022288	0.37599	0.12301	0.58522	0.080794	0.4938	0.40112	0.41691	0.72091	0.18454	0.26225	0.21576	0.71948	0.070414	0.040952	0.058389	0.087138	0.12571	0.51583	0.20021	0.065258	0.13201	0.036995	0.21668	0.20152	0.045343	0.10204	0.072512	0.056732
Meth__cg11015241__ATP10A	0.8912	0.094203	0.50186	0.88716	0.25921	0.68524	0.9275	0.077586	0.84655	0.93807	0.17355	0.054649	0.88458	0.89032	0.19666	0.26751	0.65833	0.52665	0.78165	0.93221	0.8623	0.33277	0.22716	0.081761	0.93265	0.038654	0.94716	0.87414	0.21598	0.31637
Meth__cg05508558__CR2	0.056057	0.047035	0.41425	0.10619	0.15455	0.19303	0.56419	0.22008	0.13928	0.27273	0.64131	0.047017	0.42987	0.19946	0.10586	0.051002	0.085644	0.083333	0.22345	0.11159	0.25489	0.11374	0.098428	0.053953	0.19841	0.17483	0.27892	0.1375	0.1526	0.12794
Meth__cg01731341__FGF6	0.59495	0.031631	0.94467	0.60298	0.2069	0.23149	0.80334	0.57189	0.94246	0.92999	0.55648	0.033245	0.59819	0.96507	0.20962	0.034019	0.66832	0.37095	0.57098	0.38337	0.41226	0.56983	0.26354	0.044001	0.94626	0.46815	0.33116	0.10139	0.41365	0.13136
Meth__cg12348970__SLC24A2	0.83027	0.061648	0.79221	0.62597	0.10536	0.83973	0.87984	0.42715	0.82377	0.65527	0.40965	0.086327	0.32367	0.84294	0.0694	0.12252	0.10511	0.11404	0.85765	0.86772	0.1592	0.16296	0.52326	0.12852	0.37765	0.78508	0.18968	0.12283	0.50647	0.49118
Meth__cg02992596__MGC27016	0.92418	0.10004	0.70822	0.28646	0.54188	0.62371	0.9746	0.5682	0.72987	0.53501	0.46932	0.097767	0.32167	0.94944	0.12063	0.072472	0.1069	0.082572	0.31172	0.89042	0.45202	0.24036	0.23194	0.045455	0.94295	0.91627	0.040779	0.40398	0.31819	0.42164
Meth__cg07780118__AR	0.56814	0.069545	0.065229	0.15212	0.063224	0.057916	0.89651	0.084843	0.9078	0.90936	0.067031	0.053236	0.84324	0.63073	0.28426	0.057485	0.058025	0.050504	0.57915	0.60641	0.83944	0.048601	0.4298	0.085923	0.58034	0.14375	0.73172	0.49654	0.38091	0.056126
Meth__cg18660898__MLLT11	0.042939	0.075473	0.26911	0.16521	0.51768	0.22381	0.71899	0.21815	0.1714	0.75202	0.10179	0.14411	0.846	0.23616	0.13019	0.055829	0.15139	0.16623	0.11442	0.3906	0.29058	0.042265	0.048133	0.073231	0.56967	0.7985	0.12529	0.59285	0.055004	0.050529
Meth__cg21500966__NAALAD2	0.097567	0.047572	0.73943	0.0992	0.25284	0.64486	0.57505	0.063045	0.73715	0.78935	0.51089	0.065308	0.4921	0.41506	0.1382	0.060565	0.2549	0.23872	0.32139	0.06842	0.42824	0.43375	0.60817	0.1188	0.40573	0.060542	0.37843	0.070238	0.11565	0.20407
Meth__cg07841014__REG1B	0.65353	0.092908	0.87891	0.075168	0.42512	0.73553	0.69477	0.096556	0.88057	0.15293	0.30421	0.37164	0.60014	0.50887	0.19141	0.10129	0.061644	0.13258	0.40553	0.61234	0.45472	0.11636	0.64121	0.14965	0.24584	0.60895	0.29831	0.15085	0.19253	0.1408
Meth__cg13397379__OR2C3	0.66172	0.017001	0.38944	0.048304	0.62305	0.58342	0.67434	0.030705	0.56886	0.79678	0.1192	0.025338	0.48027	0.49497	0.048011	0.018126	0.027299	0.031291	0.87857	0.52188	0.40912	0.056057	0.428	0.035371	0.066727	0.75452	0.074362	0.05713	0.24402	0.26688
Meth__cg01103730__IL20	0.12576	0.10194	0.19263	0.0315	0.37226	0.07774	0.88403	0.085032	0.66099	0.64629	0.50825	0.08987	0.7226	0.9032	0.16592	0.47137	0.25692	0.26578	0.6907	0.79372	0.87106	0.09967	0.070491	0.16741	0.89772	0.47189	0.87165	0.18308	0.12717	0.20886
Meth__cg08947964__CX62	0.56133	0.10784	0.76076	0.29949	0.083034	0.49223	0.79412	0.57106	0.45532	0.38835	0.39449	0.14286	0.23197	0.47268	0.1686	0.10347	0.12781	0.16117	0.84609	0.88186	0.3786	0.11973	0.47803	0.23397	0.43603	0.16323	0.56955	0.21122	0.15323	0.17074
Meth__cg04297329__NAP1L2	0.076532	0.047949	0.099703	0.092889	0.33258	0.87286	0.91096	0.079231	0.90102	0.55696	0.23559	0.12264	0.26339	0.61411	0.093661	0.13708	0.15965	0.11463	0.77634	0.2423	0.61687	0.21111	0.19537	0.10928	0.11022	0.40924	0.61871	0.082182	0.13464	0.094865
Meth__cg03343942__SLC39A5	0.051534	0.029206	0.51285	0.17126	0.65375	0.22165	0.78413	0.23037	0.57483	0.68571	0.52439	0.19106	0.21653	0.59271	0.16633	0.022783	0.50372	0.36777	0.56515	0.81309	0.26681	0.30595	0.23621	0.06852	0.49159	0.12508	0.2884	0.35785	0.23502	0.11707
Meth__cg13722123__GRM1	0.20062	0.064437	0.48291	0.15217	0.15279	0.41528	0.49595	0.081916	0.72913	0.10587	0.24535	0.079689	0.31827	0.3195	0.15603	0.067488	0.16974	0.17702	0.80052	0.37085	0.3185	0.11892	0.2694	0.11808	0.1347	0.16879	0.48428	0.29361	0.091734	0.098739
Meth__cg09837943__ZIM2	0.66324	0.064601	0.34218	0.87892	0.23367	0.6952	0.53941	0.087402	0.7686	0.73891	0.12215	0.11386	0.78077	0.26018	0.11506	0.052262	0.083826	0.1392	0.8381	0.70836	0.15335	0.073446	0.32727	0.096524	0.65414	0.13955	0.66171	0.82494	0.083886	0.067368
Meth__cg26390526__FLG	0.8772	0.042521	0.85113	0.47975	0.066208	0.29524	0.66625	0.23887	0.1566	0.68885	0.54787	0.045537	0.20101	0.63357	0.11397	0.10871	0.10824	0.10746	0.62008	0.89128	0.77665	0.14884	0.19504	0.080599	0.31822	0.27513	0.43952	0.32259	0.089027	0.18012
Meth__cg20291222__CAPS2	0.14991	0.12362	0.77767	0.30081	0.1143	0.2283	0.13413	0.10885	0.43148	0.20505	0.15331	0.14427	0.65286	0.1444	0.27861	0.13165	0.12176	0.12402	0.73683	0.54197	0.2	0.14396	0.24512	0.12871	0.46767	0.12484	0.48055	0.12924	0.18571	0.1634
Meth__cg03764585__FMOD	0.18908	0.022032	0.70248	0.83684	0.17043	0.57589	0.95883	0.05106	0.56682	0.69654	0.75951	0.059159	0.52228	0.85371	0.040591	0.067204	0.2558	0.24216	0.96314	0.71884	0.16766	0.021908	0.51499	0.035364	0.51495	0.099896	0.67137	0.8143	0.19564	0.27861
Meth__cg08886154__PAX4	0.25087	0.036169	0.459	0.095557	0.074402	0.17057	0.61175	0.20327	0.3205	0.50191	0.3387	0.055218	0.096521	0.31146	0.10446	0.048803	0.11396	0.15511	0.30986	0.61198	0.28678	0.16629	0.17976	0.055669	0.078983	0.090213	0.1881	0.14974	0.093719	0.14237
Meth__cg26116400__FUNDC2	0.31232	0.082009	0.11571	0.0908	0.052782	0.1141	0.3302	0.069216	0.10228	0.1498	0.15676	0.090707	0.22961	0.34502	0.13502	0.1385	0.081491	0.08149	0.52071	0.46872	0.19227	0.075472	0.17835	0.1171	0.51151	0.054926	0.17656	0.31793	0.083215	0.071226
Meth__cg00401678__EMR3	0.35557	0.054999	0.30157	0.16115	0.11757	0.25427	0.7799	0.13043	0.49099	0.36387	0.22148	0.085393	0.33759	0.58399	0.087834	0.074921	0.16299	0.17368	0.22916	0.35587	0.1069	0.13081	0.2459	0.078057	0.10537	0.086848	0.26707	0.16778	0.20758	0.24382
Meth__cg06123346__ATP4A	0.072149	0.042943	0.57984	0.37544	0.08304	0.096061	0.4533	0.13282	0.20349	0.57916	0.12375	0.021091	0.41215	0.15139	0.054883	0.044314	0.4666	0.24426	0.36028	0.38825	0.09273	0.089856	0.069293	0.10134	0.093641	0.053729	0.12284	0.11846	0.097931	0.063226
RS_G7879__HERC5__HERC5	2.3699	0	1.1018	4.8412	0.14696	1.4218	4.5886	1.1983	8.0916	5.6631	4.4059	1.7557	2.964	4.5001	7.8085	0.083816	0.81141	0.62941	3.1466	1.6248	5.3756	0.78169	0	0	3.9803	3.3359	2.1255	1.096	0.70351	0.21229
RS_G6987__IRAK2__IRAK2	3.1643	1.4718	0.5092	1.1488	4.7227	3.1634	5.6254	0.94193	6.0897	5.1855	5.6527	1.2703	4.5118	4.398	2.653	4.8247	2.0925	1.0345	3.99	3.2041	5.3682	0.65158	0.48601	0.99949	7.2984	3.1827	0.5055	2.9404	1.6147	0.48699
Meth__cg08162780__GDF15	0.027304	0.016579	0.053497	0.031127	0.55947	0.034346	0.97654	0.017749	0.15771	0.28927	0.029767	0.019602	0.12556	0.57431	0.078351	0.035099	0.016581	0.02372	0.041406	0.020635	0.03405	0.025235	0.03283	0.029333	0.020571	0.024497	0.017367	0.020219	0.022928	0.01984
Meth__cg11879577__ARL6IP	0.091481	0.22247	0.17639	0.17902	0.13008	0.16823	0.033371	0.43612	0.049331	0.19038	0.30291	0.074795	0.055335	0.062934	0.14489	0.15251	0.59804	0.39463	0.16813	0.072186	0.060851	0.3248	0.2377	0.12886	0.030389	0.061196	0.10155	0.37202	0.43772	0.48985
Meth__cg15942481__CAPS2	0.070735	0.081653	0.54776	0.046001	0.053904	0.053376	0.070049	0.062773	0.36596	0.16966	0.14814	0.043762	0.85239	0.21123	0.085414	0.050159	0.049737	0.046974	0.09642	0.34047	0.090944	0.052271	0.13791	0.13456	0.40449	0.054697	0.37944	0.054511	0.059172	0.1214
Meth__cg26616347__IRF5	0.14677	0.058382	0.33128	0.43503	0.81039	0.2491	0.84899	0.13907	0.73231	0.76733	0.31242	0.046891	0.31604	0.29645	0.098395	0.1091	0.40374	0.1771	0.75665	0.41427	0.46016	0.18779	0.11156	0.06692	0.60522	0.12047	0.19644	0.58015	0.31227	0.45994
Meth__cg20648827__MAGEE2	0.35473	0.027257	0.80206	0.039303	0.17979	0.82591	0.78577	0.038537	0.77799	0.53824	0.24779	0.3047	0.21243	0.20918	0.1192	0.037389	0.15024	0.28585	0.40877	0.55164	0.26072	0.064068	0.49219	0.067412	0.10019	0.064253	0.47081	0.082409	0.21347	0.24547
Meth__cg24272559__LOC116123	0.069585	0.060052	0.14199	0.13048	0.58204	0.30614	0.75531	0.1159	0.82939	0.26026	0.14388	0.22478	0.78887	0.5846	0.11879	0.11105	0.10832	0.1105	0.23836	0.084615	0.35921	0.14542	0.34294	0.07621	0.32274	0.15471	0.28251	0.085604	0.12295	0.090744
RS_G463__VIM__VIM	2.9652	2.2052	5.3309	4.7875	13.722	3.764	13.663	0	10.3261	8.4787	10.5793	0.47968	11.7234	13.9024	10.1043	15.089	6.8882	3.1521	9.4838	11.1994	13.7198	1.8929	3.5908	2.3972	16.3769	9.8039	3.9594	8.8159	3.9298	0.37376
Meth__cg08896053__SNTG1	0.64157	0.038702	0.81728	0.18316	0.42803	0.86221	0.67814	0.27086	0.85722	0.5118	0.43229	0.43253	0.63152	0.49782	0.10593	0.039733	0.55152	0.80704	0.65655	0.55273	0.49023	0.056556	0.46458	0.053245	0.06062	0.082041	0.66211	0.073924	0.13104	0.15588
Meth__cg03041841__C9orf75	0.05594	0.037067	0.065725	0.038103	0.046875	0.048605	0.27418	0.053036	0.093883	0.90102	0.25892	0.020311	0.061843	0.33306	0.082342	0.075598	0.048277	0.057387	0.28646	0.0822	0.84772	0.058498	0.085775	0.17515	0.10646	0.11231	0.04592	0.11655	0.043315	0.058742
Meth__cg27584469__SLITRK2	0.80327	0.038156	0.44186	0.03395	0.41557	0.8391	0.90511	0.050768	0.92279	0.52583	0.13562	0.083801	0.17108	0.21872	0.089367	0.044199	0.48982	0.20591	0.57988	0.39215	0.56568	0.063395	0.68938	0.050179	0.10927	0.046836	0.3926	0.32262	0.056336	0.05148
Meth__cg10127415__MAGEB6	0.61068	0.027943	0.88444	0.090824	0.032474	0.78201	0.46273	0.027753	0.75716	0.18035	0.088	0.88096	0.81943	0.90949	0.03716	0.035338	0.030263	0.25531	0.32377	0.67824	0.088616	0.029114	0.46441	0.076416	0.099661	0.72153	0.14477	0.025217	0.14412	0.11365
RS_G4225__SPARC__SPARC	0.1343	0.14978	0.094438	0.083816	14.1217	2.1509	6.2713	0.11392	4.201	6.6944	2.2353	0	11.9638	11.47	4.5495	13.0059	1.8624	0.63481	5.5294	3.5813	6.8619	0.63899	1.2224	0	6.5885	3.3867	0	0.40268	0.4355	0
Meth__cg21789545__COL9A1	0.72267	0.032243	0.84176	0.23715	0.15382	0.60232	0.87411	0.29447	0.81352	0.29131	0.21061	0.049681	0.26305	0.39998	0.09472	0.035937	0.064909	0.11929	0.36511	0.70646	0.17668	0.18448	0.44263	0.087827	0.25976	0.45375	0.1361	0.24205	0.17193	0.4613
Meth__cg15320474__UBD	0.84893	0.053608	0.73548	0.045993	0.038844	0.57624	0.86805	0.13056	0.76804	0.70764	0.55644	0.031794	0.65799	0.89327	0.12168	0.043593	0.23451	0.20068	0.28195	0.47727	0.22509	0.22826	0.19729	0.15523	0.1626	0.54316	0.29137	0.37969	0.40811	0.49143
RS_G4751__ST6GALNAC5__ST6GALNAC5	1.3493	1.0504	1.3399	1.0143	5.9416	0.2507	6.665	0.17517	7.3934	6.2258	5.5602	0.23447	8.2988	7.1961	7.0426	1.3656	0	2.2612	3.6181	7.0606	5.7759	0	0	0	0.75056	6.2159	0	1.0276	1.2189	0.95463
Meth__cg24870391__CCL11	0.12551	0.040778	0.51023	0.48589	0.04363	0.15461	0.77013	0.29987	0.11842	0.53745	0.23622	0.053119	0.24709	0.69726	0.052604	0.059547	0.042172	0.059054	0.13298	0.34717	0.14744	0.03077	0.13186	0.079057	0.21707	0.033424	0.82968	0.2501	0.13241	0.064348
Meth__cg07623294__ELAVL2	0.76984	0.023497	0.76691	0.06047	0.029583	0.75205	0.39253	0.42244	0.22432	0.57208	0.052815	0.013979	0.032964	0.4	0.17369	0.071794	0.060714	0.22229	0.92579	0.13336	0.357	0.0619	0.12652	0.058166	0.26569	0.40747	0.064694	0.055391	0.031217	0.022426
Meth__cg10084993__SLC9A3R2	0.086291	0.063291	0.11748	0.11035	0.9141	0.10997	0.62646	0.23786	0.49253	0.89558	0.68785	0.061791	0.53254	0.2242	0.69926	0.11511	0.1275	0.097779	0.9361	0.17633	0.13651	0.065763	0.090305	0.076187	0.38633	0.082633	0.13306	0.10192	0.071443	0.10927
RS_G11355__NFASC__NFASC	1.5238	2.6199	3.8705	3.5415	0	0.46207	1.1935	1.2733	5.5101	2.2495	0.46045	0.04732	5.5934	4.7633	1.7588	0.053461	0.5979	0.91564	8.5256	2.7015	0.89043	0.83418	0.24318	0.67438	3.7217	1.9647	2.2215	3.4454	0.82443	1.5125
Meth__cg27600794__PNLIPRP1	0.1052	0.13632	0.3492	0.078814	0.40874	0.27605	0.85616	0.18697	0.88735	0.77622	0.8087	0.057305	0.80251	0.87915	0.091109	0.06723	0.72101	0.64601	0.91477	0.90114	0.27956	0.37891	0.19	0.14806	0.91514	0.37189	0.86145	0.90275	0.20511	0.30987
Meth__cg04662594__EPB49	0.14413	0.057739	0.72603	0.43097	0.20208	0.13383	0.42758	0.54104	0.20677	0.91205	0.57936	0.081503	0.43806	0.83929	0.28194	0.029777	0.50257	0.29226	0.62977	0.92844	0.51277	0.22274	0.14622	0.10254	0.2259	0.084931	0.56983	0.16409	0.081246	0.060638
RS_G16371__NOG__NOG	1.0519	0	2.2697	0	2.4767	0.38977	5.9809	0	5.9691	4.4078	2.8449	0	1.7954	0.37246	0	1.2498	2.0981	0.67981	0.39325	1.9775	4.0505	0.28562	0	0	4.5948	2.2238	2.1665	0.68639	1.1986	0
Meth__cg02423618__SPATA8	0.84123	0.14181	0.37424	0.03516	0.086949	0.45914	0.84248	0.045686	0.55982	0.53618	0.24524	0.052777	0.61471	0.46168	0.1039	0.034927	0.081105	0.17011	0.052916	0.46601	0.27635	0.21346	0.3266	0.36264	0.4239	0.63763	0.087993	0.33723	0.36104	0.30162
Meth__cg04420907__WDRPUH	0.10478	0.02509	0.94739	0.034619	0.019636	0.053183	0.48521	0.034502	0.9448	0.051814	0.91523	0.013172	0.34362	0.95502	0.050606	0.020934	0.038247	0.18971	0.14444	0.038001	0.49683	0.028236	0.03937	0.060276	0.60332	0.020734	0.57365	0.035528	0.31068	0.86443
Meth__cg01172484__MAGEH1	0.42991	0.016834	0.054244	0.048371	0.61737	0.054713	0.046959	0.021886	0.91725	0.40807	0.1566	0.041465	0.13567	0.51899	0.095519	0.045887	0.025836	0.050835	0.43136	0.41409	0.74556	0.17038	0.32654	0.037738	0.50935	0.1036	0.034156	0.32193	0.026447	0.03236
Meth__cg19921353__HLA-DPB1	0.26501	0.039591	0.7603	0.29171	0.31357	0.30265	0.86879	0.090205	0.70528	0.42308	0.22964	0.087562	0.31285	0.43791	0.16054	0.065351	0.12064	0.12967	0.76101	0.14786	0.17864	0.18569	0.22606	0.10365	0.13998	0.06756	0.45585	0.10064	0.27645	0.37443
Meth__cg22190114__NALP8	0.56285	0.060613	0.22649	0.070659	0.27576	0.49831	0.46261	0.061829	0.52319	0.78757	0.14409	0.035667	0.18659	0.53689	0.12793	0.088151	0.073372	0.48928	0.81601	0.91777	0.15006	0.08332	0.74505	0.11709	0.32434	0.12575	0.43497	0.66238	0.15209	0.093007
Meth__cg20555507__TRPM3	0.3123	0.057425	0.5755	0.11361	0.09597	0.24156	0.90883	0.071641	0.33544	0.24684	0.12987	0.063584	0.089307	0.080128	0.075572	0.073314	0.091964	0.078435	0.13803	0.57994	0.16434	0.088767	0.51356	0.065849	0.080493	0.23866	0.081314	0.068939	0.083586	0.068346
Meth__cg05997860__ADAM21	0.23264	0.034324	0.67978	0.50797	0.057585	0.36837	0.78136	0.080261	0.16681	0.2504	0.21527	0.10846	0.20881	0.4499	0.053191	0.062792	0.1216	0.19866	0.78004	0.76245	0.10979	0.21511	0.07838	0.12316	0.28709	0.042182	0.38118	0.19574	0.43065	0.30075
Meth__cg20695587__TMPRSS11F	0.20238	0.12043	0.11858	0.096742	0.16994	0.09214	0.57139	0.12716	0.69178	0.22125	0.11706	0.086827	0.80109	0.86621	0.21065	0.10669	0.097585	0.098436	0.15816	0.19054	0.76667	0.10025	0.15465	0.1725	0.66442	0.12962	0.20968	0.12786	0.138	0.093188
Meth__cg05767404__C1orf150	0.84966	0.098382	0.35406	0.07207	0.74786	0.79089	0.80124	0.128	0.68034	0.28351	0.17456	0.058365	0.57807	0.82755	0.098798	0.11981	0.19499	0.1906	0.81099	0.18796	0.69308	0.18261	0.2347	0.21511	0.37755	0.46587	0.20768	0.14307	0.62321	0.71207
Meth__cg03547797__GAS2	0.8394	0.070856	0.87853	0.40818	0.078118	0.70245	0.8524	0.1116	0.53258	0.70606	0.17899	0.20728	0.58797	0.81852	0.29483	0.091724	0.069352	0.15652	0.86408	0.86121	0.099643	0.52959	0.76272	0.091236	0.32335	0.86517	0.29784	0.085931	0.62973	0.35332
Meth__cg23706211__CELSR2	0.066642	0.084048	0.28676	0.039293	0.72559	0.41593	0.44019	0.049425	0.88545	0.47567	0.17902	0.13311	0.41362	0.25575	0.055823	0.14088	0.053288	0.10859	0.037496	0.53166	0.7673	0.2634	0.45314	0.1834	0.50101	0.071149	0.43932	0.11298	0.090696	0.058996
Meth__cg14894216__CATSPER1	0.22781	0.10667	0.76334	0.42162	0.095629	0.31169	0.47553	0.14807	0.28099	0.53892	0.44097	0.092901	0.55625	0.10633	0.23094	0.11407	0.5594	0.23439	0.36617	0.80384	0.83939	0.11046	0.13832	0.15314	0.11629	0.054128	0.22973	0.14059	0.09937	0.10644
Meth__cg10301990__UBXD6	0.057272	0.053883	0.19846	0.11042	0.30804	0.073521	0.16961	0.096185	0.20936	0.23339	0.20572	0.1484	0.10314	0.77876	0.18556	0.070806	0.097011	0.07035	0.086385	0.26304	0.66116	0.36199	0.08766	0.061687	0.30287	0.077175	0.10174	0.070281	0.063254	0.053909
Meth__cg13904968__PCK1	0.22638	0.029321	0.77681	0.30093	0.22964	0.11873	0.91737	0.27324	0.7301	0.79833	0.73655	0.04978	0.6354	0.83553	0.080703	0.053446	0.71984	0.52464	0.4173	0.46327	0.24246	0.069437	0.10702	0.052067	0.40072	0.046142	0.59085	0.84146	0.37982	0.33507
Meth__cg16122592__MAGEB6	0.3911	0.038387	0.82669	0.13282	0.42059	0.79629	0.84436	0.062588	0.80982	0.41088	0.1669	0.81456	0.77423	0.83283	0.1043	0.089068	0.059851	0.44427	0.4303	0.56048	0.10696	0.097366	0.4508	0.10037	0.18556	0.69672	0.27972	0.038741	0.4129	0.44396
