Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
RS_G10920__ITGA5__ITGA5	4.1991	5.5787	1.8799	6.3514	6.6272	0.30001	4.6947	7.953	5.2777	2.5252	7.8276	7.3246	5.4091	6.3575	2.6269	6.6635	8.0876	7.691	10.758	5.5302	4.2158	6.9234	5.1389	2.9675	4.6841	7.707	6.7365	6.0906	9.7669	6.3055	5.2446	5.4798	6.7465
RS_G406__GPR124__GPR124	1.8829	1.7232	0.053107	4.3719	5.7625	0.78853	2.0625	4.8648	1.0604	1.6615	8.1524	1.1026	2.1843	1.0762	1.0557	3.9021	3.3607	3.4824	6.1456	1.9608	1.1512	1.8291	1.3221	0.94288	0.60658	4.189	0.5674	3.2144	1.2619	2.3916	2.0141	2.0064	1.8159
RS_G16696__PRR16__PRR16	0.41506	0.24797	2.8974	0	8.729	0.51715	5.5895	5.757	0.29138	2.5036	5.5104	2.0171	2.0923	0.25845	0.70136	5.8394	6.3792	1.3786	7.437	0	0.88141	6.9914	0.32306	0.65491	0	7.3612	3.379	1.175	1.7352	0	0	0.80822	0.6793
RS_G9625__THRSP__THRSP	2.1278	4.3884	0.78214	4.4766	0	7.3255	0.86725	0.45662	3.8694	9.4885	0.66446	1.0359	0.82234	1.964	3.2841	0	0.56364	0	0	1.631	1.0951	0	0.55945	1.7591	2.4593	0	1.0012	5.8862	0	4.518	0	6.3295	1.2806
RS_G13907__ADCY5__ADCY5	4.7972	9.5091	1.3853	2.137	3.3713	0.73212	1.1076	0.25153	7.8828	0.56612	0.10578	0.27387	0.74037	2.3353	0.22806	0	2.0944	0	1.1236	6.8663	8.0975	0.71745	0.38401	0.38978	7.1157	2.8061	0.43515	0.19881	0.18466	0.60349	0	0.69567	0.088049
RS_G1729__CEACAM6__CEACAM6	11.2531	7.9363	10.8111	5.9404	0	1.8647	1.1825	1.3513	10.349	2.7211	0	3.8865	5.1973	10.3268	4.9433	2.3833	0	9.8898	0.33274	7.0239	6.9464	0	8.5402	0.18692	7.701	0.64487	0	10.0528	1.3566	4.5531	5.094	7.8943	9.4952
RS_G5632__POF1B__POF1B	3.5829	2.9715	6.5667	4.6059	0	3.611	1.8493	0	5.1177	8.4924	0.11745	1.93	0.5287	1.2403	3.8408	0.74799	0.9373	5.002	0	2.5362	5.5091	0	4.135	0.95867	2.3599	0	0	4.4269	1.5172	1.4106	1.9519	5.3682	2.3153
RS_G8938__IQGAP2__IQGAP2	4.9364	3.2259	5.623	2.3392	0.13382	6.2903	2.0729	0.53615	0.58039	1.0363	0	0.40008	1.1611	4.0429	4.9545	0.62697	0.53648	3.826	0	0.091238	1.0825	0	2.1637	4.2405	4.3124	0	0.85454	1.4654	0	0	0	4.3239	2.9035
RS_G11890__AQP3__AQP3	8.0116	10.6287	2.1647	1.9014	0	4.2468	5.9918	1.0506	0.53786	0.1979	0.81239	8.8606	9.6576	5.2418	7.5979	8.1506	0.68742	6.8679	2.5285	9.4709	8.5654	6.2827	8.6321	6.4726	10.8643	1.743	5.1633	8.3696	10.0805	1.1812	5.8895	7.5892	3.3056
RS_G4297__DPYSL3__DPYSL3	4.2682	0.83739	3.5608	4.3315	0.35313	0.36739	0.99867	6.742	0.05365	0.13571	4.9268	2.2627	1.653	0.09219	0.18951	1.0895	7.5919	1.2393	9.5025	2.118	0.35981	2.376	1.1786	0.17482	0	3.4451	0.51889	1.7287	1.6933	7.2656	3.9465	2.248	4.8161
RS_G7251__FAIM2__FAIM2	6.0556	4.3136	4.2489	0.7586	0	2.0251	0.18414	0.63439	3.7351	0.88827	0	0	1.2995	0.5793	6.5539	1.1739	0.39826	0	0.18832	1.3394	0.78926	0	3.6619	1.7217	4.3394	0	0.1154	3.5455	0	5.2322	0.12884	2.5916	1.3772
RS_G3823__CCND1__CCND1	11.467	10.2873	9.7956	11.0955	7.5774	10.8624	12.4704	7.9377	9.8988	10.1898	6.9323	10.1513	11.3166	11.978	7.0419	7.8671	9.0157	9.3554	10.1335	11.149	10.4301	10.5959	11.1601	10.8596	8.7887	8.7105	7.5246	10.0655	9.6036	9.6678	8.5391	11.3211	11.0084
RS_G17577__P2RX2__P2RX2	1.3699	5.6587	1.7281	7.6192	0.25976	0.69501	1.6549	0.15633	5.106	3.9282	4.3574	2.5458	0.38581	0.63772	6.1438	0.69729	0.25811	0	0.54424	6.4267	5.6475	0.63987	2.6185	1.1863	4.2646	0.45772	0	1.0983	0.71099	0	8.5345	4.7114	5.3932
RS_G12622__ENTPD3__ENTPD3	4.2057	1.6276	2.4329	2.2836	0.094504	1.3137	2.4286	0.70161	2.6439	0.25413	0.3192	4.9483	0.97482	2.9286	4.3004	0.36104	0	5.8247	0	3.3313	1.5158	1.9706	0.86462	0.46191	1.6258	0.17393	0.98866	4.5946	0.52321	0.10292	2.4856	0	0
RS_G5810__CD70__CD70	2.1298	0	0	0	9.7205	0	0	1.7744	0	0	2.6289	1.0273	7.8922	0	0	6.1861	6.9112	1.3388	6.277	2.7908	0	0	0	0	0	9.1854	7.1955	0	5.7209	1.9353	4.0443	2.2205	0
RS_G3514__ACTA2__ACTA2	1.4899	0.17287	2.2023	3.075	12.7191	6.5566	1.9507	8.7055	0.81938	1.9902	4.283	3.2771	4.8169	3.5235	3.9435	12.9136	9.2125	4.7159	8.2158	8.823	4.6158	3.4109	1.6547	2.3654	0	8.7349	3.9007	5.1671	4.9748	4.4277	7.0622	4.7747	5.8747
RS_G3155__CEACAM5__CEACAM5	7.7277	3.0865	5.2121	4.8633	0.070684	0.77155	0.33646	0.23729	6.8653	2.8689	0.19396	1.5222	1.9951	3.6506	2.6469	0.67372	0.38368	1.983	0.44479	4.5313	5.7591	0.25678	6.8029	0.24994	1.7276	0	0	5.413	0.66264	3.5968	3.7252	4.8808	6.2929
RS_G13235__KRT4__KRT4	9.3812	11.4788	3.7138	6.6081	0.19191	1.292	4.5089	0.67209	6.6696	4.7751	0.6186	9.2252	10.5856	8.4049	7.4345	5.9863	0.10105	10.3706	1.7151	4.2725	1.7253	0.82122	4.2504	1.1517	10.7577	0	1.1482	6.9112	3.9312	8.1608	5.2153	4.5519	0.62627
SNP__DMBT1	0.014	-0.15	-3.561	-0.116	-0.159	-0.167	-0.078	0.315	-0.148	-0.008	-0.386	0.221	0.4	-0.208	-0.224	-0.305	-0.408	-0.268	-0.603	0.022	0.108	-0.224	0.032	-0.043	-0.202	0.142	-0.198	-4.07	-3.272	-0.254	-0.304	0.118	-0.366
RS_G2770__GDPD3__GDPD3	5.7813	10.6318	4.8723	6.1391	3.3539	6.6958	2.9664	3.776	7.5407	4.0359	3.3238	4.3605	5.7742	4.4425	4.0949	4.6084	4.1315	4.2824	2.2524	7.0924	7.5877	2.1837	5.1432	5.1427	9.0082	5.0971	6.6166	2.9836	4.791	8.2566	4.4144	5.7162	3.5616
RS_G920__BCAS1__BCAS1	6.6372	8.9475	11.0683	7.1505	0.93032	5.61	1.127	1.64	10.7186	6.2652	0.25653	0.51932	2.3365	4.0923	7.4486	1.1356	0.70967	1.8382	0.95512	8.6848	6.957	0.83247	6.1234	2.181	9.4061	0.49246	0.40769	7.3227	1.9885	4.6113	6.1188	7.2271	7.9636
RS_G3621__RASD1__RASD1	5.969	3.1449	0.68218	4.3604	1.2555	2.573	2.5312	1.9517	9.8031	1.1515	3.5046	3.8191	1.2438	1.4534	3.8761	1.8056	1.9539	1.1264	2.8615	6.7543	8.3099	5.2432	4.799	2.2009	1.6598	1.155	3.3133	8.5541	3.1136	2.7128	0.32639	2.5211	1.6951
RS_G922__CHI3L2__CHI3L2	3.2198	0.51024	0	0.56368	5.798	0.56836	0.66931	5.9387	0.46306	1.1011	8.7973	0	4.899	3.6758	0.55634	5.7246	5.4771	8.3731	1.2346	0	0	0	0.15241	0	1.528	1.3437	1.671	4.1672	1.328	3.3623	0.96833	0	0
RS_G16329__AC005332.1__AC005332.1	1.4126	6.8891	0.52114	0.61053	0.59991	4.3973	2.5319	0	3.8846	3.0082	0.29172	0	4.0142	0.87419	1.029	1.9266	0	0.30182	0.9157	3.5412	1.9513	0.58014	2.4085	1.8568	3.5274	1.8698	1.0444	0.73792	0.87371	0.51986	4.1958	1.2154	1.6357
RS_G13234__AC135457.2__AC135457.2	4.438	5.5184	2.9816	4.176	0	4.1144	0.57084	0.81969	8.4437	3.1298	0.76268	0	0.3818	0.91582	3.4289	0.58332	0	0	0.90435	1.9106	3.1711	0.1258	6.1146	7.5507	4.8409	0.23253	0	4.1265	0	0.80114	3.9769	6.1201	5.5207
RS_G16432__C1orf64__C1orf64	7.5817	5.6156	7.5603	5.6306	0	3.097	0.1454	0.9382	8.8167	1.8555	0.21876	0.25986	0.25555	0.15475	8.3654	0	0.16111	0.15095	0.4392	0.63111	0.17079	0	6.8421	1.2505	8.026	0	0.46451	4.2383	0	0.096899	2.7013	6.8627	5.9547
RS_G8410__EMP3__EMP3	2.911	2.2536	0	5.4885	10.665	3.4648	8.5826	10.5314	2.4683	3.5154	2.9505	6.6359	7.2148	2.5904	2.7206	3.8705	10.036	5.246	12.2115	4.767	4.5667	11.253	3.255	3.7386	1.1597	11.5916	9.0071	4.185	8.949	4.0601	3.8818	3.7137	1.0148
RS_G16320__PCBP3__PCBP3	0	1.233	2.8412	5.1319	4.7329	0	1.8135	7.1215	2.717	1.4734	6.7411	1.1414	3.7919	3.7675	0	3.7909	4.1238	5.8191	0.75128	4.5505	4.5556	3.5964	0.47491	0	0	3.3797	3.9459	5.3921	1.2824	5.3456	0	0	0
RS_G6090__GNG11__GNG11	0.71502	0	0	0	7.1496	0	0	5.5049	0	0	0	2.63	1.1777	0	0.46383	4.103	4.6713	3.4475	7.7723	0.67123	0	8.221	0.46116	0	0	6.0924	3.2617	6.3484	2.8833	0	9.7098	0.65578	0
RS_G22701__ATP10A__ATP10A	7.5074	0.25087	0	2.7124	0	0	4.4453	2.6536	0	0.069701	4.892	0.22617	4.9408	0	0	4.6253	0.75404	4.7523	3.1988	1.6168	0	3.3339	0.08933	0.17543	0	6.5671	0.10086	3.9696	4.7707	6.3999	5.6339	3.9525	1.7496
RS_G8399__COL6A2__COL6A2	0.09725	1.2175	2.8781	5.7926	7.9295	1.5704	9.9917	10.7921	0.12627	1.3977	8.5995	6.9876	7.7184	3.3578	0	4.7661	10.2763	0.66729	13.2127	4.7809	5.0646	6.3192	4.4906	0.84685	0.54742	9.0792	8.6458	5.6524	9.1203	0.74141	3.3194	2.3452	6.8501
RS_G1232__CRMP1__CRMP1	3.3209	0	3.014	5.2991	3.059	0.64075	0	2.2175	0.16006	3.0892	5.3528	2.3382	2.547	2.0576	0	5.2997	3.5543	0.87195	3.3146	0.28254	0.15011	2.1643	5.713	3.2428	0	2.8821	0.8311	2.2466	1.6613	2.1455	2.2182	5.8315	4.9652
RS_G11429__CXCL3__CXCL3	0.33948	0	0	0	3.4106	0	2.5204	3.2775	0	0	4.4838	3.1649	1.7437	1.4393	0	4.6319	3.5497	3.3576	4.5588	0.22001	0	2.2938	0	0	0	6.9196	8.1321	1.9658	2.8659	0	0	0	0
RS_G463__VIM__VIM	2.9652	2.2052	5.3309	4.7875	13.722	3.764	13.663	13.843	4.156	0	10.3261	6.4127	8.4787	10.5793	0.47968	11.7234	13.9024	10.1043	15.089	6.8882	3.1521	13.7198	1.8929	3.5908	2.3972	16.3769	9.8039	3.625	11.237	3.9594	5.7587	3.9298	0.37376
RS_G27296__IGHE__IGHE	0	6.9908	1.3543	4.0388	0	0.60738	0	0.51827	1.5466	1.1694	0	0.87206	0.6756	4.4599	0.58338	0.48354	0	0	0	4.756	1.6579	0	1.3237	0	2.7515	0	0	0	0.68655	6.537	1.5464	4.3878	2.5552
RS_G11256__SPRR3__SPRR3	1.7298	0.23122	0	5.638	0	0	0.98659	0	0	0	0	2.728	4.5123	3.2536	0	0	0	0	0	1.1027	0.83238	0	0.45042	0	0	0	0	0	0	1.7475	0	2.7222	0.6426
RS_G8682__OSR1__OSR1	0.11123	0.23849	0.2896	0	0.48045	0	4.8216	6.3439	1.8828	0	4.1075	0.57369	0.83199	0	0	4.8445	2.7179	0.34605	7.5551	0	0	4.3569	0.57157	0.45115	0	3.2881	3.4287	0	3.2369	0.52938	0	0	0.36537
RS_G18084__RASSF10__RASSF10	2.2875	3.2549	1.5835	0	0	1.9282	3.3829	0	2.6352	1.3053	0	4.0508	3.2488	0	0.37757	0	0	0.86239	0.42569	1.1382	0.38499	0	0.65729	0	0	0	0.93369	0	4.2475	0	0	1.334	2.1765
RS_G16181__NKX2-5__NKX2-5	0	0.14799	0	2.2776	0.30376	0	0	4.2666	0.17603	0	5.648	0	7.2823	0	0	7.3849	5.2771	0	7.6837	0	0	6.4732	5.7523	0.52732	0	0.74346	0	0	0.82108	4.6758	0	3.6568	0
RS_G1949__NRCAM__NRCAM	0.31034	0.25695	7.7866	6.3877	0	4.5521	0.40396	0.95425	2.8649	4.9526	0	2.5075	0.060781	1.2375	3.817	0.93017	0.21491	0.069448	0.9522	7.1113	7.0033	0.20825	5.0264	0.13774	0.65721	0	0.14959	0	5.592	2.1109	0.61954	3.7421	1.0569
RS_G16566__CSF1__CSF1	4.9267	3.3068	0.63581	2.0826	5.2612	3.3153	1.4233	5.6818	2.1574	3.7992	8.8161	4.2899	6.4616	5.0175	0.91289	5.9173	8.2679	5.7738	6.5134	2.7338	1.7785	7.9524	1.6766	0.68883	2.3696	8.6661	7.9034	3.0812	5.3272	1.8363	3.2028	2.5385	0.98173
RS_G1492__DUSP13__DUSP13	1.1639	3.9306	0	3.4195	0	0.39666	0.7545	0	4.3288	4.8779	0.46004	0	0	0.476	0.27248	0	0.26614	0	0.56268	4.1128	4.8187	1.9107	4.6054	0	3.3152	0	0.88679	0	1.9153	1.3829	2.1176	2.0528	2.255
RS_G15925__TSEN54__TSEN54	7.2344	8.3459	6.4633	7.5892	6.3917	7.9159	7.7411	6.4839	6.8253	8.3035	7.0863	7.4429	7.0836	7.421	8.0853	7.972	6.2994	7.2044	6.6307	10.0525	8.9556	7.161	9.7546	9.4051	9.1787	7.8424	7.1251	7.3376	8.4663	7.997	8.3349	8.8604	8.5107
RS_G11943__C10orf10__C10orf10	6.4294	2.4145	3.8936	2.0915	3.4013	0.56101	6.3853	5.9015	2.378	1.5633	7.4403	1.1295	5.9323	4.8405	1.5111	5.9809	4.172	7.2064	3.6636	0.63589	2.0915	2.4972	2.1318	2.6079	0	6.2562	1.5369	5.9749	4.0583	1.1558	2.2516	1.3846	2.7746
RS_G10720__TFF1__TFF1	9.5716	6.8461	12.1442	15.3072	0	8.1211	1.5719	0	12.8985	14.5477	1.9333	1.5228	4.0155	4.0294	8.0643	0	0	0	3.3081	14.9851	14.3712	4.5944	14.5594	6.0558	3.1878	1.9663	2.5271	2.6641	2.5734	1.4334	3.9827	11.9576	13.9006
RS_G15082__CALML5__CALML5	11.7504	5.995	7.7426	8.9148	0	1.712	8.0382	0.59303	6.3786	3.1741	1.3594	9.9227	7.5464	1.881	12.2335	4.7952	0	8.3003	0	8.8111	7.1102	0	12.1395	12.0061	2.3509	1.4107	5.5412	12.4513	4.9212	4.2737	1.4794	5.0572	5.5081
RS_G16217__CHST6__CHST6	2.6012	1.5144	1.6411	2.0451	2.1819	2.3057	2.1331	4	2.2808	3.0885	4.9838	2.5888	3.5074	1.7426	2.2932	2.7571	3.4023	5.4139	2.6436	1.4215	1.7423	1.385	1.5255	1.7846	2.1644	4.2671	2.72	3.6417	1.9896	2.4523	1.8302	2.3691	1.8537
RS_G10056__ADAMTS1__ADAMTS1	0.40649	0.19684	2.7451	4.6542	9.1222	3.9788	5.5768	5.2846	2.2992	7.1431	5.8779	7.4379	3.0483	2.3121	3.8107	6.6168	5.8881	3.6986	9.0055	0.10674	0.26857	3.8867	5.6499	6.545	0	2.307	6.9795	5.0715	2.4462	1.1737	1.1843	4.9621	4.8179
RS_G6975__LOXL2__LOXL2	1.5391	2.7296	1.2016	5.6888	11.6528	0.8968	6.3164	9.3974	1.5447	2.0715	6.3622	3.9725	6.3672	6.8128	0.54448	8.6672	8.2651	5.7011	11.1125	7.6294	3.625	8.9271	1.3338	2.0015	1.078	8.2155	10.5325	5.5342	7.3102	1.0611	1.131	3.8986	1.1635
RS_G29779__HMX1__HMX1	0	0.12473	3.8952	5.4103	0	0	0	0	0	0.63916	6.1664	3.6621	2.6571	2.9916	0	1.7597	0.2596	0	0.29934	0	0	0	0	0	0	1.3222	0	4.5457	0	2.5287	4.5008	0.6615	4.6114
RS_G5567__PREX1__PREX1	7.2462	9.4167	8.806	10.4089	0.22186	6.8101	4.4805	5.6559	6.6114	8.4126	5.8229	5.9925	4.7198	2.9075	3.8884	1.4154	4.0377	0.14017	6.4915	12.0764	9.6008	0.4589	8.6745	4.204	9.5072	1.276	2.3445	4.4718	5.1828	7.4045	10.2263	10.6767	6.5261
RS_G3436__AMBP__AMBP	5.5216	4.1249	2.8804	5.6693	0	4.4106	0.30004	0.55576	3.6561	3.1994	0.31932	0.72738	0	0.32997	1.6721	0	0.34272	0	1.0688	2.9627	1.5467	0	9.687	5.2492	0	0	0	3.1016	0	3.3531	0	3.6158	2.5328
RS_G1423__FGFR1__FGFR1	2.6223	0.54709	6.777	7.0974	8.0925	6.9204	4.5239	7.3206	6.1057	6.3256	6.6419	3.1821	5.3519	4.853	3.7117	5.5053	9.0117	5.0448	7.8731	6.4148	5.8034	7.0505	8.0027	5.9527	3.107	8.9611	3.8054	6.8247	4.3479	7.1144	5.0337	8.1537	7.5687
RS_G3807__LPXN__LPXN	4.4572	3.8249	4.6454	3.0135	4.0192	4.0199	3.3559	5.9285	1.6903	3.703	5.2704	7.4217	5.7899	3.8946	3.3023	5.7034	3.7592	6.6655	8.9465	4.1342	2.9364	6.0065	3.4461	4.0319	3.5122	4.9321	3.6065	5.8063	1.4933	4.6376	4.4154	3.882	3.6265
RS_G18754__CYP2B7P1__CYP2B7P1	7.8731	0.71843	4.2739	6.4891	0.97565	1.959	0.71636	1.7225	3.0186	5.0364	0.23268	4.7275	1.0877	1.8112	0.71491	0.094855	0.75563	0.43847	0.86152	2.1059	1.3998	1.0342	8.1502	0.77303	2.1599	0.44639	0.84597	0.49865	0.49534	0.64224	1.8966	10.3949	8.5954
RS_G13093__TM4SF1__TM4SF1	10.4225	8.9741	6.3961	10.5422	10.2741	5.8997	11.4386	9.303	3.5257	7.7572	12.9126	7.6636	9.4061	10.3038	6.8407	8.7437	10.129	12.1941	10.6962	5.09	6.0437	10.9392	7.3568	10.462	7.2096	10.7158	7.7496	10.4649	8.9015	9.9612	5.7164	8.242	3.2361
RS_G9937__PID1__PID1	3.531	3.4933	0.99515	2.4397	2.7231	0	3.8103	7.2734	3.7721	1.9968	4.77	1.9694	1.4947	1.1073	0.17537	5.107	5.6305	3.47	5.7238	0.46569	1.2408	3.9905	0	0	4.4948	5.1605	9.1818	2.9212	4.2784	5.3652	0.53315	2.6993	1.5765
RS_G13039__MT1E__MT1E	0.46681	1.1873	0	0	0.55979	0	3.0392	0.6051	2.5016	8.2657	8.7515	8.4328	4.4369	0	0	9.6024	9.0759	1.332	9.3513	5.1038	0.30908	10.5635	1.0982	2.431	0	11.4032	10.0631	0.97053	11.2761	11.6174	0	4.0503	0.77012
RS_G8719__DQX1__DQX1	5.6099	3.965	0.20971	1.1459	0.57524	3.789	0.78162	0.57264	1.3792	0.37708	1.3782	1.3153	1.5275	0.84184	5.4246	4.096	0.87143	0.3289	1.2424	1.3906	1.5839	0	3.7419	4.363	3.8751	1.7522	0.36883	0	3.2749	1.7461	2.8997	0.49587	0.69789
RS_G14859__SAMD9L__SAMD9L	3.4575	0.067225	0	2.1607	0.21202	0.077493	0.12401	3.0939	0	2.5986	4.7979	3.7721	2.6339	3.1608	1.4916	1.4255	2.658	6.9834	3.9452	0	0	3.4066	0	0	0	0	0.41083	4.653	2.4155	3.3204	1.6339	0.10744	0.10906
RS_G11321__IGFBP7__IGFBP7	0.48984	0.20472	0.64677	0.22802	4.9569	0.60953	10.1072	4.3762	0	0.96387	5.4059	8.8986	8.1983	0.71009	1.6	9.7724	4.1764	5.9428	11.5239	1.4949	0.22795	9.8327	0.10584	0.93944	0	0.70873	4.6982	7.9681	9.9865	0	2.6526	0.57635	0
RS_G7748__IFI44__IFI44	3.8056	0.59385	0.46246	6.1055	2.1195	0.30353	2.8333	7.1034	0.31583	4.6246	9.3298	6.5299	7.3962	6.8635	4.9226	2.6237	7.0366	10.8415	2.8004	0	1.098	6.4009	0	0	0	0.88563	5.9345	7.5377	4.7341	0.59359	4.5095	1.2093	0.41488
RS_G2444__DHRS2__DHRS2	0.2359	14.6844	11.7493	6.6887	2.5316	1.6777	4.4145	3.6813	10.1054	8.4176	4.5722	5.0834	7.268	6.2349	5.7465	5.3332	2.5801	0.5953	10.362	9.7883	10.7059	4.1857	10.3872	3.392	13.7868	2.0603	2.9433	5.4667	2.7155	2.9541	2.138	9.3579	5.334
RS_G10350__MMP14__MMP14	0.71728	1.4795	0.44191	0.89739	9.639	0.34999	7.3688	9.383	2.0141	1.802	2.0248	8.6885	7.6792	3.3228	0.61768	1.116	8.0798	8.3525	9.2776	3.4012	1.7563	8.3464	1.852	2.8725	1.1442	13.1123	6.8229	1.9123	8.7879	1.6794	4.0109	1.1125	1.5268
RS_G5077__IFIT3__IFIT3	3.5073	0.42614	0.71146	5.6835	4.0217	0.75143	2.7317	3.1272	0.27072	3.3751	11.1729	5.7703	7.0085	6.9943	4.9036	1.7564	4.5726	10.4635	5.107	2.2909	2.3899	7.6113	0.82931	0.76318	0.59164	2.3992	5.1299	7.4807	4.7129	1.908	4.7428	0.87193	1.4226
RS_G14453__NR2F1__NR2F1	0	0.62002	0.26207	0	8.065	0	1.6759	1.1938	1.1083	3.4171	0.14742	3.5416	4.981	4.7643	0.56207	4.1435	1.2267	4.8295	7.9087	2.6308	0.72901	8.0721	9.375	10.4319	0	6.7984	3.8738	4.7493	4.3224	1.7813	4.5034	4.6681	8.2892
