Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__PDZK1IP1	8.3377	5.8239	5.195	4.8593	4.8828	4.8095	5.0487	7.0575	8.8058	5.0094	7.2283	5.2256	7.9671	5.3772	5.4309	9.5137	5.3958	11.0033	5.2088	5.1539	4.9543	5.1708	4.7764	5.4087	5.1653	4.9605	6.5664	5.0223	5.4685	4.9062	8.0023	5.1658	8.0265	5.2721	5.1448	4.9334	4.8939	4.7793
U133A__TPD52L1	7.5691	7.9725	8.419	7.606	7.9326	4.9533	6.9205	7.7398	7.015	9.1963	6.7747	6.7627	9.2769	7.7655	7.331	7.9275	6.0534	8.7119	4.9874	8.7672	9.101	8.1636	4.4448	7.2668	4.8542	8.9955	10.0234	6.5342	8.4437	4.5276	7.166	5.6365	8.9222	9.7928	8.0223	8.0755	7.4465	7.8597
U133A__PAM	6.5936	4.9904	5.7176	7.0863	6.6673	8.1748	5.0662	9.5932	7.0482	4.3977	8.7907	6.5625	5.8	6.8941	4.3226	7.3707	8.0552	9.9862	6.6152	4.9939	6.885	5.1649	7.0219	5.2092	7.6517	5.7571	4.5287	5.2073	4.5169	7.177	6.6648	6.9385	8.5536	5.5328	7.2031	7.9912	5.8766	6.8036
U133A__NBN	4.2839	8.2298	6.2367	5.6307	7.0294	6.6804	6.1751	6.2004	6.0468	8.3353	6.8586	5.9197	6.7325	6.3467	5.8234	7.6479	7.7981	7.1026	7.0906	7.1462	7.7379	5.8259	6.6622	5.8066	6.1024	5.0885	5.419	5.7558	7.6264	6.247	6.5503	6.2179	7.2107	5.5625	6.3336	6.1094	5.264	5.3581
U133A__PPL	7.2713	8.6978	8.5532	7.5989	7.4733	5.343	7.0375	7.7172	7.1606	6.3943	5.6236	8.6777	7.8406	6.9215	9.0138	6.3552	6.8729	8.4826	4.9562	8.1627	7.1625	6.2894	4.9658	7.221	5.0623	8.1619	8.0623	6.3576	7.8424	6.0512	6.4286	4.7362	9.3791	7.1074	6.9717	8.5963	6.9001	7.5252
U133A__CYFIP2	6.119	7.2214	5.5471	7.2856	7.9177	5.0692	8.2878	5.5729	5.7304	7.8867	5.7349	5.1345	5.1257	5.5263	7.4708	6.2103	5.5828	4.7354	5.6666	5.6376	6.6199	6.1386	5.2283	7.4	5.4525	6.2671	5.9559	6.8642	6.9614	5.7687	5.5363	5.436	5.4743	8.5498	7.3658	8.2599	5.8194	7.1325
U133A__KRT7	10.1211	11.0636	11.0859	10.6804	10.0912	3.555	8.9173	9.7258	8.9656	4.8813	7.8858	9.3769	10.4135	11.0505	10.5188	10.3118	9.5229	9.7402	4.6072	6.1713	6.5574	8.418	4.0198	10.127	8.702	10.5889	10.3833	9.0756	10.8183	3.5269	11.4685	10.7265	11.6066	9.6603	6.9013	10.3015	6.8825	5.5108
U133A__CHN1	6.5311	5.9812	6.3268	6.8807	6.9491	7.0345	7.4646	6.5837	6.6716	7.5815	6.5206	5.833	5.8687	6.1969	5.689	6.1582	8.0957	6.6152	6.58	7.1704	6.9188	6.3722	9.1868	6.0755	7.0938	6.8787	6.7295	6.1745	6.2256	6.4345	9.1519	8.3679	6.0428	6.5288	6.2308	5.9554	7.3065	7.0723
U133A__EPAS1	7.5586	9.4435	9.3385	6.5628	6.6454	7.1099	6.6122	6.878	5.9279	7.9068	9.1876	9.0687	8.1309	8.2067	11.134	8.0527	8.9875	8.7955	7.4187	9.242	7.7912	8.5965	8.4085	9.4821	6.3178	8.0953	7.8271	7.9185	9.5402	6.3055	8.8077	8.0257	7.1293	10.3129	7.6909	9.5309	7.7552	6.3461
U133A__SORBS2	8.936	5.4961	5.4941	6.4401	5.4424	5.5175	5.5786	8.6285	5.6054	6.2198	6.3474	6.0802	6.9047	5.4611	6.2066	6.4919	6.1776	7.7611	6.6186	5.7661	5.5938	5.7209	6.9767	6.1543	5.9303	6.5877	6.2867	5.633	5.5737	8.6789	5.8552	6.5495	7.7492	6.8821	5.923	5.5824	6.4692	5.6689
U133A__KRT17	4.5314	4.4229	4.7834	4.4065	4.2371	4.2453	4.4635	9.1914	6.9783	4.6626	4.4668	7.7268	10.2366	8.2134	4.4224	11.2313	4.6517	5.2437	4.895	4.8219	4.4969	4.2308	4.2958	4.5319	4.5144	4.4182	4.8657	4.5314	4.5867	4.6411	8.0138	4.531	7.2162	4.5278	4.4662	4.2884	4.3942	4.1639
U133A__LOXL2	4.6838	4.8373	7.2684	5.2765	4.931	11.2532	5.0339	5.1123	8.9399	4.9087	6.8644	4.7623	5.0723	7.4659	4.8991	7.0953	7.9161	6.9804	9.527	6.8229	5.5615	5.0457	9.013	4.8066	8.2858	5.1224	5.0076	5.0073	5.2823	8.7674	8.8033	7.5966	6.1602	5.0957	4.983	7.7962	5.0515	4.9497
U133A__C5orf23	5.6841	6.3829	5.455	7.5346	6.271	6.5705	7.2092	8.7788	7.6183	5.4248	7.2325	5.4244	5.5515	5.5549	8.2279	6.8555	7.2818	8.3511	7.1384	5.6597	5.5512	6.1622	6.0857	5.6845	5.6237	5.9768	5.8137	7.0568	7.5061	5.7325	5.2448	6.0217	5.3433	5.4923	5.947	6.2081	6.4551	5.6891
