Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg07997737__NRTN	0.16461	0.20494	0.23982	0.15686	0.23703	0.12488	0.23827	0.82267	0.10978	0.29868	0.84916	0.64207	0.68844	0.061492	0.098994	0.65751	0.66927	0.41086	0.053234	0.48228	0.47454	0.41555	0.68617	0.66625	0.16821	0.13173	0.13955	0.65244	0.09283	0.53225	0.3792	0.072664	0.098102	0.71981	0.27753	0.18228	0.067509	0.086437	0.26605	0.10518
Meth__cg00746083__CHD8	0.047919	0.046485	0.040164	0.035523	0.041837	0.050546	0.036936	0.042345	0.048052	0.04367	0.042765	0.030797	0.088698	0.030629	0.058451	0.033588	0.046863	0.097249	0.036376	0.039234	0.044381	0.046551	0.040603	0.033462	0.10109	0.041627	0.058406	0.045154	0.06234	0.038858	0.062673	0.049105	0.59693	0.03542	0.043708	0.16164	0.057309	0.049414	0.11326	0.04643
Meth__cg26036443__EHD2	0.056504	0.04708	0.90683	0.82286	0.045626	0.052403	0.08067	0.1139	0.068352	0.18485	0.90394	0.30208	0.10675	0.038588	0.059523	0.068838	0.048639	0.28776	0.046894	0.045916	0.14278	0.17826	0.07628	0.48062	0.14294	0.69298	0.13265	0.92438	0.087145	0.91163	0.098769	0.051464	0.056873	0.30518	0.17823	0.11551	0.11252	0.060969	0.097892	0.071972
Meth__cg26803566__SGPP1	0.046025	0.041542	0.11419	0.11042	0.15575	0.15105	0.071847	0.38267	0.47211	0.10898	0.076634	0.22436	0.063582	0.14455	0.081247	0.088436	0.041768	0.2239	0.063811	0.10493	0.075041	0.098817	0.1458	0.33872	0.13108	0.05841	0.13648	0.043372	0.14901	0.093015	0.10578	0.047287	0.03159	0.30908	0.065836	0.12871	0.037264	0.05536	0.18845	0.063159
Meth__cg09717545__KISS1R	0.13414	0.14981	0.46507	0.057166	0.30306	0.22449	0.41221	0.68559	0.09701	0.15493	0.94985	0.15988	0.77231	0.1312	0.11493	0.94259	0.13281	0.20515	0.44505	0.72296	0.22012	0.22793	0.94594	0.19202	0.88931	0.15292	0.092029	0.17519	0.28545	0.9415	0.20951	0.087722	0.12287	0.37296	0.68012	0.13199	0.09944	0.3763	0.17333	0.10577
Meth__cg20066612__KCNJ9	0.068951	0.017019	0.58139	0.096835	0.85154	0.26037	0.49911	0.94331	0.30316	0.021536	0.47058	0.51204	0.8186	0.21257	0.34855	0.70507	0.14727	0.82376	0.6894	0.1124	0.16372	0.45407	0.91298	0.29779	0.81705	0.37468	0.057656	0.8055	0.44018	0.55267	0.13276	0.029851	0.41985	0.92139	0.85949	0.025349	0.16879	0.1361	0.26564	0.15168
Meth__cg09875273__ERBB2	0.053791	0.015603	0.026686	0.039669	0.037077	0.040262	0.14528	0.041044	0.069294	0.080723	0.82974	0.067161	0.026325	0.016197	0.066076	0.03812	0.028524	0.058193	0.052415	0.046638	0.094865	0.038746	0.064923	0.051511	0.062746	0.019489	0.066418	0.045151	0.023267	0.068215	0.029278	0.053346	0.040705	0.087138	0.03228	0.029851	0.019065	0.051128	0.017864	0.050681
Meth__cg08748415__CLIC5	0.077865	0.10279	0.21641	0.087798	0.5706	0.13846	0.068581	0.42255	0.087003	0.085617	0.26484	0.10296	0.11466	0.1343	0.091442	0.58275	0.082524	0.12249	0.11024	0.14439	0.14963	0.10887	0.1358	0.17653	0.16447	0.11033	0.14903	0.16034	0.17811	0.11785	0.1172	0.10955	0.087837	0.13252	0.25531	0.12313	0.084324	0.12881	0.1762	0.099344
Meth__cg02071305__VPS18	0.084486	0.065683	0.32971	0.18407	0.68737	0.080694	0.37016	0.23347	0.26751	0.15766	0.35339	0.74601	0.36763	0.063488	0.21324	0.16549	0.093996	0.19113	0.10364	0.11258	0.19554	0.38589	0.5693	0.42278	0.27112	0.083451	0.088785	0.25302	0.10745	0.35223	0.14799	0.056451	0.14015	0.29321	0.069015	0.085536	0.22074	0.057622	0.16958	0.051182
Meth__cg14654926__FGF10	0.34621	0.017131	0.9593	0.27196	0.70783	0.9346	0.21421	0.97556	0.66922	0.055336	0.93356	0.55884	0.16017	0.93593	0.68151	0.89917	0.038637	0.11764	0.52021	0.16543	0.85302	0.86042	0.4775	0.51889	0.29758	0.88104	0.039888	0.35653	0.86513	0.12567	0.03353	0.034599	0.045523	0.92613	0.27703	0.043127	0.059183	0.85702	0.4735	0.89915
Meth__cg00651216__HSP90AB1	0.05165	0.063254	0.37792	0.25791	0.8788	0.45155	0.89153	0.58833	0.34771	0.25853	0.23263	0.90971	0.32777	0.038854	0.31024	0.26017	0.41064	0.42914	0.49139	0.34909	0.25878	0.25451	0.42919	0.16437	0.68549	0.14942	0.29603	0.87354	0.15459	0.21847	0.12561	0.26386	0.10591	0.71347	0.19423	0.089229	0.049258	0.16207	0.14448	0.11802
Meth__cg17285325__ECGF1	0.090872	0.0359	0.80506	0.070178	0.94767	0.20092	0.91467	0.064642	0.058333	0.88954	0.35669	0.83839	0.19621	0.93456	0.057912	0.94795	0.15067	0.088726	0.72823	0.96581	0.94062	0.077577	0.18352	0.24259	0.91781	0.86329	0.089991	0.056828	0.069192	0.9456	0.097944	0.062785	0.048651	0.27217	0.033006	0.10741	0.058711	0.0654	0.32157	0.062718
Meth__cg14601560__SCLY	0.094461	0.08518	0.16414	0.080434	0.084485	0.096664	0.071064	0.67811	0.082814	0.097187	0.11528	0.10229	0.14468	0.073566	0.10303	0.095025	0.09425	0.17969	0.11028	0.12511	0.09561	0.095213	0.11154	0.10431	0.10764	0.098058	0.11868	0.1059	0.13529	0.092012	0.12503	0.099448	0.082875	0.093346	0.088259	0.09594	0.084868	0.081757	0.094664	0.091196
Meth__cg11115427__PHYH	0.058683	0.051412	0.28891	0.33903	0.41661	0.24816	0.16653	0.18162	0.038555	0.060056	0.22801	0.47229	0.20066	0.24731	0.049537	0.43934	0.1406	0.099289	0.076025	0.16163	0.18093	0.3035	0.169	0.13769	0.18916	0.14221	0.053805	0.079568	0.36458	0.11638	0.16467	0.033849	0.074325	0.23271	0.04716	0.083269	0.033531	0.084219	0.043861	0.057425
Meth__cg00067471__ATP5D	0.058818	0.061324	0.090572	0.067579	0.39372	0.096675	0.13351	0.212	0.05635	0.087782	0.085263	0.35673	0.14735	0.052491	0.061668	0.14243	0.075771	0.22115	0.057543	0.092154	0.1859	0.09698	0.31772	0.19642	0.1249	0.14487	0.13729	0.13773	0.13895	0.22099	0.084494	0.046087	0.059031	0.10731	0.075208	0.14424	0.057761	0.067086	0.12584	0.065105
Meth__cg05898102__PCDHB10	0.087634	0.019017	0.36453	0.036148	0.13926	0.076855	0.083905	0.42496	0.20254	0.036783	0.0363	0.14586	0.09125	0.14923	0.15148	0.39512	0.034811	0.11395	0.049024	0.038049	0.22219	0.064186	0.67845	0.34984	0.067959	0.053056	0.052137	0.051012	0.13614	0.2152	0.030311	0.18043	0.036606	0.34844	0.054175	0.049109	0.052809	0.069337	0.21078	0.031455
Meth__cg05045781__FHL3	0.073157	0.059329	0.40637	0.13797	0.21844	0.11833	0.17518	0.17362	0.22033	0.25619	0.089823	0.41154	0.14809	0.24726	0.2243	0.10335	0.14557	0.13788	0.12676	0.11995	0.29767	0.13443	0.1143	0.30142	0.40821	0.08839	0.10129	0.47495	0.074345	0.12778	0.1155	0.054221	0.11675	0.66179	0.087396	0.093648	0.13832	0.11363	0.20307	0.11984
Meth__cg13975625__NPY5R	0.058912	0.036004	0.66024	0.047996	0.32218	0.74921	0.11241	0.95291	0.54464	0.92799	0.61199	0.13101	0.56115	0.12882	0.46513	0.79759	0.065813	0.16731	0.46816	0.18483	0.78711	0.38129	0.66785	0.35775	0.6835	0.90969	0.051885	0.76646	0.6772	0.09349	0.066851	0.052005	0.074658	0.91469	0.25839	0.11307	0.44161	0.71868	0.67055	0.67001
Meth__cg13797282__CARD10	0.14219	0.2719	0.19278	0.059984	0.08425	0.093866	0.19547	0.2263	0.4958	0.075215	0.079555	0.12621	0.082285	0.37054	0.45465	0.087782	0.13445	0.074271	0.056263	0.069648	0.17905	0.057721	0.073544	0.5092	0.10685	0.30859	0.078433	0.29359	0.67464	0.05623	0.12966	0.88728	0.84594	0.040549	0.4542	0.14079	0.083327	0.12356	0.73474	0.06896
Meth__cg06245154__ERCC2	0.042574	0.038419	0.15804	0.065941	0.031389	0.096654	0.077165	0.096829	0.034451	0.17459	0.039395	0.13323	0.047642	0.053749	0.044496	0.038694	0.04537	0.09918	0.035283	0.047171	0.049577	0.18528	0.071905	0.057487	0.20812	0.13315	0.050641	0.042593	0.064516	0.067632	0.053655	0.043467	0.035502	0.060941	0.071476	0.060899	0.04986	0.034141	0.1357	0.048961
Meth__cg24035962__NCOA4	0.10698	0.10142	0.099031	0.067261	0.084919	0.098934	0.14022	0.078169	0.80072	0.098579	0.10178	0.071846	0.17245	0.078562	0.64072	0.097168	0.075246	0.26613	0.089537	0.081305	0.095658	0.08919	0.096217	0.075265	0.1811	0.11675	0.14134	0.064431	0.16305	0.08154	0.14846	0.11373	0.11887	0.057809	0.073763	0.17481	0.59973	0.22371	0.12999	0.15441
Meth__cg09084200__hCAP-D3	0.13347	0.079648	0.26991	0.073898	0.13049	0.15884	0.34353	0.28319	0.11013	0.15749	0.066803	0.73026	0.25623	0.046452	0.13399	0.37718	0.12587	0.15009	0.426	0.19492	0.12297	0.13239	0.39566	0.16594	0.1586	0.21667	0.17408	0.64851	0.090432	0.24129	0.084903	0.10809	0.22662	0.30672	0.10606	0.050339	0.25985	0.14467	0.18519	0.13955
Meth__cg20001829__TMEM25	0.20053	0.032306	0.39257	0.09387	0.32354	0.44295	0.57235	0.12943	0.12191	0.12155	0.9362	0.85649	0.51803	0.10206	0.09477	0.25627	0.10046	0.37048	0.48599	0.8814	0.91296	0.11203	0.53025	0.15034	0.77817	0.10785	0.16091	0.91289	0.13214	0.50264	0.138	0.07416	0.63033	0.10346	0.10321	0.15079	0.057824	0.1141	0.14526	0.17051
Meth__cg08687958__PDZD8	0.027493	0.020409	0.066069	0.024557	0.048241	0.042946	0.030154	0.036602	0.027329	0.031961	0.17673	0.066312	0.12021	0.03359	0.027926	0.20754	0.027309	0.046271	0.041102	0.095533	0.065859	0.038118	0.046673	0.035141	0.11493	0.030785	0.066373	0.2781	0.067623	0.19696	0.049078	0.025241	0.04818	0.023072	0.044845	0.020488	0.027249	0.035199	0.12343	0.032631
Meth__cg17530977__GLI3	0.052272	0.041106	0.048425	0.035995	0.047563	0.067987	0.09743	0.19884	0.040311	0.056055	0.070301	0.19544	0.078968	0.032338	0.047572	0.15839	0.043372	0.096359	0.047764	0.068124	0.057342	0.050654	0.045225	0.055104	0.11944	0.052044	0.098724	0.054722	0.14416	0.17376	0.041753	0.039144	0.046746	0.039306	0.027032	0.050289	0.0519	0.049908	0.11675	0.045574
Meth__cg00410921__CKMT1B	0.089636	0.10101	0.87546	0.31869	0.62827	0.55819	0.51437	0.58514	0.29586	0.65872	0.77707	0.26545	0.72887	0.80315	0.20597	0.84118	0.42691	0.061608	0.049283	0.75865	0.8718	0.46385	0.39861	0.137	0.50721	0.79296	0.24116	0.83132	0.88056	0.78902	0.4105	0.14437	0.058082	0.65013	0.04754	0.19861	0.13863	0.093878	0.13127	0.057959
Meth__cg19734228__DAPK1	0.5303	0.071775	0.33332	0.19845	0.43517	0.90288	0.082591	0.03846	0.032479	0.83677	0.7755	0.035752	0.17315	0.42422	0.036508	0.58932	0.031482	0.099833	0.58261	0.60488	0.6733	0.1075	0.20736	0.068408	0.74439	0.28333	0.094099	0.50759	0.17	0.55014	0.10997	0.031871	0.18585	0.25237	0.44707	0.23992	0.037416	0.2504	0.076231	0.048396
Meth__cg23898073__GFRA1	0.052894	0.043609	0.045422	0.028975	0.030014	0.17886	0.083124	0.47622	0.040035	0.039882	0.8304	0.18774	0.33802	0.53776	0.04248	0.55305	0.037497	0.12057	0.11619	0.02667	0.05444	0.16311	0.05781	0.13802	0.90047	0.044413	0.072127	0.030839	0.67327	0.17751	0.069246	0.046046	0.09066	0.039047	0.37933	0.11516	0.43836	0.033958	0.055682	0.042983
Meth__cg06226384__CACNG5	0.082869	0.025691	0.36747	0.09534	0.056227	0.11916	0.05625	0.25292	0.049696	0.033985	0.097543	0.080853	0.092099	0.021404	0.052564	0.040031	0.029412	0.083991	0.043695	0.094988	0.10897	0.085191	0.033359	0.65839	0.078658	0.024166	0.071096	0.050638	0.035377	0.050896	0.047782	0.018715	0.03811	0.094811	0.048468	0.055541	0.05024	0.038335	0.073298	0.03692
Meth__cg11173246__TSPAN4	0.054234	0.025047	0.3114	0.2358	0.050328	0.097894	0.42438	0.45949	0.07691	0.55875	0.049408	0.7253	0.39981	0.81989	0.10686	0.083101	0.77996	0.2677	0.028161	0.21927	0.15952	0.66184	0.59917	0.80202	0.10207	0.274	0.1274	0.11182	0.11048	0.52906	0.06314	0.14664	0.066507	0.38479	0.03968	0.064645	0.71138	0.075775	0.11007	0.068493
Meth__cg15305511__EVC2	0.0444	0.049507	0.13006	0.086679	0.43689	0.56967	0.10979	0.69158	0.12165	0.42168	0.069873	0.30475	0.39571	0.17272	0.26035	0.19398	0.068553	0.11403	0.064558	0.66871	0.86134	0.59221	0.16777	0.10047	0.11079	0.09734	0.10996	0.40042	0.098365	0.51165	0.071815	0.056832	0.066053	0.063624	0.36113	0.071203	0.056033	0.092766	0.3609	0.069661
Meth__cg04515986__FTHL17	0.22471	0.074083	0.7539	0.29543	0.12107	0.476	0.10836	0.66732	0.064315	0.070288	0.46355	0.33985	0.34989	0.27498	0.080234	0.58162	0.21457	0.12565	0.076205	0.078639	0.27108	0.11253	0.29667	0.30842	0.13478	0.10375	0.10141	0.11594	0.21778	0.10846	0.18017	0.071716	0.065717	0.23057	0.21998	0.14742	0.0627	0.24675	0.27016	0.22589
Meth__cg23910835__SFRP2	0.30301	0.070523	0.21503	0.070477	0.17463	0.20075	0.33671	0.44089	0.067969	0.072834	0.44984	0.1105	0.17267	0.070812	0.089004	0.2404	0.19606	0.24881	0.077012	0.092311	0.1344	0.3495	0.43317	0.3125	0.14959	0.22596	0.080456	0.15014	0.24072	0.14272	0.092015	0.083219	0.078605	0.63636	0.052525	0.071665	0.16108	0.094754	0.20418	0.089463
Meth__cg19706682__LRRC50	0.046339	0.027729	0.070751	0.034801	0.058815	0.075409	0.20443	0.038879	0.025064	0.031136	0.094546	0.072155	0.14391	0.017489	0.023451	0.11971	0.029564	0.03344	0.029601	0.10477	0.17261	0.075149	0.065373	0.037202	0.29634	0.14542	0.062429	0.16173	0.044167	0.16292	0.049422	0.025821	0.019925	0.047646	0.036719	0.03761	0.034004	0.025855	0.056498	0.032523
Meth__cg04195127__WFDC1	0.081364	0.060436	0.62937	0.75313	0.039273	0.36285	0.18084	0.95425	0.032723	0.34888	0.91084	0.26098	0.78577	0.056954	0.031148	0.76046	0.046368	0.037198	0.026183	0.40485	0.58624	0.94535	0.56949	0.11871	0.080925	0.18602	0.04999	0.7235	0.062592	0.28567	0.14335	0.027295	0.03284	0.49539	0.08684	0.074656	0.92969	0.08101	0.51031	0.06488
Meth__cg05608188__FLJ13576	0.049011	0.046001	0.041305	0.037745	0.67962	0.08621	0.10526	0.051422	0.48918	0.06259	0.039499	0.088041	0.15951	0.025485	0.30205	0.051887	0.061314	0.079932	0.040814	0.028634	0.044267	0.049114	0.049134	0.038361	0.10199	0.054568	0.068033	0.046477	0.074301	0.053119	0.095548	0.051818	0.048077	0.041781	0.087862	0.16424	0.059526	0.055378	0.074517	0.053614
Meth__cg02283643__SULF1	0.25368	0.069429	0.49212	0.53942	0.21488	0.31529	0.22381	0.80124	0.55643	0.062449	0.46246	0.090182	0.16534	0.15813	0.45737	0.62216	0.055702	0.13797	0.40963	0.11025	0.17895	0.514	0.33695	0.61671	0.1801	0.19341	0.15837	0.43554	0.34305	0.10407	0.062803	0.061692	0.078684	0.503	0.23036	0.10671	0.10234	0.111	0.23389	0.11644
Meth__cg01934790__FBXL16	0.051527	0.1927	0.27971	0.16304	0.16109	0.54812	0.81	0.43969	0.078774	0.047925	0.68644	0.4825	0.78443	0.33629	0.081153	0.63273	0.33832	0.28018	0.038323	0.35667	0.39315	0.61962	0.7464	0.12559	0.75061	0.11512	0.11098	0.43182	0.16179	0.21794	0.10304	0.053463	0.066274	0.092326	0.054936	0.12806	0.062885	0.15221	0.30106	0.1294
Meth__cg24798047__GOLT1A	0.072984	0.036708	0.72257	0.079727	0.81308	0.041119	0.65836	0.28333	0.098394	0.17523	0.83562	0.85425	0.21446	0.04133	0.14359	0.49943	0.55411	0.80224	0.4827	0.049001	0.074518	0.23209	0.83995	0.039296	0.80353	0.22128	0.20157	0.68445	0.065789	0.8336	0.14739	0.35135	0.28397	0.70635	0.13073	0.095624	0.21359	0.053552	0.14925	0.10004
Meth__cg24482053__MLH3	0.055832	0.04902	0.072467	0.041319	0.046766	0.062144	0.47985	0.077765	0.054436	0.056872	0.054401	0.094477	0.35816	0.050608	0.050304	0.070799	0.045522	0.052747	0.056692	0.03863	0.047086	0.1012	0.17305	0.21878	0.071162	0.055459	0.13291	0.052036	0.075597	0.086694	0.050725	0.044706	0.12775	0.12037	0.060426	0.049927	0.048389	0.050268	0.11129	0.057209
Meth__cg21958798__GUCY1A2	0.071599	0.071005	0.05986	0.040047	0.043829	0.08048	0.87787	0.17559	0.064407	0.063333	0.7822	0.20482	0.41599	0.044174	0.060509	0.45515	0.051117	0.11032	0.39908	0.075292	0.095106	0.15125	0.093027	0.045755	0.89516	0.063151	0.12012	0.22614	0.10547	0.52816	0.1003	0.036589	0.070556	0.047543	0.061707	0.08422	0.053104	0.07082	0.12344	0.083785
Meth__cg22424444__TOLLIP	0.10094	0.9322	0.72383	0.27583	0.78316	0.23379	0.904	0.10221	0.76155	0.39618	0.061843	0.51628	0.77123	0.88917	0.61813	0.12382	0.10192	0.1663	0.080916	0.11346	0.08943	0.4458	0.72343	0.21328	0.8913	0.89195	0.1021	0.43269	0.83568	0.17202	0.81409	0.048869	0.57236	0.084304	0.10431	0.85661	0.34285	0.88931	0.37977	0.90335
Meth__cg26453670__RNPC1	0.06653	0.027105	0.13617	0.037411	0.35645	0.38496	0.064196	0.058163	0.034193	0.07157	0.1171	0.13386	0.079888	0.058188	0.03924	0.047306	0.33551	0.12721	0.36145	0.079845	0.15419	0.11962	0.12385	0.10104	0.2793	0.21659	0.083501	0.14599	0.33175	0.087629	0.057477	0.034234	0.41243	0.14179	0.04819	0.039404	0.053215	0.045784	0.090646	0.033855
Meth__cg07013734__TRPC6	0.12825	0.038398	0.73934	0.16446	0.68669	0.83324	0.22065	0.93062	0.071136	0.066887	0.90074	0.1506	0.66738	0.81441	0.035971	0.45507	0.052379	0.13029	0.7156	0.12027	0.15723	0.09095	0.09861	0.30979	0.78208	0.08	0.13061	0.34157	0.64964	0.13098	0.087858	0.059963	0.064605	0.78418	0.51186	0.68819	0.23391	0.31944	0.19265	0.83307
Meth__cg13066963__ESPN	0.27401	0.11409	0.059191	0.070203	0.92307	0.88171	0.94087	0.87689	0.04761	0.81051	0.9164	0.92632	0.88616	0.66923	0.076448	0.93966	0.51989	0.25144	0.46764	0.892	0.15161	0.14748	0.92585	0.34731	0.85341	0.51579	0.11137	0.92636	0.089624	0.9159	0.32096	0.59255	0.89619	0.36517	0.044711	0.061713	0.042406	0.041968	0.18023	0.033587
Meth__cg14894216__CATSPER1	0.22781	0.10667	0.76334	0.42162	0.095629	0.31169	0.16354	0.47553	0.12248	0.14807	0.28099	0.53892	0.44097	0.092901	0.1176	0.55625	0.10633	0.23094	0.11407	0.5594	0.23439	0.36617	0.14918	0.80384	0.83939	0.11046	0.10566	0.079673	0.13832	0.20462	0.15314	0.11629	0.11648	0.16649	0.22973	0.13015	0.14059	0.09937	0.16053	0.10644
Meth__cg04893119__PI15	0.77355	0.075998	0.56548	0.096756	0.49656	0.14649	0.33557	0.63203	0.33988	0.40414	0.093759	0.26595	0.216	0.13487	0.2891	0.44961	0.72807	0.20727	0.25308	0.088683	0.2787	0.82845	0.45765	0.26577	0.58963	0.12713	0.24729	0.17126	0.10439	0.18422	0.078378	0.50927	0.14451	0.73663	0.058219	0.10187	0.087666	0.18581	0.24898	0.10349
Meth__cg07629017__NPBWR1	0.21412	0.026729	0.70462	0.20359	0.24813	0.25824	0.27726	0.92345	0.051172	0.082041	0.84587	0.60395	0.84297	0.16056	0.079695	0.72732	0.075414	0.54651	0.032906	0.35799	0.35577	0.59927	0.30228	0.9439	0.61655	0.28008	0.10044	0.31403	0.4629	0.57384	0.073766	0.23572	0.043182	0.055567	0.095186	0.1	0.68269	0.65619	0.46661	0.31899
Meth__cg00474209__DLL1	0.070914	0.04739	0.10244	0.10234	0.052378	0.15539	0.14218	0.098332	0.10188	0.088023	0.28492	0.1087	0.22306	0.1143	0.11423	0.68988	0.078526	0.15819	0.30549	0.065263	0.06555	0.064966	0.10561	0.073883	0.91921	0.09009	0.18295	0.073478	0.074466	0.069407	0.098198	0.053646	0.066968	0.10825	0.066941	0.19434	0.078782	0.085815	0.13846	0.07314
Meth__cg26680127__MLCK	0.07862	0.03161	0.11884	0.096956	0.092675	0.045671	0.25	0.3473	0.044856	0.058072	0.07127	0.18304	0.13722	0.0733	0.055831	0.059378	0.15606	0.10477	0.047948	0.083949	0.13431	0.52693	0.12393	0.2603	0.083847	0.056208	0.085907	0.062992	0.0599	0.044316	0.042087	0.031631	0.026906	0.14425	0.055097	0.046686	0.090101	0.052188	0.080719	0.05754
Meth__cg15973234__KIAA1199	0.040841	0.040659	0.068132	0.052705	0.052252	0.047986	0.082194	0.34222	0.038929	0.052328	0.13665	0.3038	0.17099	0.14836	0.044615	0.31961	0.14099	0.093397	0.034574	0.046361	0.079429	0.073072	0.07053	0.055367	0.1235	0.059955	0.09179	0.051177	0.08005	0.078828	0.10509	0.037998	0.04444	0.061141	0.11045	0.047139	0.049266	0.055896	0.09427	0.04699
Meth__cg08955609__APOE	0.023596	0.03179	0.29571	0.036658	0.67491	0.067427	0.16451	0.62356	0.033225	0.040101	0.80753	0.34698	0.23688	0.024524	0.028861	0.62586	0.57156	0.067426	0.056207	0.07577	0.036009	0.41677	0.71537	0.042072	0.56178	0.24307	0.037043	0.71333	0.71274	0.52594	0.040279	0.03766	0.044138	0.18844	0.28176	0.0206	0.02875	0.030139	0.059822	0.11701
Meth__cg07038887__BLMH	0.042832	0.031825	0.088872	0.024319	0.035491	0.056216	0.04504	0.10456	0.040657	0.051502	0.048534	0.08102	0.071635	0.30433	0.043347	0.037984	0.026928	0.096362	0.031252	0.03985	0.056679	0.040141	0.048737	0.61776	0.12369	0.038661	0.095513	0.034451	0.79848	0.040365	0.048213	0.036176	0.030929	0.12024	0.66729	0.0481	0.040471	0.045296	0.10511	0.043693
