Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg01655355__SLC5A5	0.27949	0.06467	0.40045	0.30092	0.40528	0.18487	0.17057	0.74151	0.029736	0.068632	0.52589	0.51692	0.46918	0.024411	0.034425	0.41315	0.089636	0.060936	0.026614	0.12232	0.11068	0.69482	0.70778	0.66102	0.16371	0.12148	0.091823	0.41387	0.11588	0.14825	0.10617	0.066154	0.68556	0.089795	0.064233	0.052179	0.28606	0.20022	0.35365
Meth__cg25853020__IL6R	0.093244	0.07878	0.076766	0.13066	0.44088	0.17391	0.17893	0.063725	0.040484	0.10421	0.10992	0.22517	0.16997	0.084747	0.06569	0.085827	0.072083	0.13593	0.33148	0.1088	0.077026	0.50946	0.21906	0.10553	0.079333	0.051704	0.069542	0.19387	0.34339	0.051583	0.059312	0.039834	0.55624	0.057293	0.26806	0.15218	0.050796	0.47203	0.053618
Meth__cg24482053__MLH3	0.055832	0.04902	0.062086	0.072467	0.041319	0.046766	0.062144	0.077765	0.054436	0.056872	0.054401	0.094477	0.35816	0.050608	0.050304	0.070799	0.045522	0.052747	0.056692	0.03863	0.047086	0.1012	0.17305	0.21878	0.071162	0.055459	0.13291	0.075597	0.050725	0.044706	0.045691	0.12775	0.12037	0.060426	0.049927	0.048389	0.050268	0.11129	0.057209
Meth__cg01731685__IL17R	0.37647	0.45195	0.82848	0.61803	0.32924	0.090887	0.64904	0.32563	0.040625	0.38848	0.09744	0.52015	0.49005	0.62559	0.10443	0.074706	0.040661	0.10766	0.018433	0.63692	0.40935	0.68685	0.088502	0.32082	0.14194	0.572	0.26916	0.2893	0.40455	0.032373	0.04102	0.056704	0.41133	0.19279	0.1343	0.15419	0.19033	0.21814	0.25008
Meth__cg09185773__WASF3	0.16078	0.12983	0.86467	0.1568	0.16498	0.041239	0.90603	0.13678	0.08046	0.39929	0.083687	0.59443	0.45011	0.13126	0.16595	0.37125	0.05523	0.16517	0.081178	0.11953	0.13905	0.91631	0.1925	0.23944	0.33321	0.12226	0.088366	0.70656	0.15553	0.056961	0.064358	0.067013	0.15342	0.12022	0.18163	0.20091	0.21186	0.62694	0.14412
Meth__cg11778001__NAB1	0.37777	0.081591	0.91967	0.83849	0.81913	0.46567	0.63146	0.11243	0.050648	0.46704	0.035807	0.051004	0.84956	0.56936	0.088967	0.045257	0.032913	0.079548	0.55078	0.74356	0.55583	0.82083	0.5126	0.56383	0.35092	0.56894	0.08107	0.37458	0.19944	0.039828	0.032798	0.050908	0.89256	0.27698	0.06868	0.46968	0.50258	0.33037	0.80287
Meth__cg02740947__RAD51L3	0.061795	0.23699	0.52975	0.17625	0.27631	0.067159	0.11225	0.053225	0.057056	0.60812	0.041207	0.50942	0.21985	0.25113	0.082054	0.06429	0.05331	0.1156	0.058145	0.06827	0.063116	0.051388	0.52306	0.29096	0.096248	0.09352	0.064385	0.069519	0.31224	0.049966	0.046204	0.045986	0.15014	0.039042	0.082446	0.067041	0.049636	0.54069	0.055852
Meth__cg01429321__LOX	0.037872	0.054414	0.70921	0.033797	0.032972	0.024376	0.43344	0.03881	0.031003	0.042597	0.031616	0.038053	0.17407	0.02877	0.036943	0.03586	0.02249	0.031156	0.022076	0.051279	0.035426	0.25746	0.03715	0.052011	0.047557	0.032105	0.04879	0.055735	0.049914	0.031989	0.028759	0.024624	0.68297	0.82627	0.059624	0.027271	0.041422	0.055481	0.54631
Meth__cg26297688__C12orf23	0.24554	0.08575	0.28767	0.92535	0.33339	0.057108	0.12632	0.16567	0.059943	0.21012	0.066399	0.73869	0.58399	0.42766	0.067494	0.15325	0.032231	0.21898	0.044241	0.60807	0.2658	0.37856	0.079978	0.7581	0.050777	0.11118	0.056944	0.10768	0.15003	0.035054	0.048915	0.10469	0.3711	0.10386	0.076651	0.21033	0.48874	0.45776	0.81809
Meth__cg05532892__PSMA1	0.073339	0.038919	0.29033	0.062619	0.098337	0.072607	0.064387	0.14073	0.035317	0.067546	0.053778	0.63849	0.24412	0.47488	0.064068	0.16488	0.73468	0.4682	0.075452	0.22794	0.062145	0.53899	0.056581	0.21455	0.10786	0.048806	0.12963	0.80102	0.11784	0.058773	0.035404	0.067024	0.059428	0.11724	0.2249	0.058105	0.051609	0.09365	0.059595
Meth__cg26723847__hCAP-D3	0.14485	0.061849	0.9104	0.14966	0.091739	0.047099	0.12265	0.18479	0.067215	0.13066	0.08656	0.45307	0.16595	0.055112	0.070068	0.15563	0.14049	0.13358	0.085191	0.080797	0.12459	0.12809	0.17173	0.1301	0.097281	0.12418	0.11447	0.15929	0.12891	0.13331	0.058297	0.083	0.165	0.0883	0.11017	0.1134	0.10492	0.23252	0.091116
Meth__cg24182328__VMO1	0.83631	0.092834	0.61648	0.11632	0.24508	0.10554	0.26325	0.78837	0.26213	0.31852	0.49089	0.75471	0.68768	0.78271	0.24995	0.10628	0.095662	0.19148	0.079912	0.2083	0.15334	0.80484	0.11162	0.26357	0.13166	0.10424	0.1384	0.35245	0.10805	0.09706	0.063003	0.14362	0.554	0.75315	0.23879	0.11319	0.33202	0.67464	0.40392
Meth__cg03922337__RRAS2	0.34336	0.064436	0.0627	0.43942	0.6309	0.071619	0.53337	0.79527	0.060353	0.69102	0.09781	0.068058	0.18893	0.36122	0.072051	0.10142	0.054537	0.1281	0.041866	0.29579	0.46357	0.94851	0.051511	0.73957	0.094221	0.10195	0.4358	0.83198	0.31526	0.068137	0.053879	0.32831	0.23189	0.14639	0.055029	0.050125	0.20552	0.59212	0.096798
Meth__cg09262269__LOX	0.086985	0.032973	0.94566	0.24114	0.042116	0.023233	0.24227	0.099307	0.050133	0.056698	0.022749	0.1009	0.6318	0.030496	0.057432	0.070448	0.040406	0.058531	0.030683	0.050663	0.054087	0.94538	0.51666	0.048353	0.051105	0.063926	0.096433	0.57393	0.075687	0.028878	0.029597	0.044871	0.27386	0.9074	0.045465	0.29398	0.049419	0.19172	0.07924
Meth__cg20000468__IFNAR2	0.085692	0.08675	0.18642	0.1867	0.11176	0.09244	0.076128	0.14646	0.085863	0.10719	0.067156	0.49488	0.22565	0.26882	0.062675	0.10621	0.057047	0.13798	0.1393	0.076389	0.11898	0.20288	0.069673	0.6098	0.13166	0.19941	0.18213	0.34428	0.11704	0.049431	0.036253	0.078021	0.15687	0.096389	0.16387	0.071157	0.091355	0.14628	0.1087
Meth__cg09472203__AP3B2	0.045147	0.038143	0.050268	0.044816	0.048083	0.038023	0.047212	0.056488	0.041621	0.051626	0.046709	0.10184	0.12245	0.048619	0.048145	0.052829	0.041547	0.093085	0.36316	0.035337	0.04485	0.036818	0.04282	0.039388	0.069654	0.04208	0.065282	0.90271	0.065209	0.042317	0.028769	0.034849	0.042218	0.033559	0.050259	0.038146	0.037399	0.11001	0.040672
Meth__cg08235271__LPHN2	0.084158	0.070324	0.62464	0.11164	0.0949	0.062809	0.1933	0.14011	0.059251	0.13054	0.22265	0.098191	0.24565	0.080242	0.075073	0.51209	0.079113	0.13868	0.085353	0.44535	0.11313	0.23878	0.089303	0.33877	0.098719	0.095844	0.29123	0.86893	0.13381	0.056307	0.071439	0.069373	0.075655	0.94779	0.1398	0.10098	0.1	0.26318	0.11198
Meth__cg04078896__ZGPAT	0.040097	0.051596	0.073341	0.14339	0.27318	0.027392	0.14116	0.020852	0.043478	0.35989	0.036631	0.20654	0.11018	0.73321	0.051913	0.039376	0.032306	0.06205	0.028463	0.070607	0.036146	0.25987	0.45673	0.17649	0.086579	0.05404	0.19411	0.053037	0.084244	0.029445	0.021723	0.06463	0.14843	0.017075	0.10139	0.90185	0.02977	0.27832	0.038974
Meth__cg08214328__CTPS2	0.46612	0.041633	0.092273	0.037228	0.041871	0.035428	0.068618	0.51525	0.076444	0.1357	0.056571	0.10613	0.17304	0.063678	0.074701	0.039938	0.06115	0.078631	0.031376	0.04029	0.05234	0.47209	0.1351	0.35637	0.1353	0.033449	0.073403	0.30277	0.11758	0.036464	0.084377	0.035046	0.042361	0.046732	0.11455	0.041569	0.039858	0.30326	0.053733
Meth__cg10057295__STK24	0.062993	0.78806	0.17506	0.66259	0.54615	0.14506	0.41137	0.6765	0.075259	0.70848	0.061627	0.10627	0.26882	0.62953	0.096301	0.35789	0.048721	0.064289	0.42148	0.21592	0.82682	0.23491	0.18231	0.37725	0.099047	0.20564	0.094688	0.79955	0.62679	0.047715	0.051583	0.077137	0.083235	0.042638	0.054518	0.2404	0.094154	0.32021	0.28111
Meth__cg00449941__SPAG5	0.039351	0.024775	0.053508	0.036007	0.038374	0.03441	0.040696	0.032109	0.036162	0.057065	0.031711	0.054206	0.04906	0.021917	0.036394	0.040225	0.032609	0.05172	0.038358	0.051784	0.033441	0.058775	0.044473	0.034868	0.083406	0.42143	0.092888	0.10192	0.042421	0.032836	0.030932	0.030773	0.047594	0.031894	0.03959	0.017909	0.052302	0.047861	0.043686
Meth__cg22289360__GCNT1	0.087654	0.042534	0.65465	0.071663	0.092636	0.052796	0.065258	0.049043	0.040289	0.05838	0.033986	0.13413	0.57949	0.068467	0.05441	0.052731	0.059041	0.13421	0.21211	0.049987	0.0557	0.22698	0.052456	0.061373	0.087129	0.054486	0.097553	0.12782	0.088375	0.050982	0.048783	0.061691	0.4476	0.41691	0.067763	0.053616	0.10509	0.20005	0.133
Meth__cg22889448__EMR1	0.15658	0.0815	0.18312	0.46728	0.10172	0.077471	0.17238	0.85497	0.064704	0.10746	0.093557	0.3285	0.48162	0.076829	0.07674	0.37262	0.24796	0.081442	0.081274	0.12371	0.17574	0.23575	0.20249	0.29782	0.081218	0.089414	0.10162	0.10584	0.11374	0.083968	0.078177	0.095814	0.11594	0.088272	0.23799	0.097588	0.15957	0.1131	0.0981
Meth__cg03891319__ACY1	0.043496	0.067761	0.05102	0.063529	0.057028	0.1529	0.10483	0.40392	0.048061	0.063932	0.061134	0.11928	0.19048	0.032142	0.056929	0.089607	0.041441	0.080921	0.33429	0.086526	0.051391	0.090423	0.088996	0.19994	0.15804	0.052598	0.11202	0.080786	0.067437	0.049142	0.037829	0.043501	0.084861	0.043111	0.065182	0.067309	0.051075	0.1099	0.049409
Meth__cg03116740__TSPAN4	0.52596	0.054164	0.954	0.35727	0.23486	0.067196	0.1216	0.75145	0.087696	0.79234	0.19238	0.93274	0.48034	0.9293	0.077995	0.29067	0.8141	0.34996	0.083568	0.54717	0.26178	0.76212	0.5413	0.92022	0.10642	0.19002	0.34503	0.08901	0.13661	0.053814	0.58429	0.043843	0.11236	0.031339	0.12987	0.46743	0.087192	0.090351	0.07744
Meth__cg15125424__SOCS2	0.31003	0.079402	0.31095	0.15277	0.41744	0.09457	0.18852	0.13719	0.10847	0.51113	0.10746	0.24832	0.2971	0.10383	0.1403	0.098368	0.062731	0.13607	0.096209	0.066079	0.068107	0.83293	0.10707	0.12399	0.10415	0.040776	0.16753	0.23943	0.1445	0.055556	0.074416	0.069289	0.85614	0.71996	0.10978	0.66221	0.30855	0.60491	0.1972
Meth__cg07242414__BMP1	0.054429	0.050136	0.73748	0.46653	0.44256	0.042852	0.21269	0.23631	0.024846	0.43602	0.037547	0.285	0.5012	0.03939	0.028218	0.19743	0.035415	0.040184	0.021551	0.14334	0.21425	0.35707	0.18518	0.32651	0.11546	0.043577	0.057991	0.31639	0.065934	0.02315	0.059784	0.11064	0.13742	0.12346	0.047261	0.82994	0.17017	0.4973	0.056498
Meth__cg24169915__FLJ25773	0.64716	0.3067	0.89717	0.90013	0.72196	0.10961	0.76007	0.93744	0.0473	0.34452	0.16177	0.81847	0.76824	0.11606	0.15716	0.66714	0.36979	0.2059	0.14894	0.11579	0.20054	0.83729	0.060137	0.89993	0.16116	0.61052	0.12139	0.4293	0.35361	0.045735	0.075524	0.07638	0.85401	0.44296	0.081175	0.12833	0.47635	0.34613	0.29058
Meth__cg26172108__C7orf31	0.057301	0.033221	0.062882	0.054494	0.042159	0.035187	0.049833	0.059386	0.038239	0.04863	0.040767	0.06267	0.061601	0.32892	0.047265	0.063533	0.047613	0.076949	0.045562	0.62658	0.88055	0.14614	0.052315	0.030825	0.15349	0.044583	0.080208	0.66436	0.055416	0.039766	0.043998	0.030922	0.042083	0.041044	0.041354	0.04293	0.04941	0.57311	0.042104
Meth__cg15286905__ACBD5	0.045109	0.046197	0.087907	0.055683	0.030575	0.044537	0.056776	0.016674	0.04584	0.079057	0.042954	0.21155	0.226	0.39777	0.035126	0.066611	0.036736	0.070844	0.045666	0.055208	0.042972	0.12564	0.31335	0.058429	0.074185	0.077442	0.079663	0.056661	0.064568	0.054701	0.030676	0.061923	0.084533	0.047935	0.074157	0.040066	0.039371	0.19921	0.041097
Meth__cg09462826__FADS1	0.11931	0.049557	0.68905	0.46093	0.50878	0.042097	0.45755	0.20252	0.19716	0.24991	0.054599	0.87097	0.78108	0.3076	0.2756	0.79996	0.039171	0.23325	0.15915	0.4054	0.28824	0.061375	0.17695	0.35978	0.077406	0.25323	0.093832	0.28452	0.09947	0.04981	0.04263	0.44574	0.72716	0.43744	0.17177	0.33783	0.27802	0.54298	0.49755
Meth__cg23918047__ARHGDIA	0.0805	0.080444	0.36151	0.19936	0.228	0.048334	0.41681	0.055941	0.086743	0.3181	0.050184	0.89638	0.18314	0.36674	0.1395	0.11316	0.057127	0.143	0.048025	0.19508	0.077102	0.1653	0.23104	0.38138	0.070739	0.34427	0.25006	0.12769	0.16436	0.043815	0.068906	0.058328	0.10345	0.07658	0.12806	0.54584	0.069776	0.24929	0.050827
Meth__cg18611245__ZGPAT	0.067047	0.099651	0.099911	0.43502	0.54202	0.054237	0.35095	0.10638	0.085765	0.59701	0.037915	0.16831	0.1352	0.71397	0.092656	0.096894	0.055208	0.054076	0.052151	0.22721	0.12107	0.38148	0.6198	0.48952	0.083508	0.11149	0.31145	0.084063	0.1695	0.046112	0.065809	0.13169	0.20191	0.053221	0.35608	0.89933	0.053818	0.32555	0.056105
Meth__cg21212956__ZDHHC4	0.04201	0.51302	0.52189	0.026487	0.79513	0.039258	0.88558	0.95561	0.041298	0.90931	0.034498	0.04681	0.85145	0.61237	0.044486	0.050699	0.053868	0.24922	0.02725	0.064346	0.041868	0.40292	0.036213	0.040388	0.067413	0.059699	0.17304	0.099608	0.38147	0.030796	0.049972	0.03091	0.24146	0.42491	0.21648	0.047387	0.40902	0.81592	0.68387
Meth__cg14252569__DACT1	0.19244	0.078128	0.1568	0.09595	0.10206	0.090047	0.18259	0.11541	0.09713	0.09092	0.16193	0.22637	0.29083	0.068009	0.075745	0.33514	0.07368	0.24612	0.097459	0.10755	0.10376	0.27907	0.084773	0.089924	0.75852	0.09325	0.22402	0.17311	0.16465	0.076753	0.068393	0.088022	0.41031	0.13104	0.13776	0.07813	0.099295	0.11233	0.14045
Meth__cg11380624__DNAJC14	0.098162	0.052234	0.089014	0.42815	0.30693	0.068389	0.31929	0.13846	0.12149	0.099656	0.079035	0.50041	0.099365	0.42603	0.11747	0.084962	0.31482	0.090976	0.26409	0.059962	0.075592	0.067754	0.063889	0.39429	0.11741	0.52541	0.11296	0.14951	0.1754	0.050527	0.048494	0.058283	0.75481	0.055364	0.071645	0.075956	0.061591	0.53591	0.12461
Meth__cg11976166__TGFB2	0.10296	0.097568	0.84584	0.21303	0.49547	0.1967	0.80069	0.070405	0.091873	0.42408	0.22055	0.27407	0.19569	0.28136	0.15654	0.19774	0.060339	0.19562	0.188	0.91519	0.85572	0.77069	0.13114	0.8988	0.27204	0.52163	0.27735	0.74722	0.24866	0.16123	0.08342	0.16328	0.75342	0.1206	0.70691	0.22997	0.40223	0.40468	0.86236
Meth__cg03382304__JAM2	0.56977	0.11025	0.91934	0.16237	0.071039	0.07466	0.18564	0.10518	0.060675	0.057379	0.10494	0.25439	0.67504	0.56875	0.052812	0.59138	0.069121	0.25462	0.067233	0.87613	0.60839	0.22322	0.075878	0.10962	0.82472	0.063233	0.13739	0.88875	0.12838	0.064303	0.063262	0.06407	0.20229	0.61349	0.069	0.068767	0.097137	0.14998	0.23945
Meth__cg00230685__SCML1	0.58693	0.22035	0.089433	0.02686	0.32599	0.031144	0.067332	0.082392	0.079591	0.64086	0.03585	0.71938	0.46453	0.28747	0.059245	0.025101	0.042396	0.24572	0.3817	0.030571	0.044172	0.46517	0.40046	0.60582	0.052338	0.48392	0.57483	0.54985	0.63735	0.48594	0.056265	0.73197	0.52477	0.039789	0.041225	0.50711	0.29008	0.95936	0.045627
Meth__cg10073723__BMPER	0.11584	0.03055	0.96455	0.69219	0.54042	0.022799	0.30631	0.96185	0.03082	0.34328	0.28147	0.48477	0.88079	0.44791	0.031853	0.80796	0.033727	0.11705	0.023546	0.92357	0.70007	0.45926	0.036097	0.32427	0.78439	0.039639	0.044552	0.91325	0.045917	0.029506	0.041578	0.066017	0.83403	0.79773	0.88793	0.27307	0.25613	0.89786	0.47125
Meth__cg08508325__CARS	0.037034	0.040313	0.58715	0.18159	0.05794	0.086762	0.10646	0.086606	0.043316	0.075187	0.052314	0.17327	0.3125	0.05883	0.045245	0.083397	0.041544	0.093741	0.043357	0.11673	0.066973	0.091352	0.055398	0.049372	0.12145	0.16793	0.087115	0.098286	0.092104	0.033726	0.042387	0.041565	0.19136	0.039281	0.064586	0.055391	0.045742	0.10211	0.046815
Meth__cg11960393__LOX	0.15666	0.087492	0.85708	0.1477	0.58112	0.04801	0.62885	0.080711	0.075998	0.56311	0.062124	0.22654	0.70901	0.066188	0.066508	0.096932	0.036043	0.088982	0.045912	0.0817	0.11082	0.69695	0.10312	0.086451	0.141	0.10906	0.098225	0.12348	0.11497	0.040866	0.05076	0.0732	0.87965	0.88385	0.1303	0.068359	0.15413	0.096079	0.84381
Meth__cg00647741__ZNF274	0.094048	0.087222	0.082217	0.095457	0.059116	0.63383	0.063288	0.093117	0.097075	0.066983	0.16908	0.15848	0.16266	0.04859	0.10147	0.14764	0.12414	0.1383	0.092489	0.066869	0.10134	0.10332	0.20274	0.083835	0.21875	0.088331	0.070678	0.14642	0.11726	0.07767	0.28892	0.16412	0.075439	0.1078	0.15912	0.10994	0.10486	0.098033	0.077823
Meth__cg05722552__NLGN1	0.077235	0.062436	0.092706	0.86177	0.25377	0.29756	0.4849	0.79152	0.085366	0.080921	0.17772	0.23223	0.6003	0.13934	0.066834	0.073643	0.044657	0.054617	0.072177	0.07149	0.17325	0.81502	0.079528	0.51795	0.082728	0.075348	0.086839	0.54056	0.14586	0.050413	0.060362	0.10112	0.73828	0.064076	0.13204	0.11576	0.38554	0.25704	0.75785
Meth__cg01184522__ZNF496	0.019043	0.86648	0.11767	0.16598	0.48796	0.021103	0.072605	0.064435	0.020647	0.95939	0.018235	0.046538	0.13207	0.38373	0.026963	0.021369	0.016264	0.054804	0.017	0.029389	0.042118	0.068669	0.38599	0.029846	0.049809	0.06764	0.031197	0.033694	0.23224	0.024451	0.017943	0.022162	0.89644	0.020742	0.039251	0.03533	0.02587	0.22832	0.030071
Meth__cg18763191__ST3GAL5	0.037935	0.016935	0.1801	0.031723	0.05446	0.026919	0.041624	0.023935	0.033195	0.054444	0.061186	0.03395	0.14301	0.025794	0.023836	0.056615	0.02397	0.052736	0.027945	0.026327	0.031014	0.032626	0.046516	0.038518	0.027892	0.042974	0.068037	0.030161	0.040315	0.023013	0.0211	0.034247	0.10124	0.024739	0.083784	0.049596	0.025438	0.078637	0.034821
Meth__cg20916523__VHL	0.91215	0.38676	0.55283	0.82252	0.86783	0.11552	0.7563	0.03203	0.36108	0.78472	0.052723	0.93439	0.22095	0.94072	0.28243	0.76545	0.056398	0.25226	0.37079	0.35853	0.056409	0.19642	0.37916	0.97128	0.04568	0.60596	0.15864	0.14653	0.75193	0.035865	0.07025	0.6258	0.11187	0.03511	0.14672	0.39165	0.073125	0.80796	0.04371
Meth__cg22740783__CGREF1	0.14409	0.067183	0.8973	0.5419	0.18843	0.74918	0.61844	0.67328	0.087258	0.34826	0.23817	0.6774	0.82585	0.48678	0.080945	0.63247	0.046464	0.13687	0.041588	0.44046	0.049205	0.76791	0.76971	0.23774	0.74728	0.77275	0.15013	0.19346	0.10243	0.095652	0.05266	0.08914	0.59054	0.28795	0.13628	0.090625	0.54461	0.25426	0.38686
Meth__cg02678356__ZXDA	0.29701	0.043702	0.10362	0.056422	0.066667	0.037763	0.075501	0.45734	0.054539	0.12074	0.081891	0.20761	0.1944	0.1279	0.061081	0.24076	0.49635	0.055219	0.047721	0.057352	0.054584	0.10822	0.061154	0.30278	0.11519	0.31519	0.13309	0.18107	0.063474	0.060632	0.036862	0.046807	0.057	0.16189	0.092453	0.065141	0.070534	0.22075	0.062658
Meth__cg22401066__SMPDL3A	0.049063	0.038985	0.060254	0.045498	0.047285	0.039163	0.061734	0.06922	0.036602	0.081047	0.051349	0.061957	0.075906	0.047301	0.04158	0.048538	0.043722	0.069736	0.042649	0.039172	0.041243	0.25542	0.070561	0.044595	0.097244	0.04619	0.044436	0.071755	0.04968	0.027066	0.036136	0.041693	0.040114	0.041808	0.067671	0.052079	0.060165	0.12698	0.049759
Meth__cg17161537__MRPL12	0.30072	0.038813	0.056878	0.035243	0.046147	0.04231	0.054648	0.14006	0.040767	0.042278	0.050394	0.059231	0.14855	0.03821	0.056266	0.041067	0.033769	0.090936	0.20779	0.030266	0.045099	0.042699	0.070801	0.072915	0.18485	0.047487	0.079663	0.10504	0.077633	0.035088	0.031125	0.04984	0.065116	0.028639	0.076784	0.042182	0.039667	0.074565	0.038352
Meth__cg19598544__TTYH2	0.065941	0.023471	0.050294	0.030342	0.12773	0.4217	0.05488	0.59321	0.036323	0.20384	0.030324	0.058074	0.10742	0.070095	0.034258	0.087989	0.02929	0.056196	0.021102	0.044323	0.035921	0.38157	0.16611	0.026055	0.045635	0.026491	0.028582	0.055982	0.043742	0.16793	0.026838	0.024544	0.75637	0.20305	0.056642	0.019379	0.038503	0.16785	0.21476
Meth__cg09754413__RNF182	0.52061	0.078875	0.88807	0.38098	0.13669	0.043119	0.81428	0.10896	0.16347	0.13314	0.54797	0.14382	0.64177	0.47783	0.14404	0.34766	0.052158	0.11597	0.42179	0.70165	0.70021	0.87644	0.22684	0.75151	0.3453	0.2409	0.43985	0.66826	0.17378	0.05675	0.11934	0.53729	0.54945	0.8306	0.33042	0.083261	0.27329	0.46513	0.20727
Meth__cg02428100__KEAP1	0.04835	0.43853	0.93807	0.1788	0.48965	0.67315	0.59866	0.044469	0.23254	0.42649	0.044638	0.046018	0.88602	0.8882	0.19276	0.97102	0.0439	0.078824	0.119	0.044907	0.043742	0.5206	0.28515	0.046048	0.13193	0.05744	0.10609	0.10462	0.12833	0.042573	0.035973	0.04815	0.85925	0.031866	0.13065	0.068684	0.056209	0.10178	0.64758
