Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751
RS_G9665__AKR1C2__AKR1C2	7.4591	4.7025	0	1.8178	2.1093	0	4.7352	12.1834	2.2476	0.41899	3.5147	11.2659	7.6217	10.3652	0.55286	8.7748	4.9983	10.0126	2.312	4.3955	6.4808	1.5859	7.0027	1.7111	6.4672	0	6.586	0	0.92345	7.715	12.537	8.4606	3.6774	3.4772	0.23085
RS_G2495__BMP7__BMP7	0.16836	6.9255	10.0501	6.3611	0	2.0604	5.351	3.0984	8.6894	4.3807	4.587	3.1715	7.535	3.4675	0	6.6048	4.2437	0	0.6962	11.1485	8.2041	2.153	8.3532	0.37066	5.0916	0	3.016	7.9847	3.247	0.39782	8.1684	1.2355	4.2213	2.7631	5.1115
RS_G9080__IGFBP3__IGFBP3	6.2987	3.3656	2.9054	5.2494	11.5393	1.034	12.0229	11.5965	1.9904	0.38514	2.9917	8.8113	10.5079	11.6002	3.293	10.8788	9.9252	12.5244	9.3982	3.8586	4.4452	6.8854	9.9608	6.9804	4.4091	8.3923	8.5003	0.25393	4.3852	7.1035	6.5264	7.3456	7.1766	0.7413	2.4343
RS_G5954__WNK4__WNK4	5.1287	0.79205	2.5978	4.274	0.5909	0.94204	1.2907	0.90576	8.0818	1.6841	5.8715	1.8048	2.8025	2.1026	2.2251	1.247	3.0602	0.54739	1.1837	2.3966	0.75549	5.7045	3.1369	2.3806	2.3498	2.8618	6.1208	3.0046	3.866	2.5784	0	2.3071	0.6056	4.2054	1.9687
RS_G10350__MMP14__MMP14	0.71728	1.4795	0.44191	0.89739	9.639	0.34999	7.3688	9.383	2.0141	1.802	2.0248	8.6885	7.6792	3.3228	0.61768	1.116	8.0798	8.3525	9.2776	3.4012	1.7563	0.41929	5.0547	8.3464	1.852	2.8725	9.9761	1.1442	13.1123	6.8229	1.9123	8.7879	1.6794	4.0109	1.1125
RS_G5788__IL1B__IL1B	0.14002	0.15613	0.3529	0	0	0	0.51627	0.66274	0	0.44092	0.75842	6.6753	5.5354	1.8106	0	3.1962	2.2418	2.2872	1.4549	0.80447	0.16985	0.17979	0	2.9735	0	1.1158	3.7234	0	0	3.2621	0	3.3672	0	0	0
RS_G14942__PVRL3__PVRL3	3.0342	0	3.0716	0.94041	7.9748	0	3.0315	5.3155	4.3643	0	0.24295	5.4957	0.84611	3.2823	2.9367	5.4663	6.1654	4.3798	6.1795	0	1.504	0	0	7.1246	2.1541	1.4176	3.6413	0	3.159	4.2008	0.6055	3.0716	0	0.55555	1.0069
RS_G807__CAMK2B__CAMK2B	2.055	1.083	4.9995	6.7296	0.2691	2.5981	1.3003	0.35965	1.7145	6.897	0.053428	0.80048	2.9125	1.3969	0.80405	1.2759	0.92393	0.20156	0.69563	4.7918	4.0117	6.9571	3.3654	0.35082	3.2641	0.38027	0.44242	1.0315	0.54473	1.0781	3.6915	0.79091	0.12731	2.5763	4.9143
RS_G5313__TMEM156__TMEM156	6.3667	0.68625	0.25002	1.0743	0.22017	0.68688	2.7164	0.97297	2.409	0.55338	0.20704	4.3234	2.8657	5.3247	1.1203	0.23463	1.0467	4.5866	5.865	0.59194	0.50402	0.76171	1.653	7.439	0.65543	0.54852	0.45099	0	0.21308	1.9252	4.9806	2.0397	5.2275	0.75174	0.16554
RS_G10667__TPPP3__TPPP3	2.2526	0	2.186	6.7959	0.41479	1.8475	2.3133	1.109	7.6865	0	4.4312	2.1008	0.83472	0	3.8775	0.90646	1.6514	5.3208	2.3318	1.3278	0.42247	5.9442	5.773	0	1.9225	0	3.125	0	3.6597	4.4601	0	3.6464	0.64202	2.8537	7.4528
RS_G16170__PCP4__PCP4	9.5795	2.6308	3.4364	5.2434	0	4.7144	0	1.3531	1.0717	2.5298	0	0	1.3561	0	7.0045	0.43605	0	1.1567	0	4.5612	5.15	3.0122	4.0627	0	1.8418	0	0	7.0218	2.0636	0	1.9718	0	6.293	6.6928	1.5702
RS_G4919__CTGF__CTGF	9.505	4.4992	0.78195	1.8219	12.8527	0	8.7089	7.2404	1.2136	1.2462	8.3956	5.4822	6.3887	7.5308	2.5085	10.7526	9.5522	5.6891	12.5646	2.5154	1.758	0.22651	5.5647	10.5691	3.2516	1.4824	11.3633	4.5607	6.2663	7.3857	6.1576	5.3545	6.591	2.1019	1.8454
RS_G13227__CD14__CD14	4.5079	2.146	0	2.1032	1.7905	2.0092	5.0494	1.3892	0.86762	0.93813	0.75898	3.0681	4.1249	2.2887	0.9009	1.3699	3.1865	9.9831	2.4861	0.81232	2.7439	1.229	2.5762	1.3486	1.2355	0.47784	0.70237	2.2491	0.49366	6.0549	6.8506	3.0821	6.2816	1.3333	2.5184
RS_G31237__RP11-314P12.3__RP11-314P12.3	5.1108	4.7786	1.0891	0.72198	3.0541	0.76693	9.1926	1.5589	0.43528	2.6438	0.38715	8.2861	8.0064	7.3593	0	6.2174	5.1254	2.5452	4.2085	1.007	1.237	1.0416	4.7344	3.9704	1.091	0	2.9622	1.4768	1.1666	6.063	0.66767	7.9529	2.0039	0	0
RS_G9860__DAB2__DAB2	2.8095	2.6767	1.9608	0.84202	7.8425	1.0483	5.6917	7.6059	9.6164	8.572	3.2249	4.2838	2.5393	4.435	3.3926	5.0783	5.6126	6.3679	7.6893	0.22032	2.9612	1.2783	2.7123	6.6862	1.4309	0.99415	5.6683	4.3122	5.9163	3.1804	5.6376	1.1255	5.8937	2.6474	2.1991
RS_G8167__HAPLN3__HAPLN3	0.97429	3.796	0	1.3925	4.9751	0	5.7826	5.9487	0	0.19085	3.582	2.0912	1.8122	2.3328	0	5.5488	1.5702	3.4771	5.8556	1.9629	1.2117	0.3906	4.9555	4.7196	0.067181	0	7.3835	1.043	3.0194	6.4629	2.2116	2.8552	1.4751	0	0
RS_G5325__CXCR4__CXCR4	1.569	1.7543	7.2597	2.8288	0	4.3832	5.1793	1.1974	3.2863	1.6411	1.3463	0.68114	1.3972	1.1626	5.2171	4.8636	1.6438	0.8891	0	6.3193	8.9219	8.2798	6.9471	0.23797	6.9206	5.7786	8.4628	0	1.0431	2.7266	0	3.6026	0.70369	3.4114	5.259
RS_G7225__ELF5__ELF5	0.37677	4.5885	6.4031	6.512	0	1.9674	2.4337	0.32507	5.4417	7.078	1.1045	0	4.7027	0	5.789	4.5554	0	0.48747	0.22762	4.5813	5.0972	0	4.8163	0	4.3672	0	8.4232	5.8143	0.35445	0	6.0937	0	3.5985	7.932	0.5172
RS_G1662__NKAIN1__NKAIN1	1.1586	0.54586	2.3681	8.0666	4.2997	3.5173	0.79025	1.5941	2.0593	7.749	3.2802	0.56507	2.5763	1.1224	4.6444	0.7549	2.3913	0.48464	0	3.4869	5.489	9.8589	0.92744	0.097394	4.325	0	1.6812	0.66174	2.6062	0.6813	5.8451	0.76946	1.5224	4.3015	8.3639
RS_G7745__IFI44L__IFI44L	0.23732	0	0	4.5645	0.60514	0	0.99127	3.5141	0	2.0578	9.2152	1.5653	3.916	4.217	4.1907	0.47385	1.9555	10.2427	1.0245	0	0.60717	0.55766	1.1744	1.9467	0	0	5.3729	0	0	7.3195	7.3714	2.6778	0.41582	0	0
RS_G4349__WNT5A__WNT5A	3.982	2.045	1.8769	1.9481	4.5212	0	3.6975	6.6438	0	0.12663	2.9122	2.7777	4.8234	4.5715	0.33471	3.6876	7.6926	5.9567	8.5689	0.47057	0.98972	1.5977	1.009	4.6257	0.93054	3.3416	4.6322	6.5403	5.0767	6.3914	3.2081	0	5.2859	0.33479	3.2077
RS_G17665__FAM25A__FAM25A	0.91608	7.1962	4.2358	5.7438	0	3.7671	0	0	3.3216	3.1388	0	4.8461	0	2.0457	1.6908	2.761	0	0	0	6.2332	0	3.654	6.0496	0	4.6771	0	0	5.606	0	2.74	0	0	3.3555	4.3747	0
RS_G16432__C1orf64__C1orf64	7.5817	5.6156	7.5603	5.6306	0	3.097	0.1454	0.9382	8.8167	1.8555	0.21876	0.25986	0.25555	0.15475	8.3654	0	0.16111	0.15095	0.4392	0.63111	0.17079	1.6817	2.3787	0	6.8421	1.2505	0	8.026	0	0.46451	4.2383	0	0.096899	2.7013	6.8627
RS_G5394__HOXA7__HOXA7	2.1316	0	0.91753	0.40299	2.1784	0.11467	1.9831	5.33	0.89799	1.7442	0.7897	6.9085	5.3889	1.1347	0	1.2664	4.1871	4.3038	4.4576	4.0079	2.4767	0	1.3965	0	0.24811	0	6.8275	0	2.2872	1.7227	5.8073	3.9677	0.23142	1.0135	0.76165
RS_G4692__PLA2G4A__PLA2G4A	0.3939	1.7648	1.0591	0	3.7798	0	0.15113	3.5427	0.35835	0	0	6.9035	2.8598	3.4805	2.0013	3.8272	4.5847	7.7553	0.37811	0	0	0	0	3.9355	0.16825	0	8.1941	2.5685	1.1468	4.8091	2.435	3.2342	0.52016	3.5699	2.7344
RS_G10920__ITGA5__ITGA5	4.1991	5.5787	1.8799	6.3514	6.6272	0.30001	4.6947	7.953	5.2777	2.5252	7.8276	7.3246	5.4091	6.3575	2.6269	6.6635	8.0876	7.691	10.758	5.5302	4.2158	4.198	5.6305	6.9234	5.1389	2.9675	7.4337	4.6841	7.707	6.7365	6.0906	9.7669	6.3055	5.2446	5.4798
RS_G3648__CCL2__CCL2	3.6403	0.54392	0.65074	3.6296	6.3911	2.7066	0	3.1093	0	0.783	2.6054	0	0	6.1951	3.0177	6.4836	4.4802	6.7484	5.2483	0	0	0	0.86553	10.2673	3.763	0	10.6981	0	0	3.3073	3.2444	1.3981	0	0	0
RS_G12846__TMEM22__TMEM22	0.12489	0	0.32872	0.95172	4.2412	0.87813	2.461	4.4274	0.80793	3.5709	4.2807	6.2727	4.3571	0	1.7302	0	7.038	2.6853	6.3906	0	0.5475	1.363	0.4634	7.9347	1.5709	0.51138	3.5586	0	0.28293	4.4032	1.3373	4.1658	0	0	0
RS_G5188__TGFBI__TGFBI	5.034	7.8938	4.4353	2.9263	3.9121	0.64517	3.9922	12.5626	5.0232	2.457	1.7131	9.6873	8.6593	10.3838	2.5591	5.9284	12.1863	10.1886	13.0785	6.3418	5.2622	0.5123	7.7857	8.6722	3.0034	3.5245	2.8576	6.2873	11.1203	9.0184	3.4824	11.8996	1.0937	2.4821	2.7243
RS_G12106__FBN1__FBN1	1.2014	1.8895	2.1102	0.65511	7.5586	2.1463	1.108	8.4746	0.6436	0.18388	0.66708	3.0923	4.1752	1.0146	0.74839	4.3982	6.9848	4.5742	9.8221	0.29333	1.5016	1.6413	0.80989	5.7106	1.3307	3.0962	2.8548	1.224	5.4877	1.9859	0.49329	2.2667	1.2437	0.29429	1.0261
RS_G17391__AKR1C1__AKR1C1	3.5317	3.0196	0	1.3175	1.302	0	4.6088	11.7223	0.80419	2.2395	4.8267	10.0518	6.4743	10.3956	1.1221	7.8195	6.9883	10.885	5.6887	1.8676	2.3163	5.7678	5.459	2.5529	3.8017	0.44692	6.1736	2.6401	0.45405	7.621	7.4169	4.1577	2.5684	2.3202	0.89452
RS_G7748__IFI44__IFI44	3.8056	0.59385	0.46246	6.1055	2.1195	0.30353	2.8333	7.1034	0.31583	4.6246	9.3298	6.5299	7.3962	6.8635	4.9226	2.6237	7.0366	10.8415	2.8004	0	1.098	2.4211	0.44083	6.4009	0	0	6.2452	0	0.88563	5.9345	7.5377	4.7341	0.59359	4.5095	1.2093
RS_G10720__TFF1__TFF1	9.5716	6.8461	12.1442	15.3072	0	8.1211	1.5719	0	12.8985	14.5477	1.9333	1.5228	4.0155	4.0294	8.0643	0	0	0	3.3081	14.9851	14.3712	8.4157	10.5333	4.5944	14.5594	6.0558	0	3.1878	1.9663	2.5271	2.6641	2.5734	1.4334	3.9827	11.9576
RS_G10280__RAB11FIP1__RAB11FIP1	7.6887	6.2778	7.0128	12.2859	4.5822	8.1106	7.2796	4.0893	8.438	8.7856	8.1977	5.5418	6.2577	5.6096	7.1473	5.7509	6.7727	5.928	3.3836	5.4681	6.386	10.7433	6.6273	5.9329	7.033	5.945	5.9973	6.155	2.8408	4.7669	11.4127	4.8767	7.8875	7.9949	9.2453
RS_G609__BARX2__BARX2	5.0349	7.3684	5.1489	5.4751	0.70544	5.8141	7.3613	1.2344	5.8071	5.343	2.203	5.1431	7.7695	3.9764	5.0321	7.5727	0	7.9528	0	4.5016	4.5141	4.0998	7.3755	0	1.4529	0.4811	4.9457	6.8409	3.9518	1.2148	3.3395	4.7594	5.3453	6.1608	4.6412
RS_G41__TFPI__TFPI	1.8179	0.2174	0.72568	0.79129	8.5146	4.5244	0	4.3639	0.37081	3.8782	0	2.3925	3.7167	5.6665	0	2.9865	5.668	6.5509	6.9449	4.0401	7.4224	4.2219	2.2633	7.667	0.35548	0	0	0.67722	3.6419	0	0.60216	5.6653	4.1591	0	0
RS_G11315__FSTL1__FSTL1	6.1696	3.6176	6.5735	5.6716	12.563	0.96659	3.0155	9.048	1.7602	5.437	5.1741	7.2908	9.4235	7.6366	0.59939	10.3975	9.8128	7.9845	10.7719	0.77713	0.82926	0.93212	7.4038	8.5847	1.4346	1.2163	8.1641	3.6582	5.9561	8.1278	5.414	5.686	1.736	7.4048	0.67477
RS_G7167__ADAM19__ADAM19	5.0712	6.9435	0.69705	2.9636	7.4741	0.38305	6.6385	5.3497	0.17265	0.22092	1.5558	4.4122	1.7055	5.2338	0.1606	4.4636	5.8058	3.8545	7.6783	1.6872	0.69548	3.9726	2.9015	6.0789	0.040708	0.28145	2.3256	4.8527	5.6307	2.7338	4.0595	6.556	3.2612	2.3468	3.1471
RS_G3659__HSD17B1__HSD17B1	5.8365	2.4827	4.4911	5.7119	4.0726	5.4731	3.7446	3.268	6.922	7.5683	4.2638	3.3437	4.3834	3.8508	4.5426	4.2272	3.9286	3.54	4.533	5.73	4.4391	4.5804	6.3999	4.764	4.834	4.7038	4.8432	5.4724	6.7728	4.8417	4.6073	4.9203	4.1527	9.086	5.8783
RS_G11659__FOXQ1__FOXQ1	1.3317	0	0	0.32199	0	0	4.9799	0.24861	0	0	1.0826	8.1771	6.1798	2.8295	0	0	0.11238	5.7483	4.8724	0.21695	0	0	4.1323	4.4486	0.59161	0	3.5659	0	0	4.3107	3.5072	6.8165	3.8679	0	0
RS_G8410__EMP3__EMP3	2.911	2.2536	0	5.4885	10.665	3.4648	8.5826	10.5314	2.4683	3.5154	2.9505	6.6359	7.2148	2.5904	2.7206	3.8705	10.036	5.246	12.2115	4.767	4.5667	2.7647	3.9866	11.253	3.255	3.7386	5.7953	1.1597	11.5916	9.0071	4.185	8.949	4.0601	3.8818	3.7137
RS_G1696__AKR1B1__AKR1B1	1.6658	3.0827	2.2074	1.2461	8.3908	0	0.9276	12.6493	0.66845	7.6641	9.1769	9.7921	10.7386	3.4039	4.8033	10.1457	10.6783	12.3341	10.3571	3.372	0	1.8295	10.5974	10.1671	2.5479	1.3236	11.957	1.821	9.0595	11.5065	3.0981	11.4649	3.3056	0	4.7219
RS_G17313__GPR103__GPR103	0.2541	0.19648	0	0	2.3885	0.31353	5.8962	5.3647	0	0.64283	7.2065	1.4331	0.4547	0.10611	0.55998	0	3.9701	4.8501	0.24643	0.11209	0.30443	0.32413	0.092657	0	0.15618	0.19049	5.8225	0	0.38243	6.3115	0.064452	0.47337	0.44342	0	0
RS_G15600__TMEM46__TMEM46	2.893	0	7.3461	8.6498	7.9881	6.3119	5.7037	0.74527	1.9434	4.0751	0.30927	1.052	5.2526	4.1	8.497	3.8335	2.9939	0	0.20205	2.8288	4.4623	8.0956	2.7918	0.70078	5.6394	3.8354	0	0	0.68267	2.7968	3.177	2.0895	1.2532	6.1793	4.0311
RS_G10836__FGFR4__FGFR4	5.2034	7.7635	8.2284	8.4723	3.6823	11.0861	6.4162	5.236	9.6719	7.2021	7.4945	6.5832	6.241	8.4301	9.4006	5.9966	6.3794	4.5084	2.9314	7.9454	7.7888	7.8124	6.2404	4.8446	12.8321	13.6847	4.5816	6.4864	6.0949	5.9918	9.5218	6.8846	7.9866	6.6089	10.4536
RS_G7220__AC009656.11__AC009656.11	2.7728	1.3543	0.21494	0.13307	4.9473	0.67267	6.6933	2.7947	0.27108	1.5657	0.47824	3.1129	2.6674	3.6353	0.13274	1.6047	4.259	2.2956	5.8737	2.3902	0.25327	2.2197	4.3194	4.3125	0.93459	1.2714	3.1148	0.17347	2.0208	6.7593	0	1.1061	0.50532	0.53125	0.56996
RS_G11804__CTHRC1__CTHRC1	0.59548	0.84977	0.51115	1.547	3.5916	0.60407	2.1533	1.6025	2.0582	2.0703	7.1335	1.9606	1.1417	0.78187	3.2306	0.33863	4.9283	4.0665	5.1817	1.85	2.4563	0.33446	0.69708	2.4179	1.0593	1.9293	4.9175	0	7.2593	1.3576	3.4705	3.8286	0.64641	0	1.0754
RS_G13234__AC135457.2__AC135457.2	4.438	5.5184	2.9816	4.176	0	4.1144	0.57084	0.81969	8.4437	3.1298	0.76268	0	0.3818	0.91582	3.4289	0.58332	0	0	0.90435	1.9106	3.1711	4.0342	2.8411	0.1258	6.1146	7.5507	0	4.8409	0.23253	0	4.1265	0	0.80114	3.9769	6.1201
RS_G2464__PLTP__PLTP	0.11482	10.0545	0.75517	1.2357	10.9319	1.1199	0.90633	4.5863	1.0814	0	0.24629	9.5327	6.1663	0.4738	0.27113	0	7.9012	8.082	6.5859	4.17	1.6206	0.80808	4.8815	3.1098	0.52736	0	3.5639	7.9049	3.0229	6.1828	3.6044	10.4891	2.8626	3.5352	0
RS_G5851__BMP2__BMP2	0	2.2943	0	0	0.56208	0	6.1433	4.5299	0	0	0	4.5283	4.1967	4.5089	0	3.7759	1.3779	0.62897	5.0298	0.164	2.2696	0	5.4122	0.80063	0	0	4.4044	1.0794	0.29414	5.7002	0.09744	4.8377	0	0	0
RS_G5395__INHBA__INHBA	0	1.4027	0.57218	4.9365	8.116	0.34649	7.4763	6.8731	0.24841	0.79254	1.0776	6.6774	5.5305	6.203	1.0348	7.1808	4.9604	4.2951	9.2718	0.8871	1.8265	0	6.524	3.1375	0.27195	1.5506	8.0338	0	2.5634	8.5917	1.4331	4.6019	0	1.2706	1.0054
