Cell lines	21MT1	21NT	600MPE	AU565	BT474	BT549	CAMA1	EFM192A	EFM192B	EFM192C	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	JIMT1	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
RS_G6452__GATA5__GATA5	0.44248	0.67334	0	4.94	1.3896	0	0.8752	4.7007	6.522	5.5227	0	0	0.38815	6.1074	0	3.0853	1.4507	0.092615	0	1.0026	0	0	1.0202	0.36992	0.28951	4.6308	0.56404	0	3.0839	0.85482	0	0	0	0	4.1711	0.66483	4.124	4.5765	2.8352	0.27519
RS_G16598__PROS1__PROS1	1.2493	3.0598	4.6854	0	0	6.3048	0.91111	0	0.44598	0.16491	3.1664	1.7086	0.9029	1.3688	2.6571	2.8994	1.0067	1.4914	4.4328	2.7055	0.13375	1.5091	0.15521	0.71549	2.8721	0	0.12149	6.4587	0.13992	0	4.1969	0	4.4556	2.5764	0	0.42536	1.3477	0	0.55269	0.21169
RS_G13634__ORMDL3__ORMDL3	5.695	5.9822	8.4193	9.5287	11.0886	6.0491	7.462	11.2474	9.3075	10.2487	5.3419	5.8181	7.7038	7.7064	6.3208	5.9623	7.5485	12.5241	7.1501	7.5026	6.3917	6.1295	9.733	7.3732	7.1072	8.688	6.953	6.6466	7.8685	8.3	6.8689	8.3987	5.4837	5.5453	7.5625	8.0346	6.6454	8.6298	8.409	8.0607
RS_G14203__IL20RB__IL20RB	3.6183	5.3787	2.3285	2.3977	1.9633	2.9313	3.6584	2.1743	2.4918	2.516	3.7298	3.6464	2.6596	2.0501	4.4568	7.3998	6.0774	2.1694	3.8537	4.2693	3.4924	3.1903	2.6596	2.3034	3.4285	1.2384	2.9665	2.316	2.3458	2.0891	2.8672	1.235	3.8664	6.4871	3.0164	8.9032	4.6157	2.8394	2.5497	2.8662
RS_G16369__FAM101B__FAM101B	6.1335	3.7343	2.9511	1.0265	1.5763	9.3524	1.5603	2.204	3.558	3.7603	6.5765	7.1081	2.1504	3.8254	6.532	4.3797	5.5651	3.7832	4.0257	6.4778	1.8729	8.5698	6.0506	3.835	2.3843	1.8116	3.9783	0.79962	2.1654	1.441	6.3464	0.18891	6.972	2.6499	2.5583	4.7299	1.4567	2.4444	3.7364	5.4731
RS_G424__FHL1__FHL1	6.5471	5.2006	2.0586	0.14817	0	8.4195	0	0.82952	4.8236	0	7.8581	7.6811	0	0.22544	5.2396	7.0935	5.4999	1.6533	8.1859	4.294	0.90187	10.0365	3.5472	3.4656	2.4039	0.32044	3.163	4.1986	1.521	0.52788	3.2163	0.9089	7.0593	5.007	3.6967	2.9989	7.6498	0	0.6065	1.4646
RS_G2995__SLC39A14__SLC39A14	5.5891	5.4351	6.5459	5.6769	5.6594	8.7657	6.1716	5.4409	6.0281	6.5184	7.0063	7.7195	6.3535	6.2607	9.1892	7.0224	6.7042	5.8478	7.8421	8.046	5.0282	8.6902	7.897	5.9951	5.871	5.7726	6.4523	7.8138	5.2543	5.461	9.0738	6.3889	11.4705	6.4913	4.5856	7.4146	6.5071	6.5466	6.9246	7.2669
RS_G17313__GPR103__GPR103	0	0.31312	0.2541	0.19648	0	2.3885	0.31353	0	0	0	5.8962	5.3647	0	0.64283	7.2065	1.4331	0.4547	0.10611	0	3.9701	4.8501	0.24643	0	0.11209	0.30443	0.32413	0.092657	0	0.15618	0.19049	5.8225	0	0.38243	6.3115	0.064452	0.47337	0.44342	0	0	0
RS_G11429__CXCL3__CXCL3	5.5733	4.9662	0.33948	0	0	3.4106	0	0	0.24646	0	2.5204	3.2775	0	0	4.4838	3.1649	1.7437	1.4393	4.6319	3.5497	3.3576	4.5588	0	0.22001	0	0	0.6239	2.2938	0	0	6.3879	0	6.9196	8.1321	1.9658	2.8659	0	0	0	0
RS_G4086__MDGA1__MDGA1	0.85264	0.92894	0.20459	1.4234	2.8025	2.4437	0.5006	3.0125	3.5642	4.2644	0.86399	2.5515	2.8983	2.6328	0.054683	3.6425	4.1003	2.3021	2.7875	1.4903	0.99925	3.0637	3.0314	2.9232	0.0898	5.2081	3.1514	2.9841	3.8918	0.15742	1.8229	0	2.1952	1.4983	3.3356	1.6953	0.82755	3.5697	1.8872	0.85363
RS_G10899__PERLD1__PERLD1	9.086	9.4411	7.7632	10.8788	10.843	5.7015	7.023	13.3138	10.7647	11.8934	5.4851	6.0545	11.6693	6.7597	1.9356	4.6347	4.808	11.5693	7.3482	6.5941	7.0206	5.8111	8.4341	6.5555	5.7895	6.5318	7.7669	5.3794	9.638	8.0489	7.0386	10.3657	5.6013	6.5852	14.7454	6.0695	5.4877	7.267	7.3184	6.7812
RS_G11400__ADAMTS9__ADAMTS9	3.4889	3.6933	0.2465	0	1.37	0	0	0	0	0	4.9386	0.89744	0.15387	0.10069	4.6682	0.17282	4.183	1.6897	2.1726	0.46728	0.55645	0.5346	6.1097	2.1523	3.539	0.11316	0.060178	0.57193	0.16876	0	7.1859	0	1.1799	3.8561	0	2.6306	0.299	0	0	0
RS_G920__BCAS1__BCAS1	0.68074	0.78719	6.6372	8.9475	11.0683	0.93032	5.61	9.2586	8.4533	8.2615	1.127	1.64	10.7186	6.2652	0.25653	0.51932	2.3365	4.0923	1.1356	0.70967	1.8382	0.95512	1.1606	8.6848	6.957	6.1282	6.1222	0.83247	6.1234	2.181	0.54974	9.4061	0.49246	0.40769	7.3227	1.9885	4.6113	6.1188	7.2271	7.9636
RS_G15626__MAP6D1__MAP6D1	5.8009	4.7673	2.2504	0.85483	5.8526	5.4591	5.8612	5.1612	4.9968	4.4678	3.9654	3.1315	4.4177	8.4145	3.7921	6.3579	5.3975	4.4178	5.4406	4.2591	2.9896	2.1446	6.2985	6.133	5.0368	2.5589	4.9943	3.9445	5.6564	3.9162	2.4325	3.151	3.4771	3.7012	3.3235	3.6466	3.883	9.7553	3.7728	3.0512
RS_G12262__NNMT__NNMT	6.0046	7.4529	8.5516	2.0132	0.48442	9.4448	0	0	0	0	1.147	7.6778	0	0	1.6205	1.4637	5.9883	7.7288	5.9076	6.1323	8.4278	6.7404	0.59056	1.7656	0	0.46256	3.0779	0.7415	0.55533	0.52928	6.6938	0	9.0646	10.6571	6.6568	6.8006	9.2782	0	0.22668	0
RS_G22701__ATP10A__ATP10A	3.8976	3.95	7.5074	0.25087	0	0	0	0	1.958	0	4.4453	2.6536	0	0.069701	4.892	0.22617	4.9408	0	4.6253	0.75404	4.7523	3.1988	0.1027	1.6168	0	0.049383	0	3.3339	0.08933	0.17543	6.8059	0	6.5671	0.10086	3.9696	4.7707	6.3999	5.6339	3.9525	1.7496
RS_G2649__SRPX__SRPX	5.2927	8.2205	2.5884	1.0314	2.6197	2.7858	0.26305	0.7005	0.89998	0	6.6006	9.7982	0.70231	2.9338	7.0833	1.997	1.2447	5.9047	3.9004	4.6477	1.8195	5.4903	4.3444	2.0271	1.2433	2.542	2.1877	5.0677	1.48	0.77069	5.5235	0	9.8027	4.4822	1.5505	2.81	0	0	2.558	1.0927
RS_G14507__AL133445.4__AL133445.4	0.82313	0.71313	3.9862	4.92	6.1168	0	3.5289	2.0183	3.8348	3.2732	0.34141	0	2.9907	0.73593	0	0.82434	2.311	0	0	0.69544	1.8332	0.44594	0	2.7258	3.3483	6.6989	2.2186	0	2.881	3.5843	0	2.2355	0	0.72157	2.7742	0.58825	0.76526	5.1359	2.6906	0
RS_G15166__FAM132B__FAM132B	4.0484	4.582	3.6329	1.5782	0.57287	5.0949	1.8967	2.884	1.51	2.2538	4.6932	4.968	1.5716	1.833	8.137	2.1946	1.3189	4.7947	3.4335	5.8446	5.0424	4.4631	4.4089	2.6238	2.7471	1.6025	3.3489	5.3574	3.3649	2.0017	5.4355	1.0046	5.1436	2.6266	4.1437	4.5079	0	0	3.7901	4.2921
RS_G15547__GAS1__GAS1	1.7248	1.2391	0	0	0.20138	6.8017	0.35442	0	0	0.20268	3.9425	6.4901	0	0	4.9514	0	3.5582	1.1793	5.7523	4.7642	3.202	3.9524	1.8289	0	0.34607	0.64055	3.8028	0	1.0246	0.98655	6.4512	0	4.0824	5.0688	0.10817	3.4259	0.80311	0.55514	0.66117	0
RS_G10718__TFF3__TFF3	4.0867	2.6294	9.803	7.179	11.1887	0	6.3298	8.7851	9.0924	14.0303	0.97441	0.986	13.1896	11.0513	1.8337	0	0.53575	1.7682	2.2698	0	0	1.8517	2.0699	9.9781	8.776	7.7139	12.8413	5.8853	12.3423	6.3096	0	5.0467	0	0	6.5283	0	0.69196	8.9041	12.4151	11.5272
RS_G8362__PNMT__PNMT	6.7137	5.9523	0.44623	4.8999	7.3726	0	1.4466	7.7443	6.3103	5.0259	0.33162	0.4332	11.4553	1.7285	1.4818	0.57924	0	3.0748	0	2.0961	0.97013	0.42865	5.6612	1.4931	0.68934	7.0506	4.7939	0	6.2953	2.8879	1.0688	4.8305	0	1.6774	5.8587	2.6683	0	2.3264	2.1811	0
RS_G13473__C18orf4__C18orf4	2.9239	3.3207	2.916	0.19285	1.8636	6.8813	2.0898	0.029926	0.21099	0.062344	3.5813	2.2879	0.32997	0.85351	1.2471	4.2512	0.70224	0.051857	2.9336	0.30277	0.5877	5.6726	1.248	0.27885	0.83484	5.3935	0.6096	3.6129	0.593	0.79273	2.0735	0.074512	4.3534	3.7589	0.58445	2.8849	3.8849	0.37249	1.2527	2.7154
RS_G10048__NCAM2__NCAM2	0	0.30446	0.90591	0.059094	5.8956	4.3315	7.6151	0.76442	3.0048	0.63339	0.16098	0.37026	4.9363	5.8073	0.17185	2.3537	0.24293	0.091683	0.80572	0	0.22422	0.99046	0.046515	4.4702	5.91	4.3296	0.62114	0.23448	3.8161	5.5146	0	0.48347	0	0.25252	0.18146	0.1996	0	7.7429	3.7889	2.5183
RS_G13235__KRT4__KRT4	2.083	1.6977	9.3812	11.4788	3.7138	0.19191	1.292	11.0873	6.9362	6.4109	4.5089	0.67209	6.6696	4.7751	0.6186	9.2252	10.5856	8.4049	5.9863	0.10105	10.3706	1.7151	1.6451	4.2725	1.7253	0	6.4769	0.82122	4.2504	1.1517	0	10.7577	0	1.1482	6.9112	3.9312	8.1608	5.2153	4.5519	0.62627
RS_G13254__IRX1__IRX1	0	0	0	0	0	0	0	0	0	0	9.066	6.4132	0	0	0.24446	2.8355	0.71958	0.25437	3.6235	3.7902	0	0.86673	0	0	0.14025	0	0	0	0	0	7.2028	0	0	3.8275	2.9194	0	0	0	0	0
RS_G2982__NCALD__NCALD	0	0.32703	4.3153	2.4446	5.2968	4.5153	0.51725	2.5656	2.4536	4.6716	2.7335	0.74221	7.4901	1.4971	0.20432	0.41998	1.7263	0.10957	0.51904	0.31846	3.4817	0.25333	0.082853	1.5508	2.1677	4.1108	3.4312	0.39818	2.874	0.75631	1.0999	4.0623	0.21028	0.42403	4.7842	0	1.5149	3.0914	3.9235	1.34
RS_G8682__OSR1__OSR1	1.7316	2.0476	0.11123	0.23849	0.2896	0.48045	0	6.0589	2.6501	2.8424	4.8216	6.3439	1.8828	0	4.1075	0.57369	0.83199	0	4.8445	2.7179	0.34605	7.5551	0	0	0	0	4.4393	4.3569	0.57157	0.45115	7.4307	0	3.2881	3.4287	0	3.2369	0.52938	0	0	0.36537
RS_G3465__GLIS3__GLIS3	3.3929	3.5934	1.0417	0	0.7201	5.7482	0.065496	0.61445	0.17185	0.071265	2.5089	2.5399	0.25445	0.088391	2.7287	0.32897	0.90898	4.199	1.6833	7.1394	4.1606	5.2637	2.2004	0.31311	0	0.24739	0.86881	3.7762	0	0.11367	3.442	0	5.3004	1.2236	1.4032	3.5116	0.2903	0.073385	0.090949	1.0128
RS_G16696__PRR16__PRR16	3.5305	5.2076	0.41506	0.24797	2.8974	8.729	0.51715	0	0	0	5.5895	5.757	0.29138	2.5036	5.5104	2.0171	2.0923	0.25845	5.8394	6.3792	1.3786	7.437	2.8829	0	0.88141	0.1435	0	6.9914	0.32306	0.65491	4.8509	0	7.3612	3.379	1.175	1.7352	0	0	0.80822	0.6793
RS_G1762__MMP2__MMP2	7.855	6.3738	0.4728	0.51784	0.16333	1.1858	0.21659	0.66021	1.056	0.16539	6.7222	10.4729	0.2313	0.53378	1.1497	4.3334	3.1849	4.7367	0.74091	5.5154	4.458	10.0294	1.0932	0.50701	0	0.15291	5.9153	0	0.47804	0.67254	6.3519	0.71178	8.0913	6.8538	1.7789	5.4073	1.6774	0	0.5521	0
RS_G5403__TWIST1__TWIST1	6.4935	7.5007	1.1861	0.26983	4.0614	7.0209	4.5511	0	0.17477	0	4.8892	6.1671	5.4578	0	2.0334	3.7229	0.6241	2.8708	3.3893	5.7755	0.27115	6.474	6.1499	0.1556	3.8512	4.3436	4.386	0	2.9119	0	3.4374	0	9.2954	6.6104	1.3277	5.6725	0.46509	3.096	5.3279	4.0443
RS_G4882__NRP2__NRP2	6.8816	7.281	0.9771	0.20883	0.35126	5.1284	0	0.24713	0.15086	0.11611	4.7753	5.4477	2.767	0	6.9605	5.4682	6.1647	1.8408	5.4395	6.3585	3.0381	4.719	2.5627	0.93829	0.60902	2.8202	1.0506	4.1193	0.27601	0.53772	8.4982	1.3656	9.3677	1.3344	1.1954	6.321	2.2134	0.87418	0	0.1009
RS_G12120__LARP6__LARP6	5.0564	4.9943	4.2188	1.299	3.6514	6.568	0.41765	3.9252	5.0015	4.019	5.2848	8.1059	3.3645	1.9411	9.7435	4.7567	5.4148	3.8387	5.773	5.0126	6.7561	5.8904	6.1143	3.7507	2.9315	4.4766	4.378	6.7601	4.6908	0.67497	7.6855	0	8.9712	6.2283	6.3424	5.1701	5.3971	3.8833	3.6215	3.6772
RS_G4919__CTGF__CTGF	7.2625	5.8708	9.505	4.4992	0.78195	12.8527	0	5.8725	6.7274	2.8349	8.7089	7.2404	1.2136	1.2462	8.3956	5.4822	6.3887	7.5308	10.7526	9.5522	5.6891	12.5646	7.1754	2.5154	1.758	0.22651	5.5647	10.5691	3.2516	1.4824	11.3633	4.5607	6.2663	7.3857	6.1576	5.3545	6.591	2.1019	1.8454	1.1337
RS_G5394__HOXA7__HOXA7	0.66657	0.78632	2.1316	0	0.91753	2.1784	0.11467	0.22942	0	0	1.9831	5.33	0.89799	1.7442	0.7897	6.9085	5.3889	1.1347	1.2664	4.1871	4.3038	4.4576	0.22464	4.0079	2.4767	0	1.3965	0	0.24811	0	6.8275	0	2.2872	1.7227	5.8073	3.9677	0.23142	1.0135	0.76165	1.3313
RS_G11561__PRSS12__PRSS12	5.4723	5.893	1.496	0.54609	0.25057	5.6392	0.8661	0.63318	1.9062	0.089595	5.8391	2.788	0.085993	0.31015	10.2082	5.2016	4.7765	2.0344	9.7569	4.8767	1.5091	5.9064	2.5647	0.22633	0.48493	0.61684	3.2744	4.7183	0.48861	0.70177	5.0703	0	4.227	6.4227	1.9942	5.4288	0.17025	0	1.3084	2.2724
RS_G3221__UPK1A__UPK1A	0	0.36971	0.8528	1.0252	6.1111	0.3617	1.1309	3.7108	4.8752	3.6815	1.2971	0.73223	8.1177	2.4971	0.47554	0	2.2747	1.1508	2.1001	1.0908	0.93519	4.0595	3.9529	6.4552	2.0695	3.8393	6.4601	0	4.3151	3.5316	0	0	2.1671	1.3118	1.9598	0.94107	0	2.1181	4.9489	0.50994
RS_G3353__PCOLCE__PCOLCE	5.0662	4.1806	4.0183	5.2358	1.1229	3.7061	5.7569	5.038	5.0088	2.6846	5.089	9.7903	3.5241	3.627	7.1177	3.3102	3.3519	3.6393	2.6715	3.9957	5.2853	11.1461	1.9644	6.55	5.4564	4.6127	4.4436	4.1729	5.0075	5.2591	5.585	5.918	5.68	5.8965	2.4232	3.8196	5.2198	4.189	6.6508	5.133
RS_G11127__OLFML2B__OLFML2B	2.6515	3.4845	0.42875	0.13423	0.23792	5.7677	4.4756	0.22915	0.57075	0	3.339	9.4493	0.30186	0	1.2164	0.33768	1.2905	0.97504	1.9934	7.0512	2.5686	5.708	0.93586	0.40258	0.28477	6.7681	1.3501	2.3956	0.30446	0.37271	2.8528	0	5.2065	0.9963	0	0.51857	7.5456	0	0.70319	0.30943
RS_G5308__TNFSF10__TNFSF10	0.17946	1.057	7.4598	3.8064	6.2377	0.14673	2.2596	4.898	3.719	2.0602	0.44806	0.89885	7.403	6.2489	1.8662	4.0073	5.596	7.5225	5.9926	0.27813	10.8217	0	0.68409	0.28181	2.6571	5.9145	3.0257	3.778	5.0998	5.7963	0.39116	0	0	2.1075	8.5317	3.6864	7.5606	6.4195	5.434	0.95845
RS_G566__CSPG2__CSPG2	3.1722	4.16	0.20025	0.043506	1.2122	1.8343	0.21093	0.10208	0	0	4.7871	6.1112	1.7258	0.13026	0.20687	1.5527	1.0484	0	1.5387	8.8786	0.043736	8.7002	0	0.046891	0.11893	0	0	0.61441	1.3727	1.9183	0	0	3.5182	3.6374	0.39102	2.7013	0.27189	0.80559	0.66906	0.65313
RS_G27296__IGHE__IGHE	0.39262	0.60243	0	6.9908	1.3543	0	0.60738	9.0841	8.0813	4.9956	0	0.51827	1.5466	1.1694	0	0.87206	0.6756	4.4599	0.48354	0	0	0	0.43672	4.756	1.6579	1.583	2.7019	0	1.3237	0	0	2.7515	0	0	0	0.68655	6.537	1.5464	4.3878	2.5552
RS_G3853__C11orf41__C11orf41	2.114	1.1795	0.10845	0.061167	0.16984	1.3798	0	0.073867	0.46481	0.12556	4.781	3.4279	0.097979	0.21235	5.1998	6.1774	4.1824	1.2452	1.3581	2.648	2.5653	6.7553	7.5132	0.80288	0.11354	0	4.6097	0.14799	0	0	4.5718	0.11867	2.9811	0.64591	0.3339	1.7011	0.51858	0	0.27734	0.58324
RS_G10920__ITGA5__ITGA5	9.0069	9.1421	4.1991	5.5787	1.8799	6.6272	0.30001	6.833	6.2207	5.8363	4.6947	7.953	5.2777	2.5252	7.8276	7.3246	5.4091	6.3575	6.6635	8.0876	7.691	10.758	9.8575	5.5302	4.2158	4.198	5.6305	6.9234	5.1389	2.9675	7.4337	4.6841	7.707	6.7365	6.0906	9.7669	6.3055	5.2446	5.4798	6.7465
RS_G1450__HOXA9__HOXA9	1.7267	2.041	0.17011	0	0	0	0	0.11789	0.77599	0.61792	4.2747	6.0684	0.42162	1.0745	0.51342	2.9381	3.8685	6.2627	0	2.0643	3.0713	5.5064	1.0793	0	0.1108	0	1.3105	0	0.20088	0	7.564	0	0	4.3002	0.78151	3.8141	2.6181	0	0.54402	0
RS_G18066__GSPT2__GSPT2	0	0	6.2175	0	0	0	0.20684	0	0	0	4.3112	1.7446	0	0	0	0	0.16352	0	2.1342	4.5726	0	3.0978	3.5868	0	0	0	2.8417	0	0.40592	0	4.1618	0	0	0.20974	0	2.4223	0	1.1025	4.9864	5.5342
RS_G1266__PTGS2__PTGS2	1.5987	3.8244	4.9768	0	0	0	0	0	0	0	2.1508	0.52235	0	0	2.0328	6.9215	5.1045	0.64111	3.1963	2.374	6.6243	2.758	0	0	0	0	0	3.1961	0	0	7.2493	0.74749	2.9427	3.9296	0	4.3372	0	0	0	0
RS_G13766__MUCL1__MUCL1	7.9916	7.1117	8.2971	9.2684	12.3825	0	8.4661	7.171	11.0122	13.3645	0	0.90826	7.872	5.344	1.4703	1.545	2.4156	8.9393	0	0	5.508	0	4.3461	7.4503	7.7859	7.1029	9.5099	0	13.1852	9.8025	5.3187	9.1199	1.9667	0.85403	14.8568	1.8097	13.9402	2.6873	11.3802	3.1773
RS_G7673__TMPRSS4__TMPRSS4	1.2876	1.1368	2.699	7.5287	3.7492	0	0	7.7627	5.8751	3.7511	4.5026	0.31816	8.8153	1.9174	1.9884	4.8015	5.6948	7.7551	4.0871	0	6.8365	0.168	0.20122	5.3764	5.8953	4.31	6.1115	0.26802	3.6486	0.47906	1.2545	7.1336	0	0	5.449	4.4458	0.96487	0	5.4337	1.2718
RS_G609__BARX2__BARX2	2.783	4.0502	5.0349	7.3684	5.1489	0.70544	5.8141	5.3633	6.3064	6.0291	7.3613	1.2344	5.8071	5.343	2.203	5.1431	7.7695	3.9764	7.5727	0	7.9528	0	5.1135	4.5016	4.5141	4.0998	7.3755	0	1.4529	0.4811	4.9457	6.8409	3.9518	1.2148	3.3395	4.7594	5.3453	6.1608	4.6412	4.3941
RS_G12889__AR__AR	2.7323	1.8822	4.6371	4.6227	6.4437	5.9187	7.5601	3.9196	4.7797	5.8943	0.19231	1.476	6.5225	6.1875	0.10622	0	0.18004	5.5774	0.97224	0.22082	3.9166	3.5014	0.1609	5.9163	6.3628	4.5895	2.3964	0.40029	7.5779	9.2818	0.68318	3.9527	5.974	0.23057	4.0998	2.03	0	4.8483	6.3137	3.0122
RS_G5781__OPRL1__OPRL1	2.3399	1.6011	4.534	1.6695	0.95283	1.5212	1.6941	1.2421	2.3685	0.87355	1.5183	0.62697	2.1401	1.4334	3.2103	0.3316	0.80273	0	2.1467	2.3743	2.1919	1.2947	0.24654	4.4101	3.2073	3.3572	0.86525	0.48697	1.694	1.73	3.8516	1.6668	6.922	3.9209	3.0435	1.6348	1.7889	1.0742	3.8285	3.6366
RS_G2122__PALMD__PALMD	0	0.20336	5.825	2.527	4.7899	4.2402	2.4516	2.2556	0.94509	1.9793	0.32521	0.11408	5.4667	1.9725	0	4.4331	3.9262	7.1876	4.8087	3.5452	8.4288	0	0.55488	0	0	4.4489	2.8018	0	2.7014	3.8492	0	5.313	0	2.6676	5.452	2.8454	2.8309	1.4025	2.6551	1.4635
RS_G6626__MAP1B__MAP1B	1.854	1.8747	1.6802	0.12335	2.6488	5.4526	0.64596	0.71667	1.5505	1.3285	7.5131	8.3394	1.0717	2.1305	6.6239	3.8912	4.0338	2.7093	4.8936	8.088	4.8333	9.1024	5.0968	2.9921	3.5005	3.9959	2.2071	7.6542	1.7013	0.79208	6.6151	0.17791	7.6968	2.768	5.9852	4.2327	2.5995	0.081101	2.7946	0.59431
RS_G8194__TGFB1I1__TGFB1I1	1.7073	2.119	4.2726	2.3439	1.5566	9.8909	0.51218	1.8267	2.99	0.76496	4.6719	3.9998	1.9533	0	6.8274	5.2331	4.7585	0.25652	0.71603	6.9022	4.8033	9.6163	6.4875	5.4314	2.0027	4.1516	2.6547	8.2845	0.19792	0	8.5533	1.3892	0.97629	7.6316	0	6.9564	2.8172	1.8548	3.2699	2.7503
RS_G7892__FGF2__FGF2	0	0	0.3704	0	0	7.5818	0	0	0	0	5.2899	3.8378	0.38255	0.26018	7.8975	2.3116	5.2507	0.14505	6.8459	6.6202	2.6134	4.9625	0.056051	0.11633	0.15511	0.26957	2.1954	0	0.019091	0.20773	6.8107	0	4.444	2.0561	0.77491	2.5446	0	0	0.72312	0.11461
RS_G12004__RET__RET	0.2207	0.095849	1.3467	3.1518	7.9063	0.87543	5.1853	5.6123	3.2741	9.2958	0.89165	0.30187	8.0782	9.1389	0.31723	1.7701	1.0823	1.4569	1.1764	1.548	0	0.10745	0.3595	6.9421	7.479	8.4747	5.2297	0.99732	6.4964	5.759	2.1376	0	0.32614	0.097243	2.6192	0.14819	5.6052	2.6186	3.7588	1.5535
RS_G17030__AL391099.12__AL391099.12	0.37939	0.11853	0.79472	0	0.34856	7.0864	0.12082	0	2.0768	0	0.50749	2.7995	0.34788	1.7984	0.38468	6.4598	0.47817	0.21289	3.135	7.1336	0.29773	4.0806	4.0897	0	0.59638	0.61194	0	5.5472	0.11398	0.92648	6.6016	0	5.2696	1.9796	0	2.6767	0	3.4413	0.16657	3.3942
