Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751
RS_G15547__GAS1__GAS1	0	0	0.20138	0.62347	6.8017	0.35442	3.9425	6.4901	0	0	4.9514	0	3.5582	1.1793	5.7523	4.7642	3.202	3.9524	0.34607	0.64055	3.8028	0	1.0246	0.98655	6.4512	0	4.0824	5.0688	0.10817	3.4259	0.80311	0.55514	0.12587	0.66117
RS_G16181__NKX2-5__NKX2-5	0	0.14799	0	2.2776	0.30376	0	0	4.2666	0.17603	0	5.648	0	7.2823	0	7.3849	5.2771	0	7.6837	0	5.3599	6.5462	6.4732	5.7523	0.52732	8.076	0	0.74346	0	0	0.82108	4.6758	0	0	3.6568
RS_G406__GPR124__GPR124	1.8829	1.7232	0.053107	4.3719	5.7625	0.78853	2.0625	4.8648	1.0604	1.6615	8.1524	1.1026	2.1843	1.0762	3.9021	3.3607	3.4824	6.1456	1.1512	3.6587	3.8246	1.8291	1.3221	0.94288	5.0637	0.60658	4.189	0.5674	3.2144	1.2619	2.3916	2.0141	2.5418	2.0064
RS_G6854__CHI3L1__CHI3L1	5.7261	2.3214	0	0.14362	3.5247	0	2.554	7.6575	0	0.36476	12.9621	0	3.0879	1.1763	8.5212	4.7192	9.6636	3.725	0	0.281	5.8121	0	1.1728	1.5253	13.291	5.0116	1.3497	8.1751	2.7927	2.0497	0	0	3.4425	2.1546
RS_G13378__SOX7__SOX7	1.0588	0.80182	0.33529	0.37561	2.2023	0.73492	1.4256	0.908	1.4048	0.41113	3.8063	7.2916	4.6599	0.35444	0.57451	3.0217	1.1564	1.5305	0.44132	1.1929	1.6638	1.6426	1.246	1.1283	3.1652	1.9944	0.7326	1.8712	0.048543	6.6796	0.17357	1.1133	0.74282	0.95838
RS_G8395__COL6A1__COL6A1	5.4602	5.1508	3.3975	4.7457	7.3394	3.4729	9.921	10.6743	1.6458	3.4276	8.8942	7.4773	8.2099	3.563	4.938	10.6909	0.88895	13.8151	3.678	1.0221	5.5817	7.6313	5.1513	0.86484	10.1471	2.4509	9.1319	9.7023	7.0085	9.4911	5.3568	5.7383	6.3313	5.3044
RS_G10920__ITGA5__ITGA5	4.1991	5.5787	1.8799	6.3514	6.6272	0.30001	4.6947	7.953	5.2777	2.5252	7.8276	7.3246	5.4091	6.3575	6.6635	8.0876	7.691	10.758	4.2158	4.198	5.6305	6.9234	5.1389	2.9675	7.4337	4.6841	7.707	6.7365	6.0906	9.7669	6.3055	5.2446	4.5489	5.4798
RS_G12287__ANPEP__ANPEP	4.6781	3.3458	0.4918	2.3499	9.3546	0.34204	0.60793	3.8277	2.1245	1.2098	2.4168	4.5501	9.2789	0.94625	0.81235	7.8441	6.672	8.9544	1.5798	0.72205	10.471	0.4706	0.586	0.65303	2.7753	2.6835	13.7475	11.5166	0.084498	7.974	0.8554	1.2223	6.7332	1.7071
RS_G18066__GSPT2__GSPT2	6.2175	0	0	0	0	0.20684	4.3112	1.7446	0	0	0	0	0.16352	0	2.1342	4.5726	0	3.0978	0	0	2.8417	0	0.40592	0	4.1618	0	0	0.20974	0	2.4223	0	1.1025	5.3381	4.9864
RS_G16556__SLIT3__SLIT3	2.2355	0	2.471	0.90403	8.9874	0.21763	0.33496	7.4124	4.7742	0.68628	0.18968	0.65273	3.7599	0.33265	0	3.0493	0.96971	6.6132	0.15986	0.57603	1.6904	0	1.9982	5.5376	1.4012	0	7.0337	1.139	1.3114	1.8365	0.83487	0.24237	2.8594	2.7669
RS_G11804__CTHRC1__CTHRC1	0.59548	0.84977	0.51115	1.547	3.5916	0.60407	2.1533	1.6025	2.0582	2.0703	7.1335	1.9606	1.1417	0.78187	0.33863	4.9283	4.0665	5.1817	2.4563	0.33446	0.69708	2.4179	1.0593	1.9293	4.9175	0	7.2593	1.3576	3.4705	3.8286	0.64641	0	3.8219	1.0754
RS_G10006__UCHL1__UCHL1	4.6916	3.5306	3.1025	4.9635	9.437	0.31416	6.613	9.9521	5.3917	1.423	10.1083	11.2052	7.0574	1.8004	0	10.0435	7.4474	0.34712	1.6596	3.1489	1.9776	0	5.6516	3.5837	5.4933	2.7509	2.1949	3.649	7.993	5.2947	0	5.6993	4.2934	4.5807
RS_G11127__OLFML2B__OLFML2B	0.42875	0.13423	0.23792	0.40981	5.7677	4.4756	3.339	9.4493	0.30186	0	1.2164	0.33768	1.2905	0.97504	1.9934	7.0512	2.5686	5.708	0.28477	6.7681	1.3501	2.3956	0.30446	0.37271	2.8528	0	5.2065	0.9963	0	0.51857	7.5456	0	0.44843	0.70319
RS_G1585__FYB__FYB	0.2113	0.19141	0.061937	0	0.20909	0	0.34147	1.9912	1.9119	1.2528	0.39857	6.1426	3.5975	2.5922	3.3846	0.15854	9.0496	0.12508	0	0.45377	2.2729	0	0	0	0.53975	0	0	0.11113	0	4.1615	5.2149	0	0	0.42518
RS_G17782__NCCRP1__NCCRP1	1.9723	8.6754	1.5981	1.8852	0.54713	1.1785	1.3837	1.3348	2.5779	2.3662	2.0152	1.3556	6.4577	2.5357	0	0.72975	7.6867	0.73063	0.12719	1.2547	9.0527	0	1.4329	0.61219	3.6245	6.3994	0.23329	0.67322	9.318	6.9508	5.0823	2.535	6.5272	6.7479
RS_G8446__RCN3__RCN3	2.5656	5.646	0.1561	1.0231	6.0513	0.50087	6.6643	7.1184	4.6093	1.7805	6.5676	7.7882	4.1885	2.6545	3.5399	4.4844	5.4142	8.2599	2.497	2.3104	2.3304	0.46976	1.1202	1.2148	3.3418	4.6915	9.0074	0	5.2147	5.4759	0.54176	3.3249	2.4497	3.0716
RS_G9656__TEX9__TEX9	4.2374	1.2952	4.0477	4.067	2.5317	6.9286	2.6932	2.1361	2.019	3.7916	0.57729	2.784	2.0646	4.3718	3.5397	4.1276	3.9276	1.5805	2.2238	4.4367	3.1377	2.9177	5.2171	7.8711	3.2482	3.9164	1.006	0.63633	4.2606	3.1244	3.0016	3.9567	2.0313	3.575
RS_G5405__GLIPR2__GLIPR2	1.6539	7.0819	0.90362	2.8754	5.1543	2.2968	4.6416	4.6861	1.7021	0.87288	5.9912	1.4785	4.9724	4.2248	6.7986	6.3415	6.008	5.354	3.0034	5.421	4.1668	3.8964	3.8901	0.45074	8.0723	4.0647	4.7593	4.2732	2.4767	2.3158	2.7256	3.5392	3.6892	1.1076
RS_G10350__MMP14__MMP14	0.71728	1.4795	0.44191	0.89739	9.639	0.34999	7.3688	9.383	2.0141	1.802	2.0248	8.6885	7.6792	3.3228	1.116	8.0798	8.3525	9.2776	1.7563	0.41929	5.0547	8.3464	1.852	2.8725	9.9761	1.1442	13.1123	6.8229	1.9123	8.7879	1.6794	4.0109	0.92248	1.1125
RS_G2467__MMP9__MMP9	0.3352	4.7331	0	1.8897	7.2801	1.3299	2.8432	7.1538	0.43548	1.2458	3.165	1.5059	6.2936	0.93467	3.1581	0.63889	0.45168	0.35709	3.1157	2.482	1.5826	0	1.3653	0	3.4679	2.3144	0.54164	4.3212	0	5.3232	3.8646	1.7067	1.7646	2.9642
RS_G4465__FNDC4__FNDC4	2.0609	0.96004	3.9996	2.8072	4.2327	0	3.2685	4.1418	3.2899	1.4867	5.815	3.9698	3.0605	0.28662	4.4007	2.7242	1.864	5.8787	0.3037	0	3.3295	1.0742	3.3088	0	4.1372	1.589	5.801	1.1384	0	1.8508	0.60227	3.2523	4.2561	0.74175
RS_G922__CHI3L2__CHI3L2	3.2198	0.51024	0	0.56368	5.798	0.56836	0.66931	5.9387	0.46306	1.1011	8.7973	0	4.899	3.6758	5.7246	5.4771	8.3731	1.2346	0	0.16809	3.2906	0	0.15241	0	9.8113	1.528	1.3437	1.671	4.1672	1.328	3.3623	0.96833	1.5601	0
RS_G17946__SBSN__SBSN	1.9388	3.1448	0.52859	1.4897	2.4916	0.49703	2.2271	6.162	0.70795	2.5177	0.92766	0	4.1818	2.9815	2.7617	5.2222	2.5925	7.2725	0.48448	1.4125	5.2712	0	1.0301	0.79145	8.658	0	2.6291	2.7459	2.1709	5.4825	0.5273	1.5102	0.73069	0
RS_G10048__NCAM2__NCAM2	0.90591	0.059094	5.8956	5.5119	4.3315	7.6151	0.16098	0.37026	4.9363	5.8073	0.17185	2.3537	0.24293	0.091683	0.80572	0	0.22422	0.99046	5.91	4.3296	0.62114	0.23448	3.8161	5.5146	0	0.48347	0	0.25252	0.18146	0.1996	0	7.7429	2.5721	3.7889
RS_G1917__LEPREL1__LEPREL1	1.6812	1.213	1.016	0.15032	9.6328	0	8.6274	7.5555	0	0.20528	2.3881	6.6588	10.0755	7.8581	6.0855	6.9596	8.8539	6.6718	0	0.54021	4.5962	7.6461	0.14506	0	5.0402	1.8994	2.7188	5.8777	1.6577	6.3893	3.8936	2.3297	1.1214	2.3917
RS_G11693__AC010990.3__AC010990.3	1.7961	0.68784	0	0	0	0	1.0911	1.222	2.59	0	2.9069	1.745	3.1818	6.7489	0.13845	2.4197	7.4569	3.2872	0.36743	0	2.6547	0.63123	0	0	3.3869	0	2.4176	2.4682	1.5552	3.7252	0.27953	0	0	0
RS_G748__FOXC1__FOXC1	1.3467	0	0.44926	2.662	6.5029	0	5.6404	4.9248	2.525	1.692	6.4469	6.2567	3.7813	5.4285	5.0029	5.1006	7.1906	5.3363	3.7327	3.9298	6.1284	4.0817	1.8569	0.68469	7.9502	0	5.4878	4.8565	4.7414	6.0806	4.0297	4.116	3.9332	2.8678
RS_G1696__AKR1B1__AKR1B1	1.6658	3.0827	2.2074	1.2461	8.3908	0	0.9276	12.6493	0.66845	7.6641	9.1769	9.7921	10.7386	3.4039	10.1457	10.6783	12.3341	10.3571	0	1.8295	10.5974	10.1671	2.5479	1.3236	11.957	1.821	9.0595	11.5065	3.0981	11.4649	3.3056	0	0	4.7219
RS_G8167__HAPLN3__HAPLN3	0.97429	3.796	0	1.3925	4.9751	0	5.7826	5.9487	0	0.19085	3.582	2.0912	1.8122	2.3328	5.5488	1.5702	3.4771	5.8556	1.2117	0.3906	4.9555	4.7196	0.067181	0	7.3835	1.043	3.0194	6.4629	2.2116	2.8552	1.4751	0	3.0774	0
RS_G7676__MMP7__MMP7	0.47687	0.94026	0	0.42652	0.74274	0	11.7365	5.5087	0.45203	0	4.8989	1.9117	1.6535	4.5871	7.6055	7.0237	11.0385	0	0.2289	0.4265	6.6786	0	0	0	11.8133	0	0	7.3366	0	2.6851	0	2.303	4.0563	0
RS_G9080__IGFBP3__IGFBP3	6.2987	3.3656	2.9054	5.2494	11.5393	1.034	12.0229	11.5965	1.9904	0.38514	2.9917	8.8113	10.5079	11.6002	10.8788	9.9252	12.5244	9.3982	4.4452	6.8854	9.9608	6.9804	4.4091	8.3923	8.5003	0.25393	4.3852	7.1035	6.5264	7.3456	7.1766	0.7413	7.3833	2.4343
RS_G7618__TUBB2B__TUBB2B	0.6419	1.2852	2.7343	2.1775	4.6515	2.6451	5.2601	2.1866	2.6752	0.88256	2.2056	4.5164	2.3003	2.5969	0	4.9227	0.12196	4.3648	1.1441	9.0735	3.4978	0.24815	6.4618	1.07	3.7079	1.8673	5.1284	0.27039	3.4292	3.8959	2.2462	1.4548	3.7105	5.3435
RS_G15650__OXTR__OXTR	2.6453	2.4034	1.4046	5.5286	5.2587	3.3789	7.0907	3.0554	3.0154	3.3339	2.5851	2.3122	6.7918	1.8936	5.7407	2.9858	0.11011	5.3866	2.3399	3.0596	3.9592	0.87158	2.2215	1.958	4.4511	1.8969	2.2283	0.53598	2.6827	2.7785	1.9298	0.59396	4.8693	3.8192
RS_G17313__GPR103__GPR103	0.2541	0.19648	0	0	2.3885	0.31353	5.8962	5.3647	0	0.64283	7.2065	1.4331	0.4547	0.10611	0	3.9701	4.8501	0.24643	0.30443	0.32413	0.092657	0	0.15618	0.19049	5.8225	0	0.38243	6.3115	0.064452	0.47337	0.44342	0	0.28476	0
RS_G4624__GPX7__GPX7	0.58278	0	0	0	0	0	0	0.61279	0	0	3.9738	3.8643	4.113	0	0	5.5601	2.5917	4.9712	0	0	0	0	0.19675	0	0	0	2.9878	4.7546	0	4.2696	0	0	0.50597	2.0518
RS_G31733__RP5-857K21.8__RP5-857K21.8	5.0029	0.86394	5.9947	5.694	3.7407	4.9113	3.5112	11.4972	4.97	5.1034	4.4521	4.4169	3.9669	4.8796	4.9172	4.4921	5.0984	3.7983	4.4026	10.5417	1.8076	5.8063	2.8036	3.5856	3.7878	6.3863	0.75049	5.0293	2.0783	5.1652	4.3612	5.3959	1.8849	4.3343
RS_G10662__SPON2__SPON2	2.7812	6.1264	1.323	1.9091	9.9503	1.7098	1.7203	1.2119	0.29091	0.37481	4.2431	0.42609	1.4054	0	1.9704	1.2893	1.9114	4.3765	1.8656	1.3386	9.2918	0	2.7858	0.82777	6.4201	0	5.8784	7.0758	4.2263	5.7229	3.9687	2.5838	6.3939	1.0492
RS_G13359__HAS2__HAS2	0	0	0	0	6.2901	0	0.50167	7.8174	0.34679	2.7205	0	8.4229	1.3124	0	0	3.943	0.54231	8.0381	0	0	0	3.7323	0	0	5.7447	0	0	2.9735	0	1.4913	0.35491	0	0	0
RS_G10592__HOXB13__HOXB13	0.13852	0.41729	7.3933	4.8456	3.0727	0.090791	3.2697	0.58562	4.225	0	4.5096	4.0837	3.6472	0	0.82986	4.5798	0	2.4854	0.86504	0	4.3853	0	1.7184	0	4.5655	0	2.9856	0	5.5425	3.0351	5.4196	0	6.077	0
RS_G2589__MAP1LC3A__MAP1LC3A	5.4336	7.1958	6.0458	0.63413	8.0698	1.1698	0.95044	5.8552	1.1291	0.5447	9.0622	2.5355	1.2561	0.14229	2.4131	5.7958	3.7533	6.2558	0.28982	6.6626	2.6565	0.27231	1.1472	0.26588	2.9646	3.7384	7.5561	6.9562	0	6.105	5.1861	1.7702	8.0319	2.0084
RS_G15160__THBD__THBD	2.1121	3.0337	1.9883	4.929	0	3.8626	0	1.4846	0.37671	2.3226	0.27449	6.4554	0	0	0	0.1815	0.17079	1.0032	4.1804	6.4552	2.5167	4.9336	6.3586	6.7423	3.077	1.4443	7.6701	3.2897	3.8937	6.9106	0.26966	0.40369	3.3066	3.7341
RS_G1730__FAT2__FAT2	0.57568	0.94746	0.23243	0.48221	0.63808	0.41813	3.7065	0.74319	0.040265	0.48933	0.74388	6.505	4.6282	1.7543	1.5427	3.8253	3.4034	0.89191	0.27443	1.2493	2.9341	0.20058	0.2108	0.46883	5.4965	0.58878	0.59742	0.43138	0.021131	7.0238	0.94431	1.2235	0.23214	0.64995
RS_G12120__LARP6__LARP6	4.2188	1.299	3.6514	2.9647	6.568	0.41765	5.2848	8.1059	3.3645	1.9411	9.7435	4.7567	5.4148	3.8387	5.773	5.0126	6.7561	5.8904	2.9315	4.4766	4.378	6.7601	4.6908	0.67497	7.6855	0	8.9712	6.2283	6.3424	5.1701	5.3971	3.8833	5.3123	3.6215
RS_G13778__EFEMP2__EFEMP2	3.0368	3.7343	0.81802	2.088	8.8475	3.118	2.2097	3.9482	1.5864	2.5361	6.5803	2.2688	2.9904	1.7266	2.9066	5.1189	3.1477	9.4284	2.0559	0.49308	4.0266	0.87765	2.6978	3.2133	4.8099	3.4775	8.8083	6.8745	0	2.7641	2.1223	3.9946	1.3992	5.2468
RS_G10072__APCDD1__APCDD1	3.6283	0	3.4981	1.7279	5.1196	0.94106	8.1676	5.0126	4.698	4.311	0.49093	0.3134	4.4235	0.7662	5.3693	0.79178	4.2019	6.4553	1.278	2.5733	3.1425	0.77135	4.5634	0	1.0504	0	1.5594	0	3.3661	0	3.1684	0.75881	4.9168	3.3698
RS_G8103__FBLN5__FBLN5	2.4898	3.7031	3.3013	1.7502	4.6055	0.76715	0.54751	5.2391	2.3253	1.2888	2.8473	1.9258	3.8111	2.4345	2.4563	1.81	3.9975	6.5096	0.62774	0.88865	4.1303	2.6517	2.5515	1.5994	8.6354	4.668	0.70417	3.152	4.1943	0.82392	3.2984	5.1443	2.8958	4.031
RS_G8938__IQGAP2__IQGAP2	4.9364	3.2259	5.623	2.3392	0.13382	6.2903	2.0729	0.53615	0.58039	1.0363	0	0.40008	1.1611	4.0429	0.62697	0.53648	3.826	0	1.0825	2.2397	0	0	2.1637	4.2405	0.12995	4.3124	0	0.85454	1.4654	0	0	0	0.38642	4.3239
RS_G4751__ST6GALNAC5__ST6GALNAC5	1.3493	1.0504	1.3399	1.0143	5.9416	0.2507	6.665	1.5309	5.1082	0.17517	7.3934	0.37743	6.2258	5.5602	8.2988	7.1961	7.0426	1.3656	2.2612	3.6181	7.0606	5.7759	0	0	9.2757	0	0.75056	6.2159	0.6064	0.52553	0	0	1.0276	1.2189
RS_G18635__AL390294.19__AL390294.19	3.2266	0	0.25251	6.1877	0	2.0959	0.18879	0	1.4648	4.1179	0.62467	0.76578	0.95932	1.0309	0.61877	0.66985	2.2412	0.37138	6.5877	6.6266	1.0383	0.21678	5.6484	7.8851	0	1.0982	0.40247	3.0376	0.13339	0.49741	4.3264	8.3645	2.7329	3.6191
RS_G16369__FAM101B__FAM101B	2.9511	1.0265	1.5763	2.6268	9.3524	1.5603	6.5765	7.1081	2.1504	3.8254	6.532	4.3797	5.5651	3.7832	4.0257	6.4778	1.8729	8.5698	2.3843	1.8116	3.9783	0.79962	2.1654	1.441	6.3464	0.18891	6.972	2.6499	2.5583	4.7299	1.4567	2.4444	0.63941	3.7364
RS_G11512__MFI2__MFI2	4.3376	4.3429	1.2557	4.4132	3.628	2.9574	6.8524	3.5305	2.1402	3.1866	5.8231	4.626	7.4331	3.2695	6.2704	6.235	7.1904	3.2178	3.9668	5.1212	5.8679	6.0568	3.3973	2.8792	8.5881	3.1469	3.4065	6.6324	4.2985	6.8699	3.7922	4.9251	5.1397	4.8503
RS_G6975__LOXL2__LOXL2	1.5391	2.7296	1.2016	5.6888	11.6528	0.8968	6.3164	9.3974	1.5447	2.0715	6.3622	3.9725	6.3672	6.8128	8.6672	8.2651	5.7011	11.1125	3.625	0.83296	9.4404	8.9271	1.3338	2.0015	8.8622	1.078	8.2155	10.5325	5.5342	7.3102	1.0611	1.131	6.4413	3.8986
RS_G10636__AC140077.17__AC140077.17	6.4734	6.1038	3.6772	4.9298	6.3114	4.3628	5.7212	10.4706	2.8701	3.3701	10.9558	5.729	6.1452	6.4867	8.6229	7.1547	8.5327	8.2138	2.5573	6.7464	5.3674	4.1819	4.0261	2.353	10.1164	3.5703	2.1811	7.9831	3.5627	5.4752	4.4278	2.8825	1.3347	4.7804
RS_G12138__AP000926.6__AP000926.6	0.93522	1.4863	0.84409	1.9858	6.1205	0.2896	0.16521	7.2957	0	1.6327	2.942	5.6383	6.523	0.85542	1.2249	6.2727	2.4321	7.6418	0.72117	0.37787	3.864	2.4918	1.2955	0.72971	2.439	0	6.6793	5.9479	2.5442	4.3758	0	1.5434	3.8113	3.3381
RS_G33556__RP5-857K21.9__RP5-857K21.9	4.032	0.92814	5.6433	4.2869	3.7014	4.9239	4.8707	3.4496	3.9351	4.7063	4.5339	14.0208	2.8827	4.1915	13.6529	4.5228	3.7398	3.6656	4.0769	3.9917	3.9629	3.5909	3.1814	2.9104	2.2144	4.4962	2.2607	13.7178	1.6025	4.4127	4.1528	4.1353	2.4462	3.8284
RS_G11659__FOXQ1__FOXQ1	1.3317	0	0	0.32199	0	0	4.9799	0.24861	0	0	1.0826	8.1771	6.1798	2.8295	0	0.11238	5.7483	4.8724	0	0	4.1323	4.4486	0.59161	0	3.5659	0	0	4.3107	3.5072	6.8165	3.8679	0	0.47536	0
RS_G10495__KCNB1__KCNB1	1.009	1.6281	1.3342	0.69095	6.7484	0.95534	1.0196	5.9644	1.3974	0.64929	2.7909	0	4.5119	2.4749	3.1757	1.1316	0.29482	1.5145	1.4521	4.6198	3.3711	0	1.1101	0.45671	2.97	2.4428	0.46397	0.1431	3.7952	0.85425	4.7037	4.3103	1.4735	1.5389
RS_G10448__WDR66__WDR66	1.3746	0.18268	1.6086	4.0469	0.42893	1.7988	3.3738	0.59354	2.6649	1.5647	2.205	3.8871	1.7485	3.0163	3.1333	1.7256	1.0272	1.8378	3.0615	4.6684	1.9986	3.3445	1.963	2.4782	0.3649	0	1.2067	4.3116	0.84815	2.3185	1.8688	3.1701	2.5759	1.3732
RS_G7654__SYTL2__SYTL2	3.1117	0.55508	6.2717	6.9293	4.6446	4.3787	1.7257	3.0294	4.8414	5.7259	3.8285	0.45561	2.6069	7.3332	4.9358	2.1209	6.0929	1.5622	8.5593	5.7273	1.8735	3.9775	3.016	2.7933	2.52	1.7332	1.8466	2.4806	3.8628	1.5828	3.198	3.5101	3.9795	4.6369
RS_G477__SH2D2A__SH2D2A	0.94001	4.6893	0.32589	2.6798	0	0.29969	3.9685	1.0373	0	2.4134	6.2239	1.8472	3.8194	0.97591	2.5234	2.1292	3.9223	0.48031	0	0.1632	2.1868	0	3.6932	2.1948	3.755	0	1.9177	4.4467	2.5454	3.6017	0.81263	3.7963	2.6117	3.0212
RS_G7049__FST__FST	0.37356	1.2178	0	0.32105	8.0293	0.17319	7.5365	0.99188	0	0.42735	1.6952	9.288	7.5214	6.4096	5.0857	2.5122	0.29056	8.3569	0	0.71744	1.5923	8.5197	1.1726	0.93095	4.1524	0	1.1072	1.0014	1.8478	6.3474	1.9509	0.36358	2.0237	0.77804
RS_G14203__IL20RB__IL20RB	2.3285	2.3977	1.9633	2.6694	2.9313	3.6584	3.7298	3.6464	2.6596	2.0501	4.4568	7.3998	6.0774	2.1694	3.8537	4.2693	3.4924	3.1903	3.4285	1.2384	2.9665	2.316	2.3458	2.0891	2.8672	1.235	3.8664	6.4871	3.0164	8.9032	4.6157	2.8394	2.9918	2.5497
RS_G14674__FOXC2__FOXC2	0	0	0	0	0	0	5.0339	5.3056	0.44201	0.21381	3.25	5.8163	4.8008	0	2.4171	1.153	0	8.6324	0	0	0	0	0	0	7.2676	0	5.6112	3.0385	0	3.8454	0.5871	0	0	0
RS_G424__FHL1__FHL1	2.0586	0.14817	0	0.62912	8.4195	0	7.8581	7.6811	0	0.22544	5.2396	7.0935	5.4999	1.6533	8.1859	4.294	0.90187	10.0365	2.4039	0.32044	3.163	4.1986	1.521	0.52788	3.2163	0.9089	7.0593	5.007	3.6967	2.9989	7.6498	0	4.6859	0.6065
RS_G2947__CA2__CA2	2.326	1.607	3.8479	3.7463	0	6.1112	9.8755	7.8397	8.9	0.40209	6.167	2.2896	6.1392	0.89211	2.716	7.8988	6.5331	0	6.3826	7.1346	2.8174	4.6533	5.8083	4.2171	1.5661	0	1.1873	6.3905	2.665	8.6773	4.507	0	2.4798	6.8713
