Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM44PE	SUM52PE	T47D	UACC812
Meth__cg15207619__CAB39L	0.11648	0.11553	0.086556	0.19164	0.097733	0.89454	0.10434	0.50549	0.212	0.12068	0.22343	0.14286	0.23209	0.13687	0.087506	0.13798	0.26829	0.4984	0.11305	0.37511	0.13871	0.67146	0.61713	0.14076	0.22302	0.8242	0.15153	0.21458	0.14164	0.22754	0.78827	0.50824	0.11185	0.14209	0.16782	0.17593	0.30349	0.052664
Meth__cg05989054__GAMT	0.053622	0.096064	0.58049	0.094304	0.066947	0.938	0.092937	0.94733	0.97686	0.093064	0.056482	0.78996	0.8594	0.61074	0.036516	0.076389	0.71222	0.93312	0.26854	0.95589	0.19151	0.92898	0.89647	0.14617	0.079221	0.96371	0.061819	0.14797	0.13506	0.49665	0.60321	0.95532	0.84564	0.11721	0.099214	0.057638	0.1935	0.061422
Meth__cg26774312__CAV2	0.021488	0.22452	0.021596	0.34431	0.259	0.018965	0.14185	0.011841	0.010472	0.36743	0.023078	0.022347	0.034905	0.036884	0.20873	0.2897	0.016854	0.015186	0.03862	0.021988	0.023027	0.023475	0.077826	0.020207	0.035278	0.020226	0.14527	0.023021	0.059563	0.016149	0.022044	0.036405	0.021366	0.02518	0.92945	0.026863	0.27991	0.032106
Meth__cg04991214__PFDN2	0.41668	0.094997	0.16897	0.76353	0.23497	0.94325	0.054593	0.93205	0.43365	0.044805	0.087019	0.55952	0.88306	0.32682	0.1261	0.101	0.67905	0.95165	0.078295	0.93395	0.22655	0.94144	0.9228	0.11169	0.41733	0.96219	0.11834	0.31662	0.11401	0.38861	0.90557	0.93152	0.45882	0.035888	0.21545	0.24443	0.40544	0.9022
Meth__cg01888566__MEST	0.62762	0.017643	0.072891	0.3121	0.020258	0.98538	0.65902	0.98574	0.80943	0.51194	0.017237	0.98918	0.72074	0.40524	0.016306	0.45698	0.98138	0.021216	0.31079	0.64246	0.017339	0.98235	0.65529	0.021608	0.028137	0.97673	0.03247	0.016928	0.0317	0.98076	0.74062	0.036315	0.62497	0.0236	0.010261	0.98014	0.84321	0.018447
Meth__cg23799313__PAQR7	0.074643	0.03129	0.061469	0.090851	0.053866	0.443	0.043641	0.23716	0.32986	0.053151	0.053814	0.082471	0.083239	0.081552	0.047554	0.053106	0.11418	0.37085	0.12001	0.34088	0.090024	0.54268	0.6003	0.077852	0.058216	0.5076	0.066436	0.027253	0.074615	0.51678	0.12556	0.17658	0.060346	0.029076	0.06491	0.029388	0.22172	0.054137
Meth__cg05650171__PFDN2	0.14681	0.019972	0.051078	0.3404	0.044423	0.9392	0.035593	0.7236	0.069729	0.03538	0.03233	0.15523	0.74829	0.052499	0.039392	0.03396	0.18963	0.55892	0.024454	0.68593	0.061155	0.73958	0.87246	0.040694	0.081198	0.92438	0.12513	0.049065	0.036346	0.043486	0.81955	0.32812	0.11947	0.021285	0.04421	0.038284	0.056529	0.53056
Meth__cg26240939__LOC57149	0.092752	0.11019	0.49467	0.18301	0.11714	0.78985	0.1298	0.61767	0.45372	0.38478	0.10776	0.1484	0.53717	0.30401	0.10705	0.28685	0.7491	0.61561	0.41639	0.70733	0.08609	0.694	0.65211	0.13825	0.29624	0.74637	0.15576	0.40426	0.1511	0.69693	0.27541	0.64885	0.17173	0.099593	0.082503	0.10719	0.18919	0.12514
Meth__cg12108912__MGC10993	0.11655	0.095044	0.1241	0.1282	0.092884	0.86415	0.12486	0.73319	0.85873	0.59936	0.10685	0.66053	0.61235	0.296	0.28599	0.45161	0.85405	0.89793	0.28052	0.78285	0.083123	0.31159	0.79091	0.1338	0.20445	0.89836	0.17964	0.48701	0.12073	0.41155	0.84576	0.79788	0.32434	0.10826	0.10614	0.11566	0.18805	0.13804
Meth__cg11695266__DNAJB6	0.055403	0.034463	0.050894	0.070967	0.024664	0.95873	0.48346	0.27225	0.39676	0.024797	0.031776	0.040096	0.15056	0.19104	0.031145	0.038267	0.097386	0.029499	0.070565	0.21796	0.04115	0.072415	0.45877	0.47902	0.081395	0.76963	0.098832	0.30345	0.087978	0.11968	0.41882	0.077545	0.03252	0.033546	0.054745	0.51759	0.15714	0.055769
Meth__cg06156376__SHOX2	0.57908	0.061605	0.080222	0.077632	0.061844	0.057702	0.13508	0.055416	0.093209	0.087495	0.51007	0.11364	0.10494	0.90514	0.9816	0.53468	0.04842	0.061687	0.14892	0.04346	0.55697	0.079182	0.068982	0.073516	0.58904	0.0461	0.94429	0.060436	0.090818	0.052372	0.070688	0.071768	0.06046	0.55868	0.96804	0.56319	0.81131	0.54545
Meth__cg16221059__PLS3	0.056314	0.039921	0.04572	0.046808	0.058762	0.033043	0.078294	0.017151	0.042657	0.042063	0.077511	0.037135	0.019971	0.099745	0.71989	0.052313	0.048394	0.1212	0.07502	0.024477	0.88016	0.10365	0.049249	0.043355	0.21578	0.036903	0.2512	0.037767	0.073839	0.048688	0.034555	0.041643	0.050444	0.037923	0.56379	0.26528	0.042883	0.4384
Meth__cg24326142__CSF1	0.066463	0.84886	0.92286	0.72702	0.89482	0.051728	0.5669	0.085398	0.2406	0.098183	0.88856	0.064521	0.079725	0.2783	0.52627	0.14535	0.38078	0.040124	0.17625	0.074724	0.53916	0.067052	0.11958	0.11275	0.10326	0.069712	0.64692	0.091883	0.55175	0.055472	0.049043	0.085661	0.71504	0.17372	0.17037	0.92237	0.094158	0.6451
Meth__cg21974766__NBLA04196	0.017838	0.016033	0.034708	0.012181	0.017434	0.42253	0.013997	0.71486	0.45506	0.02135	0.019188	0.017168	0.04442	0.054119	0.011315	0.019413	0.029045	0.028446	0.048346	0.026239	0.01427	0.035293	0.51548	0.027604	0.019706	0.071959	0.052013	0.027142	0.038869	0.019493	0.084212	0.10607	0.039031	0.016776	0.013723	0.018064	0.054153	0.022551
Meth__cg15164103__MEST	0.10477	0.061122	0.079719	0.10935	0.067746	0.83768	0.32679	0.35517	0.77847	0.089425	0.070967	0.7729	0.22371	0.18813	0.048666	0.080125	0.48316	0.093475	0.086716	0.73864	0.075672	0.80676	0.39966	0.082264	0.074784	0.85933	0.13324	0.07129	0.084048	0.85847	0.074231	0.16068	0.24663	0.062201	0.084859	0.4498	0.49294	0.075451
Meth__cg09059945__MEST	0.95127	0.038861	0.081911	0.17879	0.042301	0.93668	0.48827	0.94488	0.58986	0.36752	0.047879	0.95195	0.48067	0.50349	0.028839	0.27301	0.93373	0.038409	0.88687	0.36397	0.045128	0.81744	0.51158	0.05598	0.10589	0.78681	0.1557	0.051685	0.050842	0.61818	0.94111	0.069753	0.49838	0.045268	0.045227	0.9252	0.8491	0.066809
Meth__cg04504095__FOXC1	0.082977	0.072987	0.093016	0.0747	0.08761	0.062198	0.36718	0.026005	0.031878	0.065016	0.098862	0.076941	0.01757	0.14191	0.21544	0.070081	0.019663	0.041055	0.076421	0.019913	0.10628	0.033033	0.10693	0.11903	0.12863	0.035874	0.20085	0.054537	0.13765	0.02552	0.018537	0.020172	0.032413	0.11818	0.049811	0.086212	0.11467	0.081816
Meth__cg07499072__FST	0.57022	0.51072	0.41828	0.47527	0.13749	0.049124	0.7538	0.03009	0.042225	0.051983	0.39647	0.59998	0.089083	0.093037	0.10597	0.063842	0.053862	0.12486	0.085899	0.073934	0.82915	0.049879	0.059233	0.062082	0.075564	0.052425	0.66973	0.32059	0.38456	0.052701	0.064111	0.39906	0.17394	0.037757	0.82243	0.70046	0.44777	0.26777
Meth__cg09637363__CCND1	0.080986	0.063358	0.1952	0.15303	0.076728	0.87259	0.085539	0.90452	0.68227	0.11849	0.13425	0.57933	0.88598	0.45041	0.12935	0.15756	0.66137	0.33031	0.14023	0.31323	0.15962	0.86545	0.21876	0.1339	0.1809	0.74027	0.12074	0.83975	0.11749	0.85268	0.84357	0.76051	0.071066	0.065378	0.083033	0.087831	0.28873	0.33639
Meth__cg23614979__NAV2	0.066831	0.06306	0.11979	0.29357	0.11625	0.040339	0.59223	0.038781	0.048904	0.058711	0.87385	0.14444	0.042601	0.30526	0.4261	0.19056	0.041782	0.060536	0.09563	0.040008	0.41345	0.069758	0.067404	0.14085	0.084446	0.04974	0.2202	0.13573	0.11451	0.040182	0.034518	0.045818	0.038146	0.041711	0.50449	0.028196	0.096068	0.057895
Meth__cg13823791__COPS3	0.088655	0.45039	0.89417	0.88538	0.51744	0.035465	0.81779	0.21508	0.04062	0.14811	0.13096	0.11242	0.28823	0.83249	0.56823	0.30793	0.071488	0.13062	0.78328	0.05271	0.13629	0.075215	0.117	0.54413	0.69709	0.08532	0.40903	0.82586	0.24454	0.047844	0.066546	0.13369	0.14317	0.51968	0.77692	0.60939	0.6345	0.12003
Meth__cg17640322__CD44	0.17372	0.0592	0.075679	0.74846	0.66786	0.02842	0.92873	0.070006	0.025702	0.81822	0.030614	0.054167	0.054109	0.07409	0.087889	0.76461	0.034487	0.033653	0.15704	0.026495	0.072382	0.026218	0.060674	0.068662	0.044966	0.022321	0.90068	0.02573	0.073894	0.023398	0.023424	0.040841	0.97624	0.1792	0.044926	0.93003	0.044884	0.050706
Meth__cg07028869__FLJ13236	0.12184	0.098944	0.1408	0.17888	0.074349	0.71136	0.13488	0.77019	0.22773	0.24572	0.14291	0.77206	0.4351	0.78038	0.11378	0.20019	0.52963	0.12443	0.17249	0.24395	0.15134	0.9122	0.11961	0.24211	0.14812	0.84944	0.16437	0.29144	0.14011	0.50142	0.92463	0.12854	0.30264	0.1082	0.10729	0.32012	0.14384	0.11582
Meth__cg01795122__EMP3	0.56532	0.56387	0.91658	0.84134	0.17067	0.021983	0.88119	0.014154	0.037107	0.060973	0.79146	0.9192	0.39332	0.89016	0.55078	0.31491	0.57514	0.022753	0.24216	0.017227	0.89459	0.025554	0.050387	0.87359	0.10945	0.018453	0.93524	0.68616	0.49253	0.034537	0.022414	0.028657	0.44071	0.24885	0.95098	0.93105	0.073258	0.54698
Meth__cg23868119__PTPLA	0.046305	0.059472	0.061869	0.18332	0.10485	0.04765	0.047238	0.032878	0.033037	0.050827	0.17769	0.051021	0.045966	0.59566	0.33919	0.077203	0.057257	0.042416	0.1022	0.040281	0.046529	0.05468	0.075002	0.046751	0.11325	0.04588	0.25837	0.061086	0.12651	0.048849	0.046639	0.047924	0.047915	0.046563	0.64296	0.62054	0.080958	0.048269
Meth__cg01103730__IL20	0.12576	0.10194	0.2703	0.19263	0.0315	0.37226	0.07774	0.81553	0.88403	0.06848	0.085032	0.66099	0.64629	0.50825	0.08987	0.068174	0.7226	0.9032	0.16592	0.47137	0.26578	0.70012	0.87106	0.09967	0.35096	0.90622	0.070491	0.43424	0.16741	0.89772	0.47189	0.86232	0.85847	0.070507	0.23986	0.87165	0.3104	0.18308
Meth__cg24751129__GNMT	0.043883	0.032461	0.0557	0.03855	0.043119	0.97311	0.060176	0.94309	0.64365	0.036655	0.054782	0.94092	0.59977	0.44173	0.029946	0.048643	0.23701	0.9499	0.097011	0.95368	0.084266	0.96769	0.93344	0.046872	0.061993	0.97499	0.13716	0.07903	0.104	0.89644	0.32309	0.96014	0.17536	0.034706	0.039968	0.10769	0.099678	0.046854
Meth__cg26928603__KIRREL	0.054586	0.071856	0.30383	0.19453	0.14746	0.052993	0.5801	0.036736	0.060305	0.099008	0.044389	0.046111	0.08446	0.095577	0.083932	0.15471	0.048749	0.038263	0.10267	0.045351	0.93355	0.044644	0.04339	0.084486	0.078901	0.073462	0.71657	0.040308	0.11375	0.071468	0.071216	0.07284	0.1531	0.11221	0.60552	0.59711	0.047936	0.047793
Meth__cg13496736__OVOL1	0.10847	0.095285	0.11774	0.11128	0.039861	0.96726	0.081658	0.97713	0.10965	0.031532	0.053561	0.2139	0.31223	0.10866	0.016024	0.041202	0.83519	0.30538	0.11567	0.67063	0.11069	0.97239	0.8639	0.082814	0.049196	0.95462	0.08762	0.069711	0.092716	0.18602	0.11522	0.62323	0.025162	0.028514	0.024035	0.027825	0.11706	0.03852
Meth__cg26320696__PARVA	0.045123	0.045545	0.06651	0.058436	0.21509	0.094598	0.13378	0.020873	0.05585	0.057892	0.076424	0.098856	0.046501	0.11485	0.19498	0.04316	0.042573	0.043187	0.080539	0.033349	0.41893	0.04359	0.055866	0.044526	0.067879	0.035571	0.11977	0.042105	0.058355	0.032857	0.027294	0.26751	0.21816	0.043754	0.32302	0.062335	0.074991	0.040244
Meth__cg14951292__HMOX2	0.076695	0.050266	0.82708	0.60329	0.034155	0.6606	0.040776	0.70182	0.207	0.072583	0.096613	0.043425	0.91105	0.63914	0.26354	0.070819	0.35668	0.70137	0.31101	0.836	0.08564	0.66715	0.81729	0.78936	0.27735	0.82432	0.076686	0.58426	0.047243	0.29313	0.52981	0.11927	0.59146	0.68052	0.56485	0.068838	0.072353	0.033655
Meth__cg07849904__MN1	0.11474	0.16014	0.17153	0.20315	0.22837	0.072058	0.20299	0.057198	0.11854	0.068817	0.14889	0.22686	0.045074	0.16876	0.12669	0.104	0.093405	0.079578	0.16016	0.068605	0.20656	0.11802	0.54005	0.094433	0.14148	0.062361	0.15875	0.091155	0.096903	0.075348	0.079152	0.066674	0.061412	0.069138	0.52021	0.11822	0.10294	0.082399
Meth__cg01781266__PARVA	0.077895	0.094048	0.20401	0.20812	0.4065	0.25141	0.33465	0.066885	0.11097	0.23913	0.23587	0.16792	0.1	0.26754	0.37799	0.26328	0.063008	0.062257	0.14061	0.081342	0.40464	0.084187	0.12751	0.11779	0.15885	0.075739	0.169	0.11634	0.16406	0.033299	0.049022	0.43241	0.40568	0.057316	0.77737	0.20553	0.071646	0.06243
Meth__cg13364756__CYP3A43	0.12757	0.097206	0.29339	0.091689	0.074797	0.5311	0.077266	0.79517	0.8769	0.41225	0.11451	0.82936	0.57974	0.2244	0.051109	0.30985	0.75644	0.86855	0.20715	0.10381	0.069488	0.33434	0.56504	0.10577	0.13151	0.87763	0.18144	0.20385	0.19843	0.86696	0.49968	0.16554	0.56541	0.072591	0.10009	0.25519	0.19342	0.11212
Meth__cg02497758__MAFB	0.16919	0.053579	0.5967	0.047388	0.03218	0.83965	0.059214	0.92553	0.10725	0.10396	0.04432	0.77766	0.06293	0.12066	0.027787	0.042712	0.53016	0.091848	0.074752	0.37544	0.095504	0.40497	0.87696	0.041478	0.075934	0.87347	0.11371	0.089132	0.10408	0.26313	0.076376	0.35566	0.10185	0.026899	0.028857	0.040469	0.11393	0.049511
Meth__cg18940763__XBP1	0.13157	0.052794	0.87897	0.056186	0.076043	0.90885	0.063407	0.81361	0.15593	0.87794	0.69764	0.82554	0.52122	0.3135	0.097321	0.66187	0.76701	0.72727	0.37237	0.94224	0.17721	0.87435	0.85519	0.06836	0.058527	0.88928	0.052699	0.86877	0.12742	0.93401	0.89917	0.85607	0.20646	0.05078	0.074363	0.055116	0.16645	0.071862
Meth__cg26831415__EFHA2	0.95279	0.035889	0.95199	0.9649	0.02927	0.024531	0.9594	0.036966	0.035559	0.5797	0.036742	0.054854	0.065959	0.54088	0.28313	0.56758	0.034476	0.051866	0.14235	0.024772	0.76736	0.035667	0.039973	0.11471	0.071332	0.03022	0.91688	0.12213	0.072047	0.038069	0.032897	0.046137	0.53392	0.037606	0.94739	0.96193	0.069995	0.95675
Meth__cg17469978__CAV1	0.073565	0.12553	0.052519	0.565	0.4382	0.037877	0.50598	0.051535	0.03487	0.080347	0.056812	0.10298	0.040635	0.10294	0.1363	0.080225	0.76619	0.044752	0.15253	0.032265	0.064479	0.027848	0.095389	0.078602	0.24441	0.038223	0.87349	0.048117	0.27916	0.040379	0.02989	0.044724	0.89534	0.062565	0.88405	0.87243	0.097035	0.10157
Meth__cg01599709__HBEGF	0.29577	0.61804	0.11533	0.96103	0.92748	0.04194	0.78573	0.047039	0.30018	0.047499	0.91637	0.066651	0.24879	0.90121	0.052096	0.23196	0.07229	0.049297	0.11704	0.040864	0.93201	0.17806	0.058901	0.10289	0.096518	0.047942	0.91059	0.0747	0.50592	0.041271	0.039621	0.048337	0.87123	0.094189	0.94109	0.91973	0.095479	0.45584
Meth__cg16899442__C16orf25	0.082495	0.1244	0.3466	0.095671	0.055504	0.66883	0.10853	0.54034	0.49231	0.043255	0.12109	0.47081	0.81566	0.59193	0.44886	0.057555	0.48048	0.31335	0.20298	0.5165	0.15521	0.77176	0.4214	0.20077	0.079649	0.57888	0.14596	0.34112	0.14462	0.16291	0.1658	0.46916	0.25611	0.070856	0.17999	0.25579	0.12196	0.088903
Meth__cg02913089__PDE8A	0.23057	0.043466	0.10258	0.85759	0.20879	0.031453	0.38754	0.038771	0.85011	0.4078	0.44356	0.077795	0.058214	0.26275	0.22268	0.34916	0.034146	0.036529	0.091077	0.026553	0.052969	0.053453	0.089324	0.1563	0.10706	0.041494	0.88758	0.038485	0.060715	0.091287	0.026941	0.30845	0.04286	0.035009	0.30953	0.1504	0.052473	0.059146
Meth__cg02148642__RGPD5	0.047038	0.052133	0.36705	0.074948	0.04214	0.4156	0.049399	0.63904	0.93915	0.074606	0.057009	0.46876	0.83769	0.14478	0.031388	0.057361	0.62842	0.91727	0.1211	0.039891	0.045611	0.79238	0.094608	0.062094	0.063778	0.56564	0.15407	0.47197	0.051945	0.41524	0.4516	0.058225	0.058815	0.027872	0.064388	0.049631	0.21311	0.03454
Meth__cg22126032__CAV1	0.16969	0.23341	0.54247	0.43861	0.12195	0.25452	0.45274	0.034643	0.22195	0.27673	0.056577	0.5995	0.052032	0.17576	0.093501	0.33684	0.14278	0.052832	0.28262	0.055502	0.44571	0.14219	0.21516	0.076556	0.30018	0.074972	0.87754	0.076512	0.16701	0.047689	0.050044	0.34731	0.15172	0.17741	0.56502	0.9038	0.86703	0.05968
Meth__cg24855780__TNKS1BP1	0.031848	0.020648	0.41856	0.035134	0.026584	0.95329	0.036243	0.42551	0.077938	0.028992	0.037675	0.75482	0.76241	0.084576	0.03274	0.048765	0.065861	0.11046	0.11259	0.055394	0.071582	0.59691	0.8805	0.042191	0.033642	0.75379	0.067038	0.25297	0.052741	0.56105	0.45686	0.64323	0.041517	0.031375	0.034372	0.0313	0.12976	0.029889
Meth__cg02659086__GSTP1	0.052051	0.95436	0.80753	0.97224	0.13778	0.036788	0.96629	0.023431	0.047196	0.037653	0.90226	0.052811	0.9677	0.94578	0.83981	0.51563	0.042404	0.039288	0.63693	0.029406	0.85325	0.057216	0.33856	0.96443	0.093507	0.041751	0.94974	0.66348	0.85545	0.029615	0.031028	0.036318	0.042977	0.41521	0.97472	0.97222	0.11642	0.72314
Meth__cg06071083__SLC12A4	0.04084	0.039895	0.063592	0.29418	0.065095	0.029434	0.47459	0.037379	0.050396	0.027879	0.042738	0.04694	0.035931	0.055816	0.045701	0.04389	0.032262	0.068591	0.061526	0.022293	0.46124	0.039149	0.066589	0.043282	0.074287	0.03847	0.10657	0.040226	0.050756	0.033651	0.021805	0.034251	0.031213	0.021559	0.043193	0.82787	0.071167	0.038698
Meth__cg04543012__TFCP2	0.055556	0.55941	0.082686	0.066756	0.5058	0.044228	0.66306	0.025777	0.049007	0.049809	0.82217	0.069782	0.039964	0.79522	0.46995	0.29501	0.042294	0.041877	0.097796	0.041207	0.84444	0.060277	0.069326	0.22594	0.080071	0.044362	0.089238	0.056465	0.18701	0.043906	0.047447	0.051229	0.35903	0.04341	0.55754	0.045533	0.2268	0.048305
Meth__cg20070077__GADD45G	0.050047	0.058704	0.04248	0.043245	0.033135	0.94254	0.051551	0.56225	0.074353	0.054223	0.033434	0.049035	0.037748	0.072132	0.015991	0.025447	0.62843	0.066822	0.11897	0.28323	0.050543	0.10586	0.51212	0.038018	0.043409	0.048588	0.07106	0.037105	0.058737	0.42171	0.21749	0.10498	0.046127	0.023758	0.027386	0.01816	0.15608	0.027308
Meth__cg04893119__PI15	0.77355	0.075998	0.14405	0.56548	0.096756	0.49656	0.14649	0.33557	0.63203	0.33988	0.40414	0.093759	0.26595	0.216	0.13487	0.2891	0.44961	0.72807	0.20727	0.25308	0.2787	0.45765	0.58963	0.12713	0.24729	0.17126	0.10439	0.18422	0.078378	0.50927	0.64908	0.14451	0.73663	0.091483	0.25257	0.058219	0.10187	0.087666
Meth__cg02490034__MEST	0.91046	0.020071	0.41802	0.36808	0.1682	0.94264	0.61667	0.81957	0.41917	0.59036	0.050876	0.96047	0.35486	0.88477	0.015312	0.46239	0.95376	0.044961	0.91548	0.75198	0.041906	0.94508	0.45716	0.076163	0.20426	0.94897	0.088871	0.33249	0.033684	0.96191	0.95949	0.50715	0.74798	0.025973	0.046804	0.94739	0.90226	0.4295
Meth__cg23303782__GRK5	0.050515	0.059057	0.093973	0.064213	0.065475	0.041561	0.086919	0.029168	0.046134	0.04305	0.05201	0.064051	0.06196	0.17762	0.10108	0.052912	0.041374	0.038739	0.069946	0.039315	0.052857	0.051149	0.060179	0.053762	0.12388	0.038722	0.36012	0.045806	0.071559	0.069387	0.046007	0.054953	0.051236	0.042418	0.060212	0.2537	0.071945	0.050132
Meth__cg25473396__MPG	0.22116	0.38866	0.61936	0.617	0.43326	0.70085	0.40837	0.027057	0.031927	0.5742	0.5083	0.16368	0.17392	0.32445	0.93672	0.51468	0.11679	0.050247	0.10385	0.015296	0.33065	0.034695	0.032377	0.65229	0.27277	0.084081	0.79813	0.051238	0.43867	0.022141	0.016362	0.014739	0.089029	0.063592	0.45113	0.17705	0.1831	0.71466
Meth__cg23764381__ATRNL1	0.075427	0.059864	0.69014	0.10302	0.070024	0.046102	0.17119	0.14963	0.026617	0.060032	0.056818	0.091758	0.097052	0.69785	0.076281	0.070703	0.049353	0.061475	0.10672	0.07703	0.1517	0.057527	0.079447	0.052224	0.067647	0.027442	0.86282	0.058296	0.080066	0.045908	0.055814	0.09196	0.041462	0.061213	0.4844	0.48883	0.22558	0.053999
Meth__cg07705835__IL17RC	0.027339	0.047608	0.035663	0.032915	0.034379	0.6562	0.030887	0.19231	0.040031	0.024437	0.026348	0.041265	0.072575	0.072148	0.022034	0.030319	0.083566	0.048208	0.050113	0.13874	0.13869	0.43548	0.088575	0.039288	0.030527	0.71741	0.051338	0.036727	0.075232	0.046941	0.053291	0.45694	0.054836	0.03514	0.019601	0.024896	0.06156	0.057762
Meth__cg14833385__HLA-DMA	0.055157	0.032845	0.081138	0.75122	0.44865	0.74249	0.091769	0.51621	0.54357	0.089969	0.13254	0.23746	0.17671	0.095985	0.040729	0.086136	0.50161	0.76054	0.20608	0.14073	0.07306	0.18531	0.38829	0.16749	0.099474	0.87489	0.072768	0.1697	0.10644	0.43999	0.3504	0.12477	0.22328	0.032711	0.13884	0.15158	0.087402	0.052176
Meth__cg02611282__CREB5	0.30175	0.060912	0.21147	0.18208	0.1126	0.28222	0.1517	0.65461	0.58887	0.094218	0.099298	0.19469	0.3658	0.45172	0.04998	0.087266	0.18079	0.45498	0.087625	0.13833	0.10819	0.15055	0.55852	0.15179	0.18905	0.50242	0.16646	0.11896	0.12054	0.26409	0.18589	0.14164	0.62849	0.082959	0.54598	0.25208	0.28244	0.15096
