Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__LOC553158	-0.003	-0.092	-0.161	-0.475	-0.154	0.018	0.287	0.306	-0.012	-0.391	0.092	-0.114	-0.193	-0.279	0.111	0.432	-4.011	0.16	-0.404	-0.52	-3.547	-0.223	0.314	-0.216	-0.182	-0.152	0.51	0.075	0.009	-0.327	-2.757	-0.431	-0.368
RS_G13794__SLFN11__SLFN11	0.90388	3.9958	0.21697	4.8183	6.7477	0.052023	4.7006	0.22325	0	0	0.17932	5.2052	0.85204	1.2043	0	7.3164	0.13555	0.11312	0.1012	0	1.3692	4.19	1.0505	5.0278	0.1846	0.1044	2.0677	0.81293	6.0743	6.0277	4.5582	3.2933	0
RS_G11297__AC017048.6__AC017048.6	2.5528	0	0.793	5.4763	0	4.546	2.2023	0	5.1544	4.018	5.1196	4.2404	0.6038	2.0777	0	0	1.8202	5.6593	4.7482	2.4931	7.776	3.7739	0	2.5884	5.7413	1.2249	0	3.6146	4.8248	2.2602	4.0825	1.9459	3.7537
RS_G19397__L1CAM__L1CAM	5.0302	6.9187	1.3538	7.716	0.69507	5.9379	7.576	4.0551	1.4333	4.2916	7.5056	2.0386	4.8733	5.8085	7.6995	6.3652	0	5.7132	9.4903	6.7579	4.142	3.0137	0.26696	6.4653	1.738	10.535	5.6684	8.13	7.9265	4.4721	9.8766	5.0006	0.9737
RS_G6259__MMP28__MMP28	0	0	0	1.6614	0	0	0	3.1625	0.41036	0.39913	0	3.4994	6.8926	1.2407	0.21236	0.10499	3.6345	0.4363	0	0.62521	0	1.1152	0.35892	0	0	3.2915	2.044	8.2419	0	2.4898	2.5609	0.82317	0.15459
RS_G12288__SCNN1G__SCNN1G	0	4.2825	0	4.9145	0	6.1694	5.6465	0.51299	0	4.2032	0.1358	0.4365	1.994	3.6997	2.0358	0	1.0232	0	4.0991	1.07	0	0.17844	0.26289	1.7543	0.49282	0.92144	1.1277	8.2633	6.8146	0.91373	4.3481	3.0802	0.48344
SNP__LOC391322	-0.028	-0.113	-0.163	-0.475	-0.154	0.018	0.396	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-2.299	0.06	0.314	-0.226	-1.972	-0.148	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
RS_G12786__IL7R__IL7R	0	0.251	0	0.50142	6.5911	0.28503	6.1027	3.2925	0	0	0.65531	4.9125	6.2297	5.4595	4.9738	6.5351	0.25223	5.1619	0	0	5.4855	0.070492	0.82882	0	0	3.6661	0	2.0069	0	0	0	0	0
RS_G8285__BCAS3__BCAS3	6.4726	4.4517	6.8924	6.1476	4.0251	6.3685	4.015	4.6223	5.6088	6.772	5.5922	2.9098	4.2115	4.3633	4.9093	5.4684	4.7074	4.5601	10.9962	10.392	5.389	5.4788	5.8148	3.9992	6.0761	3.7147	6.6211	5.2731	7.1972	6.4245	6.286	5.6277	5.6589
SNP__GSTT1	-0.028	-0.113	-0.163	-0.475	-0.154	0.018	0.396	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-2.299	0.06	0.314	-0.226	-1.972	-0.148	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
SNP__LOC653399	-0.028	-0.113	-0.163	-0.475	-0.154	0.018	0.396	0.567	-0.012	-2.171	-1.751	-2.458	-1.393	0.585	0.204	0.225	-2.156	-0.38	-0.404	-0.171	-2.299	0.06	0.314	-0.226	-1.972	-0.148	0.187	-0.163	-2.165	-1.872	-0.316	0.377	0.08
RS_G13164__FABP6__FABP6	2.3614	5.0613	0	1.2049	0	0	0	1.3002	6.2218	0.68448	0	5.6808	4.4541	2.3389	0.74174	0	0	1.7984	3.477	3.3971	3.6119	0.39506	1.3707	1.4427	0	0.53013	3.8371	0	6.9112	4.9649	4.3056	0.70066	0
RS_G21773__GPRIN2__GPRIN2	4.0001	8.3744	0	1.3437	0	0	5.3082	0	0	0	0.23152	4.3886	5.4473	3.7981	5.982	5.0614	3.6002	0.40095	0.65392	0	0	0.065818	0	7.0097	0	6.2273	3.7935	4.7073	0.27671	4.0222	0.54066	0	0.18814
RS_G1599__KCNK2__KCNK2	1.0389	0.62798	0	5.2556	5.8207	0	2.2276	6.1906	0.15029	3.4816	1.01	1.3134	2.1757	4.0574	1.2762	2.0309	0	6.6978	0	3.5015	0.9363	4.4893	4.8645	0.74341	0	3.8843	1.4099	0.85665	0	7.8925	0.095964	5.6046	2.9884
RS_G15650__OXTR__OXTR	2.6453	2.4034	1.4046	5.5286	5.2587	3.3789	7.0907	3.0554	3.0154	3.3339	2.5851	2.3122	6.7918	1.8936	5.7407	2.9858	0.11011	5.3866	1.6268	2.3399	0.87158	2.2215	1.958	1.8969	2.2283	0.53598	2.6827	2.7785	1.9298	0.59396	4.8693	3.8192	4.1112
RS_G12538__KLK5__KLK5	6.1288	4.2346	0	4.9387	0.87783	0.32442	9.7741	0.50368	0	0	1.7287	9.0743	12.8418	11.5097	10.0348	1.7585	4.9998	0.87841	1.9651	0	0	1.6783	2.1958	0	0.54237	1.3136	14.2018	7.7474	10.6798	0	5.3638	4.337	0
RS_G8454__PADI3__PADI3	0.46584	6.8211	0.54552	2.2372	0.43485	0.3183	0	1.8696	4.2999	1.9093	0	5.754	5.4543	9.8003	2.9407	1.0326	0.40476	0.42128	6.6389	2.5696	0.35983	0.59354	0.41031	4.097	0.41693	0.315	0	4.6738	6.8956	7.7006	4.0201	2.2637	0.52515
RS_G7555__CTSL2__CTSL2	6.6635	6.2586	5.6688	5.1485	6.7847	5.8017	11.2857	5.654	7.0295	4.9705	6.5726	7.1559	7.1125	7.6576	7.9326	7.0231	7.0512	0.64634	5.9428	6.6346	3.8935	4.8953	3.6966	5.8886	3.3803	4.4155	6.5763	7.4402	5.8106	7.3226	5.8826	7.0084	6.0221
RS_G8516__GJA5__GJA5	5.1528	7.3724	0.25609	0.30595	0.75881	0	2.1537	1.8724	0	1.103	0.51023	0.46303	6.1047	3.0129	9.1154	0	1.4256	0.41661	0	0	0	0	0	7.402	0	4.5966	2.5251	1.2018	6.2637	2.113	0.1099	0.3266	0
RS_G2464__PLTP__PLTP	0.11482	10.0545	0.75517	1.2357	10.9319	1.1199	0.90633	4.5863	1.0814	0	0.24629	9.5327	6.1663	0.4738	0	7.9012	8.082	6.5859	4.17	1.6206	3.1098	0.52736	0	7.9049	3.0229	6.1828	3.6044	10.4891	2.8626	3.5352	0.76102	0	0
RS_G26921__DIO2__DIO2	0	5.413	1.0247	0.66823	1.9321	0.30803	0.91034	2.4857	0.46269	0.21916	0	0.95514	3.3564	5.9604	3.0532	5.3403	2.3952	1.5161	0	1.3381	0.90948	0.96921	0	5.1246	0.28482	5.3911	0	0.80293	2.4289	0	0.34973	0.32589	1.8325
RS_G17185__KRT10__KRT10	5.9492	5.2209	5.8283	7.371	5.8476	5.9456	4.4498	5.5632	5.1588	3.8022	5.252	5.0225	4.9118	5.9015	6.2218	6.2536	5.6795	5.1414	4.6376	5.4135	6.0369	3.6436	3.5636	7.0161	4.5832	5.4914	6.0834	6.391	6.5887	6.7935	4.6743	5.3914	4.6275
RS_G14071__HOXB2__HOXB2	0	1.4939	0.61128	3.8831	6.8712	2.1445	0	0.49328	8.0832	0.41649	0.51773	5.0166	1.9303	6.6224	0	4.6361	7.1941	3.1744	0.43886	1.9508	0	5.126	7.0143	0	1.9493	0	5.5557	5.4183	7.3697	8.5803	7.6631	1.4454	1.5406
RS_G5137__PCDHB8__PCDHB8	4.1245	0	0.40791	0.19959	1.1122	0.29489	0	4.7627	1.7502	1.5596	0.8932	0	4.7931	0.92476	0.75205	1.2825	3.5918	3.0537	5.0151	3.7676	0.57331	2.9026	0.48847	0	4.5919	0	2.5263	0.94975	0.21773	6.7331	0.99402	0.27829	1.5526
RS_G6275__KLK8__KLK8	0.33827	2.1437	0	4.4067	0	0	6.9642	0	0	0	0	6.7567	8.6102	9.0065	4.5337	0	2.8049	0.24842	1.3141	0	0	0.38986	0	0	0.69648	0.74274	7.5473	9.9341	7.1862	4.1111	7.1867	5.4714	0.31492
RS_G9080__IGFBP3__IGFBP3	6.2987	3.3656	2.9054	5.2494	11.5393	1.034	12.0229	11.5965	1.9904	0.38514	2.9917	8.8113	10.5079	11.6002	10.8788	9.9252	12.5244	9.3982	3.8586	4.4452	6.9804	4.4091	8.3923	0.25393	4.3852	7.1035	6.5264	7.3456	7.1766	0.7413	7.3833	2.4343	0.70512
RS_G14203__IL20RB__IL20RB	2.3285	2.3977	1.9633	2.6694	2.9313	3.6584	3.7298	3.6464	2.6596	2.0501	4.4568	7.3998	6.0774	2.1694	3.8537	4.2693	3.4924	3.1903	2.3034	3.4285	2.316	2.3458	2.0891	1.235	3.8664	6.4871	3.0164	8.9032	4.6157	2.8394	2.9918	2.5497	2.8662
SNP__ESR1	0.006	0.125	-0.415	-0.507	-0.091	-0.558	0.167	0.04	0.076	0.336	-0.062	-0.139	-0.56	-0.084	-0.42	-4.299	-0.261	-0.076	0.251	0.236	-0.118	0.237	-0.704	0.044	0.161	-0.195	-0.001	-0.147	0.226	-0.325	0.062	-0.454	0.015
RS_G16526__ALDH1A3__ALDH1A3	6.9869	6.6244	3.4412	2.4634	1.2073	2.8938	11.2405	5.3582	10.9346	1.4376	5.1885	8.2874	10.8421	12.6084	10.846	3.2546	8.3779	5.4292	5.6338	1.6124	4.3207	2.1737	1.7792	7.9504	1.5677	6.6021	7.6667	9.1305	3.6909	6.7618	5.3565	5.1568	3.5552
RS_G7127__TCN1__TCN1	3.0187	0.28564	12.4902	0.57705	0	0	2.1014	0.35529	0.33689	0.22798	0.15109	3.8921	1.106	7.5608	0.46196	0	10.507	0.18873	0.56437	0	2.6547	9.5381	0	0	0	4.6244	1.8932	0.47354	0	0	0.98567	4.0451	0.92242
RS_G7932__FBN2__FBN2	0.019862	0.045061	0.57831	1.1596	1.946	1.6834	5.1368	4.5745	0.054308	0.22874	1.2318	3.0649	0.29171	1.1022	5.0247	7.6781	0.089204	5.8631	0.18858	0.47837	0.45439	2.9296	1.8496	0	0.99648	1.3781	0.61224	3.0375	0	0.11434	0.25183	0.49504	0.20828
RS_G386__CNTN1__CNTN1	5.1297	4.4821	4.0003	1.6827	0.2822	2.6966	1.4143	0.16983	5.5541	0.38665	0	5.2014	7.4095	5.7192	3.524	0.40369	0	0	0	0	1.6466	1.0276	0	1.9387	0	4.7842	2.2935	2.9306	3.7199	0.17292	1.5049	4.0685	1.9316
RS_G8983__ODZ2__ODZ2	0.46196	0.21261	4.1691	1.3937	9.125	1.6831	0.51807	1.6057	1.8836	1.7042	0.025184	1.9378	4.7939	0.52982	2.6967	1.4508	0.84724	4.5337	0.10886	0.056207	0.89421	3.1193	0.47793	0.449	0	4.3607	1.9389	1.3205	0	5.1209	0.92925	3.252	0.48681
RS_G178__GAS7__GAS7	0.23393	0.79868	3.7512	0.60208	0.060325	0.26435	0.4579	0.89591	1.6052	0.58061	7.4591	0.81088	3.7882	3.5067	2.8269	0.42668	0.02884	0.46526	0.091648	0.1238	0.059891	0.18529	0.057997	0.53052	0.11579	0.34439	5.4391	0.43877	3.5497	2.8263	4.9676	0.13361	0.17756
RS_G13159__ADRA1B__ADRA1B	0.18329	1.0437	0	0.11811	0	0.23221	3.1228	2.5203	0.44765	0	0.38564	2.2667	0.17378	3.1453	4.6405	1.2095	0.38458	4.1574	0.32467	0.6723	4.5454	0.30935	0	1.7875	7.9508	2.9802	2.2674	6.7332	1.8183	1.1225	0.92045	1.1506	0
RS_G17307__KRT14__KRT14	0.24717	1.1678	1.781	1.2666	2.595	1.5424	12.9384	11.6802	1.0895	3.3626	2.6226	13.5674	10.8786	2.5079	9.1398	0	7.7913	12.0549	2.3875	0.29759	0.91201	0.29051	5.7017	0.54968	0	7.0103	6.5301	4.5846	0.71452	0.85755	1.1256	0.41714	0.5899
RS_G7729__STRA6__STRA6	3.1212	4.9445	0.43073	2.7663	2.5699	0.6656	0.51212	3.5324	0.27027	0	0.29404	0.59667	4.9074	6.5711	5.3369	5.7205	8.8652	2.6414	1.7416	1.1844	0.44146	1.3397	0	4.7034	0.16212	7.6926	0	7.8942	2.7278	0.73423	3.3866	0	0.24733
RS_G2058__PTGS1__PTGS1	1.2823	5.5913	0.41366	0.89833	0.19889	0.15627	0.3255	0.42546	1.1935	0.50646	0	3.0479	5.1685	2.3629	0	0.59629	4.5669	2.8314	3.7334	1.0897	0	0.14514	0.49771	5.6939	0	6.3472	1.0494	7.7469	0.65876	0.72306	0	0.28281	0.28682
RS_G1747__HSD17B14__HSD17B14	0.80069	2.6145	2.0302	0.39194	3.0802	2.2657	5.2018	3.9632	6.251	3.7079	4.6267	0	0.98208	0.52223	3.6258	0.6824	1.8059	1.8705	3.493	5.0835	2.8906	3.6222	0.64863	3.4875	8.6585	0.96313	0.61375	0.79893	1.0138	1.174	3.4219	2.4532	1.8878
RS_G2407__GALNTL1__GALNTL1	2.7185	1.4373	3.4989	3.4628	4.2839	5.3036	1.4688	1.4409	1.9837	2.218	0.43896	0.71371	1.6141	0.38746	2.6977	1.8837	3.2399	4.0921	5.064	2.5198	1.3157	3.6006	0.31102	1.5418	5.9632	0.8547	2.6105	0.50251	0	1.8633	1.7732	2.517	1.8036
RS_G6057__KLF2__KLF2	7.0712	4.5412	4.9505	3.4118	4.4313	5.021	5.2861	3.118	6.8299	3.001	4.6378	3.0863	2.088	2.9896	2.4648	2.6959	1.347	6.3571	2.8253	2.7692	5.4435	6.1329	8.2977	4.7633	8.5158	3.058	2.0692	2.6175	3.1933	2.2051	3.7626	5.6861	9.0721
SNP__SMAD4	0.013	-0.541	0.086	-0.128	-0.147	-0.178	-0.444	2.935	-0.47	-0.437	-0.426	-0.773	-1.002	-0.497	-0.454	-0.443	-0.217	-0.028	-0.461	-0.556	-0.525	-0.405	-0.031	-0.56	0.211	-0.147	-0.629	-0.367	-0.793	-0.615	-0.284	0.239	0.234
RS_G14073__MARCH3__MARCH3	2.7745	3.2569	2.3112	3.8079	7.2639	3.9127	3.3371	3.5078	4.7162	3.7624	3.8529	2.2062	4.095	4.8337	3.733	3.2795	3.1876	5.5727	4.1582	4.2518	5.8431	2.9157	3.9047	3.2788	3.641	1.93	5.5269	5.393	3.9215	5.5492	4.9057	4.0362	3.6738
SNP__POU6F2	0.01	0.649	0.468	0.372	-2.998	0.082	-0.437	0.098	0.154	0.256	-0.078	-0.094	0.092	0.559	-0.399	-0.026	0.566	0.253	0.141	-0.291	0.104	0.17	-0.085	0.578	0.431	-0.201	-1.934	-2.616	0.126	0.315	0.335	0.558	0.36
RS_G1762__MMP2__MMP2	0.4728	0.51784	0.16333	0.14627	1.1858	0.21659	6.7222	10.4729	0.2313	0.53378	1.1497	4.3334	3.1849	4.7367	0.74091	5.5154	4.458	10.0294	0.50701	0	0	0.47804	0.67254	0.71178	8.0913	6.8538	1.7789	5.4073	1.6774	0	3.3427	0.5521	0
RS_G15100__GLDC__GLDC	0.26029	7.2337	0.40726	4.2944	3.4418	1.2426	4.4118	2.22	0.14607	4.7534	2.0712	1.7273	4.4029	3.9346	6.0442	2.116	0.61603	1.9099	2.7527	2.1304	0.45811	0.48042	0	7.546	3.6024	1.4389	0	0.89962	7.1951	4.7089	7.464	4.8515	3.1124
RS_G13225__KRT75__KRT75	0.1001	0.48837	0.13704	2.6322	0	0.24517	5.1256	5.5198	0	0	2.0876	2.7652	3.4922	6.9589	8.326	0	2.9312	1.6538	1.0494	0	0	0	0	1.8503	2.1211	0.93863	2.1169	3.1433	0.25517	0.87163	3.2242	0	0
RS_G7676__MMP7__MMP7	0.47687	0.94026	0	0.42652	0.74274	0	11.7365	5.5087	0.45203	0	4.8989	1.9117	1.6535	4.5871	7.6055	7.0237	11.0385	0	0.22602	0.2289	0	0	0	0	0	7.3366	0	2.6851	0	2.303	4.0563	0	0
RS_G7727__DUOX1__DUOX1	1.4964	0.31093	0.28904	2.2162	0.41212	1.2062	4.1596	0.88339	0.32501	0.12922	0.62883	4.2651	4.978	0.98382	0.63747	1.434	2.8116	0.46676	0.18092	0.6225	0.53163	0.71698	1.3439	0	0.70113	2.5207	2.265	4.6581	0.56659	1.1404	0.87157	1.2028	0.87454
RS_G1730__FAT2__FAT2	0.57568	0.94746	0.23243	0.48221	0.63808	0.41813	3.7065	0.74319	0.040265	0.48933	0.74388	6.505	4.6282	1.7543	1.5427	3.8253	3.4034	0.89191	0.30019	0.27443	0.20058	0.2108	0.46883	0.58878	0.59742	0.43138	0.021131	7.0238	0.94431	1.2235	0.23214	0.64995	0.5655
SNP__LOC645280	-0.014	-0.082	-0.134	0.64	-0.12	0.05	-2.895	-0.288	-0.012	-0.384	0.122	-0.092	0.026	0.799	0.217	0.746	-4.462	0.157	-0.404	-0.139	-0.122	0.062	0.328	-0.202	0.226	-0.148	0.227	0.174	-0.31	-0.302	0.343	-4.17	-3.988
SNP__RHD	-2.45	-0.136	-0.234	-0.44	0.218	-0.163	-0.081	0.122	-0.12	0.025	-0.354	-0.116	-1.366	-0.931	-2.619	0.132	-2.179	0.23	-0.407	0.288	-1.752	0.344	0.387	0.262	0.226	0.206	0.057	0.245	0.482	-0.299	0.165	-2.045	-1.621
