Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
RS_G10720__TFF1__TFF1	9.5716	6.8461	12.1442	15.3072	0	8.1211	1.5719	0	12.8985	14.5477	1.9333	1.5228	4.0155	4.0294	8.0643	0	0	0	3.3081	14.9851	14.3712	8.4157	10.5333	4.5944	14.5594	6.0558	0	3.1878	1.9663	2.5271	2.6641	2.5734	1.4334	3.9827	11.9576	13.9006
RS_G11896__SLITRK5__SLITRK5	4.4036	3.1192	0.25167	0.55999	7.5383	0.33996	2.6478	1.5099	3.2337	0.23193	0.20843	2.0435	1.4606	1.2422	5.1145	4.0805	3.7712	0.38943	3.1632	0	0.89617	0	1.3578	3.81	0.33673	0.21086	0	3.1578	2.9616	3.3742	0.06974	0.56419	0.60653	3.5177	4.3354	5.212
RS_G15082__CALML5__CALML5	11.7504	5.995	7.7426	8.9148	0	1.712	8.0382	0.59303	6.3786	3.1741	1.3594	9.9227	7.5464	1.881	12.2335	4.7952	0	8.3003	0	8.8111	7.1102	0	8.2905	0	12.1395	12.0061	11.2517	2.3509	1.4107	5.5412	12.4513	4.9212	4.2737	1.4794	5.0572	5.5081
RS_G4197__TBX18__TBX18	0	2.9032	0	0	6.7911	0	0	2.4184	0	0	5.9388	5.1825	0	5.7711	0	5.3067	0	4.4794	0	0	0	0	0.32925	0	0	0	4.5783	1.4806	6.5899	5.9947	0	4.2898	0	0	0	0
RS_G4856__MUC5B__MUC5B	5.381	6.3991	4.9033	7.2056	0	5.3345	6.1164	0.65399	1.8113	5.2883	6.5749	0.35429	2.0415	0.42452	4.7976	0.20737	0.10243	0.47117	1.1133	5.5399	4.5554	5.2356	5.2064	3.5201	7.1076	2.7576	8.4507	0.22595	0.60314	1.5779	1.4391	1.351	0.050499	0.13512	4.8458	6.9805
RS_G7167__ADAM19__ADAM19	5.0712	6.9435	0.69705	2.9636	7.4741	0.38305	6.6385	5.3497	0.17265	0.22092	1.5558	4.4122	1.7055	5.2338	0.1606	4.4636	5.8058	3.8545	7.6783	1.6872	0.69548	3.9726	2.9015	6.0789	0.040708	0.28145	2.3256	4.8527	5.6307	2.7338	4.0595	6.556	3.2612	2.3468	3.1471	2.3855
RS_G15100__GLDC__GLDC	0.26029	7.2337	0.40726	4.2944	3.4418	1.2426	4.4118	2.22	0.14607	4.7534	2.0712	1.7273	4.4029	3.9346	1.8675	6.0442	2.116	0.61603	1.9099	2.7527	2.1304	4.7021	3.7115	0.45811	0.48042	0	5.2427	7.546	3.6024	1.4389	0	0.89962	7.1951	4.7089	4.8515	3.1124
RS_G14507__AL133445.4__AL133445.4	3.9862	4.92	6.1168	4.9254	0	3.5289	0.34141	0	2.9907	0.73593	0	0.82434	2.311	0	0.95206	0	0.69544	1.8332	0.44594	2.7258	3.3483	6.6989	2.2186	0	2.881	3.5843	0	2.2355	0	0.72157	2.7742	0.58825	0.76526	5.1359	2.6906	0
RS_G3172__GRIN2D__GRIN2D	1.2815	7.681	0.11453	0.68008	6.2801	0.3443	5.0838	1.1036	1.736	0.83669	0.90964	7.0748	2.9299	1.246	1.8482	4.2991	1.361	3.6096	2.9072	3.4213	3.0676	2.3793	3.8963	1.1365	0.84688	0.18568	6.2513	7.0486	4.253	3.6892	1.2689	8.309	7.4344	1.1701	2.5652	2.0206
RS_G9369__ADAM12__ADAM12	0.37678	0.38403	0.24804	0.42494	8.3315	0.049067	5.2786	9.4472	0.32772	0.19292	0	3.2172	3.5568	1.5722	0.34247	5.4117	9.4437	3.6546	8.4025	0.09372	0.095561	2.8231	0.14991	1.2518	0.04683	0	4.3271	0	8.5985	2.6669	0	2.3223	0	0.767	0.25878	0.42998
RS_G13924__C11orf86__C11orf86	1.453	9.9466	0	0.50858	1.1966	0	0	0	0	0	3.5889	0	0	1.786	2.1623	4.2136	0	0	0	0	0	0	7.1704	1.6118	0	0	4.3916	4.8992	0.88539	7.3083	0	3.5987	5.714	0	0	0
RS_G5646__GRM4__GRM4	0.81828	1.6233	5.3137	5.3777	0.12411	2.9855	0.46837	0.073293	5.0969	1.9481	0	0.4501	1.5171	0.11836	0.4476	0.80914	0.2347	0	0.74278	5.7261	4.5054	7.6049	3.9981	0.17551	7.8293	7.587	2.4921	0	0.42228	1.1434	1.1869	0.84531	1.4889	1.309	2.3629	0.4131
RS_G2995__SLC39A14__SLC39A14	6.5459	5.6769	5.6594	5.6152	8.7657	6.1716	7.0063	7.7195	6.3535	6.2607	9.1892	7.0224	6.7042	5.8478	5.3048	7.8421	8.046	5.0282	8.6902	5.9951	5.871	5.7726	6.4523	7.8138	5.2543	5.461	9.0738	6.3889	11.4705	6.4913	4.5856	7.4146	6.5071	6.5466	6.9246	7.2669
RS_G10476__CLSTN2__CLSTN2	5.8455	0.55251	6.1216	6.7817	1.1877	8.6981	5.6714	2.6739	4.8612	6.8926	0	0	2.5088	1.3812	0	5.16	5.5442	0	2.1758	1.5753	6.5852	9.3094	3.9052	0	4.6367	6.445	4.5019	0.59842	0.72	0.84752	2.8968	0	1.6132	4.7589	4.8856	0.39654
RS_G10718__TFF3__TFF3	9.803	7.179	11.1887	12.8489	0	6.3298	0.97441	0.986	13.1896	11.0513	1.8337	0	0.53575	1.7682	9.6535	2.2698	0	0	1.8517	9.9781	8.776	7.7139	12.8413	5.8853	12.3423	6.3096	0	5.0467	0	0	6.5283	0	0.69196	8.9041	12.4151	11.5272
RS_G5128__C6orf97__C6orf97	3.1578	0	5.1411	4.0963	0	4.1221	0	0.32115	5.2392	6.3162	4.2969	0.082714	0.15617	0.095144	0.097138	0	0	0.33528	0.36194	6.6388	6.3693	5.8502	0.5478	0.048768	4.0578	0.26259	2.5829	0	0.26705	0	0	0.29656	0	4.7903	5.6965	4.9746
RS_G10072__APCDD1__APCDD1	3.6283	0	3.4981	1.7279	5.1196	0.94106	8.1676	5.0126	4.698	4.311	0.49093	0.3134	4.4235	0.7662	0	5.3693	0.79178	4.2019	6.4553	4.2763	1.278	2.5733	3.1425	0.77135	4.5634	0	1.0504	0	1.5594	0	3.3661	0	3.1684	0.75881	3.3698	2.6144
RS_G5919__SLURP1__SLURP1	1.6964	3.5263	0.83884	1.8081	0	0.79327	0.67817	0	6.8835	1.3081	0	0	3.6621	0.41528	6.3316	0	0	2.1742	0	4.2731	2.746	0	5.2151	0	2.0254	0.72351	1.335	0	0	0.79023	4.85	0	2.5992	3.9811	2.0289	1.0161
RS_G16693__ZBTB7C__ZBTB7C	4.9082	2.1996	7.6395	5.8051	0	0.99374	5.0083	4.4477	6.063	5.4933	0	0	2.3605	3.7543	1.3337	0.27205	0.62879	6.1524	1.113	1.7838	0.14048	5.198	5.4074	0.36556	7.5242	8.3673	0.28509	3.3857	2.6545	2.9881	7.4648	1.5913	1.2642	2.1151	5.5484	2.8967
RS_G5632__POF1B__POF1B	3.5829	2.9715	6.5667	4.6059	0	3.611	1.8493	0	5.1177	8.4924	0.11745	1.93	0.5287	1.2403	3.8408	0.74799	0.9373	5.002	0	2.5362	5.5091	2.4432	0.41607	0	4.135	0.95867	0.55468	2.3599	0	0	4.4269	1.5172	1.4106	1.9519	5.3682	2.3153
RS_G3436__AMBP__AMBP	5.5216	4.1249	2.8804	5.6693	0	4.4106	0.30004	0.55576	3.6561	3.1994	0.31932	0.72738	0	0.32997	1.6721	0	0.34272	0	1.0688	2.9627	1.5467	6.1453	3.7678	0	9.687	5.2492	1.5675	0	0	0	3.1016	0	3.3531	0	3.6158	2.5328
RS_G14619__GJC3__GJC3	5.1109	1.8959	1.5143	3.8425	0.41479	2.0959	4.3671	0.96981	5.4889	2.1872	4.8849	1.0688	1.8684	4.541	3.5155	2.8968	0.86946	6.1687	2.0321	1.4189	1.6812	2.2311	2.9997	0.56527	4.4185	4.9652	4.0407	0	0	2.9844	3.916	1.0534	4.0553	3.7645	3.6653	3.406
RS_G3861__SCGB2A2__SCGB2A2	13.9607	7.2469	8.4444	3.1721	0	5.1291	2.0737	4.905	7.1077	7.7127	0	0	0.67662	0	0	0	0	0.75343	0	1.9939	2.7482	1.1297	9.2795	0	12.9283	1.2589	1.064	9.6874	0	0	16.6899	0	11.1134	0	14.5809	5.6558
RS_G7308__CAPN9__CAPN9	6.4438	3.1332	3.5347	3.5598	0	1.0939	0.31269	0.32114	6.6264	0.27084	0.18039	0	0.54781	0.42803	2.2606	0	0	0.48368	0.58627	2.7745	2.9198	2.5747	3.4162	0	6.9213	2.4802	0	2.4484	0	0	3.2866	0	2.8086	4.4383	5.3116	6.7046
RS_G14500__LRRN1__LRRN1	3.9334	0	7.2765	4.8669	8.4806	6.9925	0.41799	0.84531	0.76506	5.0522	0.23961	0	2.8126	1.741	6.5901	0	0.31549	0.89135	0.2284	2.8027	1.1056	6.3581	3.3755	0.64811	2.9294	5.0914	2.8801	0	0	0	1.1915	0.21281	0	1.3224	2.4091	1.6057
RS_G3540__NEURL__NEURL	3.6573	1.604	3.2167	5.0826	0.12804	3.0672	0.56345	0.076146	1.6913	4.6273	1.1639	5.7313	6.2309	0.38961	0.35474	3.8044	0.50272	3.7048	3.6771	4.3433	2.5675	5.907	3.7849	0.48852	0.94156	2.459	0.49333	0.2406	0.43683	0.82688	0.54611	0.53848	3.1075	1.336	3.9368	4.0827
RS_G26921__DIO2__DIO2	0	5.413	1.0247	0.66823	1.9321	0.30803	0.91034	2.4857	0.46269	0.21916	0	0.95514	3.3564	5.9604	1.52	3.0532	5.3403	2.3952	1.5161	0	1.3381	1.6989	5.4614	0.90948	0.96921	0	0	5.1246	0.28482	5.3911	0	0.80293	2.4289	0	0.32589	1.8325
RS_G13159__ADRA1B__ADRA1B	0.18329	1.0437	0	0.11811	0	0.23221	3.1228	2.5203	0.44765	0	0.38564	2.2667	0.17378	3.1453	0	4.6405	1.2095	0.38458	4.1574	0.32467	0.6723	0.52594	3.0163	4.5454	0.30935	0	1.8242	1.7875	7.9508	2.9802	2.2674	6.7332	1.8183	1.1225	1.1506	0
RS_G10048__NCAM2__NCAM2	0.90591	0.059094	5.8956	5.5119	4.3315	7.6151	0.16098	0.37026	4.9363	5.8073	0.17185	2.3537	0.24293	0.091683	1.1394	0.80572	0	0.22422	0.99046	4.4702	5.91	4.3296	0.62114	0.23448	3.8161	5.5146	0	0.48347	0	0.25252	0.18146	0.1996	0	7.7429	3.7889	2.5183
RS_G10920__ITGA5__ITGA5	4.1991	5.5787	1.8799	6.3514	6.6272	0.30001	4.6947	7.953	5.2777	2.5252	7.8276	7.3246	5.4091	6.3575	2.6269	6.6635	8.0876	7.691	10.758	5.5302	4.2158	4.198	5.6305	6.9234	5.1389	2.9675	7.4337	4.6841	7.707	6.7365	6.0906	9.7669	6.3055	5.2446	5.4798	6.7465
RS_G11780__GPR30__GPR30	0.78743	1.3949	2.9158	1.7559	0.30558	3.7144	2.5551	2.5452	3.2315	2.6799	0.62738	1.4092	3.8532	1.1675	3.2541	2.4931	4.3017	5.6098	2.3456	7.1539	6.6849	3.3657	3.7092	3.9508	5.808	0.53026	1.202	2.787	1.2363	2.5352	4.338	2.3624	0.73872	1.7272	1.2609	2.1461
RS_G10216__C8orf38__C8orf38	5.1491	2.3135	7.2087	6.021	6.0859	6.1608	5.772	5.2176	9.8137	6.1035	5.9847	4.9133	6.629	6.0311	6.1521	5.9104	5.835	6.3356	6.2182	4.299	6.6008	5.9155	3.8127	5.874	4.967	4.503	5.1939	4.5255	4.0145	4.2857	5.8105	4.629	4.5804	5.8105	4.6899	5.1276
RS_G3155__CEACAM5__CEACAM5	7.7277	3.0865	5.2121	4.8633	0.070684	0.77155	0.33646	0.23729	6.8653	2.8689	0.19396	1.5222	1.9951	3.6506	2.6469	0.67372	0.38368	1.983	0.44479	4.5313	5.7591	1.2814	6.2762	0.25678	6.8029	0.24994	1.5637	1.7276	0	0	5.413	0.66264	3.5968	3.7252	4.8808	6.2929
RS_G9937__PID1__PID1	3.531	3.4933	0.99515	2.4397	2.7231	0	3.8103	7.2734	3.7721	1.9968	4.77	1.9694	1.4947	1.1073	0.17537	5.107	5.6305	3.47	5.7238	0.46569	1.2408	3.3321	0.79121	3.9905	0	0	4.7638	4.4948	5.1605	9.1818	2.9212	4.2784	5.3652	0.53315	2.6993	1.5765
RS_G10801__S100A1__S100A1	12.2539	5.1734	4.3125	8.846	2.2497	10.0502	6.8321	2.8645	9.8429	7.3739	5.4273	1.8777	3.0618	1.939	10.6979	5.2693	4.0757	5.6141	3.2969	6.1014	4.2464	4.4537	9.6898	2.9113	5.8621	4.0999	11.4276	5.1531	5.5304	2.123	2.0455	4.343	5.0315	5.96	3.8626	2.5385
RS_G9735__HSPB8__HSPB8	6.9159	4.2737	4.1342	10.9436	0	8.9073	0	1.7163	1.5084	9.6107	1.9996	6.399	5.2617	2.9086	1.7138	1.1226	0.24708	4.8246	5.9738	9.5457	6.7034	7.7081	5.9709	1.8549	8.6261	0	1.1486	0	0	1.2387	7.9368	4.4231	8.4206	6.3513	8.9851	4.3188
RS_G17030__AL391099.12__AL391099.12	0.79472	0	0.34856	3.2495	7.0864	0.12082	0.50749	2.7995	0.34788	1.7984	0.38468	6.4598	0.47817	0.21289	0.22544	3.135	7.1336	0.29773	4.0806	0	0.59638	0.61194	0	5.5472	0.11398	0.92648	6.6016	0	5.2696	1.9796	0	2.6767	0	3.4413	0.16657	3.3942
RS_G1470__BPIL1__BPIL1	9.0019	2.3379	6.5411	4.0732	0.67379	1.6678	0	0	5.0973	0.35871	0.2413	0	0.21207	2.5818	3.5613	0	0	0.62709	0.42834	0.26293	0.58624	0.70384	1.2384	0	4.738	4.0067	0	2.2751	0	0	7.9807	0	10.7986	0.76241	1.2949	0.37323
RS_G9893__GPR115__GPR115	0.88809	0.93221	1.9514	1.7075	0	0.94757	2.6098	0	1.0104	3.4159	0	4.497	5.1172	6.1597	2.3917	2.4067	0.15086	6.748	1.3793	2.005	3.5805	0.4324	2.3162	0	0.8928	0.49825	0.4892	0.19789	0	0.65625	2.9011	4.9229	2.3835	0	1.4797	0
