Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR7530
Meth__cg03575468__PDHA1	0.11653	0.030362	0.078096	0.04951	0.059748	0.038872	0.058698	0.059639	0.052316	0.075446	0.05333	0.089867	0.19478	0.050312	0.06487	0.050061	0.071515	0.11172	0.14271	0.059448	0.062565	0.3589	0.071162	0.32683	0.25024	0.28383	0.2052	0.30049	0.097738	0.3232	0.12585	0.056562	0.043777	0.13733	0.28469	0.40363
Meth__cg02361557__NTNG1	0.46897	0.22155	0.52706	0.90882	0.84558	0.58124	0.89033	0.67346	0.044703	0.054693	0.84442	0.090751	0.88493	0.24839	0.040178	0.89243	0.031067	0.13873	0.39992	0.85734	0.77663	0.50103	0.44501	0.063899	0.85525	0.037459	0.11551	0.62507	0.060696	0.034484	0.041016	0.40879	0.89741	0.080764	0.17354	0.092302
Meth__cg21833459__FAM111B	0.068737	0.064384	0.087228	0.073418	0.048749	0.34174	0.071936	0.11656	0.073145	0.083711	0.076929	0.19121	0.1288	0.043737	0.066919	0.070444	0.0415	0.16269	0.039984	0.089126	0.056969	0.1024	0.10194	0.11553	0.06858	0.38348	0.058789	0.10081	0.1459	0.057481	0.098398	0.05424	0.056195	0.22848	0.072327	0.16071
Meth__cg20760063__NBR2	0.02991	0.040135	0.046351	0.04408	0.027739	0.031775	0.031638	0.15412	0.062328	0.029729	0.031779	0.040271	0.074215	0.024504	0.044099	0.021509	0.77645	0.042268	0.03659	0.025368	0.039389	0.54798	0.029643	0.025639	0.049554	0.034897	0.033648	0.082559	0.095791	0.033032	0.43406	0.050288	0.036174	0.045088	0.060172	0.087853
Meth__cg03418289__LIX1L	0.029811	0.054919	0.58597	0.030215	0.018992	0.023716	0.03224	0.032932	0.018386	0.0238	0.027127	0.037341	0.051895	0.018047	0.018998	0.023601	0.023229	0.041453	0.013354	0.019119	0.028191	0.05696	0.029577	0.021518	0.06503	0.029268	0.037126	0.083959	0.060966	0.034169	0.021646	0.023929	0.021823	0.073112	0.029554	0.064829
Meth__cg13771629__EBP	0.5214	0.20468	0.062139	0.03563	0.19666	0.4511	0.044692	0.03991	0.50455	0.56537	0.039784	0.43011	0.25414	0.31567	0.41344	0.39531	0.048872	0.1835	0.88562	0.0309	0.043012	0.44069	0.51193	0.41876	0.52445	0.44144	0.38254	0.29829	0.42744	0.72191	0.45137	0.038455	0.038891	0.067743	0.44348	0.42702
Meth__cg19410841__NKAP	0.46515	0.044852	0.050691	0.054322	0.31844	0.04348	0.064924	0.34964	0.54869	0.047334	0.053301	0.12015	0.079932	0.045393	0.4729	0.27866	0.48458	0.11704	0.039815	0.043149	0.042003	0.50578	0.048142	0.46254	0.078546	0.061918	0.32644	0.3929	0.081878	0.50533	0.48076	0.040336	0.17151	0.15562	0.54824	0.51666
Meth__cg00888479__SLC24A3	0.047905	0.6701	0.46106	0.052238	0.027847	0.84312	0.064337	0.22164	0.032915	0.030045	0.2036	0.22225	0.31529	0.028527	0.05308	0.49204	0.44991	0.098598	0.027935	0.36284	0.053936	0.057049	0.53114	0.67015	0.83616	0.065135	0.060514	0.090071	0.48088	0.042361	0.24269	0.035333	0.022385	0.064297	0.03751	0.2098
Meth__cg03611555__SLC25A21	0.015152	0.0090717	0.017161	0.018296	0.0126	0.041224	0.014609	0.020857	0.016494	0.014004	0.01466	0.018255	0.022616	0.010691	0.012462	0.013784	0.010985	0.027841	0.013393	0.0091895	0.015906	0.066525	0.019334	0.012516	0.040885	0.014977	0.019161	0.023027	0.025263	0.016724	0.015064	0.011721	0.014016	0.023214	0.014776	0.03854
Meth__cg08980578__KCNK6	0.052421	0.0447	0.3556	0.29239	0.035123	0.67341	0.051334	0.96312	0.070294	0.041792	0.04981	0.82971	0.13202	0.20894	0.067288	0.31506	0.30451	0.069226	0.055813	0.043379	0.04993	0.053259	0.4554	0.14447	0.64351	0.38255	0.045137	0.52792	0.071906	0.04988	0.056481	0.093217	0.11978	0.14196	0.067559	0.14042
Meth__cg18670235__PLOD3	0.052345	0.031885	0.16468	0.083765	0.038528	0.064725	0.045634	0.040262	0.047295	0.044239	0.034077	0.19461	0.086432	0.030153	0.04865	0.043415	0.0608	0.14152	0.028716	0.032145	0.039039	0.063253	0.051241	0.086873	0.20213	0.090803	0.073005	0.14813	0.083656	0.037495	0.056673	0.053978	0.046679	0.14475	0.046986	0.084981
Meth__cg22628926__SLC25A11	0.080688	0.10282	0.12379	0.06718	0.08491	0.085355	0.12055	0.84072	0.11878	0.13782	0.064491	0.31442	0.12625	0.050122	0.11184	0.15622	0.062045	0.088505	0.070493	0.083417	0.059064	0.11534	0.67921	0.14928	0.25576	0.15365	0.06037	0.19348	0.07145	0.055172	0.13736	0.092344	0.056765	0.1243	0.35127	0.41845
Meth__cg04005701__SMYD4	0.030466	0.021386	0.032282	0.03297	0.042415	0.12369	0.038009	0.070978	0.038681	0.084099	0.029931	0.031469	0.04841	0.030107	0.032482	0.028898	0.16046	0.04212	0.029744	0.02549	0.026882	0.14093	0.033054	0.18809	0.10911	0.030506	0.037006	0.075799	0.03622	0.093496	0.54391	0.029025	0.073655	0.070365	0.041353	0.064058
Meth__cg07641524__MSRB3	0.057904	0.061814	0.063998	0.083173	0.093922	0.042753	0.055779	0.033842	0.051493	0.050875	0.47111	0.21894	0.13888	0.69016	0.058461	0.057717	0.05829	0.11047	0.03909	0.53362	0.55521	0.49056	0.059458	0.048333	0.050582	0.046948	0.093114	0.12889	0.068396	0.041164	0.02695	0.57936	0.56081	0.057738	0.070799	0.063149
Meth__cg19734228__DAPK1	0.5303	0.071775	0.96214	0.33332	0.19845	0.43517	0.90288	0.03846	0.032479	0.83677	0.7755	0.035752	0.17315	0.42422	0.036508	0.58932	0.031482	0.099833	0.58261	0.60488	0.6733	0.1075	0.20736	0.068408	0.74439	0.28333	0.094099	0.17	0.10997	0.031871	0.18585	0.25237	0.44707	0.23992	0.037416	0.076231
Meth__cg02798801__G10	0.41801	0.075058	0.49338	0.13728	0.13805	0.14399	0.1398	0.12704	0.12148	0.112	0.078297	0.15725	0.11683	0.078095	0.14106	0.12089	0.1248	0.1335	0.10833	0.088541	0.14307	0.16141	0.55024	0.22814	0.26802	0.34557	0.14257	0.16782	0.082333	0.10937	0.13156	0.38373	0.1054	0.20417	0.62432	0.20637
Meth__cg21921474__C1orf172	0.041113	0.022268	0.021986	0.024842	0.028271	0.7456	0.027662	0.017806	0.016768	0.035102	0.019289	0.040213	0.042295	0.02	0.021033	0.027296	0.14289	0.033184	0.17524	0.023904	0.024583	0.027994	0.95768	0.032106	0.92178	0.031797	0.029097	0.04951	0.045746	0.041259	0.9569	0.023044	0.016208	0.040304	0.056023	0.054446
Meth__cg03595428__MTCP1	0.63238	0.073376	0.095107	0.091559	0.17762	0.044998	0.12146	0.21896	0.069721	0.056973	0.088517	0.11223	0.13848	0.038686	0.08555	0.33164	0.44043	0.097104	0.088767	0.058122	0.074961	0.6008	0.077662	0.48653	0.13701	0.087033	0.11435	0.24105	0.12562	0.48274	0.67626	0.028701	0.20161	0.21848	0.69866	0.55598
Meth__cg17926057__PSMD10	0.37465	0.087146	0.065148	0.083926	0.13458	0.047606	0.0918	0.36963	0.34149	0.058351	0.07136	0.10898	0.056519	0.077197	0.27227	0.13347	0.42402	0.10237	0.0554	0.047796	0.065163	0.42341	0.063651	0.25364	0.11716	0.087226	0.15945	0.21799	0.10719	0.37117	0.28758	0.095664	0.14717	0.097862	0.43687	0.45403
Meth__cg18762485__CH25H	0.1555	0.045253	0.87329	0.7811	0.85393	0.21317	0.59367	0.10624	0.044483	0.46905	0.18528	0.13317	0.85495	0.29978	0.055168	0.84027	0.039794	0.079594	0.87553	0.34501	0.38877	0.28338	0.35134	0.097238	0.06122	0.68479	0.066438	0.4977	0.057806	0.19102	0.15834	0.51911	0.51628	0.31192	0.055371	0.26013
Meth__cg05680424__BPGM	0.066327	0.046208	0.053146	0.051717	0.031495	0.047121	0.033427	0.54873	0.043478	0.043782	0.046831	0.066282	0.10229	0.02388	0.035609	0.038206	0.02898	0.043971	0.03605	0.033025	0.054102	0.049168	0.049016	0.03941	0.090965	0.052403	0.08735	0.13731	0.070768	0.043915	0.061611	0.041733	0.051428	0.077058	0.067196	0.076726
Meth__cg02941816__MGMT	0.04917	0.05808	0.069777	0.067907	0.032546	0.042819	0.044825	0.047086	0.040523	0.046099	0.044098	0.055362	0.22664	0.028319	0.044306	0.039965	0.046233	0.049763	0.063657	0.030367	0.053786	0.047749	0.071563	0.099562	0.53912	0.065514	0.058635	0.59638	0.054558	0.042555	0.26439	0.042315	0.030849	0.075082	0.041236	0.44193
Meth__cg06758848__FLNA	0.45876	0.83621	0.0309	0.036093	0.40734	0.052737	0.03187	0.45038	0.31025	0.47557	0.029018	0.13619	0.79752	0.015539	0.25845	0.34257	0.42215	0.11589	0.023756	0.03619	0.026945	0.45191	0.67563	0.45763	0.30569	0.039256	0.060669	0.21629	0.33018	0.46728	0.36006	0.16594	0.2554	0.12954	0.52313	0.51097
Meth__cg21974766__NBLA04196	0.017838	0.016033	0.034708	0.012181	0.017434	0.42253	0.013997	0.45506	0.02135	0.019188	0.017168	0.04442	0.054119	0.011315	0.019413	0.029045	0.028446	0.048346	0.026239	0.010582	0.01427	0.013795	0.035293	0.015854	0.51548	0.027604	0.019706	0.052013	0.038869	0.019493	0.10607	0.039031	0.018064	0.054153	0.022551	0.038761
Meth__cg11957880__UBE2N	0.031424	0.028402	0.037857	0.029143	0.022324	0.027785	0.030232	0.52508	0.033642	0.027225	0.043258	0.027595	0.029829	0.019226	0.024967	0.029956	0.031079	0.052517	0.023462	0.026665	0.039317	0.028511	0.037917	0.028167	0.078796	0.038703	0.072063	0.056823	0.043825	0.031016	0.034986	0.029943	0.026309	0.048373	0.03128	0.07476
Meth__cg03718026__RPS20	0.15455	0.059228	0.12072	0.40387	0.060246	0.066725	0.057873	0.12107	0.070577	0.050029	0.050728	0.052426	0.081873	0.40295	0.075426	0.058228	0.068153	0.086491	0.046159	0.059801	0.060067	0.15066	0.066803	0.1343	0.16547	0.11353	0.1003	0.13282	0.12972	0.11956	0.097575	0.069189	0.061941	0.069268	0.16349	0.15709
