Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM44PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__NTN4	8.9457	7.3815	4.9204	5.0978	7.1364	4.9212	5.6882	7.1586	6.9979	6.658	7.5512	5.1676	4.9719	6.4198	7.8649	8.8122	5.6499	7.7185	5.9791	6.5246	8.062	7.8699	5.7432	5.7151	7.0287	6.5949	6.4657	7.9767	6.4987	7.923	8.7584	7.6942	7.2396	6.2955	7.1744	8.1179	6.5618	7.4797	6.9728	5.795	5.3447	5.0544
EA_G__TGFBR3	6.5099	6.7991	4.4764	5.0756	6.1711	7.4151	7.5172	5.2755	5.2617	8.7465	5.9379	5.4751	5.3792	6.5962	8.4593	5.5511	5.8642	6.5754	5.6738	6.2244	4.7788	7.5407	5.0052	5.0281	6.7982	7.4513	5.4792	6.559	7.2916	5.1781	5.9003	5.1645	7.6446	6.5163	7.7885	5.2928	7.9884	6.1309	4.9654	6.4007	4.9888	4.6663
EA_G__SEMA4C	7.2719	7.5273	8.26	8.6249	7.0002	8.0346	7.2498	6.9744	7.4205	8.0985	6.9877	9.8344	8.6208	6.4917	6.9693	7.1234	7.4942	6.9843	7.2017	7.7054	7.3261	7.1737	8.8988	9.6211	7.4376	7.3859	9.169	6.8374	7.702	6.8478	7.3498	7.8752	6.9353	7.2155	6.8307	8.7622	9.1107	6.6063	6.5848	7.4099	7.6439	7.2913
EA_G__DST	5.7695	5.6314	5.8496	6.8365	6.522	5.4187	7.2984	7.8516	4.2306	7.0187	7.1174	7.453	5.4133	6.8962	7.5451	7.2884	7.3602	6.3799	7.9233	6.8408	6.4526	8.5037	5.407	5.7353	7.1812	7.7141	7.1402	8.3095	6.7303	5.1303	6.5537	5.9384	9.1508	6.632	8.1101	5.6277	7.7752	6.6125	6.5333	5.4791	6.8436	5.1731
EA_G__AGPS	8.9363	4.5517	7.2311	5.8532	8.6021	7.7053	9.966	9.7677	7.5441	8.9797	8.0721	7.7352	8.2133	10.1761	9.4607	8.6283	5.8763	8.5532	9.0848	9.1475	8.4572	9.3307	3.0191	3.3336	9.0361	9.4937	5.9847	8.784	8.8559	6.8236	8.5514	5.0358	9.7549	8.9906	9.4369	8.3386	7.8373	7.8151	3.4863	7.9964	4.0977	5.1068
EA_G__DNAJB4	5.6443	6.1035	3.9001	4.3168	7.9907	4.3378	8.0466	5.2992	5.8049	7.7414	5.9526	5.3929	5.5614	6.4492	5.8692	5.7091	4.7853	5.1111	6.1544	6.802	5.857	8.51	4.2631	4.0582	6.9904	7.3876	4.94	5.3639	7.1117	3.9784	5.4962	5.149	8.1583	6.4834	8.0232	4.1585	5.4636	5.2226	5.0912	4.2958	4.3341	4.3752
EA_G__GPX1	10.2914	6.6074	10.0255	6.4332	9.521	9.8669	10.5247	9.3434	6.2869	10.2073	9.7081	8.4087	6.2304	9.3709	10.6769	10.1513	10.0008	6.2999	10.699	9.8613	10.1105	9.8717	6.0935	6.4483	7.1531	10.1702	10.003	8.6833	10.9678	10.1856	9.2024	6.5478	9.3792	10.175	10.1287	6.4856	10.2095	6.3658	6.0835	6.0718	6.1269	6.5288
EA_G__VEGFC	5.959	6.1045	6.4836	6.1927	8.5363	6.3565	7.9484	4.9781	6.5901	8.1276	7.4515	5.8244	5.2067	8.6976	8.2692	8.3195	6.3146	6.0912	6.7928	5.6619	6.1002	8.8704	6.4998	6.1745	7.8407	8.2774	6.7377	5.8924	7.584	7.7121	4.974	6.4205	10.0856	8.5307	7.9418	6.2836	6.8621	5.223	6.4057	5.6382	7.4676	6.3411
EA_G__TSEN54	8.1719	8.2347	7.9326	8.2435	7.3471	8.602	7.9961	8.0255	7.8688	7.7773	7.9281	8.6685	8.0825	8.1462	7.6475	7.6268	8.5393	7.7482	8.202	7.3186	7.7329	7.1781	9.233	9.0618	7.5306	7.7392	8.7507	7.4928	7.4268	9.2291	8.1706	8.6467	7.5815	7.3676	7.6907	7.6974	7.366	7.7498	8.2297	8.3159	8.2921	8.5669
EA_G__LY6K	4.7598	4.7912	5.0371	4.4493	6.2608	4.5636	7.0356	7.6438	5.4813	7.4329	5.0743	4.619	4.7229	6.0532	5.3105	6.539	4.8457	4.6299	5.1488	6.6308	5.6369	8.7196	5.0864	5.319	6.7941	6.5263	4.8837	5.1368	6.1866	5.6165	5.4341	5.3571	6.0195	6.9862	7.0719	4.7227	4.8074	5.2135	5.0951	5.0453	4.7443	4.7605
EA_G__PFTK1	6.4434	4.6955	6.7976	6.166	4.3015	6.6181	6.5578	7.0255	7.2514	8.1983	5.1313	5.2688	5.6752	6.2696	7.1337	4.869	6.7346	4.3274	7.3448	6.6948	6.5962	7.6551	4.7366	4.6529	5.6797	7.034	5.2519	7.2384	6.406	5.4197	5.1284	4.6521	6.6485	7.9803	6.9505	6.8473	6.679	8.2703	5.5371	5.1284	5.3968	5.376
EA_G__EHD2	7.3175	7.175	6.3603	5.9076	9.1305	7.8483	9.2984	8.6393	6.4028	8.256	6.0272	6.5969	6.0329	8.7643	7.588	8.5066	7.2154	7.8595	7.7524	9.2252	8.1121	9.9391	6.6247	6.7547	8.9681	7.6772	6.0786	8.2494	6.2251	7.1402	6.3427	7.063	8.4964	8.0041	9.1996	6.4192	5.9169	9.2335	7.4684	6.7046	6.9207	6.7111
EA_G__LAMB3	8.5501	6.2701	5.4417	6.4218	5.2189	5.3861	8.0007	9.3489	5.4467	7.5722	4.7279	5.7245	6.2905	11.1412	9.6121	8.9728	5.3228	5.6071	10.4168	5.8812	9.7743	7.6873	6.0018	5.4441	6.6744	9.8024	7.3708	9.2933	6.6629	6.0881	6.5713	7.1102	6.762	9.9981	7.5762	7.572	6.965	8.4298	6.1171	6.5865	5.3979	6.0822
SNP__BCAS1	0.013	1.068	2.02	0.565	0.515	0.076	0.262	0.13	-0.213	-0.562	1.117	1.015	0.237	0.233	0.336	0.288	0.274	0.352	0.268	0.169	0.238	0.305	2.058	2.247	0.637	0.143	0.83	0.252	0.232	0.166	0.149	1.244	-0.184	0.683	0.028	0.371	0.166	-0.137	0.32	0.853	0.395	0.305
EA_G__WWP1	8.0302	8.9967	8.8018	9.7101	8.1978	8.8679	6.5657	8.3785	7.5529	7.4231	11.3334	8.4612	8.6495	7.1267	8.5063	7.861	8.4297	8.3236	7.9304	8.7833	8.4192	7.9482	9.4423	9.7243	7.8338	7.7268	9.4123	8.1499	6.2912	8.3365	7.6886	9.3644	7.2959	8.2918	7.7756	9.3304	8.8954	8.0658	7.9781	8.6656	8.7748	8.939
EA_G__BAMBI	9.043	7.9415	10.9483	9.7965	9.5427	7.1282	6.4441	8.9009	9.2597	7.6812	11.554	8.6742	9.0298	5.2225	9.1935	8.7315	10.0132	10.7307	9.5724	7.367	8.4422	7.3105	10.6285	11.5012	7.2104	6.5424	11.1828	10.2395	8.2252	8.4677	8.4536	8.8646	4.7859	7.5736	6.0396	10.2713	6.8786	8.641	10.9692	6.3965	11.0753	10.0016
EA_G__PSMB9	6.9429	6.3563	5.3201	7.5091	7.2465	6.3855	7.0012	5.8205	7.8684	9.4407	4.9445	7.0672	6.7022	8.0447	8.7527	9.6395	7.5638	5.8946	6.8749	8.4528	10.2444	6.664	6.645	4.9041	8.7138	7.5196	5.8368	7.0753	6.0337	5.6665	7.3387	6.2453	6.8692	7.5742	8.1866	6.6373	6.8327	7.3004	8.0178	5.5168	6.066	4.8427
EA_G__NAV2	7.047	5.9388	5.1132	6.0164	6.6849	5.544	7.5525	6.9753	9.7986	7.586	5.5004	5.4398	5.3615	5.9011	7.0078	7.7367	4.7494	5.5622	7.9494	5.0788	6.3855	7.6234	5.2578	4.9935	6.821	6.9071	5.3098	8.0044	9.0798	5.7505	6.6172	6.8978	8.132	7.6056	8.1373	6.9788	7.2697	7.9451	4.7301	5.2354	4.8832	4.7912
EA_G__TGFBI	7.8583	7.3654	6.4943	5.5709	5.5324	5.0026	8.9905	5.9032	9.4129	11.9905	6.5426	5.3841	5.1904	9.5998	9.0848	10.3532	5.7241	8.1936	8.0879	11.7397	10.3964	12.124	6.9215	6.836	10.9424	8.6777	5.6641	5.8451	6.0426	5.9103	7.4507	7.4635	11.9134	9.4362	11.7644	5.5448	4.6269	5.0333	5.5732	5.8233	5.305	5.0359
EA_G__TUBA4A	8.6679	7.9277	6.3558	7.2991	6.9787	7.7877	8.736	10.2872	5.4635	9.339	8.4505	7.3348	5.2554	9.8507	9.0392	9.883	7.864	6.864	6.8061	6.929	9.6147	5.9611	6.2718	5.9367	5.3819	6.8341	6.603	8.5443	6.1101	7.9706	6.0091	7.1037	7.6902	9.8575	10.3707	9.5426	8.9397	8.7304	7.511	5.7331	8.2523	9.6581
EA_G__BMP7	4.8945	6.8651	10.7644	7.0475	4.9199	5.2105	5.4022	6.6967	4.8341	5.5648	9.3826	5.9375	7.3643	5.7413	7.7826	5.3311	4.9001	8.5998	7.4153	6.4573	4.886	4.7875	9.081	8.6703	7.7476	4.7525	6.3689	6.4318	6.9026	5.6016	7.4356	9.3826	5.1576	5.096	4.853	4.6794	5.5083	6.4307	5.098	7.4673	4.8965	5.9964
EA_G__ELL2	6.8523	5.9738	5.4848	6.3876	9.0239	5.5223	7.9779	7.8213	6.2642	7.1177	7.3842	5.1636	5.7827	7.7042	7.7394	8.4219	6.5212	7.63	8.1983	8.1004	6.8832	8.7843	4.8266	5.4662	7.4624	7.7774	5.8231	9.4469	8.0832	6.9037	7.3135	5.7191	7.9853	7.358	9.1605	9.5203	7.6327	6.8344	5.428	6.024	5.6388	5.8718
EA_G__F3	6.9078	6.5751	4.7236	4.8338	4.4908	5.7239	6.744	7.9921	5.9984	5.6462	5.3004	4.4737	4.984	9.1218	9.706	9.1727	5.9426	5.2188	7.949	6.227	6.4718	8.7618	4.8583	4.9955	5.0852	9.3891	4.8203	5.5902	5.4646	5.2877	6.3323	7.0375	5.0104	8.3353	8.3867	6.3841	6.0309	5.2343	5.1556	4.89	4.8216	4.3846
EA_G__ID1	9.4047	6.5137	5.7936	5.7872	8.4098	7.6828	8.8608	9.0987	8.9079	7.4013	9.3635	5.7669	5.3555	9.9187	9.9858	8.8705	8.6591	9.3233	8.0025	11.1838	9.2602	7.4053	8.0666	6.8268	7.4791	8.0305	7.5641	10.4555	6.425	8.1994	7.1203	7.3442	8.7629	9.2204	9.3456	7.6309	5.1691	7.9927	6.9665	6.2329	6.2584	8.281
SNP__FLJ20433	0.003	-0.163	0.153	0.184	0.228	0.458	0.293	0.184	0.151	0.104	1.253	0.274	0.007	-0.09	0.062	-2.744	-0.017	-0.066	-2.514	0.146	-0.01	-0.088	-0.038	0.095	-0.133	0.089	1.099	-0.163	0.271	-1.534	-0.201	0.047	-0.158	-0.198	0.02	-0.131	-0.415	-0.054	0.292	-0.296	-0.066	0.024
EA_G__ABCC5	5.9535	8.05	8.3158	8.0661	6.8239	8.6461	6.7479	6.9295	6.5499	7	7.9766	9.0062	7.5615	7.5179	8.4078	7.2503	8.0671	9.2941	6.922	6.4032	8.0915	7.2329	8.4363	7.7763	6.5591	6.0979	8.1434	8.4676	6.1234	6.6576	6.8646	8.1011	6.0554	6.2323	6.02	9.9184	7.3347	6.9504	7.7622	8.1707	7.3995	7.4722
EA_G__KIF1A	5.441	5.8699	9.6423	8.2468	5.5019	5.5673	5.805	8.863	9.3245	5.5078	5.1426	6.0836	5.5474	6.3807	5.3728	5.6188	5.9928	5.6387	6.2192	5.5329	5.7274	5.357	6.2477	6.7221	6.5204	5.5465	8.3424	5.3544	7.0093	6.1882	5.5858	5.839	6.2375	5.9585	5.7378	9.1116	5.2103	5.7625	5.6265	5.5712	6.7046	7.7672
EA_G__LMX1B	6.9476	7.0005	9.3656	9.0905	6.9439	7.6305	7.3941	7.1723	6.8839	6.6951	8.6262	8.5572	6.8858	6.9417	6.9284	6.8258	6.8833	7.4215	6.8074	6.8958	7.5919	6.4544	7.7392	8.5642	6.6147	6.5912	8.4106	7.433	7.2189	7.7919	7.3849	6.7515	6.5205	6.695	6.3187	8.6843	10.632	7.564	7.6533	7.8472	7.4231	8.3092
EA_G__CYFIP2	6.9195	7.6336	9.0937	8.0094	4.9558	9.1605	5.324	7.1359	6.1258	4.9594	6.3421	7.6514	6.2954	5.2496	4.8951	5.2998	5.1125	8.4513	6.591	5.0957	5.0147	4.9933	7.4391	7.4575	5.4852	5.7216	7.2038	9.1192	6.9705	6.5537	4.426	7.9774	5.9874	5.4906	6.214	9.1159	4.63	9.0647	8.058	8.4102	5.4775	8.5427
EA_G__SGPP2	5.8556	6.6695	6.3303	5.8545	4.914	4.9386	5.4206	6.0471	8.0553	5.4068	5.1609	5.1539	5.1333	5.4656	6.731	5.0733	5.4432	5.3177	6.8945	6.6494	5.4638	5.2143	6.4824	6.6015	5.1643	5.1318	6.8269	5.1584	5.5701	5.698	6.3679	6.6327	5.0633	7.627	6.296	6.8696	6.0306	5.6545	5.1684	5.8908	6.1825	5.8519
EA_G__CD68	6.0924	6.7302	6.0308	6.4705	7.2649	5.8231	7.6681	6.8934	6.2509	5.9802	6.8145	6.0723	6.0712	8.627	7.2361	7.1214	6.7354	6.0436	7.2269	6.3077	7.2117	8.8449	5.9699	6.2632	6.6335	7.9657	6.0215	6.3502	8.8474	6.6785	6.1094	7.2136	9.2278	8.7606	6.985	6.1473	7.0428	6.0869	6.1949	5.9665	5.9869	6.4345
