Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg21295602__PSMB6	0.011341	0.013056	0.014999	0.015106	0.012869	0.01068	0.014025	0.039502	0.01348	0.014071	0.013562	0.0079988	0.033668	0.011718	0.015352	0.011833	0.01461	0.022466	0.0084841	0.020281	0.012968	0.032643	0.013169	0.027159	0.027393	0.015706	0.019025	0.059076	0.024104	0.011666	0.01348	0.1251	0.011353	0.0095206	0.015793	0.014284	0.015654	0.015968
Meth__cg23865067__ARPP-19	0.052806	0.048886	0.051117	0.049067	0.04969	0.058807	0.056969	0.58175	0.044624	0.054221	0.043207	0.035034	0.086347	0.036491	0.050739	0.048928	0.047065	0.10521	0.046164	0.067689	0.053845	0.059071	0.053905	0.064202	0.094036	0.058125	0.092022	0.068528	0.11808	0.057458	0.053592	0.054734	0.049816	0.046586	0.05708	0.069273	0.058169	0.058555
Meth__cg12382941__SYTL4	0.56277	0.036011	0.051901	0.047182	0.029528	0.44816	0.063498	0.39382	0.046608	0.062074	0.16816	0.039939	0.072503	0.028612	0.046519	0.43737	0.049352	0.075567	0.043508	0.069521	0.042474	0.49344	0.18664	0.46356	0.053155	0.039906	0.085558	0.48227	0.071126	0.03331	0.03312	0.07479	0.029955	0.32928	0.043469	0.54039	0.060477	0.040318
Meth__cg03790207__PEX6	0.042997	0.038908	0.55145	0.047011	0.50284	0.030555	0.04168	0.53936	0.029606	0.036792	0.046735	0.029922	0.59863	0.62321	0.033737	0.039558	0.032183	0.066998	0.036271	0.76001	0.62152	0.067764	0.20719	0.032092	0.060757	0.4393	0.077752	0.077907	0.087373	0.030083	0.0341	0.042663	0.030294	0.021943	0.06394	0.07785	0.040933	0.033341
Meth__cg22262964__	0.16677	0.03049	0.049402	0.048651	0.032348	0.050863	0.052001	0.059633	0.034382	0.055826	0.045448	0.039554	0.057787	0.030556	0.04279	0.037192	0.032114	0.064622	0.034829	0.031202	0.026587	0.044893	0.079343	0.29822	0.098184	0.075047	0.10033	0.068224	0.052607	0.02969	0.030238	0.037968	0.04149	0.043387	0.078938	0.071236	0.030977	0.038477
Meth__cg25559243__AAMP	0.040163	0.027229	0.038667	0.032017	0.033102	0.026677	0.0306	0.042126	0.025881	0.043215	0.026614	0.066364	0.045474	0.040446	0.033412	0.031345	0.018913	0.059556	0.025837	0.030353	0.028981	0.040407	0.058056	0.11218	0.072907	0.035813	0.098673	0.051881	0.033002	0.023864	0.031018	0.40352	0.033605	0.030137	0.030452	0.04433	0.030346	0.038043
Meth__cg09573435__SEMA6A	0.040111	0.041903	0.063662	0.048487	0.029155	0.036231	0.04326	0.058695	0.038078	0.045024	0.045264	0.054797	0.18362	0.034935	0.048845	0.052879	0.034162	0.08711	0.037728	0.043595	0.045805	0.06796	0.044967	0.053126	0.51144	0.054874	0.068871	0.13176	0.056822	0.038182	0.033393	0.19618	0.032805	0.0317	0.11444	0.049335	0.04557	0.044505
Meth__cg25705900__RNF144	0.06793	0.035627	0.45138	0.043002	0.042328	0.095482	0.057739	0.24556	0.048481	0.055769	0.24247	0.071832	0.19151	0.034535	0.057135	0.042534	0.060634	0.070309	0.044347	0.067664	0.055307	0.10708	0.061631	0.060669	0.89481	0.055456	0.15813	0.15613	0.069711	0.050225	0.1147	0.57175	0.035337	0.045032	0.10295	0.1238	0.042402	0.04056
Meth__cg00230685__SCML1	0.58693	0.22035	0.089433	0.02686	0.32599	0.031144	0.067332	0.082392	0.079591	0.64086	0.03585	0.71938	0.46453	0.28747	0.059245	0.025101	0.042396	0.24572	0.3817	0.030571	0.044172	0.46517	0.40046	0.60582	0.052338	0.48392	0.57483	0.54985	0.63735	0.48594	0.056265	0.73197	0.058874	0.039789	0.041225	0.50711	0.29008	0.045627
Meth__cg20637800__BRI3	0.036045	0.047011	0.052067	0.040368	0.088527	0.030945	0.097576	0.047487	0.027436	0.046828	0.031295	0.04073	0.084336	0.02481	0.029932	0.02691	0.039692	0.082515	0.025019	0.15736	0.077288	0.12389	0.051744	0.26493	0.056595	0.14685	0.10983	0.072849	0.056027	0.024295	0.021347	0.030816	0.022993	0.026973	0.14915	0.082944	0.040484	0.032189
Meth__cg01947224__ZNF416	0.040975	0.019145	0.053689	0.033509	0.018661	0.019724	0.043614	0.047966	0.020201	0.021002	0.03328	0.020744	0.067904	0.017126	0.026221	0.028012	0.028879	0.048766	0.023022	0.019435	0.027415	0.038338	0.037325	0.0546	0.047213	0.033418	0.025	0.26547	0.037213	0.031692	0.028597	0.23551	0.019349	0.027865	0.19256	0.068716	0.03866	0.032064
Meth__cg13843603__PSMD11	0.033209	0.019882	0.035386	0.031663	0.018672	0.020357	0.027555	0.42584	0.02021	0.027853	0.019371	0.024778	0.040648	0.015951	0.024861	0.021976	0.016435	0.019087	0.019609	0.028735	0.029719	0.022665	0.027982	0.014937	0.01804	0.021378	0.029483	0.048863	0.040945	0.025162	0.022121	0.022058	0.020999	0.012947	0.035568	0.034893	0.021508	0.023531
Meth__cg00224234__RNMTL1	0.035994	0.028972	0.046598	0.031618	0.022681	0.027795	0.037778	0.5138	0.023611	0.034583	0.032894	0.020342	0.045057	0.023571	0.032981	0.024621	0.031678	0.12086	0.02625	0.026561	0.031089	0.032101	0.034205	0.029447	0.045719	0.041374	0.042756	0.075923	0.063222	0.022052	0.028074	0.033002	0.024673	0.023667	0.065405	0.037641	0.029925	0.039211
Meth__cg09262269__LOX	0.086985	0.032973	0.94566	0.24114	0.042116	0.023233	0.24227	0.099307	0.050133	0.056698	0.022749	0.1009	0.6318	0.030496	0.057432	0.070448	0.040406	0.058531	0.030683	0.050663	0.054087	0.94538	0.51666	0.048353	0.051105	0.063926	0.096433	0.57393	0.075687	0.028878	0.029597	0.044871	0.084233	0.9074	0.045465	0.29398	0.049419	0.07924
Meth__cg01910452__BCAP31	0.72053	0.039727	0.046472	0.045078	0.43182	0.022293	0.042812	0.7664	0.031407	0.03962	0.051988	0.035828	0.06516	0.021483	0.033746	0.50577	0.62244	0.069554	0.041852	0.049712	0.037639	0.50798	0.45089	0.51564	0.07056	0.043719	0.53166	0.34854	0.09669	0.60155	0.025351	0.62007	0.031819	0.15806	0.097826	0.71123	0.49794	0.038176
Meth__cg04907664__EFNB1	0.63907	0.058216	0.1134	0.0849	0.10734	0.079575	0.086454	0.14717	0.12896	0.078851	0.082574	0.082721	0.20193	0.24653	0.21266	0.087755	0.26562	0.38383	0.094908	0.077857	0.080553	0.53451	0.39725	0.59758	0.20652	0.091478	0.42187	0.56368	0.39671	0.56413	0.080024	0.59983	0.054894	0.394	0.12702	0.51091	0.16534	0.075655
Meth__cg25549413__ZNF688	0.08343	0.065381	0.12682	0.068923	0.023931	0.036281	0.050576	0.12648	0.06978	0.065167	0.097204	0.058505	0.051621	0.033499	0.049137	0.047893	0.06119	0.084874	0.047493	0.14815	0.068925	0.061319	0.087462	0.071461	0.084952	0.05447	0.096004	0.079946	0.058848	0.042742	0.042814	0.096766	0.040965	0.033709	0.043966	0.062363	0.062167	0.048442
Meth__cg13510262__SP1	0.059741	0.059342	0.070229	0.051212	0.047329	0.063469	0.058695	0.68717	0.057433	0.05712	0.048887	0.047702	0.097192	0.047869	0.069072	0.052644	0.054603	0.078738	0.060032	0.07558	0.068846	0.074299	0.060869	0.066317	0.082902	0.051659	0.087511	0.097415	0.06513	0.055882	0.063633	0.060653	0.054929	0.048157	0.078708	0.06635	0.060366	0.061925
Meth__cg27657283__LEPRE1	0.065804	0.063036	0.10471	0.090968	0.072172	0.041649	0.12208	0.62597	0.042883	0.046107	0.06556	0.091477	0.20373	0.041906	0.040656	0.071195	0.096496	0.069792	0.064946	0.070391	0.075571	0.10188	0.082629	0.087151	0.15846	0.096449	0.19927	0.098442	0.098917	0.03837	0.075213	0.10654	0.06112	0.064626	0.28164	0.11419	0.10607	0.087833
Meth__cg16343842__CD99L2	0.33157	0.026278	0.032409	0.043705	0.039023	0.023003	0.031551	0.45432	0.02799	0.024838	0.028392	0.040986	0.052795	0.015663	0.025732	0.048974	0.038043	0.046961	0.041792	0.024623	0.026482	0.41682	0.10645	0.4926	0.04146	0.03159	0.12632	0.16531	0.054955	0.29526	0.020871	0.041768	0.025419	0.025548	0.13239	0.61713	0.13618	0.033984
Meth__cg03718026__RPS20	0.15455	0.059228	0.12072	0.40387	0.060246	0.066725	0.057873	0.12107	0.070577	0.050029	0.050728	0.052426	0.081873	0.40295	0.075426	0.058228	0.068153	0.086491	0.046159	0.059801	0.060067	0.15066	0.066803	0.1343	0.16547	0.11353	0.1003	0.13282	0.12972	0.11956	0.059084	0.097575	0.073199	0.061941	0.069268	0.16349	0.074236	0.071722
Meth__cg11946769__NME6	0.037032	0.02268	0.033924	0.26304	0.028399	0.024424	0.046625	0.024322	0.035846	0.039951	0.029718	0.02212	0.076321	0.026449	0.030296	0.028148	0.024345	0.031333	0.02433	0.029023	0.036604	0.034478	0.046079	0.1779	0.054402	0.13723	0.084401	0.047789	0.10466	0.025821	0.024307	0.39962	0.029299	0.027989	0.06931	0.032559	0.026342	0.02396
Meth__cg02854288__FHIT	0.072634	0.061897	0.081723	0.06852	0.056135	0.16638	0.055975	0.059663	0.061664	0.057463	0.053334	0.03789	0.17927	0.046348	0.064595	0.047255	0.12118	0.095371	0.079046	0.20832	0.064975	0.080901	0.10348	0.072132	0.11123	0.068869	0.10789	0.079872	0.084777	0.061742	0.067774	0.071365	0.057739	0.073696	0.068494	0.073866	0.060924	0.06024
Meth__cg16442715__MAP3K7IP1	0.053033	0.049112	0.14141	0.054028	0.071809	0.057086	0.074865	0.059634	0.061144	0.071546	0.068272	0.076884	0.087923	0.061216	0.053575	0.079582	0.041953	0.0709	0.096818	0.085878	0.064795	0.099976	0.088764	0.072408	0.26068	0.099394	0.082411	0.080509	0.11999	0.053878	0.059078	0.070177	0.057922	0.065169	0.045762	0.071973	0.059728	0.067049
Meth__cg06545845__ARL8A	0.053202	0.058878	0.12132	0.06704	0.038784	0.041079	0.056426	0.06889	0.038614	0.071672	0.048029	0.12395	0.25994	0.11176	0.055407	0.050071	0.044708	0.071822	0.034758	0.072418	0.08698	0.12048	0.050749	0.079907	0.089544	0.1782	0.092529	0.20403	0.10369	0.042104	0.048107	0.040766	0.066726	0.05247	0.19544	0.38756	0.050166	0.052014
Meth__cg27271445__IDH3G	0.57864	0.062717	0.066902	0.057995	0.58972	0.04611	0.070445	0.49167	0.042822	0.052863	0.051571	0.090314	0.10096	0.038653	0.051443	0.54164	0.5433	0.26789	0.057732	0.077574	0.077093	0.59521	0.66536	0.59984	0.098737	0.061254	0.49221	0.43645	0.098846	0.58097	0.0466	0.64788	0.047157	0.44583	0.094382	0.62594	0.47983	0.054627
Meth__cg24022301__PTGFR	0.49693	0.039644	0.55118	0.07811	0.23902	0.031601	0.11007	0.051658	0.041756	0.052852	0.058297	0.12376	0.84815	0.044032	0.034372	0.071267	0.046946	0.046579	0.049889	0.64214	0.686	0.3305	0.067604	0.14541	0.12587	0.46474	0.063515	0.35235	0.12349	0.042957	0.041736	0.049384	0.037268	0.24661	0.16066	0.47286	0.2755	0.37657
Meth__cg08190291__ADAMTS5	0.48605	0.042749	0.89968	0.11959	0.2954	0.033975	0.73552	0.078636	0.040004	0.049139	0.045053	0.034699	0.33035	0.031483	0.041795	0.035749	0.036088	0.088267	0.040613	0.81177	0.55947	0.43117	0.051724	0.047091	0.79726	0.83766	0.094142	0.90909	0.085817	0.042217	0.032798	0.10334	0.040871	0.45911	0.082262	0.80346	0.65958	0.76708
Meth__cg01277844__PYGO2	0.062232	0.080583	0.19181	0.059274	0.059323	0.067605	0.061355	0.073744	0.064862	0.11915	0.080235	0.49435	0.36708	0.054613	0.059094	0.060017	0.058883	0.073025	0.082572	0.12077	0.084134	0.060645	0.11369	0.067922	0.12291	0.072915	0.14542	0.1519	0.16484	0.066166	0.077228	0.24386	0.051264	0.058721	0.086064	0.08871	0.050309	0.060329
Meth__cg11764747__EFNB1	0.21689	0.048849	0.85129	0.19878	0.11591	0.11515	0.68816	0.08304	0.045445	0.10204	0.071779	0.1181	0.18365	0.44211	0.05536	0.18152	0.08426	0.16039	0.056514	0.90398	0.25902	0.58075	0.22589	0.54811	0.29431	0.16783	0.41855	0.34371	0.15313	0.28106	0.036066	0.52909	0.037844	0.75746	0.11666	0.2038	0.12667	0.058309
Meth__cg04493740__SLC25A14	0.52885	0.053748	0.042107	0.078925	0.05122	0.039808	0.067266	0.22645	0.063488	0.038678	0.068043	0.058973	0.19246	0.14351	0.046674	0.051499	0.48473	0.063649	0.09131	0.053516	0.041277	0.5711	0.16242	0.30968	0.096272	0.10315	0.083462	0.42395	0.10424	0.23299	0.056387	0.075133	0.05246	0.1064	0.12236	0.47454	0.044866	0.049434
Meth__cg27063525__C6orf68	0.24935	0.030828	0.24797	0.13063	0.17902	0.17537	0.059468	0.8269	0.43482	0.032202	0.026187	0.20318	0.42353	0.5794	0.23887	0.29831	0.045253	0.22928	0.031143	0.032122	0.04441	0.33187	0.35559	0.30927	0.063423	0.28732	0.29524	0.19716	0.074367	0.26941	0.041795	0.35652	0.035216	0.23347	0.046525	0.253	0.16298	0.041027
Meth__cg01191395__SAT2	0.024687	0.017078	0.033373	0.028118	0.030104	0.019488	0.032719	0.034298	0.020105	0.019609	0.021439	0.014418	0.025318	0.022174	0.023074	0.018948	0.019451	0.051143	0.015343	0.79187	0.2735	0.026543	0.0306	0.020169	0.029498	0.045598	0.045415	0.047547	0.053158	0.02453	0.018427	0.035611	0.044846	0.02351	0.034861	0.026557	0.028423	0.01887
Meth__cg04545708__C11orf1	0.22763	0.050654	0.084411	0.11331	0.10045	0.054728	0.1412	0.094554	0.072611	0.074086	0.044148	0.039746	0.11744	0.073629	0.053954	0.073154	0.1066	0.11093	0.066547	0.12961	0.21079	0.14852	0.11032	0.12654	0.10103	0.092922	0.10179	0.13572	0.17929	0.07332	0.065559	0.71656	0.087689	0.092128	0.20377	0.10531	0.10388	0.1752
Meth__cg13658777__PDHA1	0.54705	0.061812	0.11545	0.072585	0.078825	0.070779	0.12195	0.15146	0.10421	0.092339	0.096065	0.50459	0.41875	0.073493	0.10838	0.062749	0.11196	0.46036	0.056318	0.069168	0.075484	0.55114	0.23708	0.52632	0.13359	0.43502	0.12114	0.40845	0.12583	0.59579	0.11699	0.35058	0.061362	0.12834	0.20898	0.45468	0.31021	0.068335
Meth__cg20450764__TSPAN7	0.098574	0.063522	0.12039	0.17163	0.11345	0.22891	0.12967	0.70481	0.090288	0.08985	0.08384	0.16717	0.24478	0.10963	0.098345	0.17909	0.091391	0.11195	0.36964	0.38163	0.11269	0.31212	0.14475	0.31546	0.70863	0.2819	0.21934	0.16772	0.17672	0.68778	0.075783	0.25814	0.077261	0.12535	0.23606	0.35318	0.081527	0.074401
Meth__cg19011603__RP11-311P8.3	0.59982	0.044867	0.11524	0.062821	0.093927	0.043011	0.070985	0.42534	0.39023	0.037832	0.069666	0.17313	0.099761	0.67524	0.36828	0.076443	0.047067	0.16129	0.062833	0.080656	0.077385	0.55938	0.11693	0.57451	0.077115	0.079015	0.17964	0.43354	0.057307	0.056895	0.050005	0.50395	0.043364	0.26423	0.23173	0.41423	0.38766	0.051392
Meth__cg02995295__FLJ30707	0.10099	0.073522	0.90343	0.29123	0.06741	0.57609	0.084879	0.062874	0.032913	0.045178	0.20918	0.27188	0.54799	0.05102	0.051682	0.068361	0.051105	0.052996	0.080336	0.77054	0.5259	0.88858	0.077586	0.2338	0.074074	0.05909	0.070393	0.52942	0.097753	0.042184	0.034996	0.64616	0.052521	0.85352	0.14454	0.52276	0.052313	0.051586
Meth__cg00343092__BZRP	0.033641	0.063095	0.10269	0.050612	0.030225	0.026033	0.049284	0.025702	0.027573	0.062804	0.039407	0.041575	0.13613	0.027715	0.030518	0.031766	0.032729	0.059665	0.018807	0.14798	0.40577	0.15469	0.22864	0.29248	0.10575	0.36347	0.11131	0.085416	0.081348	0.036602	0.027072	0.022837	0.024525	0.029264	0.065044	0.11194	0.032092	0.039155
Meth__cg23279136__ABCB7	0.50277	0.030086	0.047252	0.050708	0.089186	0.035874	0.041011	0.45785	0.38417	0.033028	0.031072	0.045132	0.068439	0.44998	0.32897	0.41271	0.38589	0.19829	0.031409	0.054932	0.042064	0.45897	0.34487	0.43532	0.11617	0.063315	0.39059	0.34608	0.10186	0.043515	0.032139	0.41112	0.030049	0.3415	0.089206	0.4829	0.30895	0.035578
Meth__cg18049750__SCML1	0.53291	0.52515	0.11276	0.062451	0.29003	0.043862	0.049154	0.084627	0.065479	0.5054	0.066787	0.27239	0.30582	0.51933	0.075297	0.054527	0.087812	0.42533	0.43427	0.060547	0.068073	0.49686	0.43246	0.43145	0.059599	0.4963	0.57116	0.46	0.45338	0.43537	0.042584	0.46132	0.052754	0.049596	0.064853	0.45538	0.32814	0.053934
Meth__cg11609760__FGD1	0.25171	0.070962	0.09375	0.082691	0.14642	0.066264	0.071086	0.094605	0.20437	0.46137	0.073521	0.27803	0.35164	0.19282	0.20247	0.26408	0.075635	0.28031	0.079319	0.064363	0.10255	0.55966	0.31345	0.49078	0.16316	0.44332	0.11773	0.5209	0.35519	0.11585	0.066385	0.17347	0.076516	0.078115	0.089286	0.48088	0.099101	0.075138
Meth__cg01602416__GCSH	0.024711	0.015045	0.015778	0.041507	0.016048	0.013604	0.014449	0.64372	0.015932	0.020932	0.019197	0.011611	0.02963	0.01755	0.01576	0.017673	0.015161	0.02105	0.018504	0.022848	0.018671	0.030809	0.032675	0.026868	0.022022	0.0186	0.015562	0.040066	0.022888	0.024033	0.030248	0.039745	0.022233	0.013124	0.015108	0.019089	0.018492	0.024431
Meth__cg05680424__BPGM	0.066327	0.046208	0.053146	0.051717	0.031495	0.047121	0.033427	0.54873	0.043478	0.043782	0.046831	0.066282	0.10229	0.02388	0.035609	0.038206	0.02898	0.043971	0.03605	0.033025	0.054102	0.049168	0.049016	0.03941	0.090965	0.052403	0.08735	0.13731	0.070768	0.043915	0.036508	0.061611	0.04776	0.051428	0.077058	0.067196	0.072169	0.045592
Meth__cg25822709__RRAGA	0.18917	0.063789	0.10569	0.16425	0.10826	0.068401	0.069029	0.079198	0.092494	0.095623	0.063789	0.062162	0.088158	0.046002	0.073601	0.047019	0.053716	0.041034	0.068621	0.061294	0.080457	0.10672	0.064475	0.08414	0.21148	0.11715	0.080164	0.14702	0.17465	0.037814	0.030199	0.49599	0.061684	0.061734	0.1454	0.25253	0.088545	0.058624
Meth__cg05935584__HMGB3	0.56063	0.036648	0.034971	0.061282	0.49774	0.024551	0.041581	0.37384	0.031087	0.027416	0.038941	0.04803	0.052345	0.020169	0.028326	0.47762	0.45047	0.19638	0.028546	0.044187	0.041199	0.58902	0.67159	0.50048	0.065068	0.033929	0.50753	0.38417	0.11345	0.46899	0.01632	0.54983	0.020614	0.27173	0.12773	0.58074	0.46661	0.031995
Meth__cg22838674__PROSC	0.027689	0.027197	0.70746	0.038613	0.025801	0.030268	0.032097	0.017434	0.025286	0.042328	0.05427	0.028847	0.21096	0.026438	0.030772	0.023906	0.023467	0.049145	0.042215	0.037502	0.030833	0.1379	0.042741	0.067735	0.050883	0.032483	0.058726	0.054671	0.045902	0.031341	0.025755	0.045778	0.025597	0.022567	0.046882	0.035463	0.026552	0.030886
Meth__cg25813820__MPP1	0.62375	0.045106	0.53859	0.44297	0.05928	0.036103	0.048983	0.58414	0.23716	0.041626	0.047749	0.27769	0.90318	0.11669	0.19619	0.5276	0.58079	0.20919	0.034441	0.22175	0.053815	0.63879	0.13634	0.60509	0.10154	0.89952	0.075328	0.69963	0.056627	0.63585	0.036195	0.35973	0.046479	0.40486	0.044851	0.65894	0.70215	0.85373
Meth__cg26246138__SCML2	0.54403	0.034553	0.053076	0.030344	0.33526	0.021586	0.039254	0.029239	0.042764	0.40156	0.036198	0.6454	0.60728	0.29993	0.027673	0.030971	0.023246	0.33118	0.099443	0.055238	0.037606	0.57725	0.16913	0.56051	0.058864	0.43522	0.27781	0.46871	0.38793	0.60125	0.020488	0.5848	0.023606	0.015386	0.076231	0.34879	0.39263	0.022643
Meth__cg04796162__IGFBP3	0.049288	0.025759	0.98212	0.093385	0.054941	0.25092	0.13361	0.61219	0.021772	0.43325	0.85131	0.12276	0.81539	0.5564	0.02923	0.054714	0.028851	0.083178	0.071536	0.87279	0.36231	0.53255	0.071658	0.53995	0.048183	0.66288	0.19383	0.74935	0.055612	0.037197	0.041294	0.97643	0.022239	0.81849	0.68049	0.043231	0.036342	0.027316
Meth__cg23430664__XYLT2	0.045303	0.036109	0.16677	0.24643	0.032184	0.32281	0.04323	0.090114	0.032528	0.068319	0.035031	0.19968	0.21506	0.040618	0.062414	0.044699	0.059334	0.0697	0.06549	0.068006	0.080721	0.097182	0.29772	0.10551	0.23874	0.098303	0.077282	0.23267	0.10628	0.02731	0.026754	0.065913	0.051913	0.039506	0.06666	0.046661	0.04393	0.032915
Meth__cg02629761__PTPN21	0.063916	0.053683	0.054692	0.0836	0.069259	0.05312	0.070644	0.088963	0.053076	0.060039	0.06182	0.04812	0.098301	0.035889	0.046516	0.053048	0.082241	0.10917	0.06243	0.060401	0.071112	0.69624	0.067623	0.077958	0.072629	0.068926	0.12252	0.55727	0.08245	0.058349	0.052483	0.063098	0.049516	0.052771	0.074488	0.07477	0.067814	0.074807
Meth__cg17887537__RRAGA	0.042788	0.022811	0.050861	0.058859	0.035381	0.032455	0.029693	0.024438	0.020259	0.027612	0.027676	0.030536	0.06701	0.014465	0.026251	0.023652	0.024762	0.022196	0.023625	0.034982	0.034759	0.030037	0.030667	0.031428	0.066197	0.060907	0.041089	0.062375	0.047646	0.031799	0.017282	0.29585	0.024722	0.040149	0.081748	0.035064	0.03076	0.034451
Meth__cg24646710__FLJ23191	0.37142	0.026227	0.30614	0.10223	0.024589	0.032536	0.21923	0.059717	0.038799	0.02856	0.043528	0.40728	0.39525	0.022242	0.025593	0.045646	0.11811	0.065097	0.03022	0.3677	0.27719	0.068437	0.056781	0.12623	0.064898	0.66079	0.1108	0.32252	0.032687	0.033474	0.028927	0.047209	0.030549	0.069051	0.10773	0.034246	0.036126	0.028125
Meth__cg09944147__COL27A1	0.042006	0.030654	0.15427	0.030878	0.02397	0.040414	0.036199	0.041829	0.024641	0.029691	0.027166	0.017138	0.20545	0.017186	0.027529	0.032692	0.022658	0.04581	0.021806	0.25151	0.18251	0.032478	0.040745	0.029851	0.044822	0.032234	0.066667	0.21869	0.037414	0.02303	0.040383	0.034424	0.031493	0.35651	0.056138	0.035906	0.032247	0.025104
Meth__cg05238794__GK	0.51533	0.047956	0.064152	0.044554	0.28742	0.037592	0.040373	0.039712	0.068921	0.14174	0.04978	0.37135	0.2961	0.27489	0.058495	0.049507	0.045048	0.47725	0.037822	0.039408	0.043398	0.86733	0.049385	0.4108	0.13394	0.43378	0.34342	0.38744	0.375	0.13499	0.041044	0.48077	0.039132	0.061959	0.10456	0.42776	0.045429	0.044326
