Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
RS_G7892__FGF2__FGF2	0.3704	0	0	0.15516	7.5818	0	5.2899	3.8378	0.38255	0.26018	7.8975	2.3116	5.2507	0.14505	0	6.8459	6.6202	2.6134	4.9625	0.11633	0.15511	0.26957	2.1954	0	0.019091	0.20773	0	4.444	2.0561	2.5446	0	0	0.053869	0	0.72312	0	0.11461
RS_G380__AC115090.8__AC115090.8	5.5401	4.5937	8.2773	5.6462	1.8168	4.4074	1.7069	2.3845	3.3208	3.0223	3.7229	1.0776	3.1471	4.6588	6.9533	2.4415	0.71518	3.2748	1.9988	4.269	3.2441	5.2386	4.9617	1.7625	5.7094	6.0719	3.1752	2.8722	3.1587	3.6614	5.309	4.1984	9.4664	4.9028	4.2942	7.7608	3.8001
RS_G7112__STATIP1__STATIP1	7.3404	5.7894	7.9124	8.0689	7.1623	7.1651	7.2975	8.1415	6.5724	6.4872	6.779	6.3207	5.2695	6.5046	6.8907	6.956	9.3609	7.3751	6.6918	7.1384	10.5164	7.6728	5.2929	6.8239	6.2761	6.284	6.2343	6.1861	6.8933	6.3592	6.3899	7.162	6.6163	5.3713	8.2923	6.4109	11.5181
RS_G16369__FAM101B__FAM101B	2.9511	1.0265	1.5763	2.6268	9.3524	1.5603	6.5765	7.1081	2.1504	3.8254	6.532	4.3797	5.5651	3.7832	1.8953	4.0257	6.4778	1.8729	8.5698	3.835	2.3843	1.8116	3.9783	0.79962	2.1654	1.441	0.18891	6.972	2.6499	4.7299	1.4567	2.4444	0.63941	0.87185	3.7364	1.6195	5.4731
RS_G13254__IRX1__IRX1	0	0	0	0	0	0	9.066	6.4132	0	0	0.24446	2.8355	0.71958	0.25437	0	3.6235	3.7902	0	0.86673	0	0.14025	0	0	0	0	0	0	0	3.8275	0	0	0	0	0	0	0	0
RS_G3490__CXCL12__CXCL12	0	0	2.9622	3.9301	0.4426	5.8654	3.0639	8.8931	1.0707	2.2694	3.4802	0.50156	0.42784	0	0	0	3.9302	0	6.1614	3.4437	4.9364	4.9118	0	0	4.2011	0	0	0.49502	0	0	0	2.6646	3.0752	0	3.6662	0	0
RS_G3540__NEURL__NEURL	3.6573	1.604	3.2167	5.0826	0.12804	3.0672	0.56345	0.076146	1.6913	4.6273	1.1639	5.7313	6.2309	0.38961	0.35474	3.8044	0.50272	3.7048	3.6771	4.3433	2.5675	5.907	3.7849	0.48852	0.94156	2.459	0.2406	0.43683	0.82688	0.53848	3.1075	1.336	6.0556	0.8311	3.9368	1.033	4.0827
RS_G9697__SACS__SACS	2.067	1.5539	2.7128	2.6618	7.5446	3.9356	3.7448	6.2877	3.522	2.4697	2.1369	4.2963	3.1799	3.5032	0.069102	3.8339	6.3153	2.2163	5.8931	1.7435	2.3215	0.95951	0.95544	5.6932	0.64456	0.83687	1.783	3.7786	3.1724	2.3061	1.7719	2.088	1.7195	0	1.5692	0.079871	3.5968
RS_G5394__HOXA7__HOXA7	2.1316	0	0.91753	0.40299	2.1784	0.11467	1.9831	5.33	0.89799	1.7442	0.7897	6.9085	5.3889	1.1347	0	1.2664	4.1871	4.3038	4.4576	4.0079	2.4767	0	1.3965	0	0.24811	0	0	2.2872	1.7227	3.9677	0.23142	1.0135	0	6.2771	0.76165	0.35786	1.3313
RS_G10674__PIP__PIP	2.9964	1.7353	9.5819	4.291	0	0	0	0	6.2869	1.4841	0.66661	0	0	6.4468	10.9728	0	0	3.1539	2.713	0.71805	1.8507	2.0123	6.3497	0	4.4832	5.3906	6.4578	0	0	0	3.8345	13.277	2.2284	7.4939	6.4281	8.3865	3.0258
RS_G4449__TP53I3__TP53I3	6.2147	5.1241	4.0524	3.1718	5.9533	5.2338	6.097	3.1749	5.1934	3.9811	5.0749	4.6901	5.846	6.3916	6.3165	7.5979	5.7409	4.9518	6.7277	5.8728	6.3196	6.9346	7.6764	7.1538	6.6031	7.0284	4.1156	6.9599	7.4397	7.1911	5.3831	11.8603	5.2288	6.0905	6.1034	3.6299	5.2564
RS_G12470__CORO6__CORO6	1.3736	5.0261	0.59829	1.6239	4.7642	1.2424	0.53723	2.196	0.58695	1.6114	3.6444	2.0788	3.9669	3.775	2.8041	4.9726	3.2655	1.2535	2.6312	0.73365	0.41837	2.0176	3.8302	3.9416	2.9862	3.0768	4.5564	1.1636	4.1819	5.1099	4.2711	2.3894	5.3274	2.2478	2.0977	0.47368	1.1167
RS_G2367__COCH__COCH	0.078931	0.32453	4.4732	4.4393	1.5191	0.72457	2.9099	3.5115	3.3733	1.9067	0	6.0282	4.5403	0.33689	4.8917	6.2127	6.6458	6.5294	1.6237	2.6078	2.9941	0.79188	2.5396	0	3.3829	0	0.55108	0.33616	4.0822	2.6193	0	0.31537	0.36014	0	2.087	0.57857	3.3283
RS_G2956__CALB1__CALB1	0.16433	3.2689	0	0	0	0	8.3575	0.7572	0.31228	0.88353	0	7.4103	6.0953	0	0	0	0.19873	7.4913	2.0952	0	0	0.63215	0.16333	0	0.050539	0.63474	3.062	0	0	0	0	0	0	0	0	0	0
RS_G2254__SEPT3__SEPT3	6.0681	2.128	4.9259	6.2715	4.0342	7.0323	5.5395	6.587	2.8368	6.2334	9.9177	2.4132	3.8373	5.0382	6.7193	6.0119	6.3541	7.4978	1.0676	3.8242	4.4659	7.7589	3.6069	2.331	4.6968	5.3424	1.0761	2.2186	3.1444	2.392	1.7564	4.2999	3.5537	3.9724	6.3302	3.649	6.7753
RS_G12785__SLC16A4__SLC16A4	3.8688	2.8627	1.8764	3.793	1.5098	3.7081	2.5332	3.8893	2.5505	2.9457	7.7481	1.8694	2.8096	1.1751	2.7355	4.7571	3.7372	3.9577	2.4846	2.1431	1.9558	3.4505	2.5055	1.342	2.4408	1.6133	4.4726	0.97355	2.3942	1.1238	1.7544	3.9175	0.53288	2.248	1.1295	4.1459	1.52
RS_G12940__ADRB2__ADRB2	2.1259	2.2301	0.49965	0.24995	2.5126	1.4958	4.5683	2.1427	0	0	0	6.4949	0.37353	0.68584	2.1863	4.184	0	0.74044	3.0343	0.94883	0	0.47096	4.401	8.309	0	1.0245	0.80363	3.1202	2.9832	5.7045	5.1544	2.4675	1.2577	3.4375	0	3.0767	0.35107
RS_G7691__FXYD6__FXYD6	5.7685	2.1274	2.1789	3.8716	0	0.3027	5.739	1.3528	0.57647	6.4826	6.0859	0.24504	4.7351	0.27962	0.541	4.212	1.002	0.38471	0.17696	4.1257	3.1482	4.0237	4.4754	0	2.9596	0	0	1.1793	0.55351	0	0	5.0247	3.1366	5.0017	2.8838	1.1372	1.5806
RS_G2490__SALL4__SALL4	0.87541	3.0032	3.7493	1.5847	0	0.22779	2.8696	2.4846	1.3087	0.46749	2.5464	5.4893	4.1678	1.6176	0.15106	0.48619	4.7341	2.6721	2.5211	3.5542	6.0056	1.2161	1.2598	0	3.7915	0	1.9441	2.9444	2.851	4.282	0	0	0.28931	0.29318	0.30869	0.17222	1.1997
RS_G1101__MAOB__MAOB	2.4035	0	0	0.19959	0	0.4643	0	1.0031	0.21252	3.3883	0.94929	0.7726	1.4445	0	0	3.8325	3.5977	4.021	0	0.3703	4.2996	3.4924	4.768	0	0.09587	0	0	0	2.7187	4.7326	0	0	4.3613	0	6.8913	0	3.6825
RS_G17181__CYP4X1__CYP4X1	3.2584	0.19578	3.5439	4.1191	0.40002	0.58507	2.5935	1.6836	1.8874	1.0942	0.19735	0.48011	0.59456	2.6567	1.1924	0.66645	0	7.9111	0	0	0.64786	1.6739	4.6775	0	1.502	0	2.2153	0	5.9057	4.6334	8.0328	4.8838	5.4748	4.5057	1.2638	2.2564	0
RS_G11089__FAM102B__FAM102B	4.7681	4.3549	4.9539	5.1912	4.7079	6.5703	4.2957	4.4037	6.2818	5.6482	4.1809	3.3366	4.1433	5.0864	1.249	6.1751	6.3835	5.8081	3.9008	5.9013	9.6937	6.6725	3.8133	7.2909	4.2476	3.6212	5.8356	4.6297	3.0788	1.297	4.307	4.2755	2.9334	2.9321	4.4104	1.7062	4.2158
RS_G14674__FOXC2__FOXC2	0	0	0	0	0	0	5.0339	5.3056	0.44201	0.21381	3.25	5.8163	4.8008	0	0	2.4171	1.153	0	8.6324	0.64546	0	0	0	0	0	0	0	5.6112	3.0385	3.8454	0.5871	0	0	0	0	0	0
RS_G17921__PTPLAD2__PTPLAD2	2.8764	0	0.37748	3.5493	0	0.50281	0.93382	0	0.19568	3.1289	1.9272	3.1817	1.3002	0.17185	1.5279	0	4.9924	7.1353	0.38818	0	0.18365	0.18487	1.0544	0	0	0	0	0.32372	0	1.1937	0	4.3219	1.7048	0.24699	5.0291	2.5148	4.9254
RS_G14071__HOXB2__HOXB2	0	1.4939	0.61128	3.8831	6.8712	2.1445	0	0.49328	8.0832	0.41649	0.51773	5.0166	1.9303	6.6224	6.3175	0	4.6361	7.1941	3.1744	0.43886	1.9508	0.16898	5.5597	0	5.126	7.0143	0	1.9493	0	5.4183	7.3697	8.5803	7.6631	6.7425	1.4454	11.1377	1.5406
RS_G8859__UCN2__UCN2	1.2845	0.29972	1.361	0	0	0.61433	0	1.8619	1.077	1.9504	1.1088	3.1138	1.5959	2.007	0	1.9642	2.2167	0	7.4621	0.92346	0.33255	0.7386	2.0482	4.0658	2.3384	2.7354	0	3.5893	4.6056	7.5876	2.913	2.3249	1.7045	3.1216	0	0.20231	0
RS_G18127__AKR1C3__AKR1C3	7.8865	3.0139	0	3.2792	1.3543	0	7.2095	11.8158	6.4508	2.379	1.5848	10.1685	6.4967	9.7433	0	9.7141	6.0956	11.7722	4.3654	2.3442	4.7688	4.2381	5.4436	5.5606	5.2548	0.65854	0	0	5.2862	7.8458	3.9155	3.6783	0.87677	4.7673	3.7279	1.1939	4.4293
RS_G11102__GFI1__GFI1	0.32649	0.70051	0.50763	0.76649	0.1702	0.33559	3.5668	0	2.6593	2.4133	0.98299	2.49	4.7036	3.765	0.46497	1.5354	1.2021	6.8254	1.0088	2.8421	2.4123	0.33864	3.6925	0.67616	1.2161	0	0.58898	0.30683	2.5007	3.8698	0.27475	0	0.42066	0.52871	2.0723	1.2638	3.9364
RS_G4436__CCL20__CCL20	1.9698	0	0	0	0.92801	0.95898	0.82603	1.8539	0.57533	0	9.1032	2.6324	1.6539	0.51556	0	6.5061	0.53131	1.0229	0.60805	0	0	0	0.45769	0.90037	0	0	0	0	6.4299	3.4352	0	0	0	0	0	0	0
RS_G5550__INHA__INHA	2.803	4.8975	2.2334	4.1783	3.3355	2.7597	0.72731	1.7803	2.3328	2.9138	4.8991	0.72573	2.4269	4.5893	3.0781	4.3798	0.93674	3.1222	0.68198	5.5781	5.2467	4.2458	4.8462	0	5.8881	4.6199	5.7173	4.7246	9.0315	5.2734	8.0172	4.0025	1.9518	10.1158	4.4776	1.4434	1.5657
RS_G4435__IL1A__IL1A	0.69823	0	0.28336	0.54584	0	0	0.15257	0.20064	0.35738	0.23797	1.0015	6.1503	3.2881	0	0	3.1838	0.76755	0.77038	0.20083	0.17577	0.17804	0.62026	0	0.4537	0.044939	0	0	0	2.6039	1.5682	0.36359	0	0.062155	0.12245	0	0.10604	0
RS_G6542__C1QL1__C1QL1	3.763	4.6965	0.75664	6.0783	6.7676	3.3057	7.5882	5.6589	1.999	4.6891	4.5608	2.6627	4.9491	2.2673	0	5.8265	4.975	2.0219	4.1685	5.4241	5.4863	4.5279	3.8951	3.1588	3.6742	0.55244	4.3193	4.3657	9.8207	4.538	3.6612	6.0295	4.0256	3.5289	6.7244	2.3614	5.8191
RS_G10072__APCDD1__APCDD1	3.6283	0	3.4981	1.7279	5.1196	0.94106	8.1676	5.0126	4.698	4.311	0.49093	0.3134	4.4235	0.7662	0	5.3693	0.79178	4.2019	6.4553	4.2763	1.278	2.5733	3.1425	0.77135	4.5634	0	0	1.5594	0	0	3.1684	0.75881	4.9168	1.234	3.3698	3.4677	2.6144
