Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg00459975__HMBOX1	0.039522	0.029774	0.054007	0.036204	0.03598	0.045407	0.050857	0.077819	0.037549	0.021816	0.081186	0.037736	0.030011	0.083648	0.027681	0.028474	0.81126	0.050635	0.45644	0.042895	0.39566	0.047642	0.19031	0.041171	0.050461	0.047816	0.038106	0.32461	0.34747
RS_G5427__SRGN__SRGN	0	0.86436	0	0	1.889	0	0	0	0.63384	1.2829	0.89407	3.0125	6.0192	0	0.3731	0	0	0	9.9268	0	0	0	2.0368	0	3.6571	3.931	0	0.7318	0
Meth__cg00918005__REG3G	0.26406	0.031475	0.72241	0.02899	0.04975	0.41682	0.31524	0.047778	0.57417	0.41454	0.14365	0.051394	0.034809	0.12534	0.037726	0.043386	0.39129	0.31686	0.16202	0.049876	0.3855	0.046597	0.039331	0.15312	0.07183	0.096541	0.044771	0.056515	0.036532
Meth__cg15952487__CD1B	0.27438	0.072705	0.13806	0.068041	0.074874	0.080741	0.094737	0.10217	0.10027	0.068672	0.11914	0.062033	0.064368	0.12495	0.062592	0.20631	0.097916	0.60156	0.13841	0.10241	0.27382	0.1732	0.078906	0.097504	0.093637	0.10665	0.084911	0.36496	0.25602
Meth__cg05828624__REG1A	0.59271	0.11688	0.88003	0.090413	0.14558	0.76402	0.66054	0.12989	0.31849	0.62568	0.14474	0.33424	0.12905	0.24965	0.090954	0.10497	0.14491	0.47312	0.20518	0.1462	0.70619	0.1746	0.51529	0.8387	0.11224	0.125	0.14362	0.3206	0.17422
Meth__cg05244766__GSTP1	0.11996	0.31668	0.59114	0.13064	0.91995	0.24906	0.096652	0.10367	0.092844	0.81803	0.84734	0.82193	0.66551	0.25034	0.73132	0.10645	0.15052	0.079807	0.69169	0.3036	0.22101	0.31736	0.12437	0.17248	0.70816	0.12283	0.10561	0.0508	0.040223
Meth__cg15852879__ASB6	0.030309	0.022252	0.02861	0.020691	0.022601	0.028633	0.56993	0.033645	0.062088	0.021902	0.029803	0.019075	0.025567	0.049991	0.014437	0.025212	0.028771	0.024726	0.042489	0.029098	0.042277	0.03493	0.029513	0.020566	0.025246	0.037011	0.03861	0.032375	0.037197
Meth__cg23435746__TWSG1	0.11315	0.072101	0.82809	0.19686	0.12496	0.62371	0.22688	0.31715	0.14611	0.38185	0.19022	0.10757	0.12352	0.22234	0.08794	0.10324	0.20851	0.13604	0.26869	0.63785	0.87652	0.18746	0.050225	0.056554	0.10786	0.19795	0.11542	0.64589	0.90075
Meth__cg03657766__DLX2	0.45283	0.057424	0.77506	0.053543	0.050894	0.23102	0.036701	0.073423	0.057398	0.053744	0.10561	0.056122	0.042268	0.096357	0.037371	0.071866	0.073754	0.86001	0.88225	0.21062	0.92236	0.075773	0.02342	0.025019	0.11256	0.090441	0.091258	0.75415	0.54148
Meth__cg21692936__SLC3A2	0.15533	0.032128	0.058824	0.065631	0.031843	0.67247	0.051878	0.35874	0.041935	0.073305	0.052323	0.038842	0.022306	0.12615	0.029685	0.035425	0.11604	0.32272	0.043097	0.51248	0.063666	0.09378	0.033009	0.026652	0.06548	0.028923	0.14795	0.078467	0.05832
Meth__cg01862366__TMEM20	0.062449	0.060166	0.33008	0.032565	0.030722	0.069522	0.08647	0.032117	0.057634	0.063391	0.07346	0.031137	0.034773	0.085757	0.035524	0.064832	0.25156	0.13572	0.072549	0.16457	0.74092	0.072408	0.031905	0.40355	0.029861	0.070377	0.46072	0.043066	0.032287
Meth__cg22672790__GABRA6	0.89531	0.41649	0.89311	0.64329	0.073862	0.77026	0.10743	0.47545	0.65255	0.22912	0.25671	0.17284	0.14785	0.20888	0.07695	0.64146	0.49186	0.90288	0.11925	0.44467	0.69858	0.1462	0.06827	0.28479	0.068845	0.093436	0.095582	0.89679	0.82028
Meth__cg14550518__ZNF659	0.28245	0.024115	0.65838	0.071339	0.026826	0.20037	0.13258	0.044228	0.12295	0.056957	0.16407	0.16814	0.046078	0.11533	0.027735	0.039466	0.69865	0.038355	0.72278	0.056937	0.77974	0.052541	0.039221	0.41793	0.13408	0.044002	0.037167	0.23984	0.25774
Meth__cg14080001__SH3PX3	0.083675	0.049276	0.25246	0.039691	0.049568	0.12499	0.28488	0.049744	0.067712	0.027172	0.087198	0.050793	0.045022	0.11571	0.039914	0.068451	0.4076	0.051197	0.084629	0.083026	0.066969	0.055103	0.05553	0.05067	0.034527	0.074591	0.39573	0.041862	0.052996
Meth__cg05284582__DNAJC18	0.038495	0.032722	0.072032	0.032739	0.032117	0.036883	0.047455	0.040794	0.037921	0.030954	0.095605	0.03636	0.038082	0.073724	0.023808	0.035336	0.042309	0.026495	0.065935	0.044529	0.071647	0.047415	0.028883	0.061617	0.031152	0.055123	0.041806	0.48293	0.89614
Meth__cg18644543__HMHA1	0.039363	0.29096	0.16589	0.028711	0.92001	0.073734	0.082018	0.051529	0.051523	0.26737	0.4757	0.90524	0.055734	0.050353	0.91589	0.90362	0.050078	0.039274	0.060338	0.068311	0.34415	0.087646	0.12564	0.15813	0.79568	0.058307	0.050158	0.042628	0.037687
Meth__cg27032352__C21orf94	0.40069	0.073468	0.6167	0.29524	0.12116	0.39229	0.39763	0.29751	0.16216	0.2605	0.20523	0.13492	0.20809	0.13134	0.084989	0.10967	0.79298	0.72462	0.11471	0.30802	0.50315	0.29741	0.046252	0.098029	0.10033	0.23805	0.12384	0.31018	0.23063
Meth__cg25853078__OPCML	0.17966	0.064238	0.33795	0.064953	0.33362	0.65869	0.85871	0.10961	0.74045	0.21309	0.35957	0.086981	0.27013	0.22229	0.45661	0.18863	0.80299	0.81731	0.47337	0.4804	0.45134	0.053129	0.13364	0.24738	0.79136	0.19877	0.54951	0.43726	0.64338
Meth__cg01947224__ZNF416	0.040975	0.019145	0.033509	0.018661	0.019724	0.043614	0.047966	0.021002	0.03328	0.020744	0.067904	0.028012	0.028879	0.048766	0.019435	0.027415	0.038338	0.0546	0.047213	0.033418	0.26547	0.037213	0.031692	0.028597	0.027865	0.19256	0.068716	0.03866	0.032064
Meth__cg00950621__STARD5	0.024157	0.023132	0.02823	0.027589	0.024549	0.028139	0.40429	0.026499	0.029263	0.022548	0.050525	0.023087	0.023266	0.052345	0.023401	0.021776	0.027555	0.024265	0.059233	0.028453	0.12265	0.024026	0.015008	0.016656	0.026908	0.044273	0.027047	0.02961	0.034727
Meth__cg06942445__TRO	0.77156	0.020993	0.79459	0.46917	0.024242	0.61942	0.97017	0.022255	0.90812	0.46907	0.49731	0.045223	0.016652	0.033725	0.34638	0.27617	0.80398	0.95049	0.10563	0.48717	0.59232	0.024253	0.038526	0.030809	0.35709	0.028722	0.80816	0.39825	0.19701
Meth__cg14654926__FGF10	0.34621	0.017131	0.9593	0.27196	0.70783	0.9346	0.97556	0.055336	0.93356	0.55884	0.16017	0.89917	0.038637	0.11764	0.16543	0.85302	0.86042	0.51889	0.29758	0.88104	0.86513	0.03353	0.034599	0.9368	0.27703	0.043127	0.059183	0.85702	0.89915
Meth__cg06038049__CPSF3L	0.014639	0.011391	0.020107	0.016572	0.016067	0.019613	0.58661	0.0201	0.024711	0.015934	0.011169	0.014016	0.015827	0.025085	0.014629	0.018469	0.017105	0.01689	0.062182	0.019752	0.04156	0.022481	0.015045	0.013425	0.011843	0.074344	0.020005	0.021727	0.020121
RS_G28131__FAM24B__FAM24B	4.0501	2.9345	2.3534	2.4469	4.9408	3.9313	0	4.2709	0.53458	6.1477	4.7625	4.6012	4.8141	4.5653	5.0385	4.9806	0.33137	4.7668	5.0183	4.1747	4.8854	3.6753	6.337	3.3251	11.7746	5.008	4.263	0	0
Meth__cg27375072__SMPDL3A	0.031578	0.027269	0.049984	0.024679	0.029798	0.065823	0.037275	0.050524	0.034554	0.025353	0.07989	0.032062	0.024449	0.06382	0.021625	0.032524	0.40074	0.035417	0.050513	0.042425	0.064491	0.033901	0.028466	0.025561	0.026914	0.078478	0.041571	0.04069	0.035046
Meth__cg14070647__RSPO2	0.34044	0.073636	0.45396	0.035067	0.51254	0.75268	0.19841	0.052658	0.58059	0.052129	0.084995	0.060554	0.037408	0.10263	0.37806	0.36056	0.3811	0.75066	0.85796	0.27348	0.72526	0.11471	0.03945	0.056276	0.42308	0.059521	0.30773	0.6394	0.75356
Meth__cg22492020__FLJ20516	0.13526	0.099952	0.12733	0.1674	0.06342	0.073527	0.090892	0.25254	0.057956	0.053618	0.067828	0.06073	0.059048	0.11692	0.059138	0.070665	0.38023	0.30821	0.093854	0.090132	0.077187	0.11271	0.076951	0.062252	0.062927	0.057988	0.32902	0.17517	0.090952
Meth__cg07330329__TRIM48	0.39161	0.065597	0.39617	0.12532	0.062487	0.41774	0.1816	0.080043	0.44044	0.25934	0.07149	0.077626	0.054476	0.19588	0.125	0.15743	0.13627	0.3495	0.10679	0.18739	0.10526	0.082513	0.086803	0.10317	0.091285	0.10824	0.048917	0.21578	0.2038
Meth__cg25259754__FCRL3	0.15805	0.023578	0.11816	0.048352	0.038932	0.04355	0.05195	0.056115	0.091266	0.04565	0.67433	0.039747	0.035151	0.18581	0.04572	0.059012	0.046564	0.055462	0.087869	0.061837	0.077698	0.071605	0.038518	0.047377	0.036798	0.089494	0.10556	0.099345	0.10262
Meth__cg15375586__TBX22	0.11265	0.027187	0.5219	0.41129	0.23215	0.93582	0.6932	0.53615	0.69981	0.20259	0.11601	0.06266	0.076819	0.057833	0.041654	0.74555	0.59639	0.15942	0.23086	0.87164	0.72686	0.055886	0.031713	0.47648	0.3404	0.20751	0.45529	0.16984	0.54488
Meth__cg17738194__GK2	0.2854	0.0403	0.67279	0.65898	0.051928	0.30027	0.67077	0.088837	0.31965	0.14481	0.10723	0.054696	0.049814	0.12751	0.051458	0.25561	0.59408	0.82423	0.24394	0.30908	0.37201	0.10443	0.089106	0.26769	0.3278	0.10937	0.17244	0.13877	0.10243
Meth__cg12493906__MMP26	0.45574	0.049547	0.22695	0.078322	0.065002	0.70994	0.45758	0.067594	0.46718	0.10442	0.44701	0.1917	0.074984	0.12257	0.035773	0.085811	0.89886	0.10629	0.072452	0.3071	0.069712	0.053626	0.056602	0.66742	0.12348	0.20673	0.073748	0.57077	0.47994
Meth__cg06793062__CNTNAP4	0.85177	0.087703	0.88208	0.83149	0.084605	0.81059	0.27456	0.41517	0.86697	0.22813	0.11681	0.22075	0.21319	0.044883	0.030684	0.36119	0.9084	0.84856	0.044343	0.50738	0.83422	0.069705	0.23254	0.60134	0.26958	0.028479	0.041662	0.70416	0.62346
Meth__cg14776962__HIST1H2BH	0.39415	0.12265	0.25695	0.073729	0.28397	0.78275	0.76107	0.14064	0.15523	0.13607	0.48907	0.09824	0.10053	0.25169	0.078335	0.12114	0.14297	0.41218	0.66829	0.17382	0.19427	0.15686	0.10866	0.09826	0.76301	0.15045	0.80197	0.72588	0.70047
Meth__cg07267296__HMBOX1	0.033357	0.029533	0.039924	0.032684	0.030508	0.057045	0.050502	0.043716	0.029664	0.049327	0.064718	0.036794	0.025022	0.064982	0.033618	0.036277	0.94924	0.07227	0.54577	0.050774	0.042794	0.041112	0.036782	0.042872	0.036041	0.11382	0.03818	0.34168	0.25133
Meth__cg11700584__RPL36AL	0.05321	0.042894	0.45248	0.032659	0.048744	0.064331	0.058884	0.04513	0.079348	0.075345	0.050955	0.047698	0.023077	0.10137	0.038071	0.04033	0.069317	0.84651	0.043915	0.078739	0.079451	0.055195	0.050412	0.033083	0.040256	0.057924	0.18319	0.057408	0.032007
Meth__cg13975625__NPY5R	0.058912	0.036004	0.66024	0.047996	0.32218	0.74921	0.95291	0.92799	0.61199	0.13101	0.56115	0.79759	0.065813	0.16731	0.18483	0.78711	0.38129	0.35775	0.6835	0.90969	0.6772	0.066851	0.052005	0.30489	0.25839	0.11307	0.44161	0.71868	0.67001
Meth__cg10154926__HAP1	0.05149	0.022167	0.043959	0.027332	0.030192	0.054171	0.053109	0.032846	0.45826	0.034084	0.061506	0.027348	0.031097	0.092373	0.042499	0.031057	0.030677	0.034156	0.82013	0.037825	0.12692	0.040177	0.034835	0.022574	0.034782	0.032381	0.044504	0.035863	0.0367
Meth__cg02217159__KHDRBS2	0.39619	0.031793	0.92741	0.45692	0.58372	0.83821	0.9614	0.050885	0.86094	0.73576	0.25459	0.59603	0.31553	0.36988	0.11533	0.12334	0.55324	0.42473	0.80883	0.36369	0.86539	0.057263	0.5262	0.47622	0.34206	0.047607	0.40433	0.65143	0.6091
Meth__cg00216361__GAP43	0.18379	0.030707	0.37669	0.038462	0.092419	0.60721	0.94297	0.044896	0.18937	0.71057	0.055361	0.085214	0.036246	0.047988	0.042178	0.03475	0.87407	0.045706	0.59274	0.047788	0.30754	0.08467	0.041953	0.31243	0.067612	0.0449	0.035752	0.17588	0.36933
Meth__cg15401952__KCNIP4	0.43554	0.062348	0.6507	0.058579	0.11317	0.45848	0.6966	0.080218	0.54311	0.23019	0.10363	0.11433	0.084012	0.19555	0.071149	0.081711	0.14014	0.097438	0.24786	0.068244	0.19902	0.11406	0.070244	0.47172	0.18124	0.10123	0.077857	0.18401	0.11699
Meth__cg02515422__TLR4	0.28382	0.076106	0.30517	0.15151	0.23457	0.56679	0.10261	0.068798	0.19977	0.1034	0.081401	0.15921	0.088087	0.16222	0.080622	0.091572	0.75186	0.095516	0.14634	0.13909	0.21144	0.08661	0.090181	0.10478	0.14604	0.10923	0.1212	0.38782	0.31617
Meth__cg12991365__CHDH	0.076562	0.15675	0.10798	0.21344	0.8262	0.072421	0.057978	0.067687	0.11549	0.41134	0.80163	0.52277	0.081135	0.2131	0.10982	0.16549	0.094777	0.35357	0.64773	0.070088	0.073546	0.19989	0.071846	0.078347	0.86297	0.16658	0.11028	0.09832	0.076314
Meth__cg19021732__C15orf29	0.086795	0.055691	0.15253	0.065406	0.071838	0.064341	0.36019	0.11144	0.078116	0.047544	0.073526	0.061652	0.058811	0.092566	0.049896	0.08251	0.14005	0.060536	0.13514	0.084374	0.17306	0.059587	0.053395	0.057102	0.11312	0.041396	0.076883	0.055118	0.0583
Meth__cg14686321__FLJ31951	0.10996	0.061095	0.81033	0.79157	0.039047	0.66688	0.071703	0.3677	0.042155	0.039587	0.090916	0.047426	0.038231	0.067608	0.27686	0.50943	0.89008	0.79033	0.098761	0.81148	0.76983	0.08182	0.034303	0.045957	0.038448	0.14528	0.52683	0.49196	0.77008
Meth__cg03403539__NUPL2	0.060468	0.032806	0.044529	0.047143	0.049754	0.056506	0.047327	0.094404	0.050881	0.045378	0.06173	0.062246	0.047288	0.16388	0.040159	0.047235	0.057692	0.046046	0.12298	0.057048	0.096398	0.051509	0.043946	0.055213	0.031427	0.093188	0.049207	0.07523	0.28206
Meth__cg03086857__EDNRB	0.90774	0.040041	0.92459	0.7845	0.48191	0.91146	0.91971	0.049301	0.90535	0.30949	0.27958	0.74718	0.11271	0.11388	0.19739	0.26901	0.33794	0.95136	0.90313	0.92012	0.26886	0.19462	0.035997	0.038259	0.20729	0.090275	0.40969	0.82597	0.63561
Meth__cg21950493__ATPBD1C	0.079966	0.056524	0.50959	0.10319	0.08053	0.081505	0.065151	0.3431	0.094724	0.057088	0.10171	0.073038	0.0633	0.10661	0.053295	0.069186	0.073514	0.065379	0.14921	0.08725	0.16351	0.11921	0.051939	0.072528	0.072565	0.044649	0.095783	0.1032	0.083996
Meth__cg10521852__EDG4	0.045064	0.81502	0.33023	0.66776	0.9288	0.6538	0.057278	0.73513	0.09355	0.37893	0.10057	0.91165	0.418	0.0582	0.58122	0.08684	0.64664	0.19878	0.074657	0.07384	0.86358	0.65297	0.72063	0.043829	0.80533	0.88099	0.50325	0.18188	0.50264
Meth__cg20877313__GLS2	0.031986	0.37903	0.037527	0.024241	0.75943	0.030338	0.040941	0.027957	0.97264	0.066679	0.095578	0.92728	0.097449	0.030751	0.96527	0.8443	0.030161	0.022067	0.62196	0.68387	0.03805	0.22582	0.16503	0.025537	0.87886	0.4706	0.031298	0.055784	0.032912
Meth__cg15091337__POLE4	0.070451	0.039469	0.64588	0.065838	0.059645	0.070272	0.061608	0.077027	0.043945	0.086256	0.11555	0.061983	0.059526	0.097004	0.036828	0.060305	0.18727	0.045447	0.10587	0.28191	0.093716	0.064915	0.044327	0.069144	0.05075	0.087978	0.063321	0.13744	0.12079
Meth__cg26918645__ZNF285	0.69723	0.021785	0.94102	0.1045	0.11059	0.95266	0.92594	0.10873	0.93409	0.024036	0.39523	0.15739	0.058445	0.11072	0.43156	0.25036	0.57517	0.074698	0.6185	0.15029	0.63967	0.04203	0.032127	0.20474	0.38799	0.16051	0.19274	0.15777	0.21984
RS_G16693__ZBTB7C__ZBTB7C	4.9082	2.1996	7.6395	5.8051	0	0.99374	5.0083	5.4933	0	2.3605	3.7543	0.27205	0.62879	6.1524	1.7838	0.14048	5.198	5.4074	0.36556	7.5242	8.3673	3.3857	2.6545	2.9881	1.2642	2.1151	5.5966	5.5484	2.8967
Meth__cg17173423__MS4A3	0.86027	0.055443	0.88235	0.26151	0.076988	0.6842	0.4508	0.13339	0.70914	0.45963	0.67265	0.40666	0.15219	0.13572	0.12818	0.32767	0.39922	0.77648	0.2498	0.72073	0.21183	0.10183	0.081574	0.23707	0.2272	0.25187	0.28859	0.56238	0.73303
Meth__cg12109455__DPYSL4	0.32062	0.060406	0.64289	0.23803	0.58542	0.85627	0.61916	0.88422	0.05933	0.47603	0.86995	0.045545	0.059929	0.15259	0.51598	0.066278	0.55942	0.066347	0.89286	0.9001	0.89839	0.097539	0.049389	0.57953	0.038502	0.82608	0.50959	0.55279	0.59233
Meth__cg04962134__TRIM51	0.48978	0.03257	0.41912	0.2148	0.40642	0.60961	0.5416	0.046795	0.53144	0.33468	0.13493	0.48944	0.26591	0.13094	0.048687	0.067823	0.33735	0.44208	0.14701	0.14533	0.4938	0.051698	0.16284	0.38713	0.068173	0.13457	0.19256	0.44837	0.41456
Meth__cg08097755__VGF	0.3521	0.045818	0.19393	0.054893	0.047634	0.62383	0.75837	0.26886	0.097217	0.19269	0.56584	0.11433	0.78402	0.27827	0.046483	0.051988	0.058131	0.20465	0.85333	0.66002	0.49088	0.043653	0.039292	0.051993	0.048334	0.097105	0.071214	0.18501	0.047869
