Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__LCE3C	-1.958	0.495	-2.398	-0.129	-2.13	-1.861	-1.961	-2.495	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-1.693	-1.825	-2.024	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	0.833	-0.582	-0.172	0.716	-1.643	0.268	-0.255	-0.111	0	-1.569	-2.222	-1.451	-2.241	-1.976	-1.915	-2.744	-2.627
SNP__SLC25A24	0.014	0.102	0.444	-0.243	-0.156	0.224	0.456	0.01	-0.06	-0.518	-0.31	-4.153	0.005	-0.041	-0.132	0.296	-0.216	0.04	-3.632	0.224	0.636	0.251	0.226	0.538	1.121	-0.126	0.534	-0.172	-0.032	-0.063	0.268	0.164	0.188	-4.56	-3.419	0.083	-0.27	0.043	-4.56	-0.303	-0.389	-0.36
SNP__CFHL4	0.651	0.5	0.162	0.706	0.482	0.492	0.442	0.058	2.355	0.418	-2.181	0.09	-0.838	0.434	0.253	0.026	0.136	-1.672	0.176	0.221	2.628	-2.421	-0.061	0.408	0.351	0.315	0.099	2.833	0.39	0.745	0.263	-0.264	-1.268	0	0.029	0.153	0.243	0.291	0.282	1.222	0.569	-2.009
SNP__RNF152	0.013	-0.2	-0.881	0.086	-0.162	-2.938	-0.178	-1.059	0.299	-0.247	-0.936	-0.47	-0.079	-0.426	-0.773	-1.002	-0.56	-0.318	-0.825	-0.456	0.725	-0.217	-0.028	-0.461	-0.556	-0.637	-1.075	-0.73	-0.548	-0.031	-0.216	0.137	-0.198	-0.015	-0.16	-3.815	-0.028	-0.793	-0.615	-0.284	0.239	0.234
SNP__LOC645532	0.007	0.125	0.185	0.108	0.164	0.226	0.439	0.123	0.797	-0.233	0.118	-0.189	-0.009	0.016	-0.155	0.284	-0.236	0.039	-0.318	0.581	-0.019	-0.26	0.356	0.244	-2.168	0.414	0.366	-0.158	0.3	-0.052	0.033	0.474	-0.195	0.037	-2.549	0.25	0.037	0.218	0.053	0.061	-2.489	-3.192
SNP__FHIT	0.008	-0.512	-0.843	-0.527	-0.136	-1.144	-0.552	0.538	-0.124	-0.233	-0.319	0.088	-3.014	-0.436	-2.443	-0.429	-0.127	-2.869	-0.262	-1.066	-0.422	-0.748	0.159	-0.429	-0.566	-0.69	-0.584	-0.186	-1.065	-0.058	-0.613	-0.183	0.859	0.017	-0.265	-0.361	-2.101	0.266	-0.31	-0.272	-0.059	-0.371
SNP__C20orf133	0.013	0.478	-2.773	-3.412	0.535	-2.106	0.09	-0.023	0.165	0.439	0.29	-0.718	-3.747	0.552	-0.752	-3.208	-2.113	-3.5	-2.389	0.214	0.422	-3.787	0.305	0.243	-0.409	-0.69	0.143	-3.628	0.252	0.31	0.582	-0.578	0.868	0.028	0.109	-0.267	0.024	-0.782	-0.292	-3.619	-0.277	-0.375
SNP__FLJ20433	0.003	-0.163	-3.396	0.153	0.184	0.228	0.458	0.293	0.184	0.151	0.104	1.253	0.274	0.007	-0.09	0.062	-2.744	-0.017	-0.066	-2.514	0.146	-0.01	-0.088	-0.038	0.095	-0.133	0.089	1.099	-0.163	-1.534	0.047	-0.158	-0.198	0.02	-0.131	-0.147	0.091	-0.054	0.292	-0.296	-0.066	0.024
SNP__SMAD4	0.013	-0.541	-0.881	0.086	-0.128	-0.147	-0.178	-1.059	-0.444	0.428	2.935	-0.47	-0.437	-0.426	-0.773	-1.002	-0.497	-0.318	-0.803	-0.454	-0.443	-0.217	-0.028	-0.461	-0.556	-0.641	-0.525	-0.405	-0.548	-0.031	-0.56	0.211	-0.147	-0.015	-0.168	-0.629	-0.367	-0.793	-0.615	-0.284	0.239	0.234
SNP__EB-1	0	-0.231	-0.895	0.219	0.241	-1.335	0.268	-2.015	-0.404	-0.23	-0.324	0.09	0.473	-1.84	-0.148	-0.221	1.403	-0.99	-2.498	-0.286	-0.029	-2.022	-0.242	0.183	0.101	-1.554	0.134	0.719	0.221	-0.062	-0.271	0.162	-0.278	0.011	-1.876	-0.239	-0.004	0.561	0.315	-0.262	-0.046	-0.007
SNP__SIRPB1	-0.723	-0.75	-0.607	2.227	0.526	0.315	0.09	-0.904	0.894	2.387	1.953	1.354	-1.052	0.597	-0.126	-1.977	0.541	-0.649	-0.38	-0.347	1.928	1.238	-0.928	-0.394	-0.577	0.127	-0.66	-0.878	1.641	2.051	0.42	-0.216	-0.546	1.408	1.834	1.423	0.043	-0.677	0.056	-0.282	-3.013	-2.989
