Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G12178__SERPINB7__SERPINB7	0.9442	0	0	0	5.6432	0	4.7067	3.7483	0	0	5.5995	5.3599	5.0834	3.2114	4.5919	3.2161	2.0948	3.124	0	0	0.75502	3.0792	2.3119	0	0	9.9222	2.1682	0	4.6954	0.18709	3.6766	0.6301	0	0	0	0
RS_G3155__CEACAM5__CEACAM5	7.7277	3.0865	5.2121	4.8633	0.070684	0.77155	0.33646	0.23729	6.8653	2.8689	0.19396	1.5222	1.9951	3.6506	0.67372	0.38368	1.983	0.44479	4.5313	5.7591	1.2814	6.2762	0.25678	6.8029	0.24994	1.5637	1.7276	0	0	5.413	0.66264	3.5968	3.7252	3.876	4.8808	6.2929
RS_G11429__CXCL3__CXCL3	0.33948	0	0	0	3.4106	0	2.5204	3.2775	0	0	4.4838	3.1649	1.7437	1.4393	4.6319	3.5497	3.3576	4.5588	0.22001	0	0	0.6239	2.2938	0	0	6.3879	0	6.9196	8.1321	1.9658	2.8659	0	0	0	0	0
RS_G5919__SLURP1__SLURP1	1.6964	3.5263	0.83884	1.8081	0	0.79327	0.67817	0	6.8835	1.3081	0	0	3.6621	0.41528	0	0	2.1742	0	4.2731	2.746	0	5.2151	0	2.0254	0.72351	1.335	0	0	0.79023	4.85	0	2.5992	3.9811	3.3385	2.0289	1.0161
RS_G11101__FAM5C__FAM5C	0.21266	3.6632	2.4902	0.60928	0	0.91414	0	0.38169	7.4316	0	0	1.3209	0	0	1.0654	0.72076	4.5769	1.4133	3.7182	0.61657	0	2.7863	0	6.0253	7.372	0	0.68983	0	0	5.1657	0	0.90882	0	6.6578	9.1072	8.0858
RS_G16925__AHNAK2__AHNAK2	2.7225	0.32426	0.85377	2.7863	5.6329	5.2479	8.636	6.0167	1.9327	4.4501	1.9293	5.065	4.1081	4.5002	5.196	4.1838	4.2729	5.531	2.8578	2.6507	4.2443	6.7325	4.6099	0.72887	0.4055	3.6185	0	9.8171	6.7573	4.612	6.1168	1.6537	2.9451	3.4654	2.6246	3.0882
RS_G13234__AC135457.2__AC135457.2	4.438	5.5184	2.9816	4.176	0	4.1144	0.57084	0.81969	8.4437	3.1298	0.76268	0	0.3818	0.91582	0.58332	0	0	0.90435	1.9106	3.1711	4.0342	2.8411	0.1258	6.1146	7.5507	0	4.8409	0.23253	0	4.1265	0	0.80114	3.9769	3.6333	6.1201	5.5207
RS_G18399__COL27A1__COL27A1	8.0644	3.0828	2.0741	2.2689	4.6199	1.0949	3.2578	2.9569	0.90782	3.614	5.2826	5.3374	4.1576	2.523	3.6506	5.6747	0.97574	3.8578	2.98	2.2347	3.7904	2.5515	4.1375	4.2895	0	6.1948	0.59387	3.3792	4.4903	2.0468	2.0487	0.68578	1.3211	3.9043	3.7676	2.8506
RS_G9369__ADAM12__ADAM12	0.37678	0.38403	0.24804	0.42494	8.3315	0.049067	5.2786	9.4472	0.32772	0.19292	0	3.2172	3.5568	1.5722	5.4117	9.4437	3.6546	8.4025	0.09372	0.095561	2.8231	0.14991	1.2518	0.04683	0	4.3271	0	8.5985	2.6669	0	2.3223	0	0.767	0.51386	0.25878	0.42998
RS_G2995__SLC39A14__SLC39A14	6.5459	5.6769	5.6594	5.6152	8.7657	6.1716	7.0063	7.7195	6.3535	6.2607	9.1892	7.0224	6.7042	5.8478	7.8421	8.046	5.0282	8.6902	5.9951	5.871	5.7726	6.4523	7.8138	5.2543	5.461	9.0738	6.3889	11.4705	6.4913	4.5856	7.4146	6.5071	6.5466	6.7714	6.9246	7.2669
RS_G7983__GLIPR1__GLIPR1	0.55287	0.2859	0.94121	0.19873	8.8142	0.67508	3.8198	6.0225	0.83764	0.62063	3.6456	5.4165	4.5642	4.8421	6.5035	8.1578	4.0803	7.825	0.6577	0.57361	0.73209	1.9436	6.5993	0.1263	0	4.548	1.235	1.7892	3.8954	0.71376	4.6243	0.72126	1.595	0.29975	0.35881	0.094808
RS_G16385__ASCL2__ASCL2	1.3561	1.7678	6.3934	5.118	0	0.60927	3.6364	0	7.9802	1.7904	3.6262	1.2266	0.97424	1.6838	0	0	0	0	6.1358	5.1486	2.6192	3.8314	0	4.9558	2.2584	3.9371	1.324	0	0	5.8229	3.1506	4.2456	3.9544	6.2684	5.2367	5.0406
RS_G463__VIM__VIM	2.9652	2.2052	5.3309	4.7875	13.722	3.764	13.663	13.843	4.156	0	10.3261	6.4127	8.4787	10.5793	11.7234	13.9024	10.1043	15.089	6.8882	3.1521	9.4838	11.1994	13.7198	1.8929	3.5908	12.9747	2.3972	16.3769	9.8039	3.625	11.237	3.9594	5.7587	8.8159	3.9298	0.37376
RS_G1729__CEACAM6__CEACAM6	11.2531	7.9363	10.8111	5.9404	0	1.8647	1.1825	1.3513	10.349	2.7211	0	3.8865	5.1973	10.3268	2.3833	0	9.8898	0.33274	7.0239	6.9464	1.0683	5.9412	0	8.5402	0.18692	3.1528	7.701	0.64487	0	10.0528	1.3566	4.5531	5.094	6.3261	7.8943	9.4952
RS_G10339__NRG1__NRG1	0.58693	0	0	0	7.7389	0.19465	1.7934	2.0408	0	1.7451	0.088641	8.0487	5.3378	0.13453	4.7885	5.8443	0.70526	6.4738	0.096448	0	0	1.3846	6.0583	0	0	0.13811	0	5.8239	1.5169	0	1.5046	0.30151	0	0	1.9553	0.64638
RS_G2210__PRODH__PRODH	6.6996	8.8601	8.1502	4.8255	0.12095	8.7378	5.7577	0.77143	8.8848	5.7828	1.603	2.3836	5.1535	2.1092	3.4667	0.7919	0.3561	1.043	4.9495	1.9741	5.4938	7.7774	0.11484	10.9405	11.3567	6.7245	8.0182	1.3588	2.1155	10.7743	4.0417	8.8787	7.139	7.072	9.1687	9.3919
RS_G11321__IGFBP7__IGFBP7	0.48984	0.20472	0.64677	0.22802	4.9569	0.60953	10.1072	4.3762	0	0.96387	5.4059	8.8986	8.1983	0.71009	9.7724	4.1764	5.9428	11.5239	1.4949	0.22795	0	0.6282	9.8327	0.10584	0.93944	10.3537	0	0.70873	4.6982	7.9681	9.9865	0	2.6526	3.9518	0.57635	0
RS_G6523__AKAP12__AKAP12	0.48642	0.34772	0.16809	2.1495	5.5885	0.33163	6.7678	0.96527	0.96731	3.3321	2.3494	6.1267	4.1382	1.0678	2.8552	8.078	0	5.7452	2.4205	3.1946	0.68596	1.622	8.2417	0.16066	0.07179	1.6561	0	4.598	3.5179	0.14966	6.5708	0.9599	3.6759	1.7645	0.4458	0.6065
RS_G5632__POF1B__POF1B	3.5829	2.9715	6.5667	4.6059	0	3.611	1.8493	0	5.1177	8.4924	0.11745	1.93	0.5287	1.2403	0.74799	0.9373	5.002	0	2.5362	5.5091	2.4432	0.41607	0	4.135	0.95867	0.55468	2.3599	0	0	4.4269	1.5172	1.4106	1.9519	0.56039	5.3682	2.3153
RS_G13976__AGR3__AGR3	0.96279	0	5.0594	7.9502	0	0	0	0	7.9209	0	0	0	0.80972	1.3525	4.4427	0	7.9863	0	0.96382	4.7527	1.5785	2.7431	0	2.8728	0	0	0	0	0	2.4631	0	5.5046	5.7254	4.8488	7.679	0.75138
