Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM229PE	SUM44PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
SNP__LOC643847	-0.033	0.113	0.435	-0.1	0.207	-0.493	-0.403	-0.09	0.239	0.515	-0.981	0.285	-0.048	-0.067	0.199	0.093	0.041	0.28	0.23	-0.021	-0.225	-0.181	0.177	0.093	0.111	-0.222	-0.037	0.196	-0.033	0.174	0.051	-0.159	0.307	-0.016	-3.563	-0.242	-0.432	0.194	0.326	0.074	-0.458	-0.383
SNP__ZNF462	0.003	-0.163	0.13	0.149	0.209	0.064	0.293	0.184	0.133	0.094	-0.15	0.238	-0.022	-0.124	0.274	0.147	0.036	-0.073	-0.126	0.146	-0.019	-0.088	-0.064	0.157	-0.147	0.207	-4.605	0.223	-0.633	-0.201	0.047	-0.211	0.161	0.02	0.188	0.028	-0.418	-0.176	0.297	-0.296	-0.055	0.024
SNP__PPP1R1B	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.43	-0.144	0.294	2.132	-0.034	0.021
SNP__GALNTL2	0.008	-0.153	-0.037	-0.153	0.023	0.075	0.285	-3.222	-2.791	0.09	0.098	-0.031	0.19	-0.145	0.058	-0.028	-0.314	0.328	0.178	0.002	0.741	-3.463	0.551	0.212	0.123	-0.208	-0.457	0.54	-0.058	-0.229	-0.248	-0.132	-0.101	0.017	-0.064	-0.361	0.158	0.216	0.05	0.062	0.009	0.298
SNP__STARD3	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.43	-0.144	0.294	2.132	-0.034	0.021
SNP__ZNFN1A3	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	-0.423	-0.199	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	1.905	-0.04	0.207	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.43	-0.144	0.294	2.132	-0.034	0.021
SNP__LCE3B	-1.958	0.495	-0.129	-2.13	0.134	-1.961	-2.495	-2.008	-1.872	0.059	0.09	0.015	1.19	0.642	-0.503	-1.825	-2.024	0.754	-0.518	0.206	0.277	-0.064	-2.123	-1.955	-0.582	-0.172	0.716	0.986	-1.643	0.174	0.268	-0.255	-0.111	0	-1.569	-1.451	0.174	0.291	-1.976	-1.915	-2.744	-2.627
SNP__EB-1	0	-0.231	0.219	0.241	-1.335	0.268	-2.015	-0.404	-0.23	-0.324	0.09	0.473	-1.84	-0.148	-0.221	1.403	-0.99	-2.498	-0.286	-0.029	-2.022	-0.242	0.183	0.101	0.134	0.719	0.221	-2.601	-0.062	-0.226	-0.271	0.162	-0.278	0.011	-1.876	-0.004	0.174	0.561	0.315	-0.262	-0.046	-0.007
SNP__RPS10P2	0.013	0.304	0.122	0.437	-0.355	0.09	-0.023	0.165	0.439	-0.04	-0.052	-0.073	0.435	-0.752	-0.026	-0.084	0.05	-0.604	-0.007	0.422	-0.08	0.305	0.168	0.109	0.143	-1.165	0.252	-2.608	0.157	-0.253	-0.255	-0.374	0.868	0.028	0.109	0.024	0.152	-0.133	-0.292	-0.31	-0.202	-0.375
SNP__LOC644144	0.37	-3.761	-0.146	0.229	-0.098	0.096	0.186	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.357	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	0.125	-0.12	-0.315	-0.344	0.004	-0.163	-0.576	-0.138	0.22	0.06	-0.305	0.334	-0.43	-3.028	0.301	0.082	0.011	0.023
SNP__TCAP	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.43	-0.144	0.294	2.132	-0.034	0.021
SNP__FLJ10120	0.37	-3.761	-0.146	0.229	-0.098	0.096	0.186	0.396	-0.191	-0.301	-0.461	0.284	-0.355	-0.119	-2.93	-0.149	-0.357	-0.041	0.234	0.236	-0.253	-0.189	0.005	-0.126	0.125	-0.12	-0.315	-0.344	0.004	-0.163	-0.576	-0.138	0.22	0.06	-0.305	0.334	-0.43	-3.028	0.301	0.082	0.011	0.023
SNP__PNMT	0.376	1.965	1.862	0.242	-0.07	0.096	-0.121	0.172	-0.199	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	-0.04	0.201	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	-0.333	-0.388	0.769	-0.207	1.946	-0.191	-0.193	0.052	-0.32	0.282	-0.43	-0.144	0.294	2.132	-0.034	0.021
SNP__LOC644125	-1.687	-2.113	0.929	0.894	-1.571	-0.54	-2.092	-1.657	0.909	-2.359	0.077	-2.166	0.968	1.128	-1.62	-0.648	-1.946	0.364	0.146	-1.847	0.007	0.651	-2.228	-1.774	0.922	-1.829	1.004	0.987	-0.051	-0.226	-1.901	-1.977	0.021	-2.172	-1.48	-1.433	0.155	-0.348	-1.841	0.456	0.568	0.28
