Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G12862__LGALS9__LGALS9	6.1513	3.8085	2.4838	4.3619	1.2065	0.16906	1.1498	2.0604	1.6809	0.81283	3.6725	3.8578	4.5519	8.239	3.5171	1.8164	8.8117	1.1612	0.30805	0	2.0891	3.6262	1.098	1.1014	0	4.8931	4.3563	0.74292	5.2937	7.885	4.2458	2.1547	2.1856	2.0067	1.8861	0.97357
RS_G7989__DUSP6__DUSP6	8.8722	4.0294	7.901	5.3174	4.5415	2.485	2.9877	4.2907	6.9751	2.6098	2.9926	7.9465	5.446	7.6316	5.0696	3.6727	3.2063	5.8845	3.6147	2.6403	8.7444	7.0701	9.3471	8.318	7.6548	6.1283	3.7186	5.1116	4.5967	11.2812	8.0483	12.5025	3.7899	5.6693	2.4317	1.0603
RS_G13933__SNCG__SNCG	10.7928	7.9446	1.5171	9.3345	0.56038	7.4267	0.49198	0.6228	8.4757	3.676	0.52156	7.4115	0	8.29	5.7251	1.1233	6.6394	2.0984	6.6334	1.9549	5.39	10.4681	6.7702	9.2171	0	2.0381	6.2318	0	5.2603	8.2079	9.4602	9.511	6.7271	12.5266	7.6609	11.4412
RS_G17229__CYP4F3__CYP4F3	2.8276	0.42396	0.82997	2.1145	0	0	1.9205	3.0475	0.096044	0.23782	0.76	3.2897	5.8049	5.0833	0.17701	0	3.2122	0	0.58609	0.71066	5.7984	1.6698	0	0.99839	0	0.71488	0	0	3.0069	2.4756	1.7387	4.6287	0	2.4083	3.1686	0.3519
RS_G8803__AC092042.2__AC092042.2	2.9259	4.6984	1.6913	0.92682	0.19927	0.93976	1.0901	0.51281	0.11158	0.60724	1.935	4.1974	2.6195	2.2947	1.21	0.36989	3.1885	2.7063	1.5486	0.53398	6.8034	4.2071	0	1.3681	0.3487	5.725	3.0623	0	0.93099	4.4882	0	1.5699	4.9666	5.8477	0.62196	0.89976
RS_G11256__SPRR3__SPRR3	1.7298	0.23122	0	5.638	0	0	0.98659	0	0	0	0	2.728	4.5123	3.2536	0	0	0	0	1.1027	0.83238	0	6.4478	0	0.45042	0	0.63772	0	0	0	0	0	1.7475	0	2.2911	2.7222	0.6426
RS_G16130__SLC25A18__SLC25A18	3.0401	0.48722	1.7155	3.1149	0.8406	2.1127	2.2516	0.69422	3.5034	2.4612	1.2966	1.6675	1.7055	1.6761	0.6375	3.1672	1.1998	1.2268	1.2796	2.4642	3.4096	2.7465	1.4725	4.2801	0.9799	0.17522	0	0.58885	3.5899	3.8836	3.1685	7.7837	3.9133	8.0184	7.189	2.2296
RS_G6332__TNNI3__TNNI3	4.8498	0.4933	0.58895	5.7487	0	5.471	0.46847	0.60074	1.6798	3.3031	3.1984	3.3498	2.293	2.0651	1.27	0	1.7711	2.2119	1.8004	0.74889	5.6643	6.3596	1.0554	1.7982	2.3682	5.2708	0	3.2399	0.95049	0	6.4613	6.2544	5.7356	4.7589	8.0674	7.5775
RS_G3858__SLC15A3__SLC15A3	0.89932	5.5094	2.8801	2.931	0	0.79011	0.38408	0.49219	2.0004	1.8214	7.3716	2.0224	5.7384	1.474	0.94978	4.2055	4.9413	2.0345	1.8448	1.3939	1.5233	5.5805	1.4814	2.9525	1.4075	3.0637	4.8346	0	1.9831	7.2615	3.555	1.3756	6.484	4.3499	2.4676	1.1282
RS_G7148__SLC37A2__SLC37A2	1.5244	1.743	0.59126	1.1246	1.9372	0.18273	3.9621	0.86478	3.136	1.0031	2.343	7.2757	5.6297	4.464	0.2671	0.77	0.95618	5.1438	0.83168	2.4463	1.356	1.9021	3.5066	2.4775	2.7523	2.1288	0	2.0145	1.4549	3.7964	8.4733	3.5984	1.7074	2.3635	2.4425	3.4503
RS_G5897__C20orf114__C20orf114	7.2811	4.1593	6.4009	4.4106	0	0.79278	0.42508	0.85199	5.3667	1.576	0.63302	0	6.651	7.7517	0	0.2615	6.3258	0.30149	2.4042	2.3954	6.6345	11.8817	0	6.9239	0.24599	0	6.1223	0	0.87411	2.0639	0	3.1221	4.9933	9.8768	8.9966	6.0651
RS_G9383__SYT8__SYT8	5.2006	6.4758	0.42144	3.4629	0.20705	0.21585	2.0059	0	2.1773	4.7176	0.8256	1.403	3.6542	6.7637	7.5701	0	0.70535	0.44075	2.032	0.21117	0.57028	7.2399	1.305	3.2331	0.36373	1.7428	6.8044	1.207	5.1812	7.6667	7.8559	7.1945	8.3643	5.5063	8.8617	3.4887
RS_G10674__PIP__PIP	2.9964	1.7353	9.5819	4.291	0	0	0	0	6.2869	1.4841	0.66661	0	0	6.4468	0	0	3.1539	2.713	0.71805	1.8507	2.0123	6.3497	0	4.4832	5.3906	0.94948	6.4578	0	0	7.2874	0	3.8345	13.277	2.2284	6.4281	3.0258
RS_G15368__ALOX15B__ALOX15B	6.267	0.76521	8.3802	0.43858	0	0.1018	0	0.30927	4.3129	0	0.53507	0.15729	3.3004	0	1.1668	0	0	0.40577	0.57653	0.51444	0	2.0532	0	9.3899	0.32731	3.2792	0	0	0.36847	9.9516	0.83997	1.0126	0.85647	1.2809	1.6533	0.39036
RS_G3568__KRT23__KRT23	9.9798	4.0091	1.9457	8.0301	0.60861	1.1911	6.0621	0.49245	1.7194	2.2382	9.2509	1.7172	8.506	8.955	8.0106	1.2587	8.7022	0.26738	1.4502	0.77332	3.261	9.1077	0.74167	4.1622	3.8232	10.2533	5.989	0	4.1409	6.7984	8.2329	7.9631	10.5322	5.2594	5.121	0.93588
RS_G11089__FAM102B__FAM102B	4.7681	4.3549	4.9539	5.1912	4.7079	6.5703	4.2957	4.4037	6.2818	5.6482	4.1809	3.3366	4.1433	5.0864	6.1751	6.3835	5.8081	3.9008	5.9013	9.6937	6.6725	3.8133	7.2909	4.2476	3.6212	4.1172	5.8356	4.6297	3.0788	2.268	1.297	4.307	4.2755	2.9334	4.4104	4.2158
RS_G3962__OAS2__OAS2	4.3877	1.8619	0.23744	7.0052	0.056976	0.1167	0	2.5129	0.6103	3.2922	9.1157	5.693	5.8469	5.639	0.22552	2.2623	9.5512	0.30327	2.3693	1.4216	0.27765	3.6094	0.76221	0.49092	0	5.0771	0.28245	0.20349	2.0593	8.8459	3.6212	4.2907	6.5074	0.28765	1.9355	0.55898
