Cell lines	600MPE	AU565	BT474	BT483	BT549	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
RS_G8573__ECM1__ECM1	4.8617	4.7393	5.8238	4.9641	2.9491	7.9628	6.8961	11.2304	3.4946	2.8586	6.3894	4.9619	3.4121	2.5694	4.2049	5.5615	4.459	8.7029	2.4417	2.5781	3.3888	5.2516	8.4389	4.5503	3.36	2.5147	7.9556	5.7183	4.52	2.2735	2.4162	4.0931	5.7441	1.8392	1.202
RS_G15449__PSTK__PSTK	3.0441	2.5953	2.506	2.888	3.4201	3.6997	3.918	3.1924	3.047	4.0419	3.5195	3.7742	3.8694	1.2227	4.1269	3.8838	3.0608	2.759	3.2617	3.0766	3.4609	2.7387	4.1285	3.3489	3.8483	2.2706	4.3471	3.1501	2.3549	9.5518	2.9723	3.3824	2.0661	3.321	2.3236
RS_G8036__ITGB7__ITGB7	2.8381	3.0819	1.1466	2.1593	0.68558	1.566	1.2253	2.9661	2.2489	2.0587	1.0802	2.7707	2.6655	1.8513	0.71429	1.6216	2.2171	0.30674	3.9679	2.3043	2.6539	3.0913	0.258	2.0046	0.91278	1.8192	2.9868	1.7663	2.6722	1.5759	3.646	2.6657	1.3414	0.84553	0.26265
RS_G1423__FGFR1__FGFR1	2.6223	0.54709	6.777	7.0974	8.0925	4.5239	7.3206	6.1057	6.3256	6.6419	3.1821	5.3519	4.853	3.7117	5.5053	9.0117	5.0448	7.8731	6.4148	5.8034	12.806	7.7839	7.0505	8.0027	5.9527	3.107	8.9611	3.8054	4.3479	7.1144	5.0337	7.5974	6.8338	8.1537	7.5687
RS_G22652__SERPINB3__SERPINB3	0	0.25379	0	0	0	0	0.57895	0	0	0.82008	1.9225	3.3203	7.064	0	0.7401	0	9.5735	0	0	0	0	1.0359	0	0	0	0	0	5.6438	4.325	0	0	0	0	0	0
RS_G7254__AC021066.37__AC021066.37	8.1194	8.0151	1.9938	1.7593	0	2.6817	0.47574	1.6761	3.8582	8.4794	1.4097	5.2308	5.7233	4.4262	7.9259	1.4142	2.5484	0.25763	5.3005	1.7531	0.90338	4.226	0.40172	4.3953	1.5203	6.4764	0	10.2525	3.039	7.9921	3.4039	4.1756	7.9494	1.157	2.2421
RS_G18569__ACSL5__ACSL5	4.0017	6.8688	0.8864	1.1563	0.26438	0	0.71455	0.72692	0.099674	0.79755	4.3891	5.4941	6.1864	3.7539	2.465	0.84555	7.0282	3.1101	1.2554	0.26954	0.33901	1.7336	8.0381	0.13281	0.24714	7.5421	0	3.431	5.681	0.92507	0	0.18613	3.0697	1.2179	0.29214
RS_G12365__PIP5KL1__PIP5KL1	3.8726	1.8077	2.7048	3.2152	2.4851	2.9426	2.4418	1.81	5.3705	5.4668	2.3325	3.5827	3.0411	5.0313	2.4172	3.0142	3.2625	2.4229	2.5715	2.1711	4.1419	3.1834	1.6469	3.6043	3.2783	3.6177	9.1978	5.9581	4.1476	2.354	3.0809	5.8063	4.1937	3.8891	1.8081
RS_G17782__NCCRP1__NCCRP1	1.9723	8.6754	1.5981	1.8852	0.54713	1.3837	1.3348	2.5779	2.3662	2.0152	1.3556	6.4577	2.5357	1.3406	0	0.72975	7.6867	0.73063	1.3422	0.12719	1.2547	9.0527	0	1.4329	0.61219	6.3994	0.23329	0.67322	6.9508	5.0823	2.535	6.5272	1.8134	6.7479	0.97934
RS_G6482__C1orf38__C1orf38	3.3974	4.2439	0.54942	4.0843	2.7127	3.9616	3.7584	0.4539	1.7862	8.1282	2.2046	2.9444	2.8256	4.0857	3.0815	3.6422	7.8373	2.5597	3.6222	1.6665	3.1808	0.97908	3.1583	0.26791	1.2635	2.3138	5.525	5.0194	5.1718	0.38634	0.78702	3.7809	0.1337	0	0.26986
RS_G11441__TM4SF18__TM4SF18	0.063627	0.33303	5.7812	5.1303	2.4429	7.7835	1.6684	4.4129	6.1745	0.21054	0	6.7182	3.4103	6.1319	3.3713	5.3957	3.9681	0.17964	1.3098	2.3027	1.2533	0.55321	8.1172	2.2255	2.2631	0	1.5581	0	0.24403	0.76783	2.6463	0.97751	3.4624	1.224	0.11762
RS_G12887__ROR2__ROR2	0.99671	0	0	3.2452	0	4.2998	2.7187	0	0.28529	1.6518	1.9581	3.8669	0.15018	0	2.2208	4.9915	0	2.6226	1.7196	0.43584	0.057404	2.4422	0	5.8797	6.4732	0	0.52239	7.9269	1.6918	4.8317	6.1975	5.4064	0	5.0886	5.4198
RS_G9301__LCN2__LCN2	7.9862	7.5065	0.2591	2.5214	1.0548	8.9465	1.2914	0.25542	3.2659	14.4056	5.866	10.9978	11.4171	4.9017	8.3978	0	12.1109	0	1.1701	0.24297	0.80642	9.3061	0.75668	1.4008	2.8619	10.1865	2.3419	9.8541	9.1873	0.26478	4.6674	0.88603	8.5195	6.7469	2.4633
RS_G19132__NRARP__NRARP	3.3563	5.9645	5.6026	7.2418	4.5032	8.3562	1.8067	6.2538	6.2684	6.799	7.1035	7.1614	3.1299	6.6547	6.3495	3.617	9.4205	1.5323	8.106	7.4106	6.849	6.6626	3.5847	8.322	8.5739	4.9533	5.5331	8.1234	7.2971	5.8926	7.7073	5.4552	8.4079	6.8244	8.6855
RS_G29783__AC144831.2__AC144831.2	0	4.3952	3.2758	6.2777	0	0	2.6289	2.7059	1.1858	0.34947	1.3084	1.2662	3.4779	5.9703	3.4223	0	5.2168	6.3619	7.8127	7.1816	1.1752	4.5495	0.36377	2.6483	0	3.9376	0	4.0265	5.3041	1.2159	0.75936	4.1777	6.2237	0	1.8723
RS_G11751__DLC1__DLC1	0.52174	1.3191	0.98144	2.5792	0.43438	4.3824	3.6961	0	5.6513	3.3982	3.7535	2.7178	0.031946	0	2.4551	5.2094	0.060786	8.0268	4.6003	3.4051	0	0	7.5742	0.45432	0.22823	2.4852	0.53131	2.3611	4.4893	0	1.6785	1.2521	0	3.4241	3.5875
RS_G1232__CRMP1__CRMP1	3.3209	0	3.014	5.2991	3.059	0	2.2175	0.16006	3.0892	5.3528	2.3382	2.547	2.0576	0	5.2997	3.5543	0.87195	3.3146	0.28254	0.15011	9.1072	0	2.1643	5.713	3.2428	0	2.8821	0.8311	1.6613	2.1455	2.2182	3.4145	0.52981	5.8315	4.9652
RS_G11011__PDZK1IP1__PDZK1IP1	8.8939	5.1203	0	0.39	1.3271	4.385	0.76975	0	0	8.5938	1.1708	7.7195	2.9333	4.7973	9.5445	0.92984	11.5825	0.436	0	0	0.39925	5.7253	0	0	0.88496	2.9495	1.1043	8.6643	3.5271	0.5957	2.5331	1.0949	3.8203	2.3211	0.5381
RS_G13907__ADCY5__ADCY5	4.7972	9.5091	1.3853	2.137	3.3713	1.1076	0.25153	7.8828	0.56612	0.10578	0.27387	0.74037	2.3353	0.22806	0	2.0944	0	1.1236	6.8663	8.0975	4.6028	7.1349	0.71745	0.38401	0.38978	7.1157	2.8061	0.43515	0.18466	0.60349	0	8.1408	10.1393	0.69567	0.088049
RS_G23634__hsa-mir-205__hsa-mir-205	4.7533	1.3542	0	0	0	0	0	0	0	0	4.5349	4.3277	4.3498	0	0	0	3.377	0	0	0	0	3.4472	0	1.395	0	0	0	2.9965	2.7057	2.7566	0	0	3.2095	0	0
RS_G5188__TGFBI__TGFBI	5.034	7.8938	4.4353	2.9263	3.9121	3.9922	12.5626	5.0232	2.457	1.7131	9.6873	8.6593	10.3838	2.5591	5.9284	12.1863	10.1886	13.0785	6.3418	5.2622	0.5123	7.7857	8.6722	3.0034	3.5245	6.2873	11.1203	9.0184	11.8996	1.0937	2.4821	4.288	7.3827	2.7243	0.84147
RS_G12798__FAM178B__FAM178B	0.98678	6.1251	3.3804	4.5129	0	1.2255	1.5866	3.0813	7.686	5.4392	4.6694	0.87177	0.22072	1.9869	2.1263	0	4.9947	1.438	3.2679	3.3825	4.1545	3.0771	0	4.1486	0	4.8261	1.399	3.5345	0.3566	2.3155	0	5.4827	5.3408	4.0431	0.92306
RS_G12129__GABRB3__GABRB3	6.1029	0.22135	3.7179	0	0	0.38963	5.1536	0	0	4.6902	0	0.31319	0	4.453	0.32792	0	0	0	0	0	6.0912	1.1978	1.4035	0	0	0	0.29687	0	3.3924	0	4.2047	0.54281	1.8948	0	2.6963
RS_G13235__KRT4__KRT4	9.3812	11.4788	3.7138	6.6081	0.19191	4.5089	0.67209	6.6696	4.7751	0.6186	9.2252	10.5856	8.4049	7.4345	5.9863	0.10105	10.3706	1.7151	4.2725	1.7253	0	6.4769	0.82122	4.2504	1.1517	10.7577	0	1.1482	3.9312	8.1608	5.2153	10.2398	10.2906	4.5519	0.62627
RS_G380__AC115090.8__AC115090.8	5.5401	4.5937	8.2773	5.6462	1.8168	1.7069	2.3845	3.3208	3.0223	3.7229	1.0776	3.1471	4.6588	6.9533	2.4415	0.71518	3.2748	1.9988	4.269	3.2441	5.2386	4.9617	1.7625	5.7094	6.0719	3.1752	2.8722	3.1587	3.6614	5.309	4.1984	9.4664	4.9028	4.2942	3.8001
RS_G7112__STATIP1__STATIP1	7.3404	5.7894	7.9124	8.0689	7.1623	7.2975	8.1415	6.5724	6.4872	6.779	6.3207	5.2695	6.5046	6.8907	6.956	9.3609	7.3751	6.6918	7.1384	10.5164	7.6728	5.2929	6.8239	6.2761	6.284	6.2343	6.1861	6.8933	6.3592	6.3899	7.162	6.6163	5.3713	8.2923	11.5181
RS_G13448__KRT15__KRT15	5.6084	7.3499	6.7924	10.1044	1.6019	8.8359	2.2532	11.4728	6.5404	9.0315	5.7168	10.5476	12.5316	4.4646	9.7623	1.8575	5.6722	2.3194	4.8297	3.9225	3.523	9.0893	2.5715	3.421	2.6323	6.2237	2.157	5.7716	6.2661	5.9218	8.0833	5.988	6.1192	5.8624	6.6787
RS_G11533__CAMP__CAMP	3.5155	4.8465	2.3552	5.5361	0	1.4882	0.68855	3.706	1.3219	3.0019	0	1.4238	2.1738	3.2421	2.1103	0	1.4246	0.38086	0.61461	1.6506	6.1769	0.52214	0	5.1903	5.6421	4.6372	0	3.9762	0.87957	2.9579	0	8.2504	5.5639	2.8438	2.6927
