Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
RS_G5570__C20orf95__C20orf95	7.1527	5.7301	0.36922	6.5895	0	0.95995	0	0.53327	0	3.1196	6.5813	3.8441	4.4064	3.3533	0.32432	0	0.17468	1.2766	0.37972	0.4825	0.96841	5.9026	5.4557	7.0925	1.4186	2.1898	5.6898	0.31651	5.4739	9.1567	5.0249	8.2665	6.8861	5.7786	3.3218
RS_G2058__PTGS1__PTGS1	1.2823	5.5913	0.41366	0.89833	0.19889	0.15627	0.3255	0.42546	1.1935	0.50646	0	3.0479	5.1685	2.3629	0.91684	0	0.59629	4.5669	2.8314	1.0897	1.5971	1.4029	0	0.14514	0.49771	0.40252	5.6939	0	6.3472	1.0494	7.7469	0.65876	0.72306	0.28281	0.28682
RS_G19397__L1CAM__L1CAM	5.0302	6.9187	1.3538	7.716	0.69507	5.9379	7.576	4.0551	1.4333	4.2916	7.5056	2.0386	4.8733	5.8085	2.8532	7.6995	6.3652	0	5.7132	6.7579	8.1829	9.454	4.142	3.0137	0.26696	5.233	6.4653	1.738	10.535	5.6684	8.13	7.9265	4.4721	5.0006	0.9737
RS_G3163__ATP1A3__ATP1A3	4.3274	10.0114	1.9462	7.3666	4.4612	5.383	4.7758	2.7679	2.0801	5.4381	6.8753	4.7827	5.96	4.1124	0.802	4.0167	5.5134	0.82382	2.2676	4.8029	8.8681	5.5177	5.3107	3.0664	0.25964	3.2193	7.4159	5.8738	1.5203	5.3463	3.7056	5.114	5.5049	6.2309	6.8914
RS_G14942__PVRL3__PVRL3	3.0342	0	3.0716	0.94041	7.9748	0	3.0315	5.3155	4.3643	0	0.24295	5.4957	0.84611	3.2823	2.9367	5.4663	6.1654	4.3798	6.1795	1.504	0	0	7.1246	2.1541	1.4176	3.6413	0	3.159	4.2008	0.6055	3.0716	0	0.55555	1.0069	0.80047
RS_G2877__XYLT1__XYLT1	2.0844	5.3814	2.4407	4.4724	0	0	0	4.3641	0.50241	0.97748	5.7699	1.0611	4.0689	2.9429	0.11321	0	0.084142	2.9742	6.5261	3.3908	4.8806	2.0604	0	2.621	0.37812	5.5435	5.1266	7.6523	3.9492	2.7842	1.0292	1.651	2.5806	2.3564	1.7844
RS_G21704__CXorf61__CXorf61	0	0	0	0	0	0	6.7283	6.8917	0	0	0	5.3053	5.6279	8.1888	0	7.9773	6.7528	7.9893	4.7743	0	0	3.4023	6.4157	0.23646	0	0	0	0	0	0	0	0	0	0	0
RS_G14281__AMZ1__AMZ1	4.3637	2.5402	1.9577	6.2024	0	0.80029	0.097203	0.82505	2.9497	7.2086	0.50476	4.8755	3.3	0.55233	2.0374	0.33663	2.2512	0	1.4567	4.4576	5.0749	1.1402	0.26129	5.3051	0.82924	0.31317	1.2553	1.7794	3.5693	2.3375	1.8046	0.50673	7.1278	5.9031	2.0128
RS_G28377__AL450306.14__AL450306.14	3.5215	4.8024	0.74196	2.0401	1.496	2.6412	2.3114	1.9374	1.9689	3.5546	1.9543	3.28	2.8507	2.0548	3.1078	2.2624	1.7205	2.1189	1.5042	3.2992	2.9209	5.057	2.1669	2.5187	2.2729	3.5583	3.5767	2.7609	5.8757	2.1186	2.6059	4.5232	2.9519	2.4941	7.538
RS_G3022__DHDH__DHDH	2.4187	2.2579	0	2.616	0.76248	0.93381	3.6498	0	0.9645	2.8425	5.3073	3.5907	4.9283	1.7072	3.3883	2.7314	0.60282	5.2884	0.84227	2.6151	4.4139	1.6583	1.1133	1.3322	1.9645	5.9895	0	4.6054	2.7517	4.3504	4.0578	3.0985	3.2846	3.1819	1.8332
RS_G10396__MX1__MX1	5.0317	2.1882	2.341	9.7474	1.2107	2.9127	0.58267	3.4654	1.7872	6.108	12.6076	7.2285	8.2993	1.5829	7.8353	0.13769	5.2771	11.1388	0.88359	2.2	2.5585	4.8037	2.0846	2.1457	2.1832	9.98	1.2321	2.5812	8.0306	10.2882	4.8585	3.8153	7.6903	2.718	0.84851
RS_G2983__SNX16__SNX16	4.0779	1.6934	4.2149	4.1823	4.5164	4.3061	3.3166	3.6461	8.2469	3.5318	5.1328	2.4131	1.3807	3.4426	3.6058	5.2872	5.6931	4.6284	4.0156	4.3623	4.5973	2.0483	4.6342	2.7031	3.0069	4.2101	2.1	2.7695	2.2722	2.668	2.6571	2.908	3.3002	4.4856	2.4767
RS_G8036__ITGB7__ITGB7	2.8381	3.0819	1.1466	2.1593	0.68558	1.0459	1.566	1.2253	2.9661	2.2489	2.0587	1.0802	2.7707	2.6655	1.8513	0.71429	1.6216	2.2171	0.30674	2.3043	2.6539	3.0913	0.258	2.0046	0.91278	2.8123	1.8192	2.9868	1.7663	2.7812	2.6722	1.5759	3.646	0.84553	0.26265
RS_G5550__INHA__INHA	2.803	4.8975	2.2334	4.1783	3.3355	2.7597	0.72731	1.7803	2.3328	2.9138	4.8991	0.72573	2.4269	4.5893	3.0781	4.3798	0.93674	3.1222	0.68198	5.2467	4.2458	4.8462	0	5.8881	4.6199	5.2265	5.7173	4.7246	9.0315	3.2059	5.2734	8.0172	4.0025	4.4776	1.5657
RS_G4477__IFIH1__IFIH1	5.5519	5.0104	4.6702	6.8435	0.57761	6.2807	4.7528	3.2819	4.2422	5.0304	10.0636	4.7985	6.0943	6.2488	5.7048	4.7248	3.5667	8.2669	1.4788	3.9352	6.35	4.2171	3.4482	3.4814	4.6777	7.2422	5.237	3.3564	5.3174	6.8807	4.8413	5.1924	4.8213	5.4048	4.3929
RS_G11572__GUCY1A3__GUCY1A3	2.1771	3.1726	6.4643	3.3749	2.7359	0	6.4477	4.1023	6.8828	0	3.6806	4.4499	2.4961	6.7048	5.4754	0.41764	2.2033	8.1568	0.45496	2.1317	0.22101	4.4527	0	5.9314	6.7064	4.7362	0	1.7081	3.0364	3.5309	1.891	0	0	3.6042	3.0295
RS_G9625__THRSP__THRSP	2.1278	4.3884	0.78214	4.4766	0	7.3255	0.86725	0.45662	3.8694	9.4885	0.66446	1.0359	0.82234	1.964	3.2841	0	0.56364	0	0	1.0951	8.4908	1.3706	0	0.55945	1.7591	0	2.4593	0	1.0012	5.8862	0	4.518	0	6.3295	1.2806
RS_G16187__BEGAIN__BEGAIN	1.5527	3.6808	0.77715	4.4646	4.2433	1.7438	3.3344	1.032	0	3.3095	3.7931	1.2583	2.6657	1.2259	0.77226	4.2185	1.838	0.71485	2.033	2.4041	3.0335	2.7335	0.49161	1.4905	1.4344	3.458	1.7416	5.0066	7.3112	1.8843	2.3465	2.027	1.75	2.1009	3.6259
RS_G11355__NFASC__NFASC	1.5238	2.6199	3.8705	3.5415	0	0.46207	1.1935	0.66933	0.12432	1.2733	5.5101	3.0635	2.2495	0.46045	0.04732	5.5934	4.7633	1.7588	0.053461	0.91564	8.5256	2.7015	0.89043	0.83418	0.24318	6.7598	0.67438	3.7217	1.9647	0.53225	1.3598	2.2215	0.54778	0.82443	1.5125
RS_G2195__SUSD2__SUSD2	9.5721	12.9805	4.5994	6.4995	0.77228	6.1627	4.8384	0.6937	7.5174	10.8044	1.7112	4.6173	6.3905	5.5285	10.1244	8.6238	3.3648	2.2529	5.9218	5.1737	8.0181	8.8025	5.7008	10.4084	9.9673	2.6368	12.6232	1.6938	8.6608	11.9002	6.8074	10.2734	4.6774	3.7359	2.6465
RS_G11441__TM4SF18__TM4SF18	0.063627	0.33303	5.7812	5.1303	2.4429	4.9049	7.7835	1.6684	4.4129	6.1745	0.21054	0	6.7182	3.4103	6.1319	3.3713	5.3957	3.9681	0.17964	2.3027	1.2533	0.55321	8.1172	2.2255	2.2631	2.2897	0	1.5581	0	4.1609	0.24403	0.76783	2.6463	1.224	0.11762
RS_G13222__KRT86__KRT86	11.2673	10.5962	1.9711	3.7791	1.8035	1.0905	3.1796	3.3399	2.1769	4.6903	9.0074	1.2196	6.6936	7.2836	3.6764	8.9666	1.7662	3.6699	1.4093	6.508	2.4463	11.8802	2.9576	8.4168	1.4122	7.0122	7.8604	0.88888	11.8716	14.0462	4.6587	13.4224	3.4882	4.8114	2.5588
RS_G12288__SCNN1G__SCNN1G	0	4.2825	0	4.9145	0	6.1694	5.6465	0.51299	0	4.2032	0.1358	0.4365	1.994	3.6997	0	2.0358	0	1.0232	0	1.07	2.1905	1.7844	0	0.17844	0.26289	0.30298	1.7543	0.49282	0.92144	1.1277	8.2633	6.8146	0.91373	3.0802	0.48344
RS_G2581__WFDC2__WFDC2	5.881	0.54379	1.0823	3.5558	0	1.0374	7.1896	0	0.63224	2.3983	10.9307	5.6399	7.8153	0	0	0.61203	2.5221	10.1559	1.2948	5.317	9.1243	5.3322	1.7721	5.5543	1.9279	11.7635	2.6788	1.7574	13.4728	5.7118	10.0536	0.64571	0.90703	7.0559	1.9893
RS_G7446__CHAD__CHAD	9.356	3.8247	3.9607	2.898	0	1.7746	2.929	2.0717	2.1301	4.5495	2.0501	1.1792	2.6454	1.5826	4.4551	2.2674	2.6437	2.0821	2.1187	2.7951	2.5057	3.4557	0.5126	4.7572	3.6697	2.0162	2.3716	2.1866	3.6972	2.9093	4.911	3.6098	1.5545	1.7094	1.6429
RS_G12507__LY6D__LY6D	0	7.9331	1.51	0.56206	0	0	6.0624	0	0	0	0.89626	3.238	9.526	4.072	0	3.4716	0	1.1886	0	1.421	0.31951	10.3707	0	3.1397	0	0	5.8242	0	4.0858	6.2628	10.4361	3.3461	0	1.2481	0.42717
RS_G18066__GSPT2__GSPT2	6.2175	0	0	0	0	0.20684	4.3112	1.7446	0	0	0	0	0.16352	0	0	2.1342	4.5726	0	3.0978	0	0	2.8417	0	0.40592	0	4.1618	0	0	0.20974	0	2.4223	0	1.1025	4.9864	5.5342
RS_G1700__WNT11__WNT11	0.95554	0.84773	1.4629	4.0612	2.4978	0.26815	2.2228	0.15487	0	2.7953	7.6623	1.9448	1.5183	0.12823	0	1.0841	1.9585	4.9662	1.6509	2.6715	4.2544	3.4588	0.64391	1.6128	0	3.2041	0	0.94427	8.51	4.5096	3.1453	1.8569	2.1116	0.65293	0.19576
RS_G17229__CYP4F3__CYP4F3	2.8276	0.42396	0.82997	2.1145	0	0	1.9205	3.0475	0.096044	0.23782	0.76	3.2897	5.8049	5.0833	0.17316	0.17701	0	3.2122	0	0.71066	5.7984	1.6698	0	0.99839	0	0.71488	0	0	3.0069	2.4756	1.7387	4.6287	0	3.1686	0.3519
RS_G2274__TIMP3__TIMP3	7.1676	1.4484	0.20404	4.3628	0	0.54618	0.15932	7.2281	0.73369	0.19599	11.9588	8.3461	9.2857	0.17607	0.096304	7.7407	0.49099	0.92898	10.0072	9.644	8.0855	7.3564	5.7329	2.0761	1.5956	5.5897	1.9357	0.46861	4.2941	4.6453	7.3446	4.9621	4.2155	2.5201	0.72845
RS_G5020__PGF__PGF	0.19294	3.811	0	0.23905	0	0	3.0438	1.7839	0	0	4.332	4.2791	2.3044	0.87483	0	2.3457	2.0848	1.7793	6.819	2.1754	6.4551	1.2129	7.173	0	0	2.8136	2.5559	0.22406	4.0669	4.2315	3.9857	1.1334	1.9228	0	0
RS_G3648__CCL2__CCL2	3.6403	0.54392	0.65074	3.6296	6.3911	2.7066	0	3.1093	0	0.783	2.6054	0	0	6.1951	3.0177	6.4836	4.4802	6.7484	5.2483	0	0	0.86553	10.2673	3.763	0	10.6981	0	0	3.3073	3.2444	1.3981	0	0	0	0.81051
RS_G15160__THBD__THBD	2.1121	3.0337	1.9883	4.929	0	3.8626	0	1.4846	0.37671	2.3226	0.27449	6.4554	0	0	0	0	0.1815	0.17079	1.0032	4.1804	6.4552	2.5167	4.9336	6.3586	6.7423	3.077	1.4443	7.6701	3.2897	3.8937	6.9106	0.26966	0.40369	3.7341	0
RS_G6637__RARA__RARA	7.4958	9.1151	6.2662	9.3666	5.5867	8.6755	5.3	5.5698	6.1388	8.1484	6.2953	6.0039	5.8682	7.1367	6.3018	6.4304	5.9595	5.8703	6.0758	7.118	7.7675	7.7624	5.7313	7.2389	5.8846	6.0231	8.386	6.6856	6.8134	7.2525	7.9308	6.8151	8.3269	8.5605	8.8544
RS_G4435__IL1A__IL1A	0.69823	0	0.28336	0.54584	0	0	0.15257	0.20064	0.35738	0.23797	1.0015	6.1503	3.2881	0	0	3.1838	0.76755	0.77038	0.20083	0.17804	0.62026	0	0.4537	0.044939	0	1.8167	0	0	2.6039	0.33376	1.5682	0.36359	0	0	0
RS_G14453__NR2F1__NR2F1	0	0.62002	0.26207	0	8.065	0	1.6759	1.1938	1.1083	3.4171	0.14742	3.5416	4.981	4.7643	0.56207	4.1435	1.2267	4.8295	7.9087	0.72901	1.9212	1.1957	8.0721	9.375	10.4319	6.0049	0	6.7984	3.8738	4.7493	4.3224	1.7813	4.5034	4.6681	8.2892
RS_G2770__GDPD3__GDPD3	5.7813	10.6318	4.8723	6.1391	3.3539	6.6958	2.9664	3.776	7.5407	4.0359	3.3238	4.3605	5.7742	4.4425	4.0949	4.6084	4.1315	4.2824	2.2524	7.5877	3.4442	5.5215	2.1837	5.1432	5.1427	2.4247	9.0082	5.0971	6.6166	2.9836	4.791	8.2566	4.4144	5.7162	3.5616
RS_G3514__ACTA2__ACTA2	1.4899	0.17287	2.2023	3.075	12.7191	6.5566	1.9507	8.7055	0.81938	1.9902	4.283	3.2771	4.8169	3.5235	3.9435	12.9136	9.2125	4.7159	8.2158	4.6158	0	6.0772	3.4109	1.6547	2.3654	9.0502	0	8.7349	3.9007	5.1671	4.9748	4.4277	7.0622	4.7747	5.8747
RS_G11349__FBLN2__FBLN2	0.39761	11.101	0.2534	6.3401	0.23155	0.89252	10.8382	3.7514	1.0239	4.0648	5.9735	4.6059	8.1195	0.93459	0.43315	1.9516	0.6412	5.0908	1.9731	0.52712	1.2761	5.399	0	6.3892	0	11.1067	8.4706	3.8971	5.4564	7.4762	7.0764	7.3138	0	8.9052	7.0003
RS_G13247__KRT83__KRT83	4.4686	6.0206	0.84412	2.8622	1.2037	0	1.6	0.15982	1.0608	3.8349	7.5226	0.21658	3.8995	4.0819	5.3611	6.2556	0.2605	0.45353	0	5.1009	0.39899	3.2356	1.2838	4.3141	1.0845	8.2638	5.2935	0.46695	9.9153	7.1214	1.1824	6.0218	0.43923	1.7506	1.8815
RS_G6138__BAIAP2L2__BAIAP2L2	1.8619	4.4149	0.13304	1.6299	6.1142	1.2764	0.91234	0.473	1.6039	1.7708	8.4277	5.8264	4.8764	0.79441	1.5262	0.62381	0.59391	3.215	2.7982	0.90306	1.3959	1.9401	0	2.8525	3.8127	7.9914	4.9919	2.553	4.3806	4.3333	1.6165	2.5815	3.6222	2.9765	0.92168
RS_G7332__DOCK10__DOCK10	1.1769	0	0.81907	4.3261	6.4728	0.034377	3.5572	7.0449	1.688	0.096607	0	3.778	0.15905	0.59306	0	3.6414	6.408	2.3596	5.7244	2.8215	3.2391	3.6964	4.7719	0.9992	0.58083	2.2482	0	6.6391	0.38286	0.87349	0.2106	0	2.1623	2.6	2.0998
RS_G6639__KHDRBS3__KHDRBS3	2.7656	1.8859	6.3116	2.5982	3.6717	3.9119	7.3774	8.9619	0.14162	3.5335	5.9593	3.7957	4.6798	4.5205	1.334	3.9564	3.1927	3.2543	5.0197	1.6897	3.5037	3.0254	7.1711	4.1739	3.1378	6.1196	0.99985	6.8705	2.3588	5.4535	0.69378	2.4602	2.8818	4.0691	5.0319
RS_G12539__KLK6__KLK6	4.2761	5.0602	0.45573	4.9239	0	0.54484	9.0328	0	0	1.2661	7.0963	4.1068	10.7456	12.9326	0	7.5906	0.40914	1.5357	0.17355	2.5633	1.6753	11.1156	0	1.8049	1.0046	5.2303	1.0202	0	1.5005	7.4241	10.6741	8.8709	0	7.003	0.72126
RS_G3314__CPVL__CPVL	2.9507	6.6103	3.8799	3.6083	0	0.57412	0	3.8694	0	2.277	8.656	3.351	7.146	2.9736	1.678	3.2959	7.101	0.77609	0.23995	0.7097	1.1043	5.688	5.9007	0.38588	0.36679	3.1587	7.2629	0	6.5484	1.5564	3.7745	5.2759	5.3372	1.9393	0
RS_G8168__RHCG__RHCG	0	0.76408	0	1.7502	0	0	1.4873	0.74178	0.50384	0.96672	3.6706	3.1828	3.8711	0	1.3439	2.7996	1.6309	4.9588	0.29197	2.7627	1.0135	2.2705	0	1.7348	0	3.5912	1.8421	5.4309	2.1324	3.9305	4.4168	0	2.9171	1.7677	0
RS_G11101__FAM5C__FAM5C	0.21266	3.6632	2.4902	0.60928	0	0.91414	0	0.38169	7.4316	0	0	1.3209	0	0	5.7033	1.0654	0.72076	4.5769	1.4133	0.61657	0	2.7863	0	6.0253	7.372	0	0.68983	0	0	5.1657	0	0.90882	0	9.1072	8.0858
RS_G7254__AC021066.37__AC021066.37	8.1194	8.0151	1.9938	1.7593	0	1.8586	2.6817	0.47574	1.6761	3.8582	8.4794	1.4097	5.2308	5.7233	4.4262	7.9259	1.4142	2.5484	0.25763	1.7531	0.90338	4.226	0.40172	4.3953	1.5203	5.558	6.4764	0	10.2525	9.2565	3.039	7.9921	3.4039	1.157	2.2421
RS_G17651__RAB42__RAB42	4.7677	1.7656	2.9216	3.4162	2.642	3.0762	2.7951	4.0546	3.3722	3.8698	4.7778	2.9868	4.3234	2.3992	3.6447	2.7081	3.7617	4.3767	3.3539	2.8852	3.647	2.2411	1.9088	2.7932	3.1032	2.6436	2.7408	2.8262	7.8286	3.4768	4.0306	2.1449	2.5359	2.5914	2.6712
RS_G16170__PCP4__PCP4	9.5795	2.6308	3.4364	5.2434	0	4.7144	0	1.3531	1.0717	2.5298	0	0	1.3561	0	7.0045	0.43605	0	1.1567	0	5.15	3.0122	4.0627	0	1.8418	0	0	7.0218	2.0636	0	1.9718	0	6.293	6.6928	1.5702	0
RS_G4362__HYAL1__HYAL1	2.7501	8.2466	0.78252	1.8033	1.8316	2.4569	4.2535	2.8732	1.6011	2.2722	2.2137	0.61428	1.9518	1.3981	1.7949	1.7454	1.606	1.6933	2.0174	1.2474	2.4503	1.745	2.3083	2.072	2.3372	1.3624	5.8494	2.1401	3.2022	2.2754	6.4993	5.5753	3.8059	0.64515	2.4316
RS_G16550__CSAG2__CSAG2	0	6.6849	0	0.27141	0	0	0	0	0	7.1887	1.7652	5.59	1.8358	3.9262	0	0.27825	0	3.2175	4.662	0	0	6.6123	5.7519	0	0	0	7.4039	5.651	0	6.0503	0.72602	0	0	0	0.91116
RS_G7112__STATIP1__STATIP1	7.3404	5.7894	7.9124	8.0689	7.1623	7.1651	7.2975	8.1415	6.5724	6.4872	6.779	6.3207	5.2695	6.5046	6.8907	6.956	9.3609	7.3751	6.6918	10.5164	7.6728	5.2929	6.8239	6.2761	6.284	7.3674	6.2343	6.1861	6.8933	5.8269	6.3592	6.3899	7.162	8.2923	11.5181
RS_G1180__TRIP13__TRIP13	7.5721	7.4435	7.9846	7.1647	9.1263	8.0353	8.804	9.0066	7.5718	7.523	7.8106	9.3162	9.2501	12.9158	8.25	9.1767	9.4439	9.3182	8.6357	7.2772	7.6464	8.421	8.7378	7.7527	7.2485	6.4602	8.6847	6.8113	6.8324	5.5775	8.2887	8.6085	8.8612	7.5677	7.2672
RS_G3173__SYNGR4__SYNGR4	2.0634	2.6928	1.8951	3.4784	1.779	1.4674	1.5507	1.0613	2.6119	1.7646	1.6931	0.38898	2.3656	1.0514	4.7824	1.7469	0.45738	2.2555	0.28469	2.71	3.4658	1.1654	0	4.58	2.7149	2.183	4.2009	0.77481	4.693	3.7437	1.1459	10.265	2.5468	1.0684	0.85816
RS_G6331__SYT5__SYT5	4.0132	1.9982	0	3.7529	2.1684	1.3292	2.751	0.67081	3.6205	6.3433	0	4.089	0.97998	1.0482	1.0314	0.72222	0.2672	1.0837	2.4688	0.96197	7.5711	2.9951	0	0.38058	0.46803	4.0112	0	5.6054	1.1831	1.9308	6.7945	8.1888	2.8824	4.9334	3.0571
RS_G16049__EPGN__EPGN	0.62908	1.2748	0.81396	1.382	0	0	2.3756	0	0.79607	0.96975	0.49786	3.9373	1.4815	5.3723	1.695	2.3909	0	3.8394	0	0	0.56023	0.80166	0	1.4689	0	1.9751	1.4898	0.88324	4.5126	5.4435	2.7586	6.7991	2.2266	0	0
RS_G1513__PTPRH__PTPRH	3.6863	4.9381	0.81529	4.0987	4.148	0.13715	3.7678	1.6872	4.3044	1.2026	3.5699	1.7871	4.2665	5.5253	2.6446	1.1762	1.6527	5.0929	3.5538	0.67046	6.0085	2.5402	2.2747	0.48253	0	0	4.3622	8.1775	1.54	3.0494	4.222	5.0748	0.53648	4.5197	5.4053
RS_G10072__APCDD1__APCDD1	3.6283	0	3.4981	1.7279	5.1196	0.94106	8.1676	5.0126	4.698	4.311	0.49093	0.3134	4.4235	0.7662	0	5.3693	0.79178	4.2019	6.4553	1.278	2.5733	3.1425	0.77135	4.5634	0	1.0504	0	1.5594	0	3.3661	0	3.1684	0.75881	3.3698	2.6144
RS_G5964__IFI6__IFI6	5.3782	8.5811	5.9672	11.3914	7.0701	4.3614	9.5009	7.3907	6.6723	7.664	12.1836	6.5744	9.3088	10.0121	9.795	4.292	5.2167	14.3723	6.944	8.5173	9.97	6.977	6.6483	4.6766	6.3087	11.7519	6.9747	6.9378	10.5253	13.8974	8.8025	8.4812	9.361	7.5298	3.1302
RS_G11694__RAET1E__RAET1E	4.2345	3.9647	0.51886	1.4753	0	0.26601	2.2136	1.0863	1.4202	2.7576	0.77451	2.1729	3.8641	3.1837	0.83932	1.5906	0.82097	0.91492	2.397	0	0	1.4646	5.5974	0.12807	0.44336	0	4.5102	1.6644	4.124	0	4.9021	4.8095	4.1892	0	0.65648
RS_G18071__CXCL17__CXCL17	1.6218	1.6066	6.1534	1.2095	0	0.74132	0.6322	0.45695	3.1228	1.3713	0	0	3.6124	9.5671	6.8488	3.7511	0	12.3037	0	2.7126	0	7.6157	0	5.9685	0.3767	2.0065	0	0.38286	0	3.7402	1.4859	0	0	6.5787	4.2359
RS_G6482__C1orf38__C1orf38	3.3974	4.2439	0.54942	4.0843	2.7127	1.5549	3.9616	3.7584	0.4539	1.7862	8.1282	2.2046	2.9444	2.8256	4.0857	3.0815	3.6422	7.8373	2.5597	1.6665	3.1808	0.97908	3.1583	0.26791	1.2635	7.0556	2.3138	5.525	5.0194	4.5227	5.1718	0.38634	0.78702	0	0.26986
RS_G5057__FKBP1B__FKBP1B	1.9851	2.7594	2.1489	1.8948	1.23	0.48755	3.562	3.1728	3.1942	4.5799	0.90864	3.5513	3.3906	1.6684	2.7726	4.3029	1.5406	1.0391	2.7095	2.5102	5.2797	2.0636	1.6759	1.8057	0	2.3657	3.8746	5.3924	4.0097	0	3.3648	0	2.1257	0	0.89388
RS_G12055__IFI27__IFI27	4.0922	4.7513	0.72205	6.7926	1.0972	0	3.8876	3.2258	0.38186	2.8312	8.1137	6.5826	10.0905	12.0844	8.451	3.6058	0.89527	13.3216	2.2262	2.6569	2.6229	6.5223	0.62258	1.4227	1.8776	6.1896	0	3.5761	10.5207	14.2497	10.7408	1.7041	6.718	1.8182	1.1944
RS_G13227__CD14__CD14	4.5079	2.146	0	2.1032	1.7905	2.0092	5.0494	1.3892	0.86762	0.93813	0.75898	3.0681	4.1249	2.2887	0.9009	1.3699	3.1865	9.9831	2.4861	2.7439	1.229	2.5762	1.3486	1.2355	0.47784	0.70237	2.2491	0.49366	6.0549	6.8506	3.0821	6.2816	1.3333	2.5184	0.4014
