Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB231	MDAMB361	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G14453__NR2F1__NR2F1	0	0.62002	0.26207	0	8.065	0	1.6759	1.1938	1.1083	3.4171	0.14742	3.5416	4.981	4.7643	0.56207	4.1435	1.2267	4.8295	7.9087	0.72901	8.0721	9.375	0	6.7984	3.8738	4.3224	1.7813	4.5034	1.195	4.6681	8.2892
RS_G10216__C8orf38__C8orf38	5.1491	2.3135	7.2087	6.021	6.0859	6.1608	5.772	5.2176	9.8137	6.1035	5.9847	4.9133	6.629	6.0311	6.1521	5.9104	5.835	6.3356	6.2182	6.6008	5.874	4.967	4.5255	4.0145	4.2857	4.629	4.5804	5.8105	5.2216	4.6899	5.1276
RS_G10718__TFF3__TFF3	9.803	7.179	11.1887	12.8489	0	6.3298	0.97441	0.986	13.1896	11.0513	1.8337	0	0.53575	1.7682	9.6535	2.2698	0	0	1.8517	8.776	5.8853	12.3423	5.0467	0	0	0	0.69196	8.9041	15.7551	12.4151	11.5272
RS_G12795__NPNT__NPNT	7.6213	2.5915	4.7165	6.7604	0	9.7292	6.8894	0.69471	5.5643	11.2166	9.5247	2.0807	6.5407	4.0569	8.8576	6.2473	0.95379	7.1449	0.13153	6.9973	0.55913	6.476	2.3733	0.20857	2.0193	2.6366	2.0589	3.9583	5.7569	7.4204	3.5592
RS_G10720__TFF1__TFF1	9.5716	6.8461	12.1442	15.3072	0	8.1211	1.5719	0	12.8985	14.5477	1.9333	1.5228	4.0155	4.0294	8.0643	0	0	0	3.3081	14.3712	4.5944	14.5594	3.1878	1.9663	2.5271	2.5734	1.4334	3.9827	16.1221	11.9576	13.9006
RS_G5128__C6orf97__C6orf97	3.1578	0	5.1411	4.0963	0	4.1221	0	0.32115	5.2392	6.3162	4.2969	0.082714	0.15617	0.095144	0.097138	0	0	0.33528	0.36194	6.3693	0.048768	4.0578	0	0.26705	0	0.29656	0	4.7903	4.3059	5.6965	4.9746
RS_G7654__SYTL2__SYTL2	3.1117	0.55508	6.2717	6.9293	4.6446	4.3787	1.7257	3.0294	4.8414	5.7259	3.8285	0.45561	2.6069	7.3332	1.0663	4.9358	2.1209	6.0929	1.5622	8.5593	3.9775	3.016	1.7332	1.8466	2.4806	1.5828	3.198	3.5101	3.9795	4.6369	4.0389
RS_G9022__SCUBE3__SCUBE3	3.5466	0.2618	2.5074	6.8946	1.7019	0.87587	2.3629	3.9423	4.4599	2.2384	2.795	0.92187	2.8216	0.42772	5.6363	1.3151	1.3521	1.3012	4.7496	1.9342	3.0285	2.9598	0.25785	2.954	1.0921	1.0796	0.10982	2.6449	4.6731	1.8505	0.94161
RS_G11089__FAM102B__FAM102B	4.7681	4.3549	4.9539	5.1912	4.7079	6.5703	4.2957	4.4037	6.2818	5.6482	4.1809	3.3366	4.1433	5.0864	1.249	6.1751	6.3835	5.8081	3.9008	9.6937	7.2909	4.2476	5.8356	4.6297	3.0788	1.297	4.307	4.2755	2.9334	4.4104	4.2158
RS_G6090__GNG11__GNG11	0.71502	0	0	0	7.1496	0	0	5.5049	0	0	0	2.63	1.1777	0	0.46383	4.103	4.6713	3.4475	7.7723	0	8.221	0.46116	0	6.0924	3.2617	2.8833	0	9.7098	0.34563	0.65578	0
RS_G3172__GRIN2D__GRIN2D	1.2815	7.681	0.11453	0.68008	6.2801	0.3443	5.0838	1.1036	1.736	0.83669	0.90964	7.0748	2.9299	1.246	1.8482	4.2991	1.361	3.6096	2.9072	3.0676	1.1365	0.84688	7.0486	4.253	3.6892	8.309	7.4344	1.1701	0.90614	2.5652	2.0206
RS_G7729__STRA6__STRA6	3.1212	4.9445	0.43073	2.7663	2.5699	0.6656	0.51212	3.5324	0.27027	0	0.29404	0.59667	4.9074	6.5711	0	5.3369	5.7205	8.8652	2.6414	1.1844	0.44146	1.3397	4.7034	0.16212	7.6926	7.8942	2.7278	0.73423	3.3866	0	0.24733
RS_G16385__ASCL2__ASCL2	1.3561	1.7678	6.3934	5.118	0	0.60927	3.6364	0	7.9802	1.7904	3.6262	1.2266	0.97424	1.6838	2.9164	0	0	0	0	5.1486	0	4.9558	1.324	0	0	3.1506	4.2456	3.9544	6.2684	5.2367	5.0406
RS_G8103__FBLN5__FBLN5	2.4898	3.7031	3.3013	1.7502	4.6055	0.76715	0.54751	5.2391	2.3253	1.2888	2.8473	1.9258	3.8111	2.4345	3.2047	2.4563	1.81	3.9975	6.5096	0.62774	2.6517	2.5515	4.668	0.70417	3.152	0.82392	3.2984	5.1443	2.8958	4.031	1.544
RS_G14365__CST6__CST6	1.1735	4.8219	0	2.2528	1.1623	0.40458	2.5251	0	0	4.0306	1.7102	5.9733	9.605	6.3431	7.796	5.5347	1.3362	3.3225	1.0523	0.69586	3.2657	1.6994	3.1421	2.7763	7.589	10.9573	2.5445	5.0406	8.5443	4.4201	0
RS_G8285__BCAS3__BCAS3	6.4726	4.4517	6.8924	6.1476	4.0251	6.3685	4.015	4.6223	5.6088	6.772	5.5922	2.9098	4.2115	4.3633	6.0922	4.9093	5.4684	4.7074	4.5601	10.392	5.389	5.4788	3.9992	6.0761	3.7147	5.2731	7.1972	6.4245	6.286	5.6277	5.6589
RS_G2464__PLTP__PLTP	0.11482	10.0545	0.75517	1.2357	10.9319	1.1199	0.90633	4.5863	1.0814	0	0.24629	9.5327	6.1663	0.4738	0.27113	0	7.9012	8.082	6.5859	1.6206	3.1098	0.52736	7.9049	3.0229	6.1828	10.4891	2.8626	3.5352	0.76102	0	0
RS_G11273__ALPP__ALPP	0.61363	3.528	0.28662	0.61007	0.47579	0.3482	6.0634	0.75014	0.094933	0.23971	0.30143	4.7477	9.1099	4.7778	0	7.3442	0.717	2.647	1.7801	0.2582	6.8379	1.0915	6.9332	0.45731	9.2234	10.3246	7.6574	0.38143	5.5707	0.74304	0.13455
RS_G12549__ANGPTL4__ANGPTL4	1.3628	1.7355	0.28988	1.6842	7.1002	2.6448	1.0067	0.41541	3.6172	2.1231	3.7472	4.8525	6.5014	3.8004	0.47775	3.7687	4.8409	3.5734	5.2861	6.1066	5.4475	1.9371	5.5559	7.218	7.3786	6.5586	10.3721	5.9315	5.0877	6.2922	1.8001
RS_G1730__FAT2__FAT2	0.57568	0.94746	0.23243	0.48221	0.63808	0.41813	3.7065	0.74319	0.040265	0.48933	0.74388	6.505	4.6282	1.7543	0.17726	1.5427	3.8253	3.4034	0.89191	0.27443	0.20058	0.2108	0.58878	0.59742	0.43138	7.0238	0.94431	1.2235	0.23214	0.64995	0.5655
RS_G9463__JPH2__JPH2	2.9164	6.4318	0.050524	2.0686	6.643	0.13498	3.9489	2.8076	0.049104	4.1973	3.0619	4.5416	6.5243	4.1531	0.17304	6.73	3.4244	3.5498	4.8069	0	0.41633	1.7217	4.5877	0.16338	7.7631	4.8813	4.0896	5.5659	1.214	1.3387	0
RS_G5427__SRGN__SRGN	0	0.86436	0	0	1.889	0	0	5.5557	0	0	0.63384	1.3082	1.2829	0.89407	0.3789	3.0125	6.0192	0	9.3304	0	9.9268	0	0	2.0368	0	0.57078	3.6571	3.931	0	0.7318	0
RS_G2659__SYP__SYP	3.41	2.907	4.3066	4.8543	4.6996	2.4778	3.804	2.9368	6.3522	5.1021	3.8879	1.251	3.4948	2.1223	3.2776	2.2882	1.6438	1.1754	1.3775	3.5283	2.0866	3.5634	3.6742	3.4633	2.7889	2.2011	2.4082	4.2616	8.0014	5.6485	5.9906
RS_G5632__POF1B__POF1B	3.5829	2.9715	6.5667	4.6059	0	3.611	1.8493	0	5.1177	8.4924	0.11745	1.93	0.5287	1.2403	3.8408	0.74799	0.9373	5.002	0	5.5091	0	4.135	2.3599	0	0	1.5172	1.4106	1.9519	0.56039	5.3682	2.3153
RS_G1696__AKR1B1__AKR1B1	1.6658	3.0827	2.2074	1.2461	8.3908	0	0.9276	12.6493	0.66845	7.6641	9.1769	9.7921	10.7386	3.4039	4.8033	10.1457	10.6783	12.3341	10.3571	0	10.1671	2.5479	1.821	9.0595	11.5065	11.4649	3.3056	0	0	4.7219	5.5162
RS_G18582__MAGEA12__MAGEA12	0	7.7305	0	0	0.29613	0	0	0.33841	0	9.4865	0.27224	8.3753	1.6656	0	4.6108	1.051	0	5.8085	8.396	0.30005	0	1.36	8.2333	0	0	0.45187	0	2.2033	0.83189	7.2668	7.5631
RS_G10282__GLYATL2__GLYATL2	1.5156	3.0927	0.4733	0	3.5736	2.3423	2.051	1.3795	0	0	2.2296	0	2.0423	8.4543	0.95213	7.4442	0.29687	7.4857	2.9415	0	0	0	3.3092	0	1.2848	0	0.71831	0	0	2.3349	3.7696
RS_G10801__S100A1__S100A1	12.2539	5.1734	4.3125	8.846	2.2497	10.0502	6.8321	2.8645	9.8429	7.3739	5.4273	1.8777	3.0618	1.939	10.6979	5.2693	4.0757	5.6141	3.2969	4.2464	2.9113	5.8621	5.1531	5.5304	2.123	4.343	5.0315	5.96	8.354	3.8626	2.5385
RS_G10476__CLSTN2__CLSTN2	5.8455	0.55251	6.1216	6.7817	1.1877	8.6981	5.6714	2.6739	4.8612	6.8926	0	0	2.5088	1.3812	0	5.16	5.5442	0	2.1758	6.5852	0	4.6367	0.59842	0.72	0.84752	0	1.6132	4.7589	7.2315	4.8856	0.39654
