Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G19430__TGM2__TGM2	5.7731	4.6351	0.075916	1.8639	2.1072	1.5359	1.1001	3.5707	1.4478	2.0468	2.7949	4.4499	9.0075	9.2277	2.5436	7.904	4.964	6.8507	2.0974	2.9293	4.6858	7.9893	1.2109	1.8048	3.27	2.1179	2.6677	8.7502	0	12.5541	5.6263	0.8381	10.315	1.5682	0
RS_G16371__NOG__NOG	1.0519	0	2.2697	0	2.4767	0.38977	5.9809	0.41694	0	0	5.9691	2.4824	4.4078	2.8449	1.7954	0.37246	0	1.2498	0.67981	0.39325	1.9775	4.0505	0.28562	0	2.5744	0	4.5948	2.2238	1.4442	5.7748	2.1665	0	0.68639	1.1986	0
RS_G12549__ANGPTL4__ANGPTL4	1.3628	1.7355	0.28988	1.6842	7.1002	2.6448	1.0067	0.41541	3.6172	2.1231	3.7472	4.8525	6.5014	3.8004	3.7687	4.8409	3.5734	5.2861	6.1066	1.3524	6.5731	5.4475	1.9371	3.028	3.5753	5.5559	7.218	7.3786	5.6931	6.5586	10.3721	5.9315	5.0877	6.2922	1.8001
RS_G5427__SRGN__SRGN	0	0.86436	0	0	1.889	0	0	5.5557	0	0	0.63384	1.3082	1.2829	0.89407	3.0125	6.0192	0	9.3304	0	0	0	9.9268	0	0	3.2169	0	2.0368	0	0	0.57078	3.6571	3.931	0	0.7318	0
RS_G10339__NRG1__NRG1	0.58693	0	0	0	7.7389	0.19465	1.7934	2.0408	0	1.7451	0.088641	8.0487	5.3378	0.13453	4.7885	5.8443	0.70526	6.4738	0	0	1.3846	6.0583	0	0	0.13811	0	5.8239	1.5169	0	1.5046	0.30151	0	0	1.9553	0.64638
RS_G12262__NNMT__NNMT	8.5516	2.0132	0.48442	0	9.4448	0	1.147	7.6778	0	0	1.6205	1.4637	5.9883	7.7288	5.9076	6.1323	8.4278	6.7404	0	0.46256	3.0779	0.7415	0.55533	0.52928	6.6938	0	9.0646	10.6571	6.6568	6.8006	9.2782	0	1.7073	0.22668	0
RS_G12138__AP000926.6__AP000926.6	0.93522	1.4863	0.84409	1.9858	6.1205	0.2896	0.16521	7.2957	0	1.6327	2.942	5.6383	6.523	0.85542	1.2249	6.2727	2.4321	7.6418	0.72117	0.37787	3.864	2.4918	1.2955	0.72971	2.439	0	6.6793	5.9479	2.5442	4.3758	0	1.5434	3.8113	3.3381	0.95756
RS_G6090__GNG11__GNG11	0.71502	0	0	0	7.1496	0	0	5.5049	0	0	0	2.63	1.1777	0	4.103	4.6713	3.4475	7.7723	0	0	1.3968	8.221	0.46116	0	0	0	6.0924	3.2617	6.3484	2.8833	0	9.7098	0.34563	0.65578	0
RS_G14428__C7orf10__C7orf10	3.7743	1.0982	0.7662	0.89114	5.2894	0.14994	3.7882	2.8196	2.0669	0.37628	4.9639	4.3508	2.6963	2.255	2.9243	4.0509	0.65512	4.1949	0.96976	1.5258	1.2013	2.0049	0.13633	0	4.5349	0	4.8912	2.9044	0	1.2329	0.30448	2.8094	1.8546	1.8441	2.0889
RS_G8859__UCN2__UCN2	1.2845	0.29972	1.361	0	0	0.61433	0	1.8619	1.077	1.9504	1.1088	3.1138	1.5959	2.007	1.9642	2.2167	0	7.4621	0.33255	0.7386	2.0482	4.0658	2.3384	2.7354	0.79777	0	3.5893	4.6056	0	7.5876	2.913	2.3249	1.7045	0	0
RS_G1983__CCDC80__CCDC80	3.047	4.5842	0.24634	0.95276	10.2098	0.12049	5.2177	5.0089	0	1.3406	1.1731	5.231	6.9418	3.9554	7.2517	8.6794	7.4749	9.7159	1.9402	0.12167	4.6807	6.4667	0.23618	0.2076	3.8	1.7652	4.6926	6.5604	0.13246	6.081	5.2147	2.8761	0.70055	0.45007	0.086745
RS_G4919__CTGF__CTGF	9.505	4.4992	0.78195	1.8219	12.8527	0	8.7089	7.2404	1.2136	1.2462	8.3956	5.4822	6.3887	7.5308	10.7526	9.5522	5.6891	12.5646	1.758	0.22651	5.5647	10.5691	3.2516	1.4824	11.3633	4.5607	6.2663	7.3857	6.1576	5.3545	6.591	2.1019	4.4628	1.8454	1.1337
RS_G16566__CSF1__CSF1	4.9267	3.3068	0.63581	2.0826	5.2612	3.3153	1.4233	5.6818	2.1574	3.7992	8.8161	4.2899	6.4616	5.0175	5.9173	8.2679	5.7738	6.5134	1.7785	2.7317	4.4905	7.9524	1.6766	0.68883	8.8887	2.3696	8.6661	7.9034	3.0812	5.3272	1.8363	3.2028	3.3419	2.5385	0.98173
RS_G12533__NTF4__NTF4	5.098	0.60197	0	3.3569	0.96059	1.4685	1.7073	1.0688	0	0.85575	3.2205	4.229	4.2264	3.9442	3.8572	2.0025	3.0439	2.7479	1.4549	2.1966	1.5277	1.9687	2.3877	1.2635	2.1082	1.1826	1.0546	4.8998	0	6.5895	4.4162	5.0027	2.7503	4.0469	2.9513
RS_G11747__CTSB__CTSB	9.8416	8.2842	7.3598	8.8658	10.7399	7.7915	10.2099	9.493	8.6772	9.5489	8.9823	9.516	9.74	8.7557	10.2834	9.9357	8.3334	11.0293	8.539	8.406	9.6896	9.0618	8.77	8.7307	8.5938	7.9661	14.2059	8.7494	7.516	9.1268	7.5318	8.3295	9.5108	9.6418	9.0078
RS_G6975__LOXL2__LOXL2	1.5391	2.7296	1.2016	5.6888	11.6528	0.8968	6.3164	9.3974	1.5447	2.0715	6.3622	3.9725	6.3672	6.8128	8.6672	8.2651	5.7011	11.1125	3.625	0.83296	9.4404	8.9271	1.3338	2.0015	8.8622	1.078	8.2155	10.5325	5.5342	7.3102	1.0611	1.131	6.4413	3.8986	1.1635
RS_G11366__IFI16__IFI16	1.3751	1.0912	0.088938	0.077879	0.1516	0	0.25526	8.0208	0	0	6.9257	7.8901	6.2163	8.4592	1.9825	7.2647	10.0474	5.8672	0	0	0.49689	6.093	0	0	2.2315	0	0	5.6095	5.4474	6.2941	1.6259	3.4074	0.10754	0.73329	0
RS_G10165__DEPDC6__DEPDC6	5.8259	6.1946	7.7825	6.0532	2.4574	5.8304	3.868	5.2335	6.7933	6.4623	4.9882	0.51319	3.5353	4.7511	3.252	2.4528	5.9295	7.3951	6.0803	6.7226	5.9242	1.9036	6.7617	6.0819	4.8403	5.9379	4.7027	3.6608	8.5343	2.335	3.9324	5.5378	6.7571	6.0442	4.9031
RS_G8395__COL6A1__COL6A1	5.4602	5.1508	3.3975	4.7457	7.3394	3.4729	9.921	10.6743	1.6458	3.4276	8.8942	7.4773	8.2099	3.563	4.938	10.6909	0.88895	13.8151	3.678	1.0221	5.5817	7.6313	5.1513	0.86484	10.1471	2.4509	9.1319	9.7023	7.0085	9.4911	5.3568	5.7383	6.3313	5.3044	5.3749
RS_G463__VIM__VIM	2.9652	2.2052	5.3309	4.7875	13.722	3.764	13.663	13.843	4.156	0	10.3261	6.4127	8.4787	10.5793	11.7234	13.9024	10.1043	15.089	3.1521	9.4838	11.1994	13.7198	1.8929	3.5908	12.9747	2.3972	16.3769	9.8039	3.625	11.237	3.9594	5.7587	8.8159	3.9298	0.37376
RS_G12940__ADRB2__ADRB2	2.1259	2.2301	0.49965	0.24995	2.5126	1.4958	4.5683	2.1427	0	0	0	6.4949	0.37353	0.68584	4.184	0	0.74044	3.0343	0	0.47096	4.401	8.309	0	1.0245	0	0.80363	3.1202	2.9832	3.5299	5.7045	5.1544	2.4675	1.2577	0	0.35107
RS_G12287__ANPEP__ANPEP	4.6781	3.3458	0.4918	2.3499	9.3546	0.34204	0.60793	3.8277	2.1245	1.2098	2.4168	4.5501	9.2789	0.94625	0.81235	7.8441	6.672	8.9544	1.5798	0.72205	10.471	0.4706	0.586	0.65303	2.7753	2.6835	13.7475	11.5166	0.084498	7.974	0.8554	1.2223	6.7332	1.7071	0.4654
RS_G12120__LARP6__LARP6	4.2188	1.299	3.6514	2.9647	6.568	0.41765	5.2848	8.1059	3.3645	1.9411	9.7435	4.7567	5.4148	3.8387	5.773	5.0126	6.7561	5.8904	2.9315	4.4766	4.378	6.7601	4.6908	0.67497	7.6855	0	8.9712	6.2283	6.3424	5.1701	5.3971	3.8833	5.3123	3.6215	3.6772
RS_G228__IL32__IL32	5.6181	1.7467	0	4.5202	3.1875	3.1313	4.4773	3.7172	1.0388	1.9051	9.5237	4.2661	7.5667	3.3088	9.905	3.9209	4.1936	5.3523	1.7987	2.0232	2.6639	6.2951	1.4724	0	9.6861	0	3.5915	10.3044	0.7284	4.842	0	3.2789	2.4651	3.6558	0.78332
RS_G7983__GLIPR1__GLIPR1	0.55287	0.2859	0.94121	0.19873	8.8142	0.67508	3.8198	6.0225	0.83764	0.62063	3.6456	5.4165	4.5642	4.8421	6.5035	8.1578	4.0803	7.825	0.57361	0.73209	1.9436	6.5993	0.1263	0	4.548	1.235	1.7892	3.8954	0.71376	4.6243	0.72126	1.595	0.29975	0.35881	0.094808
RS_G21531__RAET1G__RAET1G	2.8144	2.9198	0.47879	0.54993	1.5764	0.57314	2.3707	3.0707	2.3424	1.2131	1.9137	2.2095	4.5472	2.9135	1.926	1.1822	3.9902	1.8867	1.3469	1.073	3.1325	3.5775	1.9008	0.51649	2.0151	3.4867	1.5783	5.3644	2.4284	7.7615	3.7997	4.5337	4.51	1.2429	1.1426
RS_G10326__NMNAT2__NMNAT2	6.6	0.30207	0.5195	4.1564	2.4102	0.093162	5.2476	3.0218	2.6025	1.3761	1.4049	3.0914	4.7602	1.6212	4.0426	0.32631	0.33832	4.3466	0.54336	0.88415	4.3612	5.3772	2.181	0.62001	5.1991	1.6548	1.5533	4.0954	0.10382	0.6965	1.1755	4.3552	4.8679	4.2739	1.8525
RS_G12470__CORO6__CORO6	1.3736	5.0261	0.59829	1.6239	4.7642	1.2424	0.53723	2.196	0.58695	1.6114	3.6444	2.0788	3.9669	3.775	4.9726	3.2655	1.2535	2.6312	0.41837	2.0176	3.8302	3.9416	2.9862	3.0768	3.4635	4.5564	1.1636	4.1819	1.6303	5.1099	4.2711	2.3894	5.3274	2.0977	1.1167
RS_G10280__RAB11FIP1__RAB11FIP1	7.6887	6.2778	7.0128	12.2859	4.5822	8.1106	7.2796	4.0893	8.438	8.7856	8.1977	5.5418	6.2577	5.6096	5.7509	6.7727	5.928	3.3836	6.386	10.7433	6.6273	5.9329	7.033	5.945	5.9973	6.155	2.8408	4.7669	11.4127	4.8767	7.8875	7.9949	6.493	9.2453	8.7531
RS_G5811__C3__C3	7.1207	1.6685	0.69203	2.2919	1.3461	1.109	9.5755	2.9582	0.52857	1.3027	11.5641	5.0096	9.6169	3.7993	8.5745	3.1161	10.7546	3.071	0.71163	3.2606	5.4593	1.766	0.54314	1.4735	11.9762	0.3753	3.3306	13.2011	3.4851	7.8954	3.5917	3.7685	3.7365	3.2756	2.3797
RS_G6523__AKAP12__AKAP12	0.48642	0.34772	0.16809	2.1495	5.5885	0.33163	6.7678	0.96527	0.96731	3.3321	2.3494	6.1267	4.1382	1.0678	2.8552	8.078	0	5.7452	3.1946	0.68596	1.622	8.2417	0.16066	0.07179	1.6561	0	4.598	3.5179	0.14966	6.5708	0.9599	3.6759	1.7645	0.4458	0.6065
RS_G18405__S100A2__S100A2	5.2484	3.6935	3.4186	3.8443	8.6925	2.6605	13.4485	7.4326	2.2239	2.1404	3.8567	13.4345	10.1256	11.0365	11.2875	8.0382	9.5068	5.9126	2.1463	1.2281	11.1424	4.8228	3.2845	5.5373	8.6751	1.1917	8.571	10.041	5.5117	13.4869	5.0461	4.175	3.2161	3.0922	4.4221
RS_G11315__FSTL1__FSTL1	6.1696	3.6176	6.5735	5.6716	12.563	0.96659	3.0155	9.048	1.7602	5.437	5.1741	7.2908	9.4235	7.6366	10.3975	9.8128	7.9845	10.7719	0.82926	0.93212	7.4038	8.5847	1.4346	1.2163	8.1641	3.6582	5.9561	8.1278	5.414	5.686	1.736	7.4048	1.7816	0.67477	0.38166
RS_G13159__ADRA1B__ADRA1B	0.18329	1.0437	0	0.11811	0	0.23221	3.1228	2.5203	0.44765	0	0.38564	2.2667	0.17378	3.1453	4.6405	1.2095	0.38458	4.1574	0.6723	0.52594	3.0163	4.5454	0.30935	0	1.8242	1.7875	7.9508	2.9802	2.2674	6.7332	1.8183	1.1225	0.92045	1.1506	0
RS_G16044__NXPH3__NXPH3	0.63973	1.6768	3.3225	4.9965	1.4449	1.8154	3.7241	2.1343	4.6757	4.5822	0.48173	0.35093	1.4048	1.158	3.0732	2.7136	0.83939	3.4998	3.6032	7.6833	0.3628	2.3113	6.4008	3.532	2.5865	0	1.4849	1.5721	2.5857	2.0227	0.82821	1.8999	0.72051	4.1853	1.3407
RS_G3361__SERPINE1__SERPINE1	3.34	3.0676	0.59751	2.4332	5.0316	0.27016	6.6992	3.2308	0.83167	1.6028	2.0024	7.2689	6.7282	7.1883	6.7085	6.8413	0.30685	12.9763	1.4898	1.9126	6.056	9.7718	2.0705	3.8827	2.3465	2.1126	7.2491	0.86367	4.6185	11.3681	8.7657	0.75362	1.085	1.8838	0.90015
RS_G18751__COL4A6__COL4A6	0.67594	0.13292	0.082024	0	2.7738	0.18736	0.39431	0.12632	0.04069	0.15342	0.06856	5.2708	4.3231	2.4073	0.8942	3.3987	0.59125	2.8252	0.87533	1.2266	1.004	0.68802	3.537	2.2581	0	0.099219	0.63428	4.2757	0.4863	5.7836	3.0149	3.9285	0.34172	0.38657	0.43794
RS_G11051__LAPTM5__LAPTM5	2.8393	0.20669	0	1.2492	0.22567	2.6129	1.7293	2.6516	0.45429	2.2405	3.3755	3.4596	4.1543	2.745	1.1634	0.66768	0.69552	0.91454	0.33275	2.7641	1.0672	9.5586	0.73502	0.39464	2.4712	0	7.01	2.1102	0	6.916	0.65062	0	1.4999	1.1637	0
RS_G6440__COL5A1__COL5A1	3.8517	3.1224	0.40165	5.4151	10.1958	7.0167	4.1353	8.0257	0.059076	1.7108	0.44888	3.3905	6.243	6.8198	5.9398	8.5532	1.3704	9.4954	3.0794	0.85124	2.9642	4.163	1.235	0.099041	1.25	0.20663	2.239	5.6444	4.0102	6.5509	4.9687	3.6637	2.6721	2.6056	1.0735
RS_G3853__C11orf41__C11orf41	0.10845	0.061167	0.16984	0.13559	1.3798	0	4.781	3.4279	0.097979	0.21235	5.1998	6.1774	4.1824	1.2452	1.3581	2.648	2.5653	6.7553	0.11354	0	4.6097	0.14799	0	0	4.5718	0.11867	2.9811	0.64591	0.3339	1.7011	0.51858	0	0.7605	0.27734	0.58324
RS_G3379__MEST__MEST	0.28456	7.7409	7.8393	7.4767	7.0437	7.6778	7.4615	1.4366	1.0201	7.6848	0.16774	8.4186	6.9275	6.6173	1.1371	11.3032	0.69041	4.0757	8.1143	6.6208	7.5349	6.2993	7.2189	7.299	0.25759	9.0774	0.325	0	6.652	7.5819	0	1.0173	5.9816	6.7253	7.8146
RS_G7049__FST__FST	0.37356	1.2178	0	0.32105	8.0293	0.17319	7.5365	0.99188	0	0.42735	1.6952	9.288	7.5214	6.4096	5.0857	2.5122	0.29056	8.3569	0	0.71744	1.5923	8.5197	1.1726	0.93095	4.1524	0	1.1072	1.0014	1.8478	6.3474	1.9509	0.36358	2.0237	0.77804	6.4408
RS_G920__BCAS1__BCAS1	6.6372	8.9475	11.0683	7.1505	0.93032	5.61	1.127	1.64	10.7186	6.2652	0.25653	0.51932	2.3365	4.0923	1.1356	0.70967	1.8382	0.95512	6.957	6.1282	6.1222	0.83247	6.1234	2.181	0.54974	9.4061	0.49246	0.40769	7.3227	1.9885	4.6113	6.1188	8.185	7.2271	7.9636
RS_G6987__IRAK2__IRAK2	3.1643	1.4718	0.5092	1.1488	4.7227	3.1634	5.6254	5.2952	2.5617	0.94193	6.0897	3.9784	5.1855	5.6527	4.5118	4.398	2.653	4.8247	1.0345	3.99	3.2041	5.3682	0.65158	0.48601	6.3606	0.99949	7.2984	3.1827	3.3124	3.6375	0.5055	2.5127	2.9404	1.6147	0.48699
RS_G3635__ALDH3A1__ALDH3A1	8.6087	0.44329	0	0.40401	3.9326	0.41226	2.035	4.9079	0	1.3562	0	8.9426	7.48	1.663	5.3914	0.2053	2.0839	1.1224	0	1.2692	2.5572	0.68465	1.8151	0	1.5597	0	4.9876	3.6765	10.2825	8.7613	3.0595	0.24588	0	2.199	1.1971
RS_G28131__FAM24B__FAM24B	4.0501	2.9345	2.3534	2.4469	4.9408	3.9313	0	5.7249	0	4.2709	0.53458	5.5552	6.1477	4.7625	4.6012	4.8141	4.5653	4.2135	4.9806	0.33137	4.7668	5.0183	4.1747	4.8854	5.0075	3.6753	6.337	3.3251	4.1667	4.7336	11.7746	5.008	4.263	0	0
RS_G4351__COL7A1__COL7A1	4.9884	2.3752	2.4012	0.98581	0.77562	1.255	0.93156	2.5782	1.5435	3.2919	1.7096	5.7269	4.2544	2.9007	2.0228	2.8981	0.94048	9.3014	1.4589	2.4282	2.9642	2.1883	4.099	5.5402	1.9488	1.9774	3.883	6.541	3.4674	9.9568	3.5282	4.0318	2.8372	3.1168	0.65322
RS_G748__FOXC1__FOXC1	1.3467	0	0.44926	2.662	6.5029	0	5.6404	4.9248	2.525	1.692	6.4469	6.2567	3.7813	5.4285	5.0029	5.1006	7.1906	5.3363	3.7327	3.9298	6.1284	4.0817	1.8569	0.68469	7.9502	0	5.4878	4.8565	4.7414	6.0806	4.0297	4.116	3.9332	2.8678	2.8369
RS_G11533__CAMP__CAMP	3.5155	4.8465	2.3552	5.5361	0	1.5471	1.4882	0.68855	3.706	1.3219	3.0019	0	1.4238	2.1738	2.1103	0	1.4246	0.38086	1.6506	6.1769	0.52214	0	5.1903	5.6421	3.9921	4.6372	0	3.9762	5.7091	0.87957	2.9579	0	8.2504	2.8438	2.6927
RS_G7338__SERPINE2__SERPINE2	2.3994	0.79327	3.83	2.2086	10.1196	0.18958	7.4411	11.5894	0.28363	0.46684	9.8235	6.7055	2.8475	7.0236	8.1647	6.4473	2.5456	9.5902	1.3238	1.0935	5.4003	6.5495	4.3532	2.126	10.4702	0	6.0111	6.9672	2.2537	5.6749	0	0.83906	1.3572	3.4753	1.5784
RS_G13039__MT1E__MT1E	0.46681	1.1873	0	0	0.55979	0	3.0392	0.6051	2.5016	8.2657	8.7515	8.4328	4.4369	0	9.6024	9.0759	1.332	9.3513	0.30908	6.225	3.6842	10.5635	1.0982	2.431	0	0	11.4032	10.0631	0.97053	11.2761	11.6174	0	3.5478	4.0503	0.77012
RS_G11780__GPR30__GPR30	0.78743	1.3949	2.9158	1.7559	0.30558	3.7144	2.5551	2.5452	3.2315	2.6799	0.62738	1.4092	3.8532	1.1675	2.4931	4.3017	5.6098	2.3456	6.6849	3.3657	3.7092	3.9508	5.808	0.53026	1.202	2.787	1.2363	2.5352	4.338	2.3624	0.73872	1.7272	1.6963	1.2609	2.1461
RS_G14301__CHST2__CHST2	1.0835	0.13336	0.23835	2.7032	4.1777	0	3.102	3.8426	0.1568	0	2.6096	1.3665	1.1804	0.13922	1.2898	4.074	0	6.1227	0	0.15375	1.5489	4.6798	0	0.26037	6.8572	0	5.0333	4.8977	1.8192	2.0316	2.7945	0	4.0125	0.62457	1.5682
RS_G11429__CXCL3__CXCL3	0.33948	0	0	0	3.4106	0	2.5204	3.2775	0	0	4.4838	3.1649	1.7437	1.4393	4.6319	3.5497	3.3576	4.5588	0	0	0.6239	2.2938	0	0	6.3879	0	6.9196	8.1321	1.9658	2.8659	0	0	0	0	0
RS_G4220__LOX__LOX	0	0.68991	0.90169	0.66555	10.7791	0.13865	4.9709	5.7714	0.79742	0.96733	5.2774	4.4823	2.895	0.54503	5.5501	7.6689	5.766	10.1643	0.75454	0.48913	3.2735	6.0679	0.45546	0.44199	4.3449	0	11.6434	8.3827	2.7516	9.2551	0.4056	2.3981	0.6104	1.3457	0
RS_G11694__RAET1E__RAET1E	4.2345	3.9647	0.51886	1.4753	0	0.26601	2.2136	1.0863	1.4202	2.7576	0.77451	2.1729	3.8641	3.1837	1.5906	0.82097	0.91492	2.397	0	0	1.4646	5.5974	0.12807	0.44336	0	4.5102	1.6644	4.124	0	4.9021	4.8095	4.1892	2.4922	0	0.65648
RS_G4624__GPX7__GPX7	0.58278	0	0	0	0	0	0	0.61279	0	0	3.9738	3.8643	4.113	0	0	5.5601	2.5917	4.9712	0	0	0	0	0.19675	0	0	0	2.9878	4.7546	0	4.2696	0	0	0.50597	2.0518	0
RS_G1317__SEMA3A__SEMA3A	0	1.446	0	0	4.8682	0	0.22776	5.911	0	0.55754	0.085551	5.9332	2.6768	1.7369	0	4.2407	4.3885	4.1137	0	0	1.2805	5.4226	0.046512	0	0	0	0.32428	0.92652	0.62186	2.2665	0	0.83084	0	0.13429	0
RS_G10552__CDA__CDA	0	1.6466	0.52859	0	0	0.49703	6.438	1.2407	0.51588	1.0834	0	6.746	7.4997	3.0522	1.2901	0	7.0228	2.4749	0	1.0277	4.0069	4.9695	1.8659	0	0	0	2.2379	9.57	4.4328	10.6457	4.0751	1.987	2.0333	1.9565	0
RS_G9656__TEX9__TEX9	4.2374	1.2952	4.0477	4.067	2.5317	6.9286	2.6932	2.1361	2.019	3.7916	0.57729	2.784	2.0646	4.3718	3.5397	4.1276	3.9276	1.5805	2.2238	4.4367	3.1377	2.9177	5.2171	7.8711	3.2482	3.9164	1.006	0.63633	4.2606	3.1244	3.0016	3.9567	2.0313	3.575	3.4162
RS_G16598__PROS1__PROS1	4.6854	0	0	0	6.3048	0.91111	3.1664	1.7086	0.9029	1.3688	2.6571	2.8994	1.0067	1.4914	4.4328	2.7055	0.13375	1.5091	2.8721	0	0.12149	6.4587	0.13992	0	4.1969	0	4.4556	2.5764	0	0.42536	1.3477	0	0.10127	0.55269	0.21169
RS_G11561__PRSS12__PRSS12	1.496	0.54609	0.25057	0.080545	5.6392	0.8661	5.8391	2.788	0.085993	0.31015	10.2082	5.2016	4.7765	2.0344	9.7569	4.8767	1.5091	5.9064	0.48493	0.61684	3.2744	4.7183	0.48861	0.70177	5.0703	0	4.227	6.4227	1.9942	5.4288	0.17025	0	0.1576	1.3084	2.2724
RS_G17647__ARL4C__ARL4C	6.4058	3.9508	6.5819	4.9192	8.0292	4.7101	7.6877	9.0067	6.0138	2.9942	6.2663	7.0619	6.2607	5.9989	6.9743	7.5755	6.7168	7.9861	4.3584	5.9484	7.7683	7.5221	4.073	1.3609	5.306	5.4578	10.7033	6.3785	4.8348	5.2782	6.5854	3.1525	4.5654	3.7385	3.6318
RS_G14365__CST6__CST6	1.1735	4.8219	0	2.2528	1.1623	0.40458	2.5251	0	0	4.0306	1.7102	5.9733	9.605	6.3431	5.5347	1.3362	3.3225	1.0523	0.69586	0.98624	8.1369	3.2657	1.6994	1.1045	1.8882	3.1421	2.7763	7.589	6.5634	10.9573	2.5445	5.0406	8.5443	4.4201	0
RS_G13984__TNFRSF10D__TNFRSF10D	0.47373	0	0	0	0.27889	0	7.3456	0.24361	0.43255	0.61535	3.624	5.9027	4.4719	4.3597	7.4006	7.5913	1.9892	8.1692	0.14914	0	4.7278	7.4603	0	0.13627	0.38305	0	6.4505	0	5.4051	5.1856	0.30762	0	0.68226	4.0385	0.11014
RS_G10477__COLEC12__COLEC12	0	0.63558	8.1128	0.80205	0	4.195	1.1604	4.2167	5.2352	0	0.22341	0	0.47351	0	2.7664	2.5115	3.3369	6.0277	0	1.3449	0.13838	0	0.68978	2.5487	1.3747	1.441	0	0	1.1812	0	0.34827	0	5.9759	0.43999	1.7849
