Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G2467__MMP9__MMP9	0.3352	4.7331	0	1.8897	7.2801	1.3299	2.8432	7.1538	0.43548	1.2458	3.165	1.5059	6.2936	0.93467	3.1581	0.63889	0.45168	3.8095	3.1157	2.482	1.5826	0	1.3653	0	3.4679	2.3144	0.54164	4.3212	5.3232	3.8646	1.7067	1.7646	2.9642	1.4825
RS_G15100__GLDC__GLDC	0.26029	7.2337	0.40726	4.2944	3.4418	1.2426	4.4118	2.22	0.14607	4.7534	2.0712	1.7273	4.4029	3.9346	6.0442	2.116	0.61603	2.7527	2.1304	4.7021	3.7115	0.45811	0.48042	0	5.2427	7.546	3.6024	1.4389	0.89962	7.1951	4.7089	7.464	4.8515	3.1124
RS_G7729__STRA6__STRA6	3.1212	4.9445	0.43073	2.7663	2.5699	0.6656	0.51212	3.5324	0.27027	0	0.29404	0.59667	4.9074	6.5711	5.3369	5.7205	8.8652	1.7416	1.1844	0.48367	3.9368	0.44146	1.3397	0	0.71356	4.7034	0.16212	7.6926	7.8942	2.7278	0.73423	3.3866	0	0.24733
RS_G8454__PADI3__PADI3	0.46584	6.8211	0.54552	2.2372	0.43485	0.3183	0	1.8696	4.2999	1.9093	0	5.754	5.4543	9.8003	2.9407	1.0326	0.40476	6.6389	2.5696	1.7243	6.681	0.35983	0.59354	0.41031	0	4.097	0.41693	0.315	4.6738	6.8956	7.7006	4.0201	2.2637	0.52515
RS_G6622__BARX1__BARX1	0.22949	0	0	0.14871	0	0	0.23826	0	0.30134	0.36785	7.1091	3.5355	2.0759	0.38231	1.3499	7.1959	0	0.51427	0.28343	0	0.33767	0	0	0	6.9059	0	5.4178	0	4.5806	0.55638	0.58125	2.9156	0	0
RS_G27825__RP5-857K21.11__RP5-857K21.11	10.9434	6.6704	13.2896	12.1731	10.1851	12.3866	12.2165	12.1985	12.3339	11.8487	10.0205	11.1852	10.4344	10.7845	10.3199	11.7062	10.6909	7.1751	11.6662	11.723	9.4247	10.3684	10.1889	9.1151	9.3724	9.7862	8.7916	12.4549	9.1959	9.7	10.1982	9.1015	9.4473	12.2867
RS_G3361__SERPINE1__SERPINE1	3.34	3.0676	0.59751	2.4332	5.0316	0.27016	6.6992	3.2308	0.83167	1.6028	2.0024	7.2689	6.7282	7.1883	6.7085	6.8413	0.30685	5.4003	1.4898	1.9126	6.056	9.7718	2.0705	3.8827	2.3465	2.1126	7.2491	0.86367	11.3681	8.7657	0.75362	1.085	1.8838	0.90015
RS_G9463__JPH2__JPH2	2.9164	6.4318	0.050524	2.0686	6.643	0.13498	3.9489	2.8076	0.049104	4.1973	3.0619	4.5416	6.5243	4.1531	6.73	3.4244	3.5498	1.8198	0	0.64612	4.9427	0.41633	1.7217	0.15656	6.7396	4.5877	0.16338	7.7631	4.8813	4.0896	5.5659	1.214	1.3387	0
RS_G4157__PDE10A__PDE10A	0.24391	1.0968	0.56945	1.6686	0	1.8322	1.7856	3.8587	0	0	3.5858	0.49179	0.10121	0.86591	0.36315	4.6507	3.6118	0.18602	0.92933	6.2747	0.82034	4.6996	0.24783	0.22552	0.37536	0.35049	0	2.3777	0	0	0	3.1557	2.3037	1.2322
RS_G5346__FMOD__FMOD	12.7509	1.5875	8.164	0	0	1.3314	0.28036	1.3784	2.4152	1.0433	0	0	0	0	0	0.32245	0	0.39525	0.59626	0.54953	6.4584	0	10.606	8.7463	1.187	0	0	1.8549	1.0838	5.7611	3.7204	8.4019	8.3586	3.7838
RS_G6440__COL5A1__COL5A1	3.8517	3.1224	0.40165	5.4151	10.1958	7.0167	4.1353	8.0257	0.059076	1.7108	0.44888	3.3905	6.243	6.8198	5.9398	8.5532	1.3704	4.8717	3.0794	0.85124	2.9642	4.163	1.235	0.099041	1.25	0.20663	2.239	5.6444	6.5509	4.9687	3.6637	2.6721	2.6056	1.0735
RS_G5810__CD70__CD70	2.1298	0	0	0	9.7205	0	0	1.7744	0	0	2.6289	1.0273	7.8922	0	6.1861	6.9112	1.3388	2.7908	0	0	0	0	0	0	5.1436	0	9.1854	7.1955	5.7209	1.9353	4.0443	2.049	2.2205	0
RS_G16432__C1orf64__C1orf64	7.5817	5.6156	7.5603	5.6306	0	3.097	0.1454	0.9382	8.8167	1.8555	0.21876	0.25986	0.25555	0.15475	0	0.16111	0.15095	0.63111	0.17079	1.6817	2.3787	0	6.8421	1.2505	0	8.026	0	0.46451	0	0.096899	2.7013	7.8181	6.8627	5.9547
RS_G21582__PPAPDC1A__PPAPDC1A	0.37416	0	2.7756	1.7995	4.0134	0.81555	0	5.2833	0	4.524	0	0	0.97885	0	0	0	0	0.31631	0	1.4163	2.3557	1.629	7.1095	7.8064	0.43715	0	0	4.3299	0.66827	0	0	1.6804	1.9455	0
RS_G5550__INHA__INHA	2.803	4.8975	2.2334	4.1783	3.3355	2.7597	0.72731	1.7803	2.3328	2.9138	4.8991	0.72573	2.4269	4.5893	4.3798	0.93674	3.1222	5.5781	5.2467	4.2458	4.8462	0	5.8881	4.6199	5.2265	5.7173	4.7246	9.0315	5.2734	8.0172	4.0025	1.9518	4.4776	1.5657
RS_G2464__PLTP__PLTP	0.11482	10.0545	0.75517	1.2357	10.9319	1.1199	0.90633	4.5863	1.0814	0	0.24629	9.5327	6.1663	0.4738	0	7.9012	8.082	4.17	1.6206	0.80808	4.8815	3.1098	0.52736	0	3.5639	7.9049	3.0229	6.1828	10.4891	2.8626	3.5352	0.76102	0	0
RS_G5405__GLIPR2__GLIPR2	1.6539	7.0819	0.90362	2.8754	5.1543	2.2968	4.6416	4.6861	1.7021	0.87288	5.9912	1.4785	4.9724	4.2248	6.7986	6.3415	6.008	5.1586	3.0034	5.421	4.1668	3.8964	3.8901	0.45074	8.0723	4.0647	4.7593	4.2732	2.3158	2.7256	3.5392	3.6892	1.1076	2.0736
RS_G14997__ODF3B__ODF3B	4.8507	2.6239	1.1155	5.0856	1.2456	2.7493	4.4677	2.9589	2.6522	1.5611	8.8354	2.1381	3.5457	1.9196	1.0577	1.01	7.96	1.0288	2.1161	4.3639	4.3224	1.5806	4.3544	6.2574	7.7654	2.0834	1.7179	7.1725	6.1547	0.97023	3.3624	4.0077	5.6032	4.2153
RS_G1983__CCDC80__CCDC80	3.047	4.5842	0.24634	0.95276	10.2098	0.12049	5.2177	5.0089	0	1.3406	1.1731	5.231	6.9418	3.9554	7.2517	8.6794	7.4749	2.3768	1.9402	0.12167	4.6807	6.4667	0.23618	0.2076	3.8	1.7652	4.6926	6.5604	6.081	5.2147	2.8761	0.70055	0.45007	0.086745
RS_G3436__AMBP__AMBP	5.5216	4.1249	2.8804	5.6693	0	4.4106	0.30004	0.55576	3.6561	3.1994	0.31932	0.72738	0	0.32997	0	0.34272	0	2.9627	1.5467	6.1453	3.7678	0	9.687	5.2492	1.5675	0	0	0	0	3.3531	0	9.4107	3.6158	2.5328
RS_G18084__RASSF10__RASSF10	2.2875	3.2549	1.5835	0	0	1.9282	3.3829	0	2.6352	1.3053	0	4.0508	3.2488	0	0	0	0.86239	1.1382	0.38499	3.3615	5.7958	0	0.65729	0	0	0	0	0.93369	4.2475	0	0	1.0731	1.334	2.1765
RS_G7852__SLC40A1__SLC40A1	8.1261	6.0053	7.765	8.1177	0	7.1984	1.8182	1.1013	7.0717	9.5596	4.9572	4.0017	0.11962	2.6831	2.3757	3.5437	5.1833	0	0.15331	0.15829	5.071	2.5055	7.5995	9.0335	0	6.8656	0.27233	0.42348	0.91534	4.6019	10.0753	3.8126	7.1722	6.288
RS_G3514__ACTA2__ACTA2	1.4899	0.17287	2.2023	3.075	12.7191	6.5566	1.9507	8.7055	0.81938	1.9902	4.283	3.2771	4.8169	3.5235	12.9136	9.2125	4.7159	8.823	4.6158	0	6.0772	3.4109	1.6547	2.3654	9.0502	0	8.7349	3.9007	4.9748	4.4277	7.0622	4.8706	4.7747	5.8747
RS_G6057__KLF2__KLF2	7.0712	4.5412	4.9505	3.4118	4.4313	5.021	5.2861	3.118	6.8299	3.001	4.6378	3.0863	2.088	2.9896	2.4648	2.6959	1.347	2.8253	2.7692	3.0345	3.0228	5.4435	6.1329	8.2977	7.259	4.7633	8.5158	3.058	2.6175	3.1933	2.2051	3.7626	5.6861	9.0721
RS_G34074__RP11-258C19.3__RP11-258C19.3	3.8291	2.8681	3.1395	2.661	1.3579	4.1726	3.0209	3.4128	4.8519	4.6919	1.5425	2.3974	3.452	1.9856	0.44921	2.4535	1.3594	1.9851	3.3219	4.9203	3.9604	0.73805	1.7849	1.9667	2.8222	1.3973	0.99103	4.5668	0	1.6502	2.3215	2.5155	0	3.4593
RS_G16619__SLITRK6__SLITRK6	5.6921	0	5.1781	2.1211	3.7194	4.5245	4.5316	4.1927	7.8925	0.92272	0.41187	5.1835	2.3251	5.4726	3.9073	3.1682	3.1583	2.9345	1.5436	4.3069	2.3864	0.83012	4.428	1.1176	0.17754	0	0	2.1558	0.90457	2.6655	0	2.3754	2.9342	1.3351
RS_G6759__XAF1__XAF1	0.70494	0.24912	0.077767	3.8743	4.3757	0.34105	0.51684	0.78531	0.15423	0.37371	8.1182	1.6447	5.2741	3.6319	0.3472	4.516	7.9514	0.74722	0.55715	0.21993	0.27561	0.070228	0	0.25471	5.1957	0	2.2428	4.2314	4.6265	0.15909	0.9767	0.050434	0.10585	0.10335
RS_G6363__APOE__APOE	4.2881	4.7187	0	2.382	5.2995	1.3208	2.9543	2.0475	0.42935	4.4855	2.5012	5.566	3.0563	1.0451	1.0041	2.1619	3.6414	6.7091	5.158	1.0037	2.8448	2.0232	0.83225	1.4749	6.4436	4.0786	4.4021	3.4789	8.3738	2.2518	10.4583	5.5087	5.8134	0.56077
RS_G18754__CYP2B7P1__CYP2B7P1	7.8731	0.71843	4.2739	6.4891	0.97565	1.959	0.71636	1.7225	3.0186	5.0364	0.23268	4.7275	1.0877	1.8112	0.094855	0.75563	0.43847	2.1059	1.3998	2.6524	1.6952	1.0342	8.1502	0.77303	0.95711	2.1599	0.44639	0.84597	0.49534	0.64224	1.8966	4.7722	10.3949	8.5954
RS_G2947__CA2__CA2	2.326	1.607	3.8479	3.7463	0	6.1112	9.8755	7.8397	8.9	0.40209	6.167	2.2896	6.1392	0.89211	2.716	7.8988	6.5331	0.29416	6.3826	7.1346	2.8174	4.6533	5.8083	4.2171	1.5661	0	1.1873	6.3905	8.6773	4.507	0	2.4798	6.8713	5.8722
RS_G17946__SBSN__SBSN	1.9388	3.1448	0.52859	1.4897	2.4916	0.49703	2.2271	6.162	0.70795	2.5177	0.92766	0	4.1818	2.9815	2.7617	5.2222	2.5925	4.2779	0.48448	1.4125	5.2712	0	1.0301	0.79145	8.658	0	2.6291	2.7459	5.4825	0.5273	1.5102	0.73069	0	0.37031
RS_G10165__DEPDC6__DEPDC6	5.8259	6.1946	7.7825	6.0532	2.4574	5.8304	3.868	5.2335	6.7933	6.4623	4.9882	0.51319	3.5353	4.7511	3.252	2.4528	5.9295	4.8614	6.0803	6.7226	5.9242	1.9036	6.7617	6.0819	4.8403	5.9379	4.7027	3.6608	2.335	3.9324	5.5378	6.7571	6.0442	4.9031
RS_G7026__NGF__NGF	0	0	0	0.44039	8.2263	0	1.5055	5.462	0	0	0	5.0698	3.456	0.41902	7.7309	6.0518	0	1.5749	0	0	0.80236	4.6169	0	0	4.7268	0	4.7581	0.80466	3.6174	0	0	0	0	0
RS_G21773__GPRIN2__GPRIN2	4.0001	8.3744	0	1.3437	0	0	5.3082	0	0	0	0.23152	4.3886	5.4473	3.7981	5.982	5.0614	3.6002	0.65392	0	0	6.6664	0	0.065818	0	4.1445	7.0097	0	6.2273	4.7073	0.27671	4.0222	0.54066	0	0.18814
RS_G10718__TFF3__TFF3	9.803	7.179	11.1887	12.8489	0	6.3298	0.97441	0.986	13.1896	11.0513	1.8337	0	0.53575	1.7682	2.2698	0	0	9.9781	8.776	7.7139	12.8413	5.8853	12.3423	6.3096	0	5.0467	0	0	0	0.69196	8.9041	15.7551	12.4151	11.5272
RS_G4856__MUC5B__MUC5B	5.381	6.3991	4.9033	7.2056	0	5.3345	6.1164	0.65399	1.8113	5.2883	6.5749	0.35429	2.0415	0.42452	0.20737	0.10243	0.47117	5.5399	4.5554	5.2356	5.2064	3.5201	7.1076	2.7576	8.4507	0.22595	0.60314	1.5779	1.351	0.050499	0.13512	9.1755	4.8458	6.9805
RS_G3953__GPRC5D__GPRC5D	2.6057	2.7512	2.6011	3.2717	0	2.0069	2.0219	4.3231	3.6325	3.1167	1.9299	4.4397	1.2847	1.6856	0	0	2.1575	1.8971	2.534	3.6782	4.7138	2.7768	3.0597	3.4671	1.0356	2.661	0	0	3.3235	3.671	0	2.5264	0	0.34313
RS_G16187__BEGAIN__BEGAIN	1.5527	3.6808	0.77715	4.4646	4.2433	1.7438	3.3344	1.032	0	3.3095	3.7931	1.2583	2.6657	1.2259	4.2185	1.838	0.71485	4.4953	2.4041	3.0335	2.7335	0.49161	1.4905	1.4344	3.458	1.7416	5.0066	7.3112	2.3465	2.027	1.75	3.1416	2.1009	3.6259
RS_G17185__KRT10__KRT10	5.9492	5.2209	5.8283	7.371	5.8476	5.9456	4.4498	5.5632	5.1588	3.8022	5.252	5.0225	4.9118	5.9015	6.2218	6.2536	5.6795	4.6376	5.4135	5.0366	11.1479	6.0369	3.6436	3.5636	5.0658	7.0161	4.5832	5.4914	6.391	6.5887	6.7935	4.6743	5.3914	4.6275
RS_G8168__RHCG__RHCG	0	0.76408	0	1.7502	0	0	1.4873	0.74178	0.50384	0.96672	3.6706	3.1828	3.8711	0	2.7996	1.6309	4.9588	3.3408	2.7627	1.0135	2.2705	0	1.7348	0	3.5912	1.8421	5.4309	2.1324	4.4168	0	2.9171	0	1.7677	0
RS_G3861__SCGB2A2__SCGB2A2	13.9607	7.2469	8.4444	3.1721	0	5.1291	2.0737	4.905	7.1077	7.7127	0	0	0.67662	0	0	0	0.75343	1.9939	2.7482	1.1297	9.2795	0	12.9283	1.2589	1.064	9.6874	0	0	0	11.1134	0	10.6074	14.5809	5.6558
RS_G1730__FAT2__FAT2	0.57568	0.94746	0.23243	0.48221	0.63808	0.41813	3.7065	0.74319	0.040265	0.48933	0.74388	6.505	4.6282	1.7543	1.5427	3.8253	3.4034	0.30019	0.27443	1.2493	2.9341	0.20058	0.2108	0.46883	5.4965	0.58878	0.59742	0.43138	7.0238	0.94431	1.2235	0.23214	0.64995	0.5655
RS_G6438__H19__H19	1.1105	10.4938	2.6615	4.2746	0.23891	1.0195	3.0509	2.0724	0.83467	4.1738	2.527	9.1435	2.137	3.2118	4.9475	0.12357	0.57515	12.6153	2.9375	2.5878	10.9996	0.51368	4.7313	1.5866	5.89	12.8147	1.434	0.45922	12.6438	9.9543	5.8115	3.6638	3.5258	2.5666
RS_G1039__SYT1__SYT1	1.123	2.1228	4.824	8.2377	4.8047	0.86198	1.222	0.68231	5.6408	5.3681	0	3.4414	1.3791	4.1984	1.2674	3.4954	4.8334	3.3681	5.8949	8.1976	0.47919	3.3375	2.2683	0.18611	0.34465	4.36	5.568	0.54555	2.9818	4.8527	4.0193	0.88003	2.2162	0.63215
RS_G11572__GUCY1A3__GUCY1A3	2.1771	3.1726	6.4643	3.3749	2.7359	0	6.4477	4.1023	6.8828	0	3.6806	4.4499	2.4961	6.7048	0.41764	2.2033	8.1568	0.056954	2.1317	0.22101	4.4527	0	5.9314	6.7064	4.7362	0	1.7081	3.0364	1.891	0	0	1.1889	3.6042	3.0295
RS_G10667__TPPP3__TPPP3	2.2526	0	2.186	6.7959	0.41479	1.8475	2.3133	1.109	7.6865	0	4.4312	2.1008	0.83472	0	0.90646	1.6514	5.3208	1.3278	0.42247	5.9442	5.773	0	1.9225	0	3.125	0	3.6597	4.4601	3.6464	0.64202	2.8537	5.2787	7.4528	1.5766
RS_G17559__CARD9__CARD9	2.0174	7.0099	0.6706	5.6672	1.4088	2.6325	2.0393	1.4984	3.6816	5.0528	2.7027	1.4486	2.5832	2.3415	4.4666	3.4205	1.4162	3.0093	1.3258	0.86781	4.6972	1.1757	2.3871	2.5131	8.2604	6.5049	3.0512	2.7976	2.6337	1.2984	7.1332	2.2405	4.3282	2.7942
RS_G21575__AC073585.8__AC073585.8	3.8264	0	2.278	3.2495	3.6652	3.6842	0	3.0824	0	3.6266	0	3.0862	4.9089	3.2126	3.227	3.6645	3.961	2.1498	3.7007	0	0.704	2.0993	1.1956	2.5717	2.823	2.3436	1.2864	2.8635	1.5066	10.4013	1.8729	1.8412	0	0
RS_G19421__ANKRD43__ANKRD43	0.68894	0.2593	3.6807	5.9951	0.14915	8.0828	0.2467	0.39425	4.0266	5.3162	2.7259	0.3412	1.4485	1.9012	1.8589	0.34528	2.0114	1.9544	1.3813	4.5803	1.4627	0.073516	2.734	0.68446	2.4367	0	0	1.9312	0	0.7374	6.731	7.7023	2.4612	3.3888
RS_G7269__HEY2__HEY2	3.6871	0	4.2335	5.6502	1.3674	1.1515	2.5575	0.48244	3.959	1.6937	2.4811	2.3717	2.5058	0.93292	1.007	0	6.9965	4.8089	0.82328	5.3503	1.4155	2.29	5.3855	0.59431	4.5517	0	4.2589	0.77271	0.28944	3.3842	0.64409	6.0077	5.5727	5.2139
RS_G28096__CRIP1__CRIP1	7.9844	4.1652	10.7307	13.429	1.4617	2.9972	3.1334	1.3965	13.7478	3.9517	9.5409	7.9296	1.0811	2.5807	4.013	2.5551	10.3575	6.32	4.123	11.2384	9.4178	0	11.4462	10.3518	3.5508	3.7792	3.5393	12.4211	12.4714	1.3665	11.503	12.5563	13.3168	13.0061
RS_G12470__CORO6__CORO6	1.3736	5.0261	0.59829	1.6239	4.7642	1.2424	0.53723	2.196	0.58695	1.6114	3.6444	2.0788	3.9669	3.775	4.9726	3.2655	1.2535	0.73365	0.41837	2.0176	3.8302	3.9416	2.9862	3.0768	3.4635	4.5564	1.1636	4.1819	5.1099	4.2711	2.3894	5.3274	2.0977	1.1167
RS_G10280__RAB11FIP1__RAB11FIP1	7.6887	6.2778	7.0128	12.2859	4.5822	8.1106	7.2796	4.0893	8.438	8.7856	8.1977	5.5418	6.2577	5.6096	5.7509	6.7727	5.928	5.4681	6.386	10.7433	6.6273	5.9329	7.033	5.945	5.9973	6.155	2.8408	4.7669	4.8767	7.8875	7.9949	6.493	9.2453	8.7531
RS_G12795__NPNT__NPNT	7.6213	2.5915	4.7165	6.7604	0	9.7292	6.8894	0.69471	5.5643	11.2166	9.5247	2.0807	6.5407	4.0569	6.2473	0.95379	7.1449	7.0112	6.9973	6.7223	3.7574	0.55913	6.476	7.469	4.2307	2.3733	0.20857	2.0193	2.6366	2.0589	3.9583	5.7569	7.4204	3.5592
RS_G6639__KHDRBS3__KHDRBS3	2.7656	1.8859	6.3116	2.5982	3.6717	3.9119	7.3774	8.9619	0.14162	3.5335	5.9593	3.7957	4.6798	4.5205	3.9564	3.1927	3.2543	0.13271	1.6897	3.5037	3.0254	7.1711	4.1739	3.1378	6.1196	0.99985	6.8705	2.3588	0.69378	2.4602	2.8818	4.0823	4.0691	5.0319
RS_G8036__ITGB7__ITGB7	2.8381	3.0819	1.1466	2.1593	0.68558	1.0459	1.566	1.2253	2.9661	2.2489	2.0587	1.0802	2.7707	2.6655	0.71429	1.6216	2.2171	3.9679	2.3043	2.6539	3.0913	0.258	2.0046	0.91278	2.8123	1.8192	2.9868	1.7663	2.6722	1.5759	3.646	2.6657	0.84553	0.26265
RS_G7167__ADAM19__ADAM19	5.0712	6.9435	0.69705	2.9636	7.4741	0.38305	6.6385	5.3497	0.17265	0.22092	1.5558	4.4122	1.7055	5.2338	4.4636	5.8058	3.8545	1.6872	0.69548	3.9726	2.9015	6.0789	0.040708	0.28145	2.3256	4.8527	5.6307	2.7338	6.556	3.2612	2.3468	1.6562	3.1471	2.3855
RS_G13924__C11orf86__C11orf86	1.453	9.9466	0	0.50858	1.1966	0	0	0	0	0	3.5889	0	0	1.786	4.2136	0	0	0	0	0	7.1704	1.6118	0	0	4.3916	4.8992	0.88539	7.3083	3.5987	5.714	0	2.939	0	0
RS_G10495__KCNB1__KCNB1	1.009	1.6281	1.3342	0.69095	6.7484	0.95534	1.0196	5.9644	1.3974	0.64929	2.7909	0	4.5119	2.4749	3.1757	1.1316	0.29482	0.20345	1.4521	4.6198	3.3711	0	1.1101	0.45671	2.97	2.4428	0.46397	0.1431	0.85425	4.7037	4.3103	1.4735	1.5389	0.28775
RS_G16016__BGN__BGN	6.1983	3.0168	0.81578	6.0304	0.46043	1.2654	4.8681	13.0594	0.98996	8.3452	9.6458	3.0261	3.1278	1.0991	0	6.1468	5.9629	1.3713	0.20614	4.7614	1.7223	2.353	6.1295	5.7421	8.3231	1.3734	2.8283	10.41	7.1948	0	0.90622	5.4476	2.2767	0.91214
RS_G3189__FAM83E__FAM83E	5.5054	1.2887	6.353	0.46463	0	0.66648	2.1666	0.72379	2.2539	2.0567	0	0.54652	0.91415	0.6177	1.8641	1.3612	6.4207	0.24924	0.64938	2.6827	3.2312	0.43665	6.4674	1.5424	1.724	0.31951	1.7205	1.4596	3.2627	0.50302	0.72718	0.71148	0	1.3318
RS_G2004__TGM1__TGM1	5.3721	9.4474	2.3286	3.8808	1.7513	2.7163	4.4828	2.8924	2.0639	4.04	2.0162	2.9572	6.9913	2.9415	4.9255	3.0329	2.556	6.114	3.719	1.9212	6.4252	3.1641	2.8856	2.5922	5.9739	7.4251	2.4886	6.8145	4.2484	3.6189	4.1613	6.0171	4.3151	2.8052
RS_G14619__GJC3__GJC3	5.1109	1.8959	1.5143	3.8425	0.41479	2.0959	4.3671	0.96981	5.4889	2.1872	4.8849	1.0688	1.8684	4.541	2.8968	0.86946	6.1687	1.4189	1.6812	2.2311	2.9997	0.56527	4.4185	4.9652	4.0407	0	0	2.9844	1.0534	4.0553	3.7645	1.1652	3.6653	3.406
RS_G17651__RAB42__RAB42	4.7677	1.7656	2.9216	3.4162	2.642	3.0762	2.7951	4.0546	3.3722	3.8698	4.7778	2.9868	4.3234	2.3992	2.7081	3.7617	4.3767	2.713	2.8852	3.647	2.2411	1.9088	2.7932	3.1032	2.6436	2.7408	2.8262	7.8286	4.0306	2.1449	2.5359	2.9611	2.5914	2.6712
RS_G10056__ADAMTS1__ADAMTS1	0.40649	0.19684	2.7451	4.6542	9.1222	3.9788	5.5768	5.2846	2.2992	7.1431	5.8779	7.4379	3.0483	2.3121	6.6168	5.8881	3.6986	0.10674	0.26857	2.8343	3.8711	3.8867	5.6499	6.545	7.2146	0	2.307	6.9795	2.4462	1.1737	1.1843	1.2481	4.9621	4.8179
RS_G9579__ITPR1__ITPR1	4.5134	4.3867	4.2731	5.8671	4.1573	6.2952	2.9145	5.4786	5.4467	4.5951	7.5681	2.6701	2.8093	3.9339	2.283	4.1131	5.5363	3.532	4.8192	5.5256	2.8362	3.7143	5.7936	8.8582	4.3118	4.6352	6.4763	4.8728	2.5628	4.8514	4.6343	4.9267	4.8971	4.1731
RS_G6542__C1QL1__C1QL1	3.763	4.6965	0.75664	6.0783	6.7676	3.3057	7.5882	5.6589	1.999	4.6891	4.5608	2.6627	4.9491	2.2673	5.8265	4.975	2.0219	5.4241	5.4863	4.5279	3.8951	3.1588	3.6742	0.55244	4.1357	4.3193	4.3657	9.8207	4.538	3.6612	6.0295	4.0256	6.7244	5.8191
RS_G21898__CARD16__CARD16	0.84619	1.2359	0	0	0	0	0	0	0	0.4364	1.243	4.3336	2.7053	4.9938	3.3761	0	7.5705	0	0	0	0	1.5332	0	0	1.661	3.0494	0	2.3581	4.1815	3.8427	5.8372	0	0	0
RS_G11101__FAM5C__FAM5C	0.21266	3.6632	2.4902	0.60928	0	0.91414	0	0.38169	7.4316	0	0	1.3209	0	0	1.0654	0.72076	4.5769	3.7182	0.61657	0	2.7863	0	6.0253	7.372	0	0.68983	0	0	0	0.90882	0	6.6578	9.1072	8.0858
