Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G14071__HOXB2__HOXB2	0	1.4939	0.61128	3.8831	6.8712	2.1445	0	0.49328	8.0832	0.41649	0.51773	5.0166	1.9303	6.6224	6.3175	0	4.6361	7.1941	3.1744	0.43886	1.9508	0	5.126	7.0143	0	1.9493	0	5.4183	7.3697	8.5803	7.6631	1.4454	1.5406
RS_G17302__KRT16__KRT16	5.7658	3.1764	2.3818	5.6129	0.28859	6.0805	10.7235	6.7007	1.2431	1.4693	6.9239	6.7744	12.4501	7.6521	3.4383	9.9669	2.3008	10.6566	3.9295	6.0096	1.6805	0.72684	3.0384	2.1965	1.5744	1.8388	11.3122	9.5632	12.3241	3.8277	0.69855	3.2686	3.0416
RS_G3964__MGP__MGP	12.7444	2.1266	10.3876	13.053	10.6511	7.0869	8.0389	10.2032	3.1229	10.7774	3.9569	1.3697	8.6133	12.1311	8.8839	10.4834	4.1418	13.2784	6.112	3.7236	6.4925	3.8402	8.314	6.6113	3.6695	1.0938	9.938	2.1658	3.1152	12.988	6.25	8.1643	5.2927
RS_G2274__TIMP3__TIMP3	7.1676	1.4484	0.20404	4.3628	0	0.54618	0.15932	7.2281	0.73369	0.19599	11.9588	8.3461	9.2857	0.17607	0.096304	7.7407	0.49099	0.92898	10.0072	4.2692	9.644	5.7329	2.0761	1.5956	1.9357	0.46861	4.2941	7.3446	4.9621	4.2155	4.6465	2.5201	0.72845
RS_G7670__DDX60__DDX60	3.8387	0.32032	2.7237	6.0772	1.8134	2.4436	2.2916	3.7062	1.2384	2.325	7.7036	2.3434	6.1506	3.5657	4.5014	1.0877	3.1529	7.8636	1.6225	1.3036	1.3175	3.1707	0.73398	0.62401	0	0.73295	3.8316	3.7637	2.1658	1.8779	1.3425	1.1743	0.43139
RS_G4751__ST6GALNAC5__ST6GALNAC5	1.3493	1.0504	1.3399	1.0143	5.9416	0.2507	6.665	1.5309	5.1082	0.17517	7.3934	0.37743	6.2258	5.5602	0.23447	8.2988	7.1961	7.0426	1.3656	0	2.2612	5.7759	0	0	0	0.75056	6.2159	0.52553	0	0	1.0276	1.2189	0.95463
RS_G3584__PSMD3__PSMD3	10.394	13.2512	13.2945	10.1974	9.4771	9.9499	9.5923	8.9473	9.9654	9.501	9.3141	10.6592	10.4176	10.2489	8.9759	10.0743	10.7517	9.4688	9.7871	10.3671	9.3173	10.2483	11.1783	11.1809	12.3601	10.3903	9.3166	11.3511	10.1746	10.5305	14.1566	9.9363	10.7353
RS_G7691__FXYD6__FXYD6	5.7685	2.1274	2.1789	3.8716	0	0.3027	5.739	1.3528	0.57647	6.4826	6.0859	0.24504	4.7351	0.27962	0.541	4.212	1.002	0.38471	0.17696	4.1257	3.1482	0	2.9596	0	0	1.1793	0.55351	0	0	5.0247	3.1366	2.8838	1.5806
RS_G21870__CFB__CFB	7.9247	4.5184	0.31255	3.8213	0.89532	2.739	3.6614	3.2893	0.70097	1.3855	8.1322	3.8825	6.5621	4.8008	3.9497	6.0216	4.8521	9.7937	4.7979	1.984	1.1114	3.7497	0.63754	1.0439	3.5782	1.9396	7.9667	4.3264	1.2397	5.8114	1.358	1.631	0.71358
RS_G13007__BNC1__BNC1	0.17496	0	0	0	0.11319	0	0.81886	0.88733	0	0	1.8404	7.2166	2.397	0	0	6.2808	4.4389	4.6488	0	1.7106	0.22246	0.10882	0	0	0	0	6.3515	0.33644	0	0	0	0.16295	0.16536
RS_G16982__IFIT1__IFIT1	4.0272	0.24404	1.6038	8.4349	2.6931	1.5317	3.5077	4.2694	0.73486	5.2973	9.1722	6.0939	6.5673	6.0911	6.388	1.8643	3.3544	10.3925	2.1393	3.6083	3.6486	6.2823	1.4311	1.9978	0	1.8031	5.7124	3.6724	3.048	5.5259	0.1874	1.7547	0.9293
RS_G12785__SLC16A4__SLC16A4	3.8688	2.8627	1.8764	3.793	1.5098	3.7081	2.5332	3.8893	2.5505	2.9457	7.7481	1.8694	2.8096	1.1751	2.7355	4.7571	3.7372	3.9577	2.4846	2.1431	1.9558	1.342	2.4408	1.6133	4.4726	0.97355	2.3942	1.1238	1.7544	3.9175	0.53288	1.1295	1.52
SNP__TRBV6-2	0.0098	0.453	0.355	0.322	-0.135	-0.257	0.042	-0.706	-1.599	0.29	-2.535	-0.782	-0.251	-0.206	0.557	-0.3346	0.434	-2.904	-0.1446	-2.003	-0.2195	-0.0176	0.343	-0.0298	0.459	0.526	-0.864	-0.282	0.0294	-0.2956	-0.317	-0.042	0.028
SNP__KRTAP9P1	-1.183	-1.304	-1.258	-1.314	-0.202	0.096	-1.506	-1.732	-0.461	0.346	-0.646	-1.553	-0.373	-0.782	0.407	-1.288	1.183	-1.97	-1.631	-1.416	-0.589	-1.122	-1.452	-0.555	-0.938	0.468	-1.484	-0.892	-1.419	-1.009	0.708	-1.293	-1.371
RS_G5608__KCNK15__KCNK15	3.7504	0	0.7482	5.7541	2.6802	2.0511	0.33281	0.4347	0.40328	4.7115	1.3315	0.58116	1.862	0	0	0	0	1.0739	0.76302	8.962	5.9771	0.19594	2.8145	0	0	0.65405	7.0193	1.2994	0	4.0176	6.9586	8.3502	2.988
RS_G4193__ENPP5__ENPP5	5.7829	1.5649	4.4447	4.4737	0.83248	5.292	3.813	0.42181	5.1396	4.0006	5.0049	1.4293	3.136	3.9852	0.36567	4.7812	0.25657	6.4109	0	1.629	4.1081	0.4608	1.9966	1.2967	4.2269	0.45388	2.391	1.4493	4.1849	5.7	2.2616	5.2603	3.3317
RS_G1700__WNT11__WNT11	0.95554	0.84773	1.4629	4.0612	2.4978	0.26815	2.2228	0.15487	0	2.7953	7.6623	1.9448	1.5183	0.12823	0	1.0841	1.9585	4.9662	1.6509	6.8246	2.6715	0.64391	1.6128	0	0	0.94427	8.51	3.1453	1.8569	2.1116	0.34001	0.65293	0.19576
RS_G12975__IL8__IL8	2.4162	0	0.28144	1.3546	5.0009	0.48587	5.3182	3.6831	0.14355	0	4.1919	5.2983	3.3396	5.781	0.47263	6.7404	4.9168	3.9488	7.2819	0.81189	0.25768	6.1665	0.83746	0	0	0.44358	6.3091	0.69434	0.7175	0	0	0	0
SNP__NEUROD2	0.376	1.965	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	0.201	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__PPP1R1B	0.376	1.965	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	0.201	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	0.282	-0.144	0.294	2.132	-0.034	0.021
SNP__STARD3	0.376	1.965	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	1.819	-0.144	-0.141	2.696	1.605	0.201	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	0.282	-0.144	0.294	2.132	-0.034	0.021
RS_G2752__C13orf15__C13orf15	1.6778	0	0.2523	1.5405	1.0073	0	7.0141	5.6897	0	1.543	1.4384	2.3605	3.5916	1.9013	0	5.5066	1.8871	5.2724	0.83926	0	0.42973	4.7928	0.80035	0	0	0.40215	4.3445	2.0999	2.9343	1.478	0.3017	2.636	1.8022
RS_G7943__ERP27__ERP27	7.6388	1.2801	6.1285	5.5273	0	3.4983	3.2757	0.3565	6.1989	0.7548	4.0817	1.5752	3.8164	4.7452	2.495	7.2268	0	8.7732	0	0.79097	2.1126	2.4509	5.4332	2.3241	4.3544	0	5.1827	1.7343	1.2358	3.9084	3.4227	6.7415	1.574
RS_G16506__KCNJ12__KCNJ12	5.0094	4.985	0	0.32763	0.36341	0	0.24471	0.27287	1.565	0.20359	0.092253	3.5222	2.7475	0.34782	0	2.5407	1.931	0.046719	1.0266	1.4723	0	0	3.3482	0	1.5272	2.0692	2.4894	2.1048	7.9899	0	2.8029	0	0.27664
RS_G4436__CCL20__CCL20	1.9698	0	0	0	0.92801	0.95898	0.82603	1.8539	0.57533	0	9.1032	2.6324	1.6539	0.51556	0	6.5061	0.53131	1.0229	0.60805	0	0	0.90037	0	0	0	0	6.4299	3.4352	0	0	0	0	0
SNP__ZNFN1A3	0.376	1.965	1.862	0.242	-0.07	0.096	-0.423	-0.316	2.135	-0.411	2.277	-0.144	0.43	2.696	1.905	0.207	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	0.282	-0.144	0.294	2.132	-0.034	0.021
RS_G7879__HERC5__HERC5	2.3699	0	1.1018	4.8412	0.14696	1.4218	4.5886	2.5298	0.90345	1.1983	8.0916	2.7091	5.6631	4.4059	1.7557	2.964	4.5001	7.8085	0.083816	0.81141	0.62941	5.3756	0.78169	0	0	3.9803	3.3359	3.2928	2.1255	1.4633	1.096	0.70351	0.21229
RS_G11512__MFI2__MFI2	4.3376	4.3429	1.2557	4.4132	3.628	2.9574	6.8524	3.5305	2.1402	3.1866	5.8231	4.626	7.4331	3.2695	3.5363	6.2704	6.235	7.1904	3.2178	6.123	3.9668	6.0568	3.3973	2.8792	3.1469	3.4065	6.6324	6.8699	3.7922	4.9251	5.1397	4.8503	5.4993
RS_G11321__IGFBP7__IGFBP7	0.48984	0.20472	0.64677	0.22802	4.9569	0.60953	10.1072	4.3762	0	0.96387	5.4059	8.8986	8.1983	0.71009	1.6	9.7724	4.1764	5.9428	11.5239	1.4949	0.22795	9.8327	0.10584	0.93944	0	0.70873	4.6982	9.9865	0	2.6526	3.9518	0.57635	0
RS_G6542__C1QL1__C1QL1	3.763	4.6965	0.75664	6.0783	6.7676	3.3057	7.5882	5.6589	1.999	4.6891	4.5608	2.6627	4.9491	2.2673	0	5.8265	4.975	2.0219	4.1685	5.4241	5.4863	3.1588	3.6742	0.55244	4.3193	4.3657	9.8207	4.538	3.6612	6.0295	4.0256	6.7244	5.8191
RS_G3807__LPXN__LPXN	4.4572	3.8249	4.6454	3.0135	4.0192	4.0199	3.3559	5.9285	1.6903	3.703	5.2704	7.4217	5.7899	3.8946	3.3023	5.7034	3.7592	6.6655	8.9465	4.1342	2.9364	6.0065	3.4461	4.0319	3.5122	4.9321	3.6065	1.4933	4.6376	4.4154	3.9342	3.882	3.6265
RS_G6274__KLK10__KLK10	0.71878	0.20625	1.3396	1.2238	0	0.62219	9.15	0.25601	0.39295	2.0282	2.7793	6.3945	10.9516	1.8961	0.1524	6.979	0.22273	3.3567	0.33246	2.017	0.95155	0.22033	1.1275	0.28013	0	0.27978	1.6485	10.3954	0	4.1029	4.0939	1.8135	0.42331
RS_G14914__PGBD5__PGBD5	2.5018	2.9794	3.1999	5.547	1.9775	5.1598	6.6397	3.0331	0.22966	1.317	4.4039	1.9745	2.6064	4.145	0.14608	5.9063	4.2302	7.2011	0	5.1453	2.4298	0	5.1969	0	0.70583	0.26209	6.4248	4.7336	3.9571	2.1338	4.951	6.1655	4.287
RS_G7164__C9orf61__C9orf61	4.8022	0.16473	2.4311	3.6999	0	2.8137	2.0588	0.46741	0.19574	1.9729	1.5573	0	3.7812	4.2492	0.18218	4.2811	0.61178	2.4214	0	3.8531	4.0848	1.9287	2.0662	0	0	0.81004	0.35035	0.28052	3.0649	0	6.688	5.4726	1.911
RS_G22235__AC087350.3__AC087350.3	6.7584	3.3757	0	4.1748	0	2.4007	8.6826	7.0026	2.5144	5.3739	9.9573	0	6.5159	4.2809	6.6282	8.6943	4.2513	7.319	0.31621	0	5.0434	3.8004	0.80904	1.6475	4.3854	4.6914	10.1015	2.8659	3.0354	5.2584	3.9664	3.1179	0.82242
RS_G13657__SNTB1__SNTB1	5.3832	8.4768	2.0145	4.4193	0.46368	0	4.8195	3.6208	0.92349	3.4038	1.0708	0	3.8555	1.6321	0.59612	3.1292	1.0472	4.6096	7.4302	0.58832	1.0654	4.9661	0.91013	0	6.4231	4.5946	3.3807	1.4481	0.43164	3.1699	0.94195	3.7784	3.5099
RS_G9324__ST8SIA6__ST8SIA6	3.8932	0	4.7236	4.8714	2.1798	3.4005	2.6211	0.20409	4.2456	4.6402	4.6694	0	1.0323	0	0	0.86801	0	4.2708	0.3832	3.6887	4.65	0	2.0304	3.3897	0	0	1.0637	0.50878	4.465	3.4748	3.3897	0.25324	0.47484
RS_G11045__AKR7A3__AKR7A3	1.5004	9.0838	2.8319	5.5429	2.3864	5.6015	0.33305	2.1664	10.1604	6.9813	3.9476	2.5796	2.6553	2.5611	3.5058	1.6885	1.8247	3.6119	3.3894	2.2465	2.6067	2.2116	8.4881	9.7412	7.4822	2.8625	4.159	3.0998	3.0519	5.115	7.2329	8.6879	8.2294
RS_G10836__FGFR4__FGFR4	5.2034	7.7635	8.2284	8.4723	3.6823	11.0861	6.4162	5.236	9.6719	7.2021	7.4945	6.5832	6.241	8.4301	9.4006	5.9966	6.3794	4.5084	2.9314	7.9454	7.7888	4.8446	12.8321	13.6847	6.4864	6.0949	5.9918	6.8846	7.9866	6.6089	9.7925	10.4536	9.5726
SNP__ZPBP2	0.376	1.965	1.862	0.242	-0.07	0.096	-0.423	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.905	0.207	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	0.282	-0.144	0.294	2.132	-0.034	0.021
RS_G4435__IL1A__IL1A	0.69823	0	0.28336	0.54584	0	0	0.15257	0.20064	0.35738	0.23797	1.0015	6.1503	3.2881	0	0	3.1838	0.76755	0.77038	0.20083	0.17577	0.17804	0.4537	0.044939	0	0	0	2.6039	1.5682	0.36359	0	0.062155	0	0
SNP__GSDML	0.376	1.965	1.862	0.242	-0.07	0.096	-0.423	-0.316	-0.461	-0.411	-0.318	-0.144	0.43	2.696	1.495	0.207	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	0.282	-0.144	0.294	2.132	-0.034	0.021
RS_G10636__AC140077.17__AC140077.17	6.4734	6.1038	3.6772	4.9298	6.3114	4.3628	5.7212	10.4706	2.8701	3.3701	10.9558	5.729	6.1452	6.4867	6.0287	8.6229	7.1547	8.5327	8.2138	2.1652	2.5573	4.1819	4.0261	2.353	3.5703	2.1811	7.9831	5.4752	4.4278	2.8825	1.3347	4.7804	2.011
SNP__TCAP	0.376	1.965	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	0.201	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	0.282	-0.144	0.294	2.132	-0.034	0.021
RS_G5077__IFIT3__IFIT3	3.5073	0.42614	0.71146	5.6835	4.0217	0.75143	2.7317	3.1272	0.27072	3.3751	11.1729	5.7703	7.0085	6.9943	4.9036	1.7564	4.5726	10.4635	5.107	2.2909	2.3899	7.6113	0.82931	0.76318	0.59164	2.3992	5.1299	4.7129	1.908	4.7428	0.32613	0.87193	1.4226
RS_G5079__IFIT2__IFIT2	3.9033	0.57291	1.0182	4.2654	1.9049	0.74433	3.1547	3.2978	0.16058	3.692	11.0262	4.9108	6.1426	6.1351	3.4737	2.9153	3.2552	8.711	2.4582	0.97812	1.9047	6.3895	1.2038	1.6276	0	0.49342	3.8401	3.4226	2.3313	3.0752	0.28839	1.0737	1.03
SNP__PNMT	0.376	1.965	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	0.201	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	0.282	-0.144	0.294	2.132	-0.034	0.021
RS_G10910__CCL5__CCL5	3.492	1.9053	2.6625	4.9081	3.0073	3.5739	3.4087	4.5538	3.411	4.4292	11.2916	2.7366	8.0883	4.4286	4.7918	6.4101	4.0382	7.181	3.9801	4.6098	3.2963	2.3663	3.9704	3.0851	2.8075	2.8119	4.4957	4.2972	3.0975	3.9904	2.4924	1.8219	3.0076
RS_G11751__DLC1__DLC1	0.52174	1.3191	0.98144	2.5792	0.43438	3.7499	4.3824	3.6961	0	5.6513	3.3982	3.7535	2.7178	0.031946	0	2.4551	5.2094	0.060786	8.0268	4.6003	3.4051	7.5742	0.45432	0.22823	2.4852	0.53131	2.3611	4.4893	0	1.6785	1.2521	3.4241	3.5875
SNP__PERLD1	0.376	1.965	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	2.251	-0.144	-0.141	2.696	1.605	0.201	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	0.282	-0.144	0.294	2.132	-0.034	0.021
RS_G7562__NOV__NOV	6.3991	0.7816	3.3497	1.5592	0.39352	0.80455	6.7812	3.3477	0	0.15448	0	2.2916	5.127	2.5802	0.97304	2.5852	1.0721	3.7115	8.1961	0.56584	0.57226	6.3971	2.8916	1.217	0	8.2172	4.5959	4.8195	0.69733	0.95114	1.2699	0.76414	0
RS_G4297__DPYSL3__DPYSL3	4.2682	0.83739	3.5608	4.3315	0.35313	0.36739	0.99867	6.742	0.05365	0.13571	4.9268	2.2627	1.653	0.09219	0.18951	1.0895	7.5919	1.2393	9.5025	2.118	0.35981	2.376	1.1786	0.17482	0	3.4451	0.51889	1.6933	7.2656	3.9465	1.8393	2.248	4.8161
RS_G8354__PMAIP1__PMAIP1	4.0124	3.1341	5.0862	4.7247	5.4108	3.4802	5.7681	5.6443	0.25956	3.9484	9.8502	4.4074	4.8414	5.4832	0	2.9297	7.3392	6.0246	5.9079	2.6823	2.1942	6.9079	4.193	0.73814	1.8729	4.2525	4.0255	5.387	2.6193	2.8566	3.0695	4.9198	3.01
SNP__C17orf37	0.376	1.965	1.862	0.242	-0.07	0.096	0.172	-0.316	2.135	-0.411	2.277	-0.144	-0.141	2.696	1.905	0.755	0.424	-0.268	-0.207	-0.434	-0.505	0.11	1.523	0.769	1.946	-0.191	-0.193	0.282	-0.144	0.294	2.132	-0.034	0.021
