Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
EA_G__FKBP10	9.0546	9.6293	8.302	5.334	9.2253	7.1871	8.358	5.4329	8.8414	5.871	5.2026	8.8307	7.781	7.7694	5.4977	5.8272	8.2079	9.792	8.7845	9.9719	8.8278	7.4578	5.739	8.5766	5.3066	8.4515	7.6708	9.5271	8.3804	8.5628	9.2679	5.5117	8.0723	6.9652	5.8348	6.6115	8.8754
EA_G__TNC	6.8419	4.5317	8.0622	7.9377	6.5045	4.5282	10.3359	11.7961	10.5952	4.4803	4.2461	6.7117	5.6666	6.5706	9.083	6.9443	8.7277	10.3709	9.8215	9.1583	4.8052	4.8852	10.3004	6.8871	5.9621	9.4908	9.8865	4.591	9.3078	7.1626	9.313	6.6164	9.3018	4.8565	4.7517	4.5568	4.34
EA_G__TPM2	5.1606	5.2415	5.3477	5.2106	8.835	5.1325	7.9514	4.8864	9.1702	4.8827	5.0739	8.6567	7.1902	5.372	5.5809	6.0067	6.5898	8.3943	7.59	9.1634	5.7814	5.7214	6.0657	5.8531	4.9569	5.4943	5.9133	5.5924	7.7389	7.1555	8.7479	5.4426	6.742	5.3229	5.5192	5.3575	5.2939
EA_G__TM4SF1	10.5837	9.103	8.6444	7.0223	10.5797	6.7515	10.7816	9.0133	9.5101	4.7912	8.7278	11.0193	8.0929	10.0698	9.8907	10.7058	8.5726	9.7746	11.0964	10.8372	6.659	6.9126	8.5816	10.4572	4.2343	10.6986	10.1197	8.2184	11.0903	9.3613	9.8035	10.3292	8.9507	6.8106	7.9421	9.8794	5.3992
EA_G__ABCC11	4.9799	5.0771	4.4868	8.9135	4.3409	6.068	4.3488	4.5022	4.3945	9.0536	6.4968	4.3846	4.531	5.3781	4.6172	5.5215	4.3978	4.2837	4.7067	4.5984	4.5406	4.9815	4.152	4.4954	7.3019	6.4495	9.0235	6.726	4.427	4.9806	4.4854	7.5508	8.4576	9.3681	8.0366	9.5692	4.8818
EA_G__EEF1A2	8.724	10.195	10.7909	10.1908	7.0377	10.2507	7.8491	6.0991	6.8516	8.2655	9.0378	6.769	8.7147	8.2178	9.52	6.3966	6.868	8.5526	7.5921	8.032	10.8297	10.7881	9.2038	8.1047	10.1051	7.9425	9.8692	7.5646	6.6486	9.7901	7.7531	9.8363	7.4054	10.1629	9.1895	11.0605	11.6464
EA_G__ABCA12	4.3109	7.364	7.1095	6.8238	3.3572	3.9202	3.4709	3.3851	3.4184	8.1267	8.8693	3.3669	5.5671	6.1363	6.2983	6.998	4.6112	3.2091	5.7931	3.2291	6.2715	9.5323	3.1101	3.3908	10.1166	5.9646	7.5299	8.0032	3.6763	5.1243	3.733	9.0577	7.3809	7.9179	9.511	9.895	8.4165
EA_G__TMEM86A	7.6884	6.4556	6.3228	7.9473	4.9403	6.4644	5.4973	5.6342	5.8239	8.5714	6.3085	5.762	5.926	5.7045	5.7253	7.3806	5.8631	5.6241	5.8009	5.1528	6.1998	6.2003	5.8978	5.4022	8.2918	7.6789	8.1152	6.5041	5.7141	5.8456	5.6566	9.1944	7.4011	6.777	7.7605	9.1894	6.9478
EA_G__BMP1	6.6703	6.5794	7.9687	6.0246	8.212	6.0746	7.1822	9.0463	8.0235	5.4548	6.9235	6.8115	6.6383	7.5455	7.9091	6.5834	7.2222	7.792	7.3279	8.4422	6.9906	6.6899	9.678	7.0429	6.1197	7.0648	6.6947	6.5005	7.0603	7.7511	7.8272	6.411	6.4197	6.3307	6.3149	5.8934	6.5979
EA_G__ITGA5	6.3772	6.5342	7.6128	5.4102	7.8303	4.9929	6.7368	7.765	9.1896	7.0523	5.2835	7.3501	8.4005	6.6512	8.1923	7.09	7.8664	9.0643	8.8209	11.1238	6.6621	6.3823	8.059	7.7972	6.2126	7.0346	5.9778	6.1176	8.4345	7.5599	10.4308	6.8545	7.1407	6.7302	6.2623	5.62	7.8886
EA_G__MAP1B	4.0691	4.1506	5.5635	4.4828	7.3859	4.0451	7.1683	6.6007	8.4876	3.7581	4.3324	4.8655	5.0727	5.2252	5.1172	4.0538	6.0101	7.7143	6.2577	8.7705	4.4155	5.0935	7.836	7.159	4.158	5.8074	4.7968	4.2089	8.0577	4.7129	8.5112	6.5307	4.2357	4.0326	4.3419	4.0378	4.0619
EA_G__KIAA0984	6.3444	8.4452	5.9705	8.8413	4.2138	7.8078	6.3599	4.2813	4.2274	8.9468	6.8133	5.1804	6.9557	5.9346	6.8	8.0653	6.409	4.0248	5.8291	3.668	8.2604	8.3418	4.4505	5.864	7.8929	7.1228	7.3149	7.8815	4.4008	6.0266	3.9297	7.0509	6.4222	7.4861	8.208	8.3521	8.0007
EA_G__GNG12	7.9257	8.0554	9.1125	6.9215	9.5214	5.0723	8.6155	6.8475	8.645	7.8236	7.2029	8.1673	7.6447	8.9862	8.8599	7.3246	8.9495	9.2848	9.2523	10.1455	5.2669	6.6554	8.7552	9.0735	6.6523	8.8439	7.2152	7.7602	9.7441	7.9395	9.8269	8.4644	7.8464	7.0967	6.8414	6.0561	6.6101
EA_G__DEGS2	10.094	7.8298	7.062	10.9171	6.9738	11.1875	6.9282	7.169	7.3682	7.8178	11.8243	7.0946	7.2195	7.4204	7.132	9.1281	8.1767	6.9468	7.466	6.9471	8.7706	10.052	7.0186	7.0805	9.9454	11.6743	10.5058	8.2788	7.3888	7.2168	7.1113	10.3998	9.5285	10.7139	10.7919	11.6494	11.3238
EA_G__ALDH1L2	3.8704	4.6506	4.6715	3.8029	8.2493	3.8382	6.0497	8.1465	8.2078	4.1275	3.7704	7.1758	6.5789	5.668	4.2326	4.624	6.2321	7.7076	8.421	7.2761	3.9378	4.2675	7.2696	3.8061	3.6811	3.6515	4.2305	6.1047	8.7186	5.4012	4.4385	4.2922	4.5222	6.1109	4.577	3.9143	3.8966
EA_G__PRR15	8.5828	8.4609	8.4524	9.4281	5.9517	8.5116	6.3331	6.8835	5.4556	8.8302	7.6556	5.6097	6.8916	7.1865	8.0894	8.3428	6.3757	5.5522	6.7254	5.7507	7.5276	8.6434	5.9078	5.5891	9.0365	8.5096	8.2513	8.5682	5.5335	7.784	5.8528	9.3127	8.6535	7.2126	8.8522	9.174	8.0916
EA_G__ODC1	8.2896	10.465	9.5627	8.3575	9.4687	9.336	10.0973	10.0351	9.0722	8.0106	7.8639	10.349	10.8011	10.2312	9.4858	11.5169	10.2391	9.2002	8.7508	10.8136	10.032	8.9614	9.2352	10.9698	8.5127	8.4729	8.582	9.2004	9.8319	9.299	11.1664	8.589	10.2758	8.5891	8.4029	6.8497	8.8356
EA_G__IGFBP2	8.5819	7.265	8.5701	9.2045	5.7406	9.0647	7.9946	7.7249	6.7037	9.6491	9.7208	8.1824	6.5365	7.6499	7.3055	7.7549	8.2099	5.7756	6.114	6.1845	8.9304	9.2132	7.7601	5.934	10.1046	8.3743	9.0101	6.3136	5.7437	6.0489	6.0078	7.9551	8.6306	8.9587	9.4836	8.4837	9.1231
EA_G__MMP14	5.1852	5.3987	5.2376	5.2335	10.3729	5.1512	8.0249	9.9154	9.7962	5.0892	5.2954	5.2874	8.803	7.6928	6.3976	8.0609	5.2277	8.9768	8.7686	8.9717	5.9409	5.8539	7.6746	8.2005	5.1668	5.3091	6.2949	5.8482	11.2199	7.0852	7.8574	5.466	5.7344	6.2135	5.2291	5.5205	5.535
EA_G__PIGS	7.5697	8.5192	6.8888	7.5384	7.0996	7.4286	6.3865	6.7787	6.7768	8.2206	7.0898	6.9207	6.921	7.0373	7.7928	6.9324	6.8199	7.1571	7.0957	6.2242	7.1866	7.6895	6.4457	7.1863	7.4162	6.9111	7.4132	8.3361	6.8413	7.2873	7.503	7.9713	7.4937	8.455	9.3036	8.1412	7.9504
EA_G__CACNG4	8.4308	7.5358	5.5674	8.1032	6.8087	9.2541	5.6569	5.5719	5.8529	8.0835	9.0764	5.7716	5.8549	6.1478	7.1012	7.839	6.7572	5.5176	6.431	5.6094	9.1382	8.0995	7.8307	5.7591	9.7756	8.0782	7.9557	7.3151	5.791	5.8689	5.7018	7.8612	7.2037	8.0248	8.5048	5.6487	6.6438
EA_G__KIAA0040	7.8069	7.4789	6.7956	8.0575	3.8	8.4048	6.4704	6.2146	3.5663	7.7336	8.3521	5.6685	8.0741	7.745	7.301	6.8134	6.2849	4.5853	7.7369	4.0879	6.7133	6.7455	4.2463	4.9457	6.8716	7.5622	7.7957	7.5472	3.741	6.2459	5.6792	7.7124	8.7967	7.0601	8.0289	7.7549	6.7365
EA_G__CRIP1	8.4336	5.31	5.3267	9.7731	5.334	5.4641	5.3474	8.9387	4.8935	11.7544	5.561	8.2598	7.0206	5.2656	5.5827	5.8054	5.3255	5.4495	8.2606	5.0561	5.5382	5.4859	5.3967	4.9174	9.2424	6.8474	7.5698	5.9588	5.2163	8.9972	5.2167	6.8932	5.2574	9.2766	9.2825	9.7626	10.5449
EA_G__MSN	6.7845	5.5245	8.9289	4.0134	10.3783	4.1022	11.3117	10.2913	10.364	4.1309	7.0685	10.7693	10.103	9.5137	10.4191	4.4627	9.6207	10.8946	10.6461	10.7237	4.1429	4.7797	10.1759	10.8438	3.9279	8.4521	5.0086	4.469	10.7101	10.614	10.7822	6.4413	4.674	4.3941	4.086	5.8385	7.8425
EA_G__GREB1	7.7266	5.1994	4.9872	8.065	4.9192	8.3065	5.0069	4.9788	5.0048	5.6605	10.3094	5.0213	5.124	4.7545	5.1244	4.9551	5.1207	5.0989	5.1942	4.9357	8.9837	8.8045	4.9269	5.4587	10.088	5.7659	5.3925	5.4098	4.7723	5.3523	4.9276	4.9946	7.1014	8.7221	8.5094	5.2315	6.7104
EA_G__GSTP1	11.5172	6.0003	6.1295	6.0346	11.1308	5.8622	12.02	11.7468	11.734	5.8607	5.9335	11.77	12.0193	5.513	5.9581	11.1635	11.2713	11.265	8.5568	10.561	6.195	5.9383	11.1738	8.9486	5.7978	11.6968	6.8557	9.2514	11.0721	11.5502	11.2948	6.2721	6.4486	6.3612	5.7143	6.0423	7.4988
EA_G__LEPRE1	6.6604	6.106	7.0872	6.4096	8.8094	6.5042	6.8624	8.5287	8.9158	6.903	7.1955	7.9912	6.5855	6.995	7.2352	6.9778	7.1388	8.5846	7.1597	8.3424	6.6356	6.827	9.3727	8.1582	6.7103	6.9469	7.0673	6.3158	9.2172	7.4327	8.3081	6.9598	7.4537	6.4544	6.851	6.5327	6.3042
EA_G__PSTPIP2	8.1593	6.3706	3.5291	7.6426	6.6895	7.2941	7.4507	7.6004	5.3047	7.2812	5.7749	6.4943	7.0623	6.3866	7.652	5.1606	7.4375	6.6511	7.1926	6.3224	5.8662	6.3679	6.8034	4.9291	6.9576	6.2978	7.5041	7.2658	4.4207	4.512	4.9834	5.7917	3.9841	7.5519	7.4189	8.2947	8.3701
EA_G__LLGL2	9.3921	8.6915	7.7394	9.2172	6.2317	8.8119	8.2638	8.0503	6.7246	8.8674	9.3444	7.2747	7.7949	7.7966	7.8608	8.3801	7.9179	6.2965	8.1822	6.0368	9.5561	9.9449	6.5672	6.5173	10.4167	8.8447	9.2616	9.2767	6.1906	7.5902	6.2778	8.4538	8.1435	8.5877	8.313	9.276	9.4724
EA_G__MTL5	7.3752	5.3594	5.6064	6.7743	5.905	7.1465	5.563	5.6404	5.9772	6.7319	5.5117	5.948	5.7101	6.1794	5.8778	6.0857	5.932	5.6225	5.721	5.0947	6.2014	6.745	6.0433	5.4272	6.3906	7.8743	6.5718	5.7291	5.7605	6.2117	5.3424	5.7619	5.9627	6.769	7.3716	6.3228	6.9059
EA_G__SLC9A3R1	10.8284	10.4111	9.8632	10.9597	8.7121	11.6704	8.938	9.3166	7.8985	11.4576	12.2228	9.8097	9.4062	9.2397	9.4918	10.1126	9.0002	8.2983	10.211	7.7047	11.5891	11.5335	7.5431	9.0363	12.6162	10.3807	11.9228	10.702	7.9923	8.16	8.1862	9.9597	10.2024	10.9276	11.5295	11.3238	11.858
EA_G__IRF1	7.6982	7.006	7.6716	6.2702	7.9649	6.6868	7.0591	9.5285	7.102	6.2165	6.4752	7.849	6.7248	8.2268	8.5606	7.1732	7.0029	7.9304	8.6831	8.1805	6.5943	6.4556	7.736	7.2986	6.5244	7.6743	5.5382	7.2615	6.8532	6.8387	6.9039	7.2248	6.5218	6.4656	6.2076	5.5574	6.2691
EA_G__ANTXR1	5.3638	5.021	6.8935	6.2803	8.3203	6.4484	7.9829	6.8212	6.5266	4.5447	5.1114	6.4815	6.0603	7.8974	7.4695	6.41	7.5128	8.3548	8.5385	8.4815	6.8244	5.5532	9.1346	7.7099	4.9336	5.5327	5.7268	5.1019	7.686	8.0006	8.3681	4.7558	6.7588	6.3156	5.2435	4.9089	5.114
EA_G__LGALS1	9.5939	7.899	10.8558	6.574	11.277	11.2005	10.6348	10.804	11.7239	8.5854	10.1779	10.2933	8.0472	9.9389	9.7448	6.6399	9.8953	11.0029	10.3007	12.1505	8.6291	8.5415	11.8084	10.9971	7.1961	10.4959	9.9326	8.5912	11.5902	10.2838	11.5369	7.9171	9.4367	10.1992	8.4422	6.9899	7.1286
EA_G__RHOB	9.2793	9.3585	7.394	9.8896	7.6395	10.3938	7.6986	6.9264	7.1127	10.2289	10.0866	7.0769	7.524	6.9368	7.9047	8.7278	7.261	6.7834	7.1452	8.2823	9.565	9.2465	8.3788	7.5833	10.0124	8.9442	9.8377	10.0424	7.0709	7.9873	8.8352	8.0375	9.0331	8.5103	9.1206	9.1928	9.4859
EA_G__PRKCDBP	4.8323	4.9869	6.6066	4.8024	7.0079	4.9027	9.1517	5.7634	8.3214	4.4053	4.6242	7.4982	8.314	8.1819	4.8293	5.4113	6.7699	7.3649	6.0356	8.2985	5.6818	5.3427	7.9633	8.1638	4.8741	6.2092	5.7995	5.1549	8.6926	7.6327	8.5386	5.1614	4.9373	5.379	5.3021	5.1032	5.0301
EA_G__C3orf57	9.2863	5.9049	4.4867	7.7309	4.6794	7.6111	4.6058	4.6305	4.8902	7.5725	7.8092	4.6555	4.8895	6.7978	6.3972	7.6159	5.5729	4.2895	7.5956	4.3645	9.7988	9.5034	4.7775	4.9538	8.019	6.9899	7.6702	6.6396	4.8998	5.106	4.8812	8.0725	6.9367	7.0395	9.2455	4.7138	4.7469
EA_G__TP53INP1	7.1211	4.0339	4.7723	8.5398	6.3946	6.9129	4.1921	4.5465	4.4168	10.0237	8.8782	6.0874	4.385	6.9501	5.9169	6.8808	4.0731	6.0588	6.1896	5.8195	7.2924	7.6158	6.6539	4.5579	8.3123	7.0256	6.518	4.5237	3.7159	4.1588	3.8629	7.2959	5.8419	6.9661	7.8789	6.8327	6.9651
EA_G__LOX	4.0749	4.3528	4.0982	4.4889	11.8002	3.914	6.6246	6.7898	7.5504	3.5531	4.0064	8.533	6.0924	5.0426	3.8545	6.5508	7.0379	9.1134	6.2016	11.1703	4.2671	4.1135	8.062	7.2851	4.4892	3.6242	4.1681	3.9021	11.4184	9.062	6.3026	5.276	4.396	3.8898	4.255	5.2499	3.5707
EA_G__ANKH	4.7353	6.1321	8.0863	5.4319	7.5366	6.1278	8.4813	9.0894	8.5155	4.6888	6.49	7.8379	8.1721	8.2302	6.7129	5.1636	6.8831	6.3625	8.2345	8.8695	6.0957	5.1663	7.9234	7.4819	6.675	4.8461	5.6252	6.0369	7.6275	6.1743	8.3735	7.0396	7.2997	4.911	7.1822	5.0068	4.9094
EA_G__FAM83B	6.3988	4.2489	8.0882	7.5482	7.1767	8.1613	8.9338	7.3558	6.2679	8.1672	9.0873	5.885	9.1367	9.7395	9.0246	4.7067	9.3121	4.5395	8.5196	4.3005	8.9319	9.9937	5.593	3.9742	10.6464	7.693	6.9275	5.2107	4.5717	8.9613	4.6842	8.6428	7.971	7.8105	4.9443	9.305	8.0142
EA_G__GYG2	7.8871	7.1576	5.0908	6.2027	5.2693	5.7758	5.0278	5.4435	5.294	6.8818	5.6047	7.0613	5.6904	6.3938	5.9091	6.7178	4.9633	6.8701	5.4592	4.9197	6.1102	6.7559	8.9014	5.5224	7.9013	5.0136	6.0633	5.6047	5.4549	5.4488	5.136	6.3422	5.6961	5.9374	7.7537	7.8063	7.0443
EA_G__GPR137B	7.3173	7.3696	7.6294	7.4089	7.0778	7.3259	6.2259	6.8084	6.4613	8.107	8.2884	6.8585	6.7126	6.9986	6.5121	7.6793	6.8539	6.108	3.5024	4.7996	6.656	7.7104	7.3236	6.6327	7.212	5.9258	6.6425	7.1303	6.8735	6.4763	5.6081	7.6703	7.3033	7.8159	7.0711	8.8563	7.0471
EA_G__RCN3	5.2909	5.3223	5.2139	5.3075	7.2725	4.8899	7.2447	6.9714	7.8065	5.8705	4.9802	7.0715	7.8726	5.8531	5.3134	7.9319	5.9486	6.2787	5.7989	7.4315	6.196	5.6812	8.6519	5.1262	5.037	5.0976	5.9227	5.2641	8.8111	5.3963	8.538	5.7068	5.2303	5.3868	5.1206	5.5482	4.7636
EA_G__MMP2	4.619	4.7727	4.6578	4.5862	4.9219	4.4867	7.6929	5.7732	10.9422	4.4826	4.4733	4.9088	6.0595	5.4077	5.6186	4.9941	4.6012	7.4544	5.7767	10.3265	5.0395	4.9834	9.8229	4.6176	4.5248	5.481	5.6996	5.2895	9.6213	7.411	9.4531	5.1615	5.1411	4.8119	5.1935	4.914	4.563
EA_G__TMEM45B	7.6067	6.9318	4.8694	8.2607	4.0544	6.8897	4.1082	4.5358	4.32	8.2657	6.8742	4.5363	7.0629	6.5802	5.6247	8.1123	4.5414	4.0417	4.9594	3.8961	6.4895	5.7187	4.1766	4.7821	6.3274	8.0271	8.7181	6.6217	4.7421	4.5365	4.1764	9.1021	8.3886	8.0495	8.7831	5.7404	4.9571
EA_G__LEPREL1	5.7216	5.3689	8.7317	4.9851	10.3012	4.557	8.9252	6.2886	8.0287	4.8272	4.6886	7.0575	7.3377	10.557	8.7823	4.9267	6.6553	7.275	10.0194	7.8041	5.1104	5.2716	7.7667	8.5047	4.5016	8.1409	5.3213	5.515	5.8187	7.5245	8.0967	5.1145	5.3778	5.2092	5.118	4.9238	4.7824
EA_G__C1orf218	7.4242	6.7585	6.6478	7.7296	4.8299	6.1538	5.7539	6.1505	5.7112	7.0907	6.9728	6.1713	6.676	6.6411	6.7272	7.6856	6.7783	5.7804	8.1156	5.8114	6.2471	6.7206	6.1616	6.2937	7.1937	7.2887	9.2348	6.5456	5.1798	6.2832	5.6584	7.6903	7.2075	6.4256	7.7697	8.9776	10.3715
EA_G__SPDEF	9.8828	10.1908	7.4018	10.7931	5.6685	11.013	5.9359	6.1425	5.7703	10.7443	9.8237	6.0475	6.0136	6.4407	7.5494	10.0929	6.9762	5.6718	6.3194	5.7139	10.0469	10.246	5.6466	7.0764	10.5661	10.3098	10.5877	10.0553	6.1331	6.4231	5.9152	9.922	10.6581	9.6624	10.226	11.1169	10.8329
EA_G__SIDT1	5.7225	7.4447	5.3904	8.8752	4.6729	8.5319	4.3608	4.6682	4.3873	8.7279	8.8931	4.4944	4.8537	4.7245	7.2688	7.114	4.5267	4.2934	6.0595	4.3148	8.2739	8.5397	4.4179	4.9182	8.5383	9.0785	8.1899	7.1021	4.6199	4.8109	4.4668	7.9261	7.9518	8.588	7.5637	7.6898	6.1964
EA_G__SDF2	10.0876	9.1304	8.9469	9.0822	9.2741	9.3591	8.1063	8.9935	8.6316	10.4069	8.66	9.6218	8.7141	9.0785	9.765	8.7896	9.2227	9.7018	8.9126	8.9229	9.117	9.3493	9.6399	9.4677	9.626	9.3285	8.2248	9.5982	8.717	8.8358	9.0203	9.948	8.4796	10.2134	10.7746	9.2296	9.1488
EA_G__MOSC1	7.2047	7.7244	5.0453	7.4006	5.2325	8.0611	5.6455	6.4694	5.3303	7.5824	5.2939	7.148	8.4058	7.6881	6.5205	7.7554	5.052	5.7615	5.5529	4.618	8.3247	7.9413	5.0039	7.9699	7.5204	7.4566	7.7944	7.1235	5.1006	9.8581	5.3711	7.0558	6.8277	7.5493	8.2886	7.739	7.165
EA_G__BCAM	9.8674	8.5352	7.2259	9.581	6.2673	8.0224	7.1544	8.0057	6.9655	10.324	8.5515	6.7296	7.6049	7.9327	7.5802	8.0228	7.377	7.7845	6.7104	7.3065	8.3757	8.9779	6.5678	6.643	10.3764	9.5041	8.8674	9.7229	6.3302	7.3465	6.1911	9.4881	10.6832	9.4485	8.6028	9.8222	7.872
EA_G__TFF3	9.2227	5.933	5.6996	10.0034	5.7698	6.0317	5.2869	5.5149	5.2225	11.1718	9.6618	5.4121	5.8319	5.6036	5.5634	6.5691	5.6123	5.5181	5.8234	5.3069	7.253	7.5253	5.1884	5.6698	10.8538	8.3961	6.3143	6.2639	5.6818	5.5285	5.7962	6.6908	7.1122	7.4428	11.8709	7.4014	9.3846
EA_G__STARD10	8.7444	9.3189	7.1028	9.838	6.9657	8.9884	7.0812	7.6816	6.3309	10.6337	9.9114	7.9561	7.2257	7.6626	7.4036	9.147	7.3262	6.4872	7.4777	6.0307	9.734	9.5739	7.4208	6.2262	9.903	9.0237	9.6166	9.3077	6.0593	7.4425	5.9183	8.704	9.3903	8.7334	9.6701	9.2205	9.5445
EA_G__NAV1	7.4175	8.9354	6.7217	5.4838	7.8052	5.1032	5.0575	7.9118	7.629	4.8157	4.8473	5.8443	6.4689	7.4442	6.9431	7.9222	7.0711	8.0474	8.2228	8.6572	5.6577	5.8182	8.6836	6.4817	6.5266	6.955	6.2838	8.7193	8.8574	7.5636	8.4718	5.356	6.2935	5.239	5.7713	5.7746	5.8825
