Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR7530	ZR75B
RS_G10720__TFF1__TFF1	9.5716	6.8461	12.1442	15.3072	0	8.1211	1.5719	0	12.8985	14.5477	1.9333	1.5228	4.0155	4.0294	8.0643	0	0	0	3.3081	14.9851	14.3712	8.4157	10.5333	4.5944	14.5594	6.0558	3.1878	1.9663	2.5271	2.5734	1.4334	3.9827	16.1221	9.3908	11.9576	2.7851	13.9006
RS_G12786__IL7R__IL7R	0	0.251	0	0.50142	6.5911	0.28503	6.1027	3.2925	0	0	0.65531	4.9125	6.2297	5.4595	0	4.9738	6.5351	0.25223	5.1619	0	0	0	1.8082	5.4855	0.070492	0.82882	0	0	3.6661	2.0069	0	0	0	0	0	0	0
RS_G1180__TRIP13__TRIP13	7.5721	7.4435	7.9846	7.1647	9.1263	8.0353	8.804	9.0066	7.5718	7.523	7.8106	9.3162	9.2501	12.9158	8.25	9.1767	9.4439	9.3182	8.6357	6.9338	7.2772	7.6464	8.421	8.7378	7.7527	7.2485	8.6847	6.8113	6.8324	8.2887	8.6085	8.8612	7.3171	7.6385	7.5677	5.3634	7.2672
RS_G11315__FSTL1__FSTL1	6.1696	3.6176	6.5735	5.6716	12.563	0.96659	3.0155	9.048	1.7602	5.437	5.1741	7.2908	9.4235	7.6366	0.59939	10.3975	9.8128	7.9845	10.7719	0.77713	0.82926	0.93212	7.4038	8.5847	1.4346	1.2163	3.6582	5.9561	8.1278	5.686	1.736	7.4048	1.7816	0.050983	0.67477	5.1789	0.38166
RS_G1492__DUSP13__DUSP13	1.1639	3.9306	0	3.4195	0	0.39666	0.7545	0	4.3288	4.8779	0.46004	0	0	0.476	0.27248	0	0.26614	0	0.56268	4.1128	4.8187	2.0092	0.887	1.9107	4.6054	0	3.3152	0	0.88679	1.9153	1.3829	2.1176	7.1145	2.9018	2.0528	4.1631	2.255
RS_G11321__IGFBP7__IGFBP7	0.48984	0.20472	0.64677	0.22802	4.9569	0.60953	10.1072	4.3762	0	0.96387	5.4059	8.8986	8.1983	0.71009	1.6	9.7724	4.1764	5.9428	11.5239	1.4949	0.22795	0	0.6282	9.8327	0.10584	0.93944	0	0.70873	4.6982	9.9865	0	2.6526	3.9518	0	0.57635	3.6665	0
RS_G9625__THRSP__THRSP	2.1278	4.3884	0.78214	4.4766	0	7.3255	0.86725	0.45662	3.8694	9.4885	0.66446	1.0359	0.82234	1.964	3.2841	0	0.56364	0	0	1.631	1.0951	8.4908	1.3706	0	0.55945	1.7591	2.4593	0	1.0012	0	4.518	0	3.9093	8.0099	6.3295	2.7414	1.2806
RS_G2964__PLAT__PLAT	1.1028	2.7083	2.1355	4.2283	2.9261	1.5385	6.4029	1.7049	1.4885	1.4698	1.4792	6.6718	3.9628	6.7745	5.154	4.6465	5.7778	3.7345	9.0078	0.7689	0.50948	1.0442	3.5481	6.7671	1.2668	2.4605	0	4.8623	7.5581	6.1301	0.61507	0.97942	4.5877	0.1673	0.76072	0.56998	0.76698
RS_G1887__ARHGAP4__ARHGAP4	4.1786	3.0121	1.9665	7.2583	1.9084	2.7376	1.9753	1.4454	1.9656	6.1295	2.5424	1.2974	1.0461	1.8831	5.4233	1.9435	1.0348	1.9753	1.5813	6.2534	4.0368	2.8938	5.8286	1.1546	3.2345	4.0066	2.8494	9.6532	5.0163	3.4539	3.2018	6.2045	5.5849	5.2268	8.5811	2.4646	8.4355
RS_G18318__MME__MME	0.21685	0	4.2074	0.18363	7.4852	0	1.2735	3.0231	0.1471	0.12986	0	1.5989	5.2843	4.3203	3.5453	0.8168	8.8677	7.3029	2.6005	0.4139	3.6482	0	4.3657	0.2533	4.0613	5.1316	0	6.1159	5.8015	5.3236	1.6951	0	0.47224	0.033593	0.52545	0	0
RS_G1917__LEPREL1__LEPREL1	1.6812	1.213	1.016	0.15032	9.6328	0	8.6274	7.5555	0	0.20528	2.3881	6.6588	10.0755	7.8581	0	6.0855	6.9596	8.8539	6.6718	0.14834	0	0.54021	4.5962	7.6461	0.14506	0	1.8994	2.7188	5.8777	6.3893	3.8936	2.3297	1.1214	0.053799	2.3917	0.17313	0
RS_G566__CSPG2__CSPG2	0.20025	0.043506	1.2122	0.88034	1.8343	0.21093	4.7871	6.1112	1.7258	0.13026	0.20687	1.5527	1.0484	0	3.3124	1.5387	8.8786	0.043736	8.7002	0.046891	0.11893	0	0	0.61441	1.3727	1.9183	0	3.5182	3.6374	2.7013	0.27189	0.80559	0.047783	1.0144	0.66906	1.4817	0.65313
RS_G3861__SCGB2A2__SCGB2A2	13.9607	7.2469	8.4444	3.1721	0	5.1291	2.0737	4.905	7.1077	7.7127	0	0	0.67662	0	0	0	0	0.75343	0	1.9939	2.7482	1.1297	9.2795	0	12.9283	1.2589	9.6874	0	0	0	11.1134	0	10.6074	4.7802	14.5809	17.6033	5.6558
RS_G4220__LOX__LOX	0	0.68991	0.90169	0.66555	10.7791	0.13865	4.9709	5.7714	0.79742	0.96733	5.2774	4.4823	2.895	0.54503	1.9725	5.5501	7.6689	5.766	10.1643	0.90667	0.75454	0.48913	3.2735	6.0679	0.45546	0.44199	0	11.6434	8.3827	9.2551	0.4056	2.3981	0.6104	0.18225	1.3457	0.1563	0
RS_G18754__CYP2B7P1__CYP2B7P1	7.8731	0.71843	4.2739	6.4891	0.97565	1.959	0.71636	1.7225	3.0186	5.0364	0.23268	4.7275	1.0877	1.8112	0.71491	0.094855	0.75563	0.43847	0.86152	2.1059	1.3998	2.6524	1.6952	1.0342	8.1502	0.77303	2.1599	0.44639	0.84597	0.49534	0.64224	1.8966	4.7722	1.6144	10.3949	10.382	8.5954
RS_G16247__C17orf60__C17orf60	0.49808	0.30644	0.1873	0.47501	0.16983	0	1.7779	4.3243	0.35255	0.78703	0	0.28012	3.4776	6.4583	0.83997	0.7432	0.46893	1.5377	3.4339	0	0	0.35027	0.27625	3.0384	0.5823	0.30115	0	0	0	1.5309	2.4997	0	0.11701	0.35147	0	0.19681	0.25524
RS_G11476__GRIK3__GRIK3	0.10161	0.11567	3.4404	6.7434	0	2.7903	0	0.21375	0.13788	5.5946	0.22452	0	0	5.8427	0	0	0	2.4098	0	3.8784	3.1195	6.9585	0.8144	0	0	0	0	0.2254	0	0	0	2.2317	7.3857	0.21684	7.1047	1.1609	6.2115
RS_G14379__SCUBE2__SCUBE2	3.7581	0.4963	3.3351	10.5351	1.9673	0.99746	0	0.85629	3.3606	10.4571	0.40431	0.41231	0.91397	0.51741	0.26615	0.27683	1.1985	0.064969	0.99204	3.0784	6.7906	7.358	5.7668	0.068117	5.2172	0	0.5589	0.25173	0.14379	0.21735	0.15444	8.5777	7.7732	1.5407	6.1636	1.1294	2.3288
RS_G10718__TFF3__TFF3	9.803	7.179	11.1887	12.8489	0	6.3298	0.97441	0.986	13.1896	11.0513	1.8337	0	0.53575	1.7682	9.6535	2.2698	0	0	1.8517	9.9781	8.776	7.7139	12.8413	5.8853	12.3423	6.3096	5.0467	0	0	0	0.69196	8.9041	15.7551	10.09	12.4151	10.6599	11.5272
RS_G5395__INHBA__INHBA	0	1.4027	0.57218	4.9365	8.116	0.34649	7.4763	6.8731	0.24841	0.79254	1.0776	6.6774	5.5305	6.203	1.0348	7.1808	4.9604	4.2951	9.2718	0.8871	1.8265	0	6.524	3.1375	0.27195	1.5506	0	2.5634	8.5917	4.6019	0	1.2706	1.4108	0.16248	1.0054	0.26938	0
RS_G3163__ATP1A3__ATP1A3	4.3274	10.0114	1.9462	7.3666	4.4612	5.383	4.7758	2.7679	2.0801	5.4381	6.8753	4.7827	5.96	4.1124	0.802	4.0167	5.5134	0.82382	2.2676	5.8081	4.8029	8.8681	5.5177	5.3107	3.0664	0.25964	7.4159	5.8738	1.5203	3.7056	5.114	5.5049	7.4703	1.8905	6.2309	0.52665	6.8914
RS_G7128__GPR77__GPR77	4.3869	1.6176	4.6409	6.7887	0	6.9043	0	0	5.5588	9.0343	0	0	0	0	0.67971	0	0	0.18854	1.1429	6.4876	5.6392	7.6693	3.9682	1.1192	6.095	0	1.1513	0	4.688	1.7911	3.2491	7.4652	7.9547	2.8835	5.4055	5.2302	5.4591
RS_G9080__IGFBP3__IGFBP3	6.2987	3.3656	2.9054	5.2494	11.5393	1.034	12.0229	11.5965	1.9904	0.38514	2.9917	8.8113	10.5079	11.6002	3.293	10.8788	9.9252	12.5244	9.3982	3.8586	4.4452	6.8854	9.9608	6.9804	4.4091	8.3923	0.25393	4.3852	7.1035	7.3456	7.1766	0.7413	7.3833	4.6036	2.4343	4.1125	0.70512
RS_G18405__S100A2__S100A2	5.2484	3.6935	3.4186	3.8443	8.6925	2.6605	13.4485	7.4326	2.2239	2.1404	3.8567	13.4345	10.1256	11.0365	3.6585	11.2875	8.0382	9.5068	5.9126	5.1554	2.1463	1.2281	11.1424	4.8228	3.2845	5.5373	1.1917	8.571	10.041	13.4869	5.0461	4.175	3.2161	3.9957	3.0922	3.7727	4.4221
RS_G7696__CASP1__CASP1	4.6632	1.1639	0	0	0.62808	0	0.76601	2.0008	0	0	4.2846	7.1678	5.4234	7.0633	2.6371	5.507	4.2762	9.1677	3.4113	0	0.35455	0.18699	0	2.6086	0	0.59149	3.2346	0	4.6947	4.4669	3.8963	4.3306	0	0	0	2.2832	0
RS_G11366__IFI16__IFI16	1.3751	1.0912	0.088938	0.077879	0.1516	0	0.25526	8.0208	0	0	6.9257	7.8901	6.2163	8.4592	0.15631	1.9825	7.2647	10.0474	5.8672	0.47945	0	0	0.49689	6.093	0	0	0	0	5.6095	6.2941	1.6259	3.4074	0.10754	0.056524	0.73329	0.092424	0
RS_G3465__GLIS3__GLIS3	1.0417	0	0.7201	0.39469	5.7482	0.065496	2.5089	2.5399	0.25445	0.088391	2.7287	0.32897	0.90898	4.199	0.28977	1.6833	7.1394	4.1606	5.2637	0.31311	0	0.24739	0.86881	3.7762	0	0.11367	0	5.3004	1.2236	3.5116	0.2903	0.073385	0.27842	0.2041	0.090949	1.5447	1.0128
RS_G463__VIM__VIM	2.9652	2.2052	5.3309	4.7875	13.722	3.764	13.663	13.843	4.156	0	10.3261	6.4127	8.4787	10.5793	0.47968	11.7234	13.9024	10.1043	15.089	6.8882	3.1521	9.4838	11.1994	13.7198	1.8929	3.5908	2.3972	16.3769	9.8039	11.237	3.9594	5.7587	8.8159	1.2639	3.9298	1.2587	0.37376
RS_G8562__RGS16__RGS16	3.6383	7.9152	3.1434	4.2812	0	2.3833	0.82754	4.8652	7.453	2.0693	4.5062	4.3101	2.672	4.8678	2.4771	1.5237	0.53533	2.5687	0.83849	5.7894	7.078	4.9839	6.6086	2.0042	4.5416	3.1614	6.6121	8.0521	3.1614	4.6667	4.6968	5.3382	4.7611	7.9632	6.9381	3.7296	6.5567
RS_G1983__CCDC80__CCDC80	3.047	4.5842	0.24634	0.95276	10.2098	0.12049	5.2177	5.0089	0	1.3406	1.1731	5.231	6.9418	3.9554	0.11679	7.2517	8.6794	7.4749	9.7159	2.3768	1.9402	0.12167	4.6807	6.4667	0.23618	0.2076	1.7652	4.6926	6.5604	6.081	5.2147	2.8761	0.70055	0	0.45007	0.42848	0.086745
RS_G13359__HAS2__HAS2	0	0	0	0	6.2901	0	0.50167	7.8174	0.34679	2.7205	0	8.4229	1.3124	0	0	0	3.943	0.54231	8.0381	0	0	0	0	3.7323	0	0	0	0	2.9735	1.4913	0.35491	0	0	0	0	0.19476	0
RS_G5608__KCNK15__KCNK15	3.7504	0	0.7482	5.7541	2.6802	2.0511	0.33281	0.4347	0.40328	4.7115	1.3315	0.58116	1.862	0	0	0	0	1.0739	0.76302	8.962	5.9771	5.8771	4.9498	0.19594	2.8145	0	0	0.65405	7.0193	1.2994	0	4.0176	6.9586	2.6766	8.3502	0.60439	2.988
RS_G4160__SMOC2__SMOC2	2.5762	4.2469	4.5958	4.7433	0	3.3104	3.7889	1.0467	0.70265	8.2683	0	0	0.79236	0	0	0	0.15482	0	0.1795	2.3254	3.5263	3.534	3.7063	0	2.8666	0	0.20552	0	0.16283	0.45366	0	1.5942	7.9173	0	6.6553	6.4866	5.9139
RS_G17665__FAM25A__FAM25A	0.91608	7.1962	4.2358	5.7438	0	3.7671	0	0	3.3216	3.1388	0	4.8461	0	2.0457	1.6908	2.761	0	0	0	6.2332	0	3.654	6.0496	0	4.6771	0	5.606	0	2.74	0	3.3555	4.3747	9.3534	3.6138	0	3.0246	2.0778
RS_G14281__AMZ1__AMZ1	4.3637	2.5402	1.9577	6.2024	0	0.80029	0.097203	0.82505	2.9497	7.2086	0.50476	4.8755	3.3	0.55233	2.0374	0.33663	2.2512	0	1.4567	6.0503	4.4576	5.0749	1.1402	0.26129	5.3051	0.82924	1.2553	1.7794	3.5693	1.8046	0.50673	7.1278	7.3871	4.4762	5.9031	1.2772	2.0128
RS_G21732__AL136362.10__AL136362.10	3.6177	1.379	2.4086	2.3687	6.8619	2.9602	8.6421	5.8491	4.1982	5.6378	2.8629	7.9821	8.2796	3.0449	3.3737	4.9523	3.5242	4.687	7.4838	1.6056	2.2294	4.1893	2.5963	5.016	2.5979	2.9509	1.0728	4.8527	7.0765	7.1972	2.0514	2.0133	2.6182	2.1096	1.9024	4.1572	2.0164
RS_G13364__S1PR1__S1PR1	0.14476	0	0	0	7.8764	0	3.4984	0.98351	0	0	0.43828	5.8564	3.4223	0.45575	0	0	5.1403	5.0119	0.46235	0.089312	0	0	0	2.0861	0	0.31238	0	2.4689	2.4788	1.6305	0	0	0	0	0	0	0
RS_G9369__ADAM12__ADAM12	0.37678	0.38403	0.24804	0.42494	8.3315	0.049067	5.2786	9.4472	0.32772	0.19292	0	3.2172	3.5568	1.5722	0.34247	5.4117	9.4437	3.6546	8.4025	0.09372	0.095561	2.8231	0.14991	1.2518	0.04683	0	0	8.5985	2.6669	2.3223	0	0.767	0.51386	0.13067	0.25878	0.30871	0.42998
RS_G10013__PGM5__PGM5	0.98175	5.7702	1.2732	4.3229	0	0.27613	0	0.90894	0.52699	4.3002	0.12769	0	3.701	0.13224	0	1.7349	0	0	2.2619	2.9296	3.596	0	0	0.13333	1.23	0	6.2945	1.102	0	0	2.625	0	4.6748	3.0766	4.1586	3.1972	0.29176
RS_G1662__NKAIN1__NKAIN1	1.1586	0.54586	2.3681	8.0666	4.2997	3.5173	0.79025	1.5941	2.0593	7.749	3.2802	0.56507	2.5763	1.1224	4.6444	0.7549	2.3913	0.48464	0	3.4869	5.489	9.8589	0.92744	0.097394	4.325	0	0.66174	2.6062	0.6813	0.76946	1.5224	4.3015	6.468	8.0003	8.3639	6.6103	2.5456
RS_G5719__SCGB1D2__SCGB1D2	10.1167	3.7969	7.435	0	0	3.7616	0	2.4518	1.2703	1.7869	2.4186	0	0	0	0	0	0	0	0	0	0	2.214	4.949	0	9.8672	0	6.6518	0	1.4816	0	5.8401	0	9.357	0.68612	12.3511	14.1112	1.1901
RS_G14837__CASKIN2__CASKIN2	6.7178	7.0439	5.436	7.3426	5.7023	6.831	7.2235	5.7037	5.7827	7.7974	6.7524	5.9286	5.9362	6.0584	7.4702	6.4785	5.6453	5.5926	6.0022	9.1808	7.6481	6.0585	7.5241	6.0895	8.8242	8.7561	7.1349	7.4565	7.0461	7.3888	6.9692	6.3188	7.7867	11.9355	7.058	5.6768	7.0492
RS_G12839__VAMP5__VAMP5	5.7475	8.4989	5.1276	6.3466	1.0717	4.2899	3.8161	1.723	10.6318	7.4263	5.181	1.7151	4.28	5.4616	6.2318	3.5479	2.1294	5.8416	0.73065	7.4246	6.901	7.2724	7.3036	3.5044	5.257	6.3869	6.3121	1.0478	5.9949	5.0818	5.9869	5.1714	10.8607	9.1226	7.7928	5.751	6.4989
RS_G12188__CRABP1__CRABP1	1.3741	1.4861	2.0796	8.0743	0.52734	11.7665	0.46236	0.32883	2.4799	0	8.2077	1.663	7.1373	0.275	0	4.5932	1.2108	4.8055	0.59695	0	8.5864	10.2975	8.9339	0.88537	8.0075	0	2.0754	1.972	0	0	0	3.1309	11.0915	8.6673	7.1185	0	5.1386
RS_G1549__CXCL2__CXCL2	1.752	0.18961	0	0	4.0403	0	5.83	1.9456	0	0	4.4953	4.3472	4.7998	3.8698	0.9544	3.6235	6.7278	6.0653	3.0576	0.81868	0	0	0.32441	4.3547	0.28933	0	0	7.1501	8.0091	2.3165	0	0.92949	0	0.14946	0	0	0
RS_G6379__KIF1A__KIF1A	0	0.43724	9.0209	8.2331	0	1.6392	9.2069	0.30393	0.79708	3.8381	0.51882	4.1596	0.88601	0.59017	2.9194	1.5711	0.47052	0	0.16233	4.6844	5.0402	5.5668	2.0228	0.054638	7.4877	0	0.21917	6.9635	0	0.17942	0.32477	0.44344	2.938	1.3623	7.02	1.6329	7.602
RS_G12975__IL8__IL8	2.4162	0	0.28144	1.3546	5.0009	0.48587	5.3182	3.6831	0.14355	0	4.1919	5.2983	3.3396	5.781	0.47263	6.7404	4.9168	3.9488	7.2819	0.81189	0.25768	0.38226	0.39364	6.1665	0.83746	0	0	0.44358	6.3091	0.69434	0.7175	0	0	0.18315	0	0.84389	0
RS_G16170__PCP4__PCP4	9.5795	2.6308	3.4364	5.2434	0	4.7144	0	1.3531	1.0717	2.5298	0	0	1.3561	0	7.0045	0.43605	0	1.1567	0	4.5612	5.15	3.0122	4.0627	0	1.8418	0	7.0218	2.0636	0	0	6.293	6.6928	6.8814	4.4883	1.5702	4.4096	0
RS_G18421__Z79996.2__Z79996.2	4.3194	1.7545	0.55279	1.466	2.5247	1.1043	3.7853	4.3384	1.3085	1.7983	7.6489	3.3328	4.792	5.2492	3.3437	4.5855	4.3321	7.6306	3.3913	0.55463	0.58805	2.7811	2.278	4.3237	0.72521	1.1573	2.0589	0.43044	2.8603	4.0803	1.5689	1.9384	0.95175	0.45984	2.4117	4.2565	0.67651
RS_G21704__CXorf61__CXorf61	0	0	0	0	0	0	6.7283	6.8917	0	0	0	5.3053	5.6279	8.1888	0	7.9773	6.7528	7.9893	4.7743	0	0	0	3.4023	6.4157	0.23646	0	0	0	0	0	0	0	0	0	0	0	0
RS_G13489__LRRC8C__LRRC8C	2.418	1.5417	1.7488	2.4041	6.0762	1.4049	4.2775	5.247	3.3365	3.6831	5.1997	6.6789	3.9768	4.0136	3.0991	6.0583	4.9818	5.6925	6.064	0.087916	2.0266	4.3586	2.1772	8.3452	1.0245	0.97754	0	2.3141	2.6248	3.3056	1.4293	1.3006	1.0774	1.639	1.2874	1.8651	1.824
RS_G10350__MMP14__MMP14	0.71728	1.4795	0.44191	0.89739	9.639	0.34999	7.3688	9.383	2.0141	1.802	2.0248	8.6885	7.6792	3.3228	0.61768	1.116	8.0798	8.3525	9.2776	3.4012	1.7563	0.41929	5.0547	8.3464	1.852	2.8725	1.1442	13.1123	6.8229	8.7879	1.6794	4.0109	0.92248	2.4898	1.1125	0.39571	1.5268
RS_G5128__C6orf97__C6orf97	3.1578	0	5.1411	4.0963	0	4.1221	0	0.32115	5.2392	6.3162	4.2969	0.082714	0.15617	0.095144	0.097138	0	0	0.33528	0.36194	6.6388	6.3693	5.8502	0.5478	0.048768	4.0578	0.26259	0	0.26705	0	0.29656	0	4.7903	4.3059	0.033789	5.6965	0.70782	4.9746
RS_G16696__PRR16__PRR16	0.41506	0.24797	2.8974	0	8.729	0.51715	5.5895	5.757	0.29138	2.5036	5.5104	2.0171	2.0923	0.25845	0.70136	5.8394	6.3792	1.3786	7.437	0	0.88141	0.1435	0	6.9914	0.32306	0.65491	0	7.3612	3.379	1.7352	0	0	1.625	0	0.80822	0	0.6793
RS_G3586__RAPGEFL1__RAPGEFL1	5.9537	7.4913	4.0582	7.5022	4.1912	5.1146	3.3035	3.1857	2.9684	9.3785	5.0089	3.3274	6.6928	3.2089	3.7361	3.7624	5.0324	4.6098	2.8293	6.6804	4.2898	7.0599	5.3646	4.4551	4.0532	3.1024	6.7893	4.5768	5.97	7.7749	5.3003	7.3069	12.3481	8.4628	7.8427	3.1839	6.2748
RS_G12178__SERPINB7__SERPINB7	0.9442	0	0	0	5.6432	0	4.7067	3.7483	0	0	5.5995	5.3599	5.0834	3.2114	0	4.5919	3.2161	2.0948	3.124	0	0	0.75502	3.0792	2.3119	0	0	2.1682	0	4.6954	3.6766	0.6301	0	0	0	0	0	0
RS_G4942__RARRES1__RARRES1	2.0377	1.842	3.7414	0.17186	2.4435	1.546	4.0497	3.1042	0.9588	3.4138	6.5431	0.26784	9.1775	11.1435	3.1687	8.5922	2.0236	13.9745	0.3647	0	0.1718	0.17735	7.1024	1.2788	2.8091	1.7188	2.3179	0	8.5285	2.5811	0.63747	1.368	1.8166	0.12106	0	2.0798	0
RS_G17967__APOD__APOD	7.9573	4.7281	1.1531	4.2103	0	0	1.3402	1.4179	5.0426	1.8301	8.9852	0	3.1323	1.6186	0.76176	0.46548	0	0	0.86846	3.5346	7.8269	2.6663	8.3778	1.8524	1.6608	0	7.8481	0	0.81118	0.66133	9.7289	10.7762	7.0968	10.8811	11.3141	11.4809	2.7866
RS_G11188__KCNF1__KCNF1	1.3379	0.1976	0.63717	10.5681	0	0	3.5403	3.0542	0.62237	5.6276	3.1305	1.1458	1.6245	0.10874	2.6854	0	0.7906	0	0.89517	5.1572	3.4168	2.9668	5.4132	1.4082	4.5183	0	0	4.6541	0	0.72853	2.4304	6.7352	8.6752	1.5255	7.4204	1.3546	5.2494
RS_G13766__MUCL1__MUCL1	8.2971	9.2684	12.3825	10.0828	0	8.4661	0	0.90826	7.872	5.344	1.4703	1.545	2.4156	8.9393	4.3595	0	0	5.508	0	7.4503	7.7859	7.1029	9.5099	0	13.1852	9.8025	9.1199	1.9667	0.85403	1.8097	13.9402	2.6873	12.0261	12.0262	11.3802	4.4369	3.1773
RS_G28377__AL450306.14__AL450306.14	3.5215	4.8024	0.74196	2.0401	1.496	2.6412	2.3114	1.9374	1.9689	3.5546	1.9543	3.28	2.8507	2.0548	3.1078	2.2624	1.7205	2.1189	1.5042	3.1047	3.2992	2.9209	5.057	2.1669	2.5187	2.2729	3.5767	2.7609	5.8757	2.6059	4.5232	2.9519	1.7691	3.1761	2.4941	2.662	7.538
RS_G5788__IL1B__IL1B	0.14002	0.15613	0.3529	0	0	0	0.51627	0.66274	0	0.44092	0.75842	6.6753	5.5354	1.8106	0	3.1962	2.2418	2.2872	1.4549	0.80447	0.16985	0.17979	0	2.9735	0	1.1158	0	0	3.2621	3.3672	0	0	0	0	0	0.20042	0
RS_G15970__C1S__C1S	1.1454	2.4353	2.1969	1.3139	7.0906	0.2046	3.227	10.2073	2.1667	0.75472	9.4664	4.1604	5.9223	5.6662	1.0551	6.9319	7.4507	8.7764	5.3335	0.61186	1.8366	1.7222	1.0289	1.1111	3.0973	1.1785	2.0352	3.0277	6.111	2.1257	1.762	1.0168	0.55144	1.5281	3.8718	1.3829	0.89723
RS_G9735__HSPB8__HSPB8	6.9159	4.2737	4.1342	10.9436	0	8.9073	0	1.7163	1.5084	9.6107	1.9996	6.399	5.2617	2.9086	1.7138	1.1226	0.24708	4.8246	5.9738	9.5457	6.7034	7.7081	5.9709	1.8549	8.6261	0	0	0	1.2387	4.4231	8.4206	6.3513	11.1146	0.9365	8.9851	0.29059	4.3188
