Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
Meth__cg11850311__ID1	0.042124	0.031663	0.042889	0.031729	0.022262	0.020533	0.055341	0.035077	0.02166	0.03121	0.07981	0.040119	0.037707	0.052289	0.046641	0.027864	0.041797	0.021526	0.056222	0.025866	0.038424	0.096581	0.035551	0.033748	0.051224	0.093952	0.045086	0.044308	0.041653	0.066356	0.032719	0.032864	0.052923	0.070782	0.028014	0.038547	0.063502	0.060447	0.031708	0.026214
Meth__cg10636246__AIM2	0.90503	0.078349	0.055518	0.42648	0.80235	0.10706	0.29387	0.16851	0.89499	0.40348	0.072034	0.48964	0.77098	0.18747	0.07601	0.41184	0.60802	0.85491	0.051833	0.12641	0.20325	0.21065	0.38265	0.12165	0.038783	0.41574	0.25737	0.094659	0.44243	0.10576	0.21646	0.86453	0.050966	0.052246	0.095673	0.26087	0.488	0.08654	0.57979	0.78215
Meth__cg16357921__CCRK	0.020463	0.031342	0.033575	0.024837	0.01941	0.026348	0.028969	0.023817	0.018172	0.023528	0.025435	0.033884	0.018005	0.028861	0.018814	0.026786	0.023425	0.02426	0.067239	0.016524	0.015327	0.031976	0.025604	0.030997	0.023836	0.63358	0.026016	0.055039	0.09968	0.044824	0.019793	0.020096	0.14479	0.020446	0.023235	0.029405	0.062711	0.022284	0.025192	0.022157
Meth__cg15903421__DFNB31	0.040098	0.043474	0.044336	0.036216	0.028343	0.030192	0.037113	0.032687	0.052892	0.066254	0.040111	0.038066	0.045254	0.049735	0.025723	0.06393	0.038091	0.031767	0.071114	0.024839	0.028834	0.037168	0.024772	0.035099	0.11484	0.62643	0.040612	0.053917	0.2352	0.054392	0.034325	0.029343	0.066685	0.054706	0.030722	0.021543	0.064873	0.038477	0.028803	0.034456
Meth__cg01655123__PHLDB3	0.029935	0.038159	0.063314	0.031862	0.031234	0.034905	0.036094	0.038041	0.020769	0.026981	0.035735	0.035365	0.025704	0.062375	0.025838	0.047512	0.03566	0.029912	0.056611	0.032435	0.029861	0.033234	0.031488	0.032947	0.031497	0.087199	0.032742	0.05687	0.050785	0.062102	0.029715	0.027562	0.03005	0.035395	0.75455	0.025994	0.089287	0.032275	0.031743	0.037681
Meth__cg24216915__WDR18	0.045332	0.060801	0.05365	0.061842	0.054669	0.037958	0.046063	0.06176	0.068702	0.042246	0.2492	0.05872	0.11856	0.10784	0.03793	0.048314	0.05461	0.036463	0.1725	0.04337	0.042097	0.14743	0.046153	0.05387	0.049927	0.43685	0.16984	0.17296	0.2243	0.061309	0.038854	0.034248	0.068866	0.26787	0.063512	0.039583	0.11147	0.055015	0.043668	0.049966
Meth__cg11235871__QARS	0.038846	0.038913	0.054085	0.039212	0.024553	0.036694	0.05048	0.029172	0.041824	0.02984	0.0418	0.062084	0.036755	0.070427	0.033294	0.043393	0.029584	0.032298	0.059587	0.035228	0.029723	0.047794	0.034321	0.050194	0.035429	0.35482	0.043246	0.064566	0.066957	0.060529	0.040081	0.032634	0.031147	0.036399	0.03369	0.032084	0.058672	0.47242	0.034721	0.039895
Meth__cg04912050__IDUA	0.024727	0.97792	0.049764	0.42782	0.017067	0.019424	0.029664	0.060313	0.023039	0.027366	0.041622	0.027536	0.15221	0.38119	0.063031	0.19591	0.076614	0.024728	0.055455	0.065308	0.024834	0.025109	0.02136	0.031868	0.035032	0.14126	0.037868	0.053621	0.073848	0.94701	0.026009	0.027806	0.65733	0.4169	0.13032	0.036098	0.10453	0.05126	0.03643	0.022729
Meth__cg07851278__RIOK3	0.043274	0.04297	0.073949	0.041512	0.038127	0.039615	0.051516	0.033017	0.48703	0.031789	0.049586	0.052592	0.034979	0.075676	0.043987	0.051873	0.038033	0.028773	0.15924	0.030832	0.032252	0.04948	0.036859	0.05724	0.034068	0.05798	0.042687	0.072964	0.080238	0.10245	0.043029	0.032581	0.038322	0.04357	0.030045	0.037863	0.15191	0.050084	0.039656	0.04829
Meth__cg04759439__CAST1	0.11001	0.13404	0.15365	0.12158	0.084172	0.91478	0.11301	0.11587	0.14707	0.095127	0.1081	0.74175	0.10827	0.12931	0.097615	0.094259	0.096029	0.11257	0.13658	0.15623	0.059358	0.14899	0.10757	0.22046	0.12125	0.20026	0.13587	0.12104	0.94331	0.099325	0.11442	0.072973	0.44005	0.13799	0.14421	0.093166	0.25698	0.11686	0.12052	0.1676
Meth__cg11178443__RANGNRF	0.030637	0.03461	0.075514	0.033594	0.025033	0.026982	0.038779	0.044071	0.024396	0.0352	0.084957	0.9477	0.057261	0.093442	0.026108	0.03242	0.031681	0.027732	0.066637	0.023605	0.60898	0.2001	0.03405	0.062884	0.034837	0.09169	0.039851	0.061308	0.074625	0.045381	0.025172	0.027469	0.03273	0.036156	0.033818	0.030059	0.092211	0.039718	0.051147	0.037921
Meth__cg21092462__KCNH1	0.046638	0.03681	0.3275	0.32301	0.15475	0.061643	0.22267	0.044147	0.14994	0.18492	0.42183	0.26013	0.21687	0.56402	0.086645	0.2616	0.086514	0.042716	0.18218	0.032147	0.17265	0.10291	0.17479	0.064897	0.29235	0.52129	0.074399	0.12443	0.36941	0.060483	0.033914	0.061194	0.32661	0.30498	0.28611	0.35525	0.12514	0.094632	0.13817	0.096902
Meth__cg21218636__PCTP	0.041508	0.039497	0.04339	0.41894	0.028082	0.036716	0.047407	0.036143	0.041579	0.031658	0.048006	0.045344	0.031665	0.064489	0.11126	0.34744	0.037992	0.031578	0.10397	0.023865	0.026988	0.048633	0.032151	0.048689	0.035043	0.0677	0.038388	0.057719	0.58561	0.051774	0.029925	0.035815	0.023472	0.039296	0.035547	0.026571	0.11156	0.041402	0.042568	0.044532
Meth__cg04135543__ORF1-FL49	0.056857	0.057364	0.79412	0.076793	0.049092	0.051687	0.038102	0.029358	0.042427	0.063198	0.064968	0.050934	0.083085	0.088832	0.051926	0.057226	0.0523	0.039255	0.11914	0.044838	0.042399	0.049463	0.048807	0.32611	0.050827	0.1018	0.065032	0.060521	0.10965	0.099607	0.048129	0.041682	0.041909	0.051491	0.042562	0.039753	0.091893	0.062908	0.044733	0.049719
Meth__cg10520594__NT5C	0.026846	0.20852	0.042394	0.038953	0.026519	0.027858	0.54913	0.048193	0.021068	0.03218	0.093892	0.029117	0.13807	0.072405	0.091643	0.033783	0.075245	0.020604	0.053966	0.030775	0.021273	0.043383	0.031618	0.038283	0.038455	0.11506	0.024666	0.060069	0.048565	0.090403	0.025969	0.026934	0.031657	0.058651	0.028126	0.022505	0.043661	0.059147	0.024658	0.022693
Meth__cg07611334__C20orf98	0.078128	0.92055	0.94229	0.079551	0.060195	0.051695	0.0699	0.064001	0.074969	0.054332	0.057244	0.10033	0.5728	0.52537	0.15264	0.37607	0.13794	0.064871	0.098354	0.052031	0.055884	0.060912	0.052361	0.59193	0.11156	0.10755	0.068359	0.099903	0.09125	0.54733	0.043418	0.046276	0.081049	0.06141	0.19581	0.044704	0.05874	0.051927	0.053636	0.088096
Meth__cg04274487__RAB31	0.053045	0.068776	0.053964	0.068481	0.02979	0.032838	0.096629	0.025283	0.076126	0.037944	0.040501	0.056504	0.03539	0.082058	0.11746	0.053454	0.039251	0.039268	0.096379	0.037772	0.030829	0.047157	0.032144	0.057052	0.36621	0.11276	0.049586	0.063318	0.35832	0.058567	0.035871	0.038606	0.039784	0.043173	0.03729	0.83887	0.050181	0.045881	0.035385	0.049134
Meth__cg14874121__HSD17B4	0.029531	0.12827	0.97834	0.026734	0.02021	0.020423	0.026181	0.066298	0.97285	0.026466	0.024634	0.97692	0.038117	0.97235	0.98901	0.025605	0.025127	0.01952	0.059661	0.023995	0.022842	0.026231	0.020612	0.028978	0.34774	0.042852	0.038868	0.040808	0.064499	0.68042	0.023755	0.024679	0.023313	0.98398	0.35227	0.02157	0.070815	0.024668	0.54333	0.025682
Meth__cg09130402__TXNL1	0.048839	0.058062	0.075509	0.03487	0.034942	0.048226	0.046733	0.049223	0.062856	0.048297	0.049716	0.048735	0.05838	0.11024	0.036113	0.059956	0.059617	0.035683	0.12359	0.037515	0.031473	0.056131	0.038611	0.068071	0.039074	0.12696	0.049239	0.098361	0.094613	0.19519	0.047305	0.036785	0.042035	0.056606	0.041361	0.046419	0.12919	0.05515	0.038684	0.041133
Meth__cg21116410__PEX12	0.032671	0.038139	0.039203	0.039767	0.026736	0.03106	0.034805	0.045607	0.050911	0.0344	0.049683	0.036257	0.030007	0.046541	0.050261	0.037624	0.026345	0.029512	0.09417	0.024729	0.028714	0.050757	0.038347	0.047215	0.025327	0.080062	0.032608	0.060993	0.076679	0.078172	0.031179	0.028721	0.031735	0.3244	0.027625	0.038269	0.090173	0.042346	0.035516	0.031224
Meth__cg18689253__TLE4	0.056559	0.049018	0.069297	0.049329	0.038365	0.04687	0.048953	0.026609	0.054954	0.042451	0.049015	0.052804	0.016967	0.045471	0.070723	0.049839	0.044867	0.054675	0.14434	0.04578	0.038802	0.057633	0.042161	0.061211	0.038706	0.87411	0.046288	0.07051	0.070918	0.075084	0.044582	0.041527	0.53129	0.0413	0.042052	0.035275	0.34297	0.04826	0.040958	0.048723
Meth__cg10266188__TXLNA	0.04761	0.082286	0.097312	0.083199	0.066299	0.13035	0.056483	0.037866	0.72566	0.055712	0.080783	0.073905	0.054524	0.09497	0.051785	0.092946	0.044714	0.061162	0.14812	0.045734	0.059011	0.069685	0.068795	0.1454	0.063187	0.17618	0.069527	0.065581	0.074622	0.086134	0.045113	0.044955	0.056912	0.054299	0.046725	0.04027	0.14774	0.055167	0.04551	0.043116
Meth__cg16695354__LYSMD2	0.058651	0.11356	0.076731	0.09456	0.073864	0.047166	0.094563	0.15679	0.055197	0.081342	0.069857	0.067782	0.064673	0.17415	0.18406	0.089219	0.058185	0.07807	0.22634	0.059805	0.068819	0.12069	0.3874	0.090812	0.1183	0.12266	0.11472	0.072082	0.10571	0.15093	0.058458	0.068475	0.079514	0.16185	0.058222	0.071138	0.15816	0.097916	0.066678	0.056452
Meth__cg12256228__RING1	0.049433	0.042719	0.08849	0.073188	0.05893	0.040867	0.10559	0.037606	0.057219	0.048958	0.08041	0.059918	0.041898	0.077789	0.054125	0.052867	0.036178	0.038572	0.09539	0.030544	0.063133	0.047005	0.056043	0.055302	0.09856	0.099485	0.043849	0.062046	0.082669	0.072794	0.040364	0.029499	0.036902	0.40584	0.038279	0.037279	0.075922	0.079156	0.040248	0.044557
Meth__cg20615951__C1orf71	0.02214	0.023996	0.042112	0.020817	0.019377	0.020041	0.023053	0.011119	0.40483	0.020388	0.022308	0.033149	0.032074	0.037288	0.021201	0.02692	0.021373	0.018832	0.038493	0.018131	0.016289	0.023402	0.020174	0.026432	0.016945	0.049123	0.021239	0.032723	0.066251	0.03766	0.018354	0.014954	0.0162	0.021806	0.018325	0.015967	0.033819	0.028066	0.019096	0.021338
Meth__cg16731240__ZNF577	0.065407	0.067409	0.97308	0.053108	0.055285	0.040916	0.97901	0.23411	0.6068	0.052363	0.97583	0.94899	0.034266	0.97442	0.98154	0.58254	0.08351	0.048582	0.10796	0.64957	0.53692	0.40531	0.079945	0.11767	0.048267	0.92334	0.069657	0.084606	0.08269	0.058144	0.059488	0.075453	0.087137	0.98359	0.71294	0.089254	0.92398	0.05449	0.76743	0.44583
Meth__cg14723014__ZMYM5	0.053776	0.070172	0.055032	0.051084	0.05355	0.044473	0.065379	0.0547	0.05342	0.050401	0.088256	0.063094	0.044731	0.10933	0.080277	0.061594	0.054568	0.047064	0.096564	0.060931	0.046716	0.051425	0.060635	0.53122	0.036732	0.089613	0.060346	0.13644	0.10114	0.13566	0.046912	0.04451	0.063971	0.10097	0.055362	0.06723	0.091357	0.060261	0.066841	0.07125
Meth__cg24009736__GALGT	0.065388	0.072917	0.92509	0.80243	0.48031	0.05689	0.083706	0.059311	0.10455	0.060955	0.48264	0.074995	0.65304	0.58553	0.099265	0.072378	0.26506	0.060373	0.077395	0.042513	0.050293	0.094512	0.066401	0.37063	0.31819	0.40364	0.076242	0.082677	0.89255	0.12401	0.057502	0.051595	0.055584	0.58299	0.10495	0.89507	0.66544	0.87828	0.052908	0.063311
Meth__cg00929855__HSPA1A	0.049628	0.043052	0.15264	0.077232	0.0222	0.0258	0.03973	0.14679	0.080687	0.023704	0.0354	0.077596	0.025946	0.043223	0.035603	0.07303	0.74541	0.032446	0.10251	0.026788	0.035553	0.13637	0.031794	0.094091	0.039478	0.97628	0.073347	0.050056	0.087891	0.032948	0.034988	0.033186	0.094567	0.023587	0.042517	0.021286	0.088161	0.028421	0.022959	0.031318
Meth__cg24649641__ERBB2	0.045052	0.061495	0.050015	0.055122	0.046216	0.048452	0.057063	0.054427	0.049536	0.040241	0.049155	0.89221	0.059506	0.11621	0.092406	0.063286	0.049212	0.045359	0.10517	0.062262	0.038417	0.053254	0.045472	0.050049	0.042033	0.094488	0.057886	0.079335	0.16817	0.074684	0.055251	0.053117	0.046522	0.051207	0.085053	0.037939	0.10449	0.063969	0.048354	0.056402
Meth__cg04878727__ZNF306	0.084354	0.35864	0.30315	0.098291	0.15244	0.079926	0.085601	0.13175	0.12709	0.073225	0.11187	0.11349	0.08988	0.38904	0.86854	0.082625	0.072889	0.069562	0.56343	0.090272	0.075704	0.074723	0.38908	0.62718	0.084532	0.21036	0.091289	0.22985	0.13689	0.21076	0.07478	0.087403	0.41001	0.50523	0.43088	0.13381	0.11629	0.089846	0.10904	0.15465
Meth__cg07038887__BLMH	0.042832	0.031825	0.18052	0.088872	0.024319	0.035491	0.056216	0.04504	0.10456	0.040657	0.051502	0.048534	0.08102	0.071635	0.30433	0.043347	0.037984	0.026928	0.096362	0.031252	0.03985	0.056679	0.040141	0.048737	0.61776	0.12369	0.038661	0.095513	0.79848	0.048213	0.036176	0.038405	0.030929	0.12024	0.064751	0.66729	0.0481	0.040471	0.045296	0.043693
Meth__cg24371157__PDCD4	0.037293	0.036518	0.70389	0.043776	0.034335	0.048147	0.046362	0.027611	0.036602	0.057385	0.062081	0.049714	0.054293	0.4906	0.12486	0.07121	0.048697	0.15137	0.06501	0.035686	0.039228	0.045381	0.22202	0.039812	0.058642	0.068499	0.04663	0.04699	0.051958	0.078257	0.025666	0.028157	0.043668	0.1997	0.13097	0.040118	0.051364	0.033665	0.032428	0.035241
Meth__cg03644378__CYB5D1	0.027991	0.13358	0.41734	0.030331	0.032629	0.020085	0.036969	0.043015	0.035763	0.02734	0.04521	0.034322	0.053928	0.13827	0.022908	0.034489	0.032695	0.038321	0.051112	0.02651	0.021348	0.033917	0.041242	0.032444	0.035272	0.38931	0.031393	0.049283	0.094281	0.055101	0.029502	0.024537	0.037486	0.031814	0.034317	0.034945	0.075061	0.037044	0.030562	0.033944
Meth__cg23963136__CD320	0.041428	0.066586	0.97624	0.096815	0.030594	0.026111	0.040529	0.033041	0.022773	0.028954	0.62286	0.97999	0.069575	0.97984	0.97986	0.03529	0.040954	0.041278	0.069939	0.021586	0.036759	0.052806	0.041369	0.74899	0.017401	0.074454	0.72196	0.07265	0.056561	0.042009	0.025257	0.023652	0.018097	0.02833	0.84175	0.031895	0.89628	0.063049	0.04458	0.037315
Meth__cg05767404__C1orf150	0.84966	0.098382	0.20917	0.35406	0.07207	0.74786	0.79089	0.52909	0.80124	0.067061	0.128	0.68034	0.28351	0.17456	0.058365	0.07492	0.57807	0.82755	0.098798	0.11981	0.19499	0.1906	0.81099	0.17515	0.18796	0.69308	0.18261	0.18226	0.2347	0.21511	0.37755	0.46587	0.22906	0.29326	0.13131	0.20768	0.11888	0.14307	0.62321	0.71207
Meth__cg01803238__BCL2	0.10467	0.1295	0.65022	0.071791	0.083447	0.11265	0.12074	0.23206	0.083825	0.14987	0.090155	0.17945	0.34586	0.31669	0.14543	0.11312	0.2026	0.053659	0.10265	0.14355	0.096011	0.15659	0.091329	0.26808	0.1404	0.2807	0.16777	0.23034	0.71595	0.12337	0.062651	0.08085	0.1494	0.3262	0.089934	0.52861	0.3013	0.16081	0.079483	0.074305
Meth__cg26898336__TEKT3	0.95308	0.029224	0.98433	0.98266	0.063814	0.80519	0.70378	0.97048	0.93645	0.87932	0.032748	0.036919	0.050669	0.97683	0.07038	0.77527	0.98284	0.046784	0.026234	0.61164	0.94231	0.6148	0.96858	0.034358	0.041113	0.76068	0.97951	0.074457	0.43679	0.041603	0.038823	0.46811	0.11441	0.14293	0.035606	0.49031	0.040784	0.02952	0.9792	0.976
Meth__cg22679003__CDH2	0.048362	0.051316	0.49405	0.054004	0.044082	0.054506	0.43964	0.038178	0.066087	0.041818	0.057753	0.071864	0.10539	0.5039	0.092466	0.054089	0.052146	0.043734	0.068416	0.042462	0.15742	0.1174	0.054117	0.058723	0.098652	0.851	0.053912	0.078616	0.075805	0.054078	0.051388	0.041562	0.04126	0.076265	0.04965	0.86076	0.68269	0.067934	0.046442	0.047333
Meth__cg15648905__RPL12	0.046474	0.039255	0.042454	0.037562	0.031017	0.035603	0.041629	0.043145	0.036	0.035359	0.10548	0.041691	0.076702	0.082529	0.50961	0.044642	0.044077	0.034968	0.07372	0.043853	0.030045	0.038237	0.052982	0.068562	0.061146	0.054359	0.05353	0.080439	0.07875	0.062859	0.033138	0.031622	0.036596	0.035574	0.046979	0.054163	0.086837	0.068092	0.040416	0.034001
Meth__cg18013830__RPUSD2	0.04256	0.030632	0.048919	0.041012	0.028208	0.033642	0.037697	0.055906	0.03583	0.043078	0.048298	0.050226	0.05204	0.06615	0.038596	0.27882	0.032704	0.04006	0.1037	0.049073	0.037304	0.054425	0.040636	0.046838	0.032557	0.073753	0.048762	0.10585	0.10893	0.047519	0.036708	0.032381	0.051142	0.03968	0.041118	0.036679	0.056066	0.05197	0.044185	0.032733
Meth__cg10468369__DDX19B	0.036243	0.036599	0.039977	0.027903	0.026789	0.039084	0.044229	0.049522	0.036742	0.029917	0.035603	0.035201	0.047193	0.092461	0.53254	0.031266	0.03549	0.034607	0.10231	0.040268	0.030507	0.031807	0.03945	0.047953	0.075585	0.21183	0.031585	0.070864	0.060775	0.099273	0.034386	0.027048	0.097572	0.16669	0.13241	0.36449	0.06906	0.041441	0.029329	0.068186
Meth__cg09324116__FAM51A1	0.25656	0.051932	0.070454	0.047431	0.037345	0.042969	0.057775	0.03643	0.044448	0.038114	0.040237	0.05606	0.037828	0.078442	0.042588	0.044963	0.038314	0.052375	0.17013	0.037629	0.044626	0.058324	0.043239	0.06419	0.045386	0.09984	0.047934	0.16535	0.092537	0.06959	0.046727	0.04145	0.042793	0.045561	0.055463	0.033019	0.099718	0.047192	0.0485	0.042244
Meth__cg22838674__PROSC	0.027689	0.027197	0.70746	0.038613	0.025801	0.030268	0.032097	0.028145	0.017434	0.025286	0.042328	0.05427	0.028847	0.21096	0.026438	0.030772	0.023906	0.023467	0.049145	0.042215	0.037502	0.030833	0.1379	0.042741	0.067735	0.050883	0.032483	0.058726	0.054671	0.045902	0.031341	0.025755	0.045778	0.026804	0.025597	0.022567	0.046882	0.035463	0.026552	0.030886
Meth__cg12914362__FZD8	0.042977	0.03551	0.50785	0.03331	0.023582	0.033772	0.034964	0.02764	0.051528	0.036169	0.034017	0.044744	0.04146	0.15653	0.10286	0.032344	0.035574	0.043579	0.064258	0.026386	0.029189	0.040524	0.037812	0.039654	0.052331	0.066736	0.036514	0.060635	0.47798	0.047314	0.031961	0.030131	0.04324	0.030439	0.031529	0.029303	0.039256	0.035619	0.036066	0.034195
Meth__cg25309588__ATP8A1	0.048174	0.059679	0.16085	0.054211	0.054497	0.052421	0.069446	0.026702	0.090292	0.047306	0.046609	0.070405	0.048121	0.090999	0.055825	0.066174	0.053112	0.05798	0.096902	0.065918	0.055227	0.076131	0.062628	0.072773	0.065	0.10005	0.064991	0.099879	0.08927	0.070355	0.081444	0.057185	0.058017	0.050214	0.059694	0.053801	0.11602	0.06595	0.057793	0.063726
Meth__cg06545845__ARL8A	0.053202	0.058878	0.12132	0.06704	0.038784	0.041079	0.056426	0.050165	0.06889	0.038614	0.071672	0.048029	0.12395	0.25994	0.11176	0.055407	0.050071	0.044708	0.071822	0.034758	0.072418	0.08698	0.12048	0.050749	0.079907	0.089544	0.1782	0.092529	0.20403	0.10369	0.042104	0.048107	0.040766	0.21521	0.066726	0.05247	0.19544	0.38756	0.050166	0.052014
Meth__cg14833385__HLA-DMA	0.055157	0.032845	0.081138	0.75122	0.44865	0.74249	0.091769	0.51621	0.54357	0.089969	0.13254	0.23746	0.17671	0.095985	0.040729	0.086136	0.50161	0.76054	0.20608	0.14073	0.060226	0.07306	0.41362	0.18531	0.048464	0.38829	0.16749	0.099474	0.072768	0.10644	0.43999	0.3504	0.12477	0.22328	0.032711	0.15158	0.087402	0.052176	0.061522	0.10205
Meth__cg14452875__NR1D2	0.053774	0.051914	0.049655	0.044546	0.038511	0.038073	0.043239	0.037698	0.062875	0.034768	0.049293	0.045097	0.041476	0.075987	0.40719	0.048085	0.046341	0.039884	0.13124	0.033372	0.036302	0.043752	0.037533	0.061341	0.041249	0.10923	0.050614	0.051037	0.065357	0.055691	0.04986	0.026448	0.041752	0.038296	0.039323	0.033809	0.075104	0.043038	0.043586	0.066243
Meth__cg02248540__HIST1H2AI	0.10555	0.054177	0.062899	0.061657	0.059359	0.16918	0.10025	0.050726	0.060237	0.054248	0.076521	0.23538	0.039034	0.10181	0.044408	0.062494	0.057114	0.04599	0.12208	0.034352	0.046057	0.079474	0.069393	0.064828	0.31062	0.21096	0.058972	0.089647	0.11739	0.098753	0.034393	0.071139	0.092127	0.082025	0.13115	0.38508	0.13768	0.059323	0.060632	0.076167
Meth__cg05747424__C14orf150	0.044957	0.042301	0.057037	0.040719	0.029982	0.042722	0.046727	0.0352	0.035703	0.48849	0.040139	0.051045	0.051594	0.0609	0.029973	0.051329	0.030479	0.033021	0.11037	0.027912	0.038993	0.044442	0.037945	0.045849	0.03939	0.083656	0.043078	0.0586	0.083637	0.082262	0.037248	0.036855	0.040276	0.040372	0.045222	0.035915	0.047802	0.044425	0.03406	0.042412
Meth__cg03812067__SERINC3	0.019335	0.021863	0.045091	0.042129	0.021922	0.027933	0.024698	0.025515	0.71854	0.022697	0.026737	0.034085	0.022407	0.041119	0.018079	0.024905	0.023793	0.020374	0.030071	0.017518	0.024659	0.02807	0.024627	0.030757	0.028846	0.042479	0.030945	0.022031	0.0495	0.022579	0.025236	0.028461	0.024854	0.023559	0.026931	0.018179	0.052209	0.023979	0.021955	0.02348
Meth__cg23366119__CNDP2	0.06474	0.090505	0.13767	0.066611	0.04714	0.0583	0.065789	0.33102	0.033609	0.10635	0.090854	0.061899	0.26758	0.16751	0.062539	0.079116	0.10396	0.039727	0.12339	0.055266	0.053784	0.10041	0.058501	0.089943	0.068214	0.22754	0.07076	0.14735	0.18684	0.073195	0.05624	0.066267	0.065625	0.080936	0.059025	0.085034	0.3811	0.074492	0.060343	0.051988
