Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	UACC893	ZR751	ZR75B
RS_G14914__PGBD5__PGBD5	2.5018	2.9794	3.1999	5.547	1.9775	5.1598	6.6397	3.0331	0.22966	1.317	4.4039	1.9745	2.6064	4.145	0.14608	5.9063	4.2302	7.2011	0	5.1453	2.4298	5.3324	4.843	0	5.1969	0	0.70583	0.26209	6.4248	4.7336	3.9571	2.1338	4.951	0	6.1655	4.287
RS_G16247__C17orf60__C17orf60	0.49808	0.30644	0.1873	0.47501	0.16983	0	1.7779	4.3243	0.35255	0.78703	0	0.28012	3.4776	6.4583	0.83997	0.7432	0.46893	1.5377	3.4339	0	0	0.35027	0.27625	3.0384	0.5823	0.30115	0	0	0	1.5309	2.4997	0	0.11701	0.35147	0	0.25524
RS_G21976__PSORS1C2__PSORS1C2	3.4262	3.392	0	0.22306	0	0.42468	3.1842	1.3329	0	1.2556	1.3194	1.9812	1.3602	0.38672	3.262	3.807	0.57295	2.4497	0.25105	1.2149	0	1.4399	1.8844	1.8696	1.981	1.9018	5.3528	1.1628	3.4737	3.6252	0.44865	0	1.9444	0.53698	0.56515	1.432
RS_G180__MATK__MATK	0.50499	0.41669	2.383	0	0.79262	0	6.2572	2.271	1.7386	0	4.6248	5.672	0	3.3626	0.36849	5.2526	2.0979	0	0	7.4683	5.5238	0	4.5215	0	4.2111	0	0	3.9548	8.2368	4.4908	0	0	2.9773	0.07338	0.71016	6.8048
RS_G31733__RP5-857K21.8__RP5-857K21.8	5.0029	0.86394	5.9947	5.694	3.7407	4.9113	3.5112	11.4972	4.97	5.1034	4.4521	4.4169	3.9669	4.8796	5.1054	4.9172	4.4921	5.0984	3.7983	1.5704	4.4026	10.5417	1.8076	5.8063	2.8036	3.5856	6.3863	0.75049	5.0293	5.1652	4.3612	5.3959	1.8849	2.1435	4.3343	5.1128
RS_G5781__OPRL1__OPRL1	4.534	1.6695	0.95283	4.2781	1.5212	1.6941	1.5183	0.62697	2.1401	1.4334	3.2103	0.3316	0.80273	0	0.79524	2.1467	2.3743	2.1919	1.2947	4.4101	3.2073	3.3572	0.86525	0.48697	1.694	1.73	1.6668	6.922	3.9209	1.6348	1.7889	1.0742	2.0271	3.0021	3.8285	3.6366
RS_G16452__NPW__NPW	0.92642	1.4213	0	2.4697	0.2454	0.65448	1.172	0.5077	0.26622	1.0368	5.9176	4.5334	4.1669	0	3.1399	0	0.4498	2.1341	0	2.1758	1.085	0	0.54611	0	2.8689	1.2498	1.1663	5.1687	4.4809	6.0124	1.5207	4.5138	6.4954	2.0477	4.8912	1.5426
RS_G7046__SAA2__SAA2	2.9556	0.70957	0	0	0.74843	0	3.3906	0	0	0	4.3264	1.932	4.8681	1.4123	0	6.5567	0.42948	6.1314	0	0.76858	0	0.45298	1.4505	0	0	0	3.0788	0.73192	6.3223	8.5787	0	0	0	0	2.1893	0
RS_G13778__EFEMP2__EFEMP2	3.0368	3.7343	0.81802	2.088	8.8475	3.118	2.2097	3.9482	1.5864	2.5361	6.5803	2.2688	2.9904	1.7266	1.3615	2.9066	5.1189	3.1477	9.4284	3.0727	2.0559	0.49308	4.0266	0.87765	2.6978	3.2133	3.4775	8.8083	6.8745	2.7641	2.1223	3.9946	1.3992	2.8724	5.2468	2.7263
RS_G5988__EVI2A__EVI2A	1.2756	0.13752	0.30944	0	7.1056	0.15699	0.24882	4.0118	0	1.0625	0	0	1.3617	1.032	0.28992	0	6.1551	0.48768	3.8192	0	0	1.3205	0	6.7313	0.074104	0	0	1.1689	0.54354	0	0	0	0	0.20844	0	0.40834
RS_G11930__GJB2__GJB2	3.5126	5.23	3.1119	0.88156	0.53531	1.6348	8.1505	1.9488	0.11372	0	5.3639	6.7909	2.27	6.3727	0.3828	6.5175	3.6088	2.8946	0	3.5417	1.2477	0	2.9187	2.5947	2.1975	0	0.68075	1.1832	3.3463	3.2436	0.22449	3.3276	3.8705	0.14815	0.6266	2.0017
RS_G2174__SCARF2__SCARF2	0.99226	1.4054	2.0403	4.0099	8.0048	1.1916	4.052	0.51672	1.9477	2.1618	7.3407	5.5777	2.7189	3.7544	2.5177	3.7682	5.4166	2.3726	7.7584	3.9993	1.8754	0.69889	2.52	2.3524	4.2897	4.5508	0	7.0169	3.4351	2.2091	2.4421	4.3461	4.7467	2.3432	4.064	4.2022
RS_G6326__AC006273.1__AC006273.1	4.7058	0.44652	0	6.9571	4.8531	2.6603	1.0627	1.6414	0.52069	0.8433	6.875	3.8642	0.70315	0.67825	0	0.22203	5.498	0	2.1711	3.6612	3.7451	9.1647	2.0081	0.29709	2.1202	1.1253	0	9.396	1.41	3.9901	0	4.3873	6.578	1.3958	5.6514	4.4249
RS_G22410__KRT6A__KRT6A	3.5895	2.5889	2.9468	0.55164	2.2719	0.71416	10.8969	3.7479	0.58643	0.5174	4.0519	13.3732	10.576	4.7344	0	5.5642	0.38198	5.0609	0.61854	3.3575	0.83309	0	9.6891	0.66193	2.9479	4.5726	0.69475	1.5973	12.9285	14.7791	14.0538	1.3901	1.238	1.4046	1.3633	1.0956
RS_G34074__RP11-258C19.3__RP11-258C19.3	3.8291	2.8681	3.1395	2.661	1.3579	4.1726	3.0209	3.4128	4.8519	4.6919	1.5425	2.3974	3.452	1.9856	7.856	0.44921	2.4535	1.3594	2.8584	1.9851	3.3219	4.9203	3.9604	0.73805	1.7849	1.9667	1.3973	0.99103	4.5668	0	1.6502	2.3215	2.5155	2.2695	0	3.4593
RS_G2467__MMP9__MMP9	0.3352	4.7331	0	1.8897	7.2801	1.3299	2.8432	7.1538	0.43548	1.2458	3.165	1.5059	6.2936	0.93467	0	3.1581	0.63889	0.45168	0.35709	3.8095	3.1157	2.482	1.5826	0	1.3653	0	2.3144	0.54164	4.3212	5.3232	3.8646	1.7067	1.7646	0.15571	2.9642	1.4825
RS_G2541__SNPH__SNPH	2.8925	3.9239	4.8906	0.84562	2.9285	0.14503	0.11904	0.30233	0.35199	0.4352	2.042	2.2632	3.0856	0.067811	0.14062	2.5012	2.9514	0	3.3989	0.38045	0	0.34071	4.7678	3.1149	5.7164	7.3115	0.38449	4.4226	0.91702	1.9761	0.79539	2.1071	3.2995	0.14638	0.85718	1.1361
RS_G1562__PKP1__PKP1	0.15156	0.83599	6.0682	6.0765	0.18638	0.40659	9.1236	0.52118	0.42248	0.19294	6.8236	8.7046	7.6667	0	0.097656	1.0626	1.1375	8.3043	0	7.5597	4.8379	0	4.5401	0.41271	5.5674	1.1903	3.8358	1.2462	8.7949	1.8114	0.9191	0.68334	5.1307	0.66593	0.77356	0
RS_G12538__KLK5__KLK5	6.1288	4.2346	0	4.9387	0.87783	0.32442	9.7741	0.50368	0	0	1.7287	9.0743	12.8418	11.5097	0.31511	10.0348	1.7585	4.9998	0.87841	1.9651	0	1.4592	12.0662	0	1.6783	2.1958	0	0.54237	1.3136	7.7474	10.6798	0	5.3638	5.4051	4.337	0
RS_G14301__CHST2__CHST2	1.0835	0.13336	0.23835	2.7032	4.1777	0	3.102	3.8426	0.1568	0	2.6096	1.3665	1.1804	0.13922	0	1.2898	4.074	0	6.1227	0.14698	0	0.15375	1.5489	4.6798	0	0.26037	0	5.0333	4.8977	2.0316	2.7945	0	4.0125	0	0.62457	1.5682
RS_G5308__TNFSF10__TNFSF10	7.4598	3.8064	6.2377	6.7549	0.14673	2.2596	0.44806	0.89885	7.403	6.2489	1.8662	4.0073	5.596	7.5225	4.5777	5.9926	0.27813	10.8217	0	0.28181	2.6571	5.9145	3.0257	3.778	5.0998	5.7963	0	0	2.1075	3.6864	7.5606	6.4195	4.4717	5.4281	5.434	0.95845
RS_G424__FHL1__FHL1	2.0586	0.14817	0	0.62912	8.4195	0	7.8581	7.6811	0	0.22544	5.2396	7.0935	5.4999	1.6533	0	8.1859	4.294	0.90187	10.0365	3.4656	2.4039	0.32044	3.163	4.1986	1.521	0.52788	0.9089	7.0593	5.007	2.9989	7.6498	0	4.6859	0	0.6065	1.4646
RS_G22054__CBY3__CBY3	2.1254	2.3861	1.3454	2.6346	0.94815	2.8675	5.0906	1.3882	1.5905	3.1422	2.1245	2.9635	3.9689	0	4.2166	3.3497	0.92498	0.87442	2.4012	4.9805	3.4494	3.9172	4.2967	0	4.6104	5.3105	0	7.8171	4.0263	2.8076	2.6353	2.5571	4.5856	1.569	3.5623	3.09
RS_G4362__HYAL1__HYAL1	2.7501	8.2466	0.78252	1.8033	1.8316	2.4569	4.2535	2.8732	1.6011	2.2722	2.2137	0.61428	1.9518	1.3981	1.7949	1.7454	1.606	1.6933	2.0174	2.859	1.2474	2.4503	1.745	2.3083	2.072	2.3372	5.8494	2.1401	3.2022	6.4993	5.5753	3.8059	2.4954	1.5272	0.64515	2.4316
RS_G6138__BAIAP2L2__BAIAP2L2	1.8619	4.4149	0.13304	1.6299	6.1142	1.2764	0.91234	0.473	1.6039	1.7708	8.4277	5.8264	4.8764	0.79441	1.5262	0.62381	0.59391	3.215	2.7982	1.4413	0.90306	1.3959	1.9401	0	2.8525	3.8127	4.9919	2.553	4.3806	1.6165	2.5815	3.6222	2.6405	1.6025	2.9765	0.92168
RS_G3163__ATP1A3__ATP1A3	4.3274	10.0114	1.9462	7.3666	4.4612	5.383	4.7758	2.7679	2.0801	5.4381	6.8753	4.7827	5.96	4.1124	0.802	4.0167	5.5134	0.82382	2.2676	5.8081	4.8029	8.8681	5.5177	5.3107	3.0664	0.25964	7.4159	5.8738	1.5203	3.7056	5.114	5.5049	7.4703	1.8905	6.2309	6.8914
RS_G4541__WNT6__WNT6	3.0042	3.7368	0.32073	0.73284	0	4.6301	5.7575	0.46473	0	1.5932	5.9361	0.62937	3.7627	0.70526	1.2218	6.7506	0.62494	3.7408	0	5.9402	0	1.1888	8.9832	0	1.7939	0	4.0941	0.50468	7.5806	3.3084	0.80164	0	3.4452	8.2501	1.2905	0
RS_G1039__SYT1__SYT1	1.123	2.1228	4.824	8.2377	4.8047	0.86198	1.222	0.68231	5.6408	5.3681	0	3.4414	1.3791	4.1984	3.5518	1.2674	3.4954	4.8334	2.6812	3.3681	5.8949	8.1976	0.47919	3.3375	2.2683	0.18611	4.36	5.568	0.54555	2.9818	4.8527	4.0193	0.88003	0.037549	2.2162	0.63215
RS_G12844__ENHO__ENHO	2.9089	5.5123	0	3.6537	3.6418	5.0534	0.67716	1.9285	2.9711	3.5391	5.7918	0.65661	2.1981	1.4936	1.0345	4.7065	3.0499	1.6959	5.1131	4.4751	2.2441	8.4101	4.6802	0	4.6541	3.5098	6.3113	4.2099	5.1553	0.6459	3.5066	2.3488	2.7699	3.4582	2.3467	1.2003
RS_G4537__IL1R2__IL1R2	1.0369	2.5004	0	1.733	0	0.17018	0.49293	1.6866	0	0	4.4036	4.9638	6.64	0.64775	0.96617	5.6003	0.30776	0	0.18783	0.31179	0.30816	2.1815	4.1934	0.75668	2.2311	3.5958	0	1.3658	3.235	1.3483	1.5253	0	3.4121	1.1074	0	0.23652
RS_G3172__GRIN2D__GRIN2D	1.2815	7.681	0.11453	0.68008	6.2801	0.3443	5.0838	1.1036	1.736	0.83669	0.90964	7.0748	2.9299	1.246	1.8482	4.2991	1.361	3.6096	2.9072	3.4213	3.0676	2.3793	3.8963	1.1365	0.84688	0.18568	7.0486	4.253	3.6892	8.309	7.4344	1.1701	0.90614	0.72063	2.5652	2.0206
RS_G27826__RP5-857K21.10__RP5-857K21.10	5.8107	2.5263	7.2819	6.0612	5.4616	6.7566	5.7699	6.0557	5.9109	6.3595	4.472	10.192	5.0055	6.5499	6.7342	5.4524	5.212	6.1806	4.031	1.6856	5.5395	5.1118	3.5761	6.185	4.0503	5.0325	6.1325	3.2194	11.8036	3.9198	4.7339	6.2921	3.4616	3.9447	4.7608	5.9337
RS_G2294__HMOX1__HMOX1	5.2324	7.003	4.0314	6.9044	8.3669	7.1545	6.8174	8.6229	4.7288	5.8914	7.281	6.3735	5.5572	5.7747	6.1383	8.4909	6.3885	7.3288	7.8988	5.4815	5.1931	6.5675	7.3741	6.3582	7.0571	5.3533	7.157	13.0503	7.1352	7.2448	6.2813	5.8474	6.0204	7.251	9.0714	8.756
RS_G477__SH2D2A__SH2D2A	0.94001	4.6893	0.32589	2.6798	0	0.29969	3.9685	1.0373	0	2.4134	6.2239	1.8472	3.8194	0.97591	1.1028	2.5234	2.1292	3.9223	0.48031	1.0982	0	0.1632	2.1868	0	3.6932	2.1948	0	1.9177	4.4467	3.6017	0.81263	3.7963	2.6117	1.9574	3.0212	5.6658
RS_G17866__FZD9__FZD9	0	4.6771	0.4403	2.9437	3.445	2.5305	3.3357	2.1183	0.12145	0.93021	5.7118	3.3851	3.5463	2.3341	1.4657	3.7746	0	2.9777	2.2666	4.1247	1.9509	0.94309	4.9195	0	0.16042	0	4.2909	4.2862	1.9381	4.1039	2.547	3.9233	2.9662	0	0	0
RS_G12539__KLK6__KLK6	4.2761	5.0602	0.45573	4.9239	0	0.54484	9.0328	0	0	1.2661	7.0963	4.1068	10.7456	12.9326	0	7.5906	0.40914	1.5357	0.17355	2.609	2.5633	1.6753	11.1156	0	1.8049	1.0046	1.0202	0	1.5005	10.6741	8.8709	0	6.5776	4.1101	7.003	0.72126
RS_G2983__SNX16__SNX16	4.0779	1.6934	4.2149	4.1823	4.5164	4.3061	3.3166	3.6461	8.2469	3.5318	5.1328	2.4131	1.3807	3.4426	3.6058	5.2872	5.6931	4.6284	4.0156	1.8436	4.3623	4.5973	2.0483	4.6342	2.7031	3.0069	2.1	2.7695	2.2722	2.6571	2.908	3.3002	2.7071	3.7989	4.4856	2.4767
RS_G6542__C1QL1__C1QL1	3.763	4.6965	0.75664	6.0783	6.7676	3.3057	7.5882	5.6589	1.999	4.6891	4.5608	2.6627	4.9491	2.2673	0	5.8265	4.975	2.0219	4.1685	5.4241	5.4863	4.5279	3.8951	3.1588	3.6742	0.55244	4.3193	4.3657	9.8207	4.538	3.6612	6.0295	4.0256	3.5289	6.7244	5.8191
RS_G13924__C11orf86__C11orf86	1.453	9.9466	0	0.50858	1.1966	0	0	0	0	0	3.5889	0	0	1.786	2.1623	4.2136	0	0	0	0	0	0	7.1704	1.6118	0	0	4.8992	0.88539	7.3083	3.5987	5.714	0	2.939	5.2253	0	0
RS_G10165__DEPDC6__DEPDC6	5.8259	6.1946	7.7825	6.0532	2.4574	5.8304	3.868	5.2335	6.7933	6.4623	4.9882	0.51319	3.5353	4.7511	5.9438	3.252	2.4528	5.9295	7.3951	4.8614	6.0803	6.7226	5.9242	1.9036	6.7617	6.0819	5.9379	4.7027	3.6608	2.335	3.9324	5.5378	6.7571	5.7114	6.0442	4.9031
RS_G10674__PIP__PIP	2.9964	1.7353	9.5819	4.291	0	0	0	0	6.2869	1.4841	0.66661	0	0	6.4468	10.9728	0	0	3.1539	2.713	0.71805	1.8507	2.0123	6.3497	0	4.4832	5.3906	6.4578	0	0	0	3.8345	13.277	2.2284	7.4939	6.4281	3.0258
RS_G9341__ANKRD1__ANKRD1	6.4828	0	0	0.8261	4.6532	0	6.6578	0.82492	0	0.1835	1.1514	3.337	4.898	2.6463	0	5.0848	1.2721	0.23193	3.6273	3.9893	0.25672	0	1.1723	10.4614	0.49467	0.6149	0.82193	2.257	3.3586	1.9709	4.3821	1.2895	2.7655	0	1.0823	0
RS_G7670__DDX60__DDX60	3.8387	0.32032	2.7237	6.0772	1.8134	2.4436	2.2916	3.7062	1.2384	2.325	7.7036	2.3434	6.1506	3.5657	4.5014	1.0877	3.1529	7.8636	1.6225	1.3036	1.3175	5.3043	0.698	3.1707	0.73398	0.62401	0	0.73295	3.8316	3.7637	2.1658	1.8779	1.3425	1.0127	1.1743	0.43139
RS_G3964__MGP__MGP	12.7444	2.1266	10.3876	13.053	10.6511	7.0869	8.0389	10.2032	3.1229	10.7774	3.9569	1.3697	8.6133	12.1311	8.8839	10.4834	4.1418	13.2784	6.112	3.7236	6.4925	6.6738	9.692	3.8402	8.314	6.6113	3.6695	1.0938	9.938	2.1658	3.1152	12.988	6.25	9.0875	8.1643	5.2927
RS_G35570__AC010332.7__AC010332.7	3.7029	0	4.3616	5.7931	2.1086	1.2037	0	5.1107	5.786	1.9838	0	1.8953	5.1975	0	7.3878	2.5185	6.1011	1.7137	1.7709	0	2.2637	5.1686	1.6145	0	1.9956	0	0	0.83698	1.8455	0.74043	4.3593	0	2.4709	3.4448	0	0
RS_G41__TFPI__TFPI	1.8179	0.2174	0.72568	0.79129	8.5146	4.5244	0	4.3639	0.37081	3.8782	0	2.3925	3.7167	5.6665	0	2.9865	5.668	6.5509	6.9449	4.0401	7.4224	4.2219	2.2633	7.667	0.35548	0	0.67722	3.6419	0	5.6653	4.1591	0	0.79281	3.0291	0	0
RS_G3462__DDX58__DDX58	4.6464	1.2425	3.6748	6.6044	3.2513	4.3522	5.5147	4.703	3.0799	3.8092	9.1085	4.3983	6.7743	4.4267	6.5675	5.7537	3.6558	8.7787	3.3188	2.216	4.2702	5.2057	2.4644	5.7884	3.5604	3.4966	1.0427	1.8856	4.3942	2.1718	2.8206	4.5015	1.9092	1.3211	3.7722	3.2852
RS_G13489__LRRC8C__LRRC8C	2.418	1.5417	1.7488	2.4041	6.0762	1.4049	4.2775	5.247	3.3365	3.6831	5.1997	6.6789	3.9768	4.0136	3.0991	6.0583	4.9818	5.6925	6.064	0.087916	2.0266	4.3586	2.1772	8.3452	1.0245	0.97754	0	2.3141	2.6248	3.3056	1.4293	1.3006	1.0774	1.639	1.2874	1.824
RS_G28921__AP002448.3__AP002448.3	0.15678	2.16	4.5166	1.1037	0	0	0	0.40965	3.7876	3.4604	4.2473	0	3.7405	4.6547	0	0.36884	0.35732	6.8538	0.72705	0.36192	0.36419	1.2286	1.5217	0	4.6525	0	4.0954	0.60887	0	2.9716	0	5.3124	4.4783	3.8735	5.8805	0.5014
RS_G3505__UNC5B__UNC5B	1.569	4.6928	2.858	2.9021	1.2545	2.3139	2.4338	4.1346	1.5493	1.6312	3.6245	5.6769	5.2498	2.9491	2.4618	5.1625	2.3407	2.4117	4.4737	4.1222	2.8653	5.4266	6.9351	0.54177	6.0143	8.494	6.1432	7.6038	5.3655	6.9528	3.0871	3.181	5.8601	8.6628	5.5405	5.4248
RS_G16982__IFIT1__IFIT1	4.0272	0.24404	1.6038	8.4349	2.6931	1.5317	3.5077	4.2694	0.73486	5.2973	9.1722	6.0939	6.5673	6.0911	6.388	1.8643	3.3544	10.3925	2.1393	3.6083	3.6486	6.109	2.752	6.2823	1.4311	1.9978	0	1.8031	5.7124	3.6724	3.048	5.5259	0.1874	0.88048	1.7547	0.9293
RS_G12288__SCNN1G__SCNN1G	0	4.2825	0	4.9145	0	6.1694	5.6465	0.51299	0	4.2032	0.1358	0.4365	1.994	3.6997	0	2.0358	0	1.0232	0	4.0991	1.07	2.1905	1.7844	0	0.17844	0.26289	1.7543	0.49282	0.92144	8.2633	6.8146	0.91373	4.3481	0.15333	3.0802	0.48344
RS_G22203__AC068228.8__AC068228.8	1.211	3.9353	2.0361	0.41371	0	0.42214	0	1.0851	1.6436	1.8201	0	5.6945	3.5015	1.7286	1.8523	0.743	0	2.3202	0.24946	1.7006	1.2123	0	0.85055	0	1.6003	0.68164	0	0.38692	0	5.0313	1.583	0	0	2.7142	0	0
RS_G6057__KLF2__KLF2	7.0712	4.5412	4.9505	3.4118	4.4313	5.021	5.2861	3.118	6.8299	3.001	4.6378	3.0863	2.088	2.9896	3.5777	2.4648	2.6959	1.347	6.3571	2.8253	2.7692	3.0345	3.0228	5.4435	6.1329	8.2977	4.7633	8.5158	3.058	2.6175	3.1933	2.2051	3.7626	1.365	5.6861	9.0721
RS_G10060__WNT7A__WNT7A	0	0.25843	0	0.29061	0	0	5.6309	0.17319	0	0	0.78406	7.7833	5.9134	0.27412	0.28646	3.6197	0	0	1.9243	0	0	0	2.5582	0	0	0.86159	0	1.2965	0	4.7626	0.79903	0	0.80956	0	0	1.6436
RS_G13258__SIX2__SIX2	5.5952	2.155	1.9137	1.0555	6.3032	4.966	3.7665	5.1659	5.745	0.17097	5.2586	6.6128	6.2399	1.6271	6.3129	0	5.9374	3.5206	1.6058	5.8174	1.1198	4.5449	4.9303	1.9224	9.095	9.8766	2.2177	4.4522	6.9451	4.9014	7.6677	3.0223	6.6529	3.9105	1.4812	0
RS_G6664__C19orf12__C19orf12	5.2901	4.6834	4.1568	4.1753	5.9429	5.4421	5.5059	5.1282	3.2762	5.9192	10.2306	7.0074	4.5613	4.4557	4.5763	5.8258	5.5023	6.0136	6.1122	5.0795	4.739	4.7274	5.7909	5.5532	5.1078	5.4239	5.2103	6.8142	5.6709	5.1	4.5139	4.2824	4.5861	5.1794	5.2328	4.7001
RS_G21773__GPRIN2__GPRIN2	4.0001	8.3744	0	1.3437	0	0	5.3082	0	0	0	0.23152	4.3886	5.4473	3.7981	0	5.982	5.0614	3.6002	0.40095	0.65392	0	0	6.6664	0	0.065818	0	7.0097	0	6.2273	4.7073	0.27671	4.0222	0.54066	6.6702	0	0.18814
RS_G11747__CTSB__CTSB	9.8416	8.2842	7.3598	8.8658	10.7399	7.7915	10.2099	9.493	8.6772	9.5489	8.9823	9.516	9.74	8.7557	6.9166	10.2834	9.9357	8.3334	11.0293	8.6087	8.539	8.406	9.6896	9.0618	8.77	8.7307	7.9661	14.2059	8.7494	9.1268	7.5318	8.3295	9.5108	8.2755	9.6418	9.0078
