Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg06822229__ACSL4	0.54625	0.049987	0.13296	0.25989	0.054279	0.080743	0.56196	0.64085	0.23476	0.14092	0.19426	0.083409	0.60474	0.51824	0.15666	0.076467	0.060636	0.054067	0.54466	0.10495	0.079209	0.32981	0.13253	0.55184	0.064906	0.28821	0.1044	0.63381	0.45848	0.56087	0.092167
Meth__cg15536490__TFAP2C	0.059396	0.18763	0.6959	0.077408	0.5813	0.31737	0.097177	0.59638	0.088887	0.14152	0.70011	0.14539	0.87556	0.085656	0.055352	0.19264	0.52182	0.4541	0.50407	0.58258	0.15627	0.10173	0.22787	0.064712	0.052081	0.53061	0.071436	0.050237	0.65072	0.20046	0.59185
RS_G11040__RBP7__RBP7	2.5571	1.1604	2.4051	2.7369	1.2423	2.0812	5.8017	6.599	0.70929	5.6841	1.4072	2.7215	1.491	3.2908	1.3599	1.9102	1.3471	3.4292	2.4849	0.5881	2.2494	1.3534	0	1.8559	2.5046	1.5544	6.9952	4.2168	2.0234	3.47	1.3543
Meth__cg02804166__PHF6	0.34752	0.024414	0.055952	0.14005	0.018691	0.05066	0.28648	0.44707	0.044561	0.065371	0.058669	0.48768	0.10802	0.37239	0.074855	0.030123	0.027433	0.040228	0.2349	0.084856	0.071456	0.17711	0.055633	0.50826	0.026725	0.053299	0.1518	0.44944	0.06795	0.26998	0.03821
RS_G16393__AC011443.6__AC011443.6	0.78149	0	0	2.0242	0.98271	0	2.6501	0.15815	5.8548	5.1701	0.82457	0	0	0	0	1.7873	3.5388	0.57774	5.1725	0	0.39217	0	0	0.38765	4.7857	0	1.979	6.2604	2.0745	0.13304	0.97076
Meth__cg04589904__ADRB1	0.047455	0.93216	0.068982	0.49876	0.35488	0.43703	0.043949	0.43806	0.059447	0.060245	0.67706	0.049374	0.9377	0.69009	0.22478	0.069116	0.57448	0.54736	0.065403	0.11979	0.055497	0.9044	0.82007	0.075616	0.88029	0.85841	0.080198	0.0695	0.17425	0.14941	0.64277
RS_G9022__SCUBE3__SCUBE3	3.5466	0.2618	2.5074	6.8946	1.7019	0.87587	2.3629	2.2384	2.795	2.8216	0.42772	5.6363	1.3151	1.3521	1.3012	4.7496	1.9989	1.9342	3.0681	3.0285	2.9598	3.4945	0.25785	2.954	1.0921	0.10982	2.6449	4.6731	1.8505	1.1401	0.94161
Meth__cg27613076__INPP5F	0.038359	0.090479	0.19849	0.058522	0.11051	0.10088	0.077062	0.098675	0.064194	0.052632	0.16541	0.053641	0.077051	0.292	0.046331	0.10612	0.10365	0.057532	0.068455	0.23947	0.089997	0.11429	0.13212	0.042336	0.049921	0.066388	0.086093	0.03158	0.11444	0.065803	0.097002
Meth__cg01952458__ATP6V1B2	0.038435	0.026395	0.045603	0.031212	0.095782	0.064643	0.032258	0.039679	0.032992	0.043816	0.30601	0.040062	0.086647	0.10588	0.19456	0.031139	0.043176	0.060499	0.025517	0.33849	0.064317	0.088571	0.032444	0.021745	0.016592	0.067746	0.034506	0.032694	0.063793	0.096003	0.063991
RS_G12319__C15orf48__C15orf48	2.1146	1.6974	0	3.7823	2.2301	0.70837	5.6117	1.1154	7.4558	4.7277	2.963	0	7.2539	2.7038	6.9069	0	1.7123	1.816	1.6049	0	0.25971	0	2.9274	4.4591	4.7801	0	3.5026	4.6825	3.9788	0.31497	3.1076
Meth__cg20492121__GLUL	0.021101	0.53873	0.80418	0.016658	0.74462	0.32771	0.030575	0.018399	0.02754	0.42018	0.28587	0.24143	0.96578	0.019003	0.075999	0.015908	0.28979	0.40015	0.046434	0.23423	0.50327	0.052215	0.4074	0.037008	0.018017	0.041623	0.024375	0.02683	0.038313	0.053191	0.16033
RS_G11101__FAM5C__FAM5C	0.21266	3.6632	2.4902	0.60928	0	0.91414	0	0	0	0	0	5.7033	1.0654	0.72076	4.5769	1.4133	3.7182	0.61657	2.7863	0	6.0253	7.372	0.68983	0	0	0.90882	0	6.6578	9.1072	1.1084	8.0858
RS_G5954__WNK4__WNK4	5.1287	0.79205	2.5978	4.274	0.5909	0.94204	1.2907	1.6841	5.8715	2.8025	2.1026	2.2251	1.247	3.0602	0.54739	1.1837	2.3966	0.75549	3.1369	2.3806	2.3498	2.8618	3.0046	3.866	2.5784	0.6056	4.2054	6.543	1.9687	6.9686	0.39401
Meth__cg07393322__A4GALT	0.070948	0.50115	0.66901	0.075221	0.49112	0.52974	0.058774	0.062136	0.55767	0.47093	0.77518	0.1843	0.72963	0.13108	0.32339	0.23132	0.11567	0.063552	0.2807	0.087988	0.14344	0.52254	0.46725	0.080527	0.12382	0.57197	0.06935	0.061572	0.32099	0.2376	0.15834
RS_G2659__SYP__SYP	3.41	2.907	4.3066	4.8543	4.6996	2.4778	3.804	5.1021	3.8879	3.4948	2.1223	3.2776	2.2882	1.6438	1.1754	1.3775	2.8633	3.5283	4.247	2.0866	3.5634	2.0984	3.6742	3.4633	2.7889	2.4082	4.2616	8.0014	5.6485	1.7103	5.9906
Meth__cg08800033__CETN2	0.57626	0.09642	0.14304	0.19934	0.044644	0.12809	0.69356	0.097967	0.13646	0.33611	0.21063	0.059097	0.257	0.34402	0.101	0.14213	0.083447	0.074895	0.38961	0.13421	0.074832	0.27839	0.28211	0.43589	0.05696	0.12612	0.27883	0.66982	0.26299	0.32464	0.12634
Meth__cg15931943__FHIT	0.029246	0.024592	0.029412	0.019725	0.058098	0.028772	0.019822	0.023602	0.020781	0.01692	0.083538	0.018388	0.031973	0.047561	0.032311	0.02937	0.15922	0.028475	0.021427	0.15215	0.026649	0.032479	0.041875	0.019408	0.027162	0.030796	0.044487	0.028769	0.026906	0.057959	0.026815
Meth__cg08296824__OSBPL3	0.059198	0.072006	0.38759	0.057762	0.054956	0.58115	0.053581	0.059854	0.049535	0.03295	0.068639	0.27268	0.053468	0.057462	0.096723	0.052325	0.63634	0.39058	0.058613	0.10572	0.068429	0.10265	0.083671	0.051688	0.05802	0.056051	0.081385	0.067113	0.060543	0.34221	0.065587
Meth__cg09374949__ISYNA1	0.054859	0.46293	0.62426	0.052458	0.58406	0.065715	0.059676	0.049591	0.068799	0.44104	0.36624	0.054665	0.59179	0.062387	0.079556	0.9626	0.64923	0.2449	0.062798	0.97288	0.066482	0.12983	0.063644	0.054183	0.032957	0.044358	0.052059	0.051379	0.063939	0.55999	0.067021
Meth__cg17454897__ADAMTS10	0.029887	0.45737	0.11828	0.040538	0.02667	0.49444	0.020703	0.037208	0.029329	0.032059	0.32859	0.91455	0.031558	0.019796	0.072041	0.057575	0.50204	0.050125	0.025906	0.87464	0.43385	0.26283	0.12182	0.036425	0.053644	0.89445	0.055115	0.040541	0.031016	0.15464	0.037564
Meth__cg18056600__ZMYND15	0.034968	0.78702	0.8171	0.13152	0.97023	0.26807	0.044132	0.10166	0.074294	0.054043	0.23717	0.046147	0.90923	0.16912	0.060016	0.1937	0.9427	0.4272	0.26714	0.93798	0.44228	0.098863	0.43477	0.4894	0.026201	0.8874	0.078109	0.18742	0.075264	0.23251	0.49803
RS_G10326__NMNAT2__NMNAT2	6.6	0.30207	0.5195	4.1564	2.4102	0.093162	5.2476	1.3761	1.4049	4.7602	1.6212	0.17633	4.0426	0.32631	0.33832	4.3466	0.089314	0.54336	4.3612	5.3772	2.181	0.62001	1.6548	1.5533	4.0954	1.1755	4.3552	4.8679	4.2739	0.34038	1.8525
Meth__cg09896445__GPC5	0.052953	0.07502	0.062014	0.042911	0.66027	0.59354	0.050423	0.089186	0.11321	0.072314	0.71434	0.87473	0.074205	0.083188	0.10063	0.2443	0.09706	0.079939	0.043438	0.11976	0.09701	0.80108	0.1385	0.055796	0.077021	0.12872	0.12806	0.034884	0.07458	0.25455	0.059226
Meth__cg19219437__PCOLCE2	0.045632	0.080233	0.068911	0.039252	0.043332	0.19982	0.052396	0.060096	0.042415	0.038982	0.14378	0.099228	0.49152	0.036364	0.11058	0.046212	0.049233	0.071252	0.065428	0.096569	0.046201	0.51785	0.075981	0.049985	0.048987	0.32646	0.072796	0.050737	0.051113	0.57367	0.057616
RS_G12514__KIAA1881__KIAA1881	3.708	0.97557	1.4092	3.9239	0.58506	1.765	1.7306	3.1204	0.95809	2.0302	1.8661	2.0345	0.38578	1.9516	0.46322	1.2473	3.7358	1.9028	4.3034	1.3526	1.6967	2.0462	0.933	4.0424	2.1504	1.089	2.5577	4.1955	2.3854	0.73544	0.93711
Meth__cg04222374__CXorf40A	0.63178	0.035259	0.031529	0.49776	0.031079	0.035887	0.65225	0.60888	0.035676	0.053147	0.06765	0.53118	0.55581	0.62658	0.20033	0.032793	0.030818	0.031528	0.54154	0.11481	0.035917	0.35101	0.029213	0.55534	0.030697	0.030717	0.10547	0.61812	0.49971	0.62269	0.031583
Meth__cg16762195__LGP2	0.029625	0.076357	0.043369	0.024755	0.14529	0.037691	0.033215	0.067469	0.1291	0.031151	0.15563	0.036015	0.33017	0.029089	0.060087	0.037444	0.41257	0.43414	0.034823	0.16766	0.13311	0.12418	0.044272	0.029743	0.028521	0.10755	0.077834	0.034659	0.1682	0.12702	0.3161
Meth__cg21144270__STK25	0.47839	0.41828	0.47474	0.029971	0.73184	0.10241	0.036276	0.028001	0.046637	0.23249	0.67774	0.038927	0.19537	0.094801	0.056708	0.59726	0.76257	0.4735	0.35155	0.96123	0.64701	0.059304	0.28555	0.028661	0.64258	0.029769	0.028557	0.03039	0.031961	0.098769	0.028785
Meth__cg26710722__COL9A2	0.30374	0.68881	0.063104	0.55785	0.98079	0.98091	0.45956	0.040701	0.14564	0.24328	0.96588	0.56757	0.97208	0.044682	0.080906	0.057524	0.95882	0.73149	0.8775	0.94125	0.7403	0.416	0.37829	0.069152	0.031839	0.98226	0.11107	0.0476	0.55644	0.96621	0.87074
Meth__cg03751799__SRPRB	0.070363	0.049246	0.10586	0.025767	0.055498	0.099713	0.042254	0.073961	0.040834	0.029842	0.097832	0.046074	0.072583	0.034396	0.075538	0.063462	0.035133	0.083026	0.035199	0.16208	0.067206	0.11249	0.11011	0.040728	0.062845	0.041112	0.054777	0.053707	0.097764	0.080915	0.08709
RS_G8036__ITGB7__ITGB7	2.8381	3.0819	1.1466	2.1593	0.68558	1.0459	1.566	2.2489	2.0587	2.7707	2.6655	1.8513	0.71429	1.6216	2.2171	0.30674	3.9679	2.3043	3.0913	0.258	2.0046	0.91278	1.8192	2.9868	1.7663	1.5759	3.646	2.6657	0.84553	1.2404	0.26265
Meth__cg21134096__RHEB	0.0591	0.80409	0.25685	0.050213	0.38983	0.59127	0.045855	0.099249	0.04698	0.095693	0.56663	0.058934	0.092021	0.055991	0.092595	0.062429	0.63158	0.63018	0.057073	0.090781	0.87607	0.084052	0.61373	0.043105	0.059249	0.13086	0.16298	0.087719	0.059569	0.16822	0.50062
RS_G12365__PIP5KL1__PIP5KL1	3.8726	1.8077	2.7048	3.2152	2.4851	3.6896	2.9426	5.3705	5.4668	3.5827	3.0411	5.0313	2.4172	3.0142	3.2625	2.4229	2.5715	2.1711	3.1834	1.6469	3.6043	3.2783	3.6177	9.1978	5.9581	2.354	3.0809	5.8063	3.8891	0.71015	1.8081
Meth__cg12513379__OR10H2	0.69085	0.083767	0.38896	0.21573	0.061329	0.19137	0.084651	0.12463	0.17822	0.49441	0.64763	0.065285	0.089216	0.097927	0.058676	0.077528	0.076603	0.10089	0.35341	0.078824	0.097393	0.1616	0.088344	0.20351	0.063835	0.19274	0.14208	0.67574	0.13652	0.12126	0.14638
RS_G6274__KLK10__KLK10	0.71878	0.20625	1.3396	1.2238	0	0.62219	9.15	2.0282	2.7793	10.9516	1.8961	0.1524	6.979	0.22273	3.3567	0.33246	2.017	0.95155	7.4633	0.22033	1.1275	0.28013	0	0.27978	1.6485	0	4.1029	4.0939	1.8135	0.094858	0.42331
Meth__cg17178888__FLJ14166	0.037024	0.036153	0.041336	0.032211	0.96278	0.90582	0.032903	0.038652	0.042942	0.025061	0.12781	0.023874	0.040603	0.043327	0.062198	0.61216	0.038137	0.04295	0.038531	0.0553	0.040034	0.90166	0.10123	0.054822	0.038252	0.74384	0.060062	0.038496	0.12007	0.087421	0.1259
Meth__cg19572242__IRAK1	0.36002	0.053612	0.060417	0.28595	0.038619	0.053545	0.24307	0.39925	0.042687	0.068364	0.086222	0.0345	0.27507	0.24364	0.10986	0.052148	0.026831	0.055154	0.31459	0.061197	0.063227	0.24196	0.087979	0.31368	0.032502	0.13147	0.13971	0.43743	0.21774	0.33881	0.041471
RS_G11051__LAPTM5__LAPTM5	2.8393	0.20669	0	1.2492	0.22567	2.6129	1.7293	2.2405	3.3755	4.1543	2.745	0.87362	1.1634	0.66768	0.69552	0.91454	1.473	0.33275	1.0672	9.5586	0.73502	0.39464	0	7.01	2.1102	0.65062	0	1.4999	1.1637	0.13806	0
