Cell lines	21MT1	21NT	600MPE	AU565	BT474	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G2016__COL9A3__COL9A3	5.8423	6.0772	1.4993	4.0111	0.88215	1.2322	0.70713	6.8804	0.60545	2.0714	1.1249	5.9643	2.9465	2.6759	0	0.21295	2.7092	0.925	0.61144	3.7968	1.6879	3.6563	4.4015	0.36722	3.2525	4.299	9.0893	0.38251	0.35941	9.2432	4.908	2.9855	4.585	7.0235	1.077	0.53092
RS_G5020__PGF__PGF	4.529	3.6237	0.19294	3.811	0	0	0	3.0438	1.7839	0	0	4.332	4.2791	2.3044	0.87483	2.3457	2.0848	1.7793	6.819	2.3741	2.1754	6.4551	1.2129	7.173	0	0	2.8136	2.5559	0.22406	4.0669	3.9857	1.1334	1.9228	1.3662	0	0
RS_G5781__OPRL1__OPRL1	2.3399	1.6011	4.534	1.6695	0.95283	1.5212	1.6941	1.5183	0.62697	2.1401	1.4334	3.2103	0.3316	0.80273	0	2.1467	2.3743	2.1919	1.2947	4.4101	3.2073	3.3572	0.86525	0.48697	1.694	1.73	3.8516	1.6668	6.922	3.9209	1.6348	1.7889	1.0742	2.0271	3.8285	3.6366
RS_G8983__ODZ2__ODZ2	2.6956	2.4268	0.46196	0.21261	4.1691	9.125	1.6831	0.51807	1.6057	1.8836	1.7042	0.025184	1.9378	4.7939	0.52982	2.6967	1.4508	0.84724	4.5337	0.10886	0.056207	4.5033	0.27275	0.89421	3.1193	0.47793	0.079403	0.449	0	4.3607	1.3205	0	5.1209	0.92925	3.252	0.48681
RS_G3621__RASD1__RASD1	3.4576	3.7168	5.969	3.1449	0.68218	1.2555	2.573	2.5312	1.9517	9.8031	1.1515	3.5046	3.8191	1.2438	1.4534	1.8056	1.9539	1.1264	2.8615	6.7543	8.3099	4.2693	6.4316	5.2432	4.799	2.2009	9.7029	1.6598	1.155	3.3133	3.1136	2.7128	0.32639	5.474	2.5211	1.6951
RS_G19397__L1CAM__L1CAM	3.292	5.1044	5.0302	6.9187	1.3538	0.69507	5.9379	7.576	4.0551	1.4333	4.2916	7.5056	2.0386	4.8733	5.8085	7.6995	6.3652	0	5.7132	9.4903	6.7579	8.1829	9.454	4.142	3.0137	0.26696	5.233	6.4653	1.738	10.535	8.13	7.9265	4.4721	9.8766	5.0006	0.9737
RS_G23891__hsa-mir-663__hsa-mir-663	9.1904	2.3342	0	6.5995	0	3.6955	3.5021	4.1484	2.4783	1.657	1.8982	0	7.3333	3.7498	0	0	0	0	6.9638	5.7712	2.8095	3.9424	3.6418	0	3.3956	9.0976	5.1612	0	10.3507	5.5355	10.4065	0	1.729	4.1967	0	4.2166
RS_G6312__CDKN1C__CDKN1C	4.4197	5.582	1.5663	3.4209	1.4135	2.0193	1.5752	3.2115	1.6214	0.43044	1.3211	3.7532	1.1465	0.74775	1.2033	1.872	1.8139	0.74747	2.187	2.5887	0.62031	5.8987	3.0673	3.0532	2.5782	2.8636	3.4979	0	3.0329	4.9828	5.6167	2.6888	0.80526	2.5041	3.0998	4.1276
RS_G5082__PPP1R3C__PPP1R3C	0.44663	1.7673	0.43694	0	6.0182	5.9026	6.9819	0	4.9081	4.9479	3.7082	0	3.4447	3.4146	0.27421	0	3.5154	3.8927	2.2452	5.321	7.2503	1.163	6.4569	4.4461	3.825	0	0.27893	0	4.3203	0.93617	2.6055	2.3988	1.0241	4.3747	0.89368	0
RS_G12889__AR__AR	2.7323	1.8822	4.6371	4.6227	6.4437	5.9187	7.5601	0.19231	1.476	6.5225	6.1875	0.10622	0	0.18004	5.5774	0.97224	0.22082	3.9166	3.5014	5.9163	6.3628	4.5895	2.3964	0.40029	7.5779	9.2818	0.68318	3.9527	5.974	0.23057	2.03	0	4.8483	5.5328	6.3137	3.0122
RS_G8221__CDH11__CDH11	7.5458	5.7918	0.79052	0.19957	1.1551	8.6171	1.5558	5.8768	8.8783	0.1995	0.15665	0.46098	2.9491	6.0302	4.7511	2.1427	5.2153	0.78652	7.7193	0	0.078446	0	0.063857	7.6977	0.12672	0	0.52377	0	6.0073	0.74857	0	0	0	0.55314	0.40122	0
RS_G14301__CHST2__CHST2	0	0	1.0835	0.13336	0.23835	4.1777	0	3.102	3.8426	0.1568	0	2.6096	1.3665	1.1804	0.13922	1.2898	4.074	0	6.1227	0.14698	0	0.15375	1.5489	4.6798	0	0.26037	6.8572	0	5.0333	4.8977	2.0316	2.7945	0	4.0125	0.62457	1.5682
RS_G13254__IRX1__IRX1	0	0	0	0	0	0	0	9.066	6.4132	0	0	0.24446	2.8355	0.71958	0.25437	3.6235	3.7902	0	0.86673	0	0.14025	0	0	0	0	0	7.2028	0	0	3.8275	0	0	0	0	0	0
RS_G663__RSF1__RSF1	5.6801	6.4539	8.1363	5.4289	6.1763	6.4504	6.052	6.5173	6.1058	5.822	6.5063	6.8923	7.1095	6.3098	6.3111	6.0201	6.6896	6.0028	5.5633	5.8166	7.0255	10.9701	6.3038	6.2483	6.0367	7.033	6.1716	5.0067	5.3046	6.2564	5.2559	8.0708	5.3748	5.8319	5.3245	5.4744
RS_G19250__ABCA4__ABCA4	1.2572	2.6692	2.5925	1.8337	3.9603	0.26948	0.28068	0.23368	4.4163	1.9681	6.1509	2.5443	0.3723	2.4337	1.3841	1.9661	0.29762	0.88168	1.2798	2.2154	0.99615	0.14858	3.3904	1.4951	0.99526	0.25117	3.7702	3.5587	1.6032	3.7364	1.4958	1.6978	2.6309	6.0141	4.9307	0.65076
RS_G7014__HMGCS2__HMGCS2	1.6061	3.8663	3.2458	4.7467	9.5647	0	2.0295	0	0.27949	6.5198	1.1194	0	0	0.66734	0	0	0	0	0	2.1169	1.2016	2.2865	4.1494	1.5586	8.5555	0	0	3.6267	0	0	0	4.6803	5.0264	7.5799	4.8179	3.1114
RS_G14674__FOXC2__FOXC2	0.18769	0.29892	0	0	0	0	0	5.0339	5.3056	0.44201	0.21381	3.25	5.8163	4.8008	0	2.4171	1.153	0	8.6324	0.64546	0	0	0	0	0	0	7.2676	0	5.6112	3.0385	3.8454	0.5871	0	0	0	0
RS_G2490__SALL4__SALL4	1.8551	0.35471	0.87541	3.0032	3.7493	0	0.22779	2.8696	2.4846	1.3087	0.46749	2.5464	5.4893	4.1678	1.6176	0.48619	4.7341	2.6721	2.5211	3.5542	6.0056	1.2161	1.2598	0	3.7915	0	2.0331	1.9441	2.9444	2.851	4.282	0	0	0.28931	0.30869	1.1997
RS_G180__MATK__MATK	3.5655	2.9197	0.50499	0.41669	2.383	0.79262	0	6.2572	2.271	1.7386	0	4.6248	5.672	0	3.3626	5.2526	2.0979	0	0	7.4683	5.5238	0	4.5215	0	4.2111	0	5.8566	0	3.9548	8.2368	4.4908	0	0	2.9773	0.71016	6.8048
RS_G2274__TIMP3__TIMP3	2.9499	1.8396	7.1676	1.4484	0.20404	0	0.54618	0.15932	7.2281	0.73369	0.19599	11.9588	8.3461	9.2857	0.17607	7.7407	0.49099	0.92898	10.0072	4.2692	9.644	8.0855	7.3564	5.7329	2.0761	1.5956	5.5897	1.9357	0.46861	4.2941	7.3446	4.9621	4.2155	4.6465	2.5201	0.72845
RS_G3022__DHDH__DHDH	1.0469	1.2783	2.4187	2.2579	0	0.76248	0.93381	3.6498	0	0.9645	2.8425	5.3073	3.5907	4.9283	1.7072	2.7314	0.60282	5.2884	0.84227	3.6193	2.6151	4.4139	1.6583	1.1133	1.3322	1.9645	5.9895	0	4.6054	2.7517	4.0578	3.0985	3.2846	4.2986	3.1819	1.8332
RS_G6759__XAF1__XAF1	0	0.074869	0.70494	0.24912	0.077767	4.3757	0.34105	0.51684	0.78531	0.15423	0.37371	8.1182	1.6447	5.2741	3.6319	0.3472	4.516	7.9514	1.8859	0.74722	0.55715	0.21993	0.27561	0.070228	0	0.25471	5.1957	0	2.2428	4.2314	4.6265	0.15909	0.9767	0.050434	0.10585	0.10335
RS_G161__SCIN__SCIN	1.1082	1.686	2.7109	3.6588	1.1965	0	9.3262	0.16851	0	0	4.9978	0	1.3433	0.54791	1.1152	1.8553	1.5526	8.3614	0	5.1779	0	1.2007	2.8424	4.2942	2.3898	0.34155	0	5.7814	0	0	0.43341	6.6911	5.4665	3.7452	4.8425	0
RS_G2581__WFDC2__WFDC2	8.9495	9.9209	5.881	0.54379	1.0823	0	1.0374	7.1896	0	0.63224	2.3983	10.9307	5.6399	7.8153	0	0.61203	2.5221	10.1559	1.2948	6.1824	5.317	9.1243	5.3322	1.7721	5.5543	1.9279	11.7635	2.6788	1.7574	13.4728	10.0536	0.64571	0.90703	4.815	7.0559	1.9893
RS_G22179__AC104692.1__AC104692.1	0	0	0	1.0213	6.1553	4.6508	0	0	1.8859	5.2296	1.4075	5.5417	2.2715	0	4.987	7.6104	0	4.8789	0	0	0	0	7.8349	5.5001	0.65229	0	6.8873	0	6.7274	5.1084	0	0	0	0.84432	0	0
RS_G1700__WNT11__WNT11	3.4577	2.4595	0.95554	0.84773	1.4629	2.4978	0.26815	2.2228	0.15487	0	2.7953	7.6623	1.9448	1.5183	0.12823	1.0841	1.9585	4.9662	1.6509	6.8246	2.6715	4.2544	3.4588	0.64391	1.6128	0	3.2041	0	0.94427	8.51	3.1453	1.8569	2.1116	0.34001	0.65293	0.19576
RS_G9666__DPYSL4__DPYSL4	0.22705	0.43861	2.1402	2.0732	0.10834	6.5065	0.36733	0.66651	6.9015	0.20354	0.57452	5.8937	5.5149	3.6203	0	0.89312	7.2924	0	8.4033	5.9845	5.4214	7.126	3.1706	0.18027	2.5149	2.3566	4.7578	1.5021	3.1696	0.35504	0	5.5632	1.3874	7.3126	1.3908	0
RS_G2058__PTGS1__PTGS1	0.34974	1.1925	1.2823	5.5913	0.41366	0.19889	0.15627	0.3255	0.42546	1.1935	0.50646	0	3.0479	5.1685	2.3629	0	0.59629	4.5669	2.8314	3.7334	1.0897	1.5971	1.4029	0	0.14514	0.49771	0.40252	5.6939	0	6.3472	7.7469	0.65876	0.72306	0	0.28281	0.28682
RS_G1180__TRIP13__TRIP13	8.0132	8.1038	7.5721	7.4435	7.9846	9.1263	8.0353	8.804	9.0066	7.5718	7.523	7.8106	9.3162	9.2501	12.9158	9.1767	9.4439	9.3182	8.6357	6.9338	7.2772	7.6464	8.421	8.7378	7.7527	7.2485	6.4602	8.6847	6.8113	6.8324	8.2887	8.6085	8.8612	7.3171	7.5677	7.2672
RS_G4297__DPYSL3__DPYSL3	4.7155	3.375	4.2682	0.83739	3.5608	0.35313	0.36739	0.99867	6.742	0.05365	0.13571	4.9268	2.2627	1.653	0.09219	1.0895	7.5919	1.2393	9.5025	2.118	0.35981	1.9442	0.92822	2.376	1.1786	0.17482	5.85	0	3.4451	0.51889	1.6933	7.2656	3.9465	1.8393	2.248	4.8161
RS_G19413__CSAG1__CSAG1	3.5691	4.3949	0	7.1653	0	1.6699	0	0	0.47708	0.46378	8.8537	2.1044	7.5508	1.068	0	0.78155	0	6.0034	7.7194	0	0	0	8.3766	1.8037	1.3662	0	2.3977	8.1448	4.1104	0	0	0	2.2229	0.3039	6.5373	6.538
RS_G4086__MDGA1__MDGA1	0.85264	0.92894	0.20459	1.4234	2.8025	2.4437	0.5006	0.86399	2.5515	2.8983	2.6328	0.054683	3.6425	4.1003	2.3021	2.7875	1.4903	0.99925	3.0637	2.9232	0.0898	5.2081	3.1514	2.9841	3.8918	0.15742	1.8229	0	2.1952	1.4983	1.6953	0.82755	3.5697	6.7219	1.8872	0.85363
RS_G3659__HSD17B1__HSD17B1	4.8636	4.9574	5.8365	2.4827	4.4911	4.0726	5.4731	3.7446	3.268	6.922	7.5683	4.2638	3.3437	4.3834	3.8508	4.2272	3.9286	3.54	4.533	5.73	4.4391	4.5804	6.3999	4.764	4.834	4.7038	4.8432	5.4724	6.7728	4.8417	4.9203	4.1527	9.086	10.6507	5.8783	4.547
RS_G1852__OAS1__OAS1	3.3656	4.0673	5.873	7.3675	0.87272	0.27817	0	2.6877	0.69174	1.2597	4.9797	8.7283	7.0169	7.0589	5.6182	1.7419	1.3085	9.4755	0.57917	5.8054	4.6882	5.5888	4.7801	4.2812	3.7085	0.67147	5.0287	5.5583	0.85197	5.9702	5.7018	7.0538	5.5675	1.3235	5.011	2.773
RS_G19080__ZIM2__ZIM2	5.234	5.5292	6.3995	0	1.6217	0.068706	2.3328	0.17028	6.1929	0.14616	0	0.063162	0.10869	4.8515	0.3263	5.5466	0.12794	4.134	0.079499	0	0	7.342	1.0229	0.72704	0.034218	0	4.3588	1.0769	3.3596	0	0.21099	7.7102	0	7.3298	2.6177	0.099799
RS_G5897__C20orf114__C20orf114	2.0338	1.1576	7.2811	4.1593	6.4009	0	0.79278	0.42508	0.85199	5.3667	1.576	0.63302	0	6.651	7.7517	0	0.2615	6.3258	0.30149	2.4042	2.3954	6.6345	11.8817	0	6.9239	0.24599	0	6.1223	0	0.87411	0	3.1221	4.9933	9.8768	8.9966	6.0651
RS_G2904__AP3B2__AP3B2	0	0.39261	3.9601	0.94326	2.1616	2.183	3.0899	3.2043	1.4364	2.4123	3.1995	6.6873	0.22078	1.7717	3.8345	3.8864	3.1116	0.12832	0.082787	3.69	3.581	7.7206	3.0769	0.47431	0.54854	0	6.268	0	2.7378	3.8444	2.7695	4.0024	0.82217	6.7417	3.2767	0.6802
RS_G17492__ISG15__ISG15	7.1375	8.357	6.4321	6.9046	2.9269	6.764	6.0566	9.1661	6.4525	4.276	6.7748	13.2442	8.6945	9.4258	8.5081	5.4459	6.6266	12.9362	7.4773	9.9405	9.4628	7.6384	6.1199	8.7902	9.0957	8.6562	10.5623	5.7117	9.647	11.3793	10.9453	4.6944	7.2104	7.2107	6.6969	5.3683
RS_G1730__FAT2__FAT2	0.46658	0.42626	0.57568	0.94746	0.23243	0.63808	0.41813	3.7065	0.74319	0.040265	0.48933	0.74388	6.505	4.6282	1.7543	1.5427	3.8253	3.4034	0.89191	0.30019	0.27443	1.2493	2.9341	0.20058	0.2108	0.46883	5.4965	0.58878	0.59742	0.43138	7.0238	0.94431	1.2235	0.23214	0.64995	0.5655
RS_G6090__GNG11__GNG11	6.5409	6.2793	0.71502	0	0	7.1496	0	0	5.5049	0	0	0	2.63	1.1777	0	4.103	4.6713	3.4475	7.7723	0.67123	0	0	1.3968	8.221	0.46116	0	0	0	6.0924	3.2617	2.8833	0	9.7098	0.34563	0.65578	0
RS_G4942__RARRES1__RARRES1	3.1818	5.0404	2.0377	1.842	3.7414	2.4435	1.546	4.0497	3.1042	0.9588	3.4138	6.5431	0.26784	9.1775	11.1435	8.5922	2.0236	13.9745	0.3647	0	0.1718	0.17735	7.1024	1.2788	2.8091	1.7188	6.9558	2.3179	0	8.5285	2.5811	0.63747	1.368	1.8166	0	0
RS_G11355__NFASC__NFASC	0.11304	0.047907	1.5238	2.6199	3.8705	0	0.46207	1.1935	0.66933	0.12432	1.2733	5.5101	3.0635	2.2495	0.46045	5.5934	4.7633	1.7588	0.053461	0.5979	0.91564	8.5256	2.7015	0.89043	0.83418	0.24318	6.7598	0.67438	3.7217	1.9647	1.3598	2.2215	0.54778	3.4454	0.82443	1.5125
RS_G15600__TMEM46__TMEM46	4.7681	4.9782	2.893	0	7.3461	7.9881	6.3119	5.7037	0.74527	1.9434	4.0751	0.30927	1.052	5.2526	4.1	3.8335	2.9939	0	0.20205	2.8288	4.4623	8.0956	2.7918	0.70078	5.6394	3.8354	0	0	0.68267	2.7968	2.0895	1.2532	6.1793	5.6331	4.0311	0.57015
RS_G14500__LRRN1__LRRN1	2.4575	1.9351	3.9334	0	7.2765	8.4806	6.9925	0.41799	0.84531	0.76506	5.0522	0.23961	0	2.8126	1.741	0	0.31549	0.89135	0.2284	2.8027	1.1056	6.3581	3.3755	0.64811	2.9294	5.0914	2.8801	0	0	0	0.21281	0	1.3224	5.0335	2.4091	1.6057
RS_G3172__GRIN2D__GRIN2D	1.0023	4.9567	1.2815	7.681	0.11453	6.2801	0.3443	5.0838	1.1036	1.736	0.83669	0.90964	7.0748	2.9299	1.246	4.2991	1.361	3.6096	2.9072	3.4213	3.0676	2.3793	3.8963	1.1365	0.84688	0.18568	6.2513	7.0486	4.253	3.6892	8.309	7.4344	1.1701	0.90614	2.5652	2.0206
RS_G9054__SLC2A12__SLC2A12	1.9308	2.9039	3.649	2.6215	1.5811	1.4865	1.2614	1.6733	7.2656	0.94141	0.33402	1.8373	1.015	3.2607	2.4662	4.2849	4.2982	4.5068	1.1784	2.0942	1.3538	1.0379	2.7596	2.1096	1.9341	0.15829	1.2111	3.1953	3.729	1.2369	0.58794	5.1466	1.8698	2.2742	1.5005	1.5576
RS_G28377__AL450306.14__AL450306.14	2.6139	4.6805	3.5215	4.8024	0.74196	1.496	2.6412	2.3114	1.9374	1.9689	3.5546	1.9543	3.28	2.8507	2.0548	2.2624	1.7205	2.1189	1.5042	3.1047	3.2992	2.9209	5.057	2.1669	2.5187	2.2729	3.5583	3.5767	2.7609	5.8757	2.6059	4.5232	2.9519	1.7691	2.4941	7.538
RS_G31439__RP11-142G7.1__RP11-142G7.1	2.1469	2.814	0.31651	0.64623	1.9172	2.3291	1.387	1.6351	1.7911	1.0099	0.52206	0	1.0023	3.1451	1.1155	0.72441	0.94503	1.0951	4.4442	0	0	2.0935	6.5583	0.67472	6.1762	6.0604	0	0	3.9672	2.4524	1.5716	0	0	1.5429	0	0
RS_G16016__BGN__BGN	2.1184	2.7225	6.1983	3.0168	0.81578	0.46043	1.2654	4.8681	13.0594	0.98996	8.3452	9.6458	3.0261	3.1278	1.0991	0	6.1468	5.9629	11.5087	1.3713	0.20614	4.7614	1.7223	2.353	6.1295	5.7421	8.3231	1.3734	2.8283	10.41	7.1948	0	0.90622	5.4476	2.2767	0.91214
RS_G8103__FBLN5__FBLN5	2.2559	2.0027	2.4898	3.7031	3.3013	4.6055	0.76715	0.54751	5.2391	2.3253	1.2888	2.8473	1.9258	3.8111	2.4345	2.4563	1.81	3.9975	6.5096	0.35073	0.62774	0.88865	4.1303	2.6517	2.5515	1.5994	8.6354	4.668	0.70417	3.152	0.82392	3.2984	5.1443	2.8958	4.031	1.544
RS_G16187__BEGAIN__BEGAIN	3.0237	3.0737	1.5527	3.6808	0.77715	4.2433	1.7438	3.3344	1.032	0	3.3095	3.7931	1.2583	2.6657	1.2259	4.2185	1.838	0.71485	2.033	4.4953	2.4041	3.0335	2.7335	0.49161	1.4905	1.4344	3.458	1.7416	5.0066	7.3112	2.3465	2.027	1.75	3.1416	2.1009	3.6259
RS_G3964__MGP__MGP	1.613	4.0868	12.7444	2.1266	10.3876	10.6511	7.0869	8.0389	10.2032	3.1229	10.7774	3.9569	1.3697	8.6133	12.1311	10.4834	4.1418	13.2784	6.112	3.7236	6.4925	6.6738	9.692	3.8402	8.314	6.6113	11.2311	3.6695	1.0938	9.938	2.1658	3.1152	12.988	6.25	8.1643	5.2927
RS_G22054__CBY3__CBY3	0	1.2804	2.1254	2.3861	1.3454	0.94815	2.8675	5.0906	1.3882	1.5905	3.1422	2.1245	2.9635	3.9689	0	3.3497	0.92498	0.87442	2.4012	4.9805	3.4494	3.9172	4.2967	0	4.6104	5.3105	3.2804	0	7.8171	4.0263	2.8076	2.6353	2.5571	4.5856	3.5623	3.09
RS_G4761__ACTL8__ACTL8	0.58468	0.27143	0	4.1513	0	1.8156	1.7294	1.7722	1.2647	0	1.0987	9.1407	1.2168	2.2249	0.82274	0	0	4.9166	0.76598	5.2179	2.0632	0.71367	4.2102	0.46473	2.0947	1.0879	3.372	1.4646	0	4.7146	2.428	2.758	2.3907	1.9083	4.9194	4.9693
RS_G13976__AGR3__AGR3	0	0	0.96279	0	5.0594	0	0	0	0	7.9209	0	0	0	0.80972	1.3525	4.4427	0	7.9863	0	0.96382	4.7527	1.5785	2.7431	0	2.8728	0	0	0	0	0	0	5.5046	5.7254	4.8488	7.679	0.75138
RS_G14071__HOXB2__HOXB2	7.8949	7.0552	0	1.4939	0.61128	6.8712	2.1445	0	0.49328	8.0832	0.41649	0.51773	5.0166	1.9303	6.6224	0	4.6361	7.1941	3.1744	0.43886	1.9508	0.16898	5.5597	0	5.126	7.0143	0	0	1.9493	0	5.4183	7.3697	8.5803	7.6631	1.4454	1.5406
RS_G8626__S100A7__S100A7	0	0	0	2.9737	0	0	1.3655	0	0	0.49492	1.8871	4.1975	0	3.9463	5.5511	7.4029	0	5.0528	0	0	0	0	7.7248	0	0.92604	0	6.0079	6.0961	0	0	6.3833	0	0	4.4876	5.5475	2.3016
