Cell lines	600MPE	AU565	BT20	BT474	BT483	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	MCF7	MDAMB157	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM225CWN	SUM52PE	T47D	UACC812	ZR751
Meth__cg05593325__GALNT12	0.047858	0.069214	0.11438	0.049	0.039134	0.68364	0.062393	0.95556	0.066501	0.054137	0.61865	0.76862	0.2865	0.04416	0.075813	0.86222	0.61069	0.24941	0.65437	0.057826	0.605	0.83304	0.041789	0.12041	0.08356	0.079646	0.085818	0.082019	0.14232	0.026389	0.78032	0.11093	0.068765	0.063438
Meth__cg09835543__DIRAS2	0.07165	0.050945	0.60471	0.039852	0.024273	0.87754	0.047918	0.08965	0.060302	0.036615	0.46044	0.06169	0.74632	0.043282	0.066922	0.068182	0.095034	0.18249	0.48571	0.038075	0.2491	0.92308	0.039681	0.079304	0.094153	0.077511	0.041806	0.10616	0.23889	0.02933	0.62641	0.068734	0.032229	0.051539
EA_G__KIAA0195	9.2317	8.1195	7.5064	8.4064	8.8743	7.8452	8.7581	7.6728	8.2281	8.9658	8.4402	7.5845	7.5539	8.2679	8.6972	8.2867	8.4437	8.0899	7.5258	9.5723	7.8019	7.7026	10.6093	7.8048	9.2293	8.7163	8.6271	7.8546	7.5508	8.4612	8.1096	8.3298	9.5459	9.2109
Meth__cg03920233__DOC2A	0.038825	0.070667	0.67481	0.065445	0.036604	0.079686	0.049627	0.085269	0.033635	0.049063	0.69988	0.30874	0.56059	0.064812	0.04367	0.75283	0.05448	0.09877	0.226	0.032681	0.46737	0.94697	0.092224	0.11568	0.064042	0.15559	0.22252	0.29409	0.20084	0.026657	0.58425	0.055605	0.062358	0.052394
Meth__cg22175764__C20orf86	0.40022	0.027694	0.91259	0.028289	0.048103	0.92416	0.11149	0.58438	0.049859	0.039855	0.89425	0.52991	0.90309	0.089096	0.17257	0.85601	0.047705	0.1058	0.87018	0.76729	0.08213	0.85587	0.15292	0.10628	0.84138	0.21446	0.068578	0.14055	0.87005	0.036811	0.86998	0.11322	0.072346	0.071569
Meth__cg13337865__TEKT1	0.061476	0.047768	0.52114	0.29855	0.093546	0.83946	0.10323	0.62267	0.47426	0.052388	0.53193	0.68235	0.15611	0.50813	0.34826	0.6712	0.3694	0.17723	0.21255	0.057808	0.27141	0.82381	0.087397	0.068968	0.67945	0.085915	0.049551	0.074002	0.83578	0.081574	0.56795	0.048207	0.041888	0.056362
Meth__cg22199080__CENTG1	0.23625	0.061486	0.10872	0.094972	0.058438	0.61599	0.10154	0.64392	0.097616	0.086269	0.17566	0.25413	0.098611	0.0721	0.10102	0.35797	0.10244	0.14007	0.1412	0.065632	0.20687	0.22008	0.070071	0.14533	0.12767	0.10867	0.067304	0.38455	0.12751	0.049982	0.07832	0.091163	0.070947	0.046488
Meth__cg06268694__CELSR1	0.52938	0.044622	0.97856	0.04444	0.043023	0.97954	0.036228	0.98374	0.97027	0.046891	0.9835	0.50995	0.060222	0.7643	0.82529	0.54771	0.039517	0.065766	0.89487	0.052949	0.25142	0.93083	0.043537	0.041302	0.70956	0.13669	0.075981	0.053994	0.98979	0.029094	0.25305	0.096289	0.046955	0.04317
Meth__cg10163825__C16orf25	0.046491	0.082308	0.92063	0.084318	0.037719	0.97072	0.072378	0.91759	0.12447	0.090737	0.91888	0.96899	0.6019	0.44106	0.12425	0.79994	0.49011	0.30667	0.94158	0.070051	0.94714	0.80063	0.3139	0.06418	0.10541	0.1375	0.26326	0.19038	0.45243	0.24411	0.81978	0.086415	0.047196	0.33991
Meth__cg06150468__SNFT	0.042234	0.064041	0.94646	0.05981	0.03537	0.44642	0.030625	0.75969	0.025892	0.031455	0.54694	0.17176	0.96289	0.1383	0.022452	0.62617	0.023958	0.16874	0.095977	0.10849	0.043317	0.50287	0.028583	0.034669	0.58023	0.029073	0.02598	0.11312	0.86974	0.037483	0.90219	0.021486	0.031668	0.18842
EA_G__LAMB1	8.6061	7.9713	8.3495	7.5613	8.1784	8.178	7.7319	9.1946	8.0114	8.1479	9.7851	8.7716	8.6543	8.8082	8.0677	8.7155	7.9749	7.6611	10.0733	5.3777	10.6895	7.6222	6.0822	8.1012	5.867	9.4446	6.7632	8.4329	8.9308	5.3253	8.4389	8.0109	4.8772	6.7571
Meth__cg01968178__REEP1	0.035918	0.034781	0.32589	0.038688	0.032186	0.17988	0.049902	0.1076	0.042859	0.05595	0.17338	0.06864	0.12855	0.029539	0.049739	0.099982	0.089925	0.12993	0.047491	0.045606	0.1244	0.59568	0.038283	0.085289	0.13097	0.05461	0.037492	0.073046	0.041651	0.02979	0.080094	0.053427	0.037245	0.036759
Meth__cg03963198__IRX4	0.042102	0.048821	0.064719	0.043255	0.036596	0.96975	0.047011	0.96991	0.046755	0.049895	0.065877	0.43538	0.6935	0.052558	0.054465	0.8032	0.13793	0.14051	0.32607	0.044926	0.46751	0.92356	0.040259	0.065359	0.48755	0.084016	0.089288	0.040353	0.58481	0.039851	0.17358	0.072323	0.058045	0.055202
Meth__cg15626350__ESR1	0.07437	0.07743	0.90027	0.097128	0.11194	0.58569	0.10393	0.92222	0.34748	0.085668	0.67831	0.13583	0.88983	0.197	0.34987	0.76134	0.08036	0.26272	0.35854	0.23673	0.62804	0.86373	0.11172	0.13037	0.26032	0.10278	0.06994	0.65742	0.086759	0.097973	0.88737	0.20269	0.074428	0.70664
Meth__cg03395898__TGFB3	0.10762	0.060234	0.89633	0.084824	0.10319	0.24028	0.10962	0.62847	0.10629	0.10752	0.13326	0.50068	0.83102	0.11075	0.11304	0.2446	0.055773	0.15834	0.14244	0.12495	0.10956	0.15727	0.094336	0.12998	0.10018	0.15523	0.30722	0.46012	0.49782	0.069367	0.10126	0.088017	0.082364	0.082839
EA_G__CRIM1	9.0196	8.3091	9.5842	6.5929	7.7545	9.7719	4.9514	9.4674	7.4445	8.1182	7.7723	9.9786	9.1736	8.4351	9.1212	9.553	8.9683	9.1882	10.6462	7.2872	10.3139	10.2066	6.0395	8.0396	5.5615	8.5579	8.5317	9.052	10.2588	7.6815	8.6219	8.7841	8.2763	5.0659
EA_G__THRA	7.6633	8.9597	6.4384	8.027	7.7901	7.1068	8.7645	6.8579	8.0306	7.2483	7.7367	6.3581	6.7029	7.4449	7.0508	7.1104	7.967	8.2489	6.9226	7.3108	7.9166	6.6786	7.2192	7.9817	7.2929	8.3527	6.7823	7.784	7.8335	7.7586	7.5549	7.6964	9.9698	8.0602
Meth__cg16899442__C16orf25	0.082495	0.1244	0.3466	0.095671	0.055504	0.66883	0.10853	0.49231	0.043255	0.12109	0.47081	0.81566	0.59193	0.44886	0.057555	0.48048	0.31335	0.20298	0.5165	0.15521	0.77176	0.4214	0.20077	0.079649	0.14596	0.14462	0.16291	0.1658	0.46916	0.070856	0.25579	0.12196	0.088903	0.30476
Meth__cg09558850__TFPI2	0.12293	0.22284	0.6713	0.43654	0.13255	0.89089	0.12485	0.92975	0.065335	0.095058	0.88899	0.69737	0.85805	0.33175	0.11426	0.8721	0.68112	0.13795	0.89413	0.1046	0.25607	0.20803	0.15285	0.15364	0.6469	0.11449	0.12292	0.62121	0.90725	0.11469	0.94325	0.71286	0.10849	0.18847
EA_G__PTRF	6.1378	5.9441	8.4012	5.9461	5.7085	9.47	6.0342	7.9379	6.2178	5.563	7.0871	8.4522	8.1467	6.1849	6.696	6.8672	9.1449	6.8679	9.7016	6.3008	8.7173	8.8381	5.6244	6.5879	6.7201	6.1917	8.0202	8.0864	8.6629	6.4714	6.5439	6.4796	5.9012	5.9419
Meth__cg27285599__FLJ13841	0.056612	0.050539	0.62383	0.057414	0.042154	0.90618	0.059638	0.88838	0.049905	0.062617	0.64787	0.1119	0.19066	0.22454	0.051407	0.71732	0.8969	0.20849	0.90339	0.059802	0.88602	0.89484	0.064811	0.10026	0.085314	0.09468	0.71524	0.47178	0.85135	0.055101	0.11882	0.063553	0.061965	0.059326
Meth__cg21602520__BCL2	0.046958	0.077954	0.94727	0.24149	0.33085	0.96633	0.066128	0.26622	0.86556	0.044701	0.94333	0.93871	0.94708	0.49335	0.75933	0.92554	0.92762	0.74503	0.57908	0.046838	0.96319	0.94754	0.060168	0.083088	0.91319	0.069498	0.45537	0.93335	0.96885	0.87083	0.95928	0.57398	0.57608	0.082738
Meth__cg09501516__RGS4	0.07035	0.035424	0.8351	0.18713	0.031031	0.63998	0.085297	0.93843	0.64129	0.096045	0.18267	0.185	0.51168	0.034783	0.48656	0.26763	0.043154	0.12887	0.87273	0.097699	0.070265	0.66185	0.079933	0.10619	0.31798	0.09019	0.036895	0.89237	0.095636	0.059437	0.16365	0.13359	0.057454	0.063214
Meth__cg02870945__REEP1	0.021888	0.027956	0.25028	0.027579	0.027037	0.65465	0.030451	0.087008	0.027125	0.021208	0.46218	0.057462	0.098518	0.03032	0.027262	0.31351	0.043067	0.06202	0.46782	0.024049	0.1736	0.68671	0.020261	0.027954	0.035977	0.040657	0.033393	0.035222	0.052399	0.028002	0.13288	0.084914	0.024142	0.032288
Meth__cg27588902__GNMT	0.058048	0.03973	0.098089	0.059082	0.037717	0.90206	0.060061	0.33432	0.044743	0.05994	0.4563	0.089957	0.34472	0.040433	0.065569	0.095722	0.11457	0.097106	0.66715	0.055176	0.88413	0.85745	0.057628	0.10207	0.063312	0.17833	0.55038	0.062152	0.45054	0.03547	0.31538	0.054408	0.053664	0.058428
EA_G__ADM	6.4321	7.8699	8.2549	6.7316	6.3919	9.2873	6.4248	8.2428	6.6451	7.0564	6.6729	8.8778	8.7503	7.8693	7.2347	7.2128	7.2707	6.52	10.4389	6.5314	8.6667	8.0916	6.7527	7.0205	6.9918	7.7146	8.0335	8.0033	7.3379	7.3322	7.1694	7.7755	6.1965	6.2225
Meth__cg23582408__EEF1A2	0.028026	0.019679	0.028487	0.057877	0.017175	0.52197	0.026633	0.17694	0.056188	0.029857	0.53601	0.29046	0.040594	0.02514	0.05312	0.1007	0.02378	0.09362	0.36933	0.02437	0.16233	0.58233	0.024613	0.37327	0.091762	0.10591	0.045674	0.02283	0.1354	0.021821	0.27368	0.066046	0.030622	0.021085
Meth__cg06121469__KIAA1840	0.031845	0.035177	0.38845	0.2548	0.055885	0.12272	0.029418	0.32407	0.035278	0.04789	0.77762	0.13206	0.095393	0.053709	0.04362	0.04982	0.19034	0.051279	0.91909	0.09875	0.51691	0.092991	0.059305	0.051366	0.25811	0.055885	0.043027	0.71648	0.37277	0.035823	0.054833	0.046445	0.037325	0.038767
Meth__cg20066612__KCNJ9	0.068951	0.017019	0.94102	0.58139	0.096835	0.85154	0.26037	0.94331	0.30316	0.021536	0.47058	0.51204	0.8186	0.21257	0.34855	0.70507	0.14727	0.82376	0.6894	0.16372	0.91298	0.81705	0.37468	0.057656	0.44018	0.13276	0.029851	0.92612	0.41985	0.093961	0.85949	0.025349	0.16879	0.1361
Meth__cg13168683__JAKMIP1	0.070687	0.061809	0.085792	0.078189	0.045138	0.4309	0.075542	0.26462	0.066964	0.071844	0.072114	0.5188	0.093018	0.43878	0.090603	0.066424	0.056308	0.093014	0.41207	0.060288	0.073113	0.60196	0.079496	0.10501	0.18201	0.067101	0.037643	0.45552	0.15021	0.045224	0.035448	0.097381	0.077487	0.061911
Meth__cg06771126__HOP	0.068534	0.053374	0.11824	0.065886	0.054899	0.64613	0.075747	0.77335	0.082645	0.11475	0.86212	0.29557	0.20381	0.049344	0.080456	0.80806	0.8677	0.13213	0.37394	0.075432	0.63444	0.77298	0.078845	0.11586	0.16674	0.075488	0.21757	0.16549	0.84844	0.04012	0.56496	0.2	0.11584	0.069915
Meth__cg09882647__C20orf35	0.19529	0.10757	0.76483	0.069343	0.061235	0.40313	0.11823	0.32004	0.14922	0.23111	0.067004	0.081363	0.28668	0.072448	0.10296	0.21147	0.51348	0.17281	0.30076	0.051799	0.11476	0.56486	0.072495	0.076051	0.25543	0.06786	0.051347	0.90385	0.45887	0.076548	0.22847	0.030689	0.046467	0.053007
Meth__cg07671949__ESR1	0.087171	0.10258	0.90063	0.11318	0.11469	0.69243	0.12777	0.88143	0.084904	0.098113	0.89562	0.32943	0.7984	0.35407	0.12529	0.84228	0.90742	0.37754	0.3254	0.11241	0.67899	0.77484	0.096199	0.25629	0.2133	0.14419	0.6613	0.69628	0.88281	0.16406	0.8234	0.21826	0.078114	0.53734
EA_G__ELL2	6.8523	5.9738	8.4801	5.4848	6.3876	9.0239	5.5223	7.8213	6.2642	5.1636	5.7827	7.7394	8.4219	6.5212	7.63	8.1983	8.1004	6.8832	8.7843	5.4662	7.4624	7.7774	5.8231	9.4469	6.9037	5.7191	7.9853	7.358	9.1605	7.4441	6.8344	5.428	6.024	5.6388
EA_G__PHLDB2	5.7212	5.3408	8.9822	5.7194	4.9969	8.6835	4.4439	6.4181	4.4526	7.5781	3.7571	8.9054	8.6763	5.2838	5.8088	7.6562	6.1539	6.4523	8.0371	5.7272	7.538	7.4978	5.7096	8.3029	4.8409	4.7423	5.2801	7.3468	7.9553	6.4168	5.1493	4.1791	6.0091	3.5286
Meth__cg19304410__CACHD1	0.026998	0.033008	0.034736	0.032235	0.022516	0.36622	0.029439	0.81303	0.031781	0.029705	0.23034	0.12405	0.24255	0.087686	0.034823	0.30429	0.030007	0.05231	0.030747	0.028651	0.074585	0.062956	0.025362	0.097563	0.12692	0.072469	0.068299	0.037886	0.27604	0.024606	0.024766	0.063877	0.027093	0.08513
Meth__cg21542094__PFKFB3	0.030404	0.018197	0.22422	0.027964	0.030004	0.030191	0.024998	0.047811	0.06468	0.029005	0.30001	0.15296	0.73321	0.020529	0.048592	0.21727	0.02413	0.045586	0.10267	0.025291	0.94662	0.050924	0.023309	0.028434	0.050646	0.034894	0.035946	0.21457	0.77763	0.026255	0.58022	0.13708	0.024396	0.14531
Meth__cg17686885__TOM1L1	0.040621	0.50217	0.88862	0.2265	0.091196	0.64305	0.059217	0.61575	0.07488	0.062885	0.30154	0.62502	0.84488	0.076522	0.11631	0.32774	0.07878	0.17543	0.82955	0.17563	0.52035	0.5	0.070471	0.10541	0.062608	0.31996	0.039205	0.44549	0.5052	0.043614	0.68656	0.13697	0.072017	0.23937
EA_G__CAV1	3.6635	4.5287	7.4287	3.8568	4.2305	9.9104	3.712	9.7581	4.2532	5.4549	3.8847	9.8034	7.7855	4.8518	5.1202	8.3996	9.4259	7.3034	10.2473	4.0921	9.7323	9.5902	3.6008	4.9392	4.3121	6.5569	9.6999	9.2782	9.5947	4.5306	4.1113	3.97	4.1412	3.5529
Meth__cg24890043__DKFZP566N034	0.092431	0.058868	0.97055	0.048925	0.039271	0.96179	0.16296	0.33527	0.032647	0.082522	0.9206	0.15115	0.91025	0.10019	0.10576	0.046373	0.15009	0.16936	0.22278	0.13191	0.10323	0.58034	0.092111	0.1529	0.93699	0.052757	0.038223	0.028481	0.85991	0.037182	0.71141	0.06438	0.042894	0.044156
Meth__cg01519742__JAKMIP1	0.030357	0.023443	0.042944	0.02894	0.018709	0.72168	0.027624	0.55981	0.046186	0.036173	0.043988	0.29964	0.12275	0.98425	0.047913	0.032528	0.050461	0.046013	0.20033	0.044121	0.031929	0.95995	0.035035	0.049978	0.79604	0.081231	0.02874	0.58003	0.06178	0.021227	0.03167	0.069697	0.034839	0.030228
Meth__cg24364574__PREX1	0.12318	0.097304	0.74654	0.095746	0.15155	0.60984	0.15835	0.64209	0.092831	0.12227	0.79751	0.66963	0.65158	0.62208	0.13384	0.66788	0.70847	0.15872	0.546	0.12186	0.21781	0.71055	0.15715	0.19649	0.27523	0.14049	0.14124	0.25167	0.80915	0.60139	0.099181	0.14508	0.12998	0.10377
EA_G__EXT1	6.9002	7.2851	8.0007	7.2317	7.4158	9.4078	6.2099	9.0509	8.0849	7.2337	7.5812	9.2912	10.1238	7.8283	9.2087	8.4022	7.6371	8.1848	10.0477	6.7105	9.9259	9.0962	7.2525	7.5283	7.3022	6.8852	8.3403	7.8279	8.393	8.4691	6.9261	7.0398	7.4408	6.3569
EA_G__NEO1	8.3678	8.1311	7.716	8.4096	7.9551	4.4578	8.5612	4.7627	8.6836	7.2029	7.98	5.3175	7.4789	6.1497	7.0483	6.3222	5.2707	4.2867	6.1454	7.8392	5.6569	5.2894	8.4418	5.9796	5.3117	7.2067	7.8876	6.2855	4.4395	7.8248	8.2012	7.4667	9.0972	8.4778
Meth__cg00243313__IRX4	0.029184	0.023705	0.1173	0.027316	0.017799	0.78009	0.038015	0.93953	0.13974	0.025441	0.026216	0.030656	0.40097	0.056494	0.1059	0.68599	0.023674	0.090337	0.052295	0.028003	0.2733	0.75008	0.039598	0.048514	0.62835	0.051565	0.029355	0.034529	0.085462	0.02694	0.25412	0.033346	0.036342	0.02772
EA_G__ALDH2	9.9845	9.9563	5.1843	10.5256	9.2175	6.9695	9.7371	4.597	6.1862	5.433	8.5646	4.5837	5.0951	9.5558	5.8544	5.0519	8.0574	7.5629	4.9119	5.1243	7.2882	8.2867	10.6296	9.2424	5.8057	10.4265	6.9804	8.534	5.2003	9.8205	5.1983	6.8224	5.8537	9.9261
EA_G__MUCL1	9.7015	9.6708	5.4032	11.9418	10.2431	4.8957	8.9223	4.5051	8.786	6.8099	4.7529	4.5822	5.1223	5.8277	8.4609	4.7998	4.6962	4.8549	4.861	7.9264	4.9978	4.8186	11.1491	8.2536	10.2257	5.8615	6.5654	5.2871	4.4087	12.5835	9.5991	5.3747	11.7143	10.7729
Meth__cg00775197__MGC33600	0.37213	0.094818	0.74553	0.09025	0.069916	0.6017	0.25383	0.34106	0.079099	0.056413	0.62196	0.19303	0.50474	0.099555	0.079988	0.26688	0.12961	0.13149	0.47228	0.10776	0.17667	0.79665	0.065904	0.085405	0.7657	0.13644	0.24588	0.30259	0.36511	0.048817	0.4405	0.12195	0.061846	0.16662
EA_G__PLAC8	7.5849	4.3784	5.5335	4.6404	4.3999	10.3303	4.3519	5.8883	4.8316	4.5626	5.6797	9.6931	8.6522	4.341	4.9466	4.7212	5.0038	5.431	6.1799	4.9022	8.1083	10.2787	4.2949	5.6506	5.2538	7.0254	5.0214	8.0194	10.047	4.7039	7.0826	5.2624	5.1686	4.2791
EA_G__EPB41L2	6.6357	3.5196	8.5143	5.0152	3.8346	7.2057	6.1864	8.2547	6.4645	4.1389	9.0062	6.685	7.1446	4.5274	4.8245	8.3567	8.2745	3.269	8.2875	7.0896	7.2073	8.3392	5.3878	8.5821	5.747	3.4058	8.1063	7.0184	7.3074	4.428	6.6847	5.489	5.5184	3.3655
Meth__cg00044245__EPHA7	0.053977	0.049882	0.86366	0.059708	0.044852	0.86817	0.075852	0.053767	0.043358	0.051898	0.41407	0.18086	0.52518	0.049504	0.068036	0.064082	0.10067	0.19622	0.25416	0.05409	0.052228	0.39122	0.047507	0.11917	0.10575	0.051859	0.048628	0.096043	0.10593	0.038522	0.84235	0.0962	0.05432	0.054751
Meth__cg18464137__SEMA3E	0.13107	0.048329	0.47052	0.063129	0.059142	0.41587	0.075795	0.92134	0.93607	0.059945	0.68551	0.08511	0.20054	0.18544	0.76897	0.41663	0.12655	0.095691	0.41402	0.060107	0.10551	0.088533	0.084117	0.10128	0.9103	0.080617	0.32658	0.8323	0.11383	0.048881	0.16718	0.089109	0.080666	0.065782
Meth__cg15443822__ATP2A3	0.11411	0.020918	0.83824	0.03511	0.047061	0.42492	0.58817	0.65203	0.026584	0.24768	0.38707	0.85906	0.61688	0.023735	0.1263	0.44717	0.64477	0.053686	0.021063	0.026281	0.74845	0.44131	0.025094	0.21788	0.10346	0.059711	0.022819	0.12921	0.063191	0.022467	0.60681	0.037795	0.024403	0.039703
Meth__cg00121640__ASTN2	0.05728	0.046987	0.35661	0.061001	0.045876	0.47682	0.066354	0.45965	0.048248	0.069065	0.23746	0.26397	0.1686	0.056293	0.058457	0.23159	0.11175	0.07346	0.052418	0.06326	0.074806	0.48478	0.055438	0.068129	0.13411	0.061688	0.061738	0.065167	0.067239	0.07297	0.19914	0.081791	0.059246	0.054147
Meth__cg03038003__C1orf165	0.053777	0.03396	0.67043	0.049291	0.039825	0.68272	0.3627	0.41885	0.029577	0.053962	0.16112	0.90285	0.5918	0.038815	0.072294	0.3324	0.061953	0.068182	0.12557	0.039383	0.08679	0.91686	0.036735	0.084344	0.67321	0.051274	0.039963	0.037794	0.12076	0.037122	0.97947	0.097834	0.3715	0.52918
Meth__cg25938646__SLITRK1	0.83281	0.069806	0.9042	0.7862	0.18022	0.94905	0.63223	0.96744	0.24779	0.22839	0.72005	0.27743	0.93399	0.22151	0.28532	0.88478	0.063837	0.071051	0.62796	0.13399	0.43264	0.87429	0.27104	0.032752	0.90393	0.041025	0.072214	0.59884	0.2679	0.027814	0.89227	0.084151	0.050733	0.64263
EA_G__FJX1	8.3967	5.5806	6.0986	4.9649	6.9083	9.0274	6.719	9.9085	6.8217	6.1875	9.0239	7.8271	8.5625	6.4561	7.6401	8.2594	7.1323	6.3296	8.4796	5.7965	8.9907	8.713	6.5637	7.2206	7.9145	6.3355	8.3063	8.4438	8.6121	7.6374	7.4963	7.972	7.0963	6.8239
EA_G__AGPS	8.9363	4.5517	9.653	7.2311	5.8532	8.6021	7.7053	9.7677	7.5441	7.7352	8.2133	9.4607	8.6283	5.8763	8.5532	9.0848	9.1475	8.4572	9.3307	3.3336	9.0361	9.4937	5.9847	8.784	6.8236	5.0358	9.7549	8.9906	9.4369	7.3149	7.8151	3.4863	7.9964	4.0977
