Cell lines	600MPE	AU565	BT20	BT474	BT549	CAMA1	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM225CWN	SUM52PE	T47D	UACC812	ZR751	ZR75B
U133A__IGFBP4	11.0146	5.2361	5.7082	9.7198	7.2318	8.0076	7.3593	7.5275	9.1421	8.2795	7.2479	6.0637	6.3741	6.0228	8.3002	8.3906	8.9442	7.3456	9.23	9.7558	7.7929	7.1647	10.3468	9.1055	9.0012	5.6107	6.7255	5.6586	7.7099	9.881	6.4871	5.3041	5.5116	9.5902	10.2401	6.4333	8.2681
Meth__cg06252382__SLC31A2	0.1311	0.042777	0.21733	0.67747	0.22773	0.57259	0.12955	0.030606	0.10514	0.48634	0.093404	0.087098	0.033518	0.098846	0.40811	0.10841	0.41779	0.73913	0.73849	0.95626	0.098875	0.11087	0.69174	0.31305	0.091714	0.85009	0.039798	0.04632	0.031828	0.051191	0.54852	0.032139	0.25864	0.12335	0.1048	0.26988	0.91159
Meth__cg12391048__PRSS27	0.063758	0.060614	0.047018	0.76358	0.94683	0.49564	0.048251	0.053812	0.19267	0.37107	0.078608	0.18226	0.060288	0.60333	0.88467	0.056981	0.95591	0.33725	0.58087	0.89301	0.94302	0.15431	0.93919	0.74681	0.57986	0.80948	0.076096	0.41385	0.035576	0.95432	0.056089	0.036259	0.059247	0.10236	0.04798	0.073585	0.34728
U133A__RNF114	6.7798	10.0609	9.3801	8.4793	7.6556	7.3372	7.7277	7.9296	8.0058	8.6718	8.7477	8.5949	11.4501	8.1842	7.849	8.3651	7.6045	8.3815	8.9345	7.7066	8.9229	8.2818	7.9847	8.1157	8.0394	8.3138	9.5327	6.3469	8.5934	7.3703	8.4966	9.1669	9.7197	8.8963	7.8848	8.0062	8.1745
Meth__cg19177941__ALDH1A3	0.65452	0.11564	0.04902	0.86285	0.97054	0.86933	0.15491	0.041659	0.77254	0.9603	0.040326	0.043047	0.052804	0.074262	0.087499	0.075738	0.088324	0.54452	0.69424	0.49036	0.071282	0.38632	0.81726	0.62711	0.4558	0.71795	0.099593	0.46801	0.055653	0.63404	0.085723	0.037034	0.6284	0.33599	0.064319	0.53313	0.82475
Meth__cg05767404__C1orf150	0.84966	0.098382	0.20917	0.35406	0.74786	0.79089	0.80124	0.067061	0.128	0.68034	0.28351	0.17456	0.07492	0.57807	0.82755	0.098798	0.11981	0.19499	0.1906	0.81099	0.17515	0.18796	0.69308	0.18261	0.18226	0.2347	0.21511	0.37755	0.46587	0.22906	0.29326	0.13131	0.20768	0.11888	0.14307	0.62321	0.71207
Meth__cg01144286__C20orf103	0.94592	0.017469	0.90128	0.69866	0.87026	0.88124	0.96033	0.49147	0.09635	0.78365	0.1988	0.75084	0.40598	0.76834	0.042086	0.068191	0.71761	0.2887	0.50322	0.95067	0.08039	0.1356	0.83592	0.68519	0.032322	0.68069	0.034202	0.049802	0.062162	0.053932	0.75943	0.036593	0.56871	0.041915	0.4236	0.74789	0.84866
Meth__cg05626013__LRRTM3	0.29061	0.093426	0.17159	0.63909	0.27788	0.21835	0.77333	0.19201	0.13245	0.25376	0.23782	0.2509	0.2089	0.20077	0.22465	0.14815	0.16475	0.13124	0.15774	0.78845	0.20112	0.16157	0.45484	0.1721	0.13881	0.29889	0.087942	0.10622	0.20464	0.34642	0.53417	0.10595	0.10853	0.13061	0.12659	0.14646	0.14324
Meth__cg27584469__SLITRK2	0.80327	0.038156	0.43071	0.44186	0.41557	0.8391	0.90511	0.036089	0.050768	0.92279	0.52583	0.13562	0.13124	0.17108	0.21872	0.089367	0.044199	0.48982	0.20591	0.57988	0.079989	0.39215	0.56568	0.063395	0.080661	0.68938	0.050179	0.10927	0.046836	0.42121	0.065054	0.04183	0.3926	0.063793	0.32262	0.056336	0.05148
Meth__cg25293251__GOLGA5	0.026376	0.013421	0.031295	0.22207	0.55354	0.040275	0.030059	0.033714	0.035478	0.035227	0.090094	0.061903	0.026308	0.048616	0.079688	0.026447	0.039424	0.028329	0.029036	0.039283	0.036748	0.014625	0.17551	0.043655	0.042659	0.04002	0.032509	0.020863	0.01681	0.059974	0.017853	0.02084	0.052869	0.031459	0.025986	0.028814	0.038486
Meth__cg14161730__TIMP1	0.35594	0.065045	0.14231	0.83017	0.052533	0.34067	0.34679	0.059628	0.60511	0.4094	0.29915	0.20277	0.07177	0.088999	0.11423	0.10984	0.11697	0.46679	0.34934	0.36512	0.074464	0.087577	0.26938	0.69521	0.33319	0.40898	0.077682	0.062861	0.11654	0.091624	0.18186	0.13271	0.25905	0.17409	0.4521	0.094962	0.28409
Meth__cg08586737__GCC1	0.22497	0.097887	0.47806	0.17627	0.51512	0.54257	0.72456	0.064887	0.088071	0.38198	0.30756	0.19653	0.083382	0.17716	0.15802	0.11888	0.26003	0.43161	0.095822	0.50358	0.39883	0.085537	0.70391	0.63229	0.14851	0.49682	0.13532	0.098214	0.26986	0.57096	0.16485	0.10376	0.19159	0.13078	0.15561	0.19024	0.27377
Meth__cg11033833__GPR101	0.37128	0.052913	0.93676	0.14978	0.90417	0.85092	0.45628	0.06601	0.26855	0.86445	0.77907	0.12209	0.060684	0.13927	0.46991	0.087463	0.075284	0.93245	0.91194	0.84043	0.07378	0.51311	0.68765	0.13719	0.039628	0.85272	0.12127	0.16117	0.043154	0.17087	0.11079	0.057041	0.75655	0.14786	0.71612	0.3569	0.79992
Meth__cg21922574__NETO1	0.91668	0.10011	0.8773	0.95147	0.54552	0.92528	0.95302	0.032414	0.03549	0.94657	0.51964	0.50737	0.064436	0.29197	0.24113	0.32972	0.29302	0.90515	0.93707	0.2581	0.050312	0.043026	0.87276	0.88006	0.11615	0.85454	0.10811	0.016888	0.52798	0.025758	0.024788	0.4327	0.066987	0.041319	0.88267	0.73232	0.89467
Meth__cg14605021__FGF20	0.10524	0.034945	0.23711	0.93103	0.92773	0.92244	0.95651	0.28184	0.077901	0.94251	0.7036	0.11765	0.26765	0.90928	0.078464	0.11086	0.46456	0.52906	0.53847	0.48482	0.91779	0.13282	0.91888	0.74797	0.065574	0.89136	0.089178	0.62789	0.56263	0.12351	0.051613	0.10618	0.12239	0.12485	0.68306	0.74705	0.79989
Meth__cg23435746__TWSG1	0.11315	0.072101	0.58726	0.82809	0.12496	0.62371	0.22688	0.071584	0.31715	0.14611	0.38185	0.19022	0.085392	0.10757	0.12352	0.22234	0.34201	0.08794	0.10324	0.20851	0.058754	0.13604	0.26869	0.63785	0.12901	0.87652	0.18746	0.050225	0.056554	0.15626	0.085458	0.059041	0.10786	0.19795	0.11542	0.64589	0.90075
Meth__cg08806153__HOXD11	0.16955	0.028823	0.55343	0.30099	0.92144	0.88024	0.04869	0.026703	0.027612	0.034781	0.045008	0.036129	0.025252	0.23966	0.14371	0.047724	0.35318	0.044519	0.057122	0.30353	0.027353	0.18591	0.90769	0.028045	0.023683	0.66209	0.19953	0.017439	0.021575	0.016175	0.018622	0.022895	0.16861	0.028417	0.57985	0.53078	0.68602
U133A__SLC29A1	7.9369	6.4061	5.6548	6.9671	6.072	8.2586	7.3036	6.0298	7.3864	7.595	5.9948	6.6417	6.6939	6.8846	5.7294	5.6648	6.0583	5.899	6.6256	7.2738	5.1861	6.2051	6.8403	6.5509	7.0954	6.9551	5.7701	7.0758	6.8399	7.6483	5.4986	6.1302	6.2922	6.6821	7.5611	7.1754	7.0177
Meth__cg10946435__KCNN3	0.76366	0.040861	0.58914	0.39774	0.61628	0.35158	0.96318	0.045682	0.055165	0.78971	0.81744	0.65795	0.068371	0.42398	0.40931	0.26744	0.74435	0.043583	0.66191	0.088901	0.070006	0.61422	0.16548	0.50969	0.074515	0.89811	0.068661	0.092718	0.7656	0.40071	0.059813	0.046722	0.32	0.069776	0.67335	0.80279	0.57619
Meth__cg26504021__IRX2	0.14073	0.087903	0.04877	0.62317	0.93715	0.34683	0.023251	0.2879	0.71763	0.64029	0.43738	0.36843	0.23856	0.22807	0.57561	0.11976	0.038127	0.05498	0.072581	0.94736	0.79773	0.1361	0.82651	0.42942	0.29443	0.19276	0.13019	0.14813	0.032232	0.38626	0.024379	0.031691	0.026716	0.18021	0.34622	0.13128	0.42408
Meth__cg16519321__MYOD1	0.41556	0.071598	0.95214	0.3785	0.47141	0.76764	0.46709	0.084658	0.065576	0.93623	0.18547	0.51556	0.085432	0.605	0.35463	0.085793	0.19293	0.42132	0.30533	0.50483	0.089934	0.26555	0.51139	0.055371	0.10869	0.70934	0.063782	0.058109	0.090025	0.19942	0.060848	0.053731	0.31181	0.17093	0.44689	0.25805	0.34218
Meth__cg15375586__TBX22	0.11265	0.027187	0.11465	0.5219	0.23215	0.93582	0.6932	0.020247	0.53615	0.69981	0.20259	0.11601	0.030827	0.06266	0.076819	0.057833	0.033271	0.041654	0.74555	0.59639	0.26158	0.15942	0.23086	0.87164	0.070678	0.72686	0.055886	0.031713	0.47648	0.083139	0.89065	0.033645	0.3404	0.20751	0.45529	0.16984	0.54488
Meth__cg24891133__FLJ14834	0.074616	0.020355	0.42933	0.25908	0.61114	0.65806	0.91216	0.023928	0.91239	0.95223	0.023076	0.37489	0.020014	0.61629	0.4037	0.061959	0.024246	0.78425	0.7095	0.95563	0.050173	0.53177	0.49897	0.86351	0.033887	0.80283	0.034795	0.01863	0.018953	0.055841	0.60859	0.023614	0.47313	0.050931	0.025819	0.17143	0.17611
Meth__cg07248310__HOOK1	0.056178	0.037432	0.043628	0.054967	0.86922	0.074866	0.41777	0.021745	0.062432	0.86304	0.03843	0.10755	0.042222	0.037242	0.077994	0.070103	0.15619	0.03897	0.050086	0.046723	0.05315	0.045612	0.18446	0.063604	0.059634	0.092447	0.074568	0.031195	0.032619	0.079691	0.037384	0.035707	0.034896	0.18116	0.062428	0.060689	0.049295
Meth__cg12422450__CHGA	0.91297	0.052816	0.81143	0.25781	0.94344	0.82512	0.70627	0.060871	0.26713	0.85435	0.94906	0.93233	0.066471	0.056644	0.095113	0.073171	0.88068	0.62508	0.86682	0.96117	0.11551	0.31083	0.9442	0.9558	0.066151	0.94551	0.076451	0.04291	0.69823	0.090453	0.36943	0.059466	0.87968	0.10713	0.29006	0.56087	0.1279
Meth__cg16319578__HSPA2	0.37504	0.022272	0.15462	0.97638	0.82188	0.034348	0.74189	0.041909	0.033463	0.97303	0.19587	0.16363	0.042078	0.17675	0.046441	0.057359	0.65627	0.71027	0.82818	0.95681	0.034669	0.070677	0.48286	0.96544	0.066653	0.88532	0.064911	0.035873	0.047499	0.4299	0.19989	0.82352	0.38971	0.12513	0.6068	0.61726	0.69403
Meth__cg24739326__CHST8	0.89803	0.052684	0.41806	0.07301	0.19204	0.54905	0.377	0.057544	0.079407	0.90775	0.19817	0.1447	0.063868	0.10026	0.080226	0.09009	0.057844	0.046333	0.061677	0.95158	0.051968	0.051736	0.87915	0.11971	0.09854	0.42946	0.085064	0.081355	0.058642	0.13149	0.062327	0.039159	0.64848	0.16062	0.55558	0.51748	0.33523
U133A__PSMB3	9.6802	9.084	9.8988	12.1363	9.5618	10.306	8.8918	9.2269	9.1014	10.006	9.5561	9.7906	9.2113	9.923	10.0025	9.3135	9.7381	8.6375	9.5798	9.9499	10.0309	9.6853	10.0956	10.8509	9.7682	9.7899	8.7196	9.5636	9.7851	9.9523	8.3181	8.917	8.9793	10.2048	11.8259	9.0869	9.9681
Meth__cg00003994__MEOX2	0.86347	0.038321	0.54108	0.58768	0.84666	0.60042	0.91269	0.047265	0.043733	0.6338	0.15465	0.36316	0.039763	0.82158	0.066535	0.060197	0.53098	0.11628	0.092329	0.20038	0.048368	0.81869	0.70791	0.11481	0.088951	0.69585	0.078094	0.071066	0.066858	0.066631	0.19139	0.051345	0.1817	0.15807	0.36893	0.75733	0.79806
Meth__cg16547341__USP29	0.69011	0.027226	0.53922	0.66149	0.79112	0.8526	0.90671	0.25924	0.047901	0.9171	0.83506	0.13375	0.32973	0.80924	0.82524	0.11608	0.024121	0.47502	0.15716	0.71528	0.5261	0.3767	0.17152	0.17226	0.04739	0.65585	0.085125	0.091701	0.10762	0.046418	0.038133	0.046174	0.6856	0.02903	0.4566	0.035877	0.052392
Meth__cg09068492__CALCA	0.94046	0.042653	0.95345	0.86494	0.91595	0.91572	0.93647	0.03379	0.054759	0.89384	0.16791	0.88823	0.04603	0.8323	0.65193	0.17321	0.10047	0.89757	0.94607	0.73737	0.14932	0.23838	0.89264	0.53759	0.067737	0.82532	0.0795	0.52618	0.45535	0.17112	0.34875	0.03633	0.48752	0.12989	0.92963	0.27079	0.29417
Meth__cg08409225__OBFC2B	0.054349	0.049348	0.053723	0.30179	0.76584	0.25066	0.20112	0.081845	0.10118	0.1117	0.11534	0.21401	0.086307	0.33103	0.35286	0.26384	0.036929	0.070516	0.22922	0.57424	0.084531	0.11972	0.24011	0.16352	0.083927	0.54859	0.13049	0.05546	0.051141	0.50131	0.28915	0.18069	0.15979	0.097561	0.20713	0.24837	0.40516
Meth__cg15767406__ZNF660	0.3189	0.025519	0.12177	0.36896	0.24494	0.39771	0.74056	0.29137	0.31861	0.20859	0.61261	0.10127	0.16211	0.10692	0.2686	0.047011	0.059615	0.079303	0.083052	0.76681	0.15034	0.1631	0.0735	0.11215	0.10796	0.21966	0.099441	0.039278	0.067362	0.04159	0.2061	0.032359	0.10284	0.12645	0.37365	0.053632	0.065649
Meth__cg12128017__EPHA10	0.10711	0.031732	0.9501	0.25786	0.57283	0.16437	0.98052	0.088935	0.55161	0.82205	0.6093	0.38514	0.08778	0.045204	0.40732	0.092012	0.030824	0.19516	0.51118	0.53949	0.066986	0.2549	0.71645	0.58837	0.094023	0.8551	0.040771	0.041823	0.054132	0.048115	0.083896	0.041468	0.52167	0.069877	0.49882	0.50506	0.53704
Meth__cg06295856__CALCA	0.96536	0.01721	0.97678	0.7508	0.8407	0.91216	0.93766	0.015713	0.031241	0.91782	0.29492	0.90166	0.017872	0.78248	0.34871	0.14837	0.094993	0.94076	0.95984	0.85407	0.066962	0.2133	0.8444	0.46236	0.048399	0.91523	0.027419	0.47556	0.51981	0.29333	0.41636	0.019656	0.4495	0.078839	0.9741	0.17558	0.27991
Meth__cg07684796__DKK1	0.05063	0.041861	0.06144	0.052029	0.037552	0.057752	0.90908	0.037937	0.60137	0.059309	0.098838	0.044254	0.28328	0.58059	0.038628	0.091394	0.53325	0.031821	0.047029	0.59975	0.043747	0.034524	0.052819	0.73334	0.61115	0.63656	0.050923	0.035332	0.034691	0.044874	0.049527	0.036494	0.026794	0.84865	0.44237	0.03886	0.055356
Meth__cg22737001__RUNX3	0.23676	0.016459	0.049468	0.46618	0.86932	0.91541	0.029351	0.018012	0.6389	0.12132	0.030675	0.59539	0.024514	0.8745	0.02458	0.052339	0.43279	0.94893	0.94275	0.56004	0.022151	0.85008	0.84026	0.03935	0.048515	0.80171	0.030664	0.017864	0.017447	0.78063	0.022366	0.015022	0.80608	0.36982	0.94884	0.21405	0.62661
Meth__cg21509023__HBA2	0.57192	0.050908	0.20629	0.11737	0.9579	0.58734	0.20677	0.049799	0.026026	0.55043	0.45699	0.41175	0.047095	0.3873	0.10218	0.11621	0.20707	0.47449	0.53105	0.43445	0.034606	0.53598	0.7914	0.30426	0.06973	0.60986	0.071148	0.037723	0.046011	0.07911	0.034061	0.026312	0.63263	0.054658	0.46448	0.13514	0.03918
Meth__cg01366419__WBSCR17	0.90713	0.071024	0.92285	0.70332	0.86784	0.91447	0.31599	0.16588	0.18844	0.90784	0.91588	0.76383	0.15135	0.09319	0.2676	0.10506	0.23683	0.60662	0.63264	0.64387	0.087669	0.88982	0.82392	0.30958	0.19256	0.84544	0.17254	0.06493	0.11895	0.19991	0.036089	0.34728	0.60128	0.092315	0.85456	0.31035	0.25617
Meth__cg06819200__ECE1	0.014046	0.99292	0.56207	0.023483	0.011639	0.60389	0.73821	0.017067	0.015023	0.66515	0.0090021	0.81216	0.53289	0.98685	0.0088203	0.65938	0.010677	0.99348	0.95171	0.23148	0.69914	0.20598	0.031728	0.013363	0.018153	0.016686	0.98419	0.072896	0.021184	0.010291	0.98918	0.99259	0.99382	0.019895	0.01078	0.98258	0.98635
Meth__cg11510839__OCA2	0.82435	0.04102	0.13143	0.85731	0.22805	0.66691	0.27829	0.062013	0.67091	0.052233	0.16009	0.58989	0.053539	0.053626	0.40291	0.14406	0.045198	0.46225	0.69744	0.10034	0.058031	0.53877	0.20357	0.45749	0.087326	0.7766	0.095632	0.038637	0.043539	0.41516	0.049595	0.18122	0.08487	0.15685	0.37232	0.32558	0.40364
U133A__RIPK4	6.9369	8.614	8.941	7.3972	6.6705	7.0491	9.796	8.8061	7.3564	7.6975	8.9884	8.8039	10.051	7.9447	7.9849	9.5888	8.0963	7.4957	7.1495	6.9917	9.6954	7.2635	6.6804	7.1106	7.1915	7.0182	7.6382	9.5498	8.7522	7.4829	8.2037	7.9776	7.8159	7.7129	8.042	6.7148	7.0509
Meth__cg02656594__IL21R	0.85361	0.058388	0.18513	0.73114	0.22129	0.46108	0.77831	0.35242	0.69879	0.34067	0.35491	0.3903	0.25534	0.35119	0.59197	0.089629	0.13668	0.52129	0.69691	0.53516	0.35138	0.91345	0.1445	0.24554	0.11959	0.06901	0.063951	0.075739	0.13	0.12695	0.090968	0.044699	0.13292	0.18159	0.8347	0.19473	0.22614
U133A__PCSK1N	8.5701	5.1548	5.3962	6.9004	6.1553	7.586	6.7564	7.5637	7.2533	6.7813	6.0571	5.9201	6.8148	6.8731	6.6252	4.8381	5.3818	6.3363	7.0645	8.6712	7.6635	6.1384	5.4779	8.9092	5.3401	5.6267	5.3148	6.3185	5.3578	5.7835	7.1748	4.939	5.9004	5.8583	8.7879	5.7695	6.6894
Meth__cg25018755__BIK	0.038604	0.034844	0.041902	0.044398	0.63567	0.032922	0.046446	0.025471	0.033515	0.40828	0.02332	0.055866	0.023407	0.044294	0.0492	0.032626	0.76191	0.031472	0.036237	0.03653	0.031408	0.036198	0.11065	0.089939	0.03603	0.086517	0.054471	0.10179	0.031526	0.072915	0.020958	0.024542	0.025647	0.092637	0.03318	0.029738	0.051292
Meth__cg00973677__CHRM2	0.35144	0.026876	0.25388	0.071138	0.65322	0.4504	0.59033	0.44221	0.037596	0.57185	0.30858	0.20719	0.42808	0.03246	0.12074	0.073217	0.51765	0.077954	0.13261	0.08101	0.033882	0.31676	0.7144	0.38592	0.052483	0.72034	0.047562	0.02708	0.41587	0.034282	0.037046	0.028534	0.028305	0.062933	0.43859	0.047314	0.055467
Meth__cg25599242__RARRES3	0.33251	0.10668	0.12207	0.71295	0.84402	0.16672	0.38036	0.082461	0.15473	0.55584	0.055647	0.085197	0.088441	0.42097	0.13801	0.14261	0.22321	0.61071	0.63522	0.15679	0.098644	0.42237	0.55741	0.52893	0.10762	0.91717	0.12923	0.53775	0.53654	0.20434	0.10231	0.070813	0.12662	0.21508	0.11534	0.39962	0.65437
Meth__cg09001953__FLJ11200	0.13447	0.087225	0.16818	0.28037	0.80378	0.39969	0.11933	0.11739	0.20214	0.14454	0.50174	0.15507	0.12114	0.24425	0.38185	0.1083	0.14406	0.13254	0.22031	0.16632	0.086694	0.9429	0.83802	0.16003	0.21529	0.85072	0.195	0.078996	0.043611	0.13456	0.082	0.074598	0.14035	0.40528	0.60075	0.87112	0.36069
Meth__cg06817264__CTSF	0.53073	0.03767	0.87244	0.88137	0.57818	0.51155	0.35377	0.20183	0.0807	0.27005	0.36991	0.36198	0.21379	0.78105	0.63718	0.16416	0.18156	0.97975	0.95959	0.97134	0.50659	0.15752	0.95173	0.93593	0.038318	0.89548	0.078404	0.087226	0.32194	0.081848	0.071109	0.052576	0.7412	0.22317	0.5478	0.046346	0.064282
Meth__cg25802871__FTSJ2	0.1044	0.14646	0.12826	0.16834	0.12143	0.11645	0.052664	0.12382	0.12194	0.10114	0.119	0.29657	0.13896	0.1116	0.10679	0.15529	0.095767	0.93465	0.11841	0.127	0.13108	0.12603	0.13057	0.11197	0.14319	0.087464	0.1365	0.12651	0.11859	0.10674	0.085733	0.12177	0.087764	0.13414	0.13087	0.11724	0.12022
Meth__cg23602533__TTPA	0.029651	0.021218	0.040209	0.056607	0.042832	0.26687	0.94989	0.024792	0.031329	0.096018	0.19075	0.13238	0.027895	0.16623	0.037507	0.074836	0.092534	0.16404	0.10015	0.31922	0.030537	0.026701	0.27555	0.062702	0.05487	0.20095	0.022027	0.029303	0.04624	0.17088	0.14	0.044171	0.096728	0.042472	0.015106	0.047317	0.10425
Meth__cg02217159__KHDRBS2	0.39619	0.031793	0.077864	0.92741	0.58372	0.83821	0.9614	0.19287	0.050885	0.86094	0.73576	0.25459	0.20181	0.59603	0.31553	0.36988	0.040216	0.11533	0.12334	0.55324	0.15697	0.42473	0.80883	0.36369	0.076979	0.86539	0.057263	0.5262	0.47622	0.053831	0.60673	0.032707	0.34206	0.047607	0.40433	0.65143	0.6091
Meth__cg11248413__NEUROG1	0.30689	0.042813	0.65653	0.62548	0.93005	0.94129	0.49637	0.017294	0.029883	0.98498	0.078604	0.97274	0.031279	0.57477	0.15276	0.053866	0.23015	0.97408	0.96778	0.077208	0.16478	0.68277	0.9326	0.71091	0.037029	0.95133	0.065678	0.017504	0.043457	0.75746	0.019552	0.019496	0.36227	0.082327	0.75852	0.90823	0.92376
Meth__cg05719902__LOC136306	0.62022	0.081224	0.070585	0.096723	0.94658	0.56036	0.12775	0.065421	0.073537	0.072677	0.19613	0.23689	0.069753	0.16505	0.20656	0.14385	0.71836	0.086918	0.63461	0.86187	0.30775	0.069788	0.9039	0.087311	0.3682	0.73474	0.1327	0.51398	0.15094	0.53713	0.048244	0.062488	0.59251	0.14194	0.080448	0.51157	0.5288
Meth__cg01725199__GALNT12	0.056298	0.059126	0.039547	0.056859	0.66526	0.95712	0.53485	0.048242	0.049222	0.040663	0.08049	0.065138	0.036561	0.11609	0.047592	0.16526	0.21285	0.037533	0.042685	0.073312	0.03756	0.041172	0.28815	0.066589	0.057481	0.1149	0.072391	0.053974	0.041709	0.081326	0.032944	0.027666	0.8852	0.095015	0.04676	0.041405	0.051159
Meth__cg03086857__EDNRB	0.90774	0.040041	0.35006	0.92459	0.48191	0.91146	0.91971	0.60107	0.049301	0.90535	0.30949	0.27958	0.29104	0.74718	0.11271	0.11388	0.034773	0.19739	0.26901	0.33794	0.081535	0.95136	0.90313	0.92012	0.081457	0.26886	0.19462	0.035997	0.038259	0.93351	0.89502	0.030776	0.20729	0.090275	0.40969	0.82597	0.63561
Meth__cg07294774__DIO2	0.58509	0.090031	0.15032	0.82858	0.59457	0.49651	0.88608	0.1274	0.11569	0.23188	0.13783	0.54785	0.18708	0.66559	0.15159	0.23542	0.73469	0.081017	0.11146	0.67538	0.11748	0.10275	0.59706	0.32909	0.27024	0.20826	0.15198	0.10465	0.48477	0.16426	0.52469	0.10521	0.35914	0.1513	0.14469	0.16461	0.16831
Meth__cg10335112__ODF3	0.39787	0.043881	0.28784	0.4419	0.21188	0.17154	0.55463	0.052566	0.23228	0.4224	0.48979	0.36181	0.047791	0.18969	0.19705	0.070907	0.036943	0.25793	0.38332	0.56689	0.080958	0.73102	0.22212	0.25002	0.062055	0.46258	0.12792	0.18691	0.057469	0.04646	0.2658	0.032254	0.11851	0.071511	0.48996	0.12246	0.098633
