Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB175VII	MDAMB231	MDAMB361	MDAMB453	MX1	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	UACC812	ZR751	ZR75B
RS_G13976__AGR3__AGR3	0.96279	0	5.0594	7.9502	0	0	0	0	7.9209	0	0	0	0.80972	1.3525	0	4.4427	0	7.9863	0	0.96382	4.7527	1.5785	2.7431	0	2.8728	0	0	0	0	0	2.4631	0	5.5046	5.7254	4.8488	7.679	0.75138
RS_G16170__PCP4__PCP4	9.5795	2.6308	3.4364	5.2434	0	4.7144	0	1.3531	1.0717	2.5298	0	0	1.3561	0	7.0045	0.43605	0	1.1567	0	4.5612	5.15	3.0122	4.0627	0	1.8418	0	0	7.0218	2.0636	0	1.9718	0	6.293	6.6928	6.8814	1.5702	0
RS_G10674__PIP__PIP	2.9964	1.7353	9.5819	4.291	0	0	0	0	6.2869	1.4841	0.66661	0	0	6.4468	10.9728	0	0	3.1539	2.713	0.71805	1.8507	2.0123	6.3497	0	4.4832	5.3906	0.94948	6.4578	0	0	7.2874	0	3.8345	13.277	2.2284	6.4281	3.0258
RS_G16898__AC073468.9__AC073468.9	2.771	6.104	3.2477	2.9543	0	0	2.1311	2.1588	0.48723	0	3.5396	2.6112	3.5696	3.464	4.4522	4.6909	0	4.557	0	3.053	1.4065	1.2126	4.682	0	2.3478	0.5494	3.0729	4.3933	0.55787	1.3527	4.7935	2.3273	7.8208	1.3018	2.9242	2.9131	0.94339
RS_G4882__NRP2__NRP2	0.9771	0.20883	0.35126	0.070484	5.1284	0	4.7753	5.4477	2.767	0	6.9605	5.4682	6.1647	1.8408	0	5.4395	6.3585	3.0381	4.719	0.93829	0.60902	2.8202	1.0506	4.1193	0.27601	0.53772	8.4982	1.3656	9.3677	1.3344	1.1954	6.321	2.2134	0.87418	0.047311	0	0.1009
RS_G13255__CDH2__CDH2	0.95252	0.11179	3.8179	3.037	9.5863	0.59708	7.9074	7.9637	0.065964	0	3.3876	4.6749	1.3151	0.59305	0.62312	7.3261	9.9603	0.65088	8.8508	0.061776	0.34768	6.7543	1.1428	0.95446	5.4598	2.9731	3.3556	0	2.3343	4.6813	0	5.7937	0	0.64866	0.92462	1.9772	1.4403
RS_G27296__IGHE__IGHE	0	6.9908	1.3543	4.0388	0	0.60738	0	0.51827	1.5466	1.1694	0	0.87206	0.6756	4.4599	0.58338	0.48354	0	0	0	4.756	1.6579	1.583	2.7019	0	1.3237	0	0	2.7515	0	0	0	0.68655	6.537	1.5464	7.9834	4.3878	2.5552
RS_G11256__SPRR3__SPRR3	1.7298	0.23122	0	5.638	0	0	0.98659	0	0	0	0	2.728	4.5123	3.2536	0	0	0	0	0	1.1027	0.83238	0	6.4478	0	0.45042	0	0.63772	0	0	0	0	0	1.7475	0	2.2911	2.7222	0.6426
RS_G8613__HHIPL2__HHIPL2	8.1735	2.9216	2.0688	3.2534	0.85142	0.20529	2.3892	2.43	5.393	1.8465	0.34295	0.97012	0.85906	0.97257	6.2985	1.6534	4.7801	3.951	1.9571	1.4294	1.1774	3.2687	3.3743	1.0849	1.6024	0.4932	1.6436	1.6139	5.5276	2.1155	4.4322	2.1425	3.2963	0	1.7332	4.8423	3.6282
RS_G14674__FOXC2__FOXC2	0	0	0	0	0	0	5.0339	5.3056	0.44201	0.21381	3.25	5.8163	4.8008	0	0	2.4171	1.153	0	8.6324	0.64546	0	0	0	0	0	0	7.2676	0	5.6112	3.0385	0	3.8454	0.5871	0	0	0	0
