Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HCC1143	HCC1395	HCC1419	HCC1428	HCC1569	HCC1806	HCC1937	HCC1954	HCC202	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB231	MDAMB361	MDAMB453	SKBR3	SUM1315MO2	SUM149PT	SUM225CWN	SUM229PE	SUM52PE	T47D	ZR751	ZR75B
RS_G4856__MUC5B__MUC5B	5.381	6.3991	4.9033	7.2056	0	5.3345	6.1164	0.65399	1.8113	5.2883	6.5749	0.35429	2.0415	0.42452	4.7976	0.20737	0.10243	0.47117	1.1133	5.5399	4.5554	3.5201	7.1076	2.7576	0.22595	0.60314	1.5779	1.4391	1.351	0.050499	0.13512	4.8458	6.9805
RS_G3221__UPK1A__UPK1A	0.8528	1.0252	6.1111	8.1689	0.3617	1.1309	1.2971	0.73223	8.1177	2.4971	0.47554	0	2.2747	1.1508	1.9535	2.1001	1.0908	0.93519	4.0595	6.4552	2.0695	0	4.3151	3.5316	0	2.1671	1.3118	1.9598	0.94107	0	2.1181	4.9489	0.50994
RS_G5646__GRM4__GRM4	0.81828	1.6233	5.3137	5.3777	0.12411	2.9855	0.46837	0.073293	5.0969	1.9481	0	0.4501	1.5171	0.11836	0.4476	0.80914	0.2347	0	0.74278	5.7261	4.5054	0.17551	7.8293	7.587	0	0.42228	1.1434	1.1869	0.84531	1.4889	1.309	2.3629	0.4131
RS_G5128__C6orf97__C6orf97	3.1578	0	5.1411	4.0963	0	4.1221	0	0.32115	5.2392	6.3162	4.2969	0.082714	0.15617	0.095144	0.097138	0	0	0.33528	0.36194	6.6388	6.3693	0.048768	4.0578	0.26259	0	0.26705	0	0	0.29656	0	4.7903	5.6965	4.9746
RS_G14507__AL133445.4__AL133445.4	3.9862	4.92	6.1168	4.9254	0	3.5289	0.34141	0	2.9907	0.73593	0	0.82434	2.311	0	0.95206	0	0.69544	1.8332	0.44594	2.7258	3.3483	0	2.881	3.5843	2.2355	0	0.72157	2.7742	0.58825	0.76526	5.1359	2.6906	0
RS_G4197__TBX18__TBX18	0	2.9032	0	0	6.7911	0	0	2.4184	0	0	5.9388	5.1825	0	5.7711	0	5.3067	0	4.4794	0	0	0	0	0	0	1.4806	6.5899	5.9947	0	4.2898	0	0	0	0
RS_G11240__BNIPL__BNIPL	5.5896	1.461	1.5848	6.6248	0.88936	4.9437	2.4225	2.1343	4.6787	2.8799	1.5072	1.0147	1.6343	0.85542	3.0365	1.8391	1.507	4.0517	1.4803	3.9015	4.0577	0.60034	4.2019	4.4136	1.9664	1.7426	1.0803	4.9129	2.13	3.2095	8.8835	4.0362	2.3258
RS_G3172__GRIN2D__GRIN2D	1.2815	7.681	0.11453	0.68008	6.2801	0.3443	5.0838	1.1036	1.736	0.83669	0.90964	7.0748	2.9299	1.246	1.8482	4.2991	1.361	3.6096	2.9072	3.4213	3.0676	1.1365	0.84688	0.18568	7.0486	4.253	3.6892	1.2689	8.309	7.4344	1.1701	2.5652	2.0206
RS_G3436__AMBP__AMBP	5.5216	4.1249	2.8804	5.6693	0	4.4106	0.30004	0.55576	3.6561	3.1994	0.31932	0.72738	0	0.32997	1.6721	0	0.34272	0	1.0688	2.9627	1.5467	0	9.687	5.2492	0	0	0	3.1016	0	3.3531	0	3.6158	2.5328
RS_G26921__DIO2__DIO2	0	5.413	1.0247	0.66823	1.9321	0.30803	0.91034	2.4857	0.46269	0.21916	0	0.95514	3.3564	5.9604	1.52	3.0532	5.3403	2.3952	1.5161	0	1.3381	0.90948	0.96921	0	5.1246	0.28482	5.3911	0	0.80293	2.4289	0	0.32589	1.8325
RS_G12356__B4GALNT2__B4GALNT2	2.7107	0.12324	8.2519	1.3762	0	7.1334	0	0.1554	6.5897	1.0798	0	0	3.4328	0	2.0574	0.78283	0.25663	0	0.74854	1.1907	1.9268	0	6.3505	7.5269	0	0	0	4.7258	0.39668	1.3938	2.4222	4.766	2.8273
RS_G10216__C8orf38__C8orf38	5.1491	2.3135	7.2087	6.021	6.0859	6.1608	5.772	5.2176	9.8137	6.1035	5.9847	4.9133	6.629	6.0311	6.1521	5.9104	5.835	6.3356	6.2182	4.299	6.6008	5.874	4.967	4.503	4.5255	4.0145	4.2857	5.8105	4.629	4.5804	5.8105	4.6899	5.1276
RS_G10720__TFF1__TFF1	9.5716	6.8461	12.1442	15.3072	0	8.1211	1.5719	0	12.8985	14.5477	1.9333	1.5228	4.0155	4.0294	8.0643	0	0	0	3.3081	14.9851	14.3712	4.5944	14.5594	6.0558	3.1878	1.9663	2.5271	2.6641	2.5734	1.4334	3.9827	11.9576	13.9006
RS_G5632__POF1B__POF1B	3.5829	2.9715	6.5667	4.6059	0	3.611	1.8493	0	5.1177	8.4924	0.11745	1.93	0.5287	1.2403	3.8408	0.74799	0.9373	5.002	0	2.5362	5.5091	0	4.135	0.95867	2.3599	0	0	4.4269	1.5172	1.4106	1.9519	5.3682	2.3153
RS_G14619__GJC3__GJC3	5.1109	1.8959	1.5143	3.8425	0.41479	2.0959	4.3671	0.96981	5.4889	2.1872	4.8849	1.0688	1.8684	4.541	3.5155	2.8968	0.86946	6.1687	2.0321	1.4189	1.6812	0.56527	4.4185	4.9652	0	0	2.9844	3.916	1.0534	4.0553	3.7645	3.6653	3.406
RS_G14500__LRRN1__LRRN1	3.9334	0	7.2765	4.8669	8.4806	6.9925	0.41799	0.84531	0.76506	5.0522	0.23961	0	2.8126	1.741	6.5901	0	0.31549	0.89135	0.2284	2.8027	1.1056	0.64811	2.9294	5.0914	0	0	0	1.1915	0.21281	0	1.3224	2.4091	1.6057
RS_G15082__CALML5__CALML5	11.7504	5.995	7.7426	8.9148	0	1.712	8.0382	0.59303	6.3786	3.1741	1.3594	9.9227	7.5464	1.881	12.2335	4.7952	0	8.3003	0	8.8111	7.1102	0	12.1395	12.0061	2.3509	1.4107	5.5412	12.4513	4.9212	4.2737	1.4794	5.0572	5.5081
RS_G7167__ADAM19__ADAM19	5.0712	6.9435	0.69705	2.9636	7.4741	0.38305	6.6385	5.3497	0.17265	0.22092	1.5558	4.4122	1.7055	5.2338	0.1606	4.4636	5.8058	3.8545	7.6783	1.6872	0.69548	6.0789	0.040708	0.28145	4.8527	5.6307	2.7338	4.0595	6.556	3.2612	2.3468	3.1471	2.3855
RS_G19421__ANKRD43__ANKRD43	0.68894	0.2593	3.6807	5.9951	0.14915	8.0828	0.2467	0.39425	4.0266	5.3162	2.7259	0.3412	1.4485	1.9012	0	1.8589	0.34528	2.0114	0.32538	1.9544	1.3813	0.073516	2.734	0.68446	0	0	1.9312	0.58703	0	0.7374	6.731	2.4612	3.3888
RS_G2995__SLC39A14__SLC39A14	6.5459	5.6769	5.6594	5.6152	8.7657	6.1716	7.0063	7.7195	6.3535	6.2607	9.1892	7.0224	6.7042	5.8478	5.3048	7.8421	8.046	5.0282	8.6902	5.9951	5.871	7.8138	5.2543	5.461	6.3889	11.4705	6.4913	4.5856	7.4146	6.5071	6.5466	6.9246	7.2669
RS_G7269__HEY2__HEY2	3.6871	0	4.2335	5.6502	1.3674	1.1515	2.5575	0.48244	3.959	1.6937	2.4811	2.3717	2.5058	0.93292	0.35462	1.007	0	6.9965	3.4334	4.8089	0.82328	2.29	5.3855	0.59431	0	4.2589	0.77271	1.6052	0.28944	3.3842	0.64409	5.5727	5.2139
RS_G13159__ADRA1B__ADRA1B	0.18329	1.0437	0	0.11811	0	0.23221	3.1228	2.5203	0.44765	0	0.38564	2.2667	0.17378	3.1453	0	4.6405	1.2095	0.38458	4.1574	0.32467	0.6723	4.5454	0.30935	0	1.7875	7.9508	2.9802	2.2674	6.7332	1.8183	1.1225	1.1506	0
RS_G10920__ITGA5__ITGA5	4.1991	5.5787	1.8799	6.3514	6.6272	0.30001	4.6947	7.953	5.2777	2.5252	7.8276	7.3246	5.4091	6.3575	2.6269	6.6635	8.0876	7.691	10.758	5.5302	4.2158	6.9234	5.1389	2.9675	4.6841	7.707	6.7365	6.0906	9.7669	6.3055	5.2446	5.4798	6.7465
RS_G15100__GLDC__GLDC	0.26029	7.2337	0.40726	4.2944	3.4418	1.2426	4.4118	2.22	0.14607	4.7534	2.0712	1.7273	4.4029	3.9346	1.8675	6.0442	2.116	0.61603	1.9099	2.7527	2.1304	0.45811	0.48042	0	7.546	3.6024	1.4389	0	0.89962	7.1951	4.7089	4.8515	3.1124
RS_G12940__ADRB2__ADRB2	2.1259	2.2301	0.49965	0.24995	2.5126	1.4958	4.5683	2.1427	0	0	0	6.4949	0.37353	0.68584	2.1863	4.184	0	0.74044	3.0343	0.94883	0	8.309	0	1.0245	0.80363	3.1202	2.9832	3.5299	5.7045	5.1544	2.4675	0	0.35107
RS_G3540__NEURL__NEURL	3.6573	1.604	3.2167	5.0826	0.12804	3.0672	0.56345	0.076146	1.6913	4.6273	1.1639	5.7313	6.2309	0.38961	0.35474	3.8044	0.50272	3.7048	3.6771	4.3433	2.5675	0.48852	0.94156	2.459	0.2406	0.43683	0.82688	0.54611	0.53848	3.1075	1.336	3.9368	4.0827
