Cell lines	600MPE	AU565	BT474	BT483	BT549	CAMA1	HBL100	HCC1143	HCC1187	HCC1428	HCC1569	HCC1937	HCC1954	HCC202	HCC2185	HCC3153	HCC38	HCC70	HS578T	LY2	MCF7	MDAMB134VI	MDAMB157	MDAMB175VII	MDAMB231	MDAMB361	MDAMB415	MDAMB436	MDAMB453	MDAMB468	SKBR3	SUM1315MO2	SUM149PT	SUM159PT	SUM185PE	SUM52PE	T47D	UACC812	ZR751	ZR7530	ZR75B
Meth__cg00651216__HSP90AB1	0.05165	0.063254	0.37792	0.25791	0.8788	0.45155	0.89153	0.58833	0.34771	0.25853	0.23263	0.90971	0.32777	0.038854	0.31024	0.26017	0.41064	0.42914	0.49139	0.34909	0.25878	0.25451	0.42919	0.16437	0.68549	0.14942	0.29603	0.87354	0.15459	0.21847	0.12561	0.26386	0.072957	0.10591	0.71347	0.19423	0.089229	0.049258	0.16207	0.14448	0.11802
Meth__cg05677402__UBE2L6	0.03114	0.65472	0.96997	0.020964	0.44437	0.022308	0.042854	0.017753	0.023152	0.025652	0.020637	0.01437	0.046187	0.019694	0.38274	0.49791	0.026569	0.063647	0.016515	0.048202	0.19931	0.018688	0.022132	0.038819	0.070125	0.27073	0.033892	0.022908	0.046394	0.024068	0.42333	0.024494	0.026142	0.017821	0.020707	0.017814	0.048953	0.02274	0.43695	0.055653	0.75832
Meth__cg03565081__C14orf93	0.5648	0.25483	0.31894	0.28647	0.16453	0.58903	0.076971	0.58964	0.10881	0.13611	0.074692	0.41248	0.23514	0.206	0.11426	0.42725	0.34852	0.15225	0.062252	0.072549	0.23644	0.70816	0.13793	0.23651	0.67726	0.23807	0.12477	0.78969	0.15296	0.22302	0.25265	0.091634	0.055094	0.090355	0.5778	0.31214	0.11782	0.063679	0.23948	0.32664	0.35896
Meth__cg26677448__PAX2	0.055217	0.034816	0.059781	0.047982	0.050929	0.086744	0.058609	0.84997	0.3288	0.044162	0.068906	0.037296	0.079432	0.29089	0.251	0.064816	0.044314	0.1416	0.043939	0.69652	0.699	0.047306	0.034303	0.071982	0.8835	0.052369	0.032316	0.030161	0.1243	0.043371	0.078807	0.037268	0.43662	0.047349	0.033944	0.23788	0.078388	0.057497	0.087003	0.10119	0.042624
Meth__cg01184522__ZNF496	0.019043	0.86648	0.16598	0.48796	0.021103	0.072605	0.035762	0.064435	0.020647	0.95939	0.018235	0.046538	0.13207	0.38373	0.026963	0.021369	0.016264	0.054804	0.017	0.029389	0.042118	0.068669	0.38599	0.029846	0.049809	0.06764	0.031197	0.14528	0.033694	0.15453	0.23224	0.024451	0.017943	0.022162	0.89644	0.020742	0.039251	0.03533	0.02587	0.22832	0.030071
Meth__cg11490446__PSEN1	0.037896	0.021383	0.061765	0.043781	0.23366	0.038164	0.10295	0.32324	0.035874	0.037423	0.025894	0.10503	0.039048	0.019915	0.030825	0.027378	0.024574	0.038183	0.030983	0.016902	0.031571	0.046477	0.023819	0.019262	0.41822	0.040075	0.04172	0.095509	0.029799	0.03889	0.054529	0.026187	0.022513	0.021016	0.045837	0.042352	0.047806	0.025453	0.037003	0.041779	0.062268
Meth__cg05228408__CLCN6	0.2548	0.18508	0.17733	0.12086	0.3351	0.22947	0.60172	0.095578	0.067816	0.30068	0.055323	0.13005	0.17672	0.040542	0.0862	0.16596	0.1123	0.10295	0.44382	0.18686	0.24813	0.3988	0.73759	0.28341	0.35072	0.24403	0.31365	0.41756	0.063676	0.14456	0.18291	0.047606	0.039759	0.47595	0.44419	0.11229	0.10744	0.14941	0.068446	0.19596	0.10838
Meth__cg12629515__HIST1H2BO	0.095199	0.08997	0.24938	0.25148	0.2817	0.26667	0.13754	0.79658	0.10255	0.42968	0.15514	0.10375	0.39883	0.18275	0.092617	0.46033	0.057069	0.27624	0.80332	0.083422	0.095998	0.54527	0.15017	0.13884	0.20628	0.10935	0.14107	0.11348	0.13099	0.080824	0.14685	0.83318	0.079065	0.41481	0.59145	0.13378	0.17471	0.16182	0.098686	0.53546	0.10157
Meth__cg13438834__C22orf8	0.018221	0.16944	0.2862	0.057157	0.058664	0.32831	0.13262	0.068215	0.026452	0.29502	0.017747	0.13701	0.059649	0.080999	0.032149	0.025241	0.025557	0.025425	0.031969	0.037484	0.019775	0.3686	0.4634	0.049177	0.73639	0.34252	0.037946	0.12312	0.095646	0.081998	0.076031	0.024156	0.03101	0.02259	0.48755	0.28296	0.25842	0.026683	0.052247	0.23017	0.04289
Meth__cg15898840__IGFBP3	0.032175	0.03062	0.038406	0.020063	0.026767	0.053513	0.13902	0.032258	0.019318	0.067939	0.85913	0.058974	0.058712	0.72887	0.02423	0.026125	0.038422	0.043459	0.015511	0.90299	0.71196	0.022423	0.019447	0.14952	0.057064	0.88567	0.082194	0.026233	0.80228	0.028154	0.04259	0.030117	0.036687	0.8161	0.025539	0.75182	0.86607	0.031362	0.042242	0.065568	0.032715
Meth__cg04380513__ST8SIA4	0.085394	0.064055	0.16334	0.051787	0.82358	0.13251	0.22239	0.78353	0.080127	0.083188	0.54081	0.193	0.80181	0.35463	0.12283	0.85949	0.068744	0.18922	0.066444	0.034411	0.1538	0.06856	0.06278	0.26421	0.12096	0.82151	0.062651	0.068084	0.82979	0.1397	0.07677	0.053554	0.064144	0.63132	0.51033	0.47339	0.79622	0.11014	0.10086	0.13277	0.53336
Meth__cg27138018__HAPLN2	0.22953	0.14208	0.7668	0.57385	0.48034	0.10897	0.52718	0.25681	0.086971	0.74719	0.32511	0.53437	0.76718	0.054269	0.072633	0.54841	0.15047	0.10189	0.085138	0.086957	0.1279	0.90257	0.6651	0.17134	0.32951	0.12558	0.15876	0.74058	0.098059	0.30715	0.19967	0.053243	0.072264	0.074362	0.65672	0.72743	0.11171	0.48957	0.16772	0.5502	0.18507
Meth__cg09891761__F5	0.063808	0.028204	0.55172	0.043424	0.11751	0.074899	0.063065	0.60892	0.035797	0.057894	0.059632	0.072843	0.6261	0.024074	0.04346	0.082137	0.052847	0.10367	0.036325	0.039254	0.055695	0.93276	0.1355	0.03158	0.19273	0.069568	0.049314	0.087821	0.14117	0.07747	0.062014	0.12096	0.041476	0.049101	0.75906	0.29723	0.07645	0.054484	0.043936	0.11083	0.069037
Meth__cg04589904__ADRB1	0.047455	0.93216	0.068982	0.49876	0.35488	0.43703	0.33696	0.043949	0.77546	0.43806	0.059447	0.060245	0.67706	0.049374	0.6764	0.9377	0.69009	0.22478	0.069116	0.57448	0.54736	0.62066	0.41958	0.065403	0.11979	0.055497	0.065796	0.059638	0.9044	0.18695	0.82007	0.075616	0.88029	0.11783	0.62189	0.85841	0.080198	0.0695	0.17425	0.14941	0.64277
Meth__cg12447832__TTC15	0.079164	0.082491	0.28735	0.3429	0.085375	0.11844	0.16345	0.066144	0.17766	0.54447	0.079057	0.40467	0.1808	0.065125	0.14216	0.10754	0.23789	0.15686	0.63098	0.081465	0.17597	0.44797	0.20244	0.087192	0.21336	0.45548	0.17695	0.083958	0.12311	0.090273	0.18601	0.11887	0.070095	0.15388	0.27019	0.089491	0.16662	0.10582	0.085517	0.19176	0.07706
Meth__cg12167239__SLC25A1	0.034986	0.05488	0.65455	0.032978	0.054008	0.035378	0.03782	0.1509	0.027802	0.042114	0.031796	0.079957	0.2599	0.023419	0.034052	0.029524	0.038	0.064036	0.084563	0.029622	0.035388	0.064519	0.81515	0.020454	0.057847	0.033865	0.055095	0.027811	0.087082	0.035158	0.080557	0.026309	0.022515	0.027257	0.044246	0.027535	0.047164	0.039258	0.024372	0.065732	0.028811
Meth__cg25681177__GAPDHS	0.86922	0.035781	0.7624	0.67321	0.073626	0.66002	0.19562	0.54981	0.022437	0.75298	0.25316	0.59743	0.50738	0.55088	0.026871	0.46011	0.39201	0.055809	0.020322	0.7453	0.36131	0.93176	0.56633	0.45383	0.44287	0.67222	0.041747	0.34317	0.38954	0.69803	0.052058	0.045291	0.088317	0.050538	0.69349	0.3732	0.092973	0.080932	0.38612	0.37392	0.34061
Meth__cg20104776__LDOC1	0.6308	0.066153	0.065322	0.57989	0.052131	0.076305	0.056212	0.53522	0.051218	0.60335	0.059224	0.28008	0.064896	0.65944	0.050858	0.55653	0.58978	0.29635	0.049566	0.044534	0.066671	0.59691	0.61263	0.57258	0.63458	0.067795	0.66346	0.61615	0.55701	0.67935	0.061412	0.62066	0.058934	0.61596	0.046972	0.58925	0.10879	0.60759	0.57444	0.56733	0.055034
Meth__cg15800421__CCR10	0.063282	0.68288	0.54481	0.087386	0.047359	0.41267	0.063836	0.047096	0.049716	0.061213	0.072406	0.52434	0.67607	0.80753	0.14902	0.6879	0.088762	0.10737	0.057732	0.85728	0.83672	0.24756	0.53769	0.308	0.077042	0.82966	0.073465	0.041911	0.58134	0.072098	0.55084	0.054517	0.058548	0.070508	0.33343	0.66671	0.12519	0.15676	0.58494	0.2834	0.45362
Meth__cg19632206__FAM5C	0.092721	0.070135	0.10611	0.064654	0.5951	0.11245	0.32298	0.59318	0.076529	0.11617	0.2313	0.14534	0.1777	0.039736	0.054874	0.26242	0.31917	0.1565	0.33218	0.064621	0.14966	0.50069	0.15407	0.047569	0.46397	0.093381	0.25091	0.66202	0.13924	0.13479	0.10808	0.40976	0.11321	0.35144	0.3118	0.10159	0.10894	0.057143	0.073786	0.16812	0.10372
Meth__cg03750606__ESRRG	0.055156	0.064742	0.06877	0.070728	0.8472	0.086443	0.152	0.59767	0.063915	0.098483	0.078735	0.2525	0.085441	0.045733	0.073398	0.076216	0.077662	0.11205	0.091936	0.097127	0.067152	0.072808	0.11071	0.06268	0.80959	0.067935	0.11177	0.45947	0.12296	0.098771	0.089579	0.29553	0.052479	0.089292	0.83812	0.32474	0.089591	0.068634	0.073841	0.08686	0.062603
Meth__cg03642357__ADRBK2	0.12388	0.093804	0.90915	0.86367	0.16574	0.37308	0.3594	0.28483	0.11311	0.31027	0.12878	0.23859	0.48324	0.60485	0.14367	0.24591	0.084798	0.15666	0.36927	0.22967	0.13031	0.70283	0.39199	0.1885	0.69821	0.1961	0.12465	0.19654	0.35214	0.33508	0.12976	0.11381	0.10818	0.10101	0.90682	0.80096	0.20582	0.19361	0.16973	0.34727	0.8541
Meth__cg00405677__HAND1	0.12806	0.043478	0.33835	0.042496	0.50758	0.62112	0.87318	0.3364	0.66866	0.039876	0.62982	0.78211	0.72054	0.9046	0.66022	0.78566	0.053745	0.082824	0.16769	0.70961	0.73021	0.11617	0.52242	0.36795	0.45153	0.88108	0.03547	0.11437	0.77458	0.15523	0.11106	0.049989	0.047425	0.22312	0.035757	0.6076	0.066103	0.87589	0.36136	0.78608	0.44211
Meth__cg03218909__HAPLN2	0.087496	0.090526	0.34629	0.22203	0.133	0.10207	0.26556	0.37109	0.094939	0.35276	0.22603	0.18935	0.51375	0.087093	0.1018	0.2648	0.14143	0.11197	0.11957	0.10389	0.12972	0.7809	0.22241	0.12816	0.22985	0.12823	0.25443	0.27095	0.13156	0.12185	0.20636	0.08948	0.099825	0.11803	0.53766	0.25872	0.14782	0.13556	0.09164	0.38007	0.099238
Meth__cg26723847__hCAP-D3	0.14485	0.061849	0.14966	0.091739	0.047099	0.12265	0.35777	0.18479	0.067215	0.13066	0.08656	0.45307	0.16595	0.055112	0.070068	0.15563	0.14049	0.13358	0.085191	0.080797	0.12459	0.12809	0.17173	0.1301	0.097281	0.12418	0.11447	0.11839	0.15929	0.11144	0.12891	0.13331	0.058297	0.083	0.165	0.0883	0.11017	0.1134	0.10492	0.23252	0.091116
Meth__cg08548888__MYD88	0.077687	0.065282	0.52453	0.10426	0.7097	0.7001	0.22477	0.24066	0.081678	0.085967	0.089083	0.31097	0.15785	0.059	0.082005	0.18224	0.083503	0.1528	0.097357	0.16513	0.11618	0.17724	0.43181	0.13201	0.52875	0.087104	0.16567	0.45447	0.12146	0.084628	0.078477	0.13257	0.077423	0.090284	0.098318	0.11264	0.14744	0.36847	0.080733	0.2835	0.087002
Meth__cg08124030__TM4SF1	0.094851	0.11456	0.24251	0.10174	0.055282	0.15708	0.60408	0.056399	0.098716	0.088239	0.065786	0.054996	0.12076	0.39745	0.095326	0.070286	0.046814	0.16034	0.071211	0.95084	0.93904	0.32143	0.071996	0.90614	0.098395	0.92625	0.1153	0.087413	0.13813	0.057454	0.4426	0.04858	0.055241	0.081668	0.89899	0.33643	0.28333	0.90603	0.49976	0.12136	0.92407
Meth__cg04499325__EPDR1	0.077014	0.116	0.087889	0.070034	0.80282	0.077001	0.50697	0.051107	0.72217	0.067754	0.104	0.22625	0.80948	0.47102	0.64829	0.91224	0.074991	0.25358	0.059216	0.74083	0.70783	0.32633	0.38536	0.060115	0.14654	0.080195	0.13262	0.090234	0.84819	0.6833	0.13837	0.065016	0.076479	0.13309	0.27753	0.90543	0.64669	0.082635	0.070885	0.12316	0.078135
Meth__cg09084200__hCAP-D3	0.13347	0.079648	0.26991	0.073898	0.13049	0.15884	0.34353	0.28319	0.11013	0.15749	0.066803	0.73026	0.25623	0.046452	0.13399	0.37718	0.12587	0.15009	0.426	0.19492	0.12297	0.13239	0.39566	0.16594	0.1586	0.21667	0.17408	0.64851	0.090432	0.24129	0.084903	0.10809	0.46625	0.22662	0.30672	0.10606	0.050339	0.25985	0.14467	0.18519	0.13955
Meth__cg16433922__SFRP4	0.14059	0.11143	0.48438	0.14882	0.57858	0.17097	0.052946	0.3662	0.073688	0.099634	0.083557	0.18161	0.36366	0.077186	0.19303	0.11077	0.082154	0.13399	0.071605	0.080064	0.091594	0.48927	0.11158	0.13953	0.21556	0.093421	0.14741	0.41934	0.56478	0.32286	0.13031	0.085826	0.073581	0.073301	0.19156	0.44366	0.11975	0.088089	0.091472	0.18348	0.092781
Meth__cg11189837__ADAMTS1	0.5585	0.048319	0.49629	0.089054	0.94082	0.064714	0.159	0.73061	0.048763	0.45826	0.078378	0.12498	0.42212	0.05161	0.47346	0.9501	0.055038	0.11468	0.93178	0.17821	0.077026	0.81465	0.70151	0.073591	0.66616	0.071801	0.11831	0.39512	0.41948	0.90662	0.092042	0.047369	0.055498	0.068289	0.4866	0.80547	0.67693	0.38024	0.066054	0.52018	0.059429
Meth__cg00605270__SMPDL3B	0.033395	0.018038	0.030471	0.046383	0.043337	0.04376	0.30475	0.019998	0.027614	0.028082	0.031292	0.12532	0.03827	0.022691	0.029063	0.020765	0.029281	0.03944	0.068518	0.031234	0.041399	0.037382	0.046525	0.02102	0.11633	0.023867	0.05919	0.83588	0.049136	0.022949	0.051819	0.031786	0.02643	0.027495	0.064644	0.022481	0.022918	0.086948	0.026108	0.067891	0.087415
Meth__cg18630855__CEBPZ	0.035045	0.027175	0.042162	0.028061	0.033215	0.091294	0.032062	0.32679	0.027638	0.12257	0.040312	0.040333	0.041202	0.08967	0.033706	0.032798	0.022076	0.045624	0.020671	0.036567	0.031182	0.038797	0.038422	0.029386	0.17277	0.037151	0.046815	0.20463	0.13235	0.04108	0.049783	0.040675	0.026923	0.030131	0.0288	0.026784	0.063402	0.035112	0.029094	0.11458	0.039861
Meth__cg16691616__INPP1	0.020083	0.050768	0.021568	0.022434	0.60404	0.029176	0.033841	0.019081	0.028737	0.027808	0.023092	0.036357	0.19616	0.030259	0.028584	0.5702	0.01994	0.042406	0.018767	0.034009	0.034323	0.038597	0.023653	0.089252	0.027849	0.022019	0.031098	0.036651	0.34971	0.025767	0.041232	0.055988	0.11605	0.030403	0.13325	0.91339	0.68588	0.033032	0.034672	0.034915	0.028064
Meth__cg18108623__FLJ34922	0.52587	0.047571	0.91194	0.44684	0.040587	0.87042	0.039832	0.44943	0.048214	0.83359	0.19178	0.21032	0.60872	0.089523	0.053182	0.77523	0.041857	0.13461	0.73477	0.92731	0.89752	0.73239	0.38979	0.36355	0.87113	0.57632	0.74308	0.043148	0.84745	0.074711	0.10458	0.53508	0.45835	0.04187	0.88908	0.55394	0.40836	0.062218	0.2376	0.78113	0.10762
Meth__cg09086761__MTA2	0.032082	0.047557	0.050598	0.051189	0.035229	0.053846	0.30715	0.036764	0.028667	0.027106	0.063843	0.060209	0.1122	0.054791	0.026671	0.064777	0.082257	0.06497	0.022365	0.097366	0.076248	0.028277	0.086169	0.043617	0.040943	0.036206	0.058378	0.035061	0.10892	0.031493	0.042562	0.028758	0.018079	0.062417	0.029097	0.069334	0.059014	0.031825	0.035515	0.045184	0.064099
Meth__cg19959519__NF1	0.040335	0.11284	0.05733	0.062264	0.031581	0.069555	0.12539	0.058796	0.093478	0.2975	0.050606	0.16366	0.074095	0.051979	0.25748	0.0497	0.034535	0.062224	0.092235	0.04522	0.054881	0.04946	0.063143	0.086012	0.071316	0.047725	0.094103	0.070675	0.039591	0.10116	0.12895	0.045296	0.036734	0.038276	0.23808	0.039914	0.040475	0.056838	0.046934	0.098078	0.029727
Meth__cg00216361__GAP43	0.18379	0.030707	0.37669	0.038462	0.092419	0.60721	0.063377	0.94297	0.38119	0.044896	0.18937	0.71057	0.055361	0.05613	0.25921	0.085214	0.036246	0.047988	0.32527	0.042178	0.03475	0.87407	0.04169	0.045706	0.59274	0.047788	0.069023	0.57599	0.30754	0.041777	0.08467	0.041953	0.31243	0.028402	0.74269	0.067612	0.0449	0.035752	0.17588	0.28977	0.36933
Meth__cg21184011__NHN1	0.066344	0.057953	0.31231	0.099532	0.1792	0.071799	0.12901	0.089994	0.10667	0.12671	0.062333	0.22209	0.12497	0.078074	0.12087	0.09128	0.064478	0.084854	0.063426	0.067576	0.078022	0.12667	0.1287	0.089865	0.21579	0.10731	0.15028	0.081097	0.093316	0.12976	0.10898	0.06383	0.064124	0.05977	0.26133	0.060949	0.071203	0.49177	0.064361	0.29227	0.070993
Meth__cg07962315__C9orf95	0.15978	0.15506	0.16199	0.26362	0.21944	0.65535	0.4078	0.89363	0.15111	0.56813	0.13489	0.26133	0.17246	0.11179	0.14763	0.088816	0.12244	0.15631	0.17203	0.15609	0.15068	0.31338	0.1385	0.17739	0.77727	0.28687	0.1878	0.10089	0.20255	0.17	0.1821	0.54772	0.08348	0.10296	0.5149	0.32731	0.2533	0.21466	0.40709	0.3668	0.56198
Meth__cg15746445__TRPM8	0.52641	0.058123	0.8337	0.43087	0.082261	0.65803	0.55598	0.91442	0.37803	0.078028	0.09662	0.69966	0.62958	0.17256	0.28194	0.12248	0.26194	0.13919	0.16532	0.070709	0.096798	0.12908	0.86369	0.91644	0.42998	0.11328	0.082377	0.64669	0.37978	0.11525	0.13616	0.45305	0.28623	0.065519	0.86319	0.10046	0.19555	0.85175	0.44641	0.78015	0.17042
Meth__cg23896545__NOMO1	0.20598	0.036929	0.11744	0.28695	0.47584	0.20499	0.3744	0.28084	0.079509	0.06887	0.13351	0.2819	0.29165	0.071016	0.075314	0.077157	0.18302	0.098021	0.65698	0.085852	0.056839	0.41198	0.3337	0.29979	0.33266	0.056821	0.27573	0.54773	0.18395	0.11065	0.066045	0.038908	0.078277	0.50261	0.22777	0.10173	0.10024	0.56321	0.11422	0.41655	0.066225
Meth__cg06344807__SLC9A3R1	0.040788	0.053934	0.042495	0.03066	0.032013	0.06153	0.044859	0.082956	0.044746	0.037991	0.034692	0.046907	0.065363	0.022983	0.04629	0.037871	0.032831	0.089212	0.047297	0.032488	0.065698	0.039816	0.50898	0.027645	0.088142	0.051392	0.10051	0.051217	0.089029	0.046585	0.050016	0.15398	0.034067	0.031879	0.039794	0.028246	0.056129	0.033623	0.032646	0.082288	0.041698
Meth__cg16584911__KIAA0828	0.087701	0.090017	0.086627	0.06645	0.085049	0.092013	0.040011	0.060132	0.090004	0.098036	0.090602	0.06975	0.10702	0.15511	0.09951	0.0818	0.089771	0.10482	0.076472	0.85802	0.097191	0.099868	0.098097	0.11332	0.07521	0.090355	0.095944	0.085608	0.11	0.081118	0.11141	0.094241	0.099482	0.098977	0.067572	0.062517	0.072701	0.085361	0.083883	0.075583	0.096304
Meth__cg08431931__MGC26816	0.11229	0.084761	0.16722	0.16685	0.96307	0.14682	0.24838	0.12463	0.23428	0.22235	0.19591	0.18904	0.85287	0.11398	0.16116	0.40836	0.68518	0.095924	0.053885	0.79324	0.80893	0.77854	0.18542	0.65845	0.1839	0.96466	0.17159	0.2005	0.70045	0.96947	0.11433	0.1576	0.81361	0.2375	0.059611	0.9787	0.19631	0.19718	0.20448	0.18319	0.1571
Meth__cg02154186__PNMA2	0.46875	0.54852	0.33736	0.1365	0.66625	0.95078	0.79819	0.1659	0.45899	0.32462	0.1735	0.95309	0.86561	0.18159	0.50014	0.0633	0.12616	0.31567	0.12938	0.7262	0.65733	0.091316	0.070667	0.49281	0.25244	0.095109	0.11065	0.05919	0.93008	0.1271	0.28611	0.052321	0.17927	0.67307	0.091515	0.18624	0.11791	0.10416	0.4484	0.12395	0.38853
Meth__cg17749961__LYCAT	0.075651	0.2634	0.07144	0.093657	0.058854	0.074945	0.18182	0.045757	0.57779	0.071328	0.061908	0.066059	0.43831	0.33591	0.37249	0.063398	0.074927	0.14895	0.063645	0.068472	0.055124	0.063786	0.045806	0.072541	0.18149	0.13242	0.13517	0.06298	0.1549	0.083421	0.25871	0.057005	0.049411	0.77184	0.054239	0.056137	0.11307	0.19185	0.077433	0.16352	0.17192
